Dependency=Geometry Building Type ACS	Dependency=Vintage	Option=<5	Option=5 to 9 Units low	Option=5 to 9 Units high	Option=10 to 19 Units low	Option=10 to 19 Units high	Option=20 to 49 Units low	Option=20 to 49 Units high	Option=50 or more Units low	Option=50 or more Units high	Count	Weight
Mobile Home	2000s	1	0	0	0	0	0	0	0	0	67	916438.3582
Mobile Home	2010s	1	0	0	0	0	0	0	0	0	67	916438.3582
50 or more Unit	<1940	0	0	0	0	0	0	0	0.054725	0.945275	65	656460.2213
50 or more Unit	1940s	0	0	0	0	0	0	0	0.054725	0.945275	65	656460.2213
50 or more Unit	1950s	0	0	0	0	0	0	0	0.29139	0.70861	29	261520.7483
50 or more Unit	1960s	0	0	0	0	0	0	0	0.35176	0.64824	57	627230.3623
50 or more Unit	1970s	0	0	0	0	0	0	0	0.303145	0.696855	64	666092.7235
50 or more Unit	1980s	0	0	0	0	0	0	0	0.506939	0.493061	81	777522.3092
50 or more Unit	1990s	0	0	0	0	0	0	0	0.657394	0.342606	46	532020.4052
50 or more Unit	2000s	0	0	0	0	0	0	0	0.174344	0.825656	50	515288.4422
50 or more Unit	2010s	0	0	0	0	0	0	0	0.174344	0.825656	50	515288.4422
5 to 9 Unit	<1940	0	0.776831	0.223169	0	0	0	0	0	0	79	785559.9256
5 to 9 Unit	1940s	0	0.776831	0.223169	0	0	0	0	0	0	79	785559.9256
5 to 9 Unit	1950s	0	0.978652	0.021348	0	0	0	0	0	0	38	361419.0469
5 to 9 Unit	1960s	0	0.992227	0.007773	0	0	0	0	0	0	79	801359.2263
5 to 9 Unit	1970s	0	0.976923	0.023077	0	0	0	0	0	0	156	1570290.065
5 to 9 Unit	1980s	0	0.979814	0.020186	0	0	0	0	0	0	121	1194758.254
5 to 9 Unit	1990s	0	1	0	0	0	0	0	0	0	88	960464.2582
5 to 9 Unit	2000s	0	0.990752	0.009248	0	0	0	0	0	0	68	731685.2354
5 to 9 Unit	2010s	0	0.990752	0.009248	0	0	0	0	0	0	68	731685.2354
3 or 4 Unit	<1940	1	0	0	0	0	0	0	0	0	288	2893506.949
3 or 4 Unit	1940s	1	0	0	0	0	0	0	0	0	288	2893506.949
3 or 4 Unit	1950s	1	0	0	0	0	0	0	0	0	116	1202901.321
3 or 4 Unit	1960s	1	0	0	0	0	0	0	0	0	109	1154276.767
3 or 4 Unit	1970s	1	0	0	0	0	0	0	0	0	172	1538391.272
3 or 4 Unit	1980s	1	0	0	0	0	0	0	0	0	116	1085875.533
3 or 4 Unit	1990s	1	0	0	0	0	0	0	0	0	79	769430.7943
3 or 4 Unit	2000s	1	0	0	0	0	0	0	0	0	46	368634.2473
3 or 4 Unit	2010s	1	0	0	0	0	0	0	0	0	46	368634.2473
20 to 49 Unit	<1940	0	0	0	0	0	0.352725	0.647275	0	0	76	754934.0957
20 to 49 Unit	1940s	0	0	0	0	0	0.352725	0.647275	0	0	76	754934.0957
20 to 49 Unit	1950s	0	0	0	0	0	0.633495	0.366505	0	0	29	290279.5891
20 to 49 Unit	1960s	0	0	0	0	0	0.672947	0.327053	0	0	44	430768.2637
20 to 49 Unit	1970s	0	0	0	0	0	0.939387	0.060613	0	0	87	755516.4724
20 to 49 Unit	1980s	0	0	0	0	0	0.860544	0.139456	0	0	72	686637.4455
20 to 49 Unit	1990s	0	0	0	0	0	0.836273	0.163727	0	0	37	340672.1001
20 to 49 Unit	2000s	0	0	0	0	0	0.737111	0.262889	0	0	49	460895.0836
20 to 49 Unit	2010s	0	0	0	0	0	0.737111	0.262889	0	0	49	460895.0836
2 Unit	<1940	1	0	0	0	0	0	0	0	0	288	2893506.949
2 Unit	1940s	1	0	0	0	0	0	0	0	0	288	2893506.949
2 Unit	1950s	1	0	0	0	0	0	0	0	0	116	1202901.321
2 Unit	1960s	1	0	0	0	0	0	0	0	0	109	1154276.767
2 Unit	1970s	1	0	0	0	0	0	0	0	0	172	1538391.272
2 Unit	1980s	1	0	0	0	0	0	0	0	0	116	1085875.533
2 Unit	1990s	1	0	0	0	0	0	0	0	0	79	769430.7943
2 Unit	2000s	1	0	0	0	0	0	0	0	0	46	368634.2473
2 Unit	2010s	1	0	0	0	0	0	0	0	0	46	368634.2473
10 to 19 Unit	<1940	0	0	0	0.519589	0.480411	0	0	0	0	56	526867.463
10 to 19 Unit	1940s	0	0	0	0.519589	0.480411	0	0	0	0	56	526867.463
10 to 19 Unit	1950s	0	0	0	0.865928	0.134072	0	0	0	0	37	366345.3242
10 to 19 Unit	1960s	0	0	0	0.874832	0.125168	0	0	0	0	73	706061.8212
10 to 19 Unit	1970s	0	0	0	0.944345	0.055655	0	0	0	0	114	1120712.327
10 to 19 Unit	1980s	0	0	0	0.995115	0.004885	0	0	0	0	95	835490.6235
10 to 19 Unit	1990s	0	0	0	0.986303	0.013697	0	0	0	0	63	666616.0972
10 to 19 Unit	2000s	0	0	0	0.908838	0.091162	0	0	0	0	70	726230.3703
10 to 19 Unit	2010s	0	0	0	0.908838	0.091162	0	0	0	0	70	726230.3703
# Source: RECS 2009												
