Dependency=Location Region	Dependency=Vintage	Option=Uninsulated, Vented	Option=Ceiling R-7, Vented	Option=Ceiling R-13, Vented	Option=Ceiling R-19, Vented	Option=Ceiling R-30, Vented	Option=Ceiling R-38, Vented	Option=Ceiling R-49, Vented
CR04	2000s	0.000000	0.000000	0.000000	0.020000	0.340000	0.330000	0.310000
CR06	2000s	0.000000	0.000000	0.000000	0.010000	0.140000	0.650000	0.210000
CR07	2000s	0.000000	0.000000	0.000000	0.070000	0.520000	0.310000	0.100000
CR08	2000s	0.000000	0.000000	0.000000	0.050000	0.570000	0.340000	0.040000
CR09	2000s	0.000000	0.000000	0.000000	0.130000	0.700000	0.160000	0.010000
CR10	2000s	0.000000	0.000000	0.000000	0.010000	0.620000	0.340000	0.030000
CR11	2000s	0.000000	0.000000	0.000000	0.110000	0.580000	0.280000	0.040000
CR02	1940s	0.000000	0.040000	0.140000	0.160000	0.280000	0.130000	0.260000
CR05	1940s	0.040000	0.140000	0.160000	0.280000	0.130000	0.220000	0.040000
CR03	1940s	0.040000	0.140000	0.160000	0.280000	0.130000	0.220000	0.040000
CR04	1940s	0.040000	0.140000	0.160000	0.280000	0.130000	0.220000	0.040000
CR06	1940s	0.040000	0.140000	0.160000	0.280000	0.130000	0.220000	0.040000
CR07	1940s	0.040000	0.140000	0.160000	0.280000	0.130000	0.220000	0.040000
CR08	1940s	0.040000	0.140000	0.160000	0.280000	0.130000	0.220000	0.040000
CR09	1940s	0.180000	0.160000	0.280000	0.130000	0.220000	0.040000	0.000000
CR10	1940s	0.180000	0.160000	0.280000	0.130000	0.220000	0.040000	0.000000
CR11	1940s	0.180000	0.160000	0.280000	0.130000	0.220000	0.040000	0.000000
CR02	2010s	0.000000	0.000000	0.000000	0.010000	0.210000	0.250000	0.530000
CR05	2010s	0.000000	0.000000	0.000000	0.060000	0.210000	0.500000	0.240000
CR03	2010s	0.000000	0.000000	0.000000	0.050000	0.540000	0.320000	0.100000
CR04	2010s	0.000000	0.000000	0.000000	0.020000	0.340000	0.330000	0.310000
CR06	2010s	0.000000	0.000000	0.000000	0.010000	0.140000	0.650000	0.210000
CR07	2010s	0.000000	0.000000	0.000000	0.070000	0.520000	0.310000	0.100000
CR08	2010s	0.000000	0.000000	0.000000	0.050000	0.570000	0.340000	0.040000
CR09	2010s	0.000000	0.000000	0.000000	0.130000	0.700000	0.160000	0.010000
CR10	2010s	0.000000	0.000000	0.000000	0.010000	0.620000	0.340000	0.030000
CR11	2010s	0.000000	0.000000	0.000000	0.110000	0.580000	0.280000	0.040000
