Dependency=Geometry Building Type RECS	Dependency=Geometry Story Bin	Dependency=State	Dependency=Vintage ACS	Option=Brick	Option=Concrete	Option=Steel Frame	Option=Wood Frame	Option=Void	source_count	source_weight	fallback_count	fallback_weight
Single-Family Detached	8+	AK	1940-59	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	AK	1940-59	0.8	0.0666667	0	0.133333	0	15	15	15	15
Single-Family Detached	8+	AK	1960-79	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	AK	1960-79	0.484848	0.121212	0.121212	0.272727	0	33	33	33	33
Single-Family Detached	8+	AK	1980-99	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	AK	1980-99	0.37037	0.037037	0.0740741	0.518519	0	27	27	27	27
Single-Family Detached	8+	AK	2000-09	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	AK	2000-09	0.173913	0.173913	0.173913	0.478261	0	23	23	23	23
Single-Family Detached	8+	AK	2010s	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	AK	2010s	0.00202187	0.000582298	0.00182777	0.995568	0	1	1	61824	61824
Single-Family Detached	8+	AK	<1940	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	AK	<1940	0.0113963	0.000733079	0.00242973	0.985441	0	0	0	312381	312381
Mobile Home	8+	AL	1940-59	0	0	0	0	1	0	0	0	0
Mobile Home	<8	AL	1940-59	0.12	0.04	0.04	0.8	0	25	25	25	25
Mobile Home	8+	AL	1960-79	0	0	0	0	1	0	0	0	0
Mobile Home	<8	AL	1960-79	0.177305	0	0.212766	0.609929	0	141	141	141	141
Mobile Home	8+	AL	1980-99	0	0	0	0	1	0	0	0	0
Mobile Home	<8	AL	1980-99	0.0568182	0.0113636	0.477273	0.454545	0	352	352	352	352
Mobile Home	8+	AL	2000-09	0	0	0	0	1	0	0	0	0
Mobile Home	<8	AL	2000-09	0.01875	0.0125	0.61875	0.35	0	160	160	160	160
Mobile Home	8+	AL	2010s	0	0	0	0	1	0	0	0	0
Mobile Home	<8	AL	2010s	0.0461538	0	0.338462	0.615385	0	65	65	65	65
Mobile Home	8+	AL	<1940	0	0	0	0	1	0	0	0	0
Mobile Home	<8	AL	<1940	0.115385	0	0.0769231	0.807692	0	26	26	26	26
Multi-Family with 2 - 4 Units	8+	AL	1940-59	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	AL	1940-59	0.0714286	0.0535714	0	0.875	0	56	56	56	56
Multi-Family with 2 - 4 Units	8+	AL	1960-79	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	AL	1960-79	0.027027	0.0216216	0	0.951351	0	185	185	185	185
Multi-Family with 2 - 4 Units	8+	AL	1980-99	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	AL	1980-99	0.130435	0.130435	0	0.73913	0	46	46	46	46
Multi-Family with 2 - 4 Units	8+	AL	2000-09	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	AL	2000-09	0.178571	0	0	0.821429	0	28	28	28	28
Multi-Family with 2 - 4 Units	8+	AL	2010s	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	AL	2010s	0.011236	0.0449438	0	0.94382	0	89	89	89	89
Multi-Family with 2 - 4 Units	8+	AL	<1940	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	AL	<1940	0.0727273	0.109091	0	0.818182	0	55	55	55	55
Multi-Family with 5+ Units	8+	AL	1940-59	0	0	1	0	0	2	2	2	2
Multi-Family with 5+ Units	<8	AL	1940-59	0.106707	0.0579268	0.00609756	0.829268	0	328	328	328	328
Multi-Family with 5+ Units	8+	AL	1960-79	0	0	1	0	0	3	3	10	10
Multi-Family with 5+ Units	<8	AL	1960-79	0.150685	0.0328767	0.00410959	0.812329	0	730	730	730	730
Multi-Family with 5+ Units	8+	AL	1980-99	0	0	1	0	0	5	5	116	116
Multi-Family with 5+ Units	<8	AL	1980-99	0.0935329	0.0299305	0.00374131	0.872795	0	1871	1871	1871	1871
Multi-Family with 5+ Units	8+	AL	2000-09	0	0	1	0	0	2	2	47	47
Multi-Family with 5+ Units	<8	AL	2000-09	0.0404512	0.116686	0.058732	0.784131	0	2571	2571	2571	2571
Multi-Family with 5+ Units	8+	AL	2010s	0	0	1	0	0	0	0	0	0
Multi-Family with 5+ Units	<8	AL	2010s	0.0660793	0.00440529	0.00220264	0.927313	0	454	454	454	454
Multi-Family with 5+ Units	8+	AL	<1940	0	0	1	0	0	8	8	10	10
Multi-Family with 5+ Units	<8	AL	<1940	0.0277078	0.539043	0.0503778	0.382872	0	397	397	397	397
Single-Family Attached	8+	AL	1940-59	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	AL	1940-59	0.104603	0.0606695	0	0.834728	0	478	478	478	478
Single-Family Attached	8+	AL	1960-79	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	AL	1960-79	0.126667	0.056	0.00133333	0.816	0	750	750	750	750
Single-Family Attached	8+	AL	1980-99	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	AL	1980-99	0.0804106	0.0461933	0.00769889	0.865697	0	1169	1169	1169	1169
Single-Family Attached	8+	AL	2000-09	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	AL	2000-09	0.0454874	0.00144404	0.00288809	0.950181	0	1385	1385	1385	1385
Single-Family Attached	8+	AL	2010s	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	AL	2010s	0.00269542	0	0	0.997305	0	371	371	371	371
Single-Family Attached	8+	AL	<1940	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	AL	<1940	0.0539084	0.032345	0.00808625	0.90566	0	371	371	371	371
Single-Family Detached	8+	AL	1940-59	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	AL	1940-59	0.0879262	0.0461546	0.00610229	0.859817	0	41296	41296	41296	41296
Single-Family Detached	8+	AL	1960-79	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	AL	1960-79	0.139539	0.0163576	0.00417106	0.839932	0	107167	107167	107167	107167
Single-Family Detached	8+	AL	1980-99	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	AL	1980-99	0.0999545	0.0219894	0.00514555	0.872911	0	70352	70352	70352	70352
Single-Family Detached	8+	AL	2000-09	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	AL	2000-09	0.0745127	0.00326295	0.00383267	0.918392	0	57923	57923	57923	57923
Single-Family Detached	8+	AL	2010s	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	AL	2010s	0.0330088	0.00236439	0.00491423	0.959713	0	21570	21570	21570	21570
Single-Family Detached	8+	AL	<1940	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	AL	<1940	0.0558348	0.0210116	0.00633972	0.916814	0	22083	22083	22083	22083
Mobile Home	8+	AR	1940-59	0	0	0	0	1	0	0	0	0
Mobile Home	<8	AR	1940-59	0.048951	0	0	0.951049	0	143	143	143	143
Mobile Home	8+	AR	1960-79	0	0	0	0	1	0	0	0	0
Mobile Home	<8	AR	1960-79	0.105995	0.000135026	0.000270051	0.8936	0	7406	7406	7406	7406
Mobile Home	8+	AR	1980-99	0	0	0	0	1	0	0	0	0
Mobile Home	<8	AR	1980-99	0.113616	0	0.000231022	0.886153	0	21643	21643	21643	21643
Mobile Home	8+	AR	2000-09	0	0	0	0	1	0	0	0	0
Mobile Home	<8	AR	2000-09	0.0808329	0.000427122	0.000320342	0.91842	0	9365	9365	9365	9365
Mobile Home	8+	AR	2010s	0	0	0	0	1	0	0	0	0
Mobile Home	<8	AR	2010s	0.0276973	0	0	0.972303	0	3105	3105	3105	3105
Mobile Home	8+	AR	<1940	0	0	0	0	1	0	0	0	0
Mobile Home	<8	AR	<1940	0.0335975	0.0022187	0.000316957	0.963867	0	3155	3155	3155	3155
Multi-Family with 2 - 4 Units	8+	AR	1940-59	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	AR	1940-59	0.3	0	0	0.7	0	20	20	20	20
Multi-Family with 2 - 4 Units	8+	AR	1960-79	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	AR	1960-79	0.566667	0	0	0.433333	0	30	30	30	30
Multi-Family with 2 - 4 Units	8+	AR	1980-99	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	AR	1980-99	0.412698	0	0	0.587302	0	63	63	63	63
Multi-Family with 2 - 4 Units	8+	AR	2000-09	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	AR	2000-09	0.347826	0	0	0.652174	0	23	23	23	23
Multi-Family with 2 - 4 Units	8+	AR	2010s	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	AR	2010s	0.00437956	0	0	0.99562	0	9	9	685	685
Multi-Family with 2 - 4 Units	8+	AR	<1940	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	AR	<1940	0.290323	0	0	0.709677	0	31	31	31	31
Multi-Family with 5+ Units	8+	AR	1940-59	0	0	1	0	0	0	0	1	1
Multi-Family with 5+ Units	<8	AR	1940-59	0.438306	0	0	0.561694	0	1086	1086	1086	1086
Multi-Family with 5+ Units	8+	AR	1960-79	0	0	1	0	0	0	0	471	471
Multi-Family with 5+ Units	<8	AR	1960-79	0.637048	0	0	0.362952	0	1992	1992	1992	1992
Multi-Family with 5+ Units	8+	AR	1980-99	0	0	1	0	0	0	0	379	379
Multi-Family with 5+ Units	<8	AR	1980-99	0.454644	0	0	0.545356	0	3682	3682	3682	3682
Multi-Family with 5+ Units	8+	AR	2000-09	0	0	1	0	0	0	0	33	33
Multi-Family with 5+ Units	<8	AR	2000-09	0.682545	0	0	0.317455	0	2813	2813	2813	2813
Multi-Family with 5+ Units	8+	AR	2010s	0	0	1	0	0	0	0	28	28
Multi-Family with 5+ Units	<8	AR	2010s	0.50767	0	0	0.49233	0	1369	1369	1369	1369
Multi-Family with 5+ Units	8+	AR	<1940	0	0	1	0	0	0	0	10	10
Multi-Family with 5+ Units	<8	AR	<1940	0.439185	0.000212269	0	0.560603	0	4711	4711	4711	4711
Single-Family Attached	8+	AR	1940-59	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	AR	1940-59	0.203991	0	0	0.796009	0	451	451	451	451
Single-Family Attached	8+	AR	1960-79	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	AR	1960-79	0.690382	0	0	0.309618	0	759	759	759	759
Single-Family Attached	8+	AR	1980-99	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	AR	1980-99	0.68066	0	0	0.31934	0	2120	2120	2120	2120
Single-Family Attached	8+	AR	2000-09	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	AR	2000-09	0.698193	0	0	0.301807	0	941	941	941	941
Single-Family Attached	8+	AR	2010s	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	AR	2010s	0.642173	0	0	0.357827	0	313	313	313	313
Single-Family Attached	8+	AR	<1940	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	AR	<1940	0.333333	0	0	0.666667	0	555	555	555	555
Single-Family Detached	8+	AR	1940-59	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	AR	1940-59	0.234521	0	0	0.765479	0	82662	82662	82662	82662
Single-Family Detached	8+	AR	1960-79	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	AR	1960-79	0.520016	0	0	0.479984	0	169587	169587	169587	169587
Single-Family Detached	8+	AR	1980-99	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	AR	1980-99	0.421175	0	1.09631e-05	0.578814	0	182430	182430	182430	182430
Single-Family Detached	8+	AR	2000-09	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	AR	2000-09	0.537788	0	0	0.462212	0	129659	129659	129659	129659
Single-Family Detached	8+	AR	2010s	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	AR	2010s	0.575156	0	1.49535e-05	0.424829	0	66874	66874	66874	66874
Single-Family Detached	8+	AR	<1940	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	AR	<1940	0.317847	0.00020133	4.79357e-05	0.681904	0	208613	208613	208613	208613
Mobile Home	8+	AZ	1940-59	0	0	0	0	1	0	0	0	0
Mobile Home	<8	AZ	1940-59	0.0366972	0.192661	0.495413	0.275229	0	109	109	109	109
Mobile Home	8+	AZ	1960-79	0	0	0	0	1	0	0	0	0
Mobile Home	<8	AZ	1960-79	0.00649926	0.00679468	0.827474	0.159232	0	3385	3385	3385	3385
Mobile Home	8+	AZ	1980-99	0	0	0	0	1	0	0	0	0
Mobile Home	<8	AZ	1980-99	0.00859813	0.0082243	0.358879	0.624299	0	2675	2675	2675	2675
Mobile Home	8+	AZ	2000-09	0	0	0	0	1	0	0	0	0
Mobile Home	<8	AZ	2000-09	0.00320102	0.00192061	0.0179257	0.976953	0	1562	1562	1562	1562
Mobile Home	8+	AZ	2010s	0	0	0	0	1	0	0	0	0
Mobile Home	<8	AZ	2010s	0.00235849	0.00707547	0.0919811	0.898585	0	424	424	424	424
Mobile Home	8+	AZ	<1940	0	0	0	0	1	0	0	0	0
Mobile Home	<8	AZ	<1940	0.0403226	0.0806452	0.016129	0.862903	0	124	124	124	124
Multi-Family with 2 - 4 Units	8+	AZ	1940-59	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	AZ	1940-59	0.133333	0.533333	0	0.333333	0	15	15	15	15
Multi-Family with 2 - 4 Units	8+	AZ	1960-79	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	AZ	1960-79	0.0318471	0.859873	0	0.10828	0	157	157	157	157
Multi-Family with 2 - 4 Units	8+	AZ	1980-99	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	AZ	1980-99	0	0.68125	0	0.31875	0	160	160	160	160
Multi-Family with 2 - 4 Units	8+	AZ	2000-09	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	AZ	2000-09	0	0.277778	0	0.722222	0	18	18	18	18
Multi-Family with 2 - 4 Units	8+	AZ	2010s	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	AZ	2010s	0	0	0.00428725	0.995713	0	0	0	933	933
Multi-Family with 2 - 4 Units	8+	AZ	<1940	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	AZ	<1940	0.0952381	0.714286	0	0.190476	0	21	21	21	21
Multi-Family with 5+ Units	8+	AZ	1940-59	0	0	1	0	0	0	0	0	0
Multi-Family with 5+ Units	<8	AZ	1940-59	0.0948012	0.330275	0	0.574924	0	327	327	327	327
Multi-Family with 5+ Units	8+	AZ	1960-79	0	0	1	0	0	1	1	3	3
Multi-Family with 5+ Units	<8	AZ	1960-79	0.00352098	0.0169261	8.48428e-05	0.979468	0	23573	23573	23573	23573
Multi-Family with 5+ Units	8+	AZ	1980-99	0	0	1	0	0	0	0	0	0
Multi-Family with 5+ Units	<8	AZ	1980-99	0.000188608	0.00358355	0	0.996228	0	68926	68926	68926	68926
Multi-Family with 5+ Units	8+	AZ	2000-09	0	0	1	0	0	0	0	0	0
Multi-Family with 5+ Units	<8	AZ	2000-09	3.36791e-05	0.00181867	0	0.998148	0	29692	29692	29692	29692
Multi-Family with 5+ Units	8+	AZ	2010s	0	0	1	0	0	0	0	0	0
Multi-Family with 5+ Units	<8	AZ	2010s	0	0.000622924	0	0.999377	0	4816	4816	4816	4816
Multi-Family with 5+ Units	8+	AZ	<1940	0	0	1	0	0	0	0	0	0
Multi-Family with 5+ Units	<8	AZ	<1940	0.681736	0.168174	0	0.15009	0	553	553	553	553
Single-Family Attached	8+	AZ	1940-59	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	AZ	1940-59	0.429658	0.173004	0	0.397338	0	526	526	526	526
Single-Family Attached	8+	AZ	1960-79	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	AZ	1960-79	0.0221574	0.0430029	0	0.93484	0	6860	6860	6860	6860
Single-Family Attached	8+	AZ	1980-99	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	AZ	1980-99	0.00483154	0.0150744	0	0.980094	0	15523	15523	15523	15523
Single-Family Attached	8+	AZ	2000-09	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	AZ	2000-09	0	0.0228083	0	0.977192	0	5612	5612	5612	5612
Single-Family Attached	8+	AZ	2010s	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	AZ	2010s	0	0.000474158	0	0.999526	0	2109	2109	2109	2109
Single-Family Attached	8+	AZ	<1940	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	AZ	<1940	0.776151	0.142259	0	0.08159	0	478	478	478	478
Single-Family Detached	8+	AZ	1940-59	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	AZ	1940-59	0.0553717	0.197412	8.59808e-05	0.74713	0	23261	23261	23261	23261
Single-Family Detached	8+	AZ	1960-79	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	AZ	1960-79	0.0420461	0.148862	0.000147876	0.808944	0	81149	81149	81149	81149
Single-Family Detached	8+	AZ	1980-99	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	AZ	1980-99	0.0040502	0.0160676	1.86522e-05	0.979864	0	375290	375290	375290	375290
Single-Family Detached	8+	AZ	2000-09	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	AZ	2000-09	0.000972692	0.00924665	1.51983e-05	0.989765	0	328984	328984	328984	328984
Single-Family Detached	8+	AZ	2010s	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	AZ	2010s	0.000703911	0.00400056	0.000164246	0.995131	0	85238	85238	85238	85238
Single-Family Detached	8+	AZ	<1940	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	AZ	<1940	0.0461557	0.192645	0	0.7612	0	8103	8103	8103	8103
Mobile Home	8+	CA	1940-59	0	0	0	0	1	0	0	0	0
Mobile Home	<8	CA	1940-59	0.0443686	0.00682594	0.0102389	0.938567	0	293	293	293	293
Mobile Home	8+	CA	1960-79	0	0	0	0	1	0	0	0	0
Mobile Home	<8	CA	1960-79	0.000680041	0.000906721	0.00147342	0.99694	0	8823	8823	8823	8823
Mobile Home	8+	CA	1980-99	0	0	0	0	1	0	0	0	0
Mobile Home	<8	CA	1980-99	0.000996512	0.000332171	0.000498256	0.998173	0	12042	12042	12042	12042
Mobile Home	8+	CA	2000-09	0	0	0	0	1	0	0	0	0
Mobile Home	<8	CA	2000-09	0.00100134	0.00100134	0.00100134	0.996996	0	2996	2996	2996	2996
Mobile Home	8+	CA	2010s	0	0	0	0	1	0	0	0	0
Mobile Home	<8	CA	2010s	0.00537634	0.00537634	0.00537634	0.983871	0	186	186	186	186
Mobile Home	8+	CA	<1940	0	0	0	0	1	0	0	0	0
Mobile Home	<8	CA	<1940	0.00386473	0.000966184	0.00289855	0.992271	0	1035	1035	1035	1035
Multi-Family with 2 - 4 Units	8+	CA	1940-59	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	CA	1940-59	0.00419815	0.00302267	0	0.992779	0	5955	5955	5955	5955
Multi-Family with 2 - 4 Units	8+	CA	1960-79	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	CA	1960-79	0.0266178	0.0569037	0.0790068	0.837472	0	10632	10632	10632	10632
Multi-Family with 2 - 4 Units	8+	CA	1980-99	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	CA	1980-99	0.0526124	0.00219001	0.0467202	0.898477	0	19178	19178	19178	19178
Multi-Family with 2 - 4 Units	8+	CA	2000-09	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	CA	2000-09	0.00141044	0.0620592	0.00141044	0.93512	0	1418	1418	1418	1418
Multi-Family with 2 - 4 Units	8+	CA	2010s	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	CA	2010s	0.0277778	0	0	0.972222	0	108	108	108	108
Multi-Family with 2 - 4 Units	8+	CA	<1940	0	0	0	0	1	0	0	0	0
Multi-Family with 2 - 4 Units	<8	CA	<1940	0.00757671	0.00527213	0.012691	0.97446	0	31676	31676	31676	31676
Multi-Family with 5+ Units	8+	CA	1940-59	0	0	1	0	0	6	6	10	10
Multi-Family with 5+ Units	<8	CA	1940-59	0.0241093	0.00857219	0.000535762	0.966783	0	3733	3733	3733	3733
Multi-Family with 5+ Units	8+	CA	1960-79	0	0	1	0	0	315	315	315	315
Multi-Family with 5+ Units	<8	CA	1960-79	0.003944	0.0306993	0.000177658	0.965179	0	28144	28144	28144	28144
Multi-Family with 5+ Units	8+	CA	1980-99	0	0	1	0	0	575	575	575	575
Multi-Family with 5+ Units	<8	CA	1980-99	0.00104533	0.00311223	0.00019006	0.995652	0	42092	42092	42092	42092
Multi-Family with 5+ Units	8+	CA	2000-09	0	0	1	0	0	2	2	25	25
Multi-Family with 5+ Units	<8	CA	2000-09	0.00639595	0.0129407	0.00907333	0.97159	0	6723	6723	6723	6723
Multi-Family with 5+ Units	8+	CA	2010s	0	0	1	0	0	4	4	69	69
Multi-Family with 5+ Units	<8	CA	2010s	0.00267917	0.000669792	0	0.996651	0	1493	1493	1493	1493
Multi-Family with 5+ Units	8+	CA	<1940	0	0	1	0	0	39	39	39	39
Multi-Family with 5+ Units	<8	CA	<1940	0.0918669	0.0266174	0.00157116	0.879945	0	10820	10820	10820	10820
Single-Family Attached	8+	CA	1940-59	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	CA	1940-59	0.0427357	0.00224503	8.01796e-05	0.954939	0	12472	12472	12472	12472
Single-Family Attached	8+	CA	1960-79	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	CA	1960-79	0.00223944	0.000544728	6.05254e-05	0.997155	0	16522	16522	16522	16522
Single-Family Attached	8+	CA	1980-99	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	CA	1980-99	0.000740192	0.000370096	0.000185048	0.998705	0	10808	10808	10808	10808
Single-Family Attached	8+	CA	2000-09	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	CA	2000-09	0.0151947	0	0	0.984805	0	2106	2106	2106	2106
Single-Family Attached	8+	CA	2010s	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	CA	2010s	0	0	0	1	0	135	135	135	135
Single-Family Attached	8+	CA	<1940	0	0	0	0	1	0	0	0	0
Single-Family Attached	<8	CA	<1940	0.0116859	0.000427533	0	0.987887	0	14034	14034	14034	14034
Single-Family Detached	8+	CA	1940-59	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	CA	1940-59	0.0245118	0.00199919	0.000201881	0.973287	0	356645	356645	356645	356645
Single-Family Detached	8+	CA	1960-79	0	0	0	0	1	0	0	0	0
Single-Family Detached	<8	CA	1960-79	0.00298326	0.000509587	0.00010499	0.996402	0	390512	390512	390512	390512
