Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Geometry Building Type RECS	Dependency=Vintage ACS	Option=Ambient	Option=Heated Basement	Option=Slab	Option=Unheated Basement	Option=Unvented Crawlspace	Option=Vented Crawlspace	source_count	source_weight
3A	Single-Family Attached	1980-99	0	0.0418888	0.604929	0.0274219	0.058186	0.267574	339	890540
3A	Single-Family Attached	2000-09	0	0.0142148	0.70227	0.0505801	0.012495	0.220441	221	281073
3A	Single-Family Attached	2010s	0	0.0142148	0.70227	0.0505801	0.00904598	0.22389	221	281073
3A	Single-Family Attached	<1940	0	0	0.243765	0.0260933	0	0.730141	42	134093
3A	Single-Family Detached	1940-59	0.0869603	0.00876284	0.32711	0.0449853	0	0.532182	116	311498
3A	Single-Family Detached	1960-79	0.0475363	0.0214555	0.448049	0.0340328	0	0.448926	225	661870
3A	Single-Family Detached	1980-99	0.067133	0.0390767	0.564319	0.025581	0.044627	0.259264	339	890540
3A	Single-Family Detached	2000-09	0.0604928	0.0133549	0.659787	0.0475203	0.00982498	0.20902	221	281073
3A	Single-Family Detached	2010s	0.0604928	0.0133549	0.659787	0.0475203	0.010048	0.208797	221	281073
3A	Single-Family Detached	<1940	0.0514172	0	0.231232	0.0247517	0	0.6926	42	134093
3B	Mobile Home	1940-59	1	0	0	0	0	0	7	58201.5
3B	Mobile Home	1960-79	1	0	0	0	0	0	29	229214
3B	Mobile Home	1980-99	1	0	0	0	0	0	12	119569
3B	Mobile Home	2000-09	1	0	0	0	0	0	7	33701.3
3B	Mobile Home	2010s	1	0	0	0	0	0	7	33701.3
3B	Mobile Home	<1940	1	0	0	0	0	0	2	12858.3
3B	Multi-Family with 2 - 4 Units	1940-59	0	0	0.494138	0.0173504	0	0.488511	256	451506
3B	Multi-Family with 2 - 4 Units	1960-79	0	0	0.697872	0.0201577	0	0.281971	336	598423
3B	Multi-Family with 2 - 4 Units	1980-99	0	0	0.805567	0.00495077	0.013798	0.175684	296	534788
3B	Multi-Family with 2 - 4 Units	2000-09	0	0	0.883124	0.014243	0.00855303	0.0940804	102	93091
3B	Multi-Family with 2 - 4 Units	2010s	0	0	0.883124	0.014243	0.0146621	0.0879714	102	93091
3B	Multi-Family with 2 - 4 Units	<1940	0	0	0.230099	0.166543	0	0.603358	71	131897
3B	Multi-Family with 5+ Units	1940-59	0	0	0.494138	0.0173504	0	0.488511	256	451506
3B	Multi-Family with 5+ Units	1960-79	0	0	0.697872	0.0201577	0	0.281971	336	598423
3B	Multi-Family with 5+ Units	1980-99	0	0	0.805567	0.00495077	0.012405	0.177077	296	534788
3B	Multi-Family with 5+ Units	2000-09	0	0	0.883124	0.014243	0.00857103	0.0940624	102	93091
3B	Multi-Family with 5+ Units	2010s	0	0	0.883124	0.014243	0.00778603	0.0948474	102	93091
3B	Multi-Family with 5+ Units	<1940	0	0	0.230099	0.166543	0	0.603358	71	131897
3B	Single-Family Attached	1940-59	0	0.00542871	0.491456	0.0172563	0	0.485859	256	451506
3B	Single-Family Attached	1960-79	0	0.00330085	0.695568	0.0200912	0	0.28104	336	598423
3B	Single-Family Attached	1980-99	0	0	0.805567	0.00495077	0.011956	0.177526	296	534788
3B	Single-Family Attached	2000-09	0	0.00472524	0.878951	0.0141757	0.00891804	0.0932304	102	93091
3B	Single-Family Attached	2010s	0	0.00472524	0.878951	0.0141757	0.00378302	0.0983654	102	93091
3B	Single-Family Attached	<1940	0	0.0186729	0.225802	0.163434	0	0.592091	71	131897
3B	Single-Family Detached	1940-59	0.0405087	0.0052088	0.471548	0.0165572	0	0.466178	256	451506
3B	Single-Family Detached	1960-79	0.0260334	0.00321492	0.67746	0.0195682	0	0.273724	336	598423
3B	Single-Family Detached	1980-99	0.0440168	0	0.770109	0.00473285	0.01178	0.169362	296	534788
3B	Single-Family Detached	2000-09	0.0526542	0.00447644	0.83267	0.0134293	0.00905999	0.0877099	102	93091
3B	Single-Family Detached	2010s	0.0526542	0.00447644	0.83267	0.0134293	0.01011	0.0866599	102	93091
3B	Single-Family Detached	<1940	0.0650889	0.0174575	0.211105	0.152796	0	0.553553	71	131897
3C	Mobile Home	1940-59	1	0	0	0	0	0	0	0
3C	Mobile Home	1960-79	1	0	0	0	0	0	2	20268.3
3C	Mobile Home	1980-99	1	0	0	0	0	0	2	18692.5
3C	Mobile Home	2000-09	1	0	0	0	0	0	0	0
3C	Mobile Home	2010s	1	0	0	0	0	0	0	0
3C	Mobile Home	<1940	1	0	0	0	0	0	0	0
3C	Multi-Family with 2 - 4 Units	1940-59	0	0	0.395043	0.0260226	0	0.578934	47	92325.2
3C	Multi-Family with 2 - 4 Units	1960-79	0	0	0.558056	0.0306812	0	0.411263	85	160771
3C	Multi-Family with 2 - 4 Units	1980-99	0	0	0.695584	0.0102113	0.016345	0.27786	55	103421
3C	Multi-Family with 2 - 4 Units	2000-09	0	0	0.885285	0.0131046	0.00923699	0.0923739	25	23292.8
3C	Multi-Family with 2 - 4 Units	2010s	0	0	0.885285	0.0131046	0	0.101611	25	23292.8
3C	Multi-Family with 2 - 4 Units	<1940	0	0	0.177619	0.332502	0	0.489879	35	69203.5
3C	Multi-Family with 5+ Units	1940-59	0	0	0.395043	0.0260226	0	0.578934	47	92325.2
3C	Multi-Family with 5+ Units	1960-79	0	0	0.558056	0.0306812	0	0.411263	85	160771
3C	Multi-Family with 5+ Units	1980-99	0	0	0.695584	0.0102113	0.016084	0.278121	55	103421
3C	Multi-Family with 5+ Units	2000-09	0	0	0.885285	0.0131046	0.013449	0.0881619	25	23292.8
3C	Multi-Family with 5+ Units	2010s	0	0	0.885285	0.0131046	0.013856	0.0877549	25	23292.8
3C	Multi-Family with 5+ Units	<1940	0	0	0.177619	0.332502	0	0.489879	35	69203.5
3C	Single-Family Attached	1940-59	0	0.0337458	0.381712	0.0251444	0	0.559398	47	92325.2
3C	Single-Family Attached	1960-79	0	0.00606078	0.554674	0.0304952	0	0.40877	85	160771
3C	Single-Family Attached	1980-99	0	0.010198	0.68849	0.0101071	0.0208	0.270405	55	103421
3C	Single-Family Attached	2000-09	0	0	0.885285	0.0131046	0.00725799	0.0943529	25	23292.8
3C	Single-Family Attached	2010s	0	0	0.885285	0.0131046	0	0.101611	25	23292.8
3C	Single-Family Attached	<1940	0	0.111285	0.157853	0.2955	0	0.435363	35	69203.5
3C	Single-Family Detached	1940-59	0.0229942	0.0329698	0.372935	0.0245663	0	0.546535	47	92325.2
3C	Single-Family Detached	1960-79	0.011773	0.00598943	0.548144	0.0301362	0	0.403958	85	160771
3C	Single-Family Detached	1980-99	0.110752	0.00906858	0.612238	0.00898776	0.013198	0.245755	55	103421
3C	Single-Family Detached	2000-09	0.0363171	0	0.853134	0.0126287	0.015108	0.0828128	25	23292.8
3C	Single-Family Detached	2010s	0.0363171	0	0.853134	0.0126287	0.010492	0.0874287	25	23292.8
3C	Single-Family Detached	<1940	0	0.111285	0.157853	0.2955	0	0.435363	35	69203.5
4A	Mobile Home	1940-59	1	0	0	0	0	0	0	0
4A	Mobile Home	1960-79	1	0	0	0	0	0	41	514396
4A	Mobile Home	1980-99	1	0	0	0	0	0	76	1.2184e+06
4A	Mobile Home	2000-09	1	0	0	0	0	0	17	138104
4A	Mobile Home	2010s	1	0	0	0	0	0	17	138104
4A	Mobile Home	<1940	1	0	0	0	0	0	0	0
4A	Multi-Family with 2 - 4 Units	1940-59	0	0	0.275586	0.304917	0	0.419497	364	796707
4A	Multi-Family with 2 - 4 Units	1960-79	0	0	0.374137	0.217882	0	0.407981	497	1.02401e+06
4A	Multi-Family with 2 - 4 Units	1980-99	0	0	0.407752	0.155077	0.0724651	0.364706	489	1.12876e+06
4A	Multi-Family with 2 - 4 Units	2000-09	0	0	0.518676	0.159299	0.0969099	0.225115	293	333296
4A	Multi-Family with 2 - 4 Units	2010s	0	0	0.518676	0.159299	0.106	0.216025	293	333296
4A	Multi-Family with 2 - 4 Units	<1940	0	0	0.138071	0.556433	0	0.305496	280	634104
4A	Multi-Family with 5+ Units	1940-59	0	0	0.275586	0.304917	0	0.419497	364	796707
4A	Multi-Family with 5+ Units	1960-79	0	0	0.374137	0.217882	0	0.407981	497	1.02401e+06
4A	Multi-Family with 5+ Units	1980-99	0	0	0.407752	0.155077	0.0672731	0.369898	489	1.12876e+06
4A	Multi-Family with 5+ Units	2000-09	0	0	0.518676	0.159299	0.0938609	0.228164	293	333296
4A	Multi-Family with 5+ Units	2010s	0	0	0.518676	0.159299	0.0956509	0.226374	293	333296
4A	Multi-Family with 5+ Units	<1940	0	0	0.138071	0.556433	0	0.305496	280	634104
4A	Single-Family Attached	1940-59	0	0.272683	0.200438	0.221772	0	0.305107	364	796707
4A	Single-Family Attached	1960-79	0	0.2627	0.275851	0.160644	0	0.300805	497	1.02401e+06
4A	Single-Family Attached	1980-99	0	0.29558	0.287229	0.109239	0.0430061	0.264946	489	1.12876e+06
4A	Single-Family Attached	2000-09	0	0.214134	0.40761	0.125188	0.0760311	0.177037	293	333296
4A	Single-Family Attached	2010s	0	0.214134	0.40761	0.125188	0.0768371	0.176231	293	333296
4A	Single-Family Attached	<1940	0	0.185955	0.112396	0.452962	0	0.248687	280	634104
4A	Single-Family Detached	1940-59	0.0262886	0.265514	0.195169	0.215942	0	0.297087	364	796707
4A	Single-Family Detached	1960-79	0.0410022	0.251928	0.264541	0.154058	0	0.288471	497	1.02401e+06
4A	Single-Family Detached	1980-99	0.0233077	0.288691	0.280534	0.106693	0.050858	0.249917	489	1.12876e+06
4A	Single-Family Detached	2000-09	0.0127056	0.211413	0.402431	0.123597	0.072627	0.177226	293	333296
4A	Single-Family Detached	2010s	0.0127056	0.211413	0.402431	0.123597	0.073214	0.176639	293	333296
4A	Single-Family Detached	<1940	0.0178654	0.182633	0.110388	0.444869	0	0.244244	280	634104
4B	Mobile Home	1940-59	1	0	0	0	0	0	7	4380.76
4B	Mobile Home	1960-79	1	0	0	0	0	0	29	17252.7
4B	Mobile Home	1980-99	1	0	0	0	0	0	12	8999.81
4B	Mobile Home	2000-09	1	0	0	0	0	0	7	2536.66
4B	Mobile Home	2010s	1	0	0	0	0	0	7	2536.66
4B	Mobile Home	<1940	1	0	0	0	0	0	2	967.828
4B	Multi-Family with 2 - 4 Units	1940-59	0	0	0.494138	0.0173504	0	0.488511	256	33984.3
4B	Multi-Family with 2 - 4 Units	1960-79	0	0	0.697872	0.0201577	0	0.281971	336	45042.6
4B	Multi-Family with 2 - 4 Units	1980-99	0	0	0.805567	0.00495077	0.022292	0.16719	296	40252.8
4B	Multi-Family with 2 - 4 Units	2000-09	0	0	0.883124	0.014243	0.0384872	0.0641463	102	7006.85
4B	Multi-Family with 2 - 4 Units	2010s	0	0	0.883124	0.014243	0	0.102633	102	7006.85
4B	Multi-Family with 2 - 4 Units	<1940	0	0	0.230099	0.166543	0	0.603358	71	9927.72
4B	Multi-Family with 5+ Units	1940-59	0	0	0.494138	0.0173504	0	0.488511	256	33984.3
4B	Multi-Family with 5+ Units	1960-79	0	0	0.697872	0.0201577	0	0.281971	336	45042.6
4B	Multi-Family with 5+ Units	1980-99	0	0	0.805567	0.00495077	0.019534	0.169948	296	40252.8
4B	Multi-Family with 5+ Units	2000-09	0	0	0.883124	0.014243	0.00540202	0.0972314	102	7006.85
4B	Multi-Family with 5+ Units	2010s	0	0	0.883124	0.014243	0	0.102633	102	7006.85
4B	Multi-Family with 5+ Units	<1940	0	0	0.230099	0.166543	0	0.603358	71	9927.72
4B	Single-Family Attached	1940-59	0	0.00542871	0.491456	0.0172563	0	0.485859	256	33984.3
4B	Single-Family Attached	1960-79	0	0.00330085	0.695568	0.0200912	0	0.28104	336	45042.6
4B	Single-Family Attached	1980-99	0	0	0.805567	0.00495077	0.016241	0.173241	296	40252.8
4B	Single-Family Attached	2000-09	0	0.00472524	0.878951	0.0141757	0.0340491	0.0680993	102	7006.85
4B	Single-Family Attached	2010s	0	0.00472524	0.878951	0.0141757	0.0510742	0.0510742	102	7006.85
4B	Single-Family Attached	<1940	0	0.0186729	0.225802	0.163434	0	0.592091	71	9927.72
4B	Single-Family Detached	1940-59	0.0405087	0.0052088	0.471548	0.0165572	0	0.466178	256	33984.3
4B	Single-Family Detached	1960-79	0.0260334	0.00321492	0.67746	0.0195682	0	0.273724	336	45042.6
4B	Single-Family Detached	1980-99	0.0440168	0	0.770109	0.00473285	0.012706	0.168436	296	40252.8
4B	Single-Family Detached	2000-09	0.0526542	0.00447644	0.83267	0.0134293	0.010997	0.0857729	102	7006.85
4B	Single-Family Detached	2010s	0.0526542	0.00447644	0.83267	0.0134293	0.021037	0.0757329	102	7006.85
4B	Single-Family Detached	<1940	0.0650889	0.0174575	0.211105	0.152796	0	0.553553	71	9927.72
4C	Mobile Home	1940-59	1	0	0	0	0	0	0	0
4C	Mobile Home	1960-79	1	0	0	0	0	0	6	73851.2
4C	Mobile Home	1980-99	1	0	0	0	0	0	8	80618.4
4C	Mobile Home	2000-09	1	0	0	0	0	0	1	6051.27
4C	Mobile Home	2010s	1	0	0	0	0	0	1	6051.27
4C	Mobile Home	<1940	1	0	0	0	0	0	0	0
4C	Multi-Family with 2 - 4 Units	1940-59	0	0	0.379271	0.0259909	0	0.594738	26	71146.6
4C	Multi-Family with 2 - 4 Units	1960-79	0	0	0.339858	0	0	0.660142	48	121303
4C	Multi-Family with 2 - 4 Units	1980-99	0	0	0.264021	0.0242706	0.038582	0.673126	72	180976
4C	Multi-Family with 2 - 4 Units	2000-09	0	0	0.29545	0	0.127685	0.576864	41	52528.1
4C	Multi-Family with 2 - 4 Units	2010s	0	0	0.29545	0	0.112728	0.591821	41	52528.1
4C	Multi-Family with 2 - 4 Units	<1940	0	0	0.198729	0.15336	0	0.647911	27	68771
4C	Multi-Family with 5+ Units	1940-59	0	0	0.379271	0.0259909	0	0.594738	26	71146.6
4C	Multi-Family with 5+ Units	1960-79	0	0	0.339858	0	0	0.660142	48	121303
4C	Multi-Family with 5+ Units	1980-99	0	0	0.264021	0.0242706	0.036787	0.674921	72	180976
4C	Multi-Family with 5+ Units	2000-09	0	0	0.29545	0	0.131607	0.572942	41	52528.1
4C	Multi-Family with 5+ Units	2010s	0	0	0.29545	0	0.13186	0.572689	41	52528.1
4C	Multi-Family with 5+ Units	<1940	0	0	0.198729	0.15336	0	0.647911	27	68771
4C	Single-Family Attached	1940-59	0	0.284246	0.271465	0.0186031	0	0.425686	26	71146.6
4C	Single-Family Attached	1960-79	0	0.0805918	0.312468	0	0	0.60694	48	121303
4C	Single-Family Attached	1980-99	0	0.0243609	0.257589	0.0236794	0.032529	0.661842	72	180976
4C	Single-Family Attached	2000-09	0	0.0298698	0.286625	0	0.125702	0.557803	41	52528.1
4C	Single-Family Attached	2010s	0	0.0298698	0.286625	0	0.146465	0.53704	41	52528.1
4C	Single-Family Attached	<1940	0	0.147851	0.169347	0.130686	0	0.552117	27	68771
4C	Single-Family Detached	1940-59	0	0.284246	0.271465	0.0186031	0	0.425686	26	71146.6
4C	Single-Family Detached	1960-79	0.0991923	0.0725978	0.281474	0	0	0.546736	48	121303
4C	Single-Family Detached	1980-99	0.0272326	0.0236975	0.250574	0.0230345	0.031802	0.643659	72	180976
4C	Single-Family Detached	2000-09	0.0809479	0.0274519	0.263424	0	0.117625	0.510551	41	52528.1
4C	Single-Family Detached	2010s	0.0809479	0.0274519	0.263424	0	0.116068	0.512109	41	52528.1
4C	Single-Family Detached	<1940	0	0.147851	0.169347	0.130686	0	0.552117	27	68771
5A	Mobile Home	1940-59	1	0	0	0	0	0	0	0
5A	Mobile Home	1960-79	1	0	0	0	0	0	20	264502
5A	Mobile Home	1980-99	1	0	0	0	0	0	31	336396
5A	Mobile Home	2000-09	1	0	0	0	0	0	2	25240.6
5A	Mobile Home	2010s	1	0	0	0	0	0	2	25240.6
5A	Mobile Home	<1940	1	0	0	0	0	0	0	0
5A	Multi-Family with 2 - 4 Units	1940-59	0	0	0.301358	0.462635	0	0.236007	403	1.15015e+06
5A	Multi-Family with 2 - 4 Units	1960-79	0	0	0.386768	0.371747	0	0.241485	402	1.06331e+06
5A	Multi-Family with 2 - 4 Units	1980-99	0	0	0.334934	0.369145	0.130811	0.165111	343	885706
5A	Multi-Family with 2 - 4 Units	2000-09	0	0	0.577562	0.340299	0.030574	0.051565	152	208277
5A	Multi-Family with 2 - 4 Units	2010s	0	0	0.577562	0.340299	0.031736	0.050403	152	208277
5A	Multi-Family with 2 - 4 Units	<1940	0	0	0.0933475	0.672922	0	0.23373	381	970341
5A	Multi-Family with 5+ Units	1940-59	0	0	0.301358	0.462635	0	0.236007	403	1.15015e+06
5A	Multi-Family with 5+ Units	1960-79	0	0	0.386768	0.371747	0	0.241485	402	1.06331e+06
5A	Multi-Family with 5+ Units	1980-99	0	0	0.334934	0.369145	0.142004	0.153918	343	885706
5A	Multi-Family with 5+ Units	2000-09	0	0	0.577562	0.340299	0.031272	0.050867	152	208277
5A	Multi-Family with 5+ Units	2010s	0	0	0.577562	0.340299	0.026562	0.055577	152	208277
5A	Multi-Family with 5+ Units	<1940	0	0	0.0933475	0.672922	0	0.23373	381	970341
5A	Single-Family Attached	1940-59	0	0.374218	0.188585	0.289509	0	0.147689	403	1.15015e+06
5A	Single-Family Attached	1960-79	0	0.358192	0.248231	0.23859	0	0.154987	402	1.06331e+06
5A	Single-Family Attached	1980-99	0	0.337701	0.221826	0.244484	0.0871459	0.108843	343	885706
5A	Single-Family Attached	2000-09	0	0.430717	0.328796	0.193726	0.0164071	0.0303532	152	208277
