Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Geometry Building Type RECS	Dependency=Geometry Floor Area Bin	Dependency=HVAC Cooling Type	Option=<10% Conditioned	Option=20% Conditioned	Option=40% Conditioned	Option=60% Conditioned	Option=80% Conditioned	Option=100% Conditioned	Option=None	Option=Void	source_count	source_weight
2A	Multi-Family with 2 - 4 Units	4000+	Ducted Heat Pump	0	0	0	0	0	1	0	0	0.0853404	491.298
2A	Multi-Family with 2 - 4 Units	4000+	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
2A	Multi-Family with 2 - 4 Units	4000+	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	0.0853404	59.4845
2A	Multi-Family with 2 - 4 Units	4000+	None	0	0	0	0	0	0	1	0	0.026621	201.937
2A	Multi-Family with 2 - 4 Units	4000+	Room AC	0	0.185398	0.141615	0.203627	0.0822513	0.387109	0	0	0.133819	1166.05
2A	Multi-Family with 5+ Units	0-1499	Central AC	0	0	0	0.000173397	0.00121085	0.998616	0	0	14.5454	122973
2A	Multi-Family with 5+ Units	0-1499	Ducted Heat Pump	0	0	0	0	0	1	0	0	1.6465	12003.5
2A	Multi-Family with 5+ Units	0-1499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
2A	Multi-Family with 5+ Units	0-1499	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	1.6465	1453.34
2A	Multi-Family with 5+ Units	0-1499	None	0	0	0	0	0	0	1	0	2.75659	24209.8
2A	Multi-Family with 5+ Units	0-1499	Room AC	0	0.0524096	0.150027	0.18043	0.0354822	0.581651	0	0	23.0235	216742
2A	Multi-Family with 5+ Units	1500-2499	Central AC	0	0	0	0.000687147	0.00298508	0.996328	0	0	10.2196	81098.7
2A	Multi-Family with 5+ Units	1500-2499	Ducted Heat Pump	0	0	0	0	0	1	0	0	1.89925	12705
2A	Multi-Family with 5+ Units	1500-2499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
2A	Multi-Family with 5+ Units	1500-2499	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	1.89925	1538.28
2A	Multi-Family with 5+ Units	1500-2499	None	0	0	0	0	0	0	1	0	0.731312	5870.06
2A	Multi-Family with 5+ Units	1500-2499	Room AC	0	0.112836	0.231064	0.222881	0.109283	0.323936	0	0	3.38821	28276.6
2A	Multi-Family with 5+ Units	2500-3999	Central AC	0	0	0	0.00165508	0.00548812	0.992857	0	0	4.75031	36454.3
2A	Multi-Family with 5+ Units	2500-3999	Ducted Heat Pump	0	0	0	0	0	1	0	0	0.495118	3337.94
2A	Multi-Family with 5+ Units	2500-3999	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
2A	Multi-Family with 5+ Units	2500-3999	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	0.495118	404.145
2A	Multi-Family with 5+ Units	2500-3999	None	0	0	0	0	0	0	1	0	0.225032	1767.63
2A	Multi-Family with 5+ Units	2500-3999	Room AC	0	0.190844	0.219068	0.213831	0.125989	0.250268	0	0	1.44535	11779.4
2A	Multi-Family with 5+ Units	4000+	Central AC	0	0	0	0.00155337	0.00564405	0.992803	0	0	0.959363	7428.54
2A	Multi-Family with 5+ Units	4000+	Ducted Heat Pump	0	0	0	0	0	1	0	0	0.0853404	491.298
2A	Multi-Family with 5+ Units	4000+	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
2A	Multi-Family with 5+ Units	4000+	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	0.0853404	59.4845
2A	Multi-Family with 5+ Units	4000+	None	0	0	0	0	0	0	1	0	0.026621	201.937
2A	Multi-Family with 5+ Units	4000+	Room AC	0	0.185398	0.141615	0.203627	0.0822513	0.387109	0	0	0.133819	1166.05
2A	Single-Family Attached	0-1499	Central AC	0	0	0	0.00198825	0.00723368	0.990778	0	0	251.604	1.94076e+06
2A	Single-Family Attached	0-1499	Ducted Heat Pump	0	0	0	0	0	1	0	0	65.3383	424005
2A	Single-Family Attached	0-1499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
2A	Single-Family Attached	0-1499	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	65.3383	51336.9
2A	Single-Family Attached	0-1499	None	0	0	0	0	0	0	1	0	10.8089	84770.3
2A	Single-Family Attached	0-1499	Room AC	0	0.142835	0.171063	0.239529	0.0795097	0.367064	0	0	59.0369	516558
2A	Single-Family Attached	1500-2499	Central AC	0	0	0	0.00776869	0.0175831	0.974648	0	0	176.776	1.2799e+06
2A	Single-Family Attached	1500-2499	Ducted Heat Pump	0	0	0	0	0	1	0	0	75.3683	448784
2A	Single-Family Attached	1500-2499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
2A	Single-Family Attached	1500-2499	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	75.3683	54337.1
2A	Single-Family Attached	1500-2499	None	0	0	0	0	0	0	1	0	2.86756	20553.9
2A	Single-Family Attached	1500-2499	Room AC	0	0.233645	0.200173	0.224806	0.186057	0.155319	0	0	8.68805	67391.2
2A	Single-Family Attached	2500-3999	Central AC	0	0	0	0.0183039	0.0316218	0.950074	0	0	82.1699	575320
2A	Single-Family Attached	2500-3999	Ducted Heat Pump	0	0	0	0	0	1	0	0	19.6479	117907
2A	Single-Family Attached	2500-3999	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
2A	Single-Family Attached	2500-3999	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	19.6479	14275.8
2A	Single-Family Attached	2500-3999	None	0	0	0	0	0	0	1	0	0.882376	6189.33
2A	Single-Family Attached	2500-3999	Room AC	0	0.34813	0.167189	0.190003	0.188966	0.105712	0	0	3.70617	28073.7
2A	Single-Family Attached	4000+	Central AC	0	0	0	0.0171838	0.0325293	0.950287	0	0	16.5949	117237
2A	Single-Family Attached	4000+	Ducted Heat Pump	0	0	0	0	0	1	0	0	3.38659	17354.3
2A	Single-Family Attached	4000+	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
2A	Single-Family Attached	4000+	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	3.38659	2101.19
2A	Single-Family Attached	4000+	None	0	0	0	0	0	0	1	0	0.104384	707.078
2A	Single-Family Attached	4000+	Room AC	0	0.369982	0.118236	0.197941	0.13496	0.178882	0	0	0.343139	2779.04
2A	Single-Family Detached	0-1499	Central AC	0	0	0	0.00198825	0.00723368	0.990778	0	0	251.604	1.94076e+06
2A	Single-Family Detached	0-1499	Ducted Heat Pump	0	0	0	0	0	1	0	0	65.3383	424005
2A	Single-Family Detached	0-1499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
2A	Single-Family Detached	0-1499	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	65.3383	51336.9
2A	Single-Family Detached	0-1499	None	0	0	0	0	0	0	1	0	10.8089	84770.3
2A	Single-Family Detached	0-1499	Room AC	0	0.142835	0.171063	0.239529	0.0795097	0.367064	0	0	59.0369	516558
2A	Single-Family Detached	1500-2499	Central AC	0	0	0	0.00776869	0.0175831	0.974648	0	0	176.776	1.2799e+06
2A	Single-Family Detached	1500-2499	Ducted Heat Pump	0	0	0	0	0	1	0	0	75.3683	448784
2A	Single-Family Detached	1500-2499	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
2A	Single-Family Detached	1500-2499	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	75.3683	54337.1
2A	Single-Family Detached	1500-2499	None	0	0	0	0	0	0	1	0	2.86756	20553.9
2A	Single-Family Detached	1500-2499	Room AC	0	0.233645	0.200173	0.224806	0.186057	0.155319	0	0	8.68805	67391.2
2A	Single-Family Detached	2500-3999	Central AC	0	0	0	0.0183039	0.0316218	0.950074	0	0	82.1699	575320
2A	Single-Family Detached	2500-3999	Ducted Heat Pump	0	0	0	0	0	1	0	0	19.6479	117907
2A	Single-Family Detached	2500-3999	Evaporative or Swamp Cooler	0	0	0	0	0	0	0	1	5e-18	5e-18
2A	Single-Family Detached	2500-3999	Non-Ducted Heat Pump	0	0	0	0	0	1	0	0	19.6479	14275.8
2A	Single-Family Detached	2500-3999	None	0	0	0	0	0	0	1	0	0.882376	6189.33
2A	Single-Family Detached	2500-3999	Room AC	0	0.34813	0.167189	0.190003	0.188966	0.105712	0	0	3.70617	28073.7
