Dependency=County	Dependency=Geometry Building Type RECS	Dependency=Vacancy Status	Option=No	Option=Yes	source_count	source_weight	fallback_count	fallback_weight
AK, Nome Census Area	Multi-Family with 2 - 4 Units	Vacant	1	0	0	1	0	29
AK, Nome Census Area	Multi-Family with 5+ Units	Occupied	1	0	0	1	0	29
AK, Nome Census Area	Multi-Family with 5+ Units	Vacant	1	0	0	1	0	29
AK, Nome Census Area	Single-Family Attached	Occupied	1	0	0	1	0	29
AK, Nome Census Area	Single-Family Attached	Vacant	1	0	0	1	0	29
AK, Nome Census Area	Single-Family Detached	Occupied	1	0	0	1	0	29
AK, Nome Census Area	Single-Family Detached	Vacant	1	0	0	1	0	29
AK, North Slope Borough	Mobile Home	Occupied	1	0	0	1	0	29
AK, North Slope Borough	Mobile Home	Vacant	1	0	0	1	0	29
AK, North Slope Borough	Multi-Family with 2 - 4 Units	Occupied	1	0	0	1	0	29
AK, North Slope Borough	Multi-Family with 2 - 4 Units	Vacant	1	0	0	1	0	29
AK, North Slope Borough	Multi-Family with 5+ Units	Occupied	1	0	0	1	0	29
AK, North Slope Borough	Multi-Family with 5+ Units	Vacant	1	0	0	1	0	29
AK, North Slope Borough	Single-Family Attached	Occupied	1	0	0	1	0	29
AK, North Slope Borough	Single-Family Attached	Vacant	1	0	0	1	0	29
AK, North Slope Borough	Single-Family Detached	Occupied	1	0	0	1	0	29
AK, North Slope Borough	Single-Family Detached	Vacant	1	0	0	1	0	29
AK, Northwest Arctic Borough	Mobile Home	Occupied	1	0	0	1	0	29
AK, Northwest Arctic Borough	Mobile Home	Vacant	1	0	0	1	0	29
AK, Northwest Arctic Borough	Multi-Family with 2 - 4 Units	Occupied	1	0	0	1	0	29
AK, Northwest Arctic Borough	Multi-Family with 2 - 4 Units	Vacant	1	0	0	1	0	29
AK, Northwest Arctic Borough	Multi-Family with 5+ Units	Occupied	1	0	0	1	0	29
AK, Northwest Arctic Borough	Multi-Family with 5+ Units	Vacant	1	0	0	1	0	29
AK, Northwest Arctic Borough	Single-Family Attached	Occupied	1	0	0	1	0	29
AK, Northwest Arctic Borough	Single-Family Attached	Vacant	1	0	0	1	0	29
AK, Northwest Arctic Borough	Single-Family Detached	Occupied	1	0	0	1	0	29
AK, Northwest Arctic Borough	Single-Family Detached	Vacant	1	0	0	1	0	29
AK, Petersburg Borough	Mobile Home	Occupied	1	0	0	1	0	29
AK, Petersburg Borough	Mobile Home	Vacant	1	0	0	1	0	29
AK, Petersburg Borough	Multi-Family with 2 - 4 Units	Occupied	1	0	0	1	0	29
AK, Petersburg Borough	Multi-Family with 2 - 4 Units	Vacant	1	0	0	1	0	29
AK, Petersburg Borough	Multi-Family with 5+ Units	Occupied	1	0	0	1	0	29
AK, Petersburg Borough	Multi-Family with 5+ Units	Vacant	1	0	0	1	0	29
AK, Petersburg Borough	Single-Family Attached	Occupied	1	0	0	1	0	29
AK, Petersburg Borough	Single-Family Attached	Vacant	1	0	0	1	0	29
AK, Petersburg Borough	Single-Family Detached	Occupied	1	0	0	1	0	29
AK, Petersburg Borough	Single-Family Detached	Vacant	1	0	0	1	0	29
AK, Prince of Wales-Hyder Census Area	Mobile Home	Occupied	1	0	0	1	0	29
AK, Prince of Wales-Hyder Census Area	Mobile Home	Vacant	1	0	0	1	0	29
AK, Prince of Wales-Hyder Census Area	Multi-Family with 2 - 4 Units	Occupied	1	0	0	1	0	29
AK, Prince of Wales-Hyder Census Area	Multi-Family with 2 - 4 Units	Vacant	1	0	0	1	0	29
AK, Prince of Wales-Hyder Census Area	Multi-Family with 5+ Units	Occupied	1	0	0	1	0	29
AK, Prince of Wales-Hyder Census Area	Multi-Family with 5+ Units	Vacant	1	0	0	1	0	29
AK, Prince of Wales-Hyder Census Area	Single-Family Attached	Occupied	1	0	0	1	0	29
AK, Prince of Wales-Hyder Census Area	Single-Family Attached	Vacant	1	0	0	1	0	29
AK, Prince of Wales-Hyder Census Area	Single-Family Detached	Occupied	1	0	0	1	0	29
AK, Prince of Wales-Hyder Census Area	Single-Family Detached	Vacant	1	0	0	1	0	29
AK, Sitka City and Borough	Mobile Home	Occupied	1	0	0	1	0	29
AK, Sitka City and Borough	Mobile Home	Vacant	1	0	0	1	0	29
AK, Sitka City and Borough	Multi-Family with 2 - 4 Units	Occupied	1	0	0	1	0	29
AK, Sitka City and Borough	Multi-Family with 2 - 4 Units	Vacant	1	0	0	1	0	29
AK, Sitka City and Borough	Multi-Family with 5+ Units	Occupied	1	0	0	1	0	29
AK, Sitka City and Borough	Multi-Family with 5+ Units	Vacant	1	0	0	1	0	29
AK, Sitka City and Borough	Single-Family Attached	Occupied	1	0	0	1	0	29
AK, Sitka City and Borough	Single-Family Attached	Vacant	1	0	0	1	0	29
AK, Sitka City and Borough	Single-Family Detached	Occupied	1	0	0	1	0	29
AK, Sitka City and Borough	Single-Family Detached	Vacant	1	0	0	1	0	29
AK, Skagway Municipality	Mobile Home	Occupied	1	0	0	1	0	29
AK, Skagway Municipality	Mobile Home	Vacant	1	0	0	1	0	29
AK, Skagway Municipality	Multi-Family with 2 - 4 Units	Occupied	1	0	0	1	0	29
AK, Skagway Municipality	Multi-Family with 2 - 4 Units	Vacant	1	0	0	1	0	29
AK, Skagway Municipality	Multi-Family with 5+ Units	Occupied	1	0	0	1	0	29
AK, Skagway Municipality	Multi-Family with 5+ Units	Vacant	1	0	0	1	0	29
AK, Skagway Municipality	Single-Family Attached	Occupied	1	0	0	1	0	29
AK, Skagway Municipality	Single-Family Attached	Vacant	1	0	0	1	0	29
AK, Skagway Municipality	Single-Family Detached	Occupied	1	0	0	1	0	29
AK, Skagway Municipality	Single-Family Detached	Vacant	1	0	0	1	0	29
AK, Southeast Fairbanks Census Area	Mobile Home	Occupied	1	0	0	1	0	29
AK, Southeast Fairbanks Census Area	Mobile Home	Vacant	1	0	0	1	0	29
AK, Southeast Fairbanks Census Area	Multi-Family with 2 - 4 Units	Occupied	1	0	0	1	0	29
AK, Southeast Fairbanks Census Area	Multi-Family with 2 - 4 Units	Vacant	1	0	0	1	0	29
AK, Southeast Fairbanks Census Area	Multi-Family with 5+ Units	Occupied	1	0	0	1	0	29
AK, Southeast Fairbanks Census Area	Multi-Family with 5+ Units	Vacant	1	0	0	1	0	29
AK, Southeast Fairbanks Census Area	Single-Family Attached	Occupied	1	0	0	1	0	29
AK, Southeast Fairbanks Census Area	Single-Family Attached	Vacant	1	0	0	1	0	29
AK, Southeast Fairbanks Census Area	Single-Family Detached	Occupied	1	0	0	1	0	29
AK, Southeast Fairbanks Census Area	Single-Family Detached	Vacant	1	0	0	1	0	29
AK, Valdez-Cordova Census Area	Mobile Home	Occupied	1	0	0	1	0	29
AK, Valdez-Cordova Census Area	Mobile Home	Vacant	1	0	0	1	0	29
AK, Valdez-Cordova Census Area	Multi-Family with 2 - 4 Units	Occupied	1	0	0	1	0	29
AK, Valdez-Cordova Census Area	Multi-Family with 2 - 4 Units	Vacant	1	0	0	1	0	29
AK, Valdez-Cordova Census Area	Multi-Family with 5+ Units	Occupied	1	0	0	1	0	29
AK, Valdez-Cordova Census Area	Multi-Family with 5+ Units	Vacant	1	0	0	1	0	29
AK, Valdez-Cordova Census Area	Single-Family Attached	Occupied	1	0	0	1	0	29
AK, Valdez-Cordova Census Area	Single-Family Attached	Vacant	1	0	0	1	0	29
AK, Valdez-Cordova Census Area	Single-Family Detached	Occupied	1	0	0	1	0	29
AK, Valdez-Cordova Census Area	Single-Family Detached	Vacant	1	0	0	1	0	29
AK, Wrangell City and Borough	Mobile Home	Occupied	1	0	0	1	0	29
AK, Wrangell City and Borough	Mobile Home	Vacant	1	0	0	1	0	29
AK, Wrangell City and Borough	Multi-Family with 2 - 4 Units	Occupied	1	0	0	1	0	29
AK, Wrangell City and Borough	Multi-Family with 2 - 4 Units	Vacant	1	0	0	1	0	29
AK, Wrangell City and Borough	Multi-Family with 5+ Units	Occupied	1	0	0	1	0	29
AK, Wrangell City and Borough	Multi-Family with 5+ Units	Vacant	1	0	0	1	0	29
AK, Wrangell City and Borough	Single-Family Attached	Occupied	1	0	0	1	0	29
AK, Wrangell City and Borough	Single-Family Attached	Vacant	1	0	0	1	0	29
AK, Wrangell City and Borough	Single-Family Detached	Occupied	1	0	0	1	0	29
AK, Wrangell City and Borough	Single-Family Detached	Vacant	1	0	0	1	0	29
AK, Yakutat City and Borough	Mobile Home	Occupied	1	0	0	1	0	29
AK, Yakutat City and Borough	Mobile Home	Vacant	1	0	0	1	0	29
AK, Yakutat City and Borough	Multi-Family with 2 - 4 Units	Occupied	1	0	0	1	0	29
AK, Yakutat City and Borough	Multi-Family with 2 - 4 Units	Vacant	1	0	0	1	0	29
AK, Yakutat City and Borough	Multi-Family with 5+ Units	Occupied	1	0	0	1	0	29
AK, Yakutat City and Borough	Multi-Family with 5+ Units	Vacant	1	0	0	1	0	29
AK, Yakutat City and Borough	Single-Family Attached	Occupied	1	0	0	1	0	29
AK, Yakutat City and Borough	Single-Family Attached	Vacant	1	0	0	1	0	29
AK, Yakutat City and Borough	Single-Family Detached	Occupied	1	0	0	1	0	29
AK, Yakutat City and Borough	Single-Family Detached	Vacant	1	0	0	1	0	29
AK, Yukon-Koyukuk Census Area	Mobile Home	Occupied	1	0	0	1	0	29
AK, Yukon-Koyukuk Census Area	Mobile Home	Vacant	1	0	0	1	0	29
AK, Yukon-Koyukuk Census Area	Multi-Family with 2 - 4 Units	Occupied	1	0	0	1	0	29
AK, Yukon-Koyukuk Census Area	Multi-Family with 2 - 4 Units	Vacant	1	0	0	1	0	29
AK, Yukon-Koyukuk Census Area	Multi-Family with 5+ Units	Occupied	1	0	0	1	0	29
AK, Yukon-Koyukuk Census Area	Multi-Family with 5+ Units	Vacant	1	0	0	1	0	29
AK, Yukon-Koyukuk Census Area	Single-Family Attached	Occupied	1	0	0	1	0	29
AK, Yukon-Koyukuk Census Area	Single-Family Attached	Vacant	1	0	0	1	0	29
AK, Yukon-Koyukuk Census Area	Single-Family Detached	Occupied	1	0	0	1	0	29
AK, Yukon-Koyukuk Census Area	Single-Family Detached	Vacant	1	0	0	1	0	29
AL, Autauga County	Mobile Home	Occupied	1	0	0	1	0	67
AL, Autauga County	Mobile Home	Vacant	1	0	0	1	0	67
AL, Autauga County	Multi-Family with 2 - 4 Units	Occupied	1	0	0	1	0	67
AL, Autauga County	Multi-Family with 2 - 4 Units	Vacant	1	0	0	1	0	67
AL, Autauga County	Multi-Family with 5+ Units	Occupied	1	0	0	1	0	67
AL, Autauga County	Multi-Family with 5+ Units	Vacant	1	0	0	1	0	67
AL, Autauga County	Single-Family Attached	Occupied	1	0	0	1	0	67
AL, Autauga County	Single-Family Attached	Vacant	1	0	0	1	0	67
AL, Autauga County	Single-Family Detached	Occupied	0.999951	4.93542e-05	1.24626	22714	109.04	2.20934e+06
AL, Autauga County	Single-Family Detached	Vacant	1	0	0	1	0	67
AL, Baldwin County	Mobile Home	Occupied	1	0	0	1	0	67
AL, Baldwin County	Mobile Home	Vacant	1	0	0	1	0	67
AL, Baldwin County	Multi-Family with 2 - 4 Units	Occupied	1	0	0	1	0	67
AL, Baldwin County	Multi-Family with 2 - 4 Units	Vacant	1	0	0	1	0	67
AL, Baldwin County	Multi-Family with 5+ Units	Occupied	1	0	0	1	0	67
AL, Baldwin County	Multi-Family with 5+ Units	Vacant	1	0	0	1	0	67
AL, Baldwin County	Single-Family Attached	Occupied	1	0	0	1	0	67
AL, Baldwin County	Single-Family Attached	Vacant	1	0	0	1	0	67
AL, Baldwin County	Single-Family Detached	Occupied	0.999951	4.93542e-05	4.68684	107579	109.04	2.20934e+06
AL, Baldwin County	Single-Family Detached	Vacant	1	0	0	1	0	67
AL, Barbour County	Mobile Home	Occupied	1	0	0	1	0	67
AL, Barbour County	Mobile Home	Vacant	1	0	0	1	0	67
AL, Barbour County	Multi-Family with 2 - 4 Units	Occupied	1	0	0	1	0	67
AL, Barbour County	Multi-Family with 2 - 4 Units	Vacant	1	0	0	1	0	67
AL, Barbour County	Multi-Family with 5+ Units	Occupied	1	0	0	1	0	67
AL, Barbour County	Multi-Family with 5+ Units	Vacant	1	0	0	1	0	67
AL, Barbour County	Single-Family Attached	Occupied	1	0	0	1	0	67
AL, Barbour County	Single-Family Attached	Vacant	1	0	0	1	0	67
AL, Barbour County	Single-Family Detached	Occupied	0.999951	4.93542e-05	0.584601	11802	109.04	2.20934e+06
AL, Barbour County	Single-Family Detached	Vacant	1	0	0	1	0	67
AL, Bibb County	Mobile Home	Occupied	1	0	0	1	0	67
AL, Bibb County	Mobile Home	Vacant	1	0	0	1	0	67
AL, Bibb County	Multi-Family with 2 - 4 Units	Occupied	1	0	0	1	0	67
AL, Bibb County	Multi-Family with 2 - 4 Units	Vacant	1	0	0	1	0	67
AL, Bibb County	Multi-Family with 5+ Units	Occupied	1	0	0	1	0	67
AL, Bibb County	Multi-Family with 5+ Units	Vacant	1	0	0	1	0	67
AL, Bibb County	Single-Family Attached	Occupied	1	0	0	1	0	67
AL, Bibb County	Single-Family Attached	Vacant	1	0	0	1	0	67
