Dependency=Geometry Building Type RECS	Dependency=Heating Fuel	Dependency=State	Option=Electricity	Option=Fuel Oil	Option=Natural Gas	Option=Other Fuel	Option=Propane	source_count	source_weight	fallback_count	fallback_weight
Single-Family Attached	Electricity	IA	0.991924	0	0.00807644	0	0	3	12215	35	88798.1
Single-Family Detached	Electricity	IA	0.842983	0	0.063598	0	0.0934187	28	109732	28	109732
Mobile Home	Electricity	ID	1	0	0	0	0	10	23428.5	10	23428.5
Multi-Family with 2 - 4 Units	Electricity	ID	0.75272	0	0.24728	0	0	8	35757.1	19	121087
Multi-Family with 5+ Units	Electricity	ID	0.776344	0	0.223656	0	0	9	35044	53	360904
Single-Family Attached	Electricity	ID	0.838008	0	0.13323	0.0287617	0	5	8187.02	19	47367.9
Single-Family Detached	Electricity	ID	0.939024	0	0.0266829	0	0.034293	29	69468.7	29	69468.7
Mobile Home	Electricity	IL	1	0	0	0	0	3	37417.9	11	121169
Multi-Family with 2 - 4 Units	Electricity	IL	0.779472	0	0.220528	0	0	7	113318	36	578588
Multi-Family with 5+ Units	Electricity	IL	0.945634	0	0.054366	0	0	38	433664	38	433664
Single-Family Attached	Electricity	IL	0.907065	0	0.0929348	0	0	4	16547.6	21	96764.3
Single-Family Detached	Electricity	IL	0.823269	0	0.122691	0.0293615	0.0246787	26	210363	26	210363
Mobile Home	Electricity	IN	1	0	0	0	0	4	27658.7	11	121169
Multi-Family with 2 - 4 Units	Electricity	IN	0.779472	0	0.220528	0	0	8	102229	36	578588
Multi-Family with 5+ Units	Electricity	IN	0.766507	0.0814677	0.152025	0	0	15	147683	15	147683
Single-Family Attached	Electricity	IN	0.907065	0	0.0929348	0	0	8	28071.1	21	96764.3
Single-Family Detached	Electricity	IN	0.824332	0	0.122789	0.0240335	0.0288458	64	372283	64	372283
Mobile Home	Electricity	KS	0.985451	0	0	0	0.0145491	1	8048.63	21	137481
Multi-Family with 2 - 4 Units	Electricity	KS	0.980702	0	0.0192978	0	0	7	50563.3	34	212875
Multi-Family with 5+ Units	Electricity	KS	0.936985	0	0.0630146	0	0	13	110833	13	110833
Single-Family Attached	Electricity	KS	0.991924	0	0.00807644	0	0	2	5994.73	35	88798.1
Single-Family Detached	Electricity	KS	0.731117	0	0	0	0.268883	12	58406.3	12	58406.3
Mobile Home	Electricity	KY	1	0	0	0	0	28	109729	28	109729
Multi-Family with 2 - 4 Units	Electricity	KY	1	0	0	0	0	14	70907.4	14	70907.4
Multi-Family with 5+ Units	Electricity	KY	1	0	0	0	0	22	127002	22	127002
Single-Family Attached	Electricity	KY	0.859058	0	0.140942	0	0	20	35495	20	35495
Single-Family Detached	Electricity	KY	0.945667	0	0.0329073	0	0.0214256	123	501816	123	501816
Mobile Home	Electricity	LA	1	0	0	0	0	34	208526	34	208526
Multi-Family with 2 - 4 Units	Electricity	LA	0.893627	0	0.0887261	0	0.0176472	9	52466.4	62	580955
Multi-Family with 5+ Units	Electricity	LA	0.872205	0	0.0870783	0	0.0407172	24	207065	24	207065
Single-Family Attached	Electricity	LA	0.865095	0.02722	0.0913652	0	0.0163197	9	21785.3	48	176853
Single-Family Detached	Electricity	LA	0.786634	0	0.158571	0	0.0547944	108	573962	108	573962
Mobile Home	Electricity	MA	0.830923	0.0542253	0.0220469	0.0108787	0.0819257	2	8770.72	81	232624
Multi-Family with 2 - 4 Units	Electricity	MA	0.641537	0	0.240414	0	0.11805	9	71950.1	25	169459
Multi-Family with 5+ Units	Electricity	MA	0.819185	0	0.155536	0.0252787	0	45	290604	45	290604
Single-Family Attached	Electricity	MA	0.784704	0	0.119102	0.0961938	0	10	26307.9	10	26307.9
Single-Family Detached	Electricity	MA	0.816534	0.0648981	0	0	0.118568	18	71663.9	18	71663.9
Mobile Home	Electricity	MD	0.973947	0	0.0122276	0	0.0138249	1	10164.5	168	1.61927e+06
Multi-Family with 2 - 4 Units	Electricity	MD	0.965084	0	0.034916	0	0	7	45706.4	91	696635
Multi-Family with 5+ Units	Electricity	MD	0.879065	0	0.0547822	0.0377244	0.0284289	37	352839	37	352839
Single-Family Attached	Electricity	MD	0.892318	0.0293202	0.0315366	0	0.046825	26	126748	26	126748
Single-Family Detached	Electricity	MD	0.918661	0	0.0272615	0	0.0540778	71	410045	71	410045
Mobile Home	Electricity	ME	0.830923	0.0542253	0.0220469	0.0108787	0.0819257	0	0	81	232624
Multi-Family with 2 - 4 Units	Electricity	ME	0.641537	0	0.240414	0	0.11805	1	4953.49	25	169459
Multi-Family with 5+ Units	Electricity	ME	0.759046	0	0.21871	0.0222435	0	9	31676.6	94	505226
Single-Family Attached	Electricity	ME	0.872537	0	0.0575129	0.0464508	0.0234993	1	1431.82	23	54480.5
Single-Family Detached	Electricity	ME	0.808783	0.0744754	0.0117805	0	0.104962	8	18430.1	56	169373
Mobile Home	Electricity	MI	1	0	0	0	0	0	0	11	121169
Multi-Family with 2 - 4 Units	Electricity	MI	0.779472	0	0.220528	0	0	5	78163.8	36	578588
Multi-Family with 5+ Units	Electricity	MI	0.851553	0	0.148447	0	0	15	208963	15	208963
Single-Family Attached	Electricity	MI	0.907065	0	0.0929348	0	0	2	11007.7	21	96764.3
Single-Family Detached	Electricity	MI	0.875487	0	0.0792831	0.0127084	0.0325212	7	79889.8	143	1.19007e+06
Mobile Home	Electricity	MN	0.985451	0	0	0	0.0145491	0	0	21	137481
Multi-Family with 2 - 4 Units	Electricity	MN	0.980702	0	0.0192978	0	0	5	47202.3	34	212875
Multi-Family with 5+ Units	Electricity	MN	0.893825	0	0.106175	0	0	11	114953	11	114953
Single-Family Attached	Electricity	MN	0.991924	0	0.00807644	0	0	1	3616.46	35	88798.1
Single-Family Detached	Electricity	MN	0.962157	0	0.0378434	0	0	24	151006	24	151006
Mobile Home	Electricity	MO	1	0	0	0	0	13	118012	13	118012
Multi-Family with 2 - 4 Units	Electricity	MO	0.980702	0	0.0192978	0	0	5	57353.1	34	212875
Multi-Family with 5+ Units	Electricity	MO	1	0	0	0	0	16	191044	16	191044
Single-Family Attached	Electricity	MO	0.991924	0	0.00807644	0	0	7	41879.4	35	88798.1
Single-Family Detached	Electricity	MO	0.914133	0	0.0464102	0	0.0394572	46	345951	46	345951
Mobile Home	Electricity	MS	0.826312	0	0.116804	0	0.0568833	19	115026	19	115026
Multi-Family with 2 - 4 Units	Electricity	MS	0.847971	0	0.113515	0	0.0385138	3	23214.8	47	309825
Multi-Family with 5+ Units	Electricity	MS	1	0	0	0	0	13	150685	13	150685
Single-Family Attached	Electricity	MS	0.90976	0	0.0902403	0	0	2	4969.04	45	100210
Single-Family Detached	Electricity	MS	0.816243	0	0.105617	0	0.0781395	51	313538	51	313538
Mobile Home	Electricity	MT	0.945716	0	0.0207511	0	0.0335327	5	12069.2	19	44581.3
Multi-Family with 2 - 4 Units	Electricity	MT	0.75272	0	0.24728	0	0	5	22376.3	19	121087
Multi-Family with 5+ Units	Electricity	MT	0.776344	0	0.223656	0	0	6	22640.7	53	360904
Single-Family Attached	Electricity	MT	0.838008	0	0.13323	0.0287617	0	5	9286.21	19	47367.9
Single-Family Detached	Electricity	MT	0.886096	0	0.064547	0.0493565	0	16	38800.7	16	38800.7
Mobile Home	Electricity	NC	0.943489	0	0	0	0.0565112	38	396138	38	396138
Multi-Family with 2 - 4 Units	Electricity	NC	1	0	0	0	0	11	88426.4	11	88426.4
Multi-Family with 5+ Units	Electricity	NC	0.975784	0	0.0242157	0	0	46	531158	46	531158
Single-Family Attached	Electricity	NC	0.817402	0	0.182598	0	0	22	147420	22	147420
Single-Family Detached	Electricity	NC	0.900925	0	0.0609497	0	0.0381254	169	1.34117e+06	169	1.34117e+06
Mobile Home	Electricity	ND	0.985451	0	0	0	0.0145491	5	4937.88	21	137481
Multi-Family with 2 - 4 Units	Electricity	ND	0.980702	0	0.0192978	0	0	7	7955.03	34	212875
Multi-Family with 5+ Units	Electricity	ND	0.89375	0	0.0845302	0.0217196	0	39	52955.7	39	52955.7
Single-Family Attached	Electricity	ND	0.926834	0	0.0731663	0	0	16	9801.95	16	9801.95
Single-Family Detached	Electricity	ND	0.91813	0	0.0243867	0	0.0574837	36	31322.3	36	31322.3
Mobile Home	Electricity	NE	0.985451	0	0	0	0.0145491	0	0	21	137481
Multi-Family with 2 - 4 Units	Electricity	NE	0.980702	0	0.0192978	0	0	4	22856.5	34	212875
Multi-Family with 5+ Units	Electricity	NE	0.918539	0	0.0814608	0	0	11	65976.3	11	65976.3
Single-Family Attached	Electricity	NE	0.991924	0	0.00807644	0	0	5	13722.3	35	88798.1
Single-Family Detached	Electricity	NE	0.78066	0	0.165494	0	0.0538454	23	84186	23	84186
Mobile Home	Electricity	NH	0.830923	0.0542253	0.0220469	0.0108787	0.0819257	0	0	81	232624
Multi-Family with 2 - 4 Units	Electricity	NH	0.641537	0	0.240414	0	0.11805	1	4071.14	25	169459
Multi-Family with 5+ Units	Electricity	NH	0.759046	0	0.21871	0.0222435	0	7	28445.5	94	505226
Single-Family Attached	Electricity	NH	0.872537	0	0.0575129	0.0464508	0.0234993	2	3471.98	23	54480.5
Single-Family Detached	Electricity	NH	0.808783	0.0744754	0.0117805	0	0.104962	4	11118.7	56	169373
Mobile Home	Electricity	NJ	0.851085	0.0393693	0.067075	0.00600454	0.0364663	1	10991	147	1.0531e+06
Multi-Family with 2 - 4 Units	Electricity	NJ	0.601975	0	0.209034	0	0.188991	11	117191	11	117191
Multi-Family with 5+ Units	Electricity	NJ	0.969536	0.0304645	0	0	0	33	323260	33	323260
Single-Family Attached	Electricity	NJ	0.806747	0.0235311	0.135174	0	0.0345484	6	32251	35	242552
Single-Family Detached	Electricity	NJ	1	0	0	0	0	10	63868	10	63868
Mobile Home	Electricity	NM	0.791739	0	0.0637461	0	0.144514	5	26922.9	27	158747
Multi-Family with 2 - 4 Units	Electricity	NM	0.849156	0	0.150844	0	0	2	11462.8	16	132328
Multi-Family with 5+ Units	Electricity	NM	0.763448	0	0.236552	0	0	4	23754.1	55	438683
Single-Family Attached	Electricity	NM	0.80974	0	0.19026	0	0	1	1797.1	31	80498
Single-Family Detached	Electricity	NM	0.760871	0	0.189814	0.0166197	0.0326949	9	39548.7	175	914875
Mobile Home	Electricity	NV	0.791739	0	0.0637461	0	0.144514	6	32430.2	27	158747
Multi-Family with 2 - 4 Units	Electricity	NV	0.849156	0	0.150844	0	0	4	32660.7	16	132328
Multi-Family with 5+ Units	Electricity	NV	0.738438	0	0.261562	0	0	16	123855	16	123855
Single-Family Attached	Electricity	NV	0.80974	0	0.19026	0	0	6	13825.1	31	80498
Single-Family Detached	Electricity	NV	0.760668	0	0.239332	0	0	14	62203.7	14	62203.7
Mobile Home	Electricity	NY	0.851085	0.0393693	0.067075	0.00600454	0.0364663	1	6509.03	147	1.0531e+06
Multi-Family with 2 - 4 Units	Electricity	NY	0.87999	0	0.12001	0	0	23	280429	23	280429
Multi-Family with 5+ Units	Electricity	NY	0.84062	0	0.14022	0	0.0191609	70	691603	70	691603
Single-Family Attached	Electricity	NY	0.606289	0.0704531	0.219818	0	0.103439	11	81011.2	11	81011.2
Single-Family Detached	Electricity	NY	0.885368	0	0.069711	0	0.0449206	20	134283	20	134283
Mobile Home	Electricity	OH	1	0	0	0	0	4	56091.9	11	121169
Multi-Family with 2 - 4 Units	Electricity	OH	0.779472	0	0.220528	0	0	9	209913	36	578588
Multi-Family with 5+ Units	Electricity	OH	0.724623	0	0.22222	0	0.053157	19	355548	19	355548
Single-Family Attached	Electricity	OH	0.907065	0	0.0929348	0	0	5	33791	21	96764.3
Single-Family Detached	Electricity	OH	0.95004	0	0	0	0.0499597	35	455811	35	455811
Mobile Home	Electricity	OK	0.902221	0	0.0667788	0	0.0310001	8	57386.4	98	792370
Multi-Family with 2 - 4 Units	Electricity	OK	0.893627	0	0.0887261	0	0.0176472	4	27806.3	62	580955
Multi-Family with 5+ Units	Electricity	OK	0.856337	0	0.143663	0	0	13	130707	13	130707
Single-Family Attached	Electricity	OK	0.865095	0.02722	0.0913652	0	0.0163197	5	16167.8	48	176853
Single-Family Detached	Electricity	OK	0.826915	0	0.115906	0	0.0571794	55	346411	55	346411
Mobile Home	Electricity	OR	0.903306	0	0.0496674	0	0.0470262	18	95445.8	18	95445.8
Multi-Family with 2 - 4 Units	Electricity	OR	0.771639	0	0.228361	0	0	5	33744.9	42	528441
Multi-Family with 5+ Units	Electricity	OR	0.971867	0	0.0281332	0	0	35	249214	35	249214
Single-Family Attached	Electricity	OR	0.915204	0	0.0847955	0	0	13	45870.7	13	45870.7
Single-Family Detached	Electricity	OR	0.925839	0	0.0583606	0	0.0158003	63	318129	63	318129
Mobile Home	Electricity	PA	0.851085	0.0393693	0.067075	0.00600454	0.0364663	4	32282.7	147	1.0531e+06
Multi-Family with 2 - 4 Units	Electricity	PA	1	0	0	0	0	13	160527	13	160527
Multi-Family with 5+ Units	Electricity	PA	0.856904	0	0.143096	0	0	46	456977	46	456977
Single-Family Attached	Electricity	PA	0.949161	0	0.0508395	0	0	18	129289	18	129289
Single-Family Detached	Electricity	PA	0.843505	0.0635467	0.0390675	0.0112393	0.0426417	76	562614	76	562614
Mobile Home	Electricity	RI	0.830923	0.0542253	0.0220469	0.0108787	0.0819257	0	0	81	232624
Multi-Family with 2 - 4 Units	Electricity	RI	0.641537	0	0.240414	0	0.11805	3	11098.3	25	169459
Multi-Family with 5+ Units	Electricity	RI	0.737746	0	0.262254	0	0	10	29644.1	10	29644.1
Single-Family Attached	Electricity	RI	0.872537	0	0.0575129	0.0464508	0.0234993	1	1280.25	23	54480.5
Single-Family Detached	Electricity	RI	0.808783	0.0744754	0.0117805	0	0.104962	6	11204.8	56	169373
Mobile Home	Electricity	SC	1	0	0	0	0	32	226042	32	226042
Multi-Family with 2 - 4 Units	Electricity	SC	1	0	0	0	0	16	92745.6	16	92745.6
Multi-Family with 5+ Units	Electricity	SC	0.906755	0	0.0932445	0	0	22	164900	22	164900
Single-Family Attached	Electricity	SC	0.942443	0	0.0575569	0	0	13	54900.8	13	54900.8
Single-Family Detached	Electricity	SC	0.894869	0	0.0831264	0	0.0220044	126	725138	126	725138
Mobile Home	Electricity	SD	0.985451	0	0	0	0.0145491	1	1977.05	21	137481
Multi-Family with 2 - 4 Units	Electricity	SD	0.980702	0	0.0192978	0	0	3	8765.09	34	212875
Multi-Family with 5+ Units	Electricity	SD	0.951376	0	0.0467716	0.00185247	0	9	26095.9	106	620890
Single-Family Attached	Electricity	SD	0.991924	0	0.00807644	0	0	1	1568.2	35	88798.1
Single-Family Detached	Electricity	SD	0.918946	0	0.0810541	0	0	26	46620.9	26	46620.9
Mobile Home	Electricity	TN	1	0	0	0	0	35	178171	35	178171
Multi-Family with 2 - 4 Units	Electricity	TN	0.8047	0	0.0747301	0	0.12057	16	98968	16	98968
Multi-Family with 5+ Units	Electricity	TN	0.962352	0	0.0376478	0	0	39	297286	39	297286
Single-Family Attached	Electricity	TN	1	0	0	0	0	16	35470.2	16	35470.2
Single-Family Detached	Electricity	TN	0.938874	0	0.0442047	0	0.0169209	188	996790	188	996790
Mobile Home	Electricity	TX	0.844939	0	0.0976183	0	0.057443	37	427616	37	427616
Multi-Family with 2 - 4 Units	Electricity	TX	0.883812	0	0.0946381	0	0.0215501	44	475739	44	475739
Multi-Family with 5+ Units	Electricity	TX	0.833613	0	0.150288	0	0.0160996	105	1.57921e+06	105	1.57921e+06
Single-Family Attached	Electricity	TX	0.882679	0.0385826	0.0787385	0	0	28	124769	28	124769
Single-Family Detached	Electricity	TX	0.838467	0	0.125818	0	0.035715	278	2.66259e+06	278	2.66259e+06
Mobile Home	Electricity	UT	0.945716	0	0.0207511	0	0.0335327	0	0	19	44581.3
Multi-Family with 2 - 4 Units	Electricity	UT	0.75272	0	0.24728	0	0	2	24353.4	19	121087
Multi-Family with 5+ Units	Electricity	UT	0.776344	0	0.223656	0	0	6	66581.6	53	360904
Single-Family Attached	Electricity	UT	0.838008	0	0.13323	0.0287617	0	1	4093.06	19	47367.9
Single-Family Detached	Electricity	UT	0.800765	0	0.177453	0.00769871	0.0140833	8	38597.5	82	248752
Mobile Home	Electricity	VA	1	0	0	0	0	20	178502	20	178502
Multi-Family with 2 - 4 Units	Electricity	VA	1	0	0	0	0	15	112573	15	112573
Multi-Family with 5+ Units	Electricity	VA	0.764979	0	0.235021	0	0	41	409010	41	409010
Single-Family Attached	Electricity	VA	0.929137	0	0.0377822	0	0.0330808	24	119264	24	119264
Single-Family Detached	Electricity	VA	0.90602	0.00944453	0.042315	0	0.0422206	116	808055	116	808055
Mobile Home	Electricity	VT	0.830923	0.0542253	0.0220469	0.0108787	0.0819257	0	0	81	232624
Multi-Family with 2 - 4 Units	Electricity	VT	0.641537	0	0.240414	0	0.11805	2	3186.1	25	169459
Multi-Family with 5+ Units	Electricity	VT	0.759046	0	0.21871	0.0222435	0	7	8381.2	94	505226
Single-Family Attached	Electricity	VT	0.872537	0	0.0575129	0.0464508	0.0234993	0	0	23	54480.5
Single-Family Detached	Electricity	VT	0.808783	0.0744754	0.0117805	0	0.104962	6	5034.55	56	169373
Mobile Home	Electricity	WA	0.967725	0	0	0	0.0322749	22	156503	22	156503
Multi-Family with 2 - 4 Units	Electricity	WA	1	0	0	0	0	16	161459	16	161459
Multi-Family with 5+ Units	Electricity	WA	0.942895	0	0.013357	0	0.0437482	65	577585	65	577585
Single-Family Attached	Electricity	WA	0.873961	0	0.126039	0	0	13	54027.3	13	54027.3
Single-Family Detached	Electricity	WA	0.915752	0	0.0593124	0	0.0249358	111	680368	111	680368
Mobile Home	Electricity	WI	1	0	0	0	0	0	0	11	121169
Multi-Family with 2 - 4 Units	Electricity	WI	0.779472	0	0.220528	0	0	7	74964.5	36	578588
Multi-Family with 5+ Units	Electricity	WI	0.917077	0	0.0829228	0	0	21	178090	21	178090
Single-Family Attached	Electricity	WI	0.907065	0	0.0929348	0	0	2	7346.89	21	96764.3
Single-Family Detached	Electricity	WI	0.844058	0	0.155942	0	0	11	71722.3	11	71722.3
Mobile Home	Electricity	WV	1	0	0	0	0	20	80792.5	20	80792.5
