Dependency=Geometry Building Type RECS	Dependency=PUMA	Option=Occupied	Option=Vacant	source_count	source_weight	fallback_count	fallback_weight
Single-Family Detached	AL, 00800	0.882806	0.117194	1930	41282	1930	41282
Mobile Home	AL, 00900	0.783879	0.216121	246	5372	246	5372
Multi-Family with 2 - 4 Units	AL, 00900	0.748931	0.251069	113	2338	113	2338
Multi-Family with 5+ Units	AL, 00900	0.836015	0.163985	135	2921	135	2921
Single-Family Attached	AL, 00900	0.769231	0.230769	14	364	14	364
Single-Family Detached	AL, 00900	0.824267	0.175733	1852	36709	1852	36709
Mobile Home	AL, 01000	0.711137	0.288863	869	20958	869	20958
Multi-Family with 2 - 4 Units	AL, 01000	0.87034	0.12966	158	3702	158	3702
Multi-Family with 5+ Units	AL, 01000	0.844378	0.155622	116	2988	116	2988
Single-Family Attached	AL, 01000	0.923497	0.0765027	24	366	24	366
Single-Family Detached	AL, 01000	0.7807	0.2193	2520	52166	2520	52166
Mobile Home	AL, 01100	0.759803	0.240197	343	8518	343	8518
Multi-Family with 2 - 4 Units	AL, 01100	0.850824	0.149176	98	2306	98	2306
Multi-Family with 5+ Units	AL, 01100	0.752772	0.247228	157	3968	157	3968
Single-Family Attached	AL, 01100	0.913253	0.086747	37	830	37	830
Single-Family Detached	AL, 01100	0.853114	0.146886	1700	38009	1700	38009
Mobile Home	AL, 01200	0.827232	0.172768	355	6911	355	6911
Multi-Family with 2 - 4 Units	AL, 01200	0.887599	0.112401	67	1637	67	1637
Multi-Family with 5+ Units	AL, 01200	0.843784	0.156216	326	9154	326	9154
Single-Family Attached	AL, 01200	0.925853	0.0741474	205	4545	205	4545
Single-Family Detached	AL, 01200	0.934925	0.0650747	3183	64741	3183	64741
Mobile Home	AL, 01301	0.851259	0.148741	38	874	38	874
Multi-Family with 2 - 4 Units	AL, 01301	0.741007	0.258993	134	3753	134	3753
Multi-Family with 5+ Units	AL, 01301	0.773165	0.226835	334	9130	334	9130
Single-Family Attached	AL, 01301	0.815985	0.184015	28	538	28	538
Single-Family Detached	AL, 01301	0.753844	0.246156	1555	36481	1555	36481
Mobile Home	AL, 01302	0.882562	0.117438	20	562	20	562
Multi-Family with 2 - 4 Units	AL, 01302	0.717712	0.282288	156	4336	156	4336
Multi-Family with 5+ Units	AL, 01302	0.780125	0.219875	701	18133	701	18133
Single-Family Attached	AL, 01302	0.875847	0.124153	47	886	47	886
Single-Family Detached	AL, 01302	0.82627	0.17373	1360	31192	1360	31192
Mobile Home	AL, 01303	0.859951	0.140049	33	814	33	814
Multi-Family with 2 - 4 Units	AL, 01303	0.906047	0.0939528	139	3853	139	3853
Multi-Family with 5+ Units	AL, 01303	0.775078	0.224922	742	23866	742	23866
Single-Family Attached	AL, 01303	0.901252	0.0987483	175	3595	175	3595
Single-Family Detached	AL, 01303	0.937324	0.0626757	2117	45185	2117	45185
Mobile Home	AL, 01304	0.875514	0.124486	190	4137	190	4137
Multi-Family with 2 - 4 Units	AL, 01304	0.86759	0.13241	88	2817	88	2817
Multi-Family with 5+ Units	AL, 01304	0.867204	0.132796	205	7937	205	7937
Single-Family Attached	AL, 01304	0.919001	0.0809992	55	1321	55	1321
Single-Family Detached	AL, 01304	0.912805	0.0871946	2623	58249	2623	58249
Mobile Home	AL, 01305	0.741488	0.258512	125	2379	125	2379
Multi-Family with 2 - 4 Units	AL, 01305	0.922198	0.0778016	51	1401	51	1401
Multi-Family with 5+ Units	AL, 01305	0.868256	0.131744	99	3818	99	3818
Single-Family Attached	AL, 01305	0.873938	0.126062	31	706	31	706
Single-Family Detached	AL, 01305	0.853841	0.146159	1891	41797	1891	41797
Mobile Home	AL, 01400	0.765868	0.234132	721	13864	721	13864
Multi-Family with 2 - 4 Units	AL, 01400	0.783242	0.216758	156	3294	156	3294
Multi-Family with 5+ Units	AL, 01400	0.806259	0.193741	101	2173	101	2173
Single-Family Attached	AL, 01400	1	0	22	447	22	447
Single-Family Detached	AL, 01400	0.814707	0.185293	2080	38280	2080	38280
Mobile Home	AL, 01500	0.821075	0.178925	413	9490	413	9490
Multi-Family with 2 - 4 Units	AL, 01500	0.870321	0.129679	49	748	49	748
Multi-Family with 5+ Units	AL, 01500	0.933078	0.0669216	36	1046	36	1046
Single-Family Attached	AL, 01500	1	0	15	143	15	143
Single-Family Detached	AL, 01500	0.87939	0.12061	1737	32236	1737	32236
Mobile Home	AL, 01600	0.806137	0.193863	85	2053	85	2053
Multi-Family with 2 - 4 Units	AL, 01600	0.744693	0.255307	174	5088	174	5088
Multi-Family with 5+ Units	AL, 01600	0.582545	0.417455	669	20395	669	20395
Single-Family Attached	AL, 01600	0.875661	0.124339	62	1134	62	1134
Single-Family Detached	AL, 01600	0.858263	0.141737	1202	27812	1202	27812
Mobile Home	AL, 01700	0.707914	0.292086	884	18296	884	18296
Multi-Family with 2 - 4 Units	AL, 01700	0.750219	0.249781	150	4556	150	4556
Multi-Family with 5+ Units	AL, 01700	0.839335	0.160665	102	3249	102	3249
Single-Family Attached	AL, 01700	0.782609	0.217391	21	368	21	368
Single-Family Detached	AL, 01700	0.727701	0.272299	2066	37995	2066	37995
Mobile Home	AL, 01800	0.790104	0.209896	669	15703	669	15703
Multi-Family with 2 - 4 Units	AL, 01800	0.849658	0.150342	96	2634	96	2634
Multi-Family with 5+ Units	AL, 01800	0.658709	0.341291	115	3686	115	3686
Single-Family Attached	AL, 01800	0.633039	0.366961	34	793	34	793
Single-Family Detached	AL, 01800	0.769059	0.230941	2122	42959	2122	42959
Mobile Home	AL, 01900	0.864177	0.135823	331	11007	331	11007
Multi-Family with 2 - 4 Units	AL, 01900	0.810228	0.189772	132	5006	132	5006
Multi-Family with 5+ Units	AL, 01900	0.770279	0.229721	350	12550	350	12550
Single-Family Attached	AL, 01900	0.943461	0.0565388	75	2034	75	2034
Single-Family Detached	AL, 01900	0.914241	0.085759	1417	38375	1417	38375
Mobile Home	AL, 02000	0.806241	0.193759	82	2147	82	2147
Multi-Family with 2 - 4 Units	AL, 02000	0.786339	0.213661	239	6061	239	6061
Multi-Family with 5+ Units	AL, 02000	0.792215	0.207785	521	18163	521	18163
Single-Family Attached	AL, 02000	0.793841	0.206159	152	2760	152	2760
Single-Family Detached	AL, 02000	0.88603	0.11397	2873	61481	2873	61481
Mobile Home	AL, 02100	0.837495	0.162505	602	14898	602	14898
Multi-Family with 2 - 4 Units	AL, 02100	0.870483	0.129517	83	2131	83	2131
Multi-Family with 5+ Units	AL, 02100	0.962651	0.0373488	95	3802	95	3802
Single-Family Attached	AL, 02100	0.954068	0.0459318	30	762	30	762
Single-Family Detached	AL, 02100	0.877903	0.122097	2546	55374	2546	55374
Mobile Home	AL, 02200	0.651921	0.348079	981	18898	981	18898
Multi-Family with 2 - 4 Units	AL, 02200	0.759787	0.240213	115	2631	115	2631
Multi-Family with 5+ Units	AL, 02200	0.878724	0.121276	112	2383	112	2383
Single-Family Attached	AL, 02200	0.638554	0.361446	20	415	20	415
Single-Family Detached	AL, 02200	0.735981	0.264019	2668	45330	2668	45330
Mobile Home	AL, 02300	0.693301	0.306699	1018	11539	1018	11539
Multi-Family with 2 - 4 Units	AL, 02300	0.755579	0.244421	180	2868	180	2868
Multi-Family with 5+ Units	AL, 02300	0.809398	0.190602	118	2660	118	2660
Single-Family Attached	AL, 02300	0.928283	0.0717172	64	990	64	990
Single-Family Detached	AL, 02300	0.804321	0.195679	3358	41011	3358	41011
Mobile Home	AL, 02400	0.738269	0.261731	831	14832	831	14832
Multi-Family with 2 - 4 Units	AL, 02400	0.785244	0.214756	269	6384	269	6384
Multi-Family with 5+ Units	AL, 02400	0.764992	0.235008	198	5753	198	5753
Single-Family Attached	AL, 02400	0.900552	0.0994475	40	543	40	543
Single-Family Detached	AL, 02400	0.795908	0.204092	2439	43157	2439	43157
Mobile Home	AL, 02500	0.722431	0.277569	1513	16749	1513	16749
Multi-Family with 2 - 4 Units	AL, 02500	0.719925	0.280075	585	5877	585	5877
Multi-Family with 5+ Units	AL, 02500	0.734061	0.265939	663	5866	663	5866
Single-Family Attached	AL, 02500	0.885758	0.114242	154	1313	154	1313
Single-Family Detached	AL, 02500	0.849504	0.150496	7876	62779	7876	62779
Mobile Home	AL, 02600	0.738276	0.261724	423	13285	423	13285
Multi-Family with 2 - 4 Units	AL, 02600	0.673047	0.326953	138	4493	138	4493
Multi-Family with 5+ Units	AL, 02600	0.333544	0.666456	582	23775	582	23775
Single-Family Attached	AL, 02600	0.702721	0.297279	57	1507	57	1507
Single-Family Detached	AL, 02600	0.831303	0.168697	2721	71104	2721	71104
Mobile Home	AL, 02701	0.60146	0.39854	39	685	39	685
Multi-Family with 2 - 4 Units	AL, 02701	0.712766	0.287234	272	5170	272	5170
Multi-Family with 5+ Units	AL, 02701	0.777465	0.222535	287	6035	287	6035
Single-Family Attached	AL, 02701	0.795953	0.204047	40	593	40	593
Single-Family Detached	AL, 02701	0.816118	0.183882	2290	38541	2290	38541
Mobile Home	AL, 02702	0.820979	0.179021	30	715	30	715
Multi-Family with 2 - 4 Units	AL, 02702	0.873481	0.126519	75	1810	75	1810
Multi-Family with 5+ Units	AL, 02702	0.787391	0.212609	509	16528	509	16528
Single-Family Attached	AL, 02702	1	0	39	604	39	604
Single-Family Detached	AL, 02702	0.91157	0.0884304	1570	32715	1570	32715
Mobile Home	AL, 02703	0.799455	0.200545	445	12855	445	12855
Multi-Family with 2 - 4 Units	AL, 02703	0.79415	0.20585	46	923	46	923
Multi-Family with 5+ Units	AL, 02703	0.805113	0.194887	118	4772	118	4772
Single-Family Attached	AL, 02703	0.893939	0.106061	20	330	20	330
Single-Family Detached	AL, 02703	0.892255	0.107745	2556	61395	2556	61395
Mobile Home	AR, 00100	0.814869	0.185131	227	4775	227	4775
Multi-Family with 2 - 4 Units	AR, 00100	0.929117	0.0708827	238	5234	238	5234
Multi-Family with 5+ Units	AR, 00100	0.894847	0.105153	446	10518	446	10518
Single-Family Attached	AR, 00100	0.925335	0.0746646	221	6335	221	6335
Single-Family Detached	AR, 00100	0.929531	0.0704692	3967	78772	3967	78772
Mobile Home	AR, 00200	0.84261	0.15739	184	4905	184	4905
Multi-Family with 2 - 4 Units	AR, 00200	0.882859	0.117141	236	8955	236	8955
Multi-Family with 5+ Units	AR, 00200	0.920478	0.0795215	544	18976	544	18976
Single-Family Attached	AR, 00200	1	0	92	2490	92	2490
Single-Family Detached	AR, 00200	0.949301	0.0506992	2517	58285	2517	58285
Mobile Home	AR, 00300	0.660398	0.339602	609	11911	609	11911
Multi-Family with 2 - 4 Units	AR, 00300	0.789906	0.210094	175	3289	175	3289
Multi-Family with 5+ Units	AR, 00300	0.845611	0.154389	176	3258	176	3258
Single-Family Attached	AR, 00300	0.805074	0.194926	84	1616	84	1616
Single-Family Detached	AR, 00300	0.820092	0.179908	3406	60253	3406	60253
Mobile Home	AR, 00400	0.672975	0.327025	843	16063	843	16063
Multi-Family with 2 - 4 Units	AR, 00400	0.796412	0.203588	168	2564	168	2564
Multi-Family with 5+ Units	AR, 00400	0.581028	0.418972	133	2530	133	2530
Single-Family Attached	AR, 00400	0.705128	0.294872	38	624	38	624
Single-Family Detached	AR, 00400	0.750522	0.249478	3209	52249	3209	52249
Mobile Home	AR, 00500	0.776218	0.223782	442	8191	442	8191
Multi-Family with 2 - 4 Units	AR, 00500	0.886374	0.113626	312	8616	312	8616
Multi-Family with 5+ Units	AR, 00500	0.837916	0.162084	279	7965	279	7965
Single-Family Attached	AR, 00500	0.959236	0.0407643	46	785	46	785
Single-Family Detached	AR, 00500	0.905791	0.0942085	3246	59156	3246	59156
Mobile Home	AR, 00600	0.755029	0.244971	276	3331	276	3331
Multi-Family with 2 - 4 Units	AR, 00600	0.750087	0.249913	273	5750	273	5750
Multi-Family with 5+ Units	AR, 00600	0.881932	0.118068	160	3913	160	3913
Single-Family Attached	AR, 00600	0.933333	0.0666667	38	510	38	510
Single-Family Detached	AR, 00600	0.860984	0.139016	2125	33212	2125	33212
Mobile Home	AR, 00700	0.784489	0.215511	409	6821	409	6821
Multi-Family with 2 - 4 Units	AR, 00700	0.815	0.185	253	4800	253	4800
Multi-Family with 5+ Units	AR, 00700	0.829322	0.170678	122	2285	122	2285
Single-Family Attached	AR, 00700	0.98818	0.0118203	28	423	28	423
Single-Family Detached	AR, 00700	0.809372	0.190628	2173	34612	2173	34612
Mobile Home	AR, 00800	0.797175	0.202825	505	9205	505	9205
Multi-Family with 2 - 4 Units	AR, 00800	0.859655	0.140345	175	3128	175	3128
Multi-Family with 5+ Units	AR, 00800	0.816096	0.183904	151	3007	151	3007
Single-Family Attached	AR, 00800	0.738758	0.261242	28	467	28	467
Single-Family Detached	AR, 00800	0.855118	0.144882	2087	34000	2087	34000
Mobile Home	AR, 00900	0.806261	0.193739	254	7123	254	7123
Multi-Family with 2 - 4 Units	AR, 00900	0.778951	0.221049	217	6537	217	6537
Multi-Family with 5+ Units	AR, 00900	0.848713	0.151287	410	15269	410	15269
Single-Family Attached	AR, 00900	0.872543	0.127457	100	1679	100	1679
Single-Family Detached	AR, 00900	0.893039	0.106961	2643	63004	2643	63004
Mobile Home	AR, 01000	0.833333	0.166667	59	1812	59	1812
Multi-Family with 2 - 4 Units	AR, 01000	0.800798	0.199202	182	5512	182	5512
Multi-Family with 5+ Units	AR, 01000	0.769469	0.230531	687	24860	687	24860
Single-Family Attached	AR, 01000	0.852449	0.147551	66	1613	66	1613
Single-Family Detached	AR, 01000	0.880337	0.119663	2475	56918	2475	56918
Mobile Home	AR, 01100	0.857969	0.142031	495	10033	495	10033
Multi-Family with 2 - 4 Units	AR, 01100	0.85067	0.14933	211	5451	211	5451
Multi-Family with 5+ Units	AR, 01100	0.813067	0.186933	293	8602	293	8602
Single-Family Attached	AR, 01100	0.973829	0.0261708	42	726	42	726
Single-Family Detached	AR, 01100	0.928431	0.071569	2821	54409	2821	54409
Mobile Home	AR, 01200	0.810364	0.189636	340	8221	340	8221
Multi-Family with 2 - 4 Units	AR, 01200	0.831718	0.168282	42	1135	42	1135
Multi-Family with 5+ Units	AR, 01200	0.890473	0.109527	78	2876	78	2876
Single-Family Attached	AR, 01200	0.897054	0.102946	9	147	1045	22575
Single-Family Detached	AR, 01200	0.932147	0.0678532	1556	36240	1556	36240
Mobile Home	AR, 01300	0.728409	0.271591	537	9437	537	9437
Multi-Family with 2 - 4 Units	AR, 01300	0.792797	0.207203	191	4498	191	4498
Multi-Family with 5+ Units	AR, 01300	0.807989	0.192011	133	3630	133	3630
Single-Family Attached	AR, 01300	1	0	19	350	19	350
Single-Family Detached	AR, 01300	0.854494	0.145506	2617	44493	2617	44493
Mobile Home	AR, 01400	0.820986	0.179014	243	4927	243	4927
Multi-Family with 2 - 4 Units	AR, 01400	0.894263	0.105737	262	7774	262	7774
Multi-Family with 5+ Units	AR, 01400	0.863121	0.136879	297	8913	297	8913
Single-Family Attached	AR, 01400	0.960815	0.039185	79	1914	79	1914
Single-Family Detached	AR, 01400	0.908704	0.0912959	2770	60167	2770	60167
Mobile Home	AR, 01500	0.788209	0.211791	489	7989	489	7989
Multi-Family with 2 - 4 Units	AR, 01500	0.805903	0.194097	118	1999	118	1999
Multi-Family with 5+ Units	AR, 01500	0.820169	0.179831	65	1418	65	1418
Single-Family Attached	AR, 01500	0.85	0.15	28	380	28	380
Single-Family Detached	AR, 01500	0.825942	0.174058	2187	35040	2187	35040
Mobile Home	AR, 01600	0.770705	0.229295	591	12944	591	12944
Multi-Family with 2 - 4 Units	AR, 01600	0.662201	0.337799	187	5524	187	5524
Multi-Family with 5+ Units	AR, 01600	0.771843	0.228157	272	7657	272	7657
Single-Family Attached	AR, 01600	0.754349	0.245651	61	1437	61	1437
Single-Family Detached	AR, 01600	0.818865	0.181135	2599	54197	2599	54197
Mobile Home	AR, 01700	0.742979	0.257021	375	7015	375	7015
Multi-Family with 2 - 4 Units	AR, 01700	0.805263	0.194737	89	2090	89	2090
Multi-Family with 5+ Units	AR, 01700	0.859417	0.140583	147	4460	147	4460
Single-Family Attached	AR, 01700	0.652263	0.347737	19	486	19	486
Single-Family Detached	AR, 01700	0.828332	0.171668	1725	32557	1725	32557
Mobile Home	AR, 01800	0.722396	0.277604	703	11801	703	11801
Multi-Family with 2 - 4 Units	AR, 01800	0.871057	0.128943	157	2885	157	2885
Multi-Family with 5+ Units	AR, 01800	0.734518	0.265482	87	1744	87	1744
Single-Family Attached	AR, 01800	0.948529	0.0514706	20	272	20	272
Single-Family Detached	AR, 01800	0.792301	0.207699	2120	33019	2120	33019
Mobile Home	AR, 01900	0.673869	0.326131	527	9950	527	9950
Multi-Family with 2 - 4 Units	AR, 01900	0.812346	0.187654	102	2430	102	2430
Multi-Family with 5+ Units	AR, 01900	0.812353	0.187647	83	2558	83	2558
Single-Family Attached	AR, 01900	1	0	11	102	11	102
Single-Family Detached	AR, 01900	0.753666	0.246334	1973	37027	1973	37027
Mobile Home	AR, 02000	0.72166	0.27834	517	8698	517	8698
Multi-Family with 2 - 4 Units	AR, 02000	0.770642	0.229358	119	2834	119	2834
Multi-Family with 5+ Units	AR, 02000	0.804162	0.195838	154	3748	154	3748
Single-Family Attached	AR, 02000	1	0	16	219	16	219
Single-Family Detached	AR, 02000	0.801326	0.198674	2114	35752	2114	35752
Mobile Home	AZ, 00100	0.784038	0.215962	18	426	18	426
Multi-Family with 2 - 4 Units	AZ, 00100	1	0	15	296	15	296
Multi-Family with 5+ Units	AZ, 00100	0.88734	0.11266	128	3586	128	3586
Single-Family Attached	AZ, 00100	1	0	25	534	25	534
Single-Family Detached	AZ, 00100	0.936144	0.0638562	2198	45900	2198	45900
Mobile Home	AZ, 00101	0.65504	0.34496	959	17202	959	17202
Multi-Family with 2 - 4 Units	AZ, 00101	0.825397	0.174603	60	1134	60	1134
Multi-Family with 5+ Units	AZ, 00101	0.806611	0.193389	248	5657	248	5657
Single-Family Attached	AZ, 00101	0.630493	0.369507	189	3732	189	3732
Single-Family Detached	AZ, 00101	0.872224	0.127776	2576	49884	2576	49884
Mobile Home	AZ, 00102	0.742311	0.257689	224	4552	224	4552
Multi-Family with 2 - 4 Units	AZ, 00102	0.931233	0.0687673	208	5046	208	5046
Multi-Family with 5+ Units	AZ, 00102	0.873887	0.126113	420	9436	420	9436
Single-Family Attached	AZ, 00102	0.829428	0.170572	227	4268	227	4268
Single-Family Detached	AZ, 00102	0.9337	0.0663004	2174	35309	2174	35309
Mobile Home	AZ, 00103	0.851276	0.148724	80	1802	80	1802
Multi-Family with 2 - 4 Units	AZ, 00103	0.913508	0.0864917	213	5145	213	5145
Multi-Family with 5+ Units	AZ, 00103	0.865387	0.134613	762	17866	762	17866
Single-Family Attached	AZ, 00103	0.943318	0.0566818	131	2417	131	2417
Single-Family Detached	AZ, 00103	0.949101	0.0508987	1128	19195	1128	19195
Mobile Home	AZ, 00104	0.569036	0.430964	722	14746	722	14746
Multi-Family with 2 - 4 Units	AZ, 00104	0.910245	0.0897548	101	2284	101	2284
Multi-Family with 5+ Units	AZ, 00104	0.881537	0.118463	456	10881	456	10881
Single-Family Attached	AZ, 00104	0.806876	0.193124	199	3956	199	3956
Single-Family Detached	AZ, 00104	0.90811	0.0918905	1165	22603	1165	22603
Mobile Home	AZ, 00105	0.724886	0.275114	9	211	16000	321140
Multi-Family with 2 - 4 Units	AZ, 00105	0.895377	0.104623	48	822	48	822
Multi-Family with 5+ Units	AZ, 00105	0.884539	0.115461	257	5032	257	5032
Single-Family Attached	AZ, 00105	0.866715	0.133285	70	1388	70	1388
Single-Family Detached	AZ, 00105	0.958037	0.041963	2554	41203	2554	41203
Mobile Home	AZ, 00106	0.96903	0.0309698	60	1227	60	1227
Multi-Family with 2 - 4 Units	AZ, 00106	0.92747	0.07253	132	3502	132	3502
Multi-Family with 5+ Units	AZ, 00106	0.865327	0.134673	417	9705	417	9705
Single-Family Attached	AZ, 00106	0.981557	0.0184434	157	2711	157	2711
Single-Family Detached	AZ, 00106	0.956981	0.0430194	1608	28522	1608	28522
Mobile Home	AZ, 00107	0.836398	0.163602	82	1577	82	1577
Multi-Family with 2 - 4 Units	AZ, 00107	0.894584	0.105416	49	1034	49	1034
Multi-Family with 5+ Units	AZ, 00107	0.870455	0.129545	231	5666	231	5666
Single-Family Attached	AZ, 00107	0.802016	0.197984	58	1091	58	1091
Single-Family Detached	AZ, 00107	0.909742	0.0902576	2393	38512	2393	38512
Mobile Home	AZ, 00108	0.797782	0.202218	44	1172	44	1172
Multi-Family with 2 - 4 Units	AZ, 00108	0.919789	0.0802108	67	1708	67	1708
Multi-Family with 5+ Units	AZ, 00108	0.91619	0.0838098	404	11717	404	11717
Single-Family Attached	AZ, 00108	0.953145	0.0468547	125	2305	125	2305
Single-Family Detached	AZ, 00108	0.962523	0.0374767	1541	28471	1541	28471
Mobile Home	AZ, 00109	0.743007	0.256993	65	1716	65	1716
Multi-Family with 2 - 4 Units	AZ, 00109	0.896704	0.103296	162	4521	162	4521
Multi-Family with 5+ Units	AZ, 00109	0.852545	0.147455	886	24455	886	24455
Single-Family Attached	AZ, 00109	0.882965	0.117035	175	3939	175	3939
Single-Family Detached	AZ, 00109	0.931916	0.0680836	801	17361	801	17361
Mobile Home	AZ, 00110	0.773939	0.226061	38	1013	38	1013
Multi-Family with 2 - 4 Units	AZ, 00110	0.89097	0.10903	196	5072	196	5072
Multi-Family with 5+ Units	AZ, 00110	0.790093	0.209907	965	23801	965	23801
Single-Family Attached	AZ, 00110	0.792437	0.207563	526	10975	526	10975
Single-Family Detached	AZ, 00110	0.892612	0.107388	1615	34650	1615	34650
Mobile Home	AZ, 00111	0.80407	0.19593	87	1720	87	1720
Multi-Family with 2 - 4 Units	AZ, 00111	0.837737	0.162263	136	3217	136	3217
Multi-Family with 5+ Units	AZ, 00111	0.797012	0.202988	415	11715	415	11715
Single-Family Attached	AZ, 00111	0.759538	0.240462	233	5452	233	5452
Single-Family Detached	AZ, 00111	0.862456	0.137544	1620	39689	1620	39689
Mobile Home	AZ, 00112	0.811705	0.188295	39	1179	39	1179
Multi-Family with 2 - 4 Units	AZ, 00112	0.725131	0.274869	75	1910	75	1910
Multi-Family with 5+ Units	AZ, 00112	0.73699	0.26301	293	9589	293	9589
Single-Family Attached	AZ, 00112	0.756517	0.243483	156	3606	156	3606
Single-Family Detached	AZ, 00112	0.868972	0.131028	2291	46654	2291	46654
