Dependency=Geometry Building Type RECS	Dependency=PUMA	Dependency=Vacancy Status	Option=Not Available	Option=Owner	Option=Renter	source_count	source_weight	fallback_count	fallback_weight
Mobile Home	AL, 00100	Occupied	0	0.70228	0.29772	378	7675	378	7675
Mobile Home	AL, 00100	Vacant	1	0	0	90	2525	90	2525
Multi-Family with 2 - 4 Units	AL, 00100	Occupied	0	0.0410992	0.958901	203	4112	203	4112
Multi-Family with 2 - 4 Units	AL, 00100	Vacant	1	0	0	31	917	31	917
Multi-Family with 5+ Units	AL, 00100	Occupied	0	0.0102314	0.989769	244	6353	244	6353
Multi-Family with 5+ Units	AL, 00100	Vacant	1	0	0	39	1705	39	1705
Single-Family Attached	AL, 00100	Occupied	0	0.461207	0.538793	30	464	30	464
Single-Family Attached	AL, 00100	Vacant	1	0	0	0	0	155	4455
Single-Family Detached	AL, 00100	Occupied	0	0.825353	0.174647	3015	55884	3015	55884
Single-Family Detached	AL, 00100	Vacant	1	0	0	322	9734	322	9734
Mobile Home	AL, 00200	Occupied	0	0.636314	0.363686	254	7325	254	7325
Mobile Home	AL, 00200	Vacant	1	0	0	30	1355	30	1355
Multi-Family with 2 - 4 Units	AL, 00200	Occupied	0	0.0183554	0.981645	52	1362	52	1362
Multi-Family with 2 - 4 Units	AL, 00200	Vacant	1	0	0	8	348	1123	37732
Multi-Family with 5+ Units	AL, 00200	Occupied	0	0.0414307	0.958569	110	3355	110	3355
Multi-Family with 5+ Units	AL, 00200	Vacant	1	0	0	8	299	2887	113568
Single-Family Attached	AL, 00200	Occupied	0	0.683212	0.316788	36	685	36	685
Single-Family Attached	AL, 00200	Vacant	1	0	0	2	232	262	8741
Single-Family Detached	AL, 00200	Occupied	0	0.874046	0.125954	2289	57759	2289	57759
Single-Family Detached	AL, 00200	Vacant	1	0	0	105	4728	105	4728
Mobile Home	AL, 00301	Occupied	0	0.712074	0.287926	36	969	36	969
Mobile Home	AL, 00301	Vacant	1	0	0	2	60	71	2318
Multi-Family with 2 - 4 Units	AL, 00301	Occupied	0	0.0388049	0.961195	83	2912	83	2912
Multi-Family with 2 - 4 Units	AL, 00301	Vacant	1	0	0	11	482	11	482
Multi-Family with 5+ Units	AL, 00301	Occupied	0	0.0493727	0.950627	339	12274	339	12274
Multi-Family with 5+ Units	AL, 00301	Vacant	1	0	0	34	1703	34	1703
Single-Family Attached	AL, 00301	Occupied	0	0.593913	0.406087	43	1150	43	1150
Single-Family Attached	AL, 00301	Vacant	1	0	0	1	28	262	8741
Single-Family Detached	AL, 00301	Occupied	0	0.833821	0.166179	1621	36262	1621	36262
Single-Family Detached	AL, 00301	Vacant	1	0	0	69	2258	69	2258
Mobile Home	AL, 00302	Occupied	0	0.60631	0.39369	32	729	32	729
Mobile Home	AL, 00302	Vacant	1	0	0	5	165	85	2696
Multi-Family with 2 - 4 Units	AL, 00302	Occupied	0	0.0398679	0.960132	169	4239	169	4239
Multi-Family with 2 - 4 Units	AL, 00302	Vacant	1	0	0	16	533	16	533
Multi-Family with 5+ Units	AL, 00302	Occupied	0	0.0305972	0.969403	387	9478	387	9478
Multi-Family with 5+ Units	AL, 00302	Vacant	1	0	0	38	1641	38	1641
Single-Family Attached	AL, 00302	Occupied	0	0.696909	0.303091	63	1003	63	1003
Single-Family Attached	AL, 00302	Vacant	1	0	0	2	78	139	3759
Single-Family Detached	AL, 00302	Occupied	0	0.821232	0.178768	1732	29116	1732	29116
Single-Family Detached	AL, 00302	Vacant	1	0	0	80	2531	80	2531
Mobile Home	AL, 00400	Occupied	0	0.727529	0.272471	544	9935	544	9935
Mobile Home	AL, 00400	Vacant	1	0	0	97	2498	97	2498
Multi-Family with 2 - 4 Units	AL, 00400	Occupied	0	0	1	147	2244	147	2244
Multi-Family with 2 - 4 Units	AL, 00400	Vacant	1	0	0	6	196	1407	40889
Multi-Family with 5+ Units	AL, 00400	Occupied	0	0.0208614	0.979139	71	1486	71	1486
Multi-Family with 5+ Units	AL, 00400	Vacant	1	0	0	8	297	1520	47715
Single-Family Attached	AL, 00400	Occupied	0	0.782297	0.217703	29	418	29	418
Single-Family Attached	AL, 00400	Vacant	1	0	0	2	47	155	4455
Single-Family Detached	AL, 00400	Occupied	0	0.801605	0.198395	2240	32652	2240	32652
Single-Family Detached	AL, 00400	Vacant	1	0	0	294	6577	294	6577
Mobile Home	AL, 00500	Occupied	0	0.652815	0.347185	317	5631	317	5631
Mobile Home	AL, 00500	Vacant	1	0	0	55	1331	55	1331
Multi-Family with 2 - 4 Units	AL, 00500	Occupied	0	0.0476668	0.952333	233	1993	233	1993
Multi-Family with 2 - 4 Units	AL, 00500	Vacant	1	0	0	21	222	21	222
Multi-Family with 5+ Units	AL, 00500	Occupied	0	0	1	210	1951	210	1951
Multi-Family with 5+ Units	AL, 00500	Vacant	1	0	0	20	348	20	348
Single-Family Attached	AL, 00500	Occupied	0	0.491409	0.508591	46	291	46	291
Single-Family Attached	AL, 00500	Vacant	1	0	0	7	118	155	4455
Single-Family Detached	AL, 00500	Occupied	0	0.831668	0.168332	3254	36731	3254	36731
Single-Family Detached	AL, 00500	Vacant	1	0	0	207	4555	207	4555
Mobile Home	AL, 00600	Occupied	0	0.674934	0.325066	311	7620	311	7620
Mobile Home	AL, 00600	Vacant	1	0	0	45	1935	45	1935
Multi-Family with 2 - 4 Units	AL, 00600	Occupied	0	0.0718074	0.928193	96	2451	96	2451
Multi-Family with 2 - 4 Units	AL, 00600	Vacant	1	0	0	18	579	18	579
Multi-Family with 5+ Units	AL, 00600	Occupied	0	0.025294	0.974706	155	4507	155	4507
Multi-Family with 5+ Units	AL, 00600	Vacant	1	0	0	21	847	21	847
Single-Family Attached	AL, 00600	Occupied	0	0.889191	0.110809	82	1471	82	1471
Single-Family Attached	AL, 00600	Vacant	1	0	0	3	71	262	8741
Single-Family Detached	AL, 00600	Occupied	0	0.868331	0.131669	2294	42546	2294	42546
Single-Family Detached	AL, 00600	Vacant	1	0	0	151	5319	151	5319
Mobile Home	AL, 00700	Occupied	0	0.733559	0.266441	473	8561	473	8561
Mobile Home	AL, 00700	Vacant	1	0	0	132	3836	132	3836
Multi-Family with 2 - 4 Units	AL, 00700	Occupied	0	0.00136799	0.998632	76	1462	76	1462
Multi-Family with 2 - 4 Units	AL, 00700	Vacant	1	0	0	5	164	1407	40889
Multi-Family with 5+ Units	AL, 00700	Occupied	0	0.0207865	0.979213	92	1780	92	1780
Multi-Family with 5+ Units	AL, 00700	Vacant	1	0	0	10	419	10	419
Single-Family Attached	AL, 00700	Occupied	0	0.548223	0.451777	15	197	15	197
Single-Family Attached	AL, 00700	Vacant	1	0	0	4	139	155	4455
Single-Family Detached	AL, 00700	Occupied	0	0.853006	0.146994	1711	28627	1711	28627
Single-Family Detached	AL, 00700	Vacant	1	0	0	215	6326	215	6326
Mobile Home	AL, 00800	Occupied	0	0.74827	0.25173	529	12573	529	12573
Mobile Home	AL, 00800	Vacant	1	0	0	82	2912	82	2912
Multi-Family with 2 - 4 Units	AL, 00800	Occupied	0	0.0143639	0.985636	72	1462	72	1462
Multi-Family with 2 - 4 Units	AL, 00800	Vacant	1	0	0	7	164	1123	37732
Multi-Family with 5+ Units	AL, 00800	Occupied	0	0.0374593	0.962541	64	1842	64	1842
Multi-Family with 5+ Units	AL, 00800	Vacant	1	0	0	5	162	2887	113568
Single-Family Attached	AL, 00800	Occupied	0	0.695716	0.304284	25	677	25	677
Single-Family Attached	AL, 00800	Vacant	1	0	0	3	77	262	8741
Single-Family Detached	AL, 00800	Occupied	0	0.87666	0.12334	1788	36444	1788	36444
Single-Family Detached	AL, 00800	Vacant	1	0	0	142	4838	142	4838
Mobile Home	AL, 00900	Occupied	0	0.699834	0.300166	210	4211	210	4211
Mobile Home	AL, 00900	Vacant	1	0	0	36	1161	36	1161
Multi-Family with 2 - 4 Units	AL, 00900	Occupied	0	0.011422	0.988578	96	1751	96	1751
Multi-Family with 2 - 4 Units	AL, 00900	Vacant	1	0	0	17	587	17	587
Multi-Family with 5+ Units	AL, 00900	Occupied	0	0.002457	0.997543	120	2442	120	2442
Multi-Family with 5+ Units	AL, 00900	Vacant	1	0	0	15	479	15	479
Single-Family Attached	AL, 00900	Occupied	0	0.65	0.35	12	280	12	280
Single-Family Attached	AL, 00900	Vacant	1	0	0	2	84	262	8741
Single-Family Detached	AL, 00900	Occupied	0	0.827583	0.172417	1652	30258	1652	30258
Single-Family Detached	AL, 00900	Vacant	1	0	0	200	6451	200	6451
Mobile Home	AL, 01000	Occupied	0	0.734635	0.265365	694	14904	694	14904
Mobile Home	AL, 01000	Vacant	1	0	0	175	6054	175	6054
Multi-Family with 2 - 4 Units	AL, 01000	Occupied	0	0.0232775	0.976723	142	3222	142	3222
Multi-Family with 2 - 4 Units	AL, 01000	Vacant	1	0	0	16	480	16	480
Multi-Family with 5+ Units	AL, 01000	Occupied	0	0.0162505	0.98375	101	2523	101	2523
Multi-Family with 5+ Units	AL, 01000	Vacant	1	0	0	15	465	15	465
Single-Family Attached	AL, 01000	Occupied	0	0.526627	0.473373	22	338	22	338
Single-Family Attached	AL, 01000	Vacant	1	0	0	2	28	155	4455
Single-Family Detached	AL, 01000	Occupied	0	0.833964	0.166036	2153	40726	2153	40726
Single-Family Detached	AL, 01000	Vacant	1	0	0	367	11440	367	11440
Mobile Home	AL, 01100	Occupied	0	0.666255	0.333745	288	6472	288	6472
Mobile Home	AL, 01100	Vacant	1	0	0	55	2046	55	2046
Multi-Family with 2 - 4 Units	AL, 01100	Occupied	0	0.0270133	0.972987	85	1962	85	1962
Multi-Family with 2 - 4 Units	AL, 01100	Vacant	1	0	0	13	344	13	344
Multi-Family with 5+ Units	AL, 01100	Occupied	0	0.00970874	0.990291	131	2987	131	2987
Multi-Family with 5+ Units	AL, 01100	Vacant	1	0	0	26	981	26	981
Single-Family Attached	AL, 01100	Occupied	0	0.548813	0.451187	34	758	34	758
Single-Family Attached	AL, 01100	Vacant	1	0	0	3	72	262	8741
Single-Family Detached	AL, 01100	Occupied	0	0.813483	0.186517	1531	32426	1531	32426
Single-Family Detached	AL, 01100	Vacant	1	0	0	169	5583	169	5583
Mobile Home	AL, 01200	Occupied	0	0.786252	0.213748	311	5717	311	5717
Mobile Home	AL, 01200	Vacant	1	0	0	44	1194	44	1194
Multi-Family with 2 - 4 Units	AL, 01200	Occupied	0	0.0949759	0.905024	61	1453	61	1453
Multi-Family with 2 - 4 Units	AL, 01200	Vacant	1	0	0	6	184	1123	37732
Multi-Family with 5+ Units	AL, 01200	Occupied	0	0.0336613	0.966339	293	7724	293	7724
Multi-Family with 5+ Units	AL, 01200	Vacant	1	0	0	33	1430	33	1430
Single-Family Attached	AL, 01200	Occupied	0	0.779468	0.220532	197	4208	197	4208
Single-Family Attached	AL, 01200	Vacant	1	0	0	8	337	262	8741
Single-Family Detached	AL, 01200	Occupied	0	0.916716	0.0832838	3060	60528	3060	60528
Single-Family Detached	AL, 01200	Vacant	1	0	0	123	4213	123	4213
Mobile Home	AL, 01301	Occupied	0	0.400538	0.599462	33	744	33	744
Mobile Home	AL, 01301	Vacant	1	0	0	5	130	274	9110
Multi-Family with 2 - 4 Units	AL, 01301	Occupied	0	0.0366775	0.963323	98	2781	98	2781
Multi-Family with 2 - 4 Units	AL, 01301	Vacant	1	0	0	36	972	36	972
Multi-Family with 5+ Units	AL, 01301	Occupied	0	0.0124664	0.987534	259	7059	259	7059
Multi-Family with 5+ Units	AL, 01301	Vacant	1	0	0	75	2071	75	2071
Single-Family Attached	AL, 01301	Occupied	0	0.66287	0.33713	25	439	25	439
Single-Family Attached	AL, 01301	Vacant	1	0	0	3	99	262	8741
Single-Family Detached	AL, 01301	Occupied	0	0.658085	0.341915	1286	27501	1286	27501
Single-Family Detached	AL, 01301	Vacant	1	0	0	269	8980	269	8980
Mobile Home	AL, 01302	Occupied	0	0.612903	0.387097	19	496	19	496
Mobile Home	AL, 01302	Vacant	1	0	0	1	66	179	5485
Multi-Family with 2 - 4 Units	AL, 01302	Occupied	0	0.097365	0.902635	125	3112	125	3112
Multi-Family with 2 - 4 Units	AL, 01302	Vacant	1	0	0	31	1224	31	1224
Multi-Family with 5+ Units	AL, 01302	Occupied	0	0.0661671	0.933833	593	14146	593	14146
Multi-Family with 5+ Units	AL, 01302	Vacant	1	0	0	108	3987	108	3987
Single-Family Attached	AL, 01302	Occupied	0	0.445876	0.554124	44	776	44	776
Single-Family Attached	AL, 01302	Vacant	1	0	0	3	110	262	8741
Single-Family Detached	AL, 01302	Occupied	0	0.701859	0.298141	1182	25773	1182	25773
Single-Family Detached	AL, 01302	Vacant	1	0	0	178	5419	178	5419
Mobile Home	AL, 01303	Occupied	0	0.468571	0.531429	30	700	30	700
Mobile Home	AL, 01303	Vacant	1	0	0	3	114	73	2946
Multi-Family with 2 - 4 Units	AL, 01303	Occupied	0	0.161558	0.838442	130	3491	130	3491
Multi-Family with 2 - 4 Units	AL, 01303	Vacant	1	0	0	9	362	1123	37732
Multi-Family with 5+ Units	AL, 01303	Occupied	0	0.0494107	0.950589	629	18498	629	18498
Multi-Family with 5+ Units	AL, 01303	Vacant	1	0	0	113	5368	113	5368
Single-Family Attached	AL, 01303	Occupied	0	0.776852	0.223148	164	3240	164	3240
Single-Family Attached	AL, 01303	Vacant	1	0	0	11	355	11	355
Single-Family Detached	AL, 01303	Occupied	0	0.929049	0.0709513	2047	42353	2047	42353
Single-Family Detached	AL, 01303	Vacant	1	0	0	70	2832	70	2832
Mobile Home	AL, 01304	Occupied	0	0.658752	0.341248	171	3622	171	3622
Mobile Home	AL, 01304	Vacant	1	0	0	19	515	19	515
Multi-Family with 2 - 4 Units	AL, 01304	Occupied	0	0.0335516	0.966448	74	2444	74	2444
Multi-Family with 2 - 4 Units	AL, 01304	Vacant	1	0	0	14	373	14	373
Multi-Family with 5+ Units	AL, 01304	Occupied	0	0.0369025	0.963097	178	6883	178	6883
Multi-Family with 5+ Units	AL, 01304	Vacant	1	0	0	27	1054	27	1054
Single-Family Attached	AL, 01304	Occupied	0	0.607084	0.392916	52	1214	52	1214
Single-Family Attached	AL, 01304	Vacant	1	0	0	3	107	262	8741
Single-Family Detached	AL, 01304	Occupied	0	0.871206	0.128794	2484	53170	2484	53170
Single-Family Detached	AL, 01304	Vacant	1	0	0	139	5079	139	5079
Mobile Home	AL, 01305	Occupied	0	0.739229	0.260771	105	1764	105	1764
Mobile Home	AL, 01305	Vacant	1	0	0	20	615	20	615
Multi-Family with 2 - 4 Units	AL, 01305	Occupied	0	0.0154799	0.98452	48	1292	48	1292
Multi-Family with 2 - 4 Units	AL, 01305	Vacant	1	0	0	3	109	1123	37732
Multi-Family with 5+ Units	AL, 01305	Occupied	0	0.00241327	0.997587	89	3315	89	3315
Multi-Family with 5+ Units	AL, 01305	Vacant	1	0	0	10	503	10	503
Single-Family Attached	AL, 01305	Occupied	0	0.615883	0.384117	29	617	29	617
Single-Family Attached	AL, 01305	Vacant	1	0	0	2	89	262	8741
Single-Family Detached	AL, 01305	Occupied	0	0.789901	0.210099	1695	35688	1695	35688
Single-Family Detached	AL, 01305	Vacant	1	0	0	196	6109	196	6109
Mobile Home	AL, 01400	Occupied	0	0.743737	0.256263	599	10618	599	10618
Mobile Home	AL, 01400	Vacant	1	0	0	122	3246	122	3246
Multi-Family with 2 - 4 Units	AL, 01400	Occupied	0	0.0108527	0.989147	129	2580	129	2580
Multi-Family with 2 - 4 Units	AL, 01400	Vacant	1	0	0	27	714	27	714
Multi-Family with 5+ Units	AL, 01400	Occupied	0	0.0097032	0.990297	90	1752	90	1752
Multi-Family with 5+ Units	AL, 01400	Vacant	1	0	0	11	421	11	421
Single-Family Attached	AL, 01400	Occupied	0	0.803132	0.196868	22	447	22	447
Single-Family Attached	AL, 01400	Vacant	1	0	0	0	0	155	4455
Single-Family Detached	AL, 01400	Occupied	0	0.854074	0.145926	1829	31187	1829	31187
Single-Family Detached	AL, 01400	Vacant	1	0	0	251	7093	251	7093
Mobile Home	AL, 01500	Occupied	0	0.767454	0.232546	363	7792	363	7792
Mobile Home	AL, 01500	Vacant	1	0	0	50	1698	50	1698
Multi-Family with 2 - 4 Units	AL, 01500	Occupied	0	0.0138249	0.986175	43	651	43	651
Multi-Family with 2 - 4 Units	AL, 01500	Vacant	1	0	0	6	97	1123	37732
Multi-Family with 5+ Units	AL, 01500	Occupied	0	0.0420082	0.957992	35	976	35	976
Multi-Family with 5+ Units	AL, 01500	Vacant	1	0	0	1	70	2887	113568
Single-Family Attached	AL, 01500	Occupied	0	0.797203	0.202797	15	143	15	143
Single-Family Attached	AL, 01500	Vacant	1	0	0	0	0	262	8741
Single-Family Detached	AL, 01500	Occupied	0	0.897241	0.102759	1607	28348	1607	28348
Single-Family Detached	AL, 01500	Vacant	1	0	0	130	3888	130	3888
Mobile Home	AL, 01600	Occupied	0	0.579456	0.420544	75	1655	75	1655
Mobile Home	AL, 01600	Vacant	1	0	0	10	398	10	398
Multi-Family with 2 - 4 Units	AL, 01600	Occupied	0	0.00818158	0.991818	137	3789	137	3789
Multi-Family with 2 - 4 Units	AL, 01600	Vacant	1	0	0	37	1299	37	1299
Multi-Family with 5+ Units	AL, 01600	Occupied	0	0.0217995	0.9782	464	11881	464	11881
Multi-Family with 5+ Units	AL, 01600	Vacant	1	0	0	205	8514	205	8514
Single-Family Attached	AL, 01600	Occupied	0	0.532729	0.467271	58	993	58	993
Single-Family Attached	AL, 01600	Vacant	1	0	0	4	141	262	8741
Single-Family Detached	AL, 01600	Occupied	0	0.764432	0.235568	1092	23870	1092	23870
Single-Family Detached	AL, 01600	Vacant	1	0	0	110	3942	110	3942
Mobile Home	AL, 01700	Occupied	0	0.748379	0.251621	660	12952	660	12952
Mobile Home	AL, 01700	Vacant	1	0	0	224	5344	224	5344
Multi-Family with 2 - 4 Units	AL, 01700	Occupied	0	0.0280866	0.971913	119	3418	119	3418
Multi-Family with 2 - 4 Units	AL, 01700	Vacant	1	0	0	31	1138	31	1138
Multi-Family with 5+ Units	AL, 01700	Occupied	0	0.00806747	0.991933	87	2727	87	2727
Multi-Family with 5+ Units	AL, 01700	Vacant	1	0	0	15	522	15	522
Single-Family Attached	AL, 01700	Occupied	0	0.444444	0.555556	19	288	19	288
Single-Family Attached	AL, 01700	Vacant	1	0	0	2	80	155	4455
Single-Family Detached	AL, 01700	Occupied	0	0.786068	0.213932	1632	27649	1632	27649
Single-Family Detached	AL, 01700	Vacant	1	0	0	434	10346	434	10346
Mobile Home	AL, 01800	Occupied	0	0.768357	0.231643	561	12407	561	12407
Mobile Home	AL, 01800	Vacant	1	0	0	108	3296	108	3296
Multi-Family with 2 - 4 Units	AL, 01800	Occupied	0	0.0598749	0.940125	82	2238	82	2238
Multi-Family with 2 - 4 Units	AL, 01800	Vacant	1	0	0	14	396	14	396
Multi-Family with 5+ Units	AL, 01800	Occupied	0	0.00988468	0.990115	88	2428	88	2428
Multi-Family with 5+ Units	AL, 01800	Vacant	1	0	0	27	1258	27	1258
Single-Family Attached	AL, 01800	Occupied	0	0.653386	0.346614	27	502	27	502
Single-Family Attached	AL, 01800	Vacant	1	0	0	7	291	155	4455
Single-Family Detached	AL, 01800	Occupied	0	0.809522	0.190478	1769	33038	1769	33038
Single-Family Detached	AL, 01800	Vacant	1	0	0	353	9921	353	9921
Mobile Home	AL, 01900	Occupied	0	0.691968	0.308032	293	9512	293	9512
Mobile Home	AL, 01900	Vacant	1	0	0	38	1495	38	1495
Multi-Family with 2 - 4 Units	AL, 01900	Occupied	0	0.0399408	0.960059	113	4056	113	4056
Multi-Family with 2 - 4 Units	AL, 01900	Vacant	1	0	0	19	950	19	950
Multi-Family with 5+ Units	AL, 01900	Occupied	0	0.0591704	0.94083	284	9667	284	9667
Multi-Family with 5+ Units	AL, 01900	Vacant	1	0	0	66	2883	66	2883
Single-Family Attached	AL, 01900	Occupied	0	0.230849	0.769151	71	1919	71	1919
Single-Family Attached	AL, 01900	Vacant	1	0	0	4	115	262	8741
Single-Family Detached	AL, 01900	Occupied	0	0.828241	0.171759	1346	35084	1346	35084
Single-Family Detached	AL, 01900	Vacant	1	0	0	71	3291	71	3291
Mobile Home	AL, 02000	Occupied	0	0.55286	0.44714	70	1731	70	1731
Mobile Home	AL, 02000	Vacant	1	0	0	12	416	12	416
Multi-Family with 2 - 4 Units	AL, 02000	Occupied	0	0.025598	0.974402	197	4766	197	4766
Multi-Family with 2 - 4 Units	AL, 02000	Vacant	1	0	0	42	1295	42	1295
Multi-Family with 5+ Units	AL, 02000	Occupied	0	0.00208493	0.997915	433	14389	433	14389
Multi-Family with 5+ Units	AL, 02000	Vacant	1	0	0	88	3774	88	3774
Single-Family Attached	AL, 02000	Occupied	0	0.40712	0.59288	133	2191	133	2191
Single-Family Attached	AL, 02000	Vacant	1	0	0	19	569	19	569
Single-Family Detached	AL, 02000	Occupied	0	0.734369	0.265631	2653	54474	2653	54474
Single-Family Detached	AL, 02000	Vacant	1	0	0	220	7007	220	7007
Mobile Home	AL, 02100	Occupied	0	0.710988	0.289012	535	12477	535	12477
Mobile Home	AL, 02100	Vacant	1	0	0	67	2421	67	2421
Multi-Family with 2 - 4 Units	AL, 02100	Occupied	0	0.0226415	0.977358	73	1855	73	1855
Multi-Family with 2 - 4 Units	AL, 02100	Vacant	1	0	0	10	276	10	276
Multi-Family with 5+ Units	AL, 02100	Occupied	0	0.00546448	0.994536	92	3660	92	3660
Multi-Family with 5+ Units	AL, 02100	Vacant	1	0	0	3	142	2887	113568
Single-Family Attached	AL, 02100	Occupied	0	0.332875	0.667125	28	727	28	727
Single-Family Attached	AL, 02100	Vacant	1	0	0	2	35	262	8741
Single-Family Detached	AL, 02100	Occupied	0	0.844671	0.155329	2342	48613	2342	48613
Single-Family Detached	AL, 02100	Vacant	1	0	0	204	6761	204	6761
Mobile Home	AL, 02200	Occupied	0	0.695536	0.304464	671	12320	671	12320
Mobile Home	AL, 02200	Vacant	1	0	0	310	6578	310	6578
Multi-Family with 2 - 4 Units	AL, 02200	Occupied	0	0.008004	0.991996	94	1999	94	1999
Multi-Family with 2 - 4 Units	AL, 02200	Vacant	1	0	0	21	632	21	632
Multi-Family with 5+ Units	AL, 02200	Occupied	0	0.0176695	0.98233	103	2094	103	2094
Multi-Family with 5+ Units	AL, 02200	Vacant	1	0	0	9	289	1520	47715
Single-Family Attached	AL, 02200	Occupied	0	0.501887	0.498113	16	265	16	265
Single-Family Attached	AL, 02200	Vacant	1	0	0	4	150	155	4455
Single-Family Detached	AL, 02200	Occupied	0	0.807775	0.192225	2116	33362	2116	33362
Single-Family Detached	AL, 02200	Vacant	1	0	0	552	11968	552	11968
Mobile Home	AL, 02300	Occupied	0	0.758375	0.241625	803	8000	803	8000
Mobile Home	AL, 02300	Vacant	1	0	0	215	3539	215	3539
Multi-Family with 2 - 4 Units	AL, 02300	Occupied	0	0.0378403	0.96216	149	2167	149	2167
Multi-Family with 2 - 4 Units	AL, 02300	Vacant	1	0	0	31	701	31	701
Multi-Family with 5+ Units	AL, 02300	Occupied	0	0.0125406	0.987459	102	2153	102	2153
Multi-Family with 5+ Units	AL, 02300	Vacant	1	0	0	16	507	16	507
Single-Family Attached	AL, 02300	Occupied	0	0.342764	0.657236	60	919	60	919
Single-Family Attached	AL, 02300	Vacant	1	0	0	4	71	155	4455
Single-Family Detached	AL, 02300	Occupied	0	0.766628	0.233372	2914	32986	2914	32986
