Dependency=Metropolitan and Micropolitan Statistical Area	Option=Metropolitan	Option=Non-Metropolitan	source_count	source_weight
Bennettsville, SC MicroSA	0	1	1572	11951
Bennington, VT MicroSA	0	1	1924	20922
Berlin, NH-VT MicroSA	0	1	5548	26341
Big Rapids, MI MicroSA	0	1	2671	21105
Big Spring, TX MicroSA	0	1	3880	13682
Big Stone Gap, VA MicroSA	0	1	4679	27290
Billings, MT MSA	1	0	9201	73620
Binghamton, NY MSA	1	0	8197	112089
Birmingham-Hoover, AL MSA	1	0	51591	507518
Bismarck, ND MSA	1	0	11718	55794
Blackfoot, ID MicroSA	0	1	3465	16254
Blacksburg-Christiansburg-Radford, VA MSA	1	0	9533	79241
Bloomington, IL MSA	1	0	8802	78767
Bloomington, IN MSA	1	0	4685	70094
Bloomsburg-Berwick, PA MSA	1	0	5168	37644
Bluefield, WV-VA MicroSA	0	1	7034	50503
Blytheville, AR MicroSA	0	1	3405	20495
Bogalusa, LA MicroSA	0	1	2583	21284
Boise City, ID MSA	1	0	29178	256399
Boone, IA MicroSA	0	1	2701	11787
Boone, NC MicroSA	0	1	2393	32983
Borger, TX MicroSA	0	1	3817	10606
Boston-Cambridge-Newton, MA-NH MSA	1	0	89902	1.90912e+06
Boulder, CO MSA	1	0	7368	131042
Bowling Green, KY MSA	1	0	5570	71499
Bozeman, MT MicroSA	0	1	6695	44932
Bradford, PA MicroSA	0	1	3312	21021
Brainerd, MN MicroSA	0	1	9248	66035
Branson, MO MicroSA	0	1	8193	50591
Breckenridge, CO MicroSA	0	1	2159	30389
Bremerton-Silverdale, WA MSA	1	0	4583	109217
Brenham, TX MicroSA	0	1	2351	15750
Brevard, NC MicroSA	0	1	1990	19366
Bridgeport-Stamford-Norwalk, CT MSA	1	0	14653	364737
Brookhaven, MS MicroSA	0	1	2224	15276
Brookings, OR MicroSA	0	1	3072	12621
Brookings, SD MicroSA	0	1	1774	13826
Brownsville-Harlingen, TX MSA	1	0	12347	146301
Brownwood, TX MicroSA	0	1	2993	18474
Brunswick, GA MSA	1	0	6620	58961
Bucyrus, OH MicroSA	0	1	2765	20013
Buffalo-Cheektowaga-Niagara Falls, NY MSA	1	0	18336	520523
Burley, ID MicroSA	0	1	7940	16216
Burlington, IA-IL MicroSA	0	1	3830	22299
Burlington, NC MSA	1	0	4369	68211
Burlington-South Burlington, VT MSA	1	0	5948	94606
Butte-Silver Bow, MT MicroSA	0	1	3148	16812
Cadillac, MI MicroSA	0	1	3972	25764
Calhoun, GA MicroSA	0	1	2032	22255
California-Lexington Park, MD MSA	1	0	3150	43276
Cambridge, MD MicroSA	0	1	4433	16700
Cambridge, OH MicroSA	0	1	3769	19110
Camden, AR MicroSA	0	1	4038	15951
Campbellsville, KY MicroSA	0	1	1035	10959
Canon City, CO MicroSA	0	1	3285	19280
Canton, IL MicroSA	0	1	3357	16190
Canton-Massillon, OH MSA	1	0	14286	179067
Cape Coral-Fort Myers, FL MSA	1	0	21264	377081
Cape Girardeau, MO-IL MSA	1	0	6339	42831
Carbondale-Marion, IL MSA	1	0	8232	59477
Carlsbad-Artesia, NM MicroSA	0	1	8281	23428
Carson City, NV MSA	1	0	1450	23459
Casper, WY MSA	1	0	7093	35648
Cedar City, UT MicroSA	0	1	4447	20111
Cedar Rapids, IA MSA	1	0	11224	114735
Cedartown, GA MicroSA	0	1	1903	16922
Celina, OH MicroSA	0	1	3485	17712
Centralia, IL MicroSA	0	1	3797	18132
Centralia, WA MicroSA	0	1	4288	34113
Chambersburg-Waynesboro, PA MSA	1	0	6168	64178
Champaign-Urbana, IL MSA	1	0	10705	103308
Charleston, WV MSA	1	0	14896	108057
Charleston-Mattoon, IL MicroSA	0	1	4500	28279
Charleston-North Charleston, SC MSA	1	0	24105	313703
Charlotte-Concord-Gastonia, NC-SC MSA	1	0	48980	974598
Charlottesville, VA MSA	1	0	10105	100068
Chattanooga, TN-GA MSA	1	0	16781	238504
Cheyenne, WY MSA	1	0	5168	41571
Chicago-Naperville-Elgin, IL-IN-WI MSA	1	0	203110	3.8068e+06
Chico, CA MSA	1	0	6517	97513
Chillicothe, OH MicroSA	0	1	2944	31807
Cincinnati, OH-KY-IN MSA	1	0	40939	919236
Claremont-Lebanon, NH-VT MicroSA	0	1	13794	123424
Clarksburg, WV MicroSA	0	1	6812	42980
Clarksdale, MS MicroSA	0	1	3569	10763
Clarksville, TN-KY MSA	1	0	8299	114335
Clearlake, CA MicroSA	0	1	5164	35633
Cleveland, MS MicroSA	0	1	4084	14267
Cleveland, TN MSA	1	0	5072	50934
Cleveland-Elyria, OH MSA	1	0	29637	956766
Clewiston, FL MicroSA	0	1	2567	14389
Clinton, IA MicroSA	0	1	2469	21781
Clovis, NM MicroSA	0	1	2859	20685
Coeur d'Alene, ID MSA	1	0	6033	66126
Coffeyville, KS MicroSA	0	1	4430	16447
Coldwater, MI MicroSA	0	1	2329	20625
College Station-Bryan, TX MSA	1	0	6988	100938
Colorado Springs, CO MSA	1	0	20525	278294
Columbia, MO MSA	1	0	5437	73275
Columbia, SC MSA	1	0	24987	342212
Columbus, GA-AL MSA	1	0	9986	131778
Columbus, IN MSA	1	0	4709	33571
Columbus, MS MicroSA	0	1	3299	26981
Columbus, NE MicroSA	0	1	3643	13606
Columbus, OH MSA	1	0	52066	839488
Concord, NH MicroSA	0	1	5154	63711
Connersville, IN MicroSA	0	1	1415	10824
Cookeville, TN MicroSA	0	1	5215	49030
Coos Bay, OR MicroSA	0	1	5953	30481
Cordele, GA MicroSA	0	1	1484	10715
Corinth, MS MicroSA	0	1	2076	17126
Cornelia, GA MicroSA	0	1	1714	18109
Corning, NY MicroSA	0	1	6628	48813
Corpus Christi, TX MSA	1	0	12943	188648
Corsicana, TX MicroSA	0	1	4448	20478
Cortland, NY MicroSA	0	1	2298	20492
Corvallis, OR MSA	1	0	2979	37270
Coshocton, OH MicroSA	0	1	2650	16358
Craig, CO MicroSA	0	1	2275	6162
Crawfordsville, IN MicroSA	0	1	2480	16550
Crescent City, CA MicroSA	0	1	2062	11326
Crestview-Fort Walton Beach-Destin, FL MSA	1	0	10588	142672
Crossville, TN MicroSA	0	1	3404	28650
Cullman, AL MicroSA	0	1	4363	37150
Cullowhee, NC MicroSA	0	1	3572	26509
Cumberland, MD-WV MSA	1	0	6938	46299
Dallas-Fort Worth-Arlington, TX MSA	1	0	145366	2.6509e+06
Dalton, GA MSA	1	0	4076	55459
Danville, IL MSA	1	0	7410	36005
Danville, KY MicroSA	0	1	2165	23249
Danville, VA MicroSA	0	1	6228	53671
Daphne-Fairhope-Foley, AL MSA	1	0	8628	107579
Davenport-Moline-Rock Island, IA-IL MSA	1	0	16740	168328
Dayton, OH MSA	1	0	19448	367700
Dayton, TN MicroSA	0	1	1855	14415
DeRidder, LA MicroSA	0	1	3626	15220
Decatur, AL MSA	1	0	7329	66704
Decatur, IL MSA	1	0	4529	50321
Decatur, IN MicroSA	0	1	1873	13099
Defiance, OH MicroSA	0	1	3259	16712
Del Rio, TX MicroSA	0	1	3539	18826
Deltona-Daytona Beach-Ormond Beach, FL MSA	1	0	17338	305821
Deming, NM MicroSA	0	1	5797	10958
Denver-Aurora-Lakewood, CO MSA	1	0	53829	1.11826e+06
Des Moines-West Des Moines, IA MSA	1	0	18489	253912
Detroit-Warren-Dearborn, MI MSA	1	0	83102	1.89345e+06
Dickinson, ND MicroSA	0	1	3594	13412
Dixon, IL MicroSA	0	1	2977	15042
Dodge City, KS MicroSA	0	1	3103	12106
Dothan, AL MSA	1	0	8054	67978
Douglas, GA MicroSA	0	1	2657	16909
Dover, DE MSA	1	0	4886	68106
DuBois, PA MicroSA	0	1	8307	38627
Dublin, GA MicroSA	0	1	3675	25349
Dubuque, IA MSA	1	0	2918	40424
Duluth, MN-WI MSA	1	0	19330	142024
Dumas, TX MicroSA	0	1	1922	7962
Duncan, OK MicroSA	0	1	4441	20696
Dunn, NC MicroSA	0	1	2843	49283
Durango, CO MicroSA	0	1	2928	26582
Durant, OK MicroSA	0	1	3876	19911
Durham-Chapel Hill, NC MSA	1	0	11649	232895
Dyersburg, TN MicroSA	0	1	1946	16784
Eagle Pass, TX MicroSA	0	1	2651	18030
East Stroudsburg, PA MSA	1	0	6015	80675
Easton, MD MicroSA	0	1	3561	20110
Eau Claire, WI MSA	1	0	7242	70686
Edwards, CO MicroSA	0	1	3686	31555
Effingham, IL MicroSA	0	1	2466	14731
El Campo, TX MicroSA	0	1	4050	17371
El Centro, CA MSA	1	0	8875	56906
El Dorado, AR MicroSA	0	1	3438	19688
El Paso, TX MSA	1	0	19966	287792
Elizabeth City, NC MicroSA	0	1	1937	28089
Elizabethtown-Fort Knox, KY MSA	1	0	5204	64101
Elk City, OK MicroSA	0	1	3324	9905
Elkhart-Goshen, IN MSA	1	0	7439	77932
Elkins, WV MicroSA	0	1	2935	14186
Elko, NV MicroSA	0	1	10566	21571
Ellensburg, WA MicroSA	0	1	4410	22539
Elmira, NY MSA	1	0	3125	38372
Emporia, KS MicroSA	0	1	3792	15199
Enid, OK MicroSA	0	1	4538	26849
Enterprise, AL MicroSA	0	1	2321	22862
Erie, PA MSA	1	0	7498	119931
Escanaba, MI MicroSA	0	1	2961	20210
Espanola, NM MicroSA	0	1	8372	19557
Eugene, OR MSA	1	0	14532	158237
Eureka-Arcata-Fortuna, CA MicroSA	0	1	9697	62386
Evanston, WY MicroSA	0	1	2652	8768
Evansville, IN-KY MSA	1	0	9645	140168
Fairbanks, AK MSA	1	0	4499	41670
Fairfield, IA MicroSA	0	1	1932	7554
Fairmont, WV MicroSA	0	1	3480	26346
Fallon, NV MicroSA	0	1	3065	10683
Fargo, ND-MN MSA	1	0	10846	100451
Faribault-Northfield, MN MicroSA	0	1	2342	24564
Farmington, MO MicroSA	0	1	3293	29312
Farmington, NM MSA	1	0	16290	49607
Fayetteville, NC MSA	1	0	8467	163229
Fayetteville-Springdale-Rogers, AR-MO MSA	1	0	17380	205416
Fergus Falls, MN MicroSA	0	1	6828	35691
Fernley, NV MicroSA	0	1	4336	22427
Findlay, OH MicroSA	0	1	3315	33569
Fitzgerald, GA MicroSA	0	1	1402	7896
Flagstaff, AZ MSA	1	0	20267	64435
Flint, MI MSA	1	0	8986	191033
Florence, SC MSA	1	0	7392	89370
Florence-Muscle Shoals, AL MSA	1	0	8032	70469
Fond du Lac, WI MSA	1	0	4375	44505
Forest City, NC MicroSA	0	1	3207	33908
Forrest City, AR MicroSA	0	1	2524	10898
Fort Collins, CO MSA	1	0	10976	138763
Fort Dodge, IA MicroSA	0	1	3459	17003
Fort Leonard Wood, MO MicroSA	0	1	3631	18561
Fort Madison-Keokuk, IA-IL-MO MicroSA	0	1	6568	28866
Fort Morgan, CO MicroSA	0	1	2299	11474
Fort Polk South, LA MicroSA	0	1	5143	21719
Fort Smith, AR-OK MSA	1	0	16200	123083
Fort Wayne, IN MSA	1	0	10826	180664
Frankfort, IN MicroSA	0	1	1797	13269
Frankfort, KY MicroSA	0	1	2250	32487
Fredericksburg, TX MicroSA	0	1	1899	12913
Freeport, IL MicroSA	0	1	2572	21899
Fremont, NE MicroSA	0	1	3633	16608
Fremont, OH MicroSA	0	1	2944	26229
Fresno, CA MSA	1	0	22096	323857
Gadsden, AL MSA	1	0	5044	47504
Gaffney, SC MicroSA	0	1	2605	24013
Gainesville, FL MSA	1	0	8531	121436
Gainesville, GA MSA	1	0	4202	69701
Gainesville, TX MicroSA	0	1	2936	16675
Galesburg, IL MicroSA	0	1	3192	23908
Gallup, NM MicroSA	0	1	14746	25768
Garden City, KS MicroSA	0	1	3446	14863
Gardnerville Ranchos, NV MicroSA	0	1	2164	23810
Georgetown, SC MicroSA	0	1	3421	34091
Gettysburg, PA MSA	1	0	4429	41344
Gillette, WY MicroSA	0	1	4289	19626
Glasgow, KY MicroSA	0	1	2434	24082
Glens Falls, NY MSA	1	0	5914	68041
Glenwood Springs, CO MicroSA	0	1	5493	36455
Gloversville, NY MicroSA	0	1	2305	28632
Goldsboro, NC MSA	1	0	3530	53202
Grand Forks, ND-MN MSA	1	0	8247	45967
Grand Island, NE MSA	1	0	12134	34911
Grand Junction, CO MSA	1	0	5552	64219
Grand Rapids-Wyoming, MI MSA	1	0	22904	408968
Grants Pass, OR MSA	1	0	3856	38089
Grants, NM MicroSA	0	1	5022	11110
Great Bend, KS MicroSA	0	1	2656	12629
Great Falls, MT MSA	1	0	4375	37714
Greeley, CO MSA	1	0	9901	100935
Green Bay, WI MSA	1	0	10045	140271
Greeneville, TN MicroSA	0	1	4168	32149
Greenfield Town, MA MicroSA	0	1	4692	33684
Greensboro-High Point, NC MSA	1	0	17842	328431
Greensburg, IN MicroSA	0	1	1565	11239
Greenville, MS MicroSA	0	1	4471	21618
Greenville, NC MSA	1	0	4138	76744
Greenville, OH MicroSA	0	1	5132	22716
Greenville-Anderson-Mauldin, SC MSA	1	0	24586	369921
Greenwood, MS MicroSA	0	1	5030	18228
Greenwood, SC MicroSA	0	1	3879	43133
Grenada, MS MicroSA	0	1	1559	10186
Gulfport-Biloxi-Pascagoula, MS MSA	1	0	14374	174497
Guymon, OK MicroSA	0	1	5203	8185
Hagerstown-Martinsburg, MD-WV MSA	1	0	7943	107511
Hailey, ID MicroSA	0	1	6388	17905
Hammond, LA MSA	1	0	3501	52513
Hanford-Corcoran, CA MSA	1	0	6188	44953
Hannibal, MO MicroSA	0	1	3748	18041
Harrisburg-Carlisle, PA MSA	1	0	20637	245147
Harrison, AR MicroSA	0	1	3824	21578
Harrisonburg, VA MSA	1	0	6349	52518
Hartford-West Hartford-East Hartford, CT MSA	1	0	21510	508523
Hastings, NE MicroSA	0	1	2930	13675
Hattiesburg, MS MSA	1	0	7443	62392
Hays, KS MicroSA	0	1	3619	13059
Heber, UT MicroSA	0	1	2043	11710
Helena, MT MicroSA	0	1	8242	35688
Helena-West Helena, AR MicroSA	0	1	1972	10156
Henderson, NC MicroSA	0	1	1661	19964
Hereford, TX MicroSA	0	1	2297	7061
Hermiston-Pendleton, OR MicroSA	0	1	8161	34261
Hickory-Lenoir-Morganton, NC MSA	1	0	12055	162531
Hillsdale, MI MicroSA	0	1	2631	21686
Hilo, HI MicroSA	0	1	8888	85328
Hilton Head Island-Bluffton-Beaufort, SC MSA	1	0	7858	105555
Hinesville, GA MSA	1	0	4015	33471
Hobbs, NM MicroSA	0	1	7869	25340
Holland, MI MicroSA	0	1	4248	49841
Homosassa Springs, FL MSA	1	0	8270	77760
Hood River, OR MicroSA	0	1	1303	9523
Hot Springs, AR MSA	1	0	5428	50530
Houghton, MI MicroSA	0	1	3594	21098
Houma-Thibodaux, LA MSA	1	0	8857	84327
Houston-The Woodlands-Sugar Land, TX MSA	1	0	123949	2.44857e+06
Hudson, NY MicroSA	0	1	3868	32863
Huntingdon, PA MicroSA	0	1	3339	22391
Huntington, IN MicroSA	0	1	2080	15883
Huntington-Ashland, WV-KY-OH MSA	1	0	16404	164496
Huntsville, AL MSA	1	0	19236	190225
Huntsville, TX MicroSA	0	1	4027	33756
Huron, SD MicroSA	0	1	3499	8376
Hutchinson, KS MicroSA	0	1	4286	28293
Hutchinson, MN MicroSA	0	1	2627	15726
Idaho Falls, ID MSA	1	0	10427	50971
Indiana, PA MicroSA	0	1	4821	38450
Indianapolis-Carmel-Anderson, IN MSA	1	0	50151	836782
Indianola, MS MicroSA	0	1	3322	9700
Ionia, MI MicroSA	0	1	2743	24615
Iowa City, IA MSA	1	0	4865	69108
Iron Mountain, MI-WI MicroSA	0	1	3250	18852
Ithaca, NY MSA	1	0	3082	42118
Jackson, MI MSA	1	0	5239	69047
Jackson, MS MSA	1	0	19586	237698
Jackson, OH MicroSA	0	1	2075	14565
Jackson, TN MSA	1	0	5489	56065
Jackson, WY-ID MicroSA	0	1	3855	18804
Jacksonville, FL MSA	1	0	28789	616472
Jacksonville, IL MicroSA	0	1	3127	17865
Jacksonville, NC MSA	1	0	4336	75588
Jacksonville, TX MicroSA	0	1	2985	20971
Jamestown, ND MicroSA	0	1	4800	10065
Jamestown-Dunkirk-Fredonia, NY MicroSA	0	1	6396	66722
Janesville-Beloit, WI MSA	1	0	5479	68463
Jasper, IN MicroSA	0	1	3879	23308
Jefferson City, MO MSA	1	0	8379	64045
Jefferson, GA MicroSA	0	1	2121	23866
Jesup, GA MicroSA	0	1	2201	12100
Johnson City, TN MSA	1	0	8066	95518
Johnstown, PA MSA	1	0	7005	65215
Jonesboro, AR MSA	1	0	6068	54204
Joplin, MO MSA	1	0	9621	75732
Junction City, KS MicroSA	0	1	2665	15080
Juneau, AK MicroSA	0	1	928	13263
Kahului-Wailuku-Lahaina, HI MSA	1	0	4215	71493
Kalamazoo-Portage, MI MSA	1	0	9251	147322
Kalispell, MT MicroSA	0	1	7786	47407
Kankakee, IL MSA	1	0	4281	45182
Kansas City, MO-KS MSA	1	0	63345	885626
Kapaa, HI MicroSA	0	1	2975	30388
Kearney, NE MicroSA	0	1	6301	22666
Keene, NH MicroSA	0	1	4582	34964
Kendallville, IN MicroSA	0	1	2642	20206
Kennett, MO MicroSA	0	1	3817	14350
Kennewick-Richland, WA MSA	1	0	7291	98648
Kerrville, TX MicroSA	0	1	3378	24010
Ketchikan, AK MicroSA	0	1	904	6254
Key West, FL MicroSA	0	1	4595	52977
Kill Devil Hills, NC MicroSA	0	1	2611	36079
Killeen-Temple, TX MSA	1	0	13318	168719
Kingsport-Bristol-Bristol, TN-VA MSA	1	0	15560	147407
Kingston, NY MSA	1	0	6195	83762
Kingsville, TX MicroSA	0	1	3105	13384
Kinston, NC MicroSA	0	1	2279	27319
Kirksville, MO MicroSA	0	1	2896	13423
Klamath Falls, OR MicroSA	0	1	11279	32828
Knoxville, TN MSA	1	0	28899	387109
Kokomo, IN MSA	1	0	3576	38732
La Crosse-Onalaska, WI-MN MSA	1	0	5727	57864
La Grande, OR MicroSA	0	1	4634	11510
LaGrange, GA MicroSA	0	1	2275	28282
Laconia, NH MicroSA	0	1	3387	37715
Lafayette, LA MSA	1	0	17265	202196
Lafayette-West Lafayette, IN MSA	1	0	7324	87219
Lake Charles, LA MSA	1	0	7212	89539
Lake City, FL MicroSA	0	1	3463	28338
Lake Havasu City-Kingman, AZ MSA	1	0	15677	112617
Lakeland-Winter Haven, FL MSA	1	0	19556	283333
Lamesa, TX MicroSA	0	1	2818	5206
Lancaster, PA MSA	1	0	13278	206308
Lansing-East Lansing, MI MSA	1	0	12727	199993
Laramie, WY MicroSA	0	1	3749	18695
Laredo, TX MSA	1	0	6915	78165
Las Cruces, NM MSA	1	0	9774	84121
Las Vegas, NM MicroSA	0	1	4031	15535
Las Vegas-Henderson-Paradise, NV MSA	1	0	24521	864164
Laurel, MS MicroSA	0	1	5517	36835
Laurinburg, NC MicroSA	0	1	1921	15173
Lawrence, KS MSA	1	0	3136	48245
Lawrenceburg, TN MicroSA	0	1	2620	18149
Lawton, OK MSA	1	0	8184	54617
Lebanon, MO MicroSA	0	1	2839	15773
Lebanon, PA MSA	1	0	5847	56176
Levelland, TX MicroSA	0	1	4295	9296
Lewisburg, PA MicroSA	0	1	2219	17089
Lewisburg, TN MicroSA	0	1	1878	13269
Lewiston, ID-WA MSA	1	0	3018	27267
Lewiston-Auburn, ME MSA	1	0	2855	49134
Lewistown, PA MicroSA	0	1	2256	21537
Lexington, NE MicroSA	0	1	5039	11407
Lexington-Fayette, KY MSA	1	0	9417	215010
Liberal, KS MicroSA	0	1	2179	8112
Lima, OH MSA	1	0	6015	44850
Lincoln, IL MicroSA	0	1	3205	11966
Lincoln, NE MSA	1	0	10465	132240
Little Rock-North Little Rock-Conway, AR MSA	1	0	24965	318085
Lock Haven, PA MicroSA	0	1	3236	18985
Logan, UT-ID MSA	1	0	6408	43856
Logan, WV MicroSA	0	1	2688	16716
Logansport, IN MicroSA	0	1	3049	16336
London, KY MicroSA	0	1	5130	55090
Longview, TX MSA	1	0	10723	89273
Longview, WA MSA	1	0	3198	43519
Los Alamos, NM MicroSA	0	1	611	8309
Los Angeles-Long Beach-Anaheim, CA MSA	1	0	146462	4.56224e+06
Louisville/Jefferson County, KY-IN MSA	1	0	28889	548435
Lubbock, TX MSA	1	0	11811	126823
Ludington, MI MicroSA	0	1	2229	17301
Lufkin, TX MicroSA	0	1	3456	36226
Lumberton, NC MicroSA	0	1	5799	52318
Lynchburg, VA MSA	1	0	12653	114544
Macomb, IL MicroSA	0	1	2243	14395
Macon, GA MSA	1	0	7724	102159
Madera, CA MSA	1	0	4989	49844
Madison, IN MicroSA	0	1	2029	14315
Madison, WI MSA	1	0	21484	275682
Madisonville, KY MicroSA	0	1	2506	21272
Magnolia, AR MicroSA	0	1	2374	11578
Malone, NY MicroSA	0	1	3155	25324
Malvern, AR MicroSA	0	1	3031	14331
Manchester-Nashua, NH MSA	1	0	8945	167606
Manhattan, KS MSA	1	0	6208	38903
Manitowoc, WI MicroSA	0	1	3706	37207
Mankato-North Mankato, MN MSA	1	0	5195	40305
Mansfield, OH MSA	1	0	6337	54210
Marietta, OH MicroSA	0	1	3173	28083
Marinette, WI-MI MicroSA	0	1	6760	44532
Marion, IN MicroSA	0	1	3685	30302
Marion, NC MicroSA	0	1	1985	20922
Marion, OH MicroSA	0	1	2148	27783
Marquette, MI MicroSA	0	1	5635	34486
Marshall, MN MicroSA	0	1	2266	11179
Marshall, MO MicroSA	0	1	3091	10090
Marshall, TX MicroSA	0	1	3704	28045
Marshalltown, IA MicroSA	0	1	2309	16729
Martin, TN MicroSA	0	1	2685	15529
Martinsville, VA MicroSA	0	1	3091	33276
Maryville, MO MicroSA	0	1	2843	9628
Mason City, IA MicroSA	0	1	4058	25776
Mayfield, KY MicroSA	0	1	2082	16755
Maysville, KY MicroSA	0	1	1180	8147
McAlester, OK MicroSA	0	1	5845	22900
McAllen-Edinburg-Mission, TX MSA	1	0	16617	261496
McComb, MS MicroSA	0	1	3912	24580
McMinnville, TN MicroSA	0	1	1701	17834
McPherson, KS MicroSA	0	1	3573	12864
Meadville, PA MicroSA	0	1	4969	44386
Medford, OR MSA	1	0	9606	92223
Memphis, TN-MS-AR MSA	1	0	32001	563649
Menomonie, WI MicroSA	0	1	3021	18090
Merced, CA MSA	1	0	7181	84140
Meridian, MS MicroSA	0	1	7217	47566
Merrill, WI MicroSA	0	1	2415	16874
Mexico, MO MicroSA	0	1	3153	10795
Miami, OK MicroSA	0	1	3026	14058
Miami-Fort Lauderdale-West Palm Beach, FL MSA	1	0	81428	2.4967e+06
Michigan City-La Porte, IN MSA	1	0	4801	48752
Middlesborough, KY MicroSA	0	1	1668	13098
Midland, MI MSA	1	0	2676	36293
Midland, TX MSA	1	0	5201	59762
Milledgeville, GA MicroSA	0	1	2405	25489
Milwaukee-Waukesha-West Allis, WI MSA	1	0	29082	672345
Mineral Wells, TX MicroSA	0	1	3681	15323
Minneapolis-St. Paul-Bloomington, MN-WI MSA	1	0	76608	1.41418e+06
Minot, ND MicroSA	0	1	11722	35598
Missoula, MT MSA	1	0	5863	51463
Mitchell, SD MicroSA	0	1	2463	10313
Moberly, MO MicroSA	0	1	2524	10665
Mobile, AL MSA	1	0	19465	181612
Modesto, CA MSA	1	0	8551	180386
Monroe, LA MSA	1	0	8128	77763
Monroe, MI MSA	1	0	4661	63376
Montgomery, AL MSA	1	0	12458	164694
Montrose, CO MicroSA	0	1	3077	18351
Morehead City, NC MicroSA	0	1	3823	48932
Morgan City, LA MicroSA	0	1	4427	23206
Morgantown, WV MSA	1	0	7806	59426
Morristown, TN MSA	1	0	4856	50690
Moscow, ID MicroSA	0	1	2747	16331
Moses Lake, WA MicroSA	0	1	4833	35534
Moultrie, GA MicroSA	0	1	2248	18289
Mount Airy, NC MicroSA	0	1	3119	33625
Mount Pleasant, MI MicroSA	0	1	2595	28604
