Input Name,Input Description
build_existing_model.reeds_balancing_area,:ref:`reeds_balancing_area`
build_existing_model.refrigerator,:ref:`refrigerator`
build_existing_model.roof_material,:ref:`roof_material`
build_existing_model.solar_hot_water,:ref:`solar_hot_water`
build_existing_model.state,:ref:`state`
build_existing_model.tenure,:ref:`tenure`
build_existing_model.usage_level,:ref:`usage_level`
build_existing_model.vacancy_status,:ref:`vacancy_status`
build_existing_model.vintage,:ref:`vintage`
build_existing_model.vintage_acs,:ref:`vintage_acs`
build_existing_model.water_heater_efficiency,:ref:`water_heater_efficiency`
build_existing_model.water_heater_fuel,:ref:`water_heater_fuel`
build_existing_model.water_heater_in_unit,:ref:`water_heater_in_unit`
build_existing_model.window_areas,:ref:`window_areas`
build_existing_model.windows,:ref:`windows`
building_id,The building unit number (between 1 and the number of samples).
job_id,The unique identifier of the job/processor.
started_at,Simulation start time.
completed_at,Simulation end time.
completed_status,"Simulation Success, Fail, or Invalid."
build_existing_model.applicable,The measure was applied to the workflow.
build_existing_model.sample_weight,Number of buildings this simulation represents.
build_existing_model.units_represented,The number of dwelling units this simulation represents. Should always be one.
build_existing_model.emissions_electricity_folders,"Relative paths of electricity emissions factor schedule files with hourly values. Paths are relative to the resources folder. If multiple scenarios, use a comma-separated list. File names must contain GEA region names."
build_existing_model.emissions_electricity_units,"Electricity emissions factors units. If multiple scenarios, use a comma-separated list. Only lb/MWh and kg/MWh are allowed."
build_existing_model.emissions_electricity_values_or_filepaths,"Electricity emissions factors values, specified as either an annual factor or an absolute/relative path to a file with hourly factors. If multiple scenarios, use a comma-separated list."
build_existing_model.emissions_fossil_fuel_units,"Fossil fuel emissions factors units. If multiple scenarios, use a comma-separated list. Only lb/MBtu and kg/MBtu are allowed."
build_existing_model.emissions_fuel_oil_values,"Fuel oil emissions factors values, specified as an annual factor. If multiple scenarios, use a comma-separated list."
build_existing_model.emissions_natural_gas_values,"Natural gas emissions factors values, specified as an annual factor. If multiple scenarios, use a comma-separated list."
build_existing_model.emissions_propane_values,"Propane emissions factors values, specified as an annual factor. If multiple scenarios, use a comma-separated list."
build_existing_model.emissions_scenario_names,"Names of emissions scenarios. If multiple scenarios, use a comma-separated list."
build_existing_model.emissions_types,"Types of emissions (e.g., CO2e, NOx, etc.). If multiple scenarios, use a comma-separated list."
build_existing_model.emissions_wood_values,"Wood emissions factors values, specified as an annual factor. If multiple scenarios, use a comma-separated list."
build_existing_model.simulation_control_run_period_begin_day_of_month,This numeric field should contain the starting day of the starting month (must be valid for month) for the annual run period desired.
build_existing_model.simulation_control_run_period_begin_month,"This numeric field should contain the starting month number (1 = January, 2 = February, etc.) for the annual run period desired."
build_existing_model.simulation_control_run_period_calendar_year,"This numeric field should contain the calendar year that determines the start day of week. If you are running simulations using AMY weather files, the value entered for calendar year will not be used; it will be overridden by the actual year found in the AMY weather file."
build_existing_model.simulation_control_run_period_end_day_of_month,This numeric field should contain the ending day of the ending month (must be valid for month) for the annual run period desired.
build_existing_model.simulation_control_run_period_end_month,"This numeric field should contain the end month number (1 = January, 2 = February, etc.) for the annual run period desired."
build_existing_model.simulation_control_timestep,Value must be a divisor of 60.
build_existing_model.utility_bill_electricity_fixed_charges,"Electricity utility bill monthly fixed charges. If multiple scenarios, use a comma-separated list."
build_existing_model.utility_bill_electricity_marginal_rates,"Electricity utility bill marginal rates. If multiple scenarios, use a comma-separated list."
build_existing_model.utility_bill_fuel_oil_fixed_charges,"Fuel oil utility bill monthly fixed charges. If multiple scenarios, use a comma-separated list."
build_existing_model.utility_bill_fuel_oil_marginal_rates,"Fuel oil utility bill marginal rates. If multiple scenarios, use a comma-separated list."
build_existing_model.utility_bill_natural_gas_fixed_charges,"Natural gas utility bill monthly fixed charges. If multiple scenarios, use a comma-separated list."
build_existing_model.utility_bill_natural_gas_marginal_rates,"Natural gas utility bill marginal rates. If multiple scenarios, use a comma-separated list."
build_existing_model.utility_bill_propane_fixed_charges,"Propane utility bill monthly fixed charges. If multiple scenarios, use a comma-separated list."
build_existing_model.utility_bill_propane_marginal_rates,"Propane utility bill marginal rates. If multiple scenarios, use a comma-separated list."
build_existing_model.utility_bill_pv_compensation_types,"Utility bill PV compensation types. If multiple scenarios, use a comma-separated list."
build_existing_model.utility_bill_pv_feed_in_tariff_rates,"Utility bill PV annual full/gross feed-in tariff rates. Only applies if the PV compensation type is 'FeedInTariff'. If multiple scenarios, use a comma-separated list."
build_existing_model.utility_bill_pv_monthly_grid_connection_fee_units,"Utility bill PV monthly grid connection fee units. If multiple scenarios, use a comma-separated list."
build_existing_model.utility_bill_pv_monthly_grid_connection_fees,"Utility bill PV monthly grid connection fees. If multiple scenarios, use a comma-separated list."
build_existing_model.utility_bill_pv_net_metering_annual_excess_sellback_rate_types,"Utility bill PV net metering annual excess sellback rate types. Only applies if the PV compensation type is 'NetMetering'. If multiple scenarios, use a comma-separated list."
build_existing_model.utility_bill_pv_net_metering_annual_excess_sellback_rates,"Utility bill PV net metering annual excess sellback rates. Only applies if the PV compensation type is 'NetMetering' and the PV annual excess sellback rate type is 'User-Specified'. If multiple scenarios, use a comma-separated list."
build_existing_model.utility_bill_scenario_names,"Names of utility bill scenarios. If multiple scenarios, use a comma-separated list. If multiple scenarios, use a comma-separated list."
build_existing_model.utility_bill_wood_fixed_charges,"Wood utility bill monthly fixed charges. If multiple scenarios, use a comma-separated list."
build_existing_model.utility_bill_wood_marginal_rates,"Wood utility bill marginal rates. If multiple scenarios, use a comma-separated list."
build_existing_model.weather_file_city,City from the EPW weather file.
build_existing_model.weather_file_latitude,Latitude from the EPW weather file.
build_existing_model.weather_file_longitude,Longitude from the EPW weather file.
apply_upgrade.applicable,The measure was applied to the workflow.
apply_upgrade.upgrade_name,User-specificed name that describes the upgrade.
apply_upgrade.reference_scenario,The upgrade_name which should act as a reference to this upgrade to calculate savings.
report_simulation_output.applicable,The measure was applied to the workflow.
report_simulation_output.output_format,"The file format of the annual (and timeseries, if requested) outputs. If 'csv_dview' is selected, the timeseries CSV file will include header rows that facilitate opening the file in the DView application."
report_simulation_output.timeseries_frequency,The frequency at which to report timeseries output data. Using 'none' will disable timeseries outputs.
report_simulation_output.include_annual_total_consumptions,Generates annual energy consumptions for the total building.
report_simulation_output.include_annual_fuel_consumptions,Generates annual energy consumptions for each fuel type.
report_simulation_output.include_annual_end_use_consumptions,Generates annual energy consumptions for each end use.
report_simulation_output.include_annual_system_use_consumptions,Generates annual energy consumptions for each end use of each HVAC and water heating system.
report_simulation_output.include_annual_emissions,Generates annual emissions. Requires the appropriate HPXML inputs to be specified.
report_simulation_output.include_annual_emission_fuels,Generates annual emissions for each fuel type. Requires the appropriate HPXML inputs to be specified.
report_simulation_output.include_annual_emission_end_uses,Generates annual emissions for each end use. Requires the appropriate HPXML inputs to be specified.
report_simulation_output.include_annual_total_loads,"Generates annual heating, cooling, and hot water loads."
report_simulation_output.include_annual_unmet_hours,Generates annual unmet hours for heating and cooling.
report_simulation_output.include_annual_peak_fuels,Generates annual electricity peaks for summer/winter.
report_simulation_output.include_annual_peak_loads,Generates annual peak loads for heating/cooling.
report_simulation_output.include_annual_component_loads,Generates annual heating and cooling loads disaggregated by component type.
report_simulation_output.include_annual_hot_water_uses,Generates annual hot water usages for each end use.
report_simulation_output.include_annual_hvac_summary,"Generates HVAC capacities, design temperatures, and design loads."
report_simulation_output.include_timeseries_total_consumptions,Generates timeseries energy consumptions for the total building.
report_simulation_output.include_timeseries_fuel_consumptions,Generates timeseries energy consumptions for each fuel type.
report_simulation_output.include_timeseries_end_use_consumptions,Generates timeseries energy consumptions for each end use.
report_simulation_output.include_timeseries_system_use_consumptions,Generates timeseries energy consumptions for each end use of each HVAC and water heating system.
report_simulation_output.include_timeseries_emissions,Generates timeseries emissions. Requires the appropriate HPXML inputs to be specified.
report_simulation_output.include_timeseries_emission_fuels,Generates timeseries emissions for each fuel type. Requires the appropriate HPXML inputs to be specified.
report_simulation_output.include_timeseries_emission_end_uses,Generates timeseries emissions for each end use. Requires the appropriate HPXML inputs to be specified.
report_simulation_output.include_timeseries_hot_water_uses,Generates timeseries hot water usages for each end use.
report_simulation_output.include_timeseries_total_loads,"Generates timeseries total heating, cooling, and hot water loads."
report_simulation_output.include_timeseries_component_loads,Generates timeseries heating and cooling loads disaggregated by component type.
report_simulation_output.include_timeseries_unmet_hours,Generates timeseries unmet hours for heating and cooling.
report_simulation_output.include_timeseries_zone_temperatures,Generates timeseries temperatures for each thermal zone.
report_simulation_output.include_timeseries_airflows,Generates timeseries airflows.
report_simulation_output.include_timeseries_weather,Generates timeseries weather data.
report_simulation_output.timeseries_timestamp_convention,Determines whether timeseries timestamps use the start-of-period or end-of-period convention. Doesn't apply if the output format is 'csv_dview'.
report_simulation_output.timeseries_num_decimal_places,"Allows overriding the default number of decimal places for timeseries output. Does not apply if output format is msgpack, where no rounding is performed because there is no file size penalty to storing full precision."
report_simulation_output.add_timeseries_dst_column,"Optionally add, in addition to the default local standard Time column, a local clock TimeDST column. Requires that daylight saving time is enabled."
report_simulation_output.add_timeseries_utc_column,"Optionally add, in addition to the default local standard Time column, a local clock TimeUTC column. If the time zone UTC offset is not provided in the HPXML file, the time zone in the EPW header will be used."
report_simulation_output.user_output_variables,"Optionally generates timeseries EnergyPlus output variables. If multiple output variables are desired, use a comma-separated list. Do not include key values; by default all key values will be requested. Example: ""Zone People Occupant Count, Zone People Total Heating Energy"""
report_utility_bills.applicable,The measure was applied to the workflow.
report_utility_bills.output_format,"The file format of the annual (and timeseries, if requested) outputs."
upgrade_costs.applicable,The measure was applied to the workflow.
upgrade_costs.debug,"If true, retain existing and upgraded intermediate files."
upgrade_costs.upgrade_cost_usd,Total cost of the upgrade.
qoi_report.applicable,The measure was applied to the workflow.
