Dependency=Geometry Building Type RECS	Dependency=Geometry Floor Area Bin	Dependency=Vintage ACS	Option=1	Option=2	Option=3
Multi-Family with 2 - 4 Units	1500-2499	1980-99	1.000000	0.000000	0.000000
Multi-Family with 2 - 4 Units	2500-3999	1980-99	1.000000	0.000000	0.000000
Multi-Family with 2 - 4 Units	4000+	1980-99	1.000000	0.000000	0.000000
Multi-Family with 2 - 4 Units	0-1499	2000-09	1.000000	0.000000	0.000000
Multi-Family with 2 - 4 Units	1500-2499	2000-09	1.000000	0.000000	0.000000
Multi-Family with 2 - 4 Units	2500-3999	2000-09	1.000000	0.000000	0.000000
Multi-Family with 2 - 4 Units	4000+	2000-09	1.000000	0.000000	0.000000
Multi-Family with 2 - 4 Units	0-1499	2010s	1.000000	0.000000	0.000000
Multi-Family with 2 - 4 Units	1500-2499	2010s	1.000000	0.000000	0.000000
Multi-Family with 2 - 4 Units	2500-3999	2010s	1.000000	0.000000	0.000000
Multi-Family with 2 - 4 Units	4000+	2010s	1.000000	0.000000	0.000000
Multi-Family with 2 - 4 Units	0-1499	<1940	1.000000	0.000000	0.000000
Multi-Family with 2 - 4 Units	1500-2499	<1940	1.000000	0.000000	0.000000
Multi-Family with 2 - 4 Units	2500-3999	<1940	1.000000	0.000000	0.000000
Multi-Family with 2 - 4 Units	4000+	<1940	1.000000	0.000000	0.000000
Multi-Family with 5+ Units	0-1499	1940-59	0.074101	0.327858	0.598041
Multi-Family with 5+ Units	1500-2499	1940-59	0.000000	0.183705	0.816295
Multi-Family with 5+ Units	2500-3999	1940-59	0.333333	0.333333	0.333333
Multi-Family with 5+ Units	4000+	1940-59	0.333333	0.333333	0.333333
Multi-Family with 5+ Units	0-1499	1960-79	0.083143	0.429313	0.487545
Multi-Family with 5+ Units	1500-2499	1960-79	0.093606	0.217203	0.689191
Multi-Family with 5+ Units	2500-3999	1960-79	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	4000+	1960-79	0.333333	0.333333	0.333333
Multi-Family with 5+ Units	0-1499	1980-99	0.076168	0.442165	0.481667
Multi-Family with 5+ Units	1500-2499	1980-99	0.039834	0.642369	0.317797
Multi-Family with 5+ Units	2500-3999	1980-99	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	4000+	1980-99	0.333333	0.333333	0.333333
Multi-Family with 5+ Units	0-1499	2000-09	0.069171	0.434233	0.496596
Multi-Family with 5+ Units	1500-2499	2000-09	0.000000	0.195387	0.804613
Multi-Family with 5+ Units	2500-3999	2000-09	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	4000+	2000-09	0.333333	0.333333	0.333333
Multi-Family with 5+ Units	0-1499	2010s	0.069171	0.434233	0.496596
Multi-Family with 5+ Units	1500-2499	2010s	0.000000	0.195387	0.804613
Multi-Family with 5+ Units	2500-3999	2010s	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	4000+	2010s	0.333333	0.333333	0.333333
Multi-Family with 5+ Units	0-1499	<1940	0.054294	0.127771	0.817935
Multi-Family with 5+ Units	1500-2499	<1940	0.000000	0.112318	0.887682
Multi-Family with 5+ Units	2500-3999	<1940	0.000000	0.000000	1.000000
Multi-Family with 5+ Units	4000+	<1940	0.333333	0.333333	0.333333
Single-Family Attached	0-1499	1940-59	0.691809	0.308191	0.000000
Single-Family Attached	1500-2499	1940-59	0.255269	0.664934	0.079797
Single-Family Attached	2500-3999	1940-59	0.123195	0.876805	0.000000
Single-Family Attached	4000+	1940-59	0.333333	0.333333	0.333333
Single-Family Attached	0-1499	1960-79	0.641900	0.349316	0.008784
Single-Family Attached	1500-2499	1960-79	0.295173	0.677029	0.027798
Single-Family Attached	2500-3999	1960-79	0.660474	0.339526	0.000000
Single-Family Attached	4000+	1960-79	0.333333	0.333333	0.333333
Single-Family Attached	0-1499	1980-99	0.476167	0.515554	0.008279
Single-Family Attached	1500-2499	1980-99	0.273109	0.608685	0.118206
Single-Family Attached	2500-3999	1980-99	0.226260	0.745923	0.027817
Single-Family Attached	4000+	1980-99	0.000000	1.000000	0.000000
Single-Family Attached	0-1499	2000-09	0.488069	0.487722	0.024209
Single-Family Attached	1500-2499	2000-09	0.349766	0.541658	0.108577
Single-Family Attached	2500-3999	2000-09	0.364816	0.352073	0.283112
Single-Family Attached	4000+	2000-09	0.170494	0.471644	0.357862
Single-Family Attached	0-1499	2010s	0.488069	0.487722	0.024209
Single-Family Attached	1500-2499	2010s	0.349766	0.541658	0.108577
Single-Family Attached	2500-3999	2010s	0.364816	0.352073	0.283112
Single-Family Attached	4000+	2010s	0.170494	0.471644	0.357862
Single-Family Attached	0-1499	<1940	0.301526	0.598367	0.100106
Single-Family Attached	1500-2499	<1940	0.073988	0.726023	0.199989
Single-Family Attached	2500-3999	<1940	0.000000	0.557090	0.442910
Single-Family Attached	4000+	<1940	0.333333	0.333333	0.333333
Single-Family Detached	0-1499	1940-59	0.878468	0.120467	0.001065
Single-Family Detached	1500-2499	1940-59	0.596728	0.389279	0.013993
Single-Family Detached	2500-3999	1940-59	0.356480	0.594487	0.049032
Single-Family Detached	4000+	1940-59	0.303428	0.672894	0.023678
Single-Family Detached	0-1499	1960-79	0.903217	0.088940	0.007843
Single-Family Detached	1500-2499	1960-79	0.727746	0.256906	0.015347
Single-Family Detached	2500-3999	1960-79	0.492284	0.479928	0.027788
Single-Family Detached	4000+	1960-79	0.280778	0.665337	0.053885
Single-Family Detached	0-1499	1980-99	0.843512	0.149992	0.006496
Single-Family Detached	1500-2499	1980-99	0.649011	0.344257	0.006732
Single-Family Detached	2500-3999	1980-99	0.314676	0.653685	0.031639
Single-Family Detached	4000+	1980-99	0.156823	0.812706	0.030471
Single-Family Detached	0-1499	2000-09	0.838622	0.161378	0.000000
Single-Family Detached	1500-2499	2000-09	0.650375	0.345612	0.004012
Single-Family Detached	2500-3999	2000-09	0.297882	0.690677	0.011441
Single-Family Detached	4000+	2000-09	0.204168	0.765621	0.030211
Single-Family Detached	0-1499	2010s	0.838622	0.161378	0.000000
Single-Family Detached	1500-2499	2010s	0.650375	0.345612	0.004012
Single-Family Detached	2500-3999	2010s	0.297882	0.690677	0.011441
Single-Family Detached	4000+	2010s	0.204168	0.765621	0.030211
Single-Family Detached	0-1499	<1940	0.615321	0.377800	0.006879
Single-Family Detached	1500-2499	<1940	0.257659	0.726773	0.015568
Single-Family Detached	2500-3999	<1940	0.081772	0.847259	0.070970
Single-Family Detached	4000+	<1940	0.070785	0.752165	0.177050
Mobile Home	0-1499	2020s	1.000000	0.000000	0.000000
Mobile Home	1500-2499	2020s	1.000000	0.000000	0.000000
Mobile Home	2500-3999	2020s	1.000000	0.000000	0.000000
Mobile Home	4000+	2020s	1.000000	0.000000	0.000000
Multi-Family with 2 - 4 Units	0-1499	2020s	1.000000	0.000000	0.000000
Multi-Family with 2 - 4 Units	1500-2499	2020s	1.000000	0.000000	0.000000
Multi-Family with 2 - 4 Units	2500-3999	2020s	1.000000	0.000000	0.000000
Multi-Family with 2 - 4 Units	4000+	2020s	1.000000	0.000000	0.000000
Multi-Family with 5+ Units	0-1499	2020s	0.069171	0.434233	0.496596
Multi-Family with 5+ Units	1500-2499	2020s	0.000000	0.195387	0.804613
Multi-Family with 5+ Units	2500-3999	2020s	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	4000+	2020s	0.333333	0.333333	0.333333
Single-Family Attached	0-1499	2020s	0.488069	0.487722	0.024209
Single-Family Attached	1500-2499	2020s	0.349766	0.541658	0.108577
Single-Family Attached	2500-3999	2020s	0.364816	0.352073	0.283112
Single-Family Attached	4000+	2020s	0.170494	0.471644	0.357862
Single-Family Detached	0-1499	2020s	0.838622	0.161378	0.000000
Single-Family Detached	1500-2499	2020s	0.650375	0.345612	0.004012
Single-Family Detached	2500-3999	2020s	0.297882	0.690677	0.011441
Single-Family Detached	4000+	2020s	0.204168	0.765621	0.030211
Mobile Home	0-1499	2030s	1.000000	0.000000	0.000000
Mobile Home	1500-2499	2030s	1.000000	0.000000	0.000000
Mobile Home	2500-3999	2030s	1.000000	0.000000	0.000000
Mobile Home	4000+	2030s	1.000000	0.000000	0.000000
Multi-Family with 2 - 4 Units	0-1499	2030s	1.000000	0.000000	0.000000
Multi-Family with 2 - 4 Units	1500-2499	2030s	1.000000	0.000000	0.000000
Multi-Family with 2 - 4 Units	2500-3999	2030s	1.000000	0.000000	0.000000
Multi-Family with 2 - 4 Units	4000+	2030s	1.000000	0.000000	0.000000
Multi-Family with 5+ Units	0-1499	2030s	0.069171	0.434233	0.496596
Multi-Family with 5+ Units	1500-2499	2030s	0.000000	0.195387	0.804613
Multi-Family with 5+ Units	2500-3999	2030s	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	4000+	2030s	0.333333	0.333333	0.333333
Single-Family Attached	0-1499	2030s	0.488069	0.487722	0.024209
Single-Family Attached	1500-2499	2030s	0.349766	0.541658	0.108577
Single-Family Attached	2500-3999	2030s	0.364816	0.352073	0.283112
Single-Family Attached	4000+	2030s	0.170494	0.471644	0.357862
Single-Family Detached	0-1499	2030s	0.838622	0.161378	0.000000
Single-Family Detached	1500-2499	2030s	0.650375	0.345612	0.004012
Single-Family Detached	2500-3999	2030s	0.297882	0.690677	0.011441
Single-Family Detached	4000+	2030s	0.204168	0.765621	0.030211
Mobile Home	0-1499	2040s	1.000000	0.000000	0.000000
Mobile Home	1500-2499	2040s	1.000000	0.000000	0.000000
Mobile Home	2500-3999	2040s	1.000000	0.000000	0.000000
Mobile Home	4000+	2040s	1.000000	0.000000	0.000000
Multi-Family with 2 - 4 Units	0-1499	2040s	1.000000	0.000000	0.000000
Multi-Family with 2 - 4 Units	1500-2499	2040s	1.000000	0.000000	0.000000
Multi-Family with 2 - 4 Units	2500-3999	2040s	1.000000	0.000000	0.000000
Multi-Family with 2 - 4 Units	4000+	2040s	1.000000	0.000000	0.000000
Multi-Family with 5+ Units	0-1499	2040s	0.069171	0.434233	0.496596
Multi-Family with 5+ Units	1500-2499	2040s	0.000000	0.195387	0.804613
Multi-Family with 5+ Units	2500-3999	2040s	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	4000+	2040s	0.333333	0.333333	0.333333
Single-Family Attached	0-1499	2040s	0.488069	0.487722	0.024209
Single-Family Attached	1500-2499	2040s	0.349766	0.541658	0.108577
Single-Family Attached	2500-3999	2040s	0.364816	0.352073	0.283112
Single-Family Attached	4000+	2040s	0.170494	0.471644	0.357862
Single-Family Detached	0-1499	2040s	0.838622	0.161378	0.000000
Single-Family Detached	1500-2499	2040s	0.650375	0.345612	0.004012
Single-Family Detached	2500-3999	2040s	0.297882	0.690677	0.011441
Single-Family Detached	4000+	2040s	0.204168	0.765621	0.030211
Mobile Home	0-1499	2050s	1.000000	0.000000	0.000000
Mobile Home	1500-2499	2050s	1.000000	0.000000	0.000000
Mobile Home	2500-3999	2050s	1.000000	0.000000	0.000000
Mobile Home	4000+	2050s	1.000000	0.000000	0.000000
Multi-Family with 2 - 4 Units	0-1499	2050s	1.000000	0.000000	0.000000
Multi-Family with 2 - 4 Units	1500-2499	2050s	1.000000	0.000000	0.000000
Multi-Family with 2 - 4 Units	2500-3999	2050s	1.000000	0.000000	0.000000
Multi-Family with 2 - 4 Units	4000+	2050s	1.000000	0.000000	0.000000
Multi-Family with 5+ Units	0-1499	2050s	0.069171	0.434233	0.496596
Multi-Family with 5+ Units	1500-2499	2050s	0.000000	0.195387	0.804613
Multi-Family with 5+ Units	2500-3999	2050s	0.000000	1.000000	0.000000
Multi-Family with 5+ Units	4000+	2050s	0.333333	0.333333	0.333333
Single-Family Attached	0-1499	2050s	0.488069	0.487722	0.024209
Single-Family Attached	1500-2499	2050s	0.349766	0.541658	0.108577
Single-Family Attached	2500-3999	2050s	0.364816	0.352073	0.283112
Single-Family Attached	4000+	2050s	0.170494	0.471644	0.357862
Single-Family Detached	0-1499	2050s	0.838622	0.161378	0.000000
Single-Family Detached	1500-2499	2050s	0.650375	0.345612	0.004012
Single-Family Detached	2500-3999	2050s	0.297882	0.690677	0.011441
Single-Family Detached	4000+	2050s	0.204168	0.765621	0.030211
