County	elec_filepath	natural_gas_fixed_charge	natural_gas_marginal_rate	propane_fixed_charge	propane_marginal_rate	fuel_oil_fixed_charge	fuel_oil_marginal_rate	wood_fixed_charge	wood_marginal_rate	pv_compensation_type	pv_net_metering_annual_excess_sellback_rate_type	pv_net_metering_annual_excess_sellback_rate	pv_feed_in_tariff_rates	pv_monthly_grid_connection_fee_units	pv_monthly_grid_connection_fee
"CA, Kern County"	RTP/Sample Real-Time Pricing Rate.json	11.2	0.083	0	2.1	0	3.6	0	0.0013	FeedInTariff			0.13	$/kW	2.5
"CA, Kings County"	RTP/Sample Real-Time Pricing Rate.json	9.9	0.097	0	3.3	0	2	0	0.002	FeedInTariff			0.13	$	7.5
"CA, Lake County"	RTP/Sample Real-Time Pricing Rate.json	11.6	0.1	0	2	0	2.7	0	0.0011	NetMetering	User-Specified	0.035		$/kW	2.5
"CA, Lassen County"	RTP/Sample Real-Time Pricing Rate.json	9.8	0.091	0	3.5	0	3.2	0	0.001	NetMetering	Retail Electricity Cost			$/kW	2.5
"CA, Los Angeles County"	Tiered/Sample Tiered Rate.json	8.1	0.118	0	3.6	0	2.7	0	0.0015	FeedInTariff			0.13	$/kW	2.5
"CA, Madera County"	Tiered/Sample Tiered Rate.json	10	0.118	0	2.4	0	2.9	0	0.0011	FeedInTariff			0.13	$	7.5
"CA, Marin County"	Tiered/Sample Tiered Rate.json	9.7	0.096	0	2.7	0	3.5	0	0.0018	NetMetering	User-Specified	0.035		$/kW	2.5
"CA, Mariposa County"	Tiered/Sample Tiered Rate.json	11	0.09	0	2.6	0	3.4	0	0.0014	NetMetering	Retail Electricity Cost			$/kW	2.5
"CA, Mendocino County"	Tiered/Sample Tiered Rate.json	11.3	0.107	0	3.3	0	2	0	0.0018	FeedInTariff			0.13	$/kW	2.5
"CA, Merced County"	Tiered/Sample Tiered Rate.json	10.5	0.09	0	4	0	3.9	0	0.002	FeedInTariff			0.13	$	7.5
"CA, Modoc County"	Tiered/Sample Tiered Rate.json	8.8	0.099	0	2.3	0	3.9	0	0.0013	NetMetering	User-Specified	0.035		$/kW	2.5
"CA, Mono County"	Tiered/Sample Tiered Rate.json	9.5	0.117	0	3.8	0	3.3	0	0.001	NetMetering	Retail Electricity Cost			$/kW	2.5
"CA, Monterey County"	Tiered/Sample Tiered Rate.json	8.9	0.105	0	2.5	0	2.1	0	0.002	FeedInTariff			0.13	$/kW	2.5
"CA, Napa County"	TieredTOU/Sample Tiered Time-of-Use Rate.json	9.2	0.091	0	2.8	0	3	0	0.0017	FeedInTariff			0.13	$	7.5
"CA, Nevada County"	TieredTOU/Sample Tiered Time-of-Use Rate.json	11.5	0.111	0	3.7	0	3	0	0.0017	NetMetering	User-Specified	0.035		$/kW	2.5
"CA, Orange County"	TieredTOU/Sample Tiered Time-of-Use Rate.json	11.8	0.091	0	2.6	0	2.4	0	0.0019	NetMetering	Retail Electricity Cost			$/kW	2.5
"CA, Placer County"	TieredTOU/Sample Tiered Time-of-Use Rate.json	8.8	0.09	0	2.5	0	2.6	0	0.0019	FeedInTariff			0.13	$/kW	2.5
"CA, Plumas County"	TieredTOU/Sample Tiered Time-of-Use Rate.json	9.5	0.084	0	2.7	0	3.7	0	0.0011	FeedInTariff			0.13	$	7.5
"CA, Riverside County"	TieredTOU/Sample Tiered Time-of-Use Rate.json	8.2	0.119	0	2.1	0	3	0	0.0019	NetMetering	User-Specified	0.035		$/kW	2.5
"CA, Sacramento County"	TieredTOU/Sample Tiered Time-of-Use Rate.json	11.4	0.106	0	2.1	0	3.8	0	0.001	NetMetering	Retail Electricity Cost			$/kW	2.5
"CA, San Benito County"	TieredTOU/Sample Tiered Time-of-Use Rate.json	8.8	0.104	0	4	0	3.4	0	0.0019	FeedInTariff			0.13	$/kW	2.5
"CA, San Bernardino County"	TieredTOU/Sample Tiered Time-of-Use Rate.json	10.2	0.094	0	2.7	0	3.7	0	0.0017	FeedInTariff			0.13	$	7.5
"CA, San Diego County"	TOU/Sample Time-of-Use Rate.json	10.8	0.118	0	2.1	0	3.9	0	0.001	NetMetering	User-Specified	0.035		$/kW	2.5
"CA, San Francisco County"	TOU/Sample Time-of-Use Rate.json	9.4	0.116	0	2.9	0	2.1	0	0.0012	NetMetering	Retail Electricity Cost			$/kW	2.5
"CA, San Joaquin County"	TOU/Sample Time-of-Use Rate.json	11.6	0.081	0	2.5	0	2.9	0	0.0014	FeedInTariff			0.13	$/kW	2.5
"CA, San Luis Obispo County"	TOU/Sample Time-of-Use Rate.json	9.7	0.088	0	3.1	0	3.9	0	0.0016	FeedInTariff			0.13	$	7.5
"CA, San Mateo County"	TOU/Sample Time-of-Use Rate.json	8.3	0.101	0	2.1	0	3	0	0.0013	NetMetering	User-Specified	0.035		$/kW	2.5
"CA, Santa Barbara County"	TOU/Sample Time-of-Use Rate.json	9	0.109	0	2.4	0	3.9	0	0.0012	NetMetering	Retail Electricity Cost			$/kW	2.5
"CA, Santa Clara County"	TOU/Sample Time-of-Use Rate.json	9	0.104	0	2.2	0	2.7	0	0.0018	FeedInTariff			0.13	$/kW	2.5
"CA, Santa Cruz County"	TOU/Sample Time-of-Use Rate.json	10.5	0.089	0	2.3	0	2.1	0	0.0017	FeedInTariff			0.13	$	7.5
"CA, Shasta County"	TOU/Sample Time-of-Use Rate.json	10	0.099	0	3	0	2.7	0	0.0019	NetMetering	User-Specified	0.035		$/kW	2.5
"CA, Sierra County"	TOU/Sample Time-of-Use Rate.json	9.8	0.092	0	3	0	2.3	0	0.0019	NetMetering	Retail Electricity Cost			$/kW	2.5
"CA, Siskiyou County"	TOU/Sample Time-of-Use Rate.json	8	0.108	0	3.4	0	2.2	0	0.0014	FeedInTariff			0.13	$/kW	2.5
"CA, Solano County"	TOU/Sample Time-of-Use Rate.json	8.2	0.104	0	2.1	0	3.5	0	0.0011	FeedInTariff			0.13	$	7.5
"CA, Sonoma County"	TOU/Sample Time-of-Use Rate.json	9.3	0.091	0	2.6	0	3.7	0	0.0011	NetMetering	User-Specified	0.035		$/kW	2.5
"CA, Stanislaus County"										NetMetering	Retail Electricity Cost			$/kW	2.5
"CA, Sutter County"										FeedInTariff			0.13	$/kW	2.5
"CA, Tehama County"										FeedInTariff			0.13	$	7.5
"CA, Trinity County"										NetMetering	User-Specified	0.035		$/kW	2.5
"CA, Tulare County"															
"CA, Tuolumne County"															
"CA, Ventura County"															
"CA, Yolo County"															
"CA, Yuba County"															
