Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Geometry Building Type RECS	Dependency=Geometry Floor Area Bin	Dependency=HVAC Cooling Type	Option=<10% Conditioned	Option=20% Conditioned	Option=40% Conditioned	Option=60% Conditioned	Option=80% Conditioned	Option=100% Conditioned	Option=None	source_count	source_weight	sampling_probability
1A	Multi-Family with 2 - 4 Units	0-1499	Central AC	0	0	0	0.0002376	0.00154367	0.998219	0	17.4559	17888.9	0.000404622
1A	Multi-Family with 2 - 4 Units	0-1499	Heat Pump	0	0	0	0	0	1	0	1.97534	1973.04	0.000250758
1A	Multi-Family with 2 - 4 Units	0-1499	None	0	0	0	0	0	0	1	3.31713	3561.1	2.19349e-05
1A	Multi-Family with 2 - 4 Units	0-1499	Room AC	0	0.0631708	0.17657	0.204591	0.0501507	0.505518	0	22.9323	26767	6.00295e-05
1A	Multi-Family with 2 - 4 Units	1500-2499	Central AC	0	0	0	0.000760716	0.00320335	0.996036	0	9.46268	9313.77	6.76879e-05
1A	Multi-Family with 2 - 4 Units	1500-2499	Heat Pump	0	0	0	0	0	1	0	1.76508	1638.23	4.17238e-05
1A	Multi-Family with 2 - 4 Units	1500-2499	None	0	0	0	0	0	0	1	0.424807	413.281	3.44936e-06
1A	Multi-Family with 2 - 4 Units	1500-2499	Room AC	0	0.190722	0.258479	0.296412	0.161984	0.0924028	0	1.73821	1901.26	8.3778e-06
1A	Multi-Family with 2 - 4 Units	2500-3999	Central AC	0	0	0	0.00176014	0.00552956	0.99271	0	2.86214	2737.22	3.37661e-06
1A	Multi-Family with 2 - 4 Units	2500-3999	Heat Pump	0	0	0	0	0	1	0	0.341384	310.237	2.10422e-06
1A	Multi-Family with 2 - 4 Units	2500-3999	None	0	0	0	0	0	0	1	0.0548427	54.62	1.93694e-07
1A	Multi-Family with 2 - 4 Units	2500-3999	Room AC	0	0.243277	0.261993	0.182732	0.0611859	0.250812	0	0.26137	278.126	3.23911e-07
1A	Multi-Family with 2 - 4 Units	4000+	Central AC	0	0	0	0.0020028	0.00698012	0.991017	0	0.386372	364.4	1.31588e-06
1A	Multi-Family with 2 - 4 Units	4000+	Heat Pump	0	0	0	0	0	1	0	0.0454217	35.299	7.34588e-07
1A	Multi-Family with 2 - 4 Units	4000+	None	0	0	0	0	0	0	1	0.00524513	4.55212	4.37523e-08
1A	Multi-Family with 2 - 4 Units	4000+	Room AC	0	0.511272	0.239525	0.249203	0	0	0	0.0113413	11.8455	1.87535e-07
1A	Multi-Family with 5+ Units	0-1499	Central AC	0	0	0	0.0002376	0.00154367	0.998219	0	17.4559	17888.9	0.00283776
1A	Multi-Family with 5+ Units	0-1499	Heat Pump	0	0	0	0	0	1	0	1.97534	1973.04	0.00176021
1A	Multi-Family with 5+ Units	0-1499	None	0	0	0	0	0	0	1	3.31713	3561.1	0.000124054
1A	Multi-Family with 5+ Units	0-1499	Room AC	0	0.0631708	0.17657	0.204591	0.0501507	0.505518	0	22.9323	26767	0.000281726
1A	Multi-Family with 5+ Units	1500-2499	Central AC	0	0	0	0.000760716	0.00320335	0.996036	0	9.46268	9313.77	0.000451219
1A	Multi-Family with 5+ Units	1500-2499	Heat Pump	0	0	0	0	0	1	0	1.76508	1638.23	0.000277407
1A	Multi-Family with 5+ Units	1500-2499	None	0	0	0	0	0	0	1	0.424807	413.281	1.96019e-05
1A	Multi-Family with 5+ Units	1500-2499	Room AC	0	0.190722	0.258479	0.296412	0.161984	0.0924028	0	1.73821	1901.26	3.33913e-05
1A	Multi-Family with 5+ Units	2500-3999	Central AC	0	0	0	0.00176014	0.00552956	0.99271	0	2.86214	2737.22	5.47874e-05
1A	Multi-Family with 5+ Units	2500-3999	Heat Pump	0	0	0	0	0	1	0	0.341384	310.237	3.51306e-05
1A	Multi-Family with 5+ Units	2500-3999	None	0	0	0	0	0	0	1	0.0548427	54.62	1.99791e-06
1A	Multi-Family with 5+ Units	2500-3999	Room AC	0	0.243277	0.261993	0.182732	0.0611859	0.250812	0	0.26137	278.126	7.78552e-07
1A	Multi-Family with 5+ Units	4000+	Central AC	0	0	0	0.0020028	0.00698012	0.991017	0	0.386372	364.4	6.10691e-06
1A	Multi-Family with 5+ Units	4000+	Heat Pump	0	0	0	0	0	1	0	0.0454217	35.299	3.95458e-06
1A	Multi-Family with 5+ Units	4000+	None	0	0	0	0	0	0	1	0.00524513	4.55212	1.32133e-07
1A	Multi-Family with 5+ Units	4000+	Room AC	0	0.511272	0.239525	0.249203	0	0	0	0.0113413	11.8455	4.17561e-08
1A	Single-Family Attached	0-1499	Central AC	0	0	0	0.00270977	0.00917233	0.988118	0	303.768	284091	0.00035842
1A	Single-Family Attached	0-1499	Heat Pump	0	0	0	0	0	1	0	78.3879	69694.5	0.000241396
1A	Single-Family Attached	0-1499	None	0	0	0	0	0	0	1	12.741	12187.1	1.64844e-05
1A	Single-Family Attached	0-1499	Room AC	0	0.163704	0.191683	0.258592	0.106996	0.279026	0	58.3628	63398.7	6.06232e-05
1A	Single-Family Attached	1500-2499	Central AC	0	0	0	0.00855883	0.0187774	0.972664	0	164.67	147911	0.000270221
1A	Single-Family Attached	1500-2499	Heat Pump	0	0	0	0	0	1	0	70.0443	57867.6	0.000177813
1A	Single-Family Attached	1500-2499	None	0	0	0	0	0	0	1	1.63167	1414.36	1.10418e-05
1A	Single-Family Attached	1500-2499	Room AC	0	0.319675	0.181492	0.24232	0.223525	0.0329882	0	4.42376	4503.21	3.28866e-05
1A	Single-Family Attached	2500-3999	Central AC	0	0	0	0.019384	0.0317269	0.948889	0	49.8072	43469.4	3.60696e-05
1A	Single-Family Attached	2500-3999	Heat Pump	0	0	0	0	0	1	0	13.5472	10958.6	2.4814e-05
1A	Single-Family Attached	2500-3999	None	0	0	0	0	0	0	1	0.21065	186.925	1.27458e-06
1A	Single-Family Attached	2500-3999	Room AC	0	0.445603	0.201031	0.163249	0.092267	0.0978503	0	0.665189	658.752	5.1377e-06
1A	Single-Family Attached	4000+	Central AC	0	0	0	0.0218514	0.0396777	0.938471	0	6.72368	5786.98	5.98015e-06
1A	Single-Family Attached	4000+	Heat Pump	0	0	0	0	0	1	0	1.80248	1246.88	4.30214e-06
1A	Single-Family Attached	4000+	None	0	0	0	0	0	0	1	0.0201464	15.5787	2.76825e-07
1A	Single-Family Attached	4000+	Room AC	0	0.697356	0.13686	0.165784	0	0	0	0.0288636	28.0565	9.2509e-07
1A	Single-Family Detached	0-1499	Central AC	0	0	0	0.00270977	0.00917233	0.988118	0	303.768	284091	0.000891442
1A	Single-Family Detached	0-1499	Heat Pump	0	0	0	0	0	1	0	78.3879	69694.5	0.000612363
1A	Single-Family Detached	0-1499	None	0	0	0	0	0	0	1	12.741	12187.1	4.52279e-05
1A	Single-Family Detached	0-1499	Room AC	0	0.163704	0.191683	0.258592	0.106996	0.279026	0	58.3628	63398.7	0.000251664
1A	Single-Family Detached	1500-2499	Central AC	0	0	0	0.00855883	0.0187774	0.972664	0	164.67	147911	0.00134399
1A	Single-Family Detached	1500-2499	Heat Pump	0	0	0	0	0	1	0	70.0443	57867.6	0.000906107
1A	Single-Family Detached	1500-2499	None	0	0	0	0	0	0	1	1.63167	1414.36	6.42706e-05
1A	Single-Family Detached	1500-2499	Room AC	0	0.319675	0.181492	0.24232	0.223525	0.0329882	0	4.42376	4503.21	0.000274268
1A	Single-Family Detached	2500-3999	Central AC	0	0	0	0.019384	0.0317269	0.948889	0	49.8072	43469.4	0.00059626
1A	Single-Family Detached	2500-3999	Heat Pump	0	0	0	0	0	1	0	13.5472	10958.6	0.000406338
1A	Single-Family Detached	2500-3999	None	0	0	0	0	0	0	1	0.21065	186.925	2.56941e-05
1A	Single-Family Detached	2500-3999	Room AC	0	0.445603	0.201031	0.163249	0.092267	0.0978503	0	0.665189	658.752	0.000102918
1A	Single-Family Detached	4000+	Central AC	0	0	0	0.0218514	0.0396777	0.938471	0	6.72368	5786.98	0.000114718
1A	Single-Family Detached	4000+	Heat Pump	0	0	0	0	0	1	0	1.80248	1246.88	7.96841e-05
1A	Single-Family Detached	4000+	None	0	0	0	0	0	0	1	0.0201464	15.5787	4.54653e-06
1A	Single-Family Detached	4000+	Room AC	0	0.697356	0.13686	0.165784	0	0	0	0.0288636	28.0565	2.00279e-05
2A	Mobile Home	0-1499	Central AC	0	0	0	0.000104884	0.00301335	0.996882	0	1.5778	34170.9	0.00473397
2A	Mobile Home	0-1499	Heat Pump	0	0	0	0	0	1	0	1.5228	31805.7	0.00202645
2A	Mobile Home	0-1499	None	0	0	0	0	0	0	1	0.164817	3682.43	0.000185441
2A	Mobile Home	0-1499	Room AC	0	0.0822173	0.0909475	0.323957	0.0142035	0.488674	0	1.97893	46726.8	0.00141686
2A	Mobile Home	1500-2499	Central AC	0	0	0	0.000335371	0.00624512	0.99342	0	0.855315	17790.9	0.00172958
2A	Mobile Home	1500-2499	Heat Pump	0	0	0	0	0	1	0	1.36071	26408.4	0.000699512
2A	Mobile Home	1500-2499	None	0	0	0	0	0	0	1	0.0211071	427.362	5.43528e-05
2A	Mobile Home	1500-2499	Room AC	0	0.251773	0.135039	0.476056	0.0465319	0.0906002	0	0.149998	3319.01	0.00038202
2A	Mobile Home	2500-3999	Central AC	0	0	0	0.000774694	0.0107623	0.988463	0	0.258704	5228.58	0.000103649
2A	Mobile Home	2500-3999	Heat Pump	0	0	0	0	0	1	0	0.263174	5001.07	3.25124e-05
2A	Mobile Home	2500-3999	None	0	0	0	0	0	0	1	0.00272494	56.481	3.07549e-06
2A	Mobile Home	2500-3999	Room AC	0	0.316404	0.134852	0.289142	0.0173167	0.242285	0	0.0225548	485.521	2.02707e-05
2A	Mobile Home	4000+	Central AC	0	0	0	0.000880399	0.0135687	0.985551	0	0.0349235	696.067	1.88437e-05
2A	Mobile Home	4000+	Heat Pump	0	0	0	0	0	1	0	0.0350158	569.025	1.18528e-05
2A	Mobile Home	4000+	None	0	0	0	0	0	0	1	0.000260612	4.70722	5.94371e-07
2A	Mobile Home	4000+	Room AC	0	0.562301	0.104254	0.333445	0	0	0	0.000978687	20.6785	4.22936e-06
2A	Multi-Family with 2 - 4 Units	0-1499	Central AC	0	0	0	0.0002376	0.00154367	0.998219	0	17.4559	144737	0.00440094
2A	Multi-Family with 2 - 4 Units	0-1499	Heat Pump	0	0	0	0	0	1	0	1.97534	15963.7	0.00127521
2A	Multi-Family with 2 - 4 Units	0-1499	None	0	0	0	0	0	0	1	3.31713	28812.5	0.00019025
2A	Multi-Family with 2 - 4 Units	0-1499	Room AC	0	0.0631708	0.17657	0.204591	0.0501507	0.505518	0	22.9323	216570	0.000362367
2A	Multi-Family with 2 - 4 Units	1500-2499	Central AC	0	0	0	0.000760716	0.00320335	0.996036	0	9.46268	75356.9	0.000473309
2A	Multi-Family with 2 - 4 Units	1500-2499	Heat Pump	0	0	0	0	0	1	0	1.76508	13254.7	0.00021627
2A	Multi-Family with 2 - 4 Units	1500-2499	None	0	0	0	0	0	0	1	0.424807	3343.82	1.98316e-05
2A	Multi-Family with 2 - 4 Units	1500-2499	Room AC	0	0.190722	0.258479	0.296412	0.161984	0.0924028	0	1.73821	15383	3.47475e-05
2A	Multi-Family with 2 - 4 Units	2500-3999	Central AC	0	0	0	0.00176014	0.00552956	0.99271	0	2.86214	22146.6	3.63406e-05
2A	Multi-Family with 2 - 4 Units	2500-3999	Heat Pump	0	0	0	0	0	1	0	0.341384	2510.1	1.34574e-05
2A	Multi-Family with 2 - 4 Units	2500-3999	None	0	0	0	0	0	0	1	0.0548427	441.926	1.67019e-06
2A	Multi-Family with 2 - 4 Units	2500-3999	Room AC	0	0.243277	0.261993	0.182732	0.0611859	0.250812	0	0.26137	2250.3	2.83526e-06
2A	Multi-Family with 2 - 4 Units	4000+	Central AC	0	0	0	0.0020028	0.00698012	0.991017	0	0.386372	2948.33	2.52123e-05
2A	Multi-Family with 2 - 4 Units	4000+	Heat Pump	0	0	0	0	0	1	0	0.0454217	285.601	4.16129e-06
2A	Multi-Family with 2 - 4 Units	4000+	None	0	0	0	0	0	0	1	0.00524513	36.8308	1.23862e-06
2A	Multi-Family with 2 - 4 Units	4000+	Room AC	0	0.511272	0.239525	0.249203	0	0	0	0.0113413	95.841	4.13614e-06
2A	Multi-Family with 5+ Units	0-1499	Central AC	0	0	0	0.0002376	0.00154367	0.998219	0	17.4559	144737	0.0145538
2A	Multi-Family with 5+ Units	0-1499	Heat Pump	0	0	0	0	0	1	0	1.97534	15963.7	0.00438702
2A	Multi-Family with 5+ Units	0-1499	None	0	0	0	0	0	0	1	3.31713	28812.5	0.000521121
2A	Multi-Family with 5+ Units	0-1499	Room AC	0	0.0631708	0.17657	0.204591	0.0501507	0.505518	0	22.9323	216570	0.000679154
2A	Multi-Family with 5+ Units	1500-2499	Central AC	0	0	0	0.000760716	0.00320335	0.996036	0	9.46268	75356.9	0.00128982
2A	Multi-Family with 5+ Units	1500-2499	Heat Pump	0	0	0	0	0	1	0	1.76508	13254.7	0.000573415
2A	Multi-Family with 5+ Units	1500-2499	None	0	0	0	0	0	0	1	0.424807	3343.82	4.73042e-05
2A	Multi-Family with 5+ Units	1500-2499	Room AC	0	0.190722	0.258479	0.296412	0.161984	0.0924028	0	1.73821	15383	4.58105e-05
2A	Multi-Family with 5+ Units	2500-3999	Central AC	0	0	0	0.00176014	0.00552956	0.99271	0	2.86214	22146.6	0.00010812
2A	Multi-Family with 5+ Units	2500-3999	Heat Pump	0	0	0	0	0	1	0	0.341384	2510.1	6.80311e-05
2A	Multi-Family with 5+ Units	2500-3999	None	0	0	0	0	0	0	1	0.0548427	441.926	4.13871e-06
2A	Multi-Family with 5+ Units	2500-3999	Room AC	0	0.243277	0.261993	0.182732	0.0611859	0.250812	0	0.26137	2250.3	1.70733e-06
2A	Multi-Family with 5+ Units	4000+	Central AC	0	0	0	0.0020028	0.00698012	0.991017	0	0.386372	2948.33	2.21336e-05
2A	Multi-Family with 5+ Units	4000+	Heat Pump	0	0	0	0	0	1	0	0.0454217	285.601	6.67168e-06
2A	Multi-Family with 5+ Units	4000+	None	0	0	0	0	0	0	1	0.00524513	36.8308	7.36827e-07
2A	Multi-Family with 5+ Units	4000+	Room AC	0	0.511272	0.239525	0.249203	0	0	0	0.0113413	95.841	1.60002e-06
2A	Single-Family Attached	0-1499	Central AC	0	0	0	0.00270977	0.00917233	0.988118	0	303.768	2.29855e+06	0.00155213
2A	Single-Family Attached	0-1499	Heat Pump	0	0	0	0	0	1	0	78.3879	563892	0.000581389
2A	Single-Family Attached	0-1499	None	0	0	0	0	0	0	1	12.741	98604.5	5.42427e-05
2A	Single-Family Attached	0-1499	Room AC	0	0.163704	0.191683	0.258592	0.106996	0.279026	0	58.3628	512953	0.000192521
2A	Single-Family Attached	1500-2499	Central AC	0	0	0	0.00855883	0.0187774	0.972664	0	164.67	1.19673e+06	0.00121891
2A	Single-Family Attached	1500-2499	Heat Pump	0	0	0	0	0	1	0	70.0443	468202	0.000529665
2A	Single-Family Attached	1500-2499	None	0	0	0	0	0	0	1	1.63167	11443.5	3.6777e-05
2A	Single-Family Attached	1500-2499	Room AC	0	0.319675	0.181492	0.24232	0.223525	0.0329882	0	4.42376	36435.1	0.000112354
2A	Single-Family Attached	2500-3999	Central AC	0	0	0	0.019384	0.0317269	0.948889	0	49.8072	351707	0.000185923
2A	Single-Family Attached	2500-3999	Heat Pump	0	0	0	0	0	1	0	13.5472	88665.2	8.05152e-05
2A	Single-Family Attached	2500-3999	None	0	0	0	0	0	0	1	0.21065	1512.39	4.54008e-06
2A	Single-Family Attached	2500-3999	Room AC	0	0.445603	0.201031	0.163249	0.092267	0.0978503	0	0.665189	5329.9	1.74771e-05
2A	Single-Family Attached	4000+	Central AC	0	0	0	0.0218514	0.0396777	0.938471	0	6.72368	46821.9	2.70796e-05
2A	Single-Family Attached	4000+	Heat Pump	0	0	0	0	0	1	0	1.80248	10088.4	1.22206e-05
2A	Single-Family Attached	4000+	None	0	0	0	0	0	0	1	0.0201464	126.045	8.93399e-07
2A	Single-Family Attached	4000+	Room AC	0	0.697356	0.13686	0.165784	0	0	0	0.0288636	227.003	2.69858e-06
2A	Single-Family Detached	0-1499	Central AC	0	0	0	0.00270977	0.00917233	0.988118	0	303.768	2.29855e+06	0.0135261
2A	Single-Family Detached	0-1499	Heat Pump	0	0	0	0	0	1	0	78.3879	563892	0.00375626
2A	Single-Family Detached	0-1499	None	0	0	0	0	0	0	1	12.741	98604.5	0.000550256
2A	Single-Family Detached	0-1499	Room AC	0	0.163704	0.191683	0.258592	0.106996	0.279026	0	58.3628	512953	0.0029663
2A	Single-Family Detached	1500-2499	Central AC	0	0	0	0.00855883	0.0187774	0.972664	0	164.67	1.19673e+06	0.0227
2A	Single-Family Detached	1500-2499	Heat Pump	0	0	0	0	0	1	0	70.0443	468202	0.00641221
2A	Single-Family Detached	1500-2499	None	0	0	0	0	0	0	1	1.63167	11443.5	0.000754512
2A	Single-Family Detached	1500-2499	Room AC	0	0.319675	0.181492	0.24232	0.223525	0.0329882	0	4.42376	36435.1	0.00293593
2A	Single-Family Detached	2500-3999	Central AC	0	0	0	0.019384	0.0317269	0.948889	0	49.8072	351707	0.0103951
2A	Single-Family Detached	2500-3999	Heat Pump	0	0	0	0	0	1	0	13.5472	88665.2	0.00289211
2A	Single-Family Detached	2500-3999	None	0	0	0	0	0	0	1	0.21065	1512.39	0.000284667
2A	Single-Family Detached	2500-3999	Room AC	0	0.445603	0.201031	0.163249	0.092267	0.0978503	0	0.665189	5329.9	0.000951447
2A	Single-Family Detached	4000+	Central AC	0	0	0	0.0218514	0.0396777	0.938471	0	6.72368	46821.9	0.00228691
2A	Single-Family Detached	4000+	Heat Pump	0	0	0	0	0	1	0	1.80248	10088.4	0.000596047
2A	Single-Family Detached	4000+	None	0	0	0	0	0	0	1	0.0201464	126.045	5.61227e-05
2A	Single-Family Detached	4000+	Room AC	0	0.697356	0.13686	0.165784	0	0	0	0.0288636	227.003	0.000196011
2B	Mobile Home	0-1499	Central AC	0	0	0	0.000120704	0.00178955	0.99809	0	0.178619	5304.58	0.00055995
2B	Mobile Home	0-1499	Heat Pump	0	0	0	0	0	1	0	0.22011	6800.19	0.000376816
2B	Mobile Home	0-1499	None	0	0	0	0	0	0	1	0.0579086	1684.53	9.87092e-06
2B	Mobile Home	0-1499	Room AC	0	0.054072	0.085064	0.361291	0	0.499573	0	0.221109	5553.6	0.000394702
2B	Mobile Home	1500-2499	Central AC	0	0	0	0.000386452	0.00371358	0.9959	0	0.0968281	2761.8	0.000150772
2B	Mobile Home	1500-2499	Heat Pump	0	0	0	0	0	1	0	0.196681	5646.23	0.000122989
2B	Mobile Home	1500-2499	None	0	0	0	0	0	0	1	0.00741603	195.498	9.4861e-07
2B	Mobile Home	1500-2499	Room AC	0	0.180882	0.137972	0.579968	0	0.101178	0	0.0167596	394.472	0.000125891
2B	Mobile Home	2500-3999	Central AC	0	0	0	0.000894279	0.00641107	0.992695	0	0.0292872	811.666	8.6425e-06
2B	Mobile Home	2500-3999	Heat Pump	0	0	0	0	0	1	0	0.03804	1069.25	6.98325e-06
2B	Mobile Home	2500-3999	None	0	0	0	0	0	0	1	0.000957413	25.8373	1.95741e-07
2B	Mobile Home	2500-3999	Room AC	0	0.230094	0.139466	0.356561	0	0.27388	0	0.00252009	57.7053	4.97678e-06
2B	Mobile Home	4000+	Central AC	0	0	0	0.00101745	0.00809197	0.990891	0	0.0039536	108.055	2.74473e-06
2B	Mobile Home	4000+	Heat Pump	0	0	0	0	0	1	0	0.00506128	121.66	1.51103e-06
2B	Mobile Home	4000+	None	0	0	0	0	0	0	1	9.15665e-05	2.15333	0
2B	Mobile Home	4000+	Room AC	0	0.440674	0.116195	0.443131	0	0	0	0.000109351	2.45769	1.14776e-06
2B	Multi-Family with 2 - 4 Units	0-1499	Central AC	0	0	0	0.00027327	0.000916177	0.998811	0	1.97613	22468.6	0.000558714
2B	Multi-Family with 2 - 4 Units	0-1499	Heat Pump	0	0	0	0	0	1	0	0.285521	3413.11	0.000272565
2B	Multi-Family with 2 - 4 Units	0-1499	None	0	0	0	0	0	0	1	1.16548	13180.3	2.42479e-05
2B	Multi-Family with 2 - 4 Units	0-1499	Room AC	0	0.0436562	0.173538	0.23976	0	0.543046	0	2.56227	25739.9	4.1196e-05
2B	Multi-Family with 2 - 4 Units	1500-2499	Central AC	0	0	0	0.000875442	0.00190235	0.997222	0	1.07125	11698.2	5.01794e-05
2B	Multi-Family with 2 - 4 Units	1500-2499	Heat Pump	0	0	0	0	0	1	0	0.25513	2833.92	3.04116e-05
2B	Multi-Family with 2 - 4 Units	1500-2499	None	0	0	0	0	0	0	1	0.149256	1529.64	2.3137e-06
2B	Multi-Family with 2 - 4 Units	1500-2499	Room AC	0	0.15833	0.305163	0.417269	0	0.119238	0	0.194214	1828.3	4.18514e-06
2B	Multi-Family with 2 - 4 Units	2500-3999	Central AC	0	0	0	0.00202721	0.00328642	0.994686	0	0.324016	3437.97	3.82163e-06
2B	Multi-Family with 2 - 4 Units	2500-3999	Heat Pump	0	0	0	0	0	1	0	0.0493446	536.67	2.49142e-06
2B	Multi-Family with 2 - 4 Units	2500-3999	None	0	0	0	0	0	0	1	0.0192691	202.16	1.59116e-07
2B	Multi-Family with 2 - 4 Units	2500-3999	Room AC	0	0.184916	0.283211	0.235531	0	0.296342	0	0.0292034	267.453	3.99061e-07
2B	Multi-Family with 2 - 4 Units	4000+	Central AC	0	0	0	0.00230796	0.00415084	0.993541	0	0.0437402	457.688	1.04046e-06
2B	Multi-Family with 2 - 4 Units	4000+	Heat Pump	0	0	0	0	0	1	0	0.00656538	61.0627	4.36806e-07
2B	Multi-Family with 2 - 4 Units	4000+	None	0	0	0	0	0	0	1	0.00184288	16.8483	1.76238e-08
2B	Multi-Family with 2 - 4 Units	4000+	Room AC	0	0.401156	0.267275	0.331569	0	0	0	0.00126718	11.3909	3.13721e-08
2B	Multi-Family with 5+ Units	0-1499	Central AC	0	0	0	0.00027327	0.000916177	0.998811	0	1.97613	22468.6	0.00189653
2B	Multi-Family with 5+ Units	0-1499	Heat Pump	0	0	0	0	0	1	0	0.285521	3413.11	0.00120462
2B	Multi-Family with 5+ Units	0-1499	None	0	0	0	0	0	0	1	1.16548	13180.3	6.5504e-05
2B	Multi-Family with 5+ Units	0-1499	Room AC	0	0.0436562	0.173538	0.23976	0	0.543046	0	2.56227	25739.9	0.000129429
2B	Multi-Family with 5+ Units	1500-2499	Central AC	0	0	0	0.000875442	0.00190235	0.997222	0	1.07125	11698.2	6.17837e-05
2B	Multi-Family with 5+ Units	1500-2499	Heat Pump	0	0	0	0	0	1	0	0.25513	2833.92	4.17265e-05
2B	Multi-Family with 5+ Units	1500-2499	None	0	0	0	0	0	0	1	0.149256	1529.64	9.19324e-07
2B	Multi-Family with 5+ Units	1500-2499	Room AC	0	0.15833	0.305163	0.417269	0	0.119238	0	0.194214	1828.3	2.51934e-06
2B	Multi-Family with 5+ Units	2500-3999	Central AC	0	0	0	0.00202721	0.00328642	0.994686	0	0.324016	3437.97	8.37915e-06
2B	Multi-Family with 5+ Units	2500-3999	Heat Pump	0	0	0	0	0	1	0	0.0493446	536.67	6.10272e-06
2B	Multi-Family with 5+ Units	2500-3999	None	0	0	0	0	0	0	1	0.0192691	202.16	1.61409e-07
2B	Multi-Family with 5+ Units	2500-3999	Room AC	0	0.184916	0.283211	0.235531	0	0.296342	0	0.0292034	267.453	3.63097e-07
2B	Multi-Family with 5+ Units	4000+	Central AC	0	0	0	0.00230796	0.00415084	0.993541	0	0.0437402	457.688	8.41016e-07
2B	Multi-Family with 5+ Units	4000+	Heat Pump	0	0	0	0	0	1	0	0.00656538	61.0627	3.42849e-07
2B	Multi-Family with 5+ Units	4000+	None	0	0	0	0	0	0	1	0.00184288	16.8483	1.15378e-08
2B	Multi-Family with 5+ Units	4000+	Room AC	0	0.401156	0.267275	0.331569	0	0	0	0.00126718	11.3909	1.32607e-08
2B	Single-Family Attached	0-1499	Central AC	0	0	0	0.00312513	0.00545878	0.991416	0	34.3889	356820	0.0003434
2B	Single-Family Attached	0-1499	Heat Pump	0	0	0	0	0	1	0	11.3304	120562	0.000172094
2B	Single-Family Attached	0-1499	None	0	0	0	0	0	0	1	4.47658	45106.8	6.41018e-05
2B	Single-Family Attached	0-1499	Room AC	0	0.125104	0.208326	0.335111	0	0.331458	0	6.52098	60965.7	4.72072e-05
2B	Single-Family Attached	1500-2499	Central AC	0	0	0	0.00990086	0.0112092	0.97889	0	18.6419	185777	0.000162015
2B	Single-Family Attached	1500-2499	Heat Pump	0	0	0	0	0	1	0	10.1244	100103	8.24143e-05
2B	Single-Family Attached	1500-2499	None	0	0	0	0	0	0	1	0.573291	5234.85	2.20126e-05
2B	Single-Family Attached	1500-2499	Room AC	0	0.307388	0.248188	0.395118	0	0.0493067	0	0.494275	4330.4	1.46753e-05
2B	Single-Family Attached	2500-3999	Central AC	0	0	0	0.0225062	0.0190093	0.958485	0	5.63855	54597.8	4.17004e-05
2B	Single-Family Attached	2500-3999	Heat Pump	0	0	0	0	0	1	0	1.95815	18957	1.95405e-05
2B	Single-Family Attached	2500-3999	None	0	0	0	0	0	0	1	0.0740121	691.847	7.36633e-06
2B	Single-Family Attached	2500-3999	Room AC	0	0.383999	0.246372	0.238556	0	0.131073	0	0.0743227	633.472	5.62948e-06
2B	Single-Family Attached	4000+	Central AC	0	0	0	0.0254447	0.023842	0.950713	0	0.761172	7268.48	1.29175e-05
