ParameterName=Heating Equipment																																							
Dependency=Location	Dependency=Vintage	Dependency=Heating Fuel	"Gas Boiler, 80% AFUE"	"Gas Boiler, 76% AFUE"	"Gas Boiler, 72% AFUE"	"Propane Boiler, 80% AFUE"	"Propane Boiler, 76% AFUE"	"Propane Boiler, 72% AFUE"	"Oil Boiler, 90% AFUE"	"Oil Boiler, 80% AFUE"	"Oil Boiler, 76% AFUE"	"Electric Boiler, 100% AFUE"	"Gas Furnace, 96% AFUE"	"Gas Furnace, 92.5% AFUE"	"Gas Furnace, 80% AFUE"	"Gas Furnace, 76% AFUE"	"Gas Furnace, 60% AFUE"	"Propane Furnace, 96% AFUE"	"Propane Furnace, 92% AFUE"	"Propane Furnace, 80% AFUE"	"Propane Furnace, 76% AFUE"	"Propane Furnace, 60% AFUE"	"Oil Furnace, 95% AFUE"	"Oil Furnace, 90% AFUE"	"Oil Furnace, 80% AFUE"	"Oil Furnace, 76% AFUE"	"Gas Wall/Floor Furnace, 68% AFUE"	"Gas Wall/Floor Furnace, 60% AFUE"	"Propane Wall/Floor Furnace, 68% AFUE"	"Propane Wall/Floor Furnace, 60% AFUE"	"Oil Wall/Floor Furnace, 68% AFUE"	"Oil Wall/Floor Furnace, 60% AFUE"	"Electric Furnace, 100% AFUE"	"Electric Baseboard, 100% Efficiency"	"ASHP, SEER 15, 8.5 HSPF"	"ASHP, SEER 13, 7.7 HSPF"	"ASHP, SEER 10, 6.2 HSPF"	"ASHP, SEER 8, 6.0 HSPF"	No Heating
CR10	1960s	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CR11	1960s	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CR12	1960s	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CR01	1960s	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CR02	1960s	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CR03	1960s	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CR04	1960s	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CR05	1960s	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CR06	1960s	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CR07	1960s	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CR08	1960s	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CR09	1960s	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CR10	1960s	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CR11	1960s	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CR12	1960s	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CR01	1970s	Natural Gas	0.1	0.02	0.02	0	0	0	0	0	0	0	0	0.08	0.15	0.09	0.02	0	0	0	0	0	0	0	0	0	0.32	0.19	0	0	0	0	0	0	0	0	0	0	0.01
CR02	1970s	Natural Gas	0.03	0.01	0.01	0	0	0	0	0	0	0	0	0.22	0.42	0.25	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CR03	1970s	Natural Gas	0.05	0.01	0.01	0	0	0	0	0	0	0	0	0.2	0.38	0.23	0.06	0	0	0	0	0	0	0	0	0	0.04	0.03	0	0	0	0	0	0	0	0	0	0	0
CR04	1970s	Natural Gas	0.44	0.07	0.09	0	0	0	0	0	0	0	0	0.09	0.18	0.11	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CR05	1970s	Natural Gas	0.01	0	0	0	0	0	0	0	0	0	0	0.22	0.42	0.25	0.07	0	0	0	0	0	0	0	0	0	0.02	0.01	0	0	0	0	0	0	0	0	0	0	0
CR06	1970s	Natural Gas	0	0	0	0	0	0	0	0	0	0	0	0.23	0.44	0.26	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CR07	1970s	Natural Gas	0.08	0.01	0.01	0	0	0	0	0	0	0	0	0.2	0.39	0.23	0.06	0	0	0	0	0	0	0	0	0	0.01	0.01	0	0	0	0	0	0	0	0	0	0	0
CR08	1970s	Natural Gas	0.02	0	0	0	0	0	0	0	0	0	0	0.21	0.41	0.24	0.06	0	0	0	0	0	0	0	0	0	0.03	0.02	0	0	0	0	0	0	0	0	0	0	0.01
CR09	1970s	Natural Gas	0	0	0	0	0	0	0	0	0	0	0	0.2	0.39	0.24	0.06	0	0	0	0	0	0	0	0	0	0.06	0.04	0	0	0	0	0	0	0	0	0	0	0.01
CR10	1970s	Natural Gas	0	0	0	0	0	0	0	0	0	0	0	0.21	0.4	0.24	0.06	0	0	0	0	0	0	0	0	0	0.05	0.03	0	0	0	0	0	0	0	0	0	0	0.01
CR11	1970s	Natural Gas	0	0	0	0	0	0	0	0	0	0	0	0.21	0.41	0.25	0.07	0	0	0	0	0	0	0	0	0	0.04	0.02	0	0	0	0	0	0	0	0	0	0	0
CR12	1970s	Natural Gas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CR01	1970s	Propane/LPG	0	0	0	0.1	0.02	0.02	0	0	0	0	0	0	0	0	0	0	0.08	0.15	0.09	0.02	0	0	0	0	0	0	0.32	0.19	0	0	0	0	0	0	0	0	0.01
CR02	1970s	Propane/LPG	0	0	0	0.03	0.01	0.01	0	0	0	0	0	0	0	0	0	0	0.22	0.42	0.25	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CR03	1970s	Propane/LPG	0	0	0	0.05	0.01	0.01	0	0	0	0	0	0	0	0	0	0	0.2	0.38	0.23	0.06	0	0	0	0	0	0	0.04	0.03	0	0	0	0	0	0	0	0	0
CR04	1970s	Propane/LPG	0	0	0	0.44	0.07	0.09	0	0	0	0	0	0	0	0	0	0	0.09	0.18	0.11	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CR05	1970s	Propane/LPG	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0.22	0.42	0.25	0.07	0	0	0	0	0	0	0.02	0.01	0	0	0	0	0	0	0	0	0
CR06	1970s	Propane/LPG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23	0.44	0.26	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CR07	1970s	Propane/LPG	0	0	0	0.08	0.01	0.01	0	0	0	0	0	0	0	0	0	0	0.2	0.39	0.23	0.06	0	0	0	0	0	0	0.01	0.01	0	0	0	0	0	0	0	0	0
CR08	1970s	Propane/LPG	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0.21	0.41	0.24	0.06	0	0	0	0	0	0	0.03	0.02	0	0	0	0	0	0	0	0	0.01
CR09	1970s	Propane/LPG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0.39	0.24	0.06	0	0	0	0	0	0	0.06	0.04	0	0	0	0	0	0	0	0	0.01
CR10	1970s	Propane/LPG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21	0.4	0.24	0.06	0	0	0	0	0	0	0.05	0.03	0	0	0	0	0	0	0	0	0.01
CR11	1970s	Propane/LPG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21	0.41	0.25	0.07	0	0	0	0	0	0	0.04	0.02	0	0	0	0	0	0	0	0	0
CR12	1970s	Propane/LPG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CR01	1970s	Fuel Oil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CR02	1970s	Fuel Oil	0	0	0	0	0	0	0.06	0.13	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0.58	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0
CR03	1970s	Fuel Oil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CR04	1970s	Fuel Oil	0	0	0	0	0	0	0.17	0.39	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.26	0.08	0	0	0	0	0.03	0.03	0	0	0	0	0	0	0
CR05	1970s	Fuel Oil	0	0	0	0	0	0	0.11	0.25	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.23	0.07	0	0	0	0	0.17	0.13	0	0	0	0	0	0	0.01
CR06	1970s	Fuel Oil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0.72	0.22	0	0	0	0	0	0	0	0	0	0	0	0	0
CR07	1970s	Fuel Oil	0	0	0	0	0	0	0.17	0.37	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.2	0.06	0	0	0	0	0.1	0.07	0	0	0	0	0	0	0
CR08	1970s	Fuel Oil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0.72	0.22	0	0	0	0	0	0	0	0	0	0	0	0	0
CR09	1970s	Fuel Oil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0.72	0.22	0	0	0	0	0	0	0	0	0	0	0	0	0
CR10	1970s	Fuel Oil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0.72	0.22	0	0	0	0	0	0	0	0	0	0	0	0	0
CR11	1970s	Fuel Oil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CR12	1970s	Fuel Oil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CR01	1970s	Electricity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CR02	1970s	Electricity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0.4	0.02	0.23	0.1	0	0
CR03	1970s	Electricity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.78	0.22	0	0	0	0	0
CR04	1970s	Electricity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CR05	1970s	Electricity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31	0.51	0.01	0.12	0.05	0	0
CR06	1970s	Electricity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45	0.1	0.03	0.29	0.13	0	0
CR07	1970s	Electricity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.71	0.02	0.19	0.08	0	1.11022E-16
CR08	1970s	Electricity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37	0.16	0.03	0.31	0.13	0	0
CR09	1970s	Electricity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.54	0.06	0.02	0.26	0.11	0	0.01
CR10	1970s	Electricity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.39	0	0.04	0.4	0.17	0	0
CR11	1970s	Electricity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.62	0.31	0	0.05	0.02	0	0
CR12	1970s	Electricity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CR01	1970s	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CR02	1970s	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CR03	1970s	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CR04	1970s	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CR05	1970s	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CR06	1970s	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CR07	1970s	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CR08	1970s	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CR09	1970s	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CR10	1970s	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CR11	1970s	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CR12	1970s	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CR01	1970s	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CR02	1970s	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CR03	1970s	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CR04	1970s	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CR05	1970s	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CR06	1970s	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CR07	1970s	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CR08	1970s	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CR09	1970s	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CR10	1970s	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CR11	1970s	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CR12	1970s	None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CR01	1980s	Natural Gas	0.33	0.12	0.22	0	0	0	0	0	0	0	0	0.07	0.12	0.11	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CR02	1980s	Natural Gas	0.01	0	0	0	0	0	0	0	0	0	0	0.2	0.36	0.33	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CR03	1980s	Natural Gas	0.02	0.01	0.01	0	0	0	0	0	0	0	0	0.19	0.34	0.32	0.1	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0
CR04	1980s	Natural Gas	0.17	0.06	0.11	0	0	0	0	0	0	0	0	0.12	0.21	0.2	0.06	0	0	0	0	0	0	0	0	0	0.05	0.03	0	0	0	0	0	0	0	0	0	0	0
CR05	1980s	Natural Gas	0	0	0	0	0	0	0	0	0	0	0	0.2	0.35	0.33	0.1	0	0	0	0	0	0	0	0	0	0.01	0.01	0	0	0	0	0	0	0	0	0	0	0
CR06	1980s	Natural Gas	0.04	0.01	0.02	0	0	0	0	0	0	0	0	0.17	0.31	0.29	0.09	0	0	0	0	0	0	0	0	0	0.04	0.02	0	0	0	0	0	0	0	0	0	0	0.01
CR07	1980s	Natural Gas	0.11	0.04	0.07	0	0	0	0	0	0	0	0	0.15	0.27	0.25	0.08	0	0	0	0	0	0	0	0	0	0.02	0.01	0	0	0	0	0	0	0	0	0	0	0
CR08	1980s	Natural Gas	0	0	0	0	0	0	0	0	0	0	0	0.19	0.35	0.32	0.1	0	0	0	0	0	0	0	0	0	0.02	0.01	0	0	0	0	0	0	0	0	0	0	0.01
CR09	1980s	Natural Gas	0	0	0	0	0	0	0	0	0	0	0	0.18	0.33	0.31	0.1	0	0	0	0	0	0	0	0	0	0.05	0.03	0	0	0	0	0	0	0	0	0	0	0
CR10	1980s	Natural Gas	0.02	0.01	0.02	0	0	0	0	0	0	0	0	0.18	0.31	0.29	0.09	0	0	0	0	0	0	0	0	0	0.05	0.03	0	0	0	0	0	0	0	0	0	0	0
CR11	1980s	Natural Gas	0	0	0	0	0	0	0	0	0	0	0	0.19	0.35	0.32	0.1	0	0	0	0	0	0	0	0	0	0.02	0.01	0	0	0	0	0	0	0	0	0	0	0.01
CR12	1980s	Natural Gas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CR01	1980s	Propane/LPG	0	0	0	0.33	0.12	0.22	0	0	0	0	0	0	0	0	0	0	0.07	0.12	0.11	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CR02	1980s	Propane/LPG	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0.36	0.33	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CR03	1980s	Propane/LPG	0	0	0	0.02	0.01	0.01	0	0	0	0	0	0	0	0	0	0	0.19	0.34	0.32	0.1	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0
CR04	1980s	Propane/LPG	0	0	0	0.17	0.06	0.11	0	0	0	0	0	0	0	0	0	0	0.12	0.21	0.2	0.06	0	0	0	0	0	0	0.05	0.03	0	0	0	0	0	0	0	0	0
CR05	1980s	Propane/LPG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0.35	0.33	0.1	0	0	0	0	0	0	0.01	0.01	0	0	0	0	0	0	0	0	0
CR06	1980s	Propane/LPG	0	0	0	0.04	0.01	0.02	0	0	0	0	0	0	0	0	0	0	0.17	0.31	0.29	0.09	0	0	0	0	0	0	0.04	0.02	0	0	0	0	0	0	0	0	0.01
CR07	1980s	Propane/LPG	0	0	0	0.11	0.04	0.07	0	0	0	0	0	0	0	0	0	0	0.15	0.27	0.25	0.08	0	0	0	0	0	0	0.02	0.01	0	0	0	0	0	0	0	0	0
CR08	1980s	Propane/LPG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19	0.35	0.32	0.1	0	0	0	0	0	0	0.02	0.01	0	0	0	0	0	0	0	0	0.01
CR09	1980s	Propane/LPG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0.33	0.31	0.1	0	0	0	0	0	0	0.05	0.03	0	0	0	0	0	0	0	0	0
CR10	1980s	Propane/LPG	0	0	0	0.02	0.01	0.02	0	0	0	0	0	0	0	0	0	0	0.18	0.31	0.29	0.09	0	0	0	0	0	0	0.05	0.03	0	0	0	0	0	0	0	0	0
CR11	1980s	Propane/LPG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19	0.35	0.32	0.1	0	0	0	0	0	0	0.02	0.01	0	0	0	0	0	0	0	0	0.01
CR12	1980s	Propane/LPG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CR01	1980s	Fuel Oil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CR02	1980s	Fuel Oil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0.72	0.22	0	0	0	0	0	0	0	0	0	0	0	0	0
CR03	1980s	Fuel Oil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CR04	1980s	Fuel Oil	0	0	0	0	0	0	0.18	0.4	0.14	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.21	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0
CR05	1980s	Fuel Oil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CR06	1980s	Fuel Oil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CR07	1980s	Fuel Oil	0	0	0	0	0	0	0.1	0.21	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0.04	0.45	0.14	0	0	0	0	0	0	0	0	0	0	0	0	0
CR08	1980s	Fuel Oil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0.72	0.22	0	0	0	0	0	0	0	0	0	0	0	0	0
CR09	1980s	Fuel Oil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	0.72	0.22	0	0	0	0	0	0	0	0	0	0	0	0	0
CR10	1980s	Fuel Oil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CR11	1980s	Fuel Oil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CR12	1980s	Fuel Oil	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CR01	1980s	Electricity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CR02	1980s	Electricity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.64	0.36	0	0	0	0	0
CR03	1980s	Electricity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35	0.65	0	0	0	0	0
CR04	1980s	Electricity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CR05	1980s	Electricity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.65	0.05	0.02	0.18	0.1	0	0
CR06	1980s	Electricity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.36	0.38	0.02	0.16	0.08	0	0
CR07	1980s	Electricity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.58	0.03	0.26	0.14	0	0
CR08	1980s	Electricity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19	0.08	0.05	0.44	0.24	0	0
CR09	1980s	Electricity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.65	0.04	0.02	0.19	0.1	0	0
CR10	1980s	Electricity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34	0.2	0.03	0.28	0.15	0	0
CR11	1980s	Electricity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.79	0.11	0.01	0.07	0.04	0	0
CR12	1980s	Electricity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CR01	1980s	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CR02	1980s	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CR03	1980s	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CR04	1980s	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
