Dependency=Geometry Building Type RECS	Dependency=Location Region	Dependency=Vintage ACS	Option=No	Option=Yes
Multi-Family with 2 - 4 Units	CR09	1980-99	0.136805	0.863195
Multi-Family with 2 - 4 Units	CR09	2000-09	0.044127	0.955873
Multi-Family with 2 - 4 Units	CR09	2010s	0.044127	0.955873
Multi-Family with 2 - 4 Units	CR09	<1940	0.474963	0.525037
Multi-Family with 5+ Units	CR09	1940-59	0.170077	0.829923
Multi-Family with 5+ Units	CR09	1960-79	0.349893	0.650107
Multi-Family with 5+ Units	CR09	1980-99	0.103640	0.896360
Multi-Family with 5+ Units	CR09	2000-09	0.070674	0.929326
Multi-Family with 5+ Units	CR09	2010s	0.070674	0.929326
Multi-Family with 5+ Units	CR09	<1940	0.803274	0.196726
Single-Family Attached	CR09	1940-59	0.064469	0.935531
Single-Family Attached	CR09	1960-79	0.015715	0.984285
Single-Family Attached	CR09	1980-99	0.027370	0.972630
Single-Family Attached	CR09	2000-09	0.040256	0.959744
Single-Family Attached	CR09	2010s	0.040256	0.959744
Single-Family Attached	CR09	<1940	0.102232	0.897768
Single-Family Detached	CR09	1940-59	0.000000	1.000000
Single-Family Detached	CR09	1960-79	0.000000	1.000000
Single-Family Detached	CR09	1980-99	0.000000	1.000000
Single-Family Detached	CR09	2000-09	0.000000	1.000000
Single-Family Detached	CR09	2010s	0.000000	1.000000
Single-Family Detached	CR09	<1940	0.000000	1.000000
Mobile Home	CR10	1940-59	0.000000	1.000000
Mobile Home	CR10	1960-79	0.000000	1.000000
Mobile Home	CR10	1980-99	0.000000	1.000000
Mobile Home	CR10	2000-09	0.000000	1.000000
Mobile Home	CR10	2010s	0.000000	1.000000
Mobile Home	CR10	<1940	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR10	1940-59	0.328567	0.671433
Multi-Family with 2 - 4 Units	CR10	1960-79	0.306414	0.693586
Multi-Family with 2 - 4 Units	CR10	1980-99	0.185289	0.814711
Multi-Family with 2 - 4 Units	CR10	2000-09	0.051610	0.948390
Multi-Family with 2 - 4 Units	CR10	2010s	0.051610	0.948390
Multi-Family with 2 - 4 Units	CR10	<1940	0.474963	0.525037
Multi-Family with 5+ Units	CR10	1940-59	0.731696	0.268304
Multi-Family with 5+ Units	CR10	1960-79	0.458625	0.541375
Multi-Family with 5+ Units	CR10	1980-99	0.058424	0.941576
Multi-Family with 5+ Units	CR10	2000-09	0.048698	0.951302
Multi-Family with 5+ Units	CR10	2010s	0.048698	0.951302
Multi-Family with 5+ Units	CR10	<1940	0.803274	0.196726
Single-Family Attached	CR10	1940-59	0.093820	0.906180
Single-Family Attached	CR10	1960-79	0.069635	0.930365
Single-Family Attached	CR10	1980-99	0.023374	0.976626
Single-Family Attached	CR10	2000-09	0.034943	0.965057
Single-Family Attached	CR10	2010s	0.034943	0.965057
Single-Family Attached	CR10	<1940	0.102232	0.897768
Single-Family Detached	CR10	1940-59	0.000000	1.000000
Single-Family Detached	CR10	1960-79	0.000000	1.000000
Single-Family Detached	CR10	1980-99	0.000000	1.000000
Single-Family Detached	CR10	2000-09	0.000000	1.000000
Single-Family Detached	CR10	2010s	0.000000	1.000000
Single-Family Detached	CR10	<1940	0.000000	1.000000
Mobile Home	CR11	1940-59	0.000000	1.000000
Mobile Home	CR11	1960-79	0.000000	1.000000
Mobile Home	CR11	1980-99	0.000000	1.000000
Mobile Home	CR11	2000-09	0.000000	1.000000
Mobile Home	CR11	2010s	0.000000	1.000000
Mobile Home	CR11	<1940	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR11	1940-59	0.135071	0.864929
Multi-Family with 2 - 4 Units	CR11	1960-79	0.375344	0.624656
Multi-Family with 2 - 4 Units	CR11	1980-99	0.293791	0.706209
Multi-Family with 2 - 4 Units	CR11	2000-09	0.051610	0.948390
Multi-Family with 2 - 4 Units	CR11	2010s	0.051610	0.948390
Multi-Family with 2 - 4 Units	CR11	<1940	0.258730	0.741270
Multi-Family with 5+ Units	CR11	1940-59	0.672821	0.327179
Multi-Family with 5+ Units	CR11	1960-79	0.676946	0.323054
Multi-Family with 5+ Units	CR11	1980-99	0.491432	0.508568
Multi-Family with 5+ Units	CR11	2000-09	0.199238	0.800762
Multi-Family with 5+ Units	CR11	2010s	0.199238	0.800762
Multi-Family with 5+ Units	CR11	<1940	0.679672	0.320328
Single-Family Attached	CR11	1940-59	0.000000	1.000000
Single-Family Attached	CR11	1960-79	0.097401	0.902599
Single-Family Attached	CR11	1980-99	0.023663	0.976337
Single-Family Attached	CR11	2000-09	0.000000	1.000000
Single-Family Attached	CR11	2010s	0.000000	1.000000
Single-Family Attached	CR11	<1940	0.000000	1.000000
Single-Family Detached	CR11	1940-59	0.000000	1.000000
Single-Family Detached	CR11	1960-79	0.000000	1.000000
Single-Family Detached	CR11	1980-99	0.000000	1.000000
Single-Family Detached	CR11	2000-09	0.000000	1.000000
Single-Family Detached	CR11	2010s	0.000000	1.000000
Single-Family Detached	CR11	<1940	0.000000	1.000000
Mobile Home	CR02	2020s	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR02	2020s	0.051610	0.948390
Multi-Family with 5+ Units	CR02	2020s	0.627607	0.372393
Single-Family Attached	CR02	2020s	0.000000	1.000000
Single-Family Detached	CR02	2020s	0.000000	1.000000
Mobile Home	CR03	2020s	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR03	2020s	0.051610	0.948390
Multi-Family with 5+ Units	CR03	2020s	0.184708	0.815292
Single-Family Attached	CR03	2020s	0.034943	0.965057
Single-Family Detached	CR03	2020s	0.000000	1.000000
Mobile Home	CR04	2020s	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR04	2020s	0.051610	0.948390
Multi-Family with 5+ Units	CR04	2020s	0.334161	0.665839
Single-Family Attached	CR04	2020s	0.034943	0.965057
Single-Family Detached	CR04	2020s	0.000000	1.000000
Mobile Home	CR05	2020s	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR05	2020s	0.051610	0.948390
Multi-Family with 5+ Units	CR05	2020s	0.184708	0.815292
Single-Family Attached	CR05	2020s	0.000000	1.000000
Single-Family Detached	CR05	2020s	0.000000	1.000000
Mobile Home	CR06	2020s	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR06	2020s	0.000000	1.000000
Multi-Family with 5+ Units	CR06	2020s	0.485917	0.514083
Single-Family Attached	CR06	2020s	0.000000	1.000000
Single-Family Detached	CR06	2020s	0.000000	1.000000
Mobile Home	CR07	2020s	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR07	2020s	0.051610	0.948390
Multi-Family with 5+ Units	CR07	2020s	0.442938	0.557062
Single-Family Attached	CR07	2020s	0.161355	0.838645
Single-Family Detached	CR07	2020s	0.000000	1.000000
Mobile Home	CR08	2020s	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR08	2020s	0.051610	0.948390
Multi-Family with 5+ Units	CR08	2020s	0.131467	0.868533
Single-Family Attached	CR08	2020s	0.000000	1.000000
Single-Family Detached	CR08	2020s	0.000000	1.000000
Mobile Home	CR09	2020s	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR09	2020s	0.044127	0.955873
Multi-Family with 5+ Units	CR09	2020s	0.070674	0.929326
Single-Family Attached	CR09	2020s	0.040256	0.959744
Single-Family Detached	CR09	2020s	0.000000	1.000000
Mobile Home	CR10	2020s	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR10	2020s	0.051610	0.948390
Multi-Family with 5+ Units	CR10	2020s	0.048698	0.951302
Single-Family Attached	CR10	2020s	0.034943	0.965057
Single-Family Detached	CR10	2020s	0.000000	1.000000
Mobile Home	CR11	2020s	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR11	2020s	0.051610	0.948390
Multi-Family with 5+ Units	CR11	2020s	0.199238	0.800762
Single-Family Attached	CR11	2020s	0.000000	1.000000
Single-Family Detached	CR11	2020s	0.000000	1.000000
Mobile Home	CR02	2030s	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR02	2030s	0.051610	0.948390
Multi-Family with 5+ Units	CR02	2030s	0.627607	0.372393
Single-Family Attached	CR02	2030s	0.000000	1.000000
Single-Family Detached	CR02	2030s	0.000000	1.000000
Mobile Home	CR03	2030s	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR03	2030s	0.051610	0.948390
Multi-Family with 5+ Units	CR03	2030s	0.184708	0.815292
Single-Family Attached	CR03	2030s	0.034943	0.965057
Single-Family Detached	CR03	2030s	0.000000	1.000000
Mobile Home	CR04	2030s	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR04	2030s	0.051610	0.948390
Multi-Family with 5+ Units	CR04	2030s	0.334161	0.665839
Single-Family Attached	CR04	2030s	0.034943	0.965057
Single-Family Detached	CR04	2030s	0.000000	1.000000
Mobile Home	CR05	2030s	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR05	2030s	0.051610	0.948390
Multi-Family with 5+ Units	CR05	2030s	0.184708	0.815292
Single-Family Attached	CR05	2030s	0.000000	1.000000
Single-Family Detached	CR05	2030s	0.000000	1.000000
Mobile Home	CR06	2030s	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR06	2030s	0.000000	1.000000
Multi-Family with 5+ Units	CR06	2030s	0.485917	0.514083
Single-Family Attached	CR06	2030s	0.000000	1.000000
Single-Family Detached	CR06	2030s	0.000000	1.000000
Mobile Home	CR07	2030s	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR07	2030s	0.051610	0.948390
Multi-Family with 5+ Units	CR07	2030s	0.442938	0.557062
Single-Family Attached	CR07	2030s	0.161355	0.838645
Single-Family Detached	CR07	2030s	0.000000	1.000000
Mobile Home	CR08	2030s	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR08	2030s	0.051610	0.948390
Multi-Family with 5+ Units	CR08	2030s	0.131467	0.868533
Single-Family Attached	CR08	2030s	0.000000	1.000000
Single-Family Detached	CR08	2030s	0.000000	1.000000
Mobile Home	CR09	2030s	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR09	2030s	0.044127	0.955873
Multi-Family with 5+ Units	CR09	2030s	0.070674	0.929326
Single-Family Attached	CR09	2030s	0.040256	0.959744
Single-Family Detached	CR09	2030s	0.000000	1.000000
Mobile Home	CR10	2030s	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR10	2030s	0.051610	0.948390
Multi-Family with 5+ Units	CR10	2030s	0.048698	0.951302
Single-Family Attached	CR10	2030s	0.034943	0.965057
Single-Family Detached	CR10	2030s	0.000000	1.000000
Mobile Home	CR11	2030s	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR11	2030s	0.051610	0.948390
Multi-Family with 5+ Units	CR11	2030s	0.199238	0.800762
Single-Family Attached	CR11	2030s	0.000000	1.000000
Single-Family Detached	CR11	2030s	0.000000	1.000000
Mobile Home	CR02	2040s	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR02	2040s	0.051610	0.948390
Multi-Family with 5+ Units	CR02	2040s	0.627607	0.372393
Single-Family Attached	CR02	2040s	0.000000	1.000000
Single-Family Detached	CR02	2040s	0.000000	1.000000
Mobile Home	CR03	2040s	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR03	2040s	0.051610	0.948390
Multi-Family with 5+ Units	CR03	2040s	0.184708	0.815292
Single-Family Attached	CR03	2040s	0.034943	0.965057
Single-Family Detached	CR03	2040s	0.000000	1.000000
Mobile Home	CR04	2040s	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR04	2040s	0.051610	0.948390
Multi-Family with 5+ Units	CR04	2040s	0.334161	0.665839
Single-Family Attached	CR04	2040s	0.034943	0.965057
Single-Family Detached	CR04	2040s	0.000000	1.000000
Mobile Home	CR05	2040s	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR05	2040s	0.051610	0.948390
Multi-Family with 5+ Units	CR05	2040s	0.184708	0.815292
Single-Family Attached	CR05	2040s	0.000000	1.000000
Single-Family Detached	CR05	2040s	0.000000	1.000000
Mobile Home	CR06	2040s	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR06	2040s	0.000000	1.000000
Multi-Family with 5+ Units	CR06	2040s	0.485917	0.514083
Single-Family Attached	CR06	2040s	0.000000	1.000000
Single-Family Detached	CR06	2040s	0.000000	1.000000
Mobile Home	CR07	2040s	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR07	2040s	0.051610	0.948390
Multi-Family with 5+ Units	CR07	2040s	0.442938	0.557062
Single-Family Attached	CR07	2040s	0.161355	0.838645
Single-Family Detached	CR07	2040s	0.000000	1.000000
Mobile Home	CR08	2040s	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR08	2040s	0.051610	0.948390
Multi-Family with 5+ Units	CR08	2040s	0.131467	0.868533
Single-Family Attached	CR08	2040s	0.000000	1.000000
Single-Family Detached	CR08	2040s	0.000000	1.000000
Mobile Home	CR09	2040s	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR09	2040s	0.044127	0.955873
Multi-Family with 5+ Units	CR09	2040s	0.070674	0.929326
Single-Family Attached	CR09	2040s	0.040256	0.959744
Single-Family Detached	CR09	2040s	0.000000	1.000000
Mobile Home	CR10	2040s	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR10	2040s	0.051610	0.948390
Multi-Family with 5+ Units	CR10	2040s	0.048698	0.951302
Single-Family Attached	CR10	2040s	0.034943	0.965057
Single-Family Detached	CR10	2040s	0.000000	1.000000
Mobile Home	CR11	2040s	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR11	2040s	0.051610	0.948390
Multi-Family with 5+ Units	CR11	2040s	0.199238	0.800762
Single-Family Attached	CR11	2040s	0.000000	1.000000
Single-Family Detached	CR11	2040s	0.000000	1.000000
Mobile Home	CR02	2050s	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR02	2050s	0.051610	0.948390
Multi-Family with 5+ Units	CR02	2050s	0.627607	0.372393
Single-Family Attached	CR02	2050s	0.000000	1.000000
Single-Family Detached	CR02	2050s	0.000000	1.000000
Mobile Home	CR03	2050s	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR03	2050s	0.051610	0.948390
Multi-Family with 5+ Units	CR03	2050s	0.184708	0.815292
Single-Family Attached	CR03	2050s	0.034943	0.965057
Single-Family Detached	CR03	2050s	0.000000	1.000000
Mobile Home	CR04	2050s	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR04	2050s	0.051610	0.948390
Multi-Family with 5+ Units	CR04	2050s	0.334161	0.665839
Single-Family Attached	CR04	2050s	0.034943	0.965057
Single-Family Detached	CR04	2050s	0.000000	1.000000
Mobile Home	CR05	2050s	0.000000	1.000000
Multi-Family with 2 - 4 Units	CR05	2050s	0.051610	0.948390
Multi-Family with 5+ Units	CR05	2050s	0.184708	0.815292
