Dependency=Location	Dependency=Vintage	"Clear, Single, Metal"	"Clear, Single, Non-metal"	"Clear, Double, Metal, Air"	"Clear, Double, Non-metal, Air"	"Low-E, Double, Non-metal, Air, L-Gain"	"Low-E, Triple, Non-metal, Air, L-Gain"
CR08	1960s	0.47	0.00	0.26	0.13	0.15	0.00
CR08	1970s	0.34	0.00	0.33	0.16	0.17	0.00
CR08	1980s	0.23	0.00	0.34	0.19	0.24	0.00
CR08	1990s	0.09	0.00	0.00	0.57	0.34	0.00
CR08	2000s	0.11	0.00	0.00	0.34	0.55	0.00
CR09	pre-1950	0.00	0.69	0.00	0.16	0.15	0.00
CR09	1950s	0.72	0.00	0.00	0.15	0.14	0.00
CR09	1960s	0.70	0.00	0.21	0.05	0.05	0.00
CR09	1970s	0.60	0.00	0.28	0.06	0.06	0.00
CR09	1980s	0.48	0.00	0.32	0.08	0.12	0.00
CR09	1990s	0.43	0.00	0.00	0.36	0.20	0.00
CR09	2000s	0.25	0.00	0.00	0.29	0.45	0.00
CR10	pre-1950	0.00	0.62	0.00	0.20	0.18	0.00
CR10	1950s	0.65	0.00	0.00	0.18	0.17	0.00
CR10	1960s	0.80	0.00	0.13	0.04	0.03	0.00
CR10	1970s	0.56	0.00	0.28	0.08	0.08	0.00
CR10	1980s	0.51	0.00	0.29	0.09	0.12	0.00
CR10	1990s	0.23	0.00	0.00	0.47	0.30	0.00
CR10	2000s	0.15	0.00	0.00	0.33	0.51	0.00
CR11	pre-1950	0.00	0.50	0.00	0.26	0.24	0.00
CR11	1950s	0.47	0.00	0.00	0.28	0.25	0.00
CR11	1960s	0.48	0.00	0.24	0.14	0.14	0.00
CR11	1970s	0.43	0.00	0.27	0.16	0.14	0.00
CR11	1980s	0.46	0.00	0.23	0.15	0.17	0.00
CR11	1990s	0.14	0.00	0.00	0.56	0.30	0.00
CR11	2000s	0.14	0.00	0.00	0.35	0.52	0.00
CR12	pre-1950	0.00	1.00	0.00	0.00	0.00	0.00
CR12	1950s	1.00	0.00	0.00	0.00	0.00	0.00
CR12	1960s	1.00	0.00	0.00	0.00	0.00	0.00
CR12	1970s	1.00	0.00	0.00	0.00	0.00	0.00
CR12	1980s	1.00	0.00	0.00	0.00	0.00	0.00
CR12	1990s	0.81	0.00	0.00	0.12	0.07	0.00
CR12	2000s	0.00	0.00	0.00	0.40	0.60	0.00
