Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Geometry Building Type RECS	Dependency=Vintage ACS	Option=Vented Crawlspace	Option=Unvented Crawlspace	Option=Heated Basement	Option=Ambient	Option=Slab	Option=Unheated Basement	sampling_probability
2B	Multi-Family with 5+ Units	1980-99	0.040851	0.000659	0	0	0.93565	0.02284	0.00151057
2B	Multi-Family with 5+ Units	2000-09	0.024128	0.012511	0	0	0.963361	0	0.000562148
2B	Multi-Family with 5+ Units	2010s	0.030533	0.006106	0	0	0.963361	0	0.000168714
2B	Multi-Family with 5+ Units	<1940	0.176843	0	0	0	0.823157	0	3.33606e-05
2B	Single-Family Attached	1940-59	0.058908	0	0	0	0.941092	0	6.86775e-05
2B	Single-Family Attached	1960-79	0.008341	0	0	0	0.983564	0.008095	0.000371454
2B	Single-Family Attached	1980-99	0.039758	0.00142	0.008005	0	0.92816	0.022657	0.000356271
2B	Single-Family Attached	2000-09	0.029311	0.007328	0	0	0.963361	0	0.000136671
2B	Single-Family Attached	2010s	0.036639	0	0	0	0.963361	0	1.90513e-05
2B	Single-Family Attached	<1940	0.176843	0	0	0	0.823157	0	1.32101e-05
2B	Single-Family Detached	1940-59	0.058908	0	0	0	0.941092	0	0.00128802
2B	Single-Family Detached	1960-79	0.008341	0	0	0	0.983564	0.008095	0.00287178
2B	Single-Family Detached	1980-99	0.037027	0.002178	0.007622	0.04792	0.883682	0.021571	0.00437892
2B	Single-Family Detached	2000-09	0.031815	0.004824	0	0	0.963361	0	0.00385959
2B	Single-Family Detached	2010s	0.030698	0.005941	0	0	0.963361	0	0.000515449
2B	Single-Family Detached	<1940	0.176843	0	0	0	0.823157	0	0.000226939
3A	Mobile Home	1940-59	0	0	0	1	0	0	0.000138817
3A	Mobile Home	1960-79	0	0	0	1	0	0	0.00222021
3A	Mobile Home	1980-99	0	0	0	1	0	0	0.00845782
3A	Mobile Home	2000-09	0	0	0	1	0	0	0.00262426
3A	Mobile Home	2010s	0	0	0	1	0	0	0.000526303
3A	Mobile Home	<1940	0	0	0	1	0	0	4.46213e-05
3A	Multi-Family with 2 - 4 Units	1940-59	0.588517	0	0	0	0.361736	0.049747	0.000723982
3A	Multi-Family with 2 - 4 Units	1960-79	0.482194	0	0	0	0.481252	0.036555	0.00215345
3A	Multi-Family with 2 - 4 Units	1980-99	0.27953	0.060472	0	0	0.631377	0.028621	0.00241689
3A	Multi-Family with 2 - 4 Units	2000-09	0.225154	0.01114	0	0	0.712396	0.051309	0.000853697
3A	Multi-Family with 2 - 4 Units	2010s	0.227275	0.009019	0	0	0.712396	0.051309	0.000278117
3A	Multi-Family with 2 - 4 Units	<1940	0.730141	0	0	0	0.243765	0.026093	0.000326098
3A	Multi-Family with 5+ Units	1940-59	0.588517	0	0	0	0.361736	0.049747	0.000822502
3A	Multi-Family with 5+ Units	1960-79	0.482194	0	0	0	0.481252	0.036555	0.00454393
3A	Multi-Family with 5+ Units	1980-99	0.283762	0.05624	0	0	0.631377	0.028621	0.00740283
3A	Multi-Family with 5+ Units	2000-09	0.22427	0.012024	0	0	0.712396	0.051309	0.0035546
3A	Multi-Family with 5+ Units	2010s	0.223167	0.013127	0	0	0.712396	0.051309	0.00133882
3A	Multi-Family with 5+ Units	<1940	0.730141	0	0	0	0.243765	0.026093	0.000408908
3A	Single-Family Attached	1940-59	0.582868	0	0.009597	0	0.358264	0.04927	0.000267459
3A	Single-Family Attached	1960-79	0.471332	0	0.022526	0	0.470411	0.035731	0.000744783
3A	Single-Family Attached	1980-99	0.267574	0.058186	0.041889	0	0.604929	0.027422	0.00121302
3A	Single-Family Attached	2000-09	0.220441	0.012495	0.014215	0	0.702269	0.05058	0.00111674
3A	Single-Family Attached	2010s	0.22389	0.009046	0.014215	0	0.702269	0.05058	0.000221886
3A	Single-Family Attached	<1940	0.730141	0	0	0	0.243765	0.026093	0.000108946
3A	Single-Family Detached	1940-59	0.532182	0	0.008763	0.08696	0.32711	0.044985	0.0132925
3A	Single-Family Detached	1960-79	0.448926	0	0.021456	0.047536	0.448049	0.034033	0.0251919
3A	Single-Family Detached	1980-99	0.259264	0.044627	0.039077	0.067133	0.564319	0.025581	0.0265891
3A	Single-Family Detached	2000-09	0.20902	0.009825	0.013355	0.060493	0.659787	0.04752	0.0171922
3A	Single-Family Detached	2010s	0.208797	0.010048	0.013355	0.060493	0.659787	0.04752	0.00382969
3A	Single-Family Detached	<1940	0.6926	0	0	0.051417	0.231232	0.024752	0.00528386
3B	Mobile Home	1940-59	0	0	0	1	0	0	0.000168831
3B	Mobile Home	1960-79	0	0	0	1	0	0	0.00180214
3B	Mobile Home	1980-99	0	0	0	1	0	0	0.00157197
3B	Mobile Home	2000-09	0	0	0	1	0	0	0.000553793
3B	Mobile Home	2010s	0	0	0	1	0	0	0.000104053
3B	Mobile Home	<1940	0	0	0	1	0	0	3.14201e-05
3B	Multi-Family with 2 - 4 Units	1940-59	0.488511	0	0	0	0.494138	0.01735	0.00116528
3B	Multi-Family with 2 - 4 Units	1960-79	0.281971	0	0	0	0.697872	0.020158	0.00244204
3B	Multi-Family with 2 - 4 Units	1980-99	0.175684	0.013798	0	0	0.805567	0.004951	0.0020188
3B	Multi-Family with 2 - 4 Units	2000-09	0.09408	0.008553	0	0	0.883124	0.014243	0.000533327
3B	Multi-Family with 2 - 4 Units	2010s	0.087971	0.014662	0	0	0.883124	0.014243	0.000139425
3B	Multi-Family with 2 - 4 Units	<1940	0.603358	0	0	0	0.230099	0.166543	0.000617605
3B	Multi-Family with 5+ Units	1940-59	0.488511	0	0	0	0.494138	0.01735	0.00233103
3B	Multi-Family with 5+ Units	1960-79	0.281971	0	0	0	0.697872	0.020158	0.00732488
3B	Multi-Family with 5+ Units	1980-99	0.177077	0.012405	0	0	0.805567	0.004951	0.0066091
3B	Multi-Family with 5+ Units	2000-09	0.094062	0.008571	0	0	0.883124	0.014243	0.00232872
3B	Multi-Family with 5+ Units	2010s	0.094847	0.007786	0	0	0.883124	0.014243	0.000704667
3B	Multi-Family with 5+ Units	<1940	0.603358	0	0	0	0.230099	0.166543	0.00113465
3B	Single-Family Attached	1940-59	0.485859	0	0.005429	0	0.491456	0.017256	0.000730498
3B	Single-Family Attached	1960-79	0.28104	0	0.003301	0	0.695568	0.020091	0.00176055
3B	Single-Family Attached	1980-99	0.177526	0.011956	0	0	0.805567	0.004951	0.00191767
3B	Single-Family Attached	2000-09	0.09323	0.008918	0.004725	0	0.878951	0.014176	0.00062017
3B	Single-Family Attached	2010s	0.098365	0.003783	0.004725	0	0.878951	0.014176	0.000134508
3B	Single-Family Attached	<1940	0.592091	0	0.018673	0	0.225802	0.163434	0.00043934
3B	Single-Family Detached	1940-59	0.466178	0	0.005209	0.040509	0.471548	0.016557	0.0129628
3B	Single-Family Detached	1960-79	0.273724	0	0.003215	0.026033	0.67746	0.019568	0.014085
3B	Single-Family Detached	1980-99	0.169362	0.01178	0	0.044017	0.770109	0.004733	0.0147238
3B	Single-Family Detached	2000-09	0.08771	0.00906	0.004476	0.052654	0.83267	0.013429	0.00898964
3B	Single-Family Detached	2010s	0.08666	0.01011	0.004476	0.052654	0.83267	0.013429	0.00138495
3B	Single-Family Detached	<1940	0.553553	0	0.017458	0.065089	0.211105	0.152796	0.00416721
3C	Mobile Home	1940-59	0	0	0	1	0	0	2.89383e-05
3C	Mobile Home	1960-79	0	0	0	1	0	0	0.000341543
3C	Mobile Home	1980-99	0	0	0	1	0	0	0.000186385
3C	Mobile Home	2000-09	0	0	0	1	0	0	0.000102185
3C	Mobile Home	2010s	0	0	0	1	0	0	2.31206e-05
3C	Mobile Home	<1940	0	0	0	1	0	0	6.41323e-06
3C	Multi-Family with 2 - 4 Units	1940-59	0.578934	0	0	0	0.395043	0.026023	0.000385411
3C	Multi-Family with 2 - 4 Units	1960-79	0.411263	0	0	0	0.558056	0.030681	0.000737621
3C	Multi-Family with 2 - 4 Units	1980-99	0.27786	0.016345	0	0	0.695584	0.010211	0.000459159
3C	Multi-Family with 2 - 4 Units	2000-09	0.092374	0.009237	0	0	0.885284	0.013105	0.000105187
3C	Multi-Family with 2 - 4 Units	2010s	0.101611	0	0	0	0.885284	0.013105	2.21051e-05
3C	Multi-Family with 2 - 4 Units	<1940	0.489879	0	0	0	0.177619	0.332502	0.00059954
3C	Multi-Family with 5+ Units	1940-59	0.578934	0	0	0	0.395043	0.026023	0.000586839
3C	Multi-Family with 5+ Units	1960-79	0.411263	0	0	0	0.558056	0.030681	0.0019461
3C	Multi-Family with 5+ Units	1980-99	0.278121	0.016084	0	0	0.695584	0.010211	0.00148847
3C	Multi-Family with 5+ Units	2000-09	0.088162	0.013449	0	0	0.885284	0.013105	0.000669906
3C	Multi-Family with 5+ Units	2010s	0.087755	0.013856	0	0	0.885284	0.013105	0.000217877
3C	Multi-Family with 5+ Units	<1940	0.489879	0	0	0	0.177619	0.332502	0.000809381
3C	Single-Family Attached	1940-59	0.559398	0	0.033746	0	0.381712	0.025144	0.000306206
3C	Single-Family Attached	1960-79	0.40877	0	0.006061	0	0.554674	0.030495	0.000671119
3C	Single-Family Attached	1980-99	0.270405	0.0208	0.010198	0	0.68849	0.010107	0.000645859
3C	Single-Family Attached	2000-09	0.094353	0.007258	0	0	0.885284	0.013105	0.00020592
3C	Single-Family Attached	2010s	0.101611	0	0	0	0.885284	0.013105	6.60923e-05
3C	Single-Family Attached	<1940	0.435363	0	0.111285	0	0.157853	0.2955	0.000249404
3C	Single-Family Detached	1940-59	0.546535	0	0.03297	0.022994	0.372935	0.024566	0.00334341
3C	Single-Family Detached	1960-79	0.403958	0	0.005989	0.011773	0.548144	0.030136	0.00415436
3C	Single-Family Detached	1980-99	0.245755	0.013198	0.009069	0.110752	0.612238	0.008988	0.0025022
3C	Single-Family Detached	2000-09	0.082813	0.015108	0	0.036317	0.853134	0.012629	0.000892412
3C	Single-Family Detached	2010s	0.087429	0.010492	0	0.036317	0.853134	0.012629	0.000143716
3C	Single-Family Detached	<1940	0.435363	0	0.111285	0	0.157853	0.2955	0.00169542
4A	Mobile Home	1940-59	0	0	0	1	0	0	0.00014254
4A	Mobile Home	1960-79	0	0	0	1	0	0	0.00232446
4A	Mobile Home	1980-99	0	0	0	1	0	0	0.00638951
4A	Mobile Home	2000-09	0	0	0	1	0	0	0.00203016
4A	Mobile Home	2010s	0	0	0	1	0	0	0.000319414
4A	Mobile Home	<1940	0	0	0	1	0	0	7.69771e-05
4A	Multi-Family with 2 - 4 Units	1940-59	0.419497	0	0	0	0.275586	0.304917	0.00363744
4A	Multi-Family with 2 - 4 Units	1960-79	0.407981	0	0	0	0.374137	0.217882	0.00461945
4A	Multi-Family with 2 - 4 Units	1980-99	0.364706	0.072465	0	0	0.407752	0.155077	0.00355147
4A	Multi-Family with 2 - 4 Units	2000-09	0.225115	0.09691	0	0	0.518676	0.159299	0.00149457
4A	Multi-Family with 2 - 4 Units	2010s	0.216025	0.106	0	0	0.518676	0.159299	0.000379453
4A	Multi-Family with 2 - 4 Units	<1940	0.305496	0	0	0	0.138071	0.556433	0.00550146
4A	Multi-Family with 5+ Units	1940-59	0.419497	0	0	0	0.275586	0.304917	0.00673435
4A	Multi-Family with 5+ Units	1960-79	0.407981	0	0	0	0.374137	0.217882	0.012269
4A	Multi-Family with 5+ Units	1980-99	0.369898	0.067273	0	0	0.407752	0.155077	0.00990469
4A	Multi-Family with 5+ Units	2000-09	0.228164	0.093861	0	0	0.518676	0.159299	0.00491496
4A	Multi-Family with 5+ Units	2010s	0.226374	0.095651	0	0	0.518676	0.159299	0.00188844
4A	Multi-Family with 5+ Units	<1940	0.305496	0	0	0	0.138071	0.556433	0.00869935
4A	Single-Family Attached	1940-59	0.305107	0	0.272683	0	0.200438	0.221772	0.00341812
4A	Single-Family Attached	1960-79	0.300805	0	0.2627	0	0.275851	0.160644	0.00326464
4A	Single-Family Attached	1980-99	0.264946	0.043006	0.29558	0	0.287229	0.109239	0.00548914
4A	Single-Family Attached	2000-09	0.177037	0.076031	0.214134	0	0.40761	0.125188	0.00271673
4A	Single-Family Attached	2010s	0.176231	0.076837	0.214134	0	0.40761	0.125188	0.000709393
4A	Single-Family Attached	<1940	0.248687	0	0.185955	0	0.112396	0.452962	0.00413306
4A	Single-Family Detached	1940-59	0.297087	0	0.265514	0.026289	0.195169	0.215942	0.0250154
4A	Single-Family Detached	1960-79	0.288471	0	0.251928	0.041002	0.264541	0.154058	0.0318712
4A	Single-Family Detached	1980-99	0.249917	0.050858	0.288691	0.023308	0.280534	0.106693	0.0298414
4A	Single-Family Detached	2000-09	0.177226	0.072627	0.211413	0.012706	0.402431	0.123597	0.0164122
4A	Single-Family Detached	2010s	0.176639	0.073214	0.211413	0.012706	0.402431	0.123597	0.00324922
4A	Single-Family Detached	<1940	0.244244	0	0.182633	0.017865	0.110388	0.444869	0.0156608
4B	Mobile Home	1940-59	0	0	0	1	0	0	2.09173e-05
4B	Mobile Home	1960-79	0	0	0	1	0	0	0.000289604
4B	Mobile Home	1980-99	0	0	0	1	0	0	0.00046782
4B	Mobile Home	2000-09	0	0	0	1	0	0	0.000151768
4B	Mobile Home	2010s	0	0	0	1	0	0	2.08478e-05
4B	Mobile Home	<1940	0	0	0	1	0	0	3.54417e-06
4B	Multi-Family with 2 - 4 Units	1940-59	0.488511	0	0	0	0.494138	0.01735	5.95278e-05
4B	Multi-Family with 2 - 4 Units	1960-79	0.281971	0	0	0	0.697872	0.020158	0.000139071
4B	Multi-Family with 2 - 4 Units	1980-99	0.16719	0.022292	0	0	0.805567	0.004951	0.000134471
4B	Multi-Family with 2 - 4 Units	2000-09	0.064146	0.038487	0	0	0.883124	0.014243	4.1359e-05
4B	Multi-Family with 2 - 4 Units	2010s	0.102633	0	0	0	0.883124	0.014243	1.0839e-05
4B	Multi-Family with 2 - 4 Units	<1940	0.603358	0	0	0	0.230099	0.166543	1.93297e-05
4B	Multi-Family with 5+ Units	1940-59	0.488511	0	0	0	0.494138	0.01735	3.97176e-05
4B	Multi-Family with 5+ Units	1960-79	0.281971	0	0	0	0.697872	0.020158	0.000256205
4B	Multi-Family with 5+ Units	1980-99	0.169948	0.019534	0	0	0.805567	0.004951	0.000255212
4B	Multi-Family with 5+ Units	2000-09	0.097231	0.005402	0	0	0.883124	0.014243	8.94093e-05
4B	Multi-Family with 5+ Units	2010s	0.102633	0	0	0	0.883124	0.014243	3.21298e-05
4B	Multi-Family with 5+ Units	<1940	0.603358	0	0	0	0.230099	0.166543	1.90386e-05
4B	Single-Family Attached	1940-59	0.485859	0	0.005429	0	0.491456	0.017256	2.43232e-05
4B	Single-Family Attached	1960-79	0.28104	0	0.003301	0	0.695568	0.020091	6.36242e-05
4B	Single-Family Attached	1980-99	0.173241	0.016241	0	0	0.805567	0.004951	9.10853e-05
4B	Single-Family Attached	2000-09	0.068099	0.034049	0.004725	0	0.878951	0.014176	4.43148e-05
4B	Single-Family Attached	2010s	0.051074	0.051074	0.004725	0	0.878951	0.014176	9.44292e-06
4B	Single-Family Attached	<1940	0.592091	0	0.018673	0	0.225802	0.163434	1.14251e-05
4B	Single-Family Detached	1940-59	0.466178	0	0.005209	0.040509	0.471548	0.016557	0.00102543
4B	Single-Family Detached	1960-79	0.273724	0	0.003215	0.026033	0.67746	0.019568	0.0015523
4B	Single-Family Detached	1980-99	0.168436	0.012706	0	0.044017	0.770109	0.004733	0.00153055
4B	Single-Family Detached	2000-09	0.085773	0.010997	0.004476	0.052654	0.83267	0.013429	0.000898604
4B	Single-Family Detached	2010s	0.075733	0.021037	0.004476	0.052654	0.83267	0.013429	0.000120681
4B	Single-Family Detached	<1940	0.553553	0	0.017458	0.065089	0.211105	0.152796	0.000356831
4C	Mobile Home	1940-59	0	0	0	1	0	0	2.84792e-05
4C	Mobile Home	1960-79	0	0	0	1	0	0	0.000672485
4C	Mobile Home	1980-99	0	0	0	1	0	0	0.000897024
4C	Mobile Home	2000-09	0	0	0	1	0	0	0.000184314
4C	Mobile Home	2010s	0	0	0	1	0	0	2.80627e-05
4C	Mobile Home	<1940	0	0	0	1	0	0	1.10698e-05
4C	Multi-Family with 2 - 4 Units	1940-59	0.554596	0	0	0	0.416838	0.028565	0.000203548
4C	Multi-Family with 2 - 4 Units	1960-79	0.664029	0	0	0	0.335971	0	0.00066043
4C	Multi-Family with 2 - 4 Units	1980-99	0.673126	0.038582	0	0	0.264021	0.024271	0.000607579
4C	Multi-Family with 2 - 4 Units	2000-09	0.590705	0.130749	0	0	0.278546	0	0.000212401
4C	Multi-Family with 2 - 4 Units	2010s	0.606021	0.115433	0	0	0.278546	0	5.20561e-05
4C	Multi-Family with 2 - 4 Units	<1940	0.647911	0	0	0	0.198729	0.15336	0.000175743
4C	Multi-Family with 5+ Units	1940-59	0.554596	0	0	0	0.416838	0.028565	0.00033067
4C	Multi-Family with 5+ Units	1960-79	0.664029	0	0	0	0.335971	0	0.00158641
4C	Multi-Family with 5+ Units	1980-99	0.674921	0.036787	0	0	0.264021	0.024271	0.0020311
4C	Multi-Family with 5+ Units	2000-09	0.586689	0.134765	0	0	0.278546	0	0.000923679
4C	Multi-Family with 5+ Units	2010s	0.58643	0.135024	0	0	0.278546	0	0.000378813
4C	Multi-Family with 5+ Units	<1940	0.647911	0	0	0	0.198729	0.15336	0.000428004
4C	Single-Family Attached	1940-59	0.386084	0	0.303846	0	0.290184	0.019886	9.40921e-05
4C	Single-Family Attached	1960-79	0.616356	0	0.071795	0	0.31185	0	0.000282637
4C	Single-Family Attached	1980-99	0.661842	0.032529	0.024361	0	0.257589	0.023679	0.000399131
4C	Single-Family Attached	2000-09	0.56978	0.128401	0.032259	0	0.26956	0	0.000372058
4C	Single-Family Attached	2010s	0.548571	0.14961	0.032259	0	0.26956	0	7.0998e-05
4C	Single-Family Attached	<1940	0.552117	0	0.147851	0	0.169347	0.130686	5.48874e-05
4C	Single-Family Detached	1940-59	0.386084	0	0.303846	0	0.290184	0.019886	0.00295502
4C	Single-Family Detached	1960-79	0.553282	0	0.064448	0.102333	0.279937	0	0.00468467
4C	Single-Family Detached	1980-99	0.643659	0.031802	0.023697	0.027233	0.250574	0.023035	0.00485785
4C	Single-Family Detached	2000-09	0.518159	0.119378	0.029457	0.086859	0.246146	0	0.00272445
4C	Single-Family Detached	2010s	0.51974	0.117797	0.029457	0.086859	0.246146	0	0.000628159
4C	Single-Family Detached	<1940	0.552117	0	0.147851	0	0.169347	0.130686	0.002446
5A	Mobile Home	1940-59	0	0	0	1	0	0	0.000138391
5A	Mobile Home	1960-79	0	0	0	1	0	0	0.00213513
5A	Mobile Home	1980-99	0	0	0	1	0	0	0.00348961
5A	Mobile Home	2000-09	0	0	0	1	0	0	0.000919931
5A	Mobile Home	2010s	0	0	0	1	0	0	0.000186949
5A	Mobile Home	<1940	0	0	0	1	0	0	8.30867e-05
5A	Multi-Family with 2 - 4 Units	1940-59	0.236007	0	0	0	0.301358	0.462635	0.00403162
5A	Multi-Family with 2 - 4 Units	1960-79	0.241485	0	0	0	0.386768	0.371747	0.0048359
5A	Multi-Family with 2 - 4 Units	1980-99	0.165111	0.130811	0	0	0.334934	0.369145	0.00337575
5A	Multi-Family with 2 - 4 Units	2000-09	0.051565	0.030574	0	0	0.577562	0.340299	0.00108917
5A	Multi-Family with 2 - 4 Units	2010s	0.050403	0.031736	0	0	0.577562	0.340299	0.000282759
5A	Multi-Family with 2 - 4 Units	<1940	0.23373	0	0	0	0.093347	0.672922	0.0101971
5A	Multi-Family with 5+ Units	1940-59	0.236007	0	0	0	0.301358	0.462635	0.00367157
5A	Multi-Family with 5+ Units	1960-79	0.241485	0	0	0	0.386768	0.371747	0.0116578
5A	Multi-Family with 5+ Units	1980-99	0.153918	0.142004	0	0	0.334934	0.369145	0.00919562
5A	Multi-Family with 5+ Units	2000-09	0.050867	0.031272	0	0	0.577562	0.340299	0.00373044
5A	Multi-Family with 5+ Units	2010s	0.055577	0.026562	0	0	0.577562	0.340299	0.00123669
5A	Multi-Family with 5+ Units	<1940	0.23373	0	0	0	0.093347	0.672922	0.00533025
5A	Single-Family Attached	1940-59	0.147689	0	0.374218	0	0.188585	0.289509	0.00141533
5A	Single-Family Attached	1960-79	0.154987	0	0.358192	0	0.248231	0.23859	0.00231646
5A	Single-Family Attached	1980-99	0.108843	0.087146	0.337701	0	0.221826	0.244484	0.00415164
5A	Single-Family Attached	2000-09	0.030353	0.016407	0.430717	0	0.328796	0.193726	0.00244173
5A	Single-Family Attached	2010s	0.032372	0.014388	0.430717	0	0.328796	0.193726	0.00041867
5A	Single-Family Attached	<1940	0.17087	0	0.268944	0	0.068242	0.491944	0.00240718
5A	Single-Family Detached	1940-59	0.144197	0	0.365371	0.023641	0.184127	0.282664	0.0357633
5A	Single-Family Detached	1960-79	0.151459	0	0.350039	0.022762	0.24258	0.233159	0.0368877
5A	Single-Family Detached	1980-99	0.105991	0.085596	0.330117	0.022457	0.216845	0.238994	0.0272759
