Dependency=Geometry Attic Type	Dependency=Location Region	Dependency=Vintage	Option=None	Option=Uninsulated	Option=R-7	Option=R-13	Option=R-19	Option=R-30	Option=R-38	Option=R-49	sampling_probability
Vented Attic	CR05	1940s	0	0.04	0.14	0.16	0.28	0.13	0.22	0.04	0.00108481
Vented Attic	CR05	1950s	0	0.03	0.08	0.14	0.23	0.15	0.28	0.08	0.00240569
Vented Attic	CR05	1960s	0	0.01	0.04	0.16	0.36	0.09	0.26	0.08	0.00218519
Vented Attic	CR05	1970s	0	0.01	0.07	0.12	0.22	0.19	0.31	0.08	0.00494423
Vented Attic	CR05	1980s	0	0	0.01	0.08	0.27	0.4	0.22	0.02	0.00337688
Vented Attic	CR05	1990s	0	0	0	0	0	0.53	0.44	0.03	0.00471163
Vented Attic	CR05	2000s	0	0	0	0	0.06	0.21	0.5	0.24	0.00544832
Vented Attic	CR05	2010s	0	0	0	0	0.06	0.21	0.5	0.24	0.00116282
Vented Attic	CR06	<1940	0	0.04	0.14	0.16	0.28	0.13	0.22	0.04	0.0030481
Vented Attic	CR06	1940s	0	0.04	0.14	0.16	0.28	0.13	0.22	0.04	0.00149297
Vented Attic	CR06	1950s	0	0.03	0.08	0.14	0.23	0.15	0.28	0.08	0.00237381
Vented Attic	CR06	1960s	0	0.01	0.04	0.16	0.36	0.09	0.26	0.08	0.00244022
Vented Attic	CR06	1970s	0	0.01	0.07	0.12	0.22	0.19	0.31	0.08	0.00440889
Vented Attic	CR06	1980s	0	0	0.01	0.08	0.27	0.4	0.22	0.02	0.00294746
Vented Attic	CR06	1990s	0	0	0.01	0	0.16	0.14	0.58	0.12	0.00436117
Vented Attic	CR06	2000s	0	0	0	0	0.01	0.14	0.65	0.21	0.00403931
Vented Attic	CR06	2010s	0	0	0	0	0.01	0.14	0.65	0.21	0.000885938
Vented Attic	CR07	<1940	0	0.04	0.14	0.16	0.28	0.13	0.22	0.04	0.0189069
Vented Attic	CR07	1940s	0	0.04	0.14	0.16	0.28	0.13	0.22	0.04	0.00622461
Vented Attic	CR07	1950s	0	0.03	0.08	0.14	0.23	0.15	0.28	0.08	0.0132201
Vented Attic	CR07	1960s	0	0.01	0.04	0.16	0.36	0.09	0.26	0.08	0.00930463
Vented Attic	CR07	1970s	0	0.01	0.07	0.12	0.22	0.19	0.31	0.08	0.00910702
Vented Attic	CR07	1980s	0	0	0.01	0.08	0.27	0.4	0.22	0.02	0.00792627
Vented Attic	CR07	1990s	0	0	0	0	0.12	0.6	0.22	0.05	0.00751862
Vented Attic	CR07	2000s	0	0	0	0	0.07	0.52	0.31	0.1	0.00652999
Vented Attic	CR07	2010s	0	0	0	0	0.07	0.52	0.31	0.1	0.0012776
Vented Attic	CR08	<1940	0	0.04	0.14	0.16	0.28	0.13	0.22	0.04	0.0113494
Vented Attic	CR08	1940s	0	0.04	0.14	0.16	0.28	0.13	0.22	0.04	0.00549093
Vented Attic	CR08	1950s	0	0.03	0.08	0.14	0.23	0.15	0.28	0.08	0.0111624
Vented Attic	CR08	1960s	0	0.01	0.04	0.16	0.36	0.09	0.26	0.08	0.0109051
Vented Attic	CR08	1970s	0	0.01	0.07	0.12	0.22	0.19	0.31	0.08	0.0148981
Vented Attic	CR08	1980s	0	0	0.01	0.08	0.27	0.4	0.22	0.02	0.0132529
Vented Attic	CR08	1990s	0	0	0	0	0.09	0.66	0.18	0.06	0.0158339
Vented Attic	CR08	2000s	0	0	0	0	0.05	0.57	0.34	0.04	0.0148043
Vented Attic	CR08	2010s	0	0	0	0	0.05	0.57	0.34	0.04	0.00309702
Vented Attic	CR09	<1940	0	0.18	0.16	0.28	0.13	0.22	0.04	0	0.00968681
Vented Attic	CR09	1940s	0	0.18	0.16	0.28	0.13	0.22	0.04	0	0.00808124
Vented Attic	CR09	1950s	0	0.11	0.14	0.23	0.15	0.28	0.08	0	0.0200591
Vented Attic	CR09	1960s	0	0.04	0.16	0.36	0.09	0.26	0.08	0	0.0230502
Vented Attic	CR09	1970s	0	0.08	0.12	0.22	0.19	0.31	0.08	0	0.034796
Vented Attic	CR09	1980s	0	0.01	0.08	0.27	0.4	0.22	0.02	0	0.0360155
Vented Attic	CR09	1990s	0	0	0	0	0.27	0.64	0.08	0.01	0.0401312
Vented Attic	CR09	2000s	0	0	0	0	0.13	0.7	0.16	0.01	0.0452778
Vented Attic	CR09	2010s	0	0	0	0	0.13	0.7	0.16	0.01	0.0100421
Vented Attic	CR10	<1940	0	0.18	0.16	0.28	0.13	0.22	0.04	0	0.000610887
Vented Attic	CR10	1940s	0	0.18	0.16	0.28	0.13	0.22	0.04	0	0.000612139
Vented Attic	CR10	1950s	0	0.11	0.14	0.23	0.15	0.28	0.08	0	0.00188742
Vented Attic	CR10	1960s	0	0.04	0.16	0.36	0.09	0.26	0.08	0	0.00221305
Vented Attic	CR10	1970s	0	0.08	0.12	0.22	0.19	0.31	0.08	0	0.0046348
Vented Attic	CR10	1980s	0	0.01	0.08	0.27	0.4	0.22	0.02	0	0.00456193
Vented Attic	CR10	1990s	0	0	0	0	0.18	0.54	0.28	0	0.00628266
Vented Attic	CR10	2000s	0	0	0	0	0.01	0.62	0.34	0.03	0.00756629
Vented Attic	CR10	2010s	0	0	0	0	0.01	0.62	0.34	0.03	0.0010286
Vented Attic	CR11	<1940	0	0.18	0.16	0.28	0.13	0.22	0.04	0	0.00626141
Vented Attic	CR11	1940s	0	0.18	0.16	0.28	0.13	0.22	0.04	0	0.004888
Vented Attic	CR11	1950s	0	0.11	0.14	0.23	0.15	0.28	0.08	0	0.0113149
Vented Attic	CR11	1960s	0	0.04	0.16	0.36	0.09	0.26	0.08	0	0.00913859
Vented Attic	CR11	1970s	0	0.08	0.12	0.22	0.19	0.31	0.08	0	0.0114953
Vented Attic	CR11	1980s	0	0.01	0.08	0.27	0.4	0.22	0.02	0	0.0101297
Vented Attic	CR11	1990s	0	0	0	0	0.17	0.71	0.12	0.01	0.00787196
Vented Attic	CR11	2000s	0	0	0	0	0.11	0.58	0.28	0.04	0.0087965
Vented Attic	CR11	2010s	0	0	0	0	0.11	0.58	0.28	0.04	0.00124806
Unvented Attic	CR02	<1940	0	1	0	0	0	0	0	0	0
Unvented Attic	CR02	1940s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR02	1950s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR02	1960s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR02	1970s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR02	1980s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR02	1990s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR02	2000s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR02	2010s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR03	<1940	0	1	0	0	0	0	0	0	0
Unvented Attic	CR03	1940s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR03	1950s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR03	1960s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR03	1970s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR03	1980s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR03	1990s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR03	2000s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR03	2010s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR04	<1940	0	1	0	0	0	0	0	0	0
Unvented Attic	CR04	1940s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR04	1950s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR04	1960s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR04	1970s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR04	1980s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR04	1990s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR04	2000s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR04	2010s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR05	<1940	0	1	0	0	0	0	0	0	0
Unvented Attic	CR05	1940s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR05	1950s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR05	1960s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR05	1970s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR05	1980s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR05	1990s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR05	2000s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR05	2010s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR06	<1940	0	1	0	0	0	0	0	0	0
Unvented Attic	CR06	1940s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR06	1950s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR06	1960s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR06	1970s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR06	1980s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR06	1990s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR06	2000s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR06	2010s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR07	<1940	0	1	0	0	0	0	0	0	0
Unvented Attic	CR07	1940s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR07	1950s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR07	1960s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR07	1970s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR07	1980s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR07	1990s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR07	2000s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR07	2010s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR08	<1940	0	1	0	0	0	0	0	0	0
Unvented Attic	CR08	1940s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR08	1950s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR08	1960s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR08	1970s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR08	1980s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR08	1990s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR08	2000s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR08	2010s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR09	<1940	0	1	0	0	0	0	0	0	0
Unvented Attic	CR09	1940s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR09	1950s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR09	1960s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR09	1970s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR09	1980s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR09	1990s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR09	2000s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR09	2010s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR10	<1940	0	1	0	0	0	0	0	0	0
Unvented Attic	CR10	1940s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR10	1950s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR10	1960s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR10	1970s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR10	1980s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR10	1990s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR10	2000s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR10	2010s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR11	<1940	0	1	0	0	0	0	0	0	0
Unvented Attic	CR11	1940s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR11	1950s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR11	1960s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR11	1970s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR11	1980s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR11	1990s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR11	2000s	0	1	0	0	0	0	0	0	0
Unvented Attic	CR11	2010s	0	1	0	0	0	0	0	0	0
None	CR02	<1940	1	0	0	0	0	0	0	0	0.00192627
None	CR02	1940s	1	0	0	0	0	0	0	0	0.000408432
None	CR02	1950s	1	0	0	0	0	0	0	0	0.000782826
None	CR02	1960s	1	0	0	0	0	0	0	0	0.00123523
None	CR02	1970s	1	0	0	0	0	0	0	0	0.00227946
None	CR02	1980s	1	0	0	0	0	0	0	0	0.00167215
None	CR02	1990s	1	0	0	0	0	0	0	0	0.00168586
None	CR02	2000s	1	0	0	0	0	0	0	0	0.00147049
None	CR02	2010s	1	0	0	0	0	0	0	0	0.000599081
None	CR03	<1940	1	0	0	0	0	0	0	0	0.00668569
None	CR03	1940s	1	0	0	0	0	0	0	0	0.000893466
None	CR03	1950s	1	0	0	0	0	0	0	0	0.00114754
None	CR03	1960s	1	0	0	0	0	0	0	0	0.00148065
None	CR03	1970s	1	0	0	0	0	0	0	0	0.00224146
None	CR03	1980s	1	0	0	0	0	0	0	0	0.00196532
None	CR03	1990s	1	0	0	0	0	0	0	0	0.00100692
None	CR03	2000s	1	0	0	0	0	0	0	0	0.00102704
None	CR03	2010s	1	0	0	0	0	0	0	0	0.0003587
None	CR04	<1940	1	0	0	0	0	0	0	0	0.00617992
None	CR04	1940s	1	0	0	0	0	0	0	0	0.00142575
None	CR04	1950s	1	0	0	0	0	0	0	0	0.00230343
None	CR04	1960s	1	0	0	0	0	0	0	0	0.00377518
None	CR04	1970s	1	0	0	0	0	0	0	0	0.00594983
None	CR04	1980s	1	0	0	0	0	0	0	0	0.00386637
None	CR04	1990s	1	0	0	0	0	0	0	0	0.00362997
None	CR04	2000s	1	0	0	0	0	0	0	0	0.0029609
None	CR04	2010s	1	0	0	0	0	0	0	0	0.000812827
None	CR05	<1940	1	0	0	0	0	0	0	0	0.000484225
None	CR05	1940s	1	0	0	0	0	0	0	0	0.000172885
None	CR05	1950s	1	0	0	0	0	0	0	0	0.000375291
None	CR05	1960s	1	0	0	0	0	0	0	0	0.000664507
None	CR05	1970s	1	0	0	0	0	0	0	0	0.00164841
None	CR05	1980s	1	0	0	0	0	0	0	0	0.00125798
None	CR05	1990s	1	0	0	0	0	0	0	0	0.00117254
None	CR05	2000s	1	0	0	0	0	0	0	0	0.00116368
None	CR05	2010s	1	0	0	0	0	0	0	0	0.000463914
None	CR06	<1940	1	0	0	0	0	0	0	0	0.000698554
None	CR06	1940s	1	0	0	0	0	0	0	0	0.000234545
None	CR06	1950s	1	0	0	0	0	0	0	0	0.000406207
None	CR06	1960s	1	0	0	0	0	0	0	0	0.00086823
None	CR06	1970s	1	0	0	0	0	0	0	0	0.00173157
None	CR06	1980s	1	0	0	0	0	0	0	0	0.00135912
None	CR06	1990s	1	0	0	0	0	0	0	0	0.00160242
None	CR06	2000s	1	0	0	0	0	0	0	0	0.00131331
None	CR06	2010s	1	0	0	0	0	0	0	0	0.000486898
None	CR07	<1940	1	0	0	0	0	0	0	0	0.0157161
None	CR07	1940s	1	0	0	0	0	0	0	0	0.00410922
None	CR07	1950s	1	0	0	0	0	0	0	0	0.00581903
None	CR07	1960s	1	0	0	0	0	0	0	0	0.00633693
None	CR07	1970s	1	0	0	0	0	0	0	0	0.00566583
None	CR07	1980s	1	0	0	0	0	0	0	0	0.00380588
None	CR07	1990s	1	0	0	0	0	0	0	0	0.00289912
None	CR07	2000s	1	0	0	0	0	0	0	0	0.00331201
None	CR07	2010s	1	0	0	0	0	0	0	0	0.00108504
None	CR08	<1940	1	0	0	0	0	0	0	0	0.00247946
None	CR08	1940s	1	0	0	0	0	0	0	0	0.00099049
None	CR08	1950s	1	0	0	0	0	0	0	0	0.00175298
None	CR08	1960s	1	0	0	0	0	0	0	0	0.00300979
None	CR08	1970s	1	0	0	0	0	0	0	0	0.00485075
None	CR08	1980s	1	0	0	0	0	0	0	0	0.00416652
None	CR08	1990s	1	0	0	0	0	0	0	0	0.00389039
None	CR08	2000s	1	0	0	0	0	0	0	0	0.00345302
None	CR08	2010s	1	0	0	0	0	0	0	0	0.00135653
None	CR09	<1940	1	0	0	0	0	0	0	0	0.00173175
None	CR09	1940s	1	0	0	0	0	0	0	0	0.00117136
None	CR09	1950s	1	0	0	0	0	0	0	0	0.00247918
None	CR09	1960s	1	0	0	0	0	0	0	0	0.00552094
None	CR09	1970s	1	0	0	0	0	0	0	0	0.0125468
None	CR09	1980s	1	0	0	0	0	0	0	0	0.0131495
None	CR09	1990s	1	0	0	0	0	0	0	0	0.0107712
None	CR09	2000s	1	0	0	0	0	0	0	0	0.0110809
None	CR09	2010s	1	0	0	0	0	0	0	0	0.00376322
None	CR10	<1940	1	0	0	0	0	0	0	0	0.000115376
None	CR10	1940s	1	0	0	0	0	0	0	0	9.48656e-05
None	CR10	1950s	1	0	0	0	0	0	0	0	0.000315491
None	CR10	1960s	1	0	0	0	0	0	0	0	0.000640031
None	CR10	1970s	1	0	0	0	0	0	0	0	0.00144164
None	CR10	1980s	1	0	0	0	0	0	0	0	0.00181198
None	CR10	1990s	1	0	0	0	0	0	0	0	0.00181931
None	CR10	2000s	1	0	0	0	0	0	0	0	0.00135894
None	CR10	2010s	1	0	0	0	0	0	0	0	0.000320755
None	CR11	<1940	1	0	0	0	0	0	0	0	0.00313782
None	CR11	1940s	1	0	0	0	0	0	0	0	0.00140253
None	CR11	1950s	1	0	0	0	0	0	0	0	0.00292536
None	CR11	1960s	1	0	0	0	0	0	0	0	0.00469973
None	CR11	1970s	1	0	0	0	0	0	0	0	0.00698871
None	CR11	1980s	1	0	0	0	0	0	0	0	0.00565291
None	CR11	1990s	1	0	0	0	0	0	0	0	0.0034428
None	CR11	2000s	1	0	0	0	0	0	0	0	0.00305529
None	CR11	2010s	1	0	0	0	0	0	0	0	0.000912408
Finished Attic or Cathedral Ceilings	CR02	<1940	1	0	0	0	0	0	0	0	0.000208457
Finished Attic or Cathedral Ceilings	CR02	1940s	1	0	0	0	0	0	0	0	2.56442e-05
Finished Attic or Cathedral Ceilings	CR02	1950s	1	0	0	0	0	0	0	0	5.43138e-05
Finished Attic or Cathedral Ceilings	CR02	1960s	1	0	0	0	0	0	0	0	4.33759e-05
Finished Attic or Cathedral Ceilings	CR02	1970s	1	0	0	0	0	0	0	0	6.21783e-05
Finished Attic or Cathedral Ceilings	CR02	1980s	1	0	0	0	0	0	0	0	6.96087e-05
Finished Attic or Cathedral Ceilings	CR02	1990s	1	0	0	0	0	0	0	0	9.2265e-05
Finished Attic or Cathedral Ceilings	CR02	2000s	1	0	0	0	0	0	0	0	0.000120572
Finished Attic or Cathedral Ceilings	CR02	2010s	1	0	0	0	0	0	0	0	2.51843e-05
Finished Attic or Cathedral Ceilings	CR03	<1940	1	0	0	0	0	0	0	0	0.000188423
Finished Attic or Cathedral Ceilings	CR03	1940s	1	0	0	0	0	0	0	0	2.23097e-05
Finished Attic or Cathedral Ceilings	CR03	1950s	1	0	0	0	0	0	0	0	5.19958e-05
Finished Attic or Cathedral Ceilings	CR03	1960s	1	0	0	0	0	0	0	0	4.07955e-05
Finished Attic or Cathedral Ceilings	CR03	1970s	1	0	0	0	0	0	0	0	4.46985e-05
Finished Attic or Cathedral Ceilings	CR03	1980s	1	0	0	0	0	0	0	0	8.11192e-05
Finished Attic or Cathedral Ceilings	CR03	1990s	1	0	0	0	0	0	0	0	5.93545e-05
Finished Attic or Cathedral Ceilings	CR03	2000s	1	0	0	0	0	0	0	0	5.63052e-05
Finished Attic or Cathedral Ceilings	CR03	2010s	1	0	0	0	0	0	0	0	1.17944e-05
Finished Attic or Cathedral Ceilings	CR04	<1940	1	0	0	0	0	0	0	0	0.000456168
Finished Attic or Cathedral Ceilings	CR04	1940s	1	0	0	0	0	0	0	0	7.99849e-05
Finished Attic or Cathedral Ceilings	CR04	1950s	1	0	0	0	0	0	0	0	0.000173604
Finished Attic or Cathedral Ceilings	CR04	1960s	1	0	0	0	0	0	0	0	0.000125451
Finished Attic or Cathedral Ceilings	CR04	1970s	1	0	0	0	0	0	0	0	0.000140102
Finished Attic or Cathedral Ceilings	CR04	1980s	1	0	0	0	0	0	0	0	0.0001462
Finished Attic or Cathedral Ceilings	CR04	1990s	1	0	0	0	0	0	0	0	0.000225787
Finished Attic or Cathedral Ceilings	CR04	2000s	1	0	0	0	0	0	0	0	0.000242063
Finished Attic or Cathedral Ceilings	CR04	2010s	1	0	0	0	0	0	0	0	3.55776e-05
Finished Attic or Cathedral Ceilings	CR05	<1940	1	0	0	0	0	0	0	0	6.08561e-05
Finished Attic or Cathedral Ceilings	CR05	1940s	1	0	0	0	0	0	0	0	1.17399e-05
Finished Attic or Cathedral Ceilings	CR05	1950s	1	0	0	0	0	0	0	0	2.59157e-05
Finished Attic or Cathedral Ceilings	CR05	1960s	1	0	0	0	0	0	0	0	2.48962e-05
Finished Attic or Cathedral Ceilings	CR05	1970s	1	0	0	0	0	0	0	0	5.3781e-05
Finished Attic or Cathedral Ceilings	CR05	1980s	1	0	0	0	0	0	0	0	5.62769e-05
Finished Attic or Cathedral Ceilings	CR05	1990s	1	0	0	0	0	0	0	0	7.63154e-05
Finished Attic or Cathedral Ceilings	CR05	2000s	1	0	0	0	0	0	0	0	0.000107014
Finished Attic or Cathedral Ceilings	CR05	2010s	1	0	0	0	0	0	0	0	2.3239e-05
Finished Attic or Cathedral Ceilings	CR06	<1940	1	0	0	0	0	0	0	0	7.6904e-05
Finished Attic or Cathedral Ceilings	CR06	1940s	1	0	0	0	0	0	0	0	1.759e-05
Finished Attic or Cathedral Ceilings	CR06	1950s	1	0	0	0	0	0	0	0	2.78072e-05
Finished Attic or Cathedral Ceilings	CR06	1960s	1	0	0	0	0	0	0	0	2.56384e-05
Finished Attic or Cathedral Ceilings	CR06	1970s	1	0	0	0	0	0	0	0	4.21123e-05
Finished Attic or Cathedral Ceilings	CR06	1980s	1	0	0	0	0	0	0	0	3.98804e-05
Finished Attic or Cathedral Ceilings	CR06	1990s	1	0	0	0	0	0	0	0	6.14841e-05
Finished Attic or Cathedral Ceilings	CR06	2000s	1	0	0	0	0	0	0	0	7.25829e-05
Finished Attic or Cathedral Ceilings	CR06	2010s	1	0	0	0	0	0	0	0	1.65264e-05
Finished Attic or Cathedral Ceilings	CR07	<1940	1	0	0	0	0	0	0	0	0.000626969
Finished Attic or Cathedral Ceilings	CR07	1940s	1	0	0	0	0	0	0	0	9.60033e-05
Finished Attic or Cathedral Ceilings	CR07	1950s	1	0	0	0	0	0	0	0	0.000186133
Finished Attic or Cathedral Ceilings	CR07	1960s	1	0	0	0	0	0	0	0	0.000119617
Finished Attic or Cathedral Ceilings	CR07	1970s	1	0	0	0	0	0	0	0	0.000112233
Finished Attic or Cathedral Ceilings	CR07	1980s	1	0	0	0	0	0	0	0	0.000160878
Finished Attic or Cathedral Ceilings	CR07	1990s	1	0	0	0	0	0	0	0	0.000149051
Finished Attic or Cathedral Ceilings	CR07	2000s	1	0	0	0	0	0	0	0	0.000146472
Finished Attic or Cathedral Ceilings	CR07	2010s	1	0	0	0	0	0	0	0	2.9153e-05
Finished Attic or Cathedral Ceilings	CR08	<1940	1	0	0	0	0	0	0	0	0.000324516
Finished Attic or Cathedral Ceilings	CR08	1940s	1	0	0	0	0	0	0	0	6.88058e-05
Finished Attic or Cathedral Ceilings	CR08	1950s	1	0	0	0	0	0	0	0	0.000136034
Finished Attic or Cathedral Ceilings	CR08	1960s	1	0	0	0	0	0	0	0	0.000121276
Finished Attic or Cathedral Ceilings	CR08	1970s	1	0	0	0	0	0	0	0	0.00016507
Finished Attic or Cathedral Ceilings	CR08	1980s	1	0	0	0	0	0	0	0	0.000234311
Finished Attic or Cathedral Ceilings	CR08	1990s	1	0	0	0	0	0	0	0	0.000253048
Finished Attic or Cathedral Ceilings	CR08	2000s	1	0	0	0	0	0	0	0	0.000280781
Finished Attic or Cathedral Ceilings	CR08	2010s	1	0	0	0	0	0	0	0	6.74889e-05
Finished Attic or Cathedral Ceilings	CR09	<1940	1	0	0	0	0	0	0	0	0.000238056
Finished Attic or Cathedral Ceilings	CR09	1940s	1	0	0	0	0	0	0	0	8.80707e-05
Finished Attic or Cathedral Ceilings	CR09	1950s	1	0	0	0	0	0	0	0	0.000217441
Finished Attic or Cathedral Ceilings	CR09	1960s	1	0	0	0	0	0	0	0	0.0002319
Finished Attic or Cathedral Ceilings	CR09	1970s	1	0	0	0	0	0	0	0	0.000336529
Finished Attic or Cathedral Ceilings	CR09	1980s	1	0	0	0	0	0	0	0	0.000502302
Finished Attic or Cathedral Ceilings	CR09	1990s	1	0	0	0	0	0	0	0	0.000506843
Finished Attic or Cathedral Ceilings	CR09	2000s	1	0	0	0	0	0	0	0	0.000743785
