	field	enumeration	enumeration_description
459	in.city	CT, Waterbury	
460	in.city	CT, West Hartford	
461	in.city	CT, West Haven	
462	in.city	DC, Washington	
463	in.city	DE, Dover	
464	in.city	DE, Wilmington	
465	in.city	FL, Alafaya	
466	in.city	FL, Altamonte Springs	
467	in.city	FL, Apopka	
468	in.city	FL, Aventura	
469	in.city	FL, Boca Raton	
470	in.city	FL, Bonita Springs	
471	in.city	FL, Boynton Beach	
472	in.city	FL, Bradenton	
473	in.city	FL, Brandon	
474	in.city	FL, Cape Coral	
475	in.city	FL, Carrollwood	
476	in.city	FL, Clearwater	
477	in.city	FL, Coconut Creek	
478	in.city	FL, Coral Gables	
479	in.city	FL, Coral Springs	
480	in.city	FL, Country Club	
481	in.city	FL, Dania Beach	
482	in.city	FL, Davie	
483	in.city	FL, Daytona Beach	
484	in.city	FL, Deerfield Beach	
485	in.city	FL, Delray Beach	
486	in.city	FL, Deltona	
487	in.city	FL, Doral	
488	in.city	FL, Dunedin	
489	in.city	FL, East Lake	
490	in.city	FL, Estero	
491	in.city	FL, Fort Lauderdale	
492	in.city	FL, Fort Myers	
493	in.city	FL, Fort Pierce	
494	in.city	FL, Fountainebleau	
495	in.city	FL, Four Corners	
496	in.city	FL, Gainesville	
497	in.city	FL, Greenacres	
498	in.city	FL, Hallandale Beach	
499	in.city	FL, Hialeah	
500	in.city	FL, Hollywood	
501	in.city	FL, Homestead	
502	in.city	FL, Jacksonville	
503	in.city	FL, Jupiter	
504	in.city	FL, Kendale Lakes	
505	in.city	FL, Kendall	
506	in.city	FL, Kissimmee	
507	in.city	FL, Lake Worth	
508	in.city	FL, Lakeland	
509	in.city	FL, Largo	
510	in.city	FL, Lauderhill	
511	in.city	FL, Lehigh Acres	
512	in.city	FL, Marco Island	
513	in.city	FL, Margate	
514	in.city	FL, Melbourne	
515	in.city	FL, Merritt Island	
516	in.city	FL, Miami	
517	in.city	FL, Miami Beach	
518	in.city	FL, Miami Gardens	
519	in.city	FL, Miramar	
520	in.city	FL, Naples	
521	in.city	FL, New Smyrna Beach	
522	in.city	FL, North Fort Myers	
523	in.city	FL, North Miami	
524	in.city	FL, North Miami Beach	
525	in.city	FL, North Port	
526	in.city	FL, Oakland Park	
527	in.city	FL, Ocala	
528	in.city	FL, Orlando	
529	in.city	FL, Ormond Beach	
530	in.city	FL, Palm Bay	
531	in.city	FL, Palm Beach Gardens	
532	in.city	FL, Palm Coast	
533	in.city	FL, Palm Harbor	
534	in.city	FL, Panama City	
535	in.city	FL, Panama City Beach	
536	in.city	FL, Pembroke Pines	
537	in.city	FL, Pensacola	
538	in.city	FL, Pine Hills	
539	in.city	FL, Pinellas Park	
540	in.city	FL, Plantation	
541	in.city	FL, Poinciana	
542	in.city	FL, Pompano Beach	
543	in.city	FL, Port Charlotte	
544	in.city	FL, Port Orange	
545	in.city	FL, Port St Lucie	
546	in.city	FL, Riverview	
547	in.city	FL, Riviera Beach	
548	in.city	FL, Sanford	
549	in.city	FL, Sarasota	
550	in.city	FL, Spring Hill	
551	in.city	FL, St Cloud	
552	in.city	FL, St Petersburg	
553	in.city	FL, Sun City Center	
554	in.city	FL, Sunny Isles Beach	
555	in.city	FL, Sunrise	
556	in.city	FL, Tallahassee	
557	in.city	FL, Tamarac	
558	in.city	FL, Tamiami	
559	in.city	FL, Tampa	
560	in.city	FL, The Hammocks	
561	in.city	FL, The Villages	
562	in.city	FL, Titusville	
563	in.city	FL, Town N Country	
564	in.city	FL, University	
565	in.city	FL, Venice	
566	in.city	FL, Wellington	
567	in.city	FL, Wesley Chapel	
568	in.city	FL, West Palm Beach	
569	in.city	FL, Weston	
570	in.city	FL, Winter Haven	
571	in.city	GA, Albany	
572	in.city	GA, Alpharetta	
573	in.city	GA, Athens-Clarke County Unified Government Balance	
574	in.city	GA, Atlanta	
575	in.city	GA, Augusta-Richmond County Consolidated Government Balance	
576	in.city	GA, Columbus	
577	in.city	GA, Dunwoody	
578	in.city	GA, East Point	
579	in.city	GA, Hinesville	
580	in.city	GA, Johns Creek	
581	in.city	GA, Mableton	
582	in.city	GA, Macon	
583	in.city	GA, Marietta	
584	in.city	GA, Newnan	
585	in.city	GA, North Atlanta	
586	in.city	GA, Rome	
587	in.city	GA, Roswell	
588	in.city	GA, Sandy Springs	
589	in.city	GA, Savannah	
590	in.city	GA, Smyrna	
591	in.city	GA, Valdosta	
592	in.city	GA, Warner Robins	
593	in.city	IA, Ames	
594	in.city	IA, Ankeny	
595	in.city	IA, Cedar Falls	
596	in.city	IA, Cedar Rapids	
597	in.city	IA, Council Bluffs	
598	in.city	IA, Davenport	
599	in.city	IA, Des Moines	
600	in.city	IA, Dubuque	
601	in.city	IA, Iowa City	
602	in.city	IA, Marion	
603	in.city	IA, Sioux City	
604	in.city	IA, Urbandale	
605	in.city	IA, Waterloo	
606	in.city	IA, West Des Moines	
607	in.city	ID, Boise City	
608	in.city	ID, Caldwell	
609	in.city	ID, Coeur Dalene	
610	in.city	ID, Idaho Falls	
611	in.city	ID, Meridian	
612	in.city	ID, Nampa	
613	in.city	ID, Pocatello	
614	in.city	ID, Twin Falls	
615	in.city	IL, Arlington Heights	
616	in.city	IL, Aurora	
617	in.city	IL, Belleville	
618	in.city	IL, Berwyn	
619	in.city	IL, Bloomington	
620	in.city	IL, Bolingbrook	
621	in.city	IL, Buffalo Grove	
622	in.city	IL, Calumet City	
623	in.city	IL, Carol Stream	
624	in.city	IL, Champaign	
