Dependency=Location Region	Dependency=Federal Poverty Level	kwhel_nrm	Count	Weight	kwhel_nrm_per_home	kwhel_nrm_total
CR08	150-200	1911487.56739	139	896892.351636	13751.7091179	12333802729.8
CR08	250-300	2495885.69922	171	1143533.79673	14595.8228025	16690816665.6
CR08	0-50	530060.868072	35	235423.716663	15144.5962306	3565397131.97
CR08	200-250	1676556.49791	117	780063.489792	14329.5427172	11177953099.1
CR08	300+	11382039.9805	695	5011381.11664	16377.0359431	82071568672.0
CR08	50-100	887189.848724	62	460809.8852	14309.5136891	6593965360.34
CR09	100-150	2795161.38052	188	1973720.44477	14867.8796836	29345038101.9
CR09	150-200	3335518.30927	205	1975291.39484	16270.8210208	32139612749.4
CR09	250-300	4201408.63661	268	2665127.52623	15676.8978978	41780932113.4
CR09	0-50	1626048.89602	117	1187811.91906	13897.8538122	16508036407.4
CR09	200-250	3101829.91462	204	2078007.3904	15205.0486011	31596203364.4
CR09	300+	18712801.7664	1046	9816111.86095	17889.8678455	1.75608943949e+11
CR09	50-100	2117369.37718	150	1626925.76777	14115.7958478	22965351997.5
CR10	100-150	221758.408736	20	240658.382569	11087.9204368	2668400998.38
CR10	150-200	197009.897949	15	162469.298427	13133.9931966	2133870660.19
CR10	250-300	243963.230144	24	293187.185005	10165.1345893	2980287195.44
CR10	0-50	88538.1833414	7	88426.701131	12648.3119059	1118448496.72
CR10	200-250	361618.933326	27	300697.217147	13393.2938269	4027326182.18
CR10	300+	2177465.70899	136	1457215.29012	16010.777272	23331149447.5
CR10	50-100	178329.390413	14	156117.246982	12737.8136009	1988592391.95
CR11	100-150	668054.141327	90	660878.79254	7422.82379252	4905586825.24
CR11	150-200	507461.778072	61	442855.8934	8319.04554216	3684138345.81
CR11	250-300	711730.254467	96	734109.510997	7413.85681737	5442582802.8
CR11	0-50	250352.574253	37	274159.669478	6766.28579062	1855042675.95
CR11	200-250	607242.59693	76	581772.04177	7990.03417013	4648378492.97
CR11	300+	5047678.58661	531	3981695.01387	9505.98603881	37849937212.6
CR11	50-100	416306.899476	51	367335.979079	8162.88038188	2998519657.18
CR12	100-150	20494.7783729	2	15903.042628	10247.3891864	162964667.057
CR12	250-300	17317.6693685	3	19718.151179	5772.55645616	113824140.892
CR12	0-50	2428.0	1	9232.784198	2428.0	22417200.0327
CR12	200-250	11738.0	1	7951.520605	11738.0	93334948.8615
CR12	300+	140227.692307	16	132564.863667	8764.23076919	1161829057.06
CR12	50-100	7313.52202575	1	7951.519832	7313.52202575	58153615.4295
