Dependency=Location EPW	Dependency=Vintage	Option=Electricity	Option=Fuel Oil	Option=Natural Gas	Option=None	Option=Other Fuel	Option=Propane
0915204_United_States_AL_Montgomery_01101_722260_32.29_-86.42_NSRDB_2.0.1_2012_AMY.epw	2000s	0.55	0.0	0.29	0.0	0.05	0.11
0742491_United_States_AR_Sebastian_05131_723440_35.33_-94.38_NSRDB_2.0.1_2012_AMY.epw	<1950	0.2	0.0	0.68	0.0	0.0	0.12
0742491_United_States_AR_Sebastian_05131_723440_35.33_-94.38_NSRDB_2.0.1_2012_AMY.epw	1950s	0.3	0.0	0.7	0.0	0.0	0.0
0742491_United_States_AR_Sebastian_05131_723440_35.33_-94.38_NSRDB_2.0.1_2012_AMY.epw	1960s	0.13	0.0	0.71	0.03	0.0	0.13
0742491_United_States_AR_Sebastian_05131_723440_35.33_-94.38_NSRDB_2.0.1_2012_AMY.epw	1970s	0.35	0.0	0.55	0.0	0.0	0.1
0742491_United_States_AR_Sebastian_05131_723440_35.33_-94.38_NSRDB_2.0.1_2012_AMY.epw	1980s	0.37	0.0	0.33	0.0	0.06	0.24
0742491_United_States_AR_Sebastian_05131_723440_35.33_-94.38_NSRDB_2.0.1_2012_AMY.epw	1990s	0.63	0.0	0.31	0.0	0.06	0.0
0742491_United_States_AR_Sebastian_05131_723440_35.33_-94.38_NSRDB_2.0.1_2012_AMY.epw	2000s	0.66	0.0	0.14	0.0	0.14	0.07
0786725_United_States_AR_Pulaski_05119_723400_34.77_-92.22_NSRDB_2.0.1_2012_AMY.epw	<1950	0.2	0.0	0.68	0.0	0.0	0.12
0786725_United_States_AR_Pulaski_05119_723400_34.77_-92.22_NSRDB_2.0.1_2012_AMY.epw	1950s	0.3	0.0	0.7	0.0	0.0	0.0
0786725_United_States_AR_Pulaski_05119_723400_34.77_-92.22_NSRDB_2.0.1_2012_AMY.epw	1960s	0.13	0.0	0.71	0.03	0.0	0.13
0786725_United_States_AR_Pulaski_05119_723400_34.77_-92.22_NSRDB_2.0.1_2012_AMY.epw	1970s	0.35	0.0	0.55	0.0	0.0	0.1
0786725_United_States_AR_Pulaski_05119_723400_34.77_-92.22_NSRDB_2.0.1_2012_AMY.epw	1980s	0.37	0.0	0.33	0.0	0.06	0.24
0786725_United_States_AR_Pulaski_05119_723400_34.77_-92.22_NSRDB_2.0.1_2012_AMY.epw	1990s	0.63	0.0	0.31	0.0	0.06	0.0
0786725_United_States_AR_Pulaski_05119_723400_34.77_-92.22_NSRDB_2.0.1_2012_AMY.epw	2000s	0.66	0.0	0.14	0.0	0.14	0.07
0319428_United_States_AZ_Coconino_04005_723760_35.13_-111.66_NSRDB_2.0.1_2012_AMY.epw	<1950	0.64	0.0	0.36	0.0	0.0	0.0
0319428_United_States_AZ_Coconino_04005_723760_35.13_-111.66_NSRDB_2.0.1_2012_AMY.epw	1950s	0.0	0.0	1.0	0.0	0.0	0.0
0319428_United_States_AZ_Coconino_04005_723760_35.13_-111.66_NSRDB_2.0.1_2012_AMY.epw	1960s	0.63	0.0	0.23	0.14	0.0	0.0
0319428_United_States_AZ_Coconino_04005_723760_35.13_-111.66_NSRDB_2.0.1_2012_AMY.epw	1970s	0.41	0.0	0.52	0.0	0.0	0.07
0319428_United_States_AZ_Coconino_04005_723760_35.13_-111.66_NSRDB_2.0.1_2012_AMY.epw	1980s	0.7	0.0	0.23	0.0	0.07	0.0
0319428_United_States_AZ_Coconino_04005_723760_35.13_-111.66_NSRDB_2.0.1_2012_AMY.epw	1990s	0.46	0.0	0.44	0.05	0.0	0.04
0319428_United_States_AZ_Coconino_04005_723760_35.13_-111.66_NSRDB_2.0.1_2012_AMY.epw	2000s	0.33	0.0	0.67	0.0	0.0	0.0
0312258_United_States_AZ_Maricopa_04013_746260_33.45_-111.98_NSRDB_2.0.1_2012_AMY.epw	<1950	0.64	0.0	0.36	0.0	0.0	0.0
0312258_United_States_AZ_Maricopa_04013_746260_33.45_-111.98_NSRDB_2.0.1_2012_AMY.epw	1950s	0.0	0.0	1.0	0.0	0.0	0.0
0312258_United_States_AZ_Maricopa_04013_746260_33.45_-111.98_NSRDB_2.0.1_2012_AMY.epw	1960s	0.63	0.0	0.23	0.14	0.0	0.0
0312258_United_States_AZ_Maricopa_04013_746260_33.45_-111.98_NSRDB_2.0.1_2012_AMY.epw	1970s	0.41	0.0	0.52	0.0	0.0	0.07
0312258_United_States_AZ_Maricopa_04013_746260_33.45_-111.98_NSRDB_2.0.1_2012_AMY.epw	1980s	0.7	0.0	0.23	0.0	0.07	0.0
0312258_United_States_AZ_Maricopa_04013_746260_33.45_-111.98_NSRDB_2.0.1_2012_AMY.epw	1990s	0.46	0.0	0.44	0.05	0.0	0.04
0312258_United_States_AZ_Maricopa_04013_746260_33.45_-111.98_NSRDB_2.0.1_2012_AMY.epw	2000s	0.33	0.0	0.67	0.0	0.0	0.0
0303097_United_States_AZ_Yavapai_04025_723760_34.65_-112.42_NSRDB_2.0.1_2012_AMY.epw	<1950	0.64	0.0	0.36	0.0	0.0	0.0
0303097_United_States_AZ_Yavapai_04025_723760_34.65_-112.42_NSRDB_2.0.1_2012_AMY.epw	1950s	0.0	0.0	1.0	0.0	0.0	0.0
0303097_United_States_AZ_Yavapai_04025_723760_34.65_-112.42_NSRDB_2.0.1_2012_AMY.epw	1960s	0.63	0.0	0.23	0.14	0.0	0.0
0303097_United_States_AZ_Yavapai_04025_723760_34.65_-112.42_NSRDB_2.0.1_2012_AMY.epw	1970s	0.41	0.0	0.52	0.0	0.0	0.07
0303097_United_States_AZ_Yavapai_04025_723760_34.65_-112.42_NSRDB_2.0.1_2012_AMY.epw	1980s	0.7	0.0	0.23	0.0	0.07	0.0
0303097_United_States_AZ_Yavapai_04025_723760_34.65_-112.42_NSRDB_2.0.1_2012_AMY.epw	1990s	0.46	0.0	0.44	0.05	0.0	0.04
0303097_United_States_AZ_Yavapai_04025_723760_34.65_-112.42_NSRDB_2.0.1_2012_AMY.epw	2000s	0.33	0.0	0.67	0.0	0.0	0.0
0335177_United_States_AZ_Pima_04019_722740_32.13_-110.94_NSRDB_2.0.1_2012_AMY.epw	<1950	0.64	0.0	0.36	0.0	0.0	0.0
0335177_United_States_AZ_Pima_04019_722740_32.13_-110.94_NSRDB_2.0.1_2012_AMY.epw	1950s	0.0	0.0	1.0	0.0	0.0	0.0
0335177_United_States_AZ_Pima_04019_722740_32.13_-110.94_NSRDB_2.0.1_2012_AMY.epw	1960s	0.63	0.0	0.23	0.14	0.0	0.0
0335177_United_States_AZ_Pima_04019_722740_32.13_-110.94_NSRDB_2.0.1_2012_AMY.epw	1970s	0.41	0.0	0.52	0.0	0.0	0.07
0335177_United_States_AZ_Pima_04019_722740_32.13_-110.94_NSRDB_2.0.1_2012_AMY.epw	1980s	0.7	0.0	0.23	0.0	0.07	0.0
0335177_United_States_AZ_Pima_04019_722740_32.13_-110.94_NSRDB_2.0.1_2012_AMY.epw	1990s	0.46	0.0	0.44	0.05	0.0	0.04
0335177_United_States_AZ_Pima_04019_722740_32.13_-110.94_NSRDB_2.0.1_2012_AMY.epw	2000s	0.33	0.0	0.67	0.0	0.0	0.0
0101017_United_States_CA_Humboldt_06023_725940_40.97_-124.1_NSRDB_2.0.1_2012_AMY.epw	<1950	0.08	0.0	0.75	0.12	0.04	0.01
0101017_United_States_CA_Humboldt_06023_725940_40.97_-124.1_NSRDB_2.0.1_2012_AMY.epw	1950s	0.11	0.0	0.74	0.13	0.01	0.01
0101017_United_States_CA_Humboldt_06023_725940_40.97_-124.1_NSRDB_2.0.1_2012_AMY.epw	1960s	0.1	0.0	0.75	0.12	0.02	0.01
0101017_United_States_CA_Humboldt_06023_725940_40.97_-124.1_NSRDB_2.0.1_2012_AMY.epw	1970s	0.19	0.0	0.66	0.06	0.07	0.02
0101017_United_States_CA_Humboldt_06023_725940_40.97_-124.1_NSRDB_2.0.1_2012_AMY.epw	1980s	0.13	0.0	0.67	0.08	0.08	0.04
0101017_United_States_CA_Humboldt_06023_725940_40.97_-124.1_NSRDB_2.0.1_2012_AMY.epw	1990s	0.17	0.01	0.68	0.06	0.01	0.07
0101017_United_States_CA_Humboldt_06023_725940_40.97_-124.1_NSRDB_2.0.1_2012_AMY.epw	2000s	0.12	0.01	0.76	0.03	0.01	0.07
0176998_United_States_CA_Kern_06029_723840_35.45_-119.06_NSRDB_2.0.1_2012_AMY.epw	<1950	0.08	0.0	0.75	0.12	0.04	0.01
0176998_United_States_CA_Kern_06029_723840_35.45_-119.06_NSRDB_2.0.1_2012_AMY.epw	1950s	0.11	0.0	0.74	0.13	0.01	0.01
0176998_United_States_CA_Kern_06029_723840_35.45_-119.06_NSRDB_2.0.1_2012_AMY.epw	1960s	0.1	0.0	0.75	0.12	0.02	0.01
0176998_United_States_CA_Kern_06029_723840_35.45_-119.06_NSRDB_2.0.1_2012_AMY.epw	1970s	0.19	0.0	0.66	0.06	0.07	0.02
0176998_United_States_CA_Kern_06029_723840_35.45_-119.06_NSRDB_2.0.1_2012_AMY.epw	1980s	0.13	0.0	0.67	0.08	0.08	0.04
0176998_United_States_CA_Kern_06029_723840_35.45_-119.06_NSRDB_2.0.1_2012_AMY.epw	1990s	0.17	0.01	0.68	0.06	0.01	0.07
0176998_United_States_CA_Kern_06029_723840_35.45_-119.06_NSRDB_2.0.1_2012_AMY.epw	2000s	0.12	0.01	0.76	0.03	0.01	0.07
0215768_United_States_CA_San_Bernardino_06071_746110.0_34.85_-116.82_NSRDB_2.0.1_2012_AMY.epw	<1950	0.08	0.0	0.75	0.12	0.04	0.01
0215768_United_States_CA_San_Bernardino_06071_746110.0_34.85_-116.82_NSRDB_2.0.1_2012_AMY.epw	1950s	0.11	0.0	0.74	0.13	0.01	0.01
0215768_United_States_CA_San_Bernardino_06071_746110.0_34.85_-116.82_NSRDB_2.0.1_2012_AMY.epw	1960s	0.1	0.0	0.75	0.12	0.02	0.01
0215768_United_States_CA_San_Bernardino_06071_746110.0_34.85_-116.82_NSRDB_2.0.1_2012_AMY.epw	1970s	0.19	0.0	0.66	0.06	0.07	0.02
0215768_United_States_CA_San_Bernardino_06071_746110.0_34.85_-116.82_NSRDB_2.0.1_2012_AMY.epw	1980s	0.13	0.0	0.67	0.08	0.08	0.04
0215768_United_States_CA_San_Bernardino_06071_746110.0_34.85_-116.82_NSRDB_2.0.1_2012_AMY.epw	1990s	0.17	0.01	0.68	0.06	0.01	0.07
0215768_United_States_CA_San_Bernardino_06071_746110.0_34.85_-116.82_NSRDB_2.0.1_2012_AMY.epw	2000s	0.12	0.01	0.76	0.03	0.01	0.07
0166725_United_States_CA_Fresno_06019_723890_36.77_-119.7_NSRDB_2.0.1_2012_AMY.epw	<1950	0.08	0.0	0.75	0.12	0.04	0.01
0166725_United_States_CA_Fresno_06019_723890_36.77_-119.7_NSRDB_2.0.1_2012_AMY.epw	1950s	0.11	0.0	0.74	0.13	0.01	0.01
0166725_United_States_CA_Fresno_06019_723890_36.77_-119.7_NSRDB_2.0.1_2012_AMY.epw	1960s	0.1	0.0	0.75	0.12	0.02	0.01
0166725_United_States_CA_Fresno_06019_723890_36.77_-119.7_NSRDB_2.0.1_2012_AMY.epw	1970s	0.19	0.0	0.66	0.06	0.07	0.02
0166725_United_States_CA_Fresno_06019_723890_36.77_-119.7_NSRDB_2.0.1_2012_AMY.epw	1980s	0.13	0.0	0.67	0.08	0.08	0.04
0166725_United_States_CA_Fresno_06019_723890_36.77_-119.7_NSRDB_2.0.1_2012_AMY.epw	1990s	0.17	0.01	0.68	0.06	0.01	0.07
0166725_United_States_CA_Fresno_06019_723890_36.77_-119.7_NSRDB_2.0.1_2012_AMY.epw	2000s	0.12	0.01	0.76	0.03	0.01	0.07
0192307_United_States_CA_Los_Angeles_06037_722970.0_33.85_-118.18_NSRDB_2.0.1_2012_AMY.epw	<1950	0.08	0.0	0.75	0.12	0.04	0.01
0192307_United_States_CA_Los_Angeles_06037_722970.0_33.85_-118.18_NSRDB_2.0.1_2012_AMY.epw	1950s	0.11	0.0	0.74	0.13	0.01	0.01
0192307_United_States_CA_Los_Angeles_06037_722970.0_33.85_-118.18_NSRDB_2.0.1_2012_AMY.epw	1960s	0.1	0.0	0.75	0.12	0.02	0.01
0192307_United_States_CA_Los_Angeles_06037_722970.0_33.85_-118.18_NSRDB_2.0.1_2012_AMY.epw	1970s	0.19	0.0	0.66	0.06	0.07	0.02
0192307_United_States_CA_Los_Angeles_06037_722970.0_33.85_-118.18_NSRDB_2.0.1_2012_AMY.epw	1980s	0.13	0.0	0.67	0.08	0.08	0.04
0192307_United_States_CA_Los_Angeles_06037_722970.0_33.85_-118.18_NSRDB_2.0.1_2012_AMY.epw	1990s	0.17	0.01	0.68	0.06	0.01	0.07
0192307_United_States_CA_Los_Angeles_06037_722970.0_33.85_-118.18_NSRDB_2.0.1_2012_AMY.epw	2000s	0.12	0.01	0.76	0.03	0.01	0.07
0187962_United_States_CA_Los_Angeles_06037_722950.0_33.93_-118.42_NSRDB_2.0.1_2012_AMY.epw	<1950	0.08	0.0	0.75	0.12	0.04	0.01
0187962_United_States_CA_Los_Angeles_06037_722950.0_33.93_-118.42_NSRDB_2.0.1_2012_AMY.epw	1950s	0.11	0.0	0.74	0.13	0.01	0.01
0187962_United_States_CA_Los_Angeles_06037_722950.0_33.93_-118.42_NSRDB_2.0.1_2012_AMY.epw	1960s	0.1	0.0	0.75	0.12	0.02	0.01
0187962_United_States_CA_Los_Angeles_06037_722950.0_33.93_-118.42_NSRDB_2.0.1_2012_AMY.epw	1970s	0.19	0.0	0.66	0.06	0.07	0.02
0187962_United_States_CA_Los_Angeles_06037_722950.0_33.93_-118.42_NSRDB_2.0.1_2012_AMY.epw	1980s	0.13	0.0	0.67	0.08	0.08	0.04
0187962_United_States_CA_Los_Angeles_06037_722950.0_33.93_-118.42_NSRDB_2.0.1_2012_AMY.epw	1990s	0.17	0.01	0.68	0.06	0.01	0.07
0187962_United_States_CA_Los_Angeles_06037_722950.0_33.93_-118.42_NSRDB_2.0.1_2012_AMY.epw	2000s	0.12	0.01	0.76	0.03	0.01	0.07
0138102_United_States_CA_Sacramento_06067_724830_38.49_-121.5_NSRDB_2.0.1_2012_AMY.epw	<1950	0.08	0.0	0.75	0.12	0.04	0.01
0138102_United_States_CA_Sacramento_06067_724830_38.49_-121.5_NSRDB_2.0.1_2012_AMY.epw	1950s	0.11	0.0	0.74	0.13	0.01	0.01
0138102_United_States_CA_Sacramento_06067_724830_38.49_-121.5_NSRDB_2.0.1_2012_AMY.epw	1960s	0.1	0.0	0.75	0.12	0.02	0.01
0138102_United_States_CA_Sacramento_06067_724830_38.49_-121.5_NSRDB_2.0.1_2012_AMY.epw	1970s	0.19	0.0	0.66	0.06	0.07	0.02
0138102_United_States_CA_Sacramento_06067_724830_38.49_-121.5_NSRDB_2.0.1_2012_AMY.epw	1980s	0.13	0.0	0.67	0.08	0.08	0.04
0138102_United_States_CA_Sacramento_06067_724830_38.49_-121.5_NSRDB_2.0.1_2012_AMY.epw	1990s	0.17	0.01	0.68	0.06	0.01	0.07
0138102_United_States_CA_Sacramento_06067_724830_38.49_-121.5_NSRDB_2.0.1_2012_AMY.epw	2000s	0.12	0.01	0.76	0.03	0.01	0.07
0209523_United_States_CA_San_Diego_06073_722900.0_32.73_-117.18_NSRDB_2.0.1_2012_AMY.epw	<1950	0.08	0.0	0.75	0.12	0.04	0.01
0209523_United_States_CA_San_Diego_06073_722900.0_32.73_-117.18_NSRDB_2.0.1_2012_AMY.epw	1950s	0.11	0.0	0.74	0.13	0.01	0.01
0209523_United_States_CA_San_Diego_06073_722900.0_32.73_-117.18_NSRDB_2.0.1_2012_AMY.epw	1960s	0.1	0.0	0.75	0.12	0.02	0.01
0209523_United_States_CA_San_Diego_06073_722900.0_32.73_-117.18_NSRDB_2.0.1_2012_AMY.epw	1970s	0.19	0.0	0.66	0.06	0.07	0.02
0209523_United_States_CA_San_Diego_06073_722900.0_32.73_-117.18_NSRDB_2.0.1_2012_AMY.epw	1980s	0.13	0.0	0.67	0.08	0.08	0.04
0209523_United_States_CA_San_Diego_06073_722900.0_32.73_-117.18_NSRDB_2.0.1_2012_AMY.epw	1990s	0.17	0.01	0.68	0.06	0.01	0.07
0209523_United_States_CA_San_Diego_06073_722900.0_32.73_-117.18_NSRDB_2.0.1_2012_AMY.epw	2000s	0.12	0.01	0.76	0.03	0.01	0.07
0123959_United_States_CA_San_Mateo_06081_724940.0_37.61_-122.42_NSRDB_2.0.1_2012_AMY.epw	<1950	0.08	0.0	0.75	0.12	0.04	0.01
0123959_United_States_CA_San_Mateo_06081_724940.0_37.61_-122.42_NSRDB_2.0.1_2012_AMY.epw	1950s	0.11	0.0	0.74	0.13	0.01	0.01
0123959_United_States_CA_San_Mateo_06081_724940.0_37.61_-122.42_NSRDB_2.0.1_2012_AMY.epw	1960s	0.1	0.0	0.75	0.12	0.02	0.01
0123959_United_States_CA_San_Mateo_06081_724940.0_37.61_-122.42_NSRDB_2.0.1_2012_AMY.epw	1970s	0.19	0.0	0.66	0.06	0.07	0.02
0123959_United_States_CA_San_Mateo_06081_724940.0_37.61_-122.42_NSRDB_2.0.1_2012_AMY.epw	1980s	0.13	0.0	0.67	0.08	0.08	0.04
0123959_United_States_CA_San_Mateo_06081_724940.0_37.61_-122.42_NSRDB_2.0.1_2012_AMY.epw	1990s	0.17	0.01	0.68	0.06	0.01	0.07
0123959_United_States_CA_San_Mateo_06081_724940.0_37.61_-122.42_NSRDB_2.0.1_2012_AMY.epw	2000s	0.12	0.01	0.76	0.03	0.01	0.07
0154150_United_States_CA_Santa_Barbara_06083_723940.0_34.93_-120.46_NSRDB_2.0.1_2012_AMY.epw	<1950	0.08	0.0	0.75	0.12	0.04	0.01
0154150_United_States_CA_Santa_Barbara_06083_723940.0_34.93_-120.46_NSRDB_2.0.1_2012_AMY.epw	1950s	0.11	0.0	0.74	0.13	0.01	0.01
0154150_United_States_CA_Santa_Barbara_06083_723940.0_34.93_-120.46_NSRDB_2.0.1_2012_AMY.epw	1960s	0.1	0.0	0.75	0.12	0.02	0.01
0154150_United_States_CA_Santa_Barbara_06083_723940.0_34.93_-120.46_NSRDB_2.0.1_2012_AMY.epw	1970s	0.19	0.0	0.66	0.06	0.07	0.02
0154150_United_States_CA_Santa_Barbara_06083_723940.0_34.93_-120.46_NSRDB_2.0.1_2012_AMY.epw	1980s	0.13	0.0	0.67	0.08	0.08	0.04
0154150_United_States_CA_Santa_Barbara_06083_723940.0_34.93_-120.46_NSRDB_2.0.1_2012_AMY.epw	1990s	0.17	0.01	0.68	0.06	0.01	0.07
0154150_United_States_CA_Santa_Barbara_06083_723940.0_34.93_-120.46_NSRDB_2.0.1_2012_AMY.epw	2000s	0.12	0.01	0.76	0.03	0.01	0.07
0449343_United_States_CO_Alamosa_08003_724620_37.45_-105.86_NSRDB_2.0.1_2012_AMY.epw	<1950	0.0	0.0	0.9	0.1	0.0	0.0
0449343_United_States_CO_Alamosa_08003_724620_37.45_-105.86_NSRDB_2.0.1_2012_AMY.epw	1950s	0.0	0.0	0.96	0.0	0.0	0.04
0449343_United_States_CO_Alamosa_08003_724620_37.45_-105.86_NSRDB_2.0.1_2012_AMY.epw	1960s	0.0	0.0	1.0	0.0	0.0	0.0
0449343_United_States_CO_Alamosa_08003_724620_37.45_-105.86_NSRDB_2.0.1_2012_AMY.epw	1970s	0.18	0.0	0.69	0.0	0.05	0.09
0449343_United_States_CO_Alamosa_08003_724620_37.45_-105.86_NSRDB_2.0.1_2012_AMY.epw	1980s	0.07	0.0	0.82	0.0	0.0	0.1
0449343_United_States_CO_Alamosa_08003_724620_37.45_-105.86_NSRDB_2.0.1_2012_AMY.epw	1990s	0.12	0.0	0.68	0.0	0.02	0.19
0449343_United_States_CO_Alamosa_08003_724620_37.45_-105.86_NSRDB_2.0.1_2012_AMY.epw	2000s	0.02	0.0	0.79	0.0	0.15	0.03
0465925_United_States_CO_Boulder_08013_724690_40.13_-105.22_NSRDB_2.0.1_2012_AMY.epw	<1950	0.0	0.0	0.9	0.1	0.0	0.0
0465925_United_States_CO_Boulder_08013_724690_40.13_-105.22_NSRDB_2.0.1_2012_AMY.epw	1950s	0.0	0.0	0.96	0.0	0.0	0.04
0465925_United_States_CO_Boulder_08013_724690_40.13_-105.22_NSRDB_2.0.1_2012_AMY.epw	1960s	0.0	0.0	1.0	0.0	0.0	0.0
0465925_United_States_CO_Boulder_08013_724690_40.13_-105.22_NSRDB_2.0.1_2012_AMY.epw	1970s	0.18	0.0	0.69	0.0	0.05	0.09
0465925_United_States_CO_Boulder_08013_724690_40.13_-105.22_NSRDB_2.0.1_2012_AMY.epw	1980s	0.07	0.0	0.82	0.0	0.0	0.1
0465925_United_States_CO_Boulder_08013_724690_40.13_-105.22_NSRDB_2.0.1_2012_AMY.epw	1990s	0.12	0.0	0.68	0.0	0.02	0.19
0465925_United_States_CO_Boulder_08013_724690_40.13_-105.22_NSRDB_2.0.1_2012_AMY.epw	2000s	0.02	0.0	0.79	0.0	0.15	0.03
0478381_United_States_CO_El_Paso_08041_724660.0_38.81_-104.70_NSRDB_2.0.1_2012_AMY.epw	<1950	0.0	0.0	0.9	0.1	0.0	0.0
0478381_United_States_CO_El_Paso_08041_724660.0_38.81_-104.70_NSRDB_2.0.1_2012_AMY.epw	1950s	0.0	0.0	0.96	0.0	0.0	0.04
0478381_United_States_CO_El_Paso_08041_724660.0_38.81_-104.70_NSRDB_2.0.1_2012_AMY.epw	1960s	0.0	0.0	1.0	0.0	0.0	0.0
0478381_United_States_CO_El_Paso_08041_724660.0_38.81_-104.70_NSRDB_2.0.1_2012_AMY.epw	1970s	0.18	0.0	0.69	0.0	0.05	0.09
0478381_United_States_CO_El_Paso_08041_724660.0_38.81_-104.70_NSRDB_2.0.1_2012_AMY.epw	1980s	0.07	0.0	0.82	0.0	0.0	0.1
0478381_United_States_CO_El_Paso_08041_724660.0_38.81_-104.70_NSRDB_2.0.1_2012_AMY.epw	1990s	0.12	0.0	0.68	0.0	0.02	0.19
0478381_United_States_CO_El_Paso_08041_724660.0_38.81_-104.70_NSRDB_2.0.1_2012_AMY.epw	2000s	0.02	0.0	0.79	0.0	0.15	0.03
0424575_United_States_CO_Eagle_08037_744210_39.65_-106.9_NSRDB_2.0.1_2012_AMY.epw	<1950	0.0	0.0	0.9	0.1	0.0	0.0
0424575_United_States_CO_Eagle_08037_744210_39.65_-106.9_NSRDB_2.0.1_2012_AMY.epw	1950s	0.0	0.0	0.96	0.0	0.0	0.04
0424575_United_States_CO_Eagle_08037_744210_39.65_-106.9_NSRDB_2.0.1_2012_AMY.epw	1960s	0.0	0.0	1.0	0.0	0.0	0.0
0424575_United_States_CO_Eagle_08037_744210_39.65_-106.9_NSRDB_2.0.1_2012_AMY.epw	1970s	0.18	0.0	0.69	0.0	0.05	0.09
0424575_United_States_CO_Eagle_08037_744210_39.65_-106.9_NSRDB_2.0.1_2012_AMY.epw	1980s	0.07	0.0	0.82	0.0	0.0	0.1
0424575_United_States_CO_Eagle_08037_744210_39.65_-106.9_NSRDB_2.0.1_2012_AMY.epw	1990s	0.12	0.0	0.68	0.0	0.02	0.19
