Dependency=Location EPW	Option=<1950	Option=1950s	Option=1960s	Option=1970s	Option=1980s	Option=1990s	Option=2000s
0507311_US_NM_Quay_35037_0-20000-0-74731_35.17_-103.58_NSRDB_2.0.1_AMY.epw	0.2	0.17	0.15	0.17	0.12	0.11	0.07
0303097_US_AZ_Yavapai_4025_0-20000-0-72376_34.65_-112.42_NSRDB_2.0.1_AMY.epw	0.04	0.03	0.05	0.17	0.22	0.25	0.24
0319428_US_AZ_Coconino_4005_0-20000-0-72376_35.13_-111.66_NSRDB_2.0.1_AMY.epw	0.04	0.05	0.1	0.2	0.23	0.2	0.16
0215768_US_CA_San_Bernardino_6071_0-20000-0-74611_34.85_-116.82_NSRDB_2.0.1_AMY.epw	0.06	0.1	0.1	0.16	0.24	0.13	0.2
0176998_US_CA_Kern_6029_0-20000-0-72384_35.45_-119.06_NSRDB_2.0.1_AMY.epw	0.12	0.12	0.1	0.15	0.16	0.15	0.2
0247402_US_NV_Clark_32003_0-20000-0-72386_36.09_-115.14_NSRDB_2.0.1_AMY.epw	0.01	0.02	0.04	0.09	0.13	0.3	0.4
0166725_US_CA_Fresno_6019_0-20000-0-72389_36.77_-119.7_NSRDB_2.0.1_AMY.epw	0.11	0.1	0.1	0.18	0.15	0.16	0.19
0154150_US_CA_Santa_Barbara_6083_0-20000-0-72394_34.93_-120.46_NSRDB_2.0.1_AMY.epw	0.1	0.1	0.16	0.18	0.2	0.12	0.14
1123808_US_VA_Henrico_51087_0-20000-0-72401_37.53_-77.3_NSRDB_2.0.1_AMY.epw	0.12	0.09	0.1	0.16	0.17	0.18	0.17
1118396_US_VA_Loudoun_51107_0-20000-0-72403_38.97_-77.46_NSRDB_2.0.1_AMY.epw	0.12	0.1	0.11	0.16	0.18	0.16	0.17
1142439_US_MD_Anne_Arundel_24003_0-20000-0-72406_39.17_-76.7_NSRDB_2.0.1_AMY.epw	0.15	0.13	0.14	0.15	0.16	0.15	0.12
1212830_US_NJ_Atlantic_34001_0-20000-0-72407_39.45_-74.58_NSRDB_2.0.1_AMY.epw	0.12	0.11	0.13	0.18	0.17	0.13	0.16
1192839_US_NJ_Gloucester_34015_0-20000-0-72408_39.85_-75.22_NSRDB_2.0.1_AMY.epw	0.21	0.18	0.14	0.15	0.12	0.1	0.09
1180747_US_DE_New_Castle_10003_0-20000-0-72418_39.65_-75.58_NSRDB_2.0.1_AMY.epw	0.16	0.12	0.11	0.13	0.14	0.17	0.17
1070553_US_VA_Campbell_51031_0-20000-0-72410_37.33_-79.18_NSRDB_2.0.1_AMY.epw	0.17	0.1	0.12	0.16	0.14	0.18	0.13
1052460_US_VA_Roanoke_51770_0-20000-0-72411_37.33_-79.98_NSRDB_2.0.1_AMY.epw	0.21	0.11	0.11	0.18	0.13	0.15	0.11
1015813_US_WV_Kanawha_54039_0-20000-0-72414_38.37_-81.58_NSRDB_2.0.1_AMY.epw	0.25	0.13	0.1	0.18	0.13	0.13	0.08
1055168_US_WV_Randolph_54083_0-20000-0-72417_38.89_-79.86_NSRDB_2.0.1_AMY.epw	0.28	0.1	0.1	0.17	0.14	0.13	0.09
0951484_US_KY_Boone_21015_0-20000-0-72421_39.05_-84.66_NSRDB_2.0.1_AMY.epw	0.22	0.13	0.11	0.14	0.11	0.16	0.13
0952710_US_KY_Fayette_21067_0-20000-0-72422_38.05_-84.58_NSRDB_2.0.1_AMY.epw	0.13	0.08	0.11	0.17	0.15	0.2	0.17
0928593_US_KY_Jefferson_21111_0-20000-0-72423_38.17_-85.74_NSRDB_2.0.1_AMY.epw	0.18	0.12	0.12	0.16	0.11	0.16	0.15
0996055_US_WV_Wayne_54099_0-20000-0-72425_38.37_-82.54_NSRDB_2.0.1_AMY.epw	0.21	0.11	0.11	0.18	0.14	0.16	0.1
0988702_US_OH_Franklin_39049_0-20000-0-72428_39.97_-82.9_NSRDB_2.0.1_AMY.epw	0.21	0.11	0.11	0.14	0.11	0.16	0.15
0960702_US_OH_Montgomery_39113_0-20001-0-72429_39.89_-84.22_NSRDB_2.0.1_AMY.epw	0.27	0.15	0.15	0.16	0.08	0.11	0.09
0891926_US_IN_Vanderburgh_18163_0-20000-0-72432_38.05_-87.54_NSRDB_2.0.1_AMY.epw	0.25	0.12	0.11	0.17	0.11	0.13	0.1
0827825_US_MO_St._Louis_29189_0-20000-0-72434_38.77_-90.38_NSRDB_2.0.1_AMY.epw	0.22	0.14	0.13	0.14	0.12	0.13	0.12
0918490_US_IN_Marion_18097_0-20000-0-72438_39.73_-86.26_NSRDB_2.0.1_AMY.epw	0.23	0.11	0.11	0.13	0.09	0.16	0.16
0843767_US_IL_Sangamon_17167_0-20000-0-72439_39.85_-89.7_NSRDB_2.0.1_AMY.epw	0.3	0.13	0.12	0.16	0.08	0.11	0.09
0762564_US_MO_Greene_29077_0-20000-0-72440_37.25_-93.38_NSRDB_2.0.1_AMY.epw	0.14	0.07	0.09	0.17	0.14	0.2	0.19
0786796_US_MO_Boone_29019_0-20000-0-72445_38.81_-92.22_NSRDB_2.0.1_AMY.epw	0.18	0.09	0.11	0.17	0.14	0.16	0.15
0735452_US_MO_Platte_29165_0-20000-0-72446_39.29_-94.7_NSRDB_2.0.1_AMY.epw	0.19	0.13	0.12	0.15	0.12	0.14	0.15
0674071_US_KS_Sedgwick_20173_0-20000-0-72450_37.65_-97.42_NSRDB_2.0.1_AMY.epw	0.27	0.17	0.09	0.14	0.11	0.12	0.1
0603294_US_KS_Ford_20057_0-20000-0-72451_37.77_-99.98_NSRDB_2.0.1_AMY.epw	0.29	0.13	0.13	0.18	0.12	0.09	0.06
0716134_US_KS_Shawnee_20177_0-20000-0-72456_39.05_-95.62_NSRDB_2.0.1_AMY.epw	0.28	0.11	0.1	0.16	0.1	0.12	0.11
0449343_US_CO_Alamosa_8003_0-20000-0-72462_37.45_-105.86_NSRDB_2.0.1_AMY.epw	0.19	0.06	0.07	0.17	0.16	0.19	0.15
0483733_US_CO_Pueblo_8101_0-20000-0-72464_38.29_-104.5_NSRDB_2.0.1_AMY.epw	0.27	0.13	0.1	0.15	0.07	0.13	0.14
0557418_US_KS_Sherman_20181_0-20000-0-72465_39.37_-101.7_NSRDB_2.0.1_AMY.epw	0.38	0.13	0.12	0.17	0.1	0.07	0.04
0478381_US_CO_El_Paso_8041_0-20000-0-72466_38.81_-104.7_NSRDB_2.0.1_AMY.epw	0.06	0.05	0.07	0.16	0.17	0.22	0.27
0424575_US_CO_Eagle_8037_0-20000-0-74421_39.65_-106.9_NSRDB_2.0.1_AMY.epw	0.11	0.05	0.07	0.22	0.16	0.23	0.17
0465925_US_CO_Boulder_8013_0-20000-0-72469_40.13_-105.22_NSRDB_2.0.1_AMY.epw	0.11	0.1	0.11	0.2	0.14	0.17	0.18
0288222_US_UT_Iron_49021_0-20000-0-72475_37.69_-113.1_NSRDB_2.0.1_AMY.epw	0.1	0.03	0.04	0.14	0.15	0.25	0.28
0388443_US_CO_Mesa_8077_0-20000-0-72476_39.13_-108.54_NSRDB_2.0.1_AMY.epw	0.13	0.06	0.06	0.21	0.14	0.19	0.2
0138102_US_CA_Sacramento_6067_0-20000-0-72483_38.49_-121.5_NSRDB_2.0.1_AMY.epw	0.1	0.1	0.1	0.18	0.17	0.16	0.2
0210592_US_NV_Nye_32023_0-20000-0-72480_38.05_-117.1_NSRDB_2.0.1_AMY.epw	0.19	0.09	0.1	0.24	0.2	0.1	0.08
0252977_US_NV_White_Pine_32033_0-20000-0-72486_39.29_-114.86_NSRDB_2.0.1_AMY.epw	0.36	0.08	0.03	0.16	0.15	0.16	0.06
0165368_US_NV_Washoe_32031_0-20000-0-72488_39.49_-119.78_NSRDB_2.0.1_AMY.epw	0.06	0.06	0.09	0.21	0.17	0.2	0.21
0123959_US_CA_San_Mateo_6081_0-20000-0-72494_37.61_-122.42_NSRDB_2.0.1_AMY.epw	0.19	0.17	0.16	0.19	0.12	0.09	0.08
1225556_US_NJ_Essex_34013_0-20000-0-72502_40.73_-74.18_NSRDB_2.0.1_AMY.epw	0.26	0.2	0.16	0.12	0.1	0.09	0.07
1259614_US_CT_Fairfield_9001_0-20000-0-72504_41.17_-73.14_NSRDB_2.0.1_AMY.epw	0.19	0.17	0.19	0.17	0.12	0.09	0.07
1314625_US_RI_Kent_44003_0-20000-0-72507_41.73_-71.42_NSRDB_2.0.1_AMY.epw	0.29	0.12	0.12	0.14	0.15	0.1	0.08
1272835_US_CT_Hartford_9003_0-20000-0-72508_41.93_-72.7_NSRDB_2.0.1_AMY.epw	0.27	0.17	0.14	0.14	0.13	0.08	0.07
1327892_US_MA_Suffolk_25025_0-20000-0-72509_42.37_-71.02_NSRDB_2.0.1_AMY.epw	0.34	0.14	0.13	0.12	0.11	0.08	0.07
1299055_US_MA_Worcester_25027_0-20000-0-72510_42.25_-71.9_NSRDB_2.0.1_AMY.epw	0.31	0.11	0.1	0.13	0.15	0.12	0.1
1137624_US_PA_York_42133_0-20000-0-72399_40.21_-76.86_NSRDB_2.0.1_AMY.epw	0.24	0.11	0.09	0.15	0.14	0.14	0.13
1175460_US_PA_Luzerne_42079_0-20000-0-72513_41.33_-75.74_NSRDB_2.0.1_AMY.epw	0.35	0.08	0.08	0.15	0.14	0.11	0.09
1136992_US_PA_Lycoming_42081_0-20000-0-72514_41.25_-76.9_NSRDB_2.0.1_AMY.epw	0.34	0.1	0.09	0.16	0.12	0.12	0.08
1166820_US_NY_Broome_36007_0-20000-0-72515_42.21_-75.98_NSRDB_2.0.1_AMY.epw	0.38	0.11	0.1	0.14	0.12	0.09	0.06
1185049_US_PA_Lehigh_42077_0-20000-0-72517_40.65_-75.46_NSRDB_2.0.1_AMY.epw	0.23	0.11	0.1	0.14	0.14	0.15	0.13
1239413_US_NY_Albany_36001_0-20000-0-72518_42.77_-73.78_NSRDB_2.0.1_AMY.epw	0.34	0.12	0.1	0.13	0.13	0.1	0.09
1163069_US_NY_Onondaga_36067_0-20000-0-72519_43.13_-76.1_NSRDB_2.0.1_AMY.epw	0.36	0.14	0.1	0.12	0.11	0.09	0.07
1046536_US_PA_Allegheny_42003_0-20000-0-72520_40.49_-80.22_NSRDB_2.0.1_AMY.epw	0.36	0.17	0.11	0.13	0.08	0.08	0.07
1019172_US_OH_Summit_39153_0-20000-0-72521_40.93_-81.42_NSRDB_2.0.1_AMY.epw	0.29	0.15	0.12	0.15	0.08	0.11	0.09
1009747_US_OH_Cuyahoga_39035_0-20000-0-72524_41.41_-81.86_NSRDB_2.0.1_AMY.epw	0.29	0.21	0.13	0.12	0.07	0.09	0.07
0997215_US_OH_Richland_39139_0-20000-0-72420_40.81_-82.5_NSRDB_2.0.1_AMY.epw	0.32	0.12	0.11	0.14	0.08	0.12	0.1
1036547_US_OH_Trumbull_39155_0-20000-0-72525_41.25_-80.66_NSRDB_2.0.1_AMY.epw	0.31	0.17	0.12	0.15	0.07	0.1	0.07
1047213_US_PA_Erie_42049_0-20000-0-72526_42.09_-80.18_NSRDB_2.0.1_AMY.epw	0.36	0.14	0.1	0.14	0.09	0.1	0.07
1084878_US_PA_McKean_42083_0-20000-0-72528_41.81_-78.62_NSRDB_2.0.1_AMY.epw	0.42	0.11	0.08	0.14	0.1	0.09	0.05
1081164_US_NY_Erie_36029_0-20000-0-72528_42.93_-78.74_NSRDB_2.0.1_AMY.epw	0.37	0.19	0.12	0.11	0.07	0.08	0.06
1110426_US_NY_Monroe_36055_0-20000-0-72529_43.13_-77.7_NSRDB_2.0.1_AMY.epw	0.33	0.12	0.13	0.13	0.11	0.1	0.07
0884454_US_IL_Cook_17031_0-20000-0-72530_41.97_-87.9_NSRDB_2.0.1_AMY.epw	0.23	0.16	0.13	0.14	0.1	0.12	0.12
0843663_US_IL_Peoria_17143_0-20000-0-72532_40.65_-89.7_NSRDB_2.0.1_AMY.epw	0.33	0.13	0.11	0.16	0.07	0.1	0.1
0939310_US_IN_Allen_18003_0-20000-0-72533_41.01_-85.22_NSRDB_2.0.1_AMY.epw	0.3	0.11	0.11	0.14	0.1	0.14	0.1
0916470_US_IN_St._Joseph_18141_0-20000-0-72535_41.69_-86.34_NSRDB_2.0.1_AMY.epw	0.27	0.13	0.1	0.15	0.1	0.14	0.11
0969777_US_OH_Lucas_39095_0-20000-0-72536_41.57_-83.78_NSRDB_2.0.1_AMY.epw	0.34	0.14	0.1	0.13	0.08	0.11	0.09
0979529_US_MI_Wayne_26163_0-20000-0-72537_42.21_-83.34_NSRDB_2.0.1_AMY.epw	0.26	0.24	0.13	0.13	0.07	0.09	0.08
0953005_US_MI_Clinton_26037_0-20000-0-72539_42.77_-84.58_NSRDB_2.0.1_AMY.epw	0.28	0.12	0.12	0.16	0.09	0.13	0.11
0857218_US_IL_Winnebago_17201_0-20000-0-72543_42.21_-89.1_NSRDB_2.0.1_AMY.epw	0.27	0.12	0.12	0.14	0.08	0.13	0.14
0824582_US_IL_Rock_Island_17161_0-20000-0-72544_41.45_-90.5_NSRDB_2.0.1_AMY.epw	0.37	0.12	0.12	0.15	0.07	0.09	0.08
0756995_US_IA_Polk_19153_0-20000-0-72546_41.53_-93.66_NSRDB_2.0.1_AMY.epw	0.3	0.1	0.09	0.15	0.08	0.12	0.15
0782661_US_IA_Black_Hawk_19013_0-20000-0-72548_42.53_-92.42_NSRDB_2.0.1_AMY.epw	0.34	0.12	0.11	0.15	0.06	0.11	0.11
0763587_US_IA_Cerro_Gordo_19033_0-20000-0-72549_43.17_-93.34_NSRDB_2.0.1_AMY.epw	0.43	0.15	0.1	0.15	0.06	0.06	0.06
0709364_US_IA_Pottawattamie_19155_0-20000-0-72550_41.33_-95.9_NSRDB_2.0.1_AMY.epw	0.27	0.11	0.12	0.15	0.09	0.12	0.14
0649310_US_NE_Hall_31079_0-20000-0-72552_40.97_-98.3_NSRDB_2.0.1_AMY.epw	0.41	0.1	0.1	0.16	0.08	0.08	0.06
0673600_US_NE_Madison_31119_0-20000-0-72556_41.97_-97.42_NSRDB_2.0.1_AMY.epw	0.4	0.1	0.11	0.16	0.08	0.08	0.06
0699147_US_IA_Woodbury_19193_0-20000-0-72557_42.37_-96.38_NSRDB_2.0.1_AMY.epw	0.39	0.11	0.11	0.15	0.07	0.1	0.07
0585417_US_NE_Lincoln_31111_0-20000-0-72562_41.13_-100.66_NSRDB_2.0.1_AMY.epw	0.39	0.11	0.11	0.19	0.07	0.08	0.05
0476524_US_WY_Laramie_56021_0-20000-0-72564_41.13_-104.78_NSRDB_2.0.1_AMY.epw	0.17	0.1	0.1	0.19	0.11	0.15	0.17
0508156_US_NE_Scotts_Bluff_31157_0-20000-0-72566_41.85_-103.58_NSRDB_2.0.1_AMY.epw	0.36	0.15	0.1	0.17	0.09	0.07	0.06
0435469_US_WY_Natrona_56025_0-20000-0-72569_42.89_-106.46_NSRDB_2.0.1_AMY.epw	0.15	0.16	0.08	0.27	0.14	0.07	0.12
0312288_US_UT_Salt_Lake_49035_0-20000-0-72572_40.77_-111.98_NSRDB_2.0.1_AMY.epw	0.11	0.09	0.08	0.18	0.13	0.19	0.22
0368181_US_WY_Sweetwater_56037_0-20000-0-74420_41.45_-109.46_NSRDB_2.0.1_AMY.epw	0.16	0.06	0.06	0.26	0.18	0.11	0.15
0383503_US_WY_Fremont_56013_0-20000-0-72576_42.81_-108.74_NSRDB_2.0.1_AMY.epw	0.11	0.07	0.11	0.21	0.16	0.17	0.15
0299006_US_ID_Power_16077_0-20000-0-72578_42.93_-112.58_NSRDB_2.0.1_AMY.epw	0.17	0.1	0.09	0.21	0.1	0.15	0.17
0233741_US_NV_Elko_32007_0-20000-0-72582_40.85_-115.82_NSRDB_2.0.1_AMY.epw	0.1	0.04	0.04	0.17	0.24	0.29	0.11
0198571_US_NV_Humboldt_32013_0-20000-0-72583_40.89_-117.82_NSRDB_2.0.1_AMY.epw	0.13	0.06	0.07	0.16	0.2	0.29	0.1
0101017_US_CA_Humboldt_6023_0-20000-0-72594_40.97_-124.1_NSRDB_2.0.1_AMY.epw	0.13	0.12	0.12	0.2	0.17	0.15	0.12
0120110_US_OR_Jackson_41029_0-20000-0-72597_42.21_-122.7_NSRDB_2.0.1_AMY.epw	0.15	0.08	0.1	0.21	0.13	0.16	0.16
1311916_US_NH_Merrimack_33013_0-20000-0-72605_43.21_-71.5_NSRDB_2.0.1_AMY.epw	0.23	0.07	0.09	0.16	0.21	0.12	0.12
1351103_US_ME_Cumberland_23005_0-20000-0-72606_43.65_-70.3_NSRDB_2.0.1_AMY.epw	0.29	0.07	0.07	0.15	0.16	0.13	0.12
1259256_US_VT_Chittenden_50007_0-20000-0-72617_44.45_-73.14_NSRDB_2.0.1_AMY.epw	0.31	0.07	0.09	0.15	0.16	0.12	0.1
1204297_US_NY_St._Lawrence_36089_0-20000-0-71712_44.93_-74.86_NSRDB_2.0.1_AMY.epw	0.4	0.1	0.08	0.12	0.11	0.12	0.07
