County,electricity_fixed_charge,electricity_marginal_rate,natural_gas_fixed_charge,natural_gas_marginal_rate,propane_fixed_charge,propane_marginal_rate,fuel_oil_fixed_charge,fuel_oil_marginal_rate,wood_fixed_charge,wood_marginal_rate
"CO, Kit Carson County",,,,,,,,,,
"CO, La Plata County",,,,,,,,,,
"CO, Lake County",,,,,,,,,,
"CO, Larimer County",,,,,,,,,,
"CO, Las Animas County",,,,,,,,,,
"CO, Lincoln County",,,,,,,,,,
"CO, Logan County",,,,,,,,,,
"CO, Mesa County",,,,,,,,,,
"CO, Mineral County",,,,,,,,,,
"CO, Moffat County",,,,,,,,,,
"CO, Montezuma County",,,,,,,,,,
"CO, Montrose County",,,,,,,,,,
"CO, Morgan County",,,,,,,,,,
"CO, Otero County",,,,,,,,,,
"CO, Ouray County",,,,,,,,,,
"CO, Park County",,,,,,,,,,
"CO, Phillips County",,,,,,,,,,
"CO, Pitkin County",,,,,,,,,,
"CO, Prowers County",,,,,,,,,,
"CO, Pueblo County",,,,,,,,,,
"CO, Rio Blanco County",,,,,,,,,,
"CO, Rio Grande County",,,,,,,,,,
"CO, Routt County",,,,,,,,,,
"CO, Saguache County",,,,,,,,,,
"CO, San Juan County",,,,,,,,,,
"CO, San Miguel County",,,,,,,,,,
"CO, Sedgwick County",,,,,,,,,,
"CO, Summit County",,,,,,,,,,
"CO, Teller County",,,,,,,,,,
"CO, Washington County",,,,,,,,,,
"CO, Weld County",,,,,,,,,,
"CO, Yuma County",,,,,,,,,,
"CT, Fairfield County",,,,,,,,,,
"CT, Hartford County",,,,,,,,,,
"CT, Litchfield County",,,,,,,,,,
"CT, Middlesex County",,,,,,,,,,
"CT, New Haven County",,,,,,,,,,
"CT, New London County",,,,,,,,,,
"CT, Tolland County",,,,,,,,,,
"CT, Windham County",,,,,,,,,,
"DC, District of Columbia",,,,,,,,,,
"DE, Kent County",,,,,,,,,,
"DE, New Castle County",,,,,,,,,,
"DE, Sussex County",,,,,,,,,,
"FL, Alachua County",,,,,,,,,,
"FL, Baker County",,,,,,,,,,
"FL, Bay County",,,,,,,,,,
"FL, Bradford County",,,,,,,,,,
"FL, Brevard County",,,,,,,,,,
"FL, Broward County",,,,,,,,,,
"FL, Calhoun County",,,,,,,,,,
"FL, Charlotte County",,,,,,,,,,
"FL, Citrus County",,,,,,,,,,
"FL, Clay County",,,,,,,,,,
"FL, Collier County",,,,,,,,,,
"FL, Columbia County",,,,,,,,,,
"FL, DeSoto County",,,,,,,,,,
"FL, Dixie County",,,,,,,,,,
"FL, Duval County",,,,,,,,,,
"FL, Escambia County",,,,,,,,,,
"FL, Flagler County",,,,,,,,,,
"FL, Franklin County",,,,,,,,,,
"FL, Gadsden County",,,,,,,,,,
"FL, Gilchrist County",,,,,,,,,,
"FL, Glades County",,,,,,,,,,
"FL, Gulf County",,,,,,,,,,
"FL, Hamilton County",,,,,,,,,,
"FL, Hardee County",,,,,,,,,,
"FL, Hendry County",,,,,,,,,,
"FL, Hernando County",,,,,,,,,,
"FL, Highlands County",,,,,,,,,,
"FL, Hillsborough County",,,,,,,,,,
"FL, Holmes County",,,,,,,,,,
"FL, Indian River County",,,,,,,,,,
"FL, Jackson County",,,,,,,,,,
"FL, Jefferson County",,,,,,,,,,
"FL, Lafayette County",,,,,,,,,,
"FL, Lake County",,,,,,,,,,
"FL, Lee County",,,,,,,,,,
"FL, Leon County",,,,,,,,,,
"FL, Levy County",,,,,,,,,,
"FL, Liberty County",,,,,,,,,,
"FL, Madison County",,,,,,,,,,
"FL, Manatee County",,,,,,,,,,
"FL, Marion County",,,,,,,,,,
"FL, Martin County",,,,,,,,,,
"FL, Miami-Dade County",,,,,,,,,,
"FL, Monroe County",,,,,,,,,,
"FL, Nassau County",,,,,,,,,,
"FL, Okaloosa County",,,,,,,,,,
"FL, Okeechobee County",,,,,,,,,,
"FL, Orange County",,,,,,,,,,
"FL, Osceola County",,,,,,,,,,
"FL, Palm Beach County",,,,,,,,,,
"FL, Pasco County",,,,,,,,,,
"FL, Pinellas County",,,,,,,,,,
"FL, Polk County",,,,,,,,,,
"FL, Putnam County",,,,,,,,,,
"FL, Santa Rosa County",,,,,,,,,,
"FL, Sarasota County",,,,,,,,,,
"FL, Seminole County",,,,,,,,,,
"FL, St. Johns County",,,,,,,,,,
"FL, St. Lucie County",,,,,,,,,,
"FL, Sumter County",,,,,,,,,,
"FL, Suwannee County",,,,,,,,,,
"FL, Taylor County",,,,,,,,,,
"FL, Union County",,,,,,,,,,
"FL, Volusia County",,,,,,,,,,
"FL, Wakulla County",,,,,,,,,,
"FL, Walton County",,,,,,,,,,
"FL, Washington County",,,,,,,,,,
"GA, Appling County",,,,,,,,,,
"GA, Atkinson County",,,,,,,,,,
"GA, Bacon County",,,,,,,,,,
"GA, Baker County",,,,,,,,,,
"GA, Baldwin County",,,,,,,,,,
"GA, Banks County",,,,,,,,,,
"GA, Barrow County",,,,,,,,,,
"GA, Bartow County",,,,,,,,,,
"GA, Ben Hill County",,,,,,,,,,
"GA, Berrien County",,,,,,,,,,
"GA, Bibb County",,,,,,,,,,
"GA, Bleckley County",,,,,,,,,,
"GA, Brantley County",,,,,,,,,,
"GA, Brooks County",,,,,,,,,,
"GA, Bryan County",,,,,,,,,,
"GA, Bulloch County",,,,,,,,,,
"GA, Burke County",,,,,,,,,,
"GA, Butts County",,,,,,,,,,
"GA, Calhoun County",,,,,,,,,,
"GA, Camden County",,,,,,,,,,
"GA, Candler County",,,,,,,,,,
"GA, Carroll County",,,,,,,,,,
"GA, Catoosa County",,,,,,,,,,
"GA, Charlton County",,,,,,,,,,
"GA, Chatham County",,,,,,,,,,
"GA, Chattahoochee County",,,,,,,,,,
"GA, Chattooga County",,,,,,,,,,
"GA, Cherokee County",,,,,,,,,,
"GA, Clarke County",,,,,,,,,,
"GA, Clay County",,,,,,,,,,
"GA, Clayton County",,,,,,,,,,
"GA, Clinch County",,,,,,,,,,
"GA, Cobb County",,,,,,,,,,
"GA, Coffee County",,,,,,,,,,
"GA, Colquitt County",,,,,,,,,,
"GA, Columbia County",,,,,,,,,,
"GA, Cook County",,,,,,,,,,
"GA, Coweta County",,,,,,,,,,
"GA, Crawford County",,,,,,,,,,
"GA, Crisp County",,,,,,,,,,
"GA, Dade County",,,,,,,,,,
"GA, Dawson County",,,,,,,,,,
"GA, Decatur County",,,,,,,,,,
"GA, DeKalb County",,,,,,,,,,
"GA, Dodge County",,,,,,,,,,
"GA, Dooly County",,,,,,,,,,
"GA, Dougherty County",,,,,,,,,,
"GA, Douglas County",,,,,,,,,,
"GA, Early County",,,,,,,,,,
"GA, Echols County",,,,,,,,,,
"GA, Effingham County",,,,,,,,,,
"GA, Elbert County",,,,,,,,,,
"GA, Emanuel County",,,,,,,,,,
"GA, Evans County",,,,,,,,,,
"GA, Fannin County",,,,,,,,,,
"GA, Fayette County",,,,,,,,,,
"GA, Floyd County",,,,,,,,,,
"GA, Forsyth County",,,,,,,,,,
"GA, Franklin County",,,,,,,,,,
"GA, Fulton County",,,,,,,,,,
"GA, Gilmer County",,,,,,,,,,
"GA, Glascock County",,,,,,,,,,
"GA, Glynn County",,,,,,,,,,
"GA, Gordon County",,,,,,,,,,
"GA, Grady County",,,,,,,,,,
"GA, Greene County",,,,,,,,,,
"GA, Gwinnett County",,,,,,,,,,
"GA, Habersham County",,,,,,,,,,
"GA, Hall County",,,,,,,,,,
"GA, Hancock County",,,,,,,,,,
"GA, Haralson County",,,,,,,,,,
"GA, Harris County",,,,,,,,,,
"GA, Hart County",,,,,,,,,,
"GA, Heard County",,,,,,,,,,
"GA, Henry County",,,,,,,,,,
"GA, Houston County",,,,,,,,,,
"GA, Irwin County",,,,,,,,,,
"GA, Jackson County",,,,,,,,,,
"GA, Jasper County",,,,,,,,,,
"GA, Jeff Davis County",,,,,,,,,,
"GA, Jefferson County",,,,,,,,,,
"GA, Jenkins County",,,,,,,,,,
"GA, Johnson County",,,,,,,,,,
"GA, Jones County",,,,,,,,,,
"GA, Lamar County",,,,,,,,,,
"GA, Lanier County",,,,,,,,,,
"GA, Laurens County",,,,,,,,,,
"GA, Lee County",,,,,,,,,,
"GA, Liberty County",,,,,,,,,,
"GA, Lincoln County",,,,,,,,,,
"GA, Long County",,,,,,,,,,
"GA, Lowndes County",,,,,,,,,,
"GA, Lumpkin County",,,,,,,,,,
"GA, Macon County",,,,,,,,,,
"GA, Madison County",,,,,,,,,,
"GA, Marion County",,,,,,,,,,
"GA, McDuffie County",,,,,,,,,,
"GA, McIntosh County",,,,,,,,,,
"GA, Meriwether County",,,,,,,,,,
"GA, Miller County",,,,,,,,,,
"GA, Mitchell County",,,,,,,,,,
"GA, Monroe County",,,,,,,,,,
"GA, Montgomery County",,,,,,,,,,
"GA, Morgan County",,,,,,,,,,
"GA, Murray County",,,,,,,,,,
"GA, Muscogee County",,,,,,,,,,
"GA, Newton County",,,,,,,,,,
"GA, Oconee County",,,,,,,,,,
"GA, Oglethorpe County",,,,,,,,,,
"GA, Paulding County",,,,,,,,,,
"GA, Peach County",,,,,,,,,,
"GA, Pickens County",,,,,,,,,,
"GA, Pierce County",,,,,,,,,,
"GA, Pike County",,,,,,,,,,
"GA, Polk County",,,,,,,,,,
"GA, Pulaski County",,,,,,,,,,
"GA, Putnam County",,,,,,,,,,
"GA, Quitman County",,,,,,,,,,
"GA, Rabun County",,,,,,,,,,
"GA, Randolph County",,,,,,,,,,
"GA, Richmond County",,,,,,,,,,
"GA, Rockdale County",,,,,,,,,,
"GA, Schley County",,,,,,,,,,
"GA, Screven County",,,,,,,,,,
"GA, Seminole County",,,,,,,,,,
"GA, Spalding County",,,,,,,,,,
"GA, Stephens County",,,,,,,,,,
"GA, Stewart County",,,,,,,,,,
"GA, Sumter County",,,,,,,,,,
"GA, Talbot County",,,,,,,,,,
"GA, Taliaferro County",,,,,,,,,,
"GA, Tattnall County",,,,,,,,,,
"GA, Taylor County",,,,,,,,,,
"GA, Telfair County",,,,,,,,,,
"GA, Terrell County",,,,,,,,,,
"GA, Thomas County",,,,,,,,,,
"GA, Tift County",,,,,,,,,,
"GA, Toombs County",,,,,,,,,,
"GA, Towns County",,,,,,,,,,
"GA, Treutlen County",,,,,,,,,,
"GA, Troup County",,,,,,,,,,
"GA, Turner County",,,,,,,,,,
"GA, Twiggs County",,,,,,,,,,
"GA, Union County",,,,,,,,,,
"GA, Upson County",,,,,,,,,,
"GA, Walker County",,,,,,,,,,
"GA, Walton County",,,,,,,,,,
"GA, Ware County",,,,,,,,,,
"GA, Warren County",,,,,,,,,,
"GA, Washington County",,,,,,,,,,
"GA, Wayne County",,,,,,,,,,
"GA, Webster County",,,,,,,,,,
"GA, Wheeler County",,,,,,,,,,
"GA, White County",,,,,,,,,,
"GA, Whitfield County",,,,,,,,,,
"GA, Wilcox County",,,,,,,,,,
"GA, Wilkes County",,,,,,,,,,
"GA, Wilkinson County",,,,,,,,,,
"GA, Worth County",,,,,,,,,,
"IA, Adair County",,,,,,,,,,
"IA, Adams County",,,,,,,,,,
"IA, Allamakee County",,,,,,,,,,
"IA, Appanoose County",,,,,,,,,,
"IA, Audubon County",,,,,,,,,,
"IA, Benton County",,,,,,,,,,
"IA, Black Hawk County",,,,,,,,,,
"IA, Boone County",,,,,,,,,,
"IA, Bremer County",,,,,,,,,,
"IA, Buchanan County",,,,,,,,,,
"IA, Buena Vista County",,,,,,,,,,
"IA, Butler County",,,,,,,,,,
"IA, Calhoun County",,,,,,,,,,
"IA, Carroll County",,,,,,,,,,
"IA, Cass County",,,,,,,,,,
"IA, Cedar County",,,,,,,,,,
"IA, Cerro Gordo County",,,,,,,,,,
"IA, Cherokee County",,,,,,,,,,
"IA, Chickasaw County",,,,,,,,,,
"IA, Clarke County",,,,,,,,,,
"IA, Clay County",,,,,,,,,,
"IA, Clayton County",,,,,,,,,,
"IA, Clinton County",,,,,,,,,,
"IA, Crawford County",,,,,,,,,,
"IA, Dallas County",,,,,,,,,,
"IA, Davis County",,,,,,,,,,
"IA, Decatur County",,,,,,,,,,
"IA, Delaware County",,,,,,,,,,
"IA, Des Moines County",,,,,,,,,,
"IA, Dickinson County",,,,,,,,,,
"IA, Dubuque County",,,,,,,,,,
"IA, Emmet County",,,,,,,,,,
"IA, Fayette County",,,,,,,,,,
"IA, Floyd County",,,,,,,,,,
"IA, Franklin County",,,,,,,,,,
"IA, Fremont County",,,,,,,,,,
"IA, Greene County",,,,,,,,,,
"IA, Grundy County",,,,,,,,,,
"IA, Guthrie County",,,,,,,,,,
"IA, Hamilton County",,,,,,,,,,
"IA, Hancock County",,,,,,,,,,
"IA, Hardin County",,,,,,,,,,
"IA, Harrison County",,,,,,,,,,
"IA, Henry County",,,,,,,,,,
"IA, Howard County",,,,,,,,,,
"IA, Humboldt County",,,,,,,,,,
"IA, Ida County",,,,,,,,,,
"IA, Iowa County",,,,,,,,,,
"IA, Jackson County",,,,,,,,,,
"IA, Jasper County",,,,,,,,,,
"IA, Jefferson County",,,,,,,,,,
"IA, Johnson County",,,,,,,,,,
"IA, Jones County",,,,,,,,,,
"IA, Keokuk County",,,,,,,,,,
"IA, Kossuth County",,,,,,,,,,
"IA, Lee County",,,,,,,,,,
"IA, Linn County",,,,,,,,,,
"IA, Louisa County",,,,,,,,,,
"IA, Lucas County",,,,,,,,,,
"IA, Lyon County",,,,,,,,,,
"IA, Madison County",,,,,,,,,,
"IA, Mahaska County",,,,,,,,,,
"IA, Marion County",,,,,,,,,,
"IA, Marshall County",,,,,,,,,,
"IA, Mills County",,,,,,,,,,
"IA, Mitchell County",,,,,,,,,,
"IA, Monona County",,,,,,,,,,
"IA, Monroe County",,,,,,,,,,
"IA, Montgomery County",,,,,,,,,,
"IA, Muscatine County",,,,,,,,,,
"IA, O'Brien County",,,,,,,,,,
"IA, Osceola County",,,,,,,,,,
"IA, Page County",,,,,,,,,,
"IA, Palo Alto County",,,,,,,,,,
"IA, Plymouth County",,,,,,,,,,
"IA, Pocahontas County",,,,,,,,,,
"IA, Polk County",,,,,,,,,,
"IA, Pottawattamie County",,,,,,,,,,
"IA, Poweshiek County",,,,,,,,,,
"IA, Ringgold County",,,,,,,,,,
"IA, Sac County",,,,,,,,,,
"IA, Scott County",,,,,,,,,,
"IA, Shelby County",,,,,,,,,,
"IA, Sioux County",,,,,,,,,,
"IA, Story County",,,,,,,,,,
"IA, Tama County",,,,,,,,,,
"IA, Taylor County",,,,,,,,,,
"IA, Union County",,,,,,,,,,
"IA, Van Buren County",,,,,,,,,,
"IA, Wapello County",,,,,,,,,,
"IA, Warren County",,,,,,,,,,
"IA, Washington County",,,,,,,,,,
"IA, Wayne County",,,,,,,,,,
"IA, Webster County",,,,,,,,,,
"IA, Winnebago County",,,,,,,,,,
"IA, Winneshiek County",,,,,,,,,,
"IA, Woodbury County",,,,,,,,,,
"IA, Worth County",,,,,,,,,,
"IA, Wright County",,,,,,,,,,
"ID, Ada County",,,,,,,,,,
"ID, Adams County",,,,,,,,,,
"ID, Bannock County",,,,,,,,,,
"ID, Bear Lake County",,,,,,,,,,
"ID, Benewah County",,,,,,,,,,
"ID, Bingham County",,,,,,,,,,
"ID, Blaine County",,,,,,,,,,
"ID, Boise County",,,,,,,,,,
"ID, Bonner County",,,,,,,,,,
"ID, Bonneville County",,,,,,,,,,
