Building,ASHRAE IECC Climate Zone 2004,Bathroom Spot Vent Hour,County and PUMA,AIANNH Area,CEC Climate Zone,City,County,AHS Region,ASHRAE IECC Climate Zone 2004 - 2A Split,Building America Climate Zone,Dehumidifier,Door Area,Doors,Eaves,Electric Vehicle,Energystar Climate Zone 2023,HVAC Secondary Heating Efficiency,HVAC Secondary Heating Fuel,HVAC Secondary Heating Partial Space Conditioning,HVAC System Is Faulted,Holiday Lighting,Hot Water Distribution,ISO RTO Region,Interior Shading,Lighting Interior Use,Lighting Other Use,Mechanical Ventilation,Misc Gas Fireplace,Misc Gas Grill,Misc Gas Lighting,Misc Well Pump,Natural Ventilation,Orientation,Overhangs,PUMA,Geometry Building Type ACS,Geometry Building Number Units SFA,Geometry Building Horizontal Location SFA,Geometry Building Type RECS,Cooling Setpoint Has Offset,Cooling Setpoint Offset Magnitude,Cooling Setpoint Offset Period,Corridor,Neighbors,PUMA Metro Status,REEDS Balancing Area,Generation And Emissions Assessment Region,Radiant Barrier,Range Spot Vent Hour,Solar Hot Water,State,Census Division,Census Division RECS,Census Region,Lighting,Location Region,Plug Loads,Usage Level,Clothes Dryer Usage Level,Clothes Washer Usage Level,Cooking Range Usage Level,Dishwasher Usage Level,Hot Water Fixtures,Plug Load Diversity,Refrigerator Usage Level,Vacancy Status,Ceiling Fan,Has PV,Battery,PV Orientation,PV System Size,Tenure,Vintage,Heating Fuel,HVAC Heating Type,Vintage ACS,Geometry Foundation Type,HVAC Cooling Type,Cooling Setpoint,HVAC Has Shared System,HVAC Cooling Efficiency,HVAC Has Ducts,HVAC Heating Efficiency,HVAC Has Zonal Electric Heating,HVAC Heating Type And Fuel,HVAC Shared Efficiencies,HVAC System Single Speed AC Airflow,HVAC System Single Speed AC Charge,HVAC System Single Speed ASHP Airflow,HVAC System Single Speed ASHP Charge,Heating Setpoint,Heating Setpoint Has Offset,Heating Setpoint Offset Magnitude,Heating Setpoint Offset Period,Income,Income RECS2015,Income RECS2020,Geometry Floor Area,Bedrooms,Geometry Floor Area Bin,Geometry Stories,Geometry Building Level MF,Geometry Building Number Units MF,Geometry Building Horizontal Location MF,Geometry Building Type Height,Geometry Stories Low Rise,Geometry Attic Type,Geometry Garage,Duct Location,Duct Leakage and Insulation,Geometry Story Bin,Geometry Wall Type,Geometry Wall Exterior Finish,HVAC Cooling Partial Space Conditioning,Infiltration,Insulation Ceiling,Insulation Floor,Insulation Foundation Wall,Insulation Rim Joist,Insulation Roof,Insulation Slab,Insulation Wall,Occupants,Area Median Income,Federal Poverty Level,Clothes Washer Presence,Clothes Dryer,Clothes Washer,Cooking Range,Dishwasher,Household Has Tribal Persons,Misc Extra Refrigerator,Misc Freezer,Misc Hot Tub Spa,Misc Pool,Misc Pool Heater,Misc Pool Pump,Refrigerator,Roof Material,Water Heater Fuel,Water Heater Efficiency,Water Heater In Unit,Window Areas,Windows
11,4A,Hour6,"G1100010, G11000105",No,None,"DC, Washington","DC, District of Columbia","CBSA Washington-Arlington-Alexandria, DC-VA-MD-WV",4A,Mixed-Humid,None,20 ft^2,Fiberglass,2 ft,None,North-Central,None,None,None,No,No Exterior Use,Uninsulated,PJM,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,None,None,None,None,"Cooling Season, 7 days/wk",North,None,"DC, 00105",50 or more Unit,None,None,Multi-Family with 5+ Units,No,0F,None,Double-Loaded Interior,12,"In metro area, principal city",123,RFCEc,None,Hour16,None,DC,South Atlantic,South Atlantic,South,100% Incandescent,CR08,106%,Low,80% Usage,80% Usage,80% Usage,80% Usage,50% Usage,50%,95% Usage,Occupied,Standard Efficiency,No,None,None,None,Renter,2000s,Electricity,Ducted Heating,2000-09,Slab,Central AC,72F,None,"AC, SEER 15",Yes,"Electric Furnace, 100% AFUE",No,Electricity Electric Furnace,None,None,None,None,None,70F,Yes,3F,Night +5h,200000+,140000+,150000+,1000-1499,1,0-1499,4,Middle,67,Middle,"Multifamily with 5+ units, 4-7 stories",4+,None,None,Living Space,"0% Leakage, Uninsulated",<8,Concrete,"Brick, Medium/Dark",100% Conditioned,15 ACH50,None,None,None,None,"Finished, R-30","2ft R5 Perimeter, Vertical","CMU, 6-in Hollow, R-11",2,150%+,400%+,Yes,Electric,EnergyStar,Electric Resistance,318 Rated kWh,No,None,None,None,None,None,None,EF 17.6,"Asphalt Shingles, Medium",Electricity,Electric Standard,No,F18 B18 L18 R18,"Double, Clear, Metal, Air"
12,5B,Hour13,"G0800310, G08000815",No,None,"CO, Denver","CO, Denver County",Non-CBSA Mountain,5B,Cold,None,20 ft^2,Fiberglass,2 ft,None,Northern,None,None,None,No,No Exterior Use,Uninsulated,None,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,None,None,None,None,"Cooling Season, 7 days/wk",West,None,"CO, 00815",Single-Family Detached,None,None,Single-Family Detached,No,0F,None,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",33,RMPAc,No,Hour18,None,CO,Mountain,Mountain North,West,100% CFL,CR05,91%,Low,80% Usage,80% Usage,80% Usage,80% Usage,50% Usage,50%,95% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,1950s,Natural Gas,Ducted Heating,1940-59,Heated Basement,Central AC,68F,None,"AC, SEER 13",Yes,"Fuel Furnace, 80% AFUE",No,Natural Gas Fuel Furnace,None,None,None,None,None,70F,Yes,3F,Night +5h,200000+,140000+,150000+,2000-2499,3,1500-2499,2,None,None,None,Single-Family Detached,2,Vented Attic,None,Heated Basement,"0% Leakage, Uninsulated",<8,Wood Frame,"Wood, Medium/Dark",100% Conditioned,15 ACH50,R-38,Uninsulated,Uninsulated,Uninsulated,"Unfinished, Uninsulated",None,"Wood Stud, Uninsulated",2,150%+,400%+,Yes,Electric,EnergyStar,Electric Resistance,318 Rated kWh,No,None,"EF 12, National Average",None,None,None,None,EF 19.9,Composition Shingles,Natural Gas,Natural Gas Standard,Yes,F12 B12 L12 R12,"Double, Low-E, Non-metal, Air, M-Gain"
13,5A,Hour20,"G1700310, G17003524",No,None,"IL, Chicago","IL, Cook County","CBSA Chicago-Naperville-Elgin, IL-IN-WI",5A,Cold,None,20 ft^2,Fiberglass,2 ft,None,Northern,None,None,None,No,No Exterior Use,Uninsulated,PJM,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,None,None,None,Typical Efficiency,"Cooling Season, 7 days/wk",Northwest,None,"IL, 03524",3 or 4 Unit,None,None,Multi-Family with 2 - 4 Units,No,0F,None,Double-Loaded Interior,27,"In metro area, principal city",80,RFCWc,None,Hour18,None,IL,East North Central,East North Central,Midwest,100% Incandescent,CR04,96%,Medium,100% Usage,100% Usage,100% Usage,100% Usage,100% Usage,100%,100% Usage,Occupied,None,No,None,None,None,Renter,<1940,Natural Gas,Ducted Heating,<1940,Unheated Basement,Central AC,72F,None,"AC, SEER 15",Yes,"Fuel Furnace, 92.5% AFUE",No,Natural Gas Fuel Furnace,None,None,None,None,None,70F,No,0F,None,80000-99999,80000-99999,60000-99999,1000-1499,2,0-1499,3,Top,3,Not Applicable,Multifamily with 2-4 Units,3,None,None,Living Space,"0% Leakage, Uninsulated",<8,Brick,None,100% Conditioned,30 ACH50,None,Uninsulated,Uninsulated,Uninsulated,"Finished, R-19",None,"Brick, 12-in, 3-wythe, Uninsulated",2,120-150%,400%+,Yes,Electric,Standard,Gas,318 Rated kWh,No,None,None,None,None,None,None,EF 19.9,Composition Shingles,Natural Gas,Natural Gas Standard,Yes,F9 B9 L9 R9,"Double, Low-E, Non-metal, Air, M-Gain"
14,5A,Hour13,"G2500010, G25004800",No,None,In another census Place,"MA, Barnstable County",Non-CBSA New England,5A,Cold,None,20 ft^2,Fiberglass,2 ft,None,Northern,None,None,None,No,No Exterior Use,Uninsulated,NEISO,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,None,None,None,None,"Cooling Season, 7 days/wk",Northeast,None,"MA, 04800",Single-Family Detached,None,None,Single-Family Detached,No,0F,None,Not Applicable,Left/Right at 15ft,Not/partially in metro area,131,NEWEc,No,Hour19,None,MA,New England,New England,Northeast,100% LED,CR03,99%,Low,80% Usage,80% Usage,80% Usage,80% Usage,50% Usage,50%,95% Usage,Vacant,"Standard Efficiency, No usage",No,None,None,None,Not Available,1970s,Natural Gas,Non-Ducted Heating,1960-79,Heated Basement,Room AC,70F,None,"Room AC, EER 10.7",No,"Fuel Wall/Floor Furnace, 68% AFUE",No,Natural Gas Fuel Wall/Floor Furnace,None,None,None,None,None,55F,No,0F,None,Not Available,Not Available,Not Available,1000-1499,3,0-1499,1,None,None,None,Single-Family Detached,1,Vented Attic,None,None,None,<8,Wood Frame,"Wood, Medium/Dark",20% Conditioned,15 ACH50,R-38,Uninsulated,Uninsulated,Uninsulated,"Unfinished, Uninsulated",None,"Wood Stud, R-7",0,Not Available,Not Available,Yes,Electric,Standard,Gas,318 Rated kWh,Not Available,None,None,None,None,None,None,EF 19.9,Composition Shingles,Natural Gas,Natural Gas Standard,Yes,F12 B12 L12 R12,"Double, Low-E, Non-metal, Air, M-Gain"
15,5A,Hour23,"G3901130, G39004603",No,None,"OH, Dayton","OH, Montgomery County",Non-CBSA East North Central,5A,Cold,None,20 ft^2,Fiberglass,2 ft,None,Northern,None,None,None,No,No Exterior Use,Uninsulated,PJM,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,None,None,None,None,"Cooling Season, 7 days/wk",West,None,"OH, 04603",Single-Family Detached,None,None,Single-Family Detached,No,0F,None,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",113,RFCWc,No,Hour18,None,OH,East North Central,East North Central,Midwest,100% Incandescent,CR04,85%,High,120% Usage,120% Usage,120% Usage,120% Usage,200% Usage,200%,105% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,<1940,Natural Gas,Ducted Heating,<1940,Unheated Basement,Central AC,78F,None,"AC, SEER 15",Yes,"Fuel Furnace, 80% AFUE",No,Natural Gas Fuel Furnace,None,None,None,None,None,68F,Yes,3F,Night +1h,80000-99999,80000-99999,60000-99999,1000-1499,2,0-1499,2,None,None,None,Single-Family Detached,2,Vented Attic,None,Unheated Basement,"10% Leakage, Uninsulated",<8,Wood Frame,"Wood, Medium/Dark",100% Conditioned,15 ACH50,R-19,Uninsulated,Uninsulated,Uninsulated,"Unfinished, Uninsulated",None,"Wood Stud, Uninsulated",2,150%+,400%+,Yes,Electric,Standard,Gas,318 Rated kWh,No,None,"EF 12, National Average",None,None,None,None,EF 19.9,Composition Shingles,Natural Gas,Natural Gas Standard,Yes,F9 B9 L9 R9,"Double, Clear, Non-metal, Air"
16,3B,Hour3,"G0600650, G06006515",No,15,In another census Place,"CA, Riverside County","CBSA Riverside-San Bernardino-Ontario, CA",3B,Hot-Dry,None,20 ft^2,Fiberglass,2 ft,None,South-Central,None,None,None,No,No Exterior Use,Uninsulated,CAISO,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,None,None,None,None,"Cooling Season, 7 days/wk",Northwest,None,"CA, 06515",Single-Family Detached,None,None,Single-Family Detached,Yes,2F,Night Setback +5h,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",10,CAMXc,No,Hour17,None,CA,Pacific,Pacific,West,100% Incandescent,CR11,94%,Medium,100% Usage,100% Usage,100% Usage,100% Usage,100% Usage,100%,100% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,2000s,Natural Gas,Ducted Heating,2000-09,Slab,Central AC,80F,None,"AC, SEER 13",Yes,"Fuel Furnace, 76% AFUE",No,Natural Gas Fuel Furnace,None,None,None,None,None,70F,No,0F,None,200000+,140000+,150000+,2000-2499,4,1500-2499,2,None,None,None,Single-Family Detached,2,Vented Attic,2 Car,Vented Attic,"10% Leakage, R-8",<8,Wood Frame,"Stucco, Light",100% Conditioned,5 ACH50,R-30,None,None,None,"Unfinished, Uninsulated",Uninsulated,"Wood Stud, R-19",4,150%+,400%+,Yes,Electric,EnergyStar,Gas,318 Rated kWh,No,None,None,Electricity,None,None,None,EF 17.6,"Tile, Clay or Ceramic",Natural Gas,Natural Gas Premium,Yes,F9 B9 L9 R9,"Double, Clear, Metal, Air"
17,4C,Hour3,"G5300330, G53011603",No,None,"WA, Seattle","WA, King County","CBSA Seattle-Tacoma-Bellevue, WA",4C,Marine,None,20 ft^2,Fiberglass,2 ft,None,Northern,None,None,None,No,No Exterior Use,Uninsulated,None,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,None,None,None,Typical Efficiency,"Cooling Season, 7 days/wk",West,None,"WA, 11603",50 or more Unit,None,None,Multi-Family with 5+ Units,No,0F,None,Double-Loaded Interior,27,"In metro area, principal city",1,NWPPc,None,Hour8,None,WA,Pacific,Pacific,West,100% CFL,CR06,91%,High,120% Usage,120% Usage,120% Usage,120% Usage,200% Usage,200%,105% Usage,Occupied,None,No,None,None,None,Renter,2010s,Electricity,Non-Ducted Heating,2010s,Vented Crawlspace,Room AC,72F,None,"Room AC, EER 10.7",No,"Electric Baseboard, 100% Efficiency",Yes,Electricity Baseboard,None,None,None,None,None,70F,Yes,3F,Night +5h,200000+,140000+,150000+,1000-1499,2,0-1499,4,Middle,67,Middle,"Multifamily with 5+ units, 4-7 stories",4+,None,None,None,None,<8,Wood Frame,"Wood, Medium/Dark",40% Conditioned,15 ACH50,None,Ceiling R-19,Uninsulated,Uninsulated,"Finished, R-30",None,"Wood Stud, R-19",2,150%+,400%+,Yes,Electric,Standard,Electric Resistance,318 Rated kWh,No,None,None,None,None,None,None,EF 19.9,"Asphalt Shingles, Medium",Electricity,Electric Standard,No,F18 B18 L18 R18,"Double, Low-E, Non-metal, Air, M-Gain"
18,1A,Hour3,"G1200110, G12001105",No,None,"FL, Tamarac","FL, Broward County","CBSA Miami-Fort Lauderdale-West Palm Beach, FL",1A,Hot-Humid,None,20 ft^2,Fiberglass,2 ft,None,Southern,None,None,None,No,No Exterior Use,Uninsulated,None,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,None,None,None,None,"Cooling Season, 7 days/wk",Southwest,None,"FL, 01105",Single-Family Detached,None,None,Single-Family Detached,Yes,2F,Night Setback +5h,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",102,FRCCc,No,Hour12,None,FL,South Atlantic,South Atlantic,South,100% CFL,CR09,106%,Medium,100% Usage,100% Usage,100% Usage,100% Usage,100% Usage,100%,100% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,1970s,Electricity,Ducted Heat Pump,1960-79,Slab,Ducted Heat Pump,75F,None,Ducted Heat Pump,Yes,"ASHP, SEER 13, 7.7 HSPF",No,Electricity ASHP,None,None,None,None,None,75F,No,0F,None,80000-99999,80000-99999,60000-99999,2000-2499,5,1500-2499,1,None,None,None,Single-Family Detached,1,None,2 Car,Garage,"20% Leakage, R-4",<8,Brick,"Stucco, Light",100% Conditioned,15 ACH50,None,None,None,None,"Finished, R-38",Uninsulated,"Brick, 12-in, 3-wythe, R-7",2,120-150%,400%+,Yes,Electric,EnergyStar,Electric Resistance,318 Rated kWh,No,None,None,None,None,None,None,EF 19.9,Composition Shingles,Natural Gas,Natural Gas Standard,Yes,F9 B9 L9 R9,"Double, Clear, Metal, Air"
19,5A,Hour12,"G1702010, G17002801",No,None,"IL, Rockford","IL, Winnebago County",Non-CBSA East North Central,5A,Cold,None,20 ft^2,Fiberglass,2 ft,None,Northern,None,None,None,No,No Exterior Use,Uninsulated,PJM,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,None,None,None,None,"Cooling Season, 7 days/wk",Northeast,None,"IL, 02801",Single-Family Detached,None,None,Single-Family Detached,Yes,5F,Night Setback +4h,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",80,RFCWc,No,Hour18,None,IL,East North Central,East North Central,Midwest,100% CFL,CR04,85%,High,120% Usage,120% Usage,120% Usage,120% Usage,200% Usage,200%,105% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,<1940,Natural Gas,Non-Ducted Heating,<1940,Unheated Basement,Room AC,70F,None,"Room AC, EER 10.7",No,"Fuel Boiler, 80% AFUE",No,Natural Gas Fuel Boiler,None,None,None,None,None,68F,No,0F,None,80000-99999,80000-99999,60000-99999,1000-1499,4,0-1499,1,None,None,None,Single-Family Detached,1,None,None,None,None,<8,Brick,None,60% Conditioned,25 ACH50,None,Uninsulated,Uninsulated,Uninsulated,"Finished, R-30",None,"Brick, 12-in, 3-wythe, Uninsulated",2,150%+,400%+,Yes,Gas,Standard,Gas,290 Rated kWh,No,None,"EF 12, National Average",None,None,None,None,EF 19.9,"Asphalt Shingles, Medium",Electricity,Electric Standard,Yes,F9 B9 L9 R9,"Double, Clear, Non-metal, Air"
20,3B,Hour4,"G0600590, G06005904",No,8,"CA, Irvine","CA, Orange County","CBSA Los Angeles-Long Beach-Anaheim, CA",3B,Hot-Dry,None,20 ft^2,Fiberglass,2 ft,None,South-Central,None,None,None,No,No Exterior Use,Uninsulated,CAISO,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,None,Gas Grill,None,None,"Cooling Season, 7 days/wk",Southwest,None,"CA, 05904",Single-Family Detached,None,None,Single-Family Detached,No,0F,None,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",10,CAMXc,No,Hour17,None,CA,Pacific,Pacific,West,100% LED,CR11,94%,Medium,100% Usage,100% Usage,100% Usage,100% Usage,100% Usage,100%,100% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,1970s,Natural Gas,Ducted Heating,1960-79,Slab,Central AC,72F,None,"AC, SEER 13",Yes,"Fuel Furnace, 92.5% AFUE",No,Natural Gas Fuel Furnace,None,None,None,None,None,68F,No,0F,None,200000+,140000+,150000+,2000-2499,3,1500-2499,1,None,None,None,Single-Family Detached,1,None,None,Living Space,"0% Leakage, Uninsulated",<8,Wood Frame,"Stucco, Light",100% Conditioned,15 ACH50,None,None,None,None,"Finished, R-38",Uninsulated,"Wood Stud, Uninsulated",4,150%+,400%+,Yes,Gas,EnergyStar,Gas,290 Rated kWh,No,EF 17.6,"EF 12, National Average",None,Has Pool,None,1.0 HP Pump,EF 17.6,Composition Shingles,Natural Gas,Natural Gas Standard,Yes,F18 B18 L18 R18,"Double, Low-E, Non-metal, Air, M-Gain"
21,2A,Hour1,"G1200970, G12009701",No,None,Not in a census Place,"FL, Osceola County",Non-CBSA South Atlantic,"2A - FL, GA, AL, MS",Hot-Humid,None,20 ft^2,Fiberglass,2 ft,None,Southern,None,None,None,No,No Exterior Use,Uninsulated,None,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,None,None,None,None,"Cooling Season, 7 days/wk",East,None,"FL, 09701",Single-Family Detached,None,None,Single-Family Detached,No,0F,None,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",101,FRCCc,No,Hour8,None,FL,South Atlantic,South Atlantic,South,100% Incandescent,CR09,106%,Medium,100% Usage,100% Usage,100% Usage,100% Usage,100% Usage,100%,100% Usage,Occupied,None,No,None,None,None,Owner,2000s,Electricity,Ducted Heating,2000-09,Ambient,Central AC,72F,None,"AC, SEER 13",Yes,"Electric Furnace, 100% AFUE",No,Electricity Electric Furnace,None,None,None,None,None,75F,No,0F,None,100000-119999,100000-119999,100000-149999,1500-1999,3,1500-2499,1,None,None,None,Single-Family Detached,1,Vented Attic,None,Vented Attic,"10% Leakage, R-8",<8,Concrete,"Stucco, Light",100% Conditioned,8 ACH50,R-30,Ceiling R-13,None,None,"Unfinished, Uninsulated",None,"CMU, 6-in Hollow, R-11",3,150%+,400%+,Yes,Electric,Standard,Electric Resistance,318 Rated kWh,No,EF 19.9,None,None,None,None,None,EF 17.6,"Asphalt Shingles, Medium",Electricity,Electric Standard,Yes,F12 B12 L12 R12,"Double, Low-E, Non-metal, Air, M-Gain"
22,4A,Hour23,"G1000050, G10000300",No,None,Not in a census Place,"DE, Sussex County",Non-CBSA South Atlantic,4A,Mixed-Humid,None,20 ft^2,Fiberglass,2 ft,None,North-Central,None,None,None,No,No Exterior Use,Uninsulated,PJM,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,None,None,None,None,"Cooling Season, 7 days/wk",Northwest,None,"DE, 00300",Single-Family Detached,None,None,Single-Family Detached,No,0F,None,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",125,RFCEc,No,Hour12,None,DE,South Atlantic,South Atlantic,South,100% CFL,CR08,106%,Medium,100% Usage,100% Usage,100% Usage,100% Usage,100% Usage,100%,100% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,2000s,Electricity,Ducted Heat Pump,2000-09,Vented Crawlspace,Ducted Heat Pump,72F,None,Ducted Heat Pump,Yes,"ASHP, SEER 15, 8.5 HSPF",No,Electricity ASHP,None,None,None,None,None,70F,No,0F,None,80000-99999,80000-99999,60000-99999,2000-2499,4,1500-2499,2,None,None,None,Single-Family Detached,2,Vented Attic,2 Car,Vented Crawlspace,"30% Leakage, R-6",<8,Wood Frame,"Wood, Medium/Dark",100% Conditioned,15 ACH50,R-38,Ceiling R-19,Uninsulated,Uninsulated,"Unfinished, Uninsulated",None,"Wood Stud, R-15",2,150%+,400%+,Yes,Electric,EnergyStar,Electric Resistance,318 Rated kWh,No,None,None,None,None,None,None,EF 19.9,Composition Shingles,Electricity,Electric Standard,Yes,F15 B15 L15 R15,"Double, Clear, Metal, Air"
23,6A,Hour4,"G2300310, G23000800",No,None,Not in a census Place,"ME, York County",Non-CBSA New England,6A,Cold,None,20 ft^2,Fiberglass,2 ft,None,Northern,None,None,None,No,No Exterior Use,Uninsulated,NEISO,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,None,None,None,None,"Cooling Season, 7 days/wk",North,None,"ME, 00800",Single-Family Detached,None,None,Single-Family Detached,No,0F,None,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",134,NEWEc,No,Hour7,None,ME,New England,New England,Northeast,100% Incandescent,CR03,99%,Medium,100% Usage,100% Usage,100% Usage,100% Usage,100% Usage,100%,100% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,<1940,Fuel Oil,Non-Ducted Heating,<1940,Vented Crawlspace,Room AC,70F,None,"Room AC, EER 12.0",No,"Fuel Boiler, 80% AFUE",No,Fuel Oil Fuel Boiler,None,None,None,None,None,68F,No,0F,None,60000-69999,60000-79999,60000-99999,1000-1499,3,0-1499,2,None,None,None,Single-Family Detached,2,Vented Attic,None,None,None,<8,Brick,"Wood, Medium/Dark",20% Conditioned,15 ACH50,R-19,Uninsulated,Uninsulated,Uninsulated,"Unfinished, Uninsulated",None,"Brick, 12-in, 3-wythe, Uninsulated",2,100-120%,300-400%,Yes,Electric,EnergyStar,Electric Resistance,None,No,None,"EF 12, National Average",None,None,None,None,EF 19.9,Composition Shingles,Fuel Oil,Fuel Oil Standard,Yes,F12 B12 L12 R12,"Double, Low-E, Non-metal, Air, M-Gain"
24,5A,Hour23,"G2601450, G26001500",No,None,Not in a census Place,"MI, Saginaw County",Non-CBSA East North Central,5A,Cold,None,20 ft^2,Fiberglass,2 ft,None,Northern,None,None,None,No,No Exterior Use,Uninsulated,MISO,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,None,None,None,None,"Cooling Season, 7 days/wk",South,None,"MI, 01500",Single-Family Detached,None,None,Single-Family Detached,No,0F,None,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",103,RFCMc,No,Hour9,None,MI,East North Central,East North Central,Midwest,100% Incandescent,CR04,85%,Low,80% Usage,80% Usage,80% Usage,80% Usage,50% Usage,50%,95% Usage,Occupied,None,No,None,None,None,Owner,<1940,Natural Gas,Ducted Heating,<1940,Unheated Basement,Central AC,75F,None,"AC, SEER 13",Yes,"Fuel Furnace, 76% AFUE",No,Natural Gas Fuel Furnace,None,None,None,None,None,70F,No,0F,None,80000-99999,80000-99999,60000-99999,1500-1999,3,1500-2499,2,None,None,None,Single-Family Detached,2,None,None,Unheated Basement,"20% Leakage, Uninsulated",<8,Brick,None,100% Conditioned,15 ACH50,None,Uninsulated,Uninsulated,Uninsulated,"Finished, R-38",None,"Brick, 12-in, 3-wythe, Uninsulated",3,150%+,400%+,Yes,Electric,Standard,Gas,None,No,None,None,None,None,None,None,EF 17.6,Composition Shingles,Natural Gas,Natural Gas Standard,Yes,F9 B9 L9 R9,"Single, Clear, Non-metal"
25,3A,Hour10,"G4500190, G45001202",No,None,"SC, Charleston","SC, Charleston County",Non-CBSA South Atlantic,3A,Hot-Humid,None,20 ft^2,Fiberglass,2 ft,None,South-Central,None,None,None,No,No Exterior Use,Uninsulated,None,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,None,None,None,Typical Efficiency,"Cooling Season, 7 days/wk",East,None,"SC, 01202",Single-Family Detached,None,None,Single-Family Detached,Yes,9F,Night Setback +5h,Not Applicable,Left/Right at 15ft,"In metro area, not/partially in principal city",96,SRVCc,No,Hour20,None,SC,South Atlantic,South Atlantic,South,100% CFL,CR09,106%,Low,80% Usage,80% Usage,80% Usage,80% Usage,50% Usage,50%,95% Usage,Occupied,Standard Efficiency,No,None,None,None,Owner,2000s,Electricity,Ducted Heating,2000-09,Slab,Central AC,70F,None,"AC, SEER 15",Yes,"Electric Furnace, 100% AFUE",No,Electricity Electric Furnace,None,None,None,None,None,70F,Yes,3F,Night +4h,200000+,140000+,150000+,2000-2499,4,1500-2499,1,None,None,None,Single-Family Detached,1,None,2 Car,Garage,"20% Leakage, R-8",<8,Wood Frame,"Brick, Medium/Dark",100% Conditioned,10 ACH50,None,None,None,None,"Finished, R-19",Uninsulated,"Wood Stud, R-11",3,150%+,400%+,Yes,Electric,Standard,Electric Resistance,318 Rated kWh,No,EF 17.6,None,None,None,None,None,EF 17.6,Composition Shingles,Electricity,Electric Standard,Yes,F9 B9 L9 R9,"Double, Clear, Non-metal, Air"
26,4A,Hour23,"G3600810, G36004103",No,None,"NY, New York","NY, Queens County","CBSA New York-Newark-Jersey City, NY-NJ-PA",4A,Mixed-Humid,None,20 ft^2,Fiberglass,2 ft,None,North-Central,None,None,None,No,No Exterior Use,Uninsulated,NYISO,"Summer = 0.7, Winter = 0.85",100% Usage,100% Usage,None,None,None,None,None,"Cooling Season, 7 days/wk",North,None,"NY, 04103",50 or more Unit,None,None,Multi-Family with 5+ Units,No,0F,None,Double-Loaded Interior,27,"In metro area, principal city",127,NYSTc,None,Hour17,None,NY,Middle Atlantic,Middle Atlantic,Northeast,100% Incandescent,CR07,89%,Medium,100% Usage,100% Usage,100% Usage,100% Usage,100% Usage,100%,100% Usage,Occupied,None,No,None,None,None,Renter,1960s,Natural Gas,Non-Ducted Heating,1960-79,Slab,Room AC,65F,Heating Only,"Room AC, EER 10.7",No,Shared Heating,No,Natural Gas Shared Heating,"Boiler Baseboards Heating Only, Fuel",None,None,None,None,68F,No,0F,None,<10000,<20000,<20000,500-749,1,0-1499,21,Middle,326,Middle,"Multifamily with 5+ units, 8+ stories",4+,None,None,None,None,8+,Steel Frame,"Aluminum, Light",60% Conditioned,20 ACH50,None,None,None,None,"Finished, R-19",Uninsulated,"Wood Stud, Uninsulated",1,0-30%,0-100%,None,None,None,Gas,None,No,None,None,None,None,None,None,EF 17.6,"Asphalt Shingles, Medium",Natural Gas,Natural Gas Standard,Yes,F30 B30 L30 R30,"Double, Clear, Metal, Air"
