Building,Schedules,Usage Level,Orientation,Eaves,Door Area,Overhangs,Interior Shading,Doors,Hot Water Fixtures,Hot Water Distribution,Solar Hot Water,HVAC Secondary Heating Type And Fuel,HVAC Secondary Heating Efficiency,HVAC System Is Faulted,Dehumidifier,Lighting Interior Use,Lighting Other Use,Holiday Lighting,Plug Load Diversity,Electric Vehicle,Misc Gas Fireplace,Misc Gas Grill,Misc Gas Lighting,Misc Well Pump,Natural Ventilation,Mechanical Ventilation,Bathroom Spot Vent Hour,Range Spot Vent Hour,ASHRAE IECC Climate Zone 2004,County and PUMA,CEC Climate Zone,County,AHS Region,ASHRAE IECC Climate Zone 2004 - 2A Split,State,Location Region,Census Division,Census Division RECS,Census Region,ISO RTO Region,Building America Climate Zone,PUMA,Geometry Building Type ACS,Vintage,Vintage ACS,Geometry Building Type RECS,Heating Fuel,Geometry Building Number Units SFA,Geometry Building Horizontal Location SFA,Geometry Foundation Type,Corridor,Vacancy Status,Tenure,Income,Income RECS2015,Income RECS2020,Neighbors,Radiant Barrier,Roof Material,Insulation Slab,Insulation Floor,Insulation Foundation Wall,Insulation Rim Joist,Windows,Water Heater In Unit,Water Heater Fuel,Water Heater Efficiency,HVAC Heating Type,HVAC Cooling Type,HVAC Has Shared System,HVAC Shared Efficiencies,HVAC Heating Efficiency,HVAC Has Zonal Electric Heating,HVAC Heating Type And Fuel,HVAC Cooling Efficiency,HVAC System Single Speed AC Airflow,HVAC System Single Speed ASHP Airflow,HVAC System Single Speed AC Charge,HVAC System Single Speed ASHP Charge,Heating Setpoint,Cooling Setpoint,Heating Setpoint Has Offset,Cooling Setpoint Has Offset,Heating Setpoint Offset Magnitude,Cooling Setpoint Offset Magnitude,Heating Setpoint Offset Period,Cooling Setpoint Offset Period,Ceiling Fan,Refrigerator,Cooking Range,Dishwasher,Clothes Washer Presence,Clothes Washer,Clothes Dryer,Lighting,Plug Loads,Misc Extra Refrigerator,Misc Freezer,Misc Hot Tub Spa,Misc Pool,Misc Pool Heater,Misc Pool Pump,HVAC Has Ducts,Ducts,Has PV,PV System Size,PV Orientation,PUMA Metro Status,Geometry Floor Area,Geometry Floor Area Bin,Geometry Stories,Geometry Building Type Height,Geometry Building Level MF,Geometry Building Number Units MF,Geometry Building Horizontal Location MF,Geometry Stories Low Rise,Geometry Attic Type,Geometry Story Bin,Geometry Wall Type,Geometry Wall Exterior Finish,Geometry Garage,Bedrooms,Occupants,Federal Poverty Level,Window Areas,Insulation Ceiling,Insulation Roof,Insulation Wall,HVAC Cooling Partial Space Conditioning,Infiltration,REEDS Balancing Area,Generation And Emissions Assessment Region,City,Area Median Income
226,Stochastic,High,North,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,200% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,200%,None,Gas Fireplace,None,None,None,"Cooling Season, 7 days/wk",None,Hour4,Hour7,5A,"G4200030, G42001701",None,"PA, Allegheny County",Non-CBSA Middle Atlantic,5A,PA,CR07,Middle Atlantic,Middle Atlantic,Northeast,PJM,Cold,"PA, 01701",Single-Family Attached,<1940,<1940,Single-Family Attached,Natural Gas,16,Middle,Unheated Basement,Not Applicable,Occupied,Renter,80000-99999,80000-99999,60000-99999,27,No,"Asphalt Shingles, Medium",None,Uninsulated,Uninsulated,Uninsulated,"Double, Clear, Non-metal, Air, Exterior Clear Storm",Yes,Natural Gas,Natural Gas Standard,Non-Ducted Heating,None,None,None,"Fuel Boiler, 80% AFUE",No,Natural Gas Fuel Boiler,None,None,None,None,None,68F,70F,Yes,Yes,3F,2F,Day -5h,Night Setback -5h,Standard Efficiency,"EF 15.9, 100% Usage","Gas, 120% Usage",None,Yes,"EnergyStar, 120% Usage","Electric, 120% Usage",100% Incandescent,108%,None,None,None,None,None,None,No,None,No,None,None,"In metro area, principal city",1500-1999,1500-2499,3,Single-Family Attached,None,None,None,3,Vented Attic,<8,Brick,None,None,2,2,400%+,F12 B12 L12 R12,R-38,"Unfinished, Uninsulated","Brick, 12-in, 3-wythe, Uninsulated",None,15 ACH50,115,RFCWc,"PA, Pittsburgh",120-150%
227,Stochastic,Medium,Northeast,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,100% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour17,Hour11,5A,"G4200030, G42001701",None,"PA, Allegheny County",Non-CBSA Middle Atlantic,5A,PA,CR07,Middle Atlantic,Middle Atlantic,Northeast,PJM,Cold,"PA, 01701",Single-Family Attached,1990s,1980-99,Single-Family Attached,Natural Gas,8,Middle,Unheated Basement,Not Applicable,Occupied,Renter,<10000,<20000,<20000,27,No,"Asphalt Shingles, Medium",None,Ceiling R-13,Uninsulated,Uninsulated,"Double, Clear, Metal, Air",Yes,Natural Gas,Natural Gas Premium,Ducted Heating,Central AC,None,None,"Fuel Furnace, 60% AFUE",No,Natural Gas Fuel Furnace,"AC, SEER 10",None,None,None,None,65F,68F,No,Yes,0F,5F,None,Day and Night Setup +2h,Standard Efficiency,"EF 17.6, 100% Usage","Gas, 100% Usage","290 Rated kWh, 100% Usage",Yes,"Standard, 100% Usage","Gas, 100% Usage",100% Incandescent,108%,None,None,None,None,None,None,Yes,"20% Leakage, Uninsulated",No,None,None,"In metro area, principal city",2000-2499,1500-2499,1,Single-Family Attached,None,None,None,1,Vented Attic,<8,Wood Frame,"Vinyl, Light",None,3,1,0-100%,F9 B9 L9 R9,R-38,"Unfinished, Uninsulated","Wood Stud, R-11",100% Conditioned,4 ACH50,115,RFCWc,"PA, Pittsburgh",0-30%
228,Stochastic,Medium,West,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,100% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,Typical Efficiency,"Cooling Season, 7 days/wk",None,Hour23,Hour19,5A,"G4200030, G42001701",None,"PA, Allegheny County",Non-CBSA Middle Atlantic,5A,PA,CR07,Middle Atlantic,Middle Atlantic,Northeast,PJM,Cold,"PA, 01701",50 or more Unit,<1940,<1940,Multi-Family with 5+ Units,Natural Gas,None,None,Unheated Basement,Double-Loaded Interior,Occupied,Renter,50000-59999,40000-59999,40000-59999,27,None,"Asphalt Shingles, Medium",None,Uninsulated,Uninsulated,Uninsulated,"Single, Clear, Metal",No,Natural Gas,Natural Gas Standard,Non-Ducted Heating,None,Heating Only,"Boiler Baseboards Heating Only, Natural Gas",Shared Heating,No,Natural Gas Shared Heating,None,None,None,None,None,75F,70F,Yes,No,12F,0F,Night +5h,None,Standard Efficiency,"EF 17.6, 100% Usage","Gas, 100% Usage",None,None,None,None,100% CFL,89%,None,None,None,None,None,None,No,None,No,None,None,"In metro area, principal city",500-749,0-1499,15,"Multifamily with 5+ units, 8+ stories",Middle,67,Right,4+,None,8+,Steel Frame,"Aluminum, Light",None,2,3,200-300%,F30 B30 L30 R30,None,"Finished, R-38","Wood Stud, Uninsulated",None,40 ACH50,115,RFCWc,"PA, Pittsburgh",60-80%
229,Stochastic,Medium,North,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,100% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour19,Hour17,5A,"G4200030, G42001701",None,"PA, Allegheny County",Non-CBSA Middle Atlantic,5A,PA,CR07,Middle Atlantic,Middle Atlantic,Northeast,PJM,Cold,"PA, 01701",3 or 4 Unit,<1940,<1940,Multi-Family with 2 - 4 Units,Natural Gas,None,None,Unheated Basement,Double-Loaded Interior,Occupied,Owner,80000-99999,80000-99999,60000-99999,12,None,Wood Shingles,None,Uninsulated,Uninsulated,Uninsulated,"Double, Clear, Metal, Air",No,Natural Gas,Natural Gas Standard,Non-Ducted Heating,Room AC,Heating Only,"Boiler Baseboards Heating Only, Natural Gas",Shared Heating,No,Natural Gas Shared Heating,"Room AC, EER 10.7",None,None,None,None,70F,65F,No,No,0F,0F,None,None,Standard Efficiency,"EF 17.6, 100% Usage","Gas, 100% Usage",None,Yes,"Standard, 100% Usage","Electric, 100% Usage",100% LED,119%,None,None,None,None,None,None,No,None,No,None,None,"In metro area, principal city",2000-2499,1500-2499,1,Multifamily with 2-4 Units,Bottom,3,Left,1,None,<8,Brick,None,None,4,6,200-300%,F18 B18 L18 R18,None,"Finished, R-38","Brick, 12-in, 3-wythe, Uninsulated",80% Conditioned,15 ACH50,115,RFCWc,"PA, Pittsburgh",120-150%
230,Stochastic,Low,West,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,50% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour20,Hour14,5A,"G4200030, G42001701",None,"PA, Allegheny County",Non-CBSA Middle Atlantic,5A,PA,CR07,Middle Atlantic,Middle Atlantic,Northeast,PJM,Cold,"PA, 01701",10 to 19 Unit,<1940,<1940,Multi-Family with 5+ Units,Natural Gas,None,None,Unheated Basement,Double-Loaded Interior,Occupied,Renter,30000-34999,20000-39999,20000-39999,27,None,"Asphalt Shingles, Medium",None,Uninsulated,Uninsulated,Uninsulated,"Double, Low-E, Non-metal, Air, M-Gain",No,Natural Gas,Natural Gas Standard,Ducted Heating,Room AC,Heating Only,"Boiler Baseboards Heating Only, Natural Gas",Shared Heating,No,Natural Gas Shared Heating,"Room AC, EER 12.0",None,None,None,None,65F,75F,No,No,0F,0F,None,None,Standard Efficiency,"EF 17.6, 100% Usage","Electric, 80% Usage","318 Rated kWh, 80% Usage",Yes,"EnergyStar, 80% Usage","Electric, 80% Usage",100% Incandescent,89%,None,None,None,None,None,None,Yes,"20% Leakage, Uninsulated",No,None,None,"In metro area, principal city",750-999,0-1499,4,"Multifamily with 5+ units, 4-7 stories",Top,12,Right,4+,None,<8,Brick,None,None,1,1,200-300%,F12 B12 L12 R12,None,"Finished, R-49","Brick, 12-in, 3-wythe, Uninsulated",100% Conditioned,15 ACH50,115,RFCWc,"PA, Pittsburgh",30-60%
231,Stochastic,Low,East,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,50% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour19,Hour17,5A,"G4200030, G42001701",None,"PA, Allegheny County",Non-CBSA Middle Atlantic,5A,PA,CR07,Middle Atlantic,Middle Atlantic,Northeast,PJM,Cold,"PA, 01701",Single-Family Detached,1940s,1940-59,Single-Family Detached,Natural Gas,None,None,Slab,Not Applicable,Occupied,Owner,45000-49999,40000-59999,40000-59999,Left/Right at 15ft,No,Composition Shingles,Uninsulated,None,None,None,"Single, Clear, Non-metal",Yes,Natural Gas,Natural Gas Standard,Ducted Heating,Central AC,None,None,"Fuel Furnace, 92.5% AFUE",No,Natural Gas Fuel Furnace,"AC, SEER 15",None,None,None,None,70F,72F,No,Yes,0F,2F,None,Day Setup +3h,Standard Efficiency,"EF 15.9, 100% Usage","Gas, 80% Usage",None,Yes,"Standard, 80% Usage","Gas, 80% Usage",100% Incandescent,101%,None,"EF 12, National Average",None,None,None,None,Yes,"20% Leakage, R-4",No,None,None,"In metro area, principal city",1500-1999,1500-2499,2,Single-Family Detached,None,None,None,2,Vented Attic,<8,Wood Frame,"Brick, Medium/Dark",None,3,2,200-300%,F9 B9 L9 R9,R-38,"Unfinished, Uninsulated","Wood Stud, Uninsulated",100% Conditioned,25 ACH50,115,RFCWc,"PA, Pittsburgh",60-80%
232,Stochastic,Medium,Southwest,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,100% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour9,Hour13,5A,"G4200030, G42001701",None,"PA, Allegheny County",Non-CBSA Middle Atlantic,5A,PA,CR07,Middle Atlantic,Middle Atlantic,Northeast,PJM,Cold,"PA, 01701",10 to 19 Unit,1940s,1940-59,Multi-Family with 5+ Units,Propane,None,None,Slab,Double-Loaded Interior,Vacant,Renter,<10000,<20000,<20000,7,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,"Double, Clear, Metal, Air",No,Propane,Propane Standard,Ducted Heating,Central AC,None,None,"Fuel Furnace, 80% AFUE",No,Propane Fuel Furnace,"AC, SEER 10",None,None,None,None,55F,76F,Yes,Yes,3F,9F,Day -1h,Day Setup,"Standard Efficiency, No usage","EF 17.6, 100% Usage","Propane, 100% Usage","318 Rated kWh, 100% Usage",None,None,None,100% CFL,89%,None,None,None,None,None,None,Yes,"20% Leakage, R-4",No,None,None,"In metro area, principal city",750-999,0-1499,3,"Multifamily with 5+ units, 1-3 stories",Middle,12,Left,3,None,<8,Brick,None,None,1,1,0-100%,F18 B18 L18 R18,None,"Finished, R-30","Brick, 12-in, 3-wythe, Uninsulated",100% Conditioned,15 ACH50,115,RFCWc,"PA, Pittsburgh",0-30%
233,Stochastic,Low,South,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,50% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour8,Hour13,5A,"G4200030, G42001701",None,"PA, Allegheny County",Non-CBSA Middle Atlantic,5A,PA,CR07,Middle Atlantic,Middle Atlantic,Northeast,PJM,Cold,"PA, 01701",3 or 4 Unit,<1940,<1940,Multi-Family with 2 - 4 Units,Natural Gas,None,None,Unheated Basement,Double-Loaded Interior,Occupied,Renter,40000-44999,40000-59999,40000-59999,27,None,Slate,None,Uninsulated,Uninsulated,Uninsulated,"Single, Clear, Non-metal",Yes,Natural Gas,Natural Gas Standard,Ducted Heating,None,Heating Only,"Boiler Baseboards Heating Only, Natural Gas",Shared Heating,No,Natural Gas Shared Heating,None,None,None,None,None,68F,72F,Yes,No,6F,0F,Day -3h,None,None,"EF 17.6, 100% Usage","Gas, 80% Usage","290 Rated kWh, 80% Usage",Yes,"Standard, 80% Usage","Electric, 80% Usage",100% Incandescent,119%,None,None,None,None,None,None,Yes,"30% Leakage, Uninsulated",No,None,None,"In metro area, principal city",1500-1999,1500-2499,1,Multifamily with 2-4 Units,Bottom,3,Left,1,None,<8,Wood Frame,"Wood, Medium/Dark",None,2,4,150-200%,F9 B9 L9 R9,None,"Finished, R-19","Wood Stud, Uninsulated",None,10 ACH50,115,RFCWc,"PA, Pittsburgh",30-60%
234,Stochastic,High,South,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,200% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,200%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour0,Hour12,5A,"G4200030, G42001701",None,"PA, Allegheny County",Non-CBSA Middle Atlantic,5A,PA,CR07,Middle Atlantic,Middle Atlantic,Northeast,PJM,Cold,"PA, 01701",10 to 19 Unit,1950s,1940-59,Multi-Family with 5+ Units,Natural Gas,None,None,Unheated Basement,Double-Loaded Interior,Occupied,Renter,30000-34999,20000-39999,20000-39999,27,None,"Asphalt Shingles, Medium",None,Uninsulated,Uninsulated,Uninsulated,"Single, Clear, Non-metal",No,Natural Gas,Natural Gas Standard,Ducted Heating,Room AC,Heating Only,"Boiler Baseboards Heating Only, Natural Gas",Shared Heating,No,Natural Gas Shared Heating,"Room AC, EER 9.8",None,None,None,None,70F,72F,Yes,No,3F,0F,Day -2h,None,Standard Efficiency,"EF 15.9, 100% Usage","Gas, 120% Usage",None,Yes,"EnergyStar, 120% Usage","Electric, 120% Usage",100% Incandescent,89%,None,None,None,None,None,None,Yes,"20% Leakage, Uninsulated",No,None,None,"In metro area, principal city",0-499,0-1499,2,"Multifamily with 5+ units, 1-3 stories",Top,12,Left,2,None,<8,Brick,None,None,1,1,200-300%,F18 B18 L18 R18,None,"Finished, R-38","Brick, 12-in, 3-wythe, Uninsulated",40% Conditioned,20 ACH50,115,RFCWc,"PA, Pittsburgh",60-80%
235,Stochastic,Low,East,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,50% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour18,Hour13,5A,"G4200030, G42001701",None,"PA, Allegheny County",Non-CBSA Middle Atlantic,5A,PA,CR07,Middle Atlantic,Middle Atlantic,Northeast,PJM,Cold,"PA, 01701",Single-Family Detached,1960s,1960-79,Single-Family Detached,Natural Gas,None,None,Heated Basement,Not Applicable,Occupied,Owner,120000-139999,120000-139999,100000-149999,Left/Right at 15ft,No,"Asphalt Shingles, Medium",None,Uninsulated,Uninsulated,Uninsulated,"Single, Clear, Non-metal",Yes,Natural Gas,Natural Gas Standard,Ducted Heating,Room AC,None,None,"Fuel Furnace, 80% AFUE",No,Natural Gas Fuel Furnace,"Room AC, EER 9.8",None,None,None,None,72F,70F,No,No,0F,0F,None,None,None,"EF 17.6, 100% Usage","Electric, 80% Usage","290 Rated kWh, 80% Usage",Yes,"Standard, 80% Usage","Electric, 80% Usage",100% CFL,101%,None,"EF 12, National Average",None,None,None,None,Yes,"0% Leakage, Uninsulated",No,None,None,"In metro area, principal city",2500-2999,2500-3999,2,Single-Family Detached,None,None,None,2,Vented Attic,<8,Wood Frame,"Vinyl, Light",None,4,3,400%+,F6 B6 L6 R6,R-38,"Unfinished, Uninsulated","Wood Stud, Uninsulated",80% Conditioned,15 ACH50,115,RFCWc,"PA, Pittsburgh",150%+
236,Stochastic,Low,South,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,50% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour8,Hour12,5A,"G4200030, G42001701",None,"PA, Allegheny County",Non-CBSA Middle Atlantic,5A,PA,CR07,Middle Atlantic,Middle Atlantic,Northeast,PJM,Cold,"PA, 01701",Single-Family Detached,1960s,1960-79,Single-Family Detached,Natural Gas,None,None,Unheated Basement,Not Applicable,Occupied,Owner,200000+,140000+,150000+,Left/Right at 15ft,No,Composition Shingles,None,Uninsulated,Uninsulated,Uninsulated,"Double, Clear, Non-metal, Air",Yes,Natural Gas,Natural Gas Tankless,Non-Ducted Heating,None,None,None,"Fuel Wall/Floor Furnace, 60% AFUE",No,Natural Gas Fuel Wall/Floor Furnace,None,None,None,None,None,75F,70F,No,Yes,0F,2F,None,Day and Night Setup +2h,Standard Efficiency,"EF 17.6, 100% Usage","Gas, 80% Usage","290 Rated kWh, 80% Usage",Yes,"Standard, 80% Usage","Gas, 80% Usage",100% Incandescent,101%,EF 10.5,"EF 12, National Average",None,None,None,None,No,None,No,None,None,"In metro area, principal city",1000-1499,0-1499,1,Single-Family Detached,None,None,None,1,Vented Attic,<8,Wood Frame,"Vinyl, Light",None,3,2,400%+,F12 B12 L12 R12,R-19,"Unfinished, Uninsulated","Wood Stud, Uninsulated",None,25 ACH50,115,RFCWc,"PA, Pittsburgh",150%+
237,Stochastic,Medium,East,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,100% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour4,Hour14,5A,"G4200030, G42001701",None,"PA, Allegheny County",Non-CBSA Middle Atlantic,5A,PA,CR07,Middle Atlantic,Middle Atlantic,Northeast,PJM,Cold,"PA, 01701",10 to 19 Unit,1960s,1960-79,Multi-Family with 5+ Units,Natural Gas,None,None,Slab,Double-Loaded Interior,Occupied,Renter,160000-179999,140000+,150000+,12,None,"Asphalt Shingles, Medium",Uninsulated,None,None,None,"Double, Clear, Non-metal, Air",Yes,Natural Gas,Natural Gas Standard,Ducted Heating,Central AC,Cooling Only,Fan Coil Cooling Only,"Fuel Furnace, 92.5% AFUE",No,Natural Gas Fuel Furnace,Shared Cooling,None,None,None,None,70F,75F,Yes,No,6F,0F,Day -4h,None,Standard Efficiency,"EF 15.9, 100% Usage","Electric, 100% Usage","318 Rated kWh, 100% Usage",None,None,None,100% LED,89%,None,None,None,None,None,None,Yes,"20% Leakage, R-4",No,None,None,"In metro area, principal city",1000-1499,0-1499,2,"Multifamily with 5+ units, 1-3 stories",Top,15,Middle,2,None,<8,Wood Frame,"Aluminum, Light",None,2,3,400%+,F18 B18 L18 R18,None,"Finished, R-7","Wood Stud, Uninsulated",100% Conditioned,30 ACH50,115,RFCWc,"PA, Pittsburgh",150%+
238,Stochastic,Low,Southwest,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,50% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour17,Hour6,5A,"G4200030, G42001701",None,"PA, Allegheny County",Non-CBSA Middle Atlantic,5A,PA,CR07,Middle Atlantic,Middle Atlantic,Northeast,PJM,Cold,"PA, 01701",Single-Family Detached,1950s,1940-59,Single-Family Detached,Natural Gas,None,None,Slab,Not Applicable,Occupied,Renter,<10000,<20000,<20000,Left/Right at 15ft,No,"Asphalt Shingles, Medium",Uninsulated,None,None,None,"Single, Clear, Metal",Yes,Natural Gas,Natural Gas Standard,Non-Ducted Heating,Room AC,None,None,"Fuel Wall/Floor Furnace, 68% AFUE",No,Natural Gas Fuel Wall/Floor Furnace,"Room AC, EER 9.8",None,None,None,None,68F,78F,No,No,0F,0F,None,None,None,"EF 17.6, 100% Usage","Gas, 80% Usage","290 Rated kWh, 80% Usage",Yes,"EnergyStar, 80% Usage","Gas, 80% Usage",100% LED,101%,None,None,None,None,None,None,No,None,No,None,None,"In metro area, principal city",0-499,0-1499,1,Single-Family Detached,None,None,None,1,Vented Attic,<8,Brick,None,None,1,4,0-100%,F15 B15 L15 R15,R-30,"Unfinished, Uninsulated","Brick, 12-in, 3-wythe, Uninsulated",20% Conditioned,40 ACH50,115,RFCWc,"PA, Pittsburgh",0-30%
239,Stochastic,Medium,West,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,100% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour19,Hour19,5A,"G4200030, G42001701",None,"PA, Allegheny County",Non-CBSA Middle Atlantic,5A,PA,CR07,Middle Atlantic,Middle Atlantic,Northeast,PJM,Cold,"PA, 01701",10 to 19 Unit,1970s,1960-79,Multi-Family with 5+ Units,Electricity,None,None,Unheated Basement,Double-Loaded Interior,Occupied,Renter,60000-69999,60000-79999,60000-99999,12,None,"Asphalt Shingles, Medium",None,Uninsulated,Uninsulated,Uninsulated,"Double, Low-E, Non-metal, Air, M-Gain",No,Natural Gas,Natural Gas Standard,Non-Ducted Heating,Room AC,None,None,"Electric Baseboard, 100% Efficiency",Yes,Electricity Baseboard,"Room AC, EER 9.8",None,None,None,None,75F,68F,Yes,No,6F,0F,Night +2h,None,Standard Efficiency,"EF 15.9, 100% Usage","Propane, 100% Usage",None,None,None,None,100% Incandescent,89%,None,None,None,None,None,None,No,None,No,None,None,"In metro area, principal city",750-999,0-1499,3,"Multifamily with 5+ units, 1-3 stories",Bottom,10,Right,3,None,<8,Brick,None,None,2,2,300-400%,F15 B15 L15 R15,None,"Finished, R-30","Brick, 12-in, 3-wythe, R-7",60% Conditioned,10 ACH50,115,RFCWc,"PA, Pittsburgh",100-120%
240,Stochastic,Medium,Southwest,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,100% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,100%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour18,Hour11,5A,"G4200030, G42001701",None,"PA, Allegheny County",Non-CBSA Middle Atlantic,5A,PA,CR07,Middle Atlantic,Middle Atlantic,Northeast,PJM,Cold,"PA, 01701",Single-Family Detached,2000s,2000-09,Single-Family Detached,Natural Gas,None,None,Vented Crawlspace,Not Applicable,Occupied,Renter,<10000,<20000,<20000,Left/Right at 15ft,No,Composition Shingles,None,Ceiling R-19,Uninsulated,Uninsulated,"Triple, Low-E, Non-metal, Air, L-Gain",Yes,Natural Gas,Natural Gas Standard,Ducted Heating,Central AC,None,None,"Fuel Furnace, 76% AFUE",No,Natural Gas Fuel Furnace,"AC, SEER 15",None,None,None,None,72F,70F,No,No,0F,0F,None,None,Standard Efficiency,"EF 17.6, 100% Usage","Gas, 100% Usage","290 Rated kWh, 100% Usage",Yes,"Standard, 100% Usage","Electric, 100% Usage",100% Incandescent,101%,None,None,None,None,None,None,Yes,"20% Leakage, R-6",No,None,None,"In metro area, principal city",1000-1499,0-1499,1,Single-Family Detached,None,None,None,1,Vented Attic,<8,Brick,None,None,2,2,0-100%,F9 B9 L9 R9,R-30,"Unfinished, Uninsulated","Brick, 12-in, 3-wythe, R-11",100% Conditioned,20 ACH50,115,RFCWc,"PA, Pittsburgh",0-30%
241,Stochastic,Low,South,2 ft,20 ft^2,None,"Summer = 0.7, Winter = 0.85",Fiberglass,50% Usage,Uninsulated,None,None,None,No,None,100% Usage,100% Usage,No Exterior Use,50%,None,None,None,None,None,"Cooling Season, 7 days/wk",None,Hour3,Hour21,5A,"G4200030, G42001701",None,"PA, Allegheny County",Non-CBSA Middle Atlantic,5A,PA,CR07,Middle Atlantic,Middle Atlantic,Northeast,PJM,Cold,"PA, 01701",Single-Family Attached,1940s,1940-59,Single-Family Attached,Natural Gas,8,Middle,Heated Basement,Not Applicable,Occupied,Renter,70000-79999,60000-79999,60000-99999,12,No,"Asphalt Shingles, Medium",None,Uninsulated,Uninsulated,Uninsulated,"Double, Clear, Non-metal, Air",No,Natural Gas,Natural Gas Standard,Non-Ducted Heating,Room AC,None,None,"Fuel Wall/Floor Furnace, 68% AFUE",No,Natural Gas Fuel Wall/Floor Furnace,"Room AC, EER 12.0",None,None,None,None,68F,65F,No,No,0F,0F,None,None,Standard Efficiency,"EF 15.9, 100% Usage","Gas, 80% Usage",None,Yes,"Standard, 80% Usage","Electric, 80% Usage",100% CFL,108%,None,"EF 12, National Average",None,None,None,None,No,None,No,None,None,"In metro area, principal city",1000-1499,0-1499,1,Single-Family Attached,None,None,None,1,Vented Attic,<8,Brick,None,None,3,4,200-300%,F15 B15 L15 R15,R-19,"Unfinished, Uninsulated","Brick, 12-in, 3-wythe, Uninsulated",40% Conditioned,15 ACH50,115,RFCWc,"PA, Pittsburgh",80-100%
