Dependency=Location Heating Region	Dependency=Vintage	Dependency=Geometry Foundation Type	Option=Uninsulated	Option=Ceiling R-13	Option=Ceiling R-19	Option=None	Count	Weight
H2	<1950	Slab	0.0	0.0	0.0	1.0	0.0	0.0
H2	1950s	Slab	0.0	0.0	0.0	1.0	0.0	0.0
H2	1960s	Slab	0.0	0.0	0.0	1.0	0.0	0.0
H2	1970s	Slab	0.0	0.0	0.0	1.0	0.0	0.0
H2	1980s	Slab	0.0	0.0	0.0	1.0	0.0	0.0
H2	1990s	Slab	0.0	0.0	0.0	1.0	0.0	0.0
H2	2000s	Slab	0.0	0.0	0.0	1.0	0.0	0.0
H2	<1950	Unheated Basement	0.0	0.0	1.0	0.0	4.0	2100.90595105
H2	1950s	Unheated Basement	0.0	0.0	1.0	0.0	2.0	1194.85711803
H2	1960s	Unheated Basement	0.0	0.0	1.0	0.0	1.0	928.094594637
H2	1970s	Unheated Basement	0.333333333333	0.333333333333	0.333333333333	0.0	0.0	0.0
H2	1980s	Unheated Basement	0.0	0.0	1.0	0.0	0.0	695.129809217
H2	1990s	Unheated Basement	0.333333333333	0.333333333333	0.333333333333	0.0	0.0	0.0
H2	2000s	Unheated Basement	0.0	0.0	1.0	0.0	0.0	1616.89252707
H3	<1950	Crawl	0.0	0.0	0.0	1.0	0.0	0.0
H3	1950s	Crawl	0.0	0.0	0.0	1.0	0.0	0.0
H3	1960s	Crawl	0.0	0.0	0.0	1.0	1.0	1892.88
H3	1970s	Crawl	0.0	0.0	0.0	1.0	0.0	0.0
H3	1980s	Crawl	0.0	0.0	0.0	1.0	1.0	596.23
H3	1990s	Crawl	0.0	0.0	0.0	1.0	0.0	0.0
H3	2000s	Crawl	0.0	0.0	0.0	1.0	1.0	572.335
H3	<1950	Heated Basement	0.0	0.0	0.0	1.0	0.0	0.0
H3	1950s	Heated Basement	0.0	0.0	0.0	1.0	0.0	0.0
H3	1960s	Heated Basement	0.0	0.0	0.0	1.0	0.0	0.0
H3	1970s	Heated Basement	0.0	0.0	0.0	1.0	0.0	0.0
H3	1980s	Heated Basement	0.0	0.0	0.0	1.0	0.0	0.0
H3	1990s	Heated Basement	0.0	0.0	0.0	1.0	0.0	0.0
H3	2000s	Heated Basement	0.0	0.0	0.0	1.0	0.0	0.0
H3	<1950	Slab	0.0	0.0	0.0	1.0	0.0	0.0
H3	1950s	Slab	0.0	0.0	0.0	1.0	0.0	0.0
H3	1960s	Slab	0.0	0.0	0.0	1.0	0.0	0.0
H3	1970s	Slab	0.0	0.0	0.0	1.0	0.0	0.0
H3	1980s	Slab	0.0	0.0	0.0	1.0	0.0	0.0
H3	1990s	Slab	0.0	0.0	0.0	1.0	0.0	0.0
H3	2000s	Slab	0.0	0.0	0.0	1.0	0.0	0.0
H3	<1950	Unheated Basement	0.476945409125	0.225817627532	0.297236963343	0.0	1.0	4351.42792659
H3	1950s	Unheated Basement	0.132134968923	0.0	0.867865031077	0.0	0.0	847.601632662
H3	1960s	Unheated Basement	0.0	0.268599133734	0.731400866266	0.0	2.0	781.20456431
H3	1970s	Unheated Basement	0.333333333333	0.333333333333	0.333333333333	0.0	0.0	0.0
H3	1980s	Unheated Basement	0.130462717416	0.0	0.869537282584	0.0	2.0	492.159309183
H3	1990s	Unheated Basement	0.333333333333	0.333333333333	0.333333333333	0.0	0.0	0.0
H3	2000s	Unheated Basement	0.0583080237864	0.0	0.941691976214	0.0	1.0	1057.06156726
