Dependency=Location Heating Region	Dependency=Geometry Foundation Type	Dependency=Vintage	Option=Uninsulated	Option=4ft R5 Perimeter, R5 Gap	Option=R10 Whole Slab, R5 Gap	Option=None	Count	Weight
H2	Crawl	1960s	0.0	0.0	0.0	1.0	1	3785.76
H2	Crawl	1970s	0.0	0.0	0.0	1.0	3	4023.76
H2	Crawl	1980s	0.0	0.0	0.0	1.0	0	0.0
H2	Crawl	1990s	0.0	0.0	0.0	1.0	2	3196.32
H2	Crawl	2000s	0.0	0.0	0.0	1.0	3	3817.93
H2	Heated Basement	<1950	0.0	0.0	0.0	1.0	1	6135.655
H2	Heated Basement	1950s	0.0	0.0	0.0	1.0	1	1192.46
H2	Heated Basement	1960s	0.0	0.0	0.0	1.0	0	0.0
H2	Heated Basement	1970s	0.0	0.0	0.0	1.0	2	14164.19
H2	Heated Basement	1980s	0.0	0.0	0.0	1.0	1	1192.46
H2	Heated Basement	1990s	0.0	0.0	0.0	1.0	0	0.0
H2	Heated Basement	2000s	0.0	0.0	0.0	1.0	1	1892.88
H2	Slab	<1950	0.647080283942	0.0	0.352919716058	0.0	3	2727.32
H2	Slab	1950s	0.908938891916	0.0	0.0910611080837	0.0	4	6285.175
H2	Slab	1960s	1.0	0.0	0.0	0.0	2	9751.56
H2	Slab	1970s	1.0	0.0	0.0	0.0	4	7820.92
H2	Slab	1980s	1.0	0.0	0.0	0.0	2	5690.04
H2	Slab	1990s	0.588511249163	0.0	0.411488750837	0.0	5	6018.67
H2	Slab	2000s	0.469340280384	0.0	0.530659719616	0.0	7	12657.65
H2	Unheated Basement	<1950	0.0	0.0	0.0	1.0	0	0.0
H2	Unheated Basement	1950s	0.0	0.0	0.0	1.0	0	0.0
H2	Unheated Basement	1960s	0.0	0.0	0.0	1.0	0	0.0
H2	Unheated Basement	1970s	0.0	0.0	0.0	1.0	0	0.0
H2	Unheated Basement	1980s	0.0	0.0	0.0	1.0	0	0.0
H2	Unheated Basement	1990s	0.0	0.0	0.0	1.0	0	0.0
H2	Unheated Basement	2000s	0.0	0.0	0.0	1.0	0	0.0
H3	Crawl	<1950	0.0	0.0	0.0	1.0	1	1065.44
H3	Crawl	1950s	0.0	0.0	0.0	1.0	1	1065.44
H3	Crawl	1960s	0.0	0.0	0.0	1.0	2	3817.93
H3	Crawl	1970s	0.0	0.0	0.0	1.0	2	1168.565
H3	Crawl	1980s	0.0	0.0	0.0	1.0	0	0.0
H3	Crawl	1990s	0.0	0.0	0.0	1.0	3	2210.11
H3	Crawl	2000s	0.0	0.0	0.0	1.0	0	0.0
H3	Heated Basement	<1950	0.0	0.0	0.0	1.0	1	1065.44
H3	Heated Basement	1950s	0.0	0.0	0.0	1.0	0	0.0
H3	Heated Basement	1960s	0.0	0.0	0.0	1.0	0	0.0
H3	Heated Basement	1970s	0.0	0.0	0.0	1.0	0	0.0
H3	Heated Basement	1980s	0.0	0.0	0.0	1.0	0	0.0
H3	Heated Basement	1990s	0.0	0.0	0.0	1.0	0	0.0
H3	Heated Basement	2000s	0.0	0.0	0.0	1.0	0	0.0
H3	Slab	<1950	0.333333333333	0.333333333333	0.333333333333	0.0	0	0.0
H3	Slab	1950s	0.641232170036	0.0	0.358767829964	0.0	2	2969.72
H3	Slab	1960s	1.0	0.0	0.0	0.0	1	1892.88
H3	Slab	1970s	1.0	0.0	0.0	0.0	4	7085.205
H3	Slab	1980s	0.0	1.0	0.0	0.0	1	1144.67
H3	Slab	1990s	0.704360065808	0.0	0.295639934192	0.0	7	9573.25
H3	Slab	2000s	0.762876181235	0.0	0.237123818765	0.0	4	8986.36
H3	Unheated Basement	<1950	0.0	0.0	0.0	1.0	0	0.0
H3	Unheated Basement	1950s	0.0	0.0	0.0	1.0	0	0.0
H3	Unheated Basement	1960s	0.0	0.0	0.0	1.0	0	0.0
H3	Unheated Basement	1970s	0.0	0.0	0.0	1.0	0	0.0
H3	Unheated Basement	1980s	0.0	0.0	0.0	1.0	0	0.0
H3	Unheated Basement	1990s	0.0	0.0	0.0	1.0	0	0.0
H3	Unheated Basement	2000s	0.0	0.0	0.0	1.0	0	0.0
