ParameterName=HVAC System Heating																				
Dependency=Location Region	Dependency=Vintage	Dependency=Heating Fuel	Dependency=HVAC System Is Combined	None	Electric Baseboard	Electric Boiler	"Gas Boiler, 96% AFUE"	"Gas Boiler, 72% AFUE"	"Gas Boiler, 76% AFUE"	"Gas Boiler, 80% AFUE"	"Gas Boiler, 85% AFUE"	"Oil Boiler, 72% AFUE"	"Propane Boiler, 72% AFUE"	Electric Furnace	"Gas Furnace, 60% AFUE"	"Gas Furnace, 68% AFUE"	"Gas Furnace, 76% AFUE"	"Gas Furnace, 80% AFUE"	"Gas Furnace, 90% AFUE"	"Gas Furnace, 96% AFUE"
H1C1 WA	pre-1950	Fuel Oil	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C1 WA	1950s	Fuel Oil	No	0.918320948	0	0	0	0	0	0	0	0.081679052	0	0	0	0	0	0	0	0
H1C1 WA	1960s	Fuel Oil	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C1 WA	1970s	Fuel Oil	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C1 WA	1980s	Fuel Oil	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C1 WA	1990s	Fuel Oil	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C1 WA	2000s	Fuel Oil	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C1 WA	2010s	Fuel Oil	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C2	pre-1950	Fuel Oil	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C2	1950s	Fuel Oil	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C2	1960s	Fuel Oil	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C2	1970s	Fuel Oil	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C2	1980s	Fuel Oil	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C2	1990s	Fuel Oil	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C2	2000s	Fuel Oil	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C2	2010s	Fuel Oil	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C3	pre-1950	Fuel Oil	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C3	1950s	Fuel Oil	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C3	1960s	Fuel Oil	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C3	1970s	Fuel Oil	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C3	1980s	Fuel Oil	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C3	1990s	Fuel Oil	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C3	2000s	Fuel Oil	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C3	2010s	Fuel Oil	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2	pre-1950	Fuel Oil	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2	1950s	Fuel Oil	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2	1960s	Fuel Oil	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2	1970s	Fuel Oil	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2	1980s	Fuel Oil	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2	1990s	Fuel Oil	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2	2000s	Fuel Oil	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2	2010s	Fuel Oil	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H3	pre-1950	Fuel Oil	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H3	1950s	Fuel Oil	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H3	1960s	Fuel Oil	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H3	1970s	Fuel Oil	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H3	1980s	Fuel Oil	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H3	1990s	Fuel Oil	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H3	2000s	Fuel Oil	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H3	2010s	Fuel Oil	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C1 OR	pre-1950	Natural Gas	No	0.753957055	0	0	0	0	0	0.082014315	0	0	0	0	0	0	0	0.16402863	0	0
H1C1 OR	1950s	Natural Gas	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.229172445	0.502383215	0.26844434
H1C1 OR	1960s	Natural Gas	No	0.269503339	0	0	0	0	0	0	0	0	0	0	0	0	0	0.311683508	0.139604384	0.279208769
H1C1 OR	1970s	Natural Gas	No	0.617901877	0	0	0	0	0	0	0	0	0	0	0	0.04876479	0	0	0.04876479	0.284568544
H1C1 OR	1980s	Natural Gas	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.322103842	0.402914295	0.274981864
H1C1 OR	1990s	Natural Gas	No	0.148003255	0	0	0	0	0	0	0	0	0	0	0	0	0	0.641163451	0.105416647	0.105416647
H1C1 OR	2000s	Natural Gas	No	0.437100595	0	0	0	0	0	0	0	0	0	0	0.041932937	0.041932937	0	0.479033532	0	0
H1C1 OR	2010s	Natural Gas	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
H1C1 WA	pre-1950	Natural Gas	No	0.16899443	0	0	0.022814932	0.032026632	0.007604977	0.042320056	0	0	0	0	0	0.030120301	0.015209955	0.420382482	0.112854081	0.147672154
H1C1 WA	1950s	Natural Gas	No	0.289155293	0	0	0	0	0	0	0	0	0	0	0	0.060467308	0.026129777	0.624247622	0	0
H1C1 WA	1960s	Natural Gas	No	0.198216426	0	0	0	0.011140655	0	0	0	0	0	0	0	0	0.011140655	0.570242142	0.115427457	0.093832666
H1C1 WA	1970s	Natural Gas	No	0.151504643	0	0	0	0	0	0	0.065653813	0	0	0	0	0	0	0.316708065	0.23500523	0.231128249
H1C1 WA	1980s	Natural Gas	No	0.046357341	0	0	0	0	0	0	0	0	0	0	0	0	0	0.505698582	0.023644422	0.424299654
H1C1 WA	1990s	Natural Gas	No	0.101451248	0	0	0	0	0	0	0	0	0	0	0.023146852	0	0	0.656837368	0.163406988	0.055157544
H1C1 WA	2000s	Natural Gas	No	0.351874654	0	0	0.087409359	0	0	0.013444826	0	0	0	0	0	0	0.017668048	0.485898434	0.043704679	0
H1C1 WA	2010s	Natural Gas	No	0.50933957	0	0	0.49066043	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C2	pre-1950	Natural Gas	No	0.3002807	0	0	0	0	0	0	0	0	0	0	0	0	0	0.628090228	0.071629072	0
H1C2	1950s	Natural Gas	No	0.68673273	0	0	0	0	0	0	0	0	0	0	0	0	0	0.31326727	0	0
H1C2	1960s	Natural Gas	No	0.351282069	0	0	0	0	0	0	0	0	0	0	0	0	0	0.55554101	0	0.09317692
H1C2	1970s	Natural Gas	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75	0	0.25
H1C2	1980s	Natural Gas	No	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0.4	0.4
H1C2	1990s	Natural Gas	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
H1C2	2000s	Natural Gas	No	0.12075532	0	0	0	0	0	0	0	0	0	0	0	0	0	0.87924468	0	0
H1C2	2010s	Natural Gas	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C3	pre-1950	Natural Gas	No	0.325973648	0	0	0	0	0	0	0	0	0	0	0	0	0	0.505519764	0.168506588	0
H1C3	1950s	Natural Gas	No	0.285714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0.428571429	0.142857143	0.142857143
H1C3	1960s	Natural Gas	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.291886566	0.124340303	0.583773131
H1C3	1970s	Natural Gas	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666666667	0	0	0.333333333
H1C3	1980s	Natural Gas	No	0.291886566	0	0	0	0	0	0	0	0	0	0	0	0	0	0.416226869	0	0.291886566
H1C3	1990s	Natural Gas	No	0	0	0	0.153774914	0	0	0	0	0	0	0	0	0.153774914	0	0.538675258	0.153774914	0
H1C3	2000s	Natural Gas	No	0.318956785	0	0	0	0	0	0	0	0	0	0	0	0	0	0.681043215	0	0
H1C3	2010s	Natural Gas	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2	pre-1950	Natural Gas	No	0.650224307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.174386098	0.175389595
H2	1950s	Natural Gas	No	0.504407452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.096023692	0.399568855
H2	1960s	Natural Gas	No	0	0	0	0	0	0.409448736	0	0	0	0	0	0	0	0	0.181102528	0.409448736	0
H2	1970s	Natural Gas	No	0.2362621	0	0	0	0	0	0.064566525	0	0	0	0	0	0	0	0.151502173	0.490314173	0.057355029
H2	1980s	Natural Gas	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.497288037	0.502711963	0
H2	1990s	Natural Gas	No	0.129604133	0	0	0	0	0	0.01529044	0	0	0	0	0	0.101139954	0	0.472756136	0.189634207	0.09157513
H2	2000s	Natural Gas	No	0.531689193	0	0	0	0	0	0.019811363	0	0	0	0	0	0	0	0.448499445	0	0
H2	2010s	Natural Gas	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
H3	pre-1950	Natural Gas	No	0.360193903	0	0	0	0	0.047788936	0.073460284	0	0	0	0	0	0	0	0.242498441	0.228269499	0.047788936
H3	1950s	Natural Gas	No	0.094968482	0	0	0	0	0	0.148113715	0	0	0	0	0	0.145983824	0	0.252274291	0.189936963	0.168722725
H3	1960s	Natural Gas	No	0.130993393	0	0	0.070367269	0.130993393	0	0.261986786	0.130993393	0	0	0	0	0	0.130993393	0.070367269	0	0.073305105
H3	1970s	Natural Gas	No	0.277130578	0	0	0	0	0	0.204054377	0.068018126	0	0	0	0	0	0	0.188860359	0.141094327	0.120842234
H3	1980s	Natural Gas	No	0.073090377	0	0	0	0	0.130609683	0.261219366	0.130609683	0	0	0	0	0	0	0.200770831	0.20370006	0
H3	1990s	Natural Gas	No	0.113860201	0	0	0	0.113860201	0	0	0	0	0	0	0	0	0	0.411211293	0.06116363	0.299904675
H3	2000s	Natural Gas	No	0.160115377	0	0	0.041020335	0	0	0.193744548	0	0	0	0	0	0	0	0.240443448	0.085465871	0.279210419
H3	2010s	Natural Gas	No	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
H1C1 OR	pre-1950	None	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C1 OR	1950s	None	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C1 OR	1960s	None	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C1 OR	1970s	None	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C1 OR	1980s	None	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C1 OR	1990s	None	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C1 OR	2000s	None	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C1 OR	2010s	None	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C1 WA	pre-1950	None	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C1 WA	1950s	None	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C1 WA	1960s	None	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C1 WA	1970s	None	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C1 WA	1980s	None	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C1 WA	1990s	None	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C1 WA	2000s	None	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C1 WA	2010s	None	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C2	pre-1950	None	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C2	1950s	None	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C2	1960s	None	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C2	1970s	None	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C2	1980s	None	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C2	1990s	None	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C2	2000s	None	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C2	2010s	None	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C3	pre-1950	None	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C3	1950s	None	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C3	1960s	None	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C3	1970s	None	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C3	1980s	None	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C3	1990s	None	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C3	2000s	None	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C3	2010s	None	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2	pre-1950	None	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2	1950s	None	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2	1960s	None	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2	1970s	None	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2	1980s	None	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2	1990s	None	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2	2000s	None	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2	2010s	None	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H3	pre-1950	None	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H3	1950s	None	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H3	1960s	None	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H3	1970s	None	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H3	1980s	None	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H3	1990s	None	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H3	2000s	None	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H3	2010s	None	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C1 OR	pre-1950	Other Fuel	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C1 OR	1950s	Other Fuel	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C1 OR	1960s	Other Fuel	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C1 OR	1970s	Other Fuel	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C1 OR	1980s	Other Fuel	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C1 OR	1990s	Other Fuel	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C1 OR	2000s	Other Fuel	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C1 OR	2010s	Other Fuel	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C1 WA	pre-1950	Other Fuel	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C1 WA	1950s	Other Fuel	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C1 WA	1960s	Other Fuel	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C1 WA	1970s	Other Fuel	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C1 WA	1980s	Other Fuel	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C1 WA	1990s	Other Fuel	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C1 WA	2000s	Other Fuel	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C1 WA	2010s	Other Fuel	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C2	pre-1950	Other Fuel	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C2	1950s	Other Fuel	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C2	1960s	Other Fuel	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C2	1970s	Other Fuel	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C2	1980s	Other Fuel	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C2	1990s	Other Fuel	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C2	2000s	Other Fuel	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C2	2010s	Other Fuel	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C3	pre-1950	Other Fuel	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C3	1950s	Other Fuel	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C3	1960s	Other Fuel	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C3	1970s	Other Fuel	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C3	1980s	Other Fuel	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C3	1990s	Other Fuel	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C3	2000s	Other Fuel	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1C3	2010s	Other Fuel	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2	pre-1950	Other Fuel	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2	1950s	Other Fuel	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2	1960s	Other Fuel	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2	1970s	Other Fuel	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2	1980s	Other Fuel	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2	1990s	Other Fuel	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2	2000s	Other Fuel	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H2	2010s	Other Fuel	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H3	pre-1950	Other Fuel	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H3	1950s	Other Fuel	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H3	1960s	Other Fuel	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H3	1970s	Other Fuel	No	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
