Dependency=Location Region	Dependency=Vintage	Dependency=Geometry Foundation Type	Dependency=Geometry Building Type RECS	Option=Uninsulated, Vented	Option=Wall R-5, Unvented	Option=Wall R-10, Unvented	Option=Wall R-15, Unvented	Option=Ceiling R-13, Vented	Option=Ceiling R-19, Vented	Option=None
CR03	2020s	Crawl	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.120000	0.000000	0.870000	0.000000
CR04	2020s	Crawl	Multi-Family with 2 - 4 Units	0.080000	0.220000	0.260000	0.000000	0.290000	0.150000	0.000000
CR06	2020s	Crawl	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.190000	0.000000	0.820000	0.000000
CR07	2020s	Crawl	Multi-Family with 2 - 4 Units	0.030000	0.060000	0.220000	0.000000	0.070000	0.620000	0.000000
CR08	2020s	Crawl	Multi-Family with 2 - 4 Units	0.130000	0.060000	0.290000	0.000000	0.100000	0.420000	0.000000
CR09	2020s	Crawl	Multi-Family with 2 - 4 Units	0.100000	0.000000	0.040000	0.000000	0.510000	0.350000	0.000000
CR10	2020s	Crawl	Multi-Family with 2 - 4 Units	0.000000	0.100000	0.050000	0.000000	0.330000	0.520000	0.000000
CR11	2020s	Crawl	Multi-Family with 2 - 4 Units	0.000000	0.070000	0.090000	0.000000	0.090000	0.750000	0.000000
CR02	2020s	Heated Basement	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2020s	Heated Basement	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2020s	Heated Basement	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	2020s	Heated Basement	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	2020s	Heated Basement	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	2020s	Heated Basement	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	2020s	Heated Basement	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	2020s	Heated Basement	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	2020s	Heated Basement	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	2020s	Heated Basement	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	2020s	Heated Basement	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2020s	Heated Basement	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2020s	Heated Basement	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	2020s	Heated Basement	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	2020s	Heated Basement	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	2020s	Heated Basement	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	2020s	Heated Basement	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	2020s	Heated Basement	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	2020s	Heated Basement	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	2020s	Heated Basement	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	2020s	Heated Basement	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2020s	Heated Basement	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2020s	Heated Basement	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	2020s	Heated Basement	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	2020s	Heated Basement	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	2020s	Heated Basement	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	2020s	Heated Basement	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	2020s	Heated Basement	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	2020s	Heated Basement	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	2020s	Heated Basement	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	2020s	Heated Basement	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2020s	Heated Basement	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2020s	Heated Basement	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	2020s	Heated Basement	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	2020s	Heated Basement	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	2020s	Heated Basement	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	2020s	Heated Basement	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	2020s	Heated Basement	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	2020s	Heated Basement	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	2020s	Heated Basement	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	2020s	Heated Basement	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2020s	Heated Basement	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2020s	Heated Basement	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	2020s	Heated Basement	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	2020s	Heated Basement	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	2020s	Heated Basement	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	2020s	Heated Basement	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	2020s	Heated Basement	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	2020s	Heated Basement	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	2020s	Heated Basement	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	2020s	Pier and Beam	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2020s	Pier and Beam	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2020s	Pier and Beam	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	2020s	Pier and Beam	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	2020s	Pier and Beam	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	2020s	Pier and Beam	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	2020s	Pier and Beam	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	2020s	Pier and Beam	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	2020s	Pier and Beam	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	2020s	Pier and Beam	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	2020s	Pier and Beam	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2020s	Pier and Beam	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2020s	Pier and Beam	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	2020s	Pier and Beam	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	2020s	Pier and Beam	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	2020s	Pier and Beam	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	2020s	Pier and Beam	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	2020s	Pier and Beam	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	2020s	Pier and Beam	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	2020s	Pier and Beam	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	2020s	Pier and Beam	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2020s	Pier and Beam	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2020s	Pier and Beam	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	2020s	Pier and Beam	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	2020s	Pier and Beam	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	2020s	Pier and Beam	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	2020s	Pier and Beam	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	2020s	Pier and Beam	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	2020s	Pier and Beam	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	2020s	Pier and Beam	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	2020s	Pier and Beam	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2020s	Pier and Beam	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2020s	Pier and Beam	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	2020s	Pier and Beam	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	2020s	Pier and Beam	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	2020s	Pier and Beam	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	2020s	Pier and Beam	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	2020s	Pier and Beam	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	2020s	Pier and Beam	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	2020s	Pier and Beam	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	2020s	Pier and Beam	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2020s	Pier and Beam	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2020s	Pier and Beam	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	2020s	Pier and Beam	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	2020s	Pier and Beam	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	2020s	Pier and Beam	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	2020s	Pier and Beam	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	2020s	Pier and Beam	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	2020s	Pier and Beam	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	2020s	Pier and Beam	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	2020s	Slab	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2020s	Slab	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2020s	Slab	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	2020s	Slab	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	2020s	Slab	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	2020s	Slab	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	2020s	Slab	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	2020s	Slab	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	2020s	Slab	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	2020s	Slab	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	2020s	Slab	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2020s	Slab	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2020s	Slab	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	2020s	Slab	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	2020s	Slab	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	2020s	Slab	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	2020s	Slab	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	2020s	Slab	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	2020s	Slab	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	2020s	Slab	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	2020s	Slab	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2020s	Slab	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2020s	Slab	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	2020s	Slab	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	2020s	Slab	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	2020s	Slab	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	2020s	Slab	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	2020s	Slab	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	2020s	Slab	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	2020s	Slab	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	2020s	Slab	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2020s	Slab	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2020s	Slab	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	2020s	Slab	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	2020s	Slab	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	2020s	Slab	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	2020s	Slab	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	2020s	Slab	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	2020s	Slab	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	2020s	Slab	Multi-Family with 5+ Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	2020s	Slab	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2020s	Slab	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2020s	Slab	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	2020s	Slab	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	2020s	Slab	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	2020s	Slab	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	2020s	Slab	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	2020s	Slab	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	2020s	Slab	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	2020s	Slab	Multi-Family with 2 - 4 Units	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	2020s	Unheated Basement	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2020s	Unheated Basement	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2020s	Unheated Basement	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	2020s	Unheated Basement	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	2020s	Unheated Basement	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	2020s	Unheated Basement	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	2020s	Unheated Basement	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	2020s	Unheated Basement	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	2020s	Unheated Basement	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	2020s	Unheated Basement	Single-Family Detached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	2020s	Unheated Basement	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2020s	Unheated Basement	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2020s	Unheated Basement	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	2020s	Unheated Basement	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	2020s	Unheated Basement	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	2020s	Unheated Basement	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	2020s	Unheated Basement	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR09	2020s	Unheated Basement	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR10	2020s	Unheated Basement	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR11	2020s	Unheated Basement	Single-Family Attached	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR02	2020s	Unheated Basement	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR05	2020s	Unheated Basement	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR03	2020s	Unheated Basement	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR04	2020s	Unheated Basement	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR06	2020s	Unheated Basement	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR07	2020s	Unheated Basement	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
CR08	2020s	Unheated Basement	Mobile Home	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000
