occupants,lighting_interior,lighting_exterior,cooking_range,refrigerator,extra_refrigerator,freezer,hot_water_dishwasher,dishwasher,hot_water_clothes_washer,clothes_washer,clothes_dryer,plug_loads_tv,plug_loads_other,plug_loads_vehicle,plug_loads_well_pump,fuel_loads_grill,fuel_loads_lighting,fuel_loads_fireplace,pool_pump,pool_heater,hot_tub_pump,hot_tub_heater,hot_water_fixtures
1,0.557,0.57,0.0865,0.88,0.88,0.88,0.322,0.322,0.363,0.363,0.543,0.468,0.497,1,0.667,0.0655,0.667,0.667,0.0181,0.0181,0.19,0.19,0.437
1,0.249,0.395,0.0595,0.82,0.82,0.82,0.227,0.227,0.193,0.193,0.296,0.203,0.447,1,0.578,0.0353,0.578,0.578,0.0181,0.0181,0.19,0.19,0.299
1,0.124,0.288,0.0379,0.8,0.8,0.8,0.11,0.11,0.102,0.102,0.123,0.0833,0.434,1,0.391,0.0202,0.391,0.391,0.0181,0.0181,0.19,0.19,0.138
1,0.0743,0.288,0.0379,0.78,0.78,0.78,0.0512,0.0512,0.0793,0.0793,0.0741,0.0405,0.41,1,0.205,0.00504,0.205,0.205,0.0181,0.0181,0.23,0.23,0.069
1,0.0495,0.288,0.0216,0.76,0.76,0.76,0.0365,0.0365,0.0453,0.0453,0.0494,0.0203,0.397,1,0.169,0.00504,0.169,0.169,0.0181,0.0181,0.19,0.19,0.046
1,0.0495,0.288,0.0216,0.74,0.74,0.74,0.0219,0.0219,0.0453,0.0453,0.0247,0.0158,0.385,1,0.133,0.0101,0.133,0.133,0.0241,0.0241,0.23,0.23,0.0575
1,0.0511,0.288,0.0379,0.72,0.72,0.72,0.0219,0.0219,0.0793,0.0793,0.0494,0.0248,0.397,1,0.142,0.0353,0.142,0.142,0.0482,0.0482,0.373,0.373,0.115
1,0.131,0.232,0.0595,0.72,0.72,0.72,0.0731,0.0731,0.125,0.125,0.0741,0.0405,0.41,1,0.16,0.0605,0.16,0.16,0.0903,0.0903,0.532,0.532,0.391
1,0.308,0.219,0.135,0.76,0.76,0.76,0.146,0.146,0.249,0.249,0.198,0.0653,0.459,1,0.231,0.146,0.231,0.231,0.157,0.157,0.452,0.452,0.897
0.869,0.39,0.213,0.227,0.8,0.8,0.8,0.227,0.227,0.555,0.555,0.395,0.09,0.521,1,0.293,0.232,0.293,0.293,0.265,0.265,0.19,0.19,1
0.41,0.387,0.207,0.249,0.82,0.82,0.82,0.424,0.424,0.827,0.827,0.593,0.11,0.534,1,0.293,0.222,0.293,0.293,0.506,0.506,0.19,0.19,0.92
0.246,0.37,0.175,0.26,0.82,0.82,0.82,0.475,0.475,0.975,0.975,0.84,0.131,0.534,1,0.285,0.207,0.285,0.285,0.729,0.729,0.151,0.151,0.77
0.246,0.359,0.138,0.227,0.8,0.8,0.8,0.409,0.409,0.952,0.952,0.963,0.146,0.534,1,0.293,0.222,0.293,0.293,0.765,0.765,0.119,0.119,0.644
0.246,0.343,0.094,0.27,0.8,0.8,0.8,0.351,0.351,0.85,0.85,1,0.162,0.546,1,0.293,0.232,0.293,0.293,0.729,0.729,0.111,0.111,0.54
0.246,0.331,0.0752,0.308,0.84,0.84,0.84,0.3,0.3,0.759,0.759,0.914,0.171,0.559,1,0.285,0.212,0.285,0.285,0.723,0.723,0.111,0.111,0.46
0.246,0.328,0.0689,0.249,0.84,0.84,0.84,0.336,0.336,0.68,0.68,0.827,0.194,0.559,1,0.285,0.191,0.285,0.285,0.542,0.542,0.111,0.111,0.402
0.246,0.327,0.0689,0.308,0.84,0.84,0.84,0.263,0.263,0.555,0.555,0.704,0.205,0.546,1,0.285,0.247,0.285,0.285,0.452,0.452,0.19,0.19,0.379
0.246,0.328,0.0752,0.238,0.82,0.82,0.82,0.278,0.278,0.589,0.589,0.753,0.23,0.571,1,0.293,0.297,0.293,0.293,0.367,0.367,0.46,0.46,0.356
0.295,0.332,0.119,0.498,0.88,0.88,0.88,0.278,0.278,0.567,0.567,0.679,0.286,0.596,1,0.4,0.554,0.4,0.4,0.223,0.223,1,1,0.448
0.541,0.345,0.232,0.811,0.96,0.96,0.96,0.358,0.358,0.555,0.555,0.667,0.351,0.646,1,0.507,0.811,0.507,0.507,0.139,0.139,0.968,0.968,0.586
0.885,0.384,0.307,0.633,1,1,1,0.636,0.636,0.555,0.555,0.63,0.473,0.658,1,0.587,0.58,0.587,0.587,0.0783,0.0783,0.54,0.54,0.69
0.885,0.467,0.407,0.325,0.96,0.96,0.96,0.811,0.811,0.555,0.555,0.63,0.662,0.621,1,0.676,0.353,0.676,0.676,0.0482,0.0482,0.484,0.484,0.69
0.885,0.595,0.57,0.189,0.94,0.94,0.94,0.658,0.658,0.555,0.555,0.642,0.817,0.583,1,0.72,0.222,0.72,0.72,0.0241,0.0241,0.405,0.405,0.632
1,0.726,0.658,0.135,0.92,0.92,0.92,0.49,0.49,0.533,0.533,0.667,0.774,0.559,1,0.765,0.0957,0.765,0.765,0.0181,0.0181,0.341,0.341,0.552
1,0.557,0.57,0.0865,0.88,0.88,0.88,0.322,0.322,0.363,0.363,0.543,0.468,0.497,1,0.667,0.0655,0.667,0.667,0.0181,0.0181,0.19,0.19,0.437
1,0.249,0.395,0.0595,0.82,0.82,0.82,0.227,0.227,0.193,0.193,0.296,0.203,0.447,1,0.578,0.0353,0.578,0.578,0.0181,0.0181,0.19,0.19,0.299
1,0.124,0.288,0.0379,0.8,0.8,0.8,0.11,0.11,0.102,0.102,0.123,0.099,0.434,1,0.391,0.0202,0.391,0.391,0.0181,0.0181,0.19,0.19,0.138
1,0.0743,0.288,0.0379,0.78,0.78,0.78,0.0512,0.0512,0.0793,0.0793,0.0741,0.0495,0.41,1,0.205,0.00504,0.205,0.205,0.0181,0.0181,0.23,0.23,0.069
1,0.0495,0.282,0.0216,0.76,0.76,0.76,0.0365,0.0365,0.0453,0.0453,0.0494,0.027,0.397,1,0.169,0.00504,0.169,0.169,0.0181,0.0181,0.19,0.19,0.046
1,0.0495,0.282,0.0216,0.74,0.74,0.74,0.0219,0.0219,0.0453,0.0453,0.0247,0.018,0.385,1,0.133,0.0101,0.133,0.133,0.0241,0.0241,0.23,0.23,0.0575
1,0.0511,0.288,0.0379,0.72,0.72,0.72,0.0219,0.0219,0.0793,0.0793,0.0494,0.0248,0.397,1,0.142,0.0353,0.142,0.142,0.0482,0.0482,0.373,0.373,0.115
1,0.131,0.282,0.0595,0.72,0.72,0.72,0.0731,0.0731,0.125,0.125,0.0741,0.0315,0.41,1,0.16,0.0605,0.16,0.16,0.0903,0.0903,0.532,0.532,0.391
1,0.308,0.276,0.135,0.76,0.76,0.76,0.146,0.146,0.249,0.249,0.198,0.054,0.459,1,0.231,0.146,0.231,0.231,0.157,0.157,0.452,0.452,0.897
0.869,0.39,0.257,0.227,0.8,0.8,0.8,0.227,0.227,0.555,0.555,0.395,0.0968,0.521,1,0.293,0.232,0.293,0.293,0.265,0.265,0.19,0.19,1
0.41,0.387,0.226,0.249,0.82,0.82,0.82,0.424,0.424,0.827,0.827,0.593,0.16,0.534,1,0.293,0.222,0.293,0.293,0.506,0.506,0.19,0.19,0.92
0.246,0.37,0.188,0.26,0.82,0.82,0.82,0.475,0.475,0.975,0.975,0.84,0.212,0.534,1,0.285,0.207,0.285,0.285,0.729,0.729,0.151,0.151,0.77
0.246,0.359,0.15,0.227,0.8,0.8,0.8,0.409,0.409,0.952,0.952,0.963,0.252,0.534,1,0.293,0.222,0.293,0.293,0.765,0.765,0.119,0.119,0.644
0.246,0.343,0.1,0.27,0.8,0.8,0.8,0.351,0.351,0.85,0.85,1,0.277,0.546,1,0.293,0.232,0.293,0.293,0.729,0.729,0.111,0.111,0.54
0.246,0.331,0.0752,0.308,0.84,0.84,0.84,0.3,0.3,0.759,0.759,0.914,0.297,0.559,1,0.285,0.212,0.285,0.285,0.723,0.723,0.111,0.111,0.46
0.246,0.328,0.0689,0.249,0.84,0.84,0.84,0.336,0.336,0.68,0.68,0.827,0.351,0.559,1,0.285,0.191,0.285,0.285,0.542,0.542,0.111,0.111,0.402
0.246,0.327,0.0689,0.308,0.84,0.84,0.84,0.263,0.263,0.555,0.555,0.704,0.401,0.546,1,0.285,0.247,0.285,0.285,0.452,0.452,0.19,0.19,0.379
0.246,0.328,0.0752,0.238,0.82,0.82,0.82,0.278,0.278,0.589,0.589,0.753,0.441,0.571,1,0.293,0.297,0.293,0.293,0.367,0.367,0.46,0.46,0.356
0.295,0.332,0.119,0.498,0.88,0.88,0.88,0.278,0.278,0.567,0.567,0.679,0.464,0.596,1,0.4,0.554,0.4,0.4,0.223,0.223,1,1,0.448
0.541,0.345,0.238,0.811,0.96,0.96,0.96,0.358,0.358,0.555,0.555,0.667,0.479,0.646,1,0.507,0.811,0.507,0.507,0.139,0.139,0.968,0.968,0.586
0.885,0.384,0.301,0.633,1,1,1,0.636,0.636,0.555,0.555,0.63,0.565,0.658,1,0.587,0.58,0.587,0.587,0.0783,0.0783,0.54,0.54,0.69
0.885,0.467,0.376,0.325,0.96,0.96,0.96,0.811,0.811,0.555,0.555,0.63,0.743,0.621,1,0.676,0.353,0.676,0.676,0.0482,0.0482,0.484,0.484,0.69
0.885,0.595,0.52,0.189,0.94,0.94,0.94,0.658,0.658,0.555,0.555,0.642,0.873,0.583,1,0.72,0.222,0.72,0.72,0.0241,0.0241,0.405,0.405,0.632
1,0.726,0.614,0.135,0.92,0.92,0.92,0.49,0.49,0.533,0.533,0.667,0.806,0.559,1,0.765,0.0957,0.765,0.765,0.0181,0.0181,0.341,0.341,0.552
1,0.557,0.533,0.0865,0.88,0.88,0.88,0.322,0.322,0.363,0.363,0.543,0.509,0.497,1,0.667,0.0655,0.667,0.667,0.0181,0.0181,0.19,0.19,0.437
1,0.249,0.37,0.0595,0.82,0.82,0.82,0.227,0.227,0.193,0.193,0.296,0.232,0.447,1,0.578,0.0353,0.578,0.578,0.0181,0.0181,0.19,0.19,0.299
1,0.124,0.288,0.0379,0.8,0.8,0.8,0.11,0.11,0.102,0.102,0.123,0.099,0.434,1,0.391,0.0202,0.391,0.391,0.0181,0.0181,0.19,0.19,0.138
1,0.0743,0.288,0.0379,0.78,0.78,0.78,0.0512,0.0512,0.0793,0.0793,0.0741,0.0495,0.41,1,0.205,0.00504,0.205,0.205,0.0181,0.0181,0.23,0.23,0.069
1,0.0495,0.282,0.0216,0.76,0.76,0.76,0.0365,0.0365,0.0453,0.0453,0.0494,0.027,0.397,1,0.169,0.00504,0.169,0.169,0.0181,0.0181,0.19,0.19,0.046
1,0.0495,0.282,0.0216,0.74,0.74,0.74,0.0219,0.0219,0.0453,0.0453,0.0247,0.018,0.385,1,0.133,0.0101,0.133,0.133,0.0241,0.0241,0.23,0.23,0.0575
1,0.0511,0.288,0.0379,0.72,0.72,0.72,0.0219,0.0219,0.0793,0.0793,0.0494,0.0248,0.397,1,0.142,0.0353,0.142,0.142,0.0482,0.0482,0.373,0.373,0.115
1,0.131,0.282,0.0595,0.72,0.72,0.72,0.0731,0.0731,0.125,0.125,0.0741,0.0315,0.41,1,0.16,0.0605,0.16,0.16,0.0903,0.0903,0.532,0.532,0.391
1,0.308,0.276,0.135,0.76,0.76,0.76,0.146,0.146,0.249,0.249,0.198,0.054,0.459,1,0.231,0.146,0.231,0.231,0.157,0.157,0.452,0.452,0.897
0.869,0.39,0.257,0.227,0.8,0.8,0.8,0.227,0.227,0.555,0.555,0.395,0.0968,0.521,1,0.293,0.232,0.293,0.293,0.265,0.265,0.19,0.19,1
0.41,0.387,0.226,0.249,0.82,0.82,0.82,0.424,0.424,0.827,0.827,0.593,0.16,0.534,1,0.293,0.222,0.293,0.293,0.506,0.506,0.19,0.19,0.92
0.246,0.37,0.188,0.26,0.82,0.82,0.82,0.475,0.475,0.975,0.975,0.84,0.212,0.534,1,0.285,0.207,0.285,0.285,0.729,0.729,0.151,0.151,0.77
0.246,0.359,0.15,0.227,0.8,0.8,0.8,0.409,0.409,0.952,0.952,0.963,0.252,0.534,1,0.293,0.222,0.293,0.293,0.765,0.765,0.119,0.119,0.644
0.246,0.343,0.1,0.27,0.8,0.8,0.8,0.351,0.351,0.85,0.85,1,0.277,0.546,1,0.293,0.232,0.293,0.293,0.729,0.729,0.111,0.111,0.54
0.246,0.331,0.0752,0.308,0.84,0.84,0.84,0.3,0.3,0.759,0.759,0.914,0.297,0.559,1,0.285,0.212,0.285,0.285,0.723,0.723,0.111,0.111,0.46
0.246,0.328,0.0689,0.249,0.84,0.84,0.84,0.336,0.336,0.68,0.68,0.827,0.351,0.559,1,0.285,0.191,0.285,0.285,0.542,0.542,0.111,0.111,0.402
0.246,0.327,0.0689,0.308,0.84,0.84,0.84,0.263,0.263,0.555,0.555,0.704,0.401,0.546,1,0.285,0.247,0.285,0.285,0.452,0.452,0.19,0.19,0.379
0.246,0.328,0.0752,0.238,0.82,0.82,0.82,0.278,0.278,0.589,0.589,0.753,0.441,0.571,1,0.293,0.297,0.293,0.293,0.367,0.367,0.46,0.46,0.356
0.295,0.332,0.119,0.498,0.88,0.88,0.88,0.278,0.278,0.567,0.567,0.679,0.464,0.596,1,0.4,0.554,0.4,0.4,0.223,0.223,1,1,0.448
0.541,0.345,0.238,0.811,0.96,0.96,0.96,0.358,0.358,0.555,0.555,0.667,0.479,0.646,1,0.507,0.811,0.507,0.507,0.139,0.139,0.968,0.968,0.586
0.885,0.384,0.301,0.633,1,1,1,0.636,0.636,0.555,0.555,0.63,0.565,0.658,1,0.587,0.58,0.587,0.587,0.0783,0.0783,0.54,0.54,0.69
0.885,0.467,0.376,0.325,0.96,0.96,0.96,0.811,0.811,0.555,0.555,0.63,0.743,0.621,1,0.676,0.353,0.676,0.676,0.0482,0.0482,0.484,0.484,0.69
0.885,0.595,0.52,0.189,0.94,0.94,0.94,0.658,0.658,0.555,0.555,0.642,0.873,0.583,1,0.72,0.222,0.72,0.72,0.0241,0.0241,0.405,0.405,0.632
1,0.726,0.614,0.135,0.92,0.92,0.92,0.49,0.49,0.533,0.533,0.667,0.806,0.559,1,0.765,0.0957,0.765,0.765,0.0181,0.0181,0.341,0.341,0.552
1,0.557,0.533,0.0865,0.88,0.88,0.88,0.322,0.322,0.363,0.363,0.543,0.509,0.497,1,0.667,0.0655,0.667,0.667,0.0181,0.0181,0.19,0.19,0.437
1,0.249,0.37,0.0595,0.82,0.82,0.82,0.227,0.227,0.193,0.193,0.296,0.232,0.447,1,0.578,0.0353,0.578,0.578,0.0181,0.0181,0.19,0.19,0.299
1,0.124,0.288,0.0379,0.8,0.8,0.8,0.11,0.11,0.102,0.102,0.123,0.0833,0.434,1,0.391,0.0202,0.391,0.391,0.0181,0.0181,0.19,0.19,0.138
1,0.0743,0.288,0.0379,0.78,0.78,0.78,0.0512,0.0512,0.0793,0.0793,0.0741,0.0405,0.41,1,0.205,0.00504,0.205,0.205,0.0181,0.0181,0.23,0.23,0.069
1,0.0495,0.288,0.0216,0.76,0.76,0.76,0.0365,0.0365,0.0453,0.0453,0.0494,0.0203,0.397,1,0.169,0.00504,0.169,0.169,0.0181,0.0181,0.19,0.19,0.046
1,0.0495,0.288,0.0216,0.74,0.74,0.74,0.0219,0.0219,0.0453,0.0453,0.0247,0.0158,0.385,1,0.133,0.0101,0.133,0.133,0.0241,0.0241,0.23,0.23,0.0575
1,0.0511,0.288,0.0379,0.72,0.72,0.72,0.0219,0.0219,0.0793,0.0793,0.0494,0.0248,0.397,1,0.142,0.0353,0.142,0.142,0.0482,0.0482,0.373,0.373,0.115
1,0.131,0.232,0.0595,0.72,0.72,0.72,0.0731,0.0731,0.125,0.125,0.0741,0.0405,0.41,1,0.16,0.0605,0.16,0.16,0.0903,0.0903,0.532,0.532,0.391
1,0.308,0.219,0.135,0.76,0.76,0.76,0.146,0.146,0.249,0.249,0.198,0.0653,0.459,1,0.231,0.146,0.231,0.231,0.157,0.157,0.452,0.452,0.897
0.869,0.39,0.213,0.227,0.8,0.8,0.8,0.227,0.227,0.555,0.555,0.395,0.09,0.521,1,0.293,0.232,0.293,0.293,0.265,0.265,0.19,0.19,1
0.41,0.387,0.207,0.249,0.82,0.82,0.82,0.424,0.424,0.827,0.827,0.593,0.11,0.534,1,0.293,0.222,0.293,0.293,0.506,0.506,0.19,0.19,0.92
0.246,0.37,0.175,0.26,0.82,0.82,0.82,0.475,0.475,0.975,0.975,0.84,0.131,0.534,1,0.285,0.207,0.285,0.285,0.729,0.729,0.151,0.151,0.77
0.246,0.359,0.138,0.227,0.8,0.8,0.8,0.409,0.409,0.952,0.952,0.963,0.146,0.534,1,0.293,0.222,0.293,0.293,0.765,0.765,0.119,0.119,0.644
0.246,0.343,0.094,0.27,0.8,0.8,0.8,0.351,0.351,0.85,0.85,1,0.162,0.546,1,0.293,0.232,0.293,0.293,0.729,0.729,0.111,0.111,0.54
0.246,0.331,0.0752,0.308,0.84,0.84,0.84,0.3,0.3,0.759,0.759,0.914,0.171,0.559,1,0.285,0.212,0.285,0.285,0.723,0.723,0.111,0.111,0.46
0.246,0.328,0.0689,0.249,0.84,0.84,0.84,0.336,0.336,0.68,0.68,0.827,0.194,0.559,1,0.285,0.191,0.285,0.285,0.542,0.542,0.111,0.111,0.402
0.246,0.327,0.0689,0.308,0.84,0.84,0.84,0.263,0.263,0.555,0.555,0.704,0.205,0.546,1,0.285,0.247,0.285,0.285,0.452,0.452,0.19,0.19,0.379
0.246,0.328,0.0752,0.238,0.82,0.82,0.82,0.278,0.278,0.589,0.589,0.753,0.23,0.571,1,0.293,0.297,0.293,0.293,0.367,0.367,0.46,0.46,0.356
0.295,0.332,0.119,0.498,0.88,0.88,0.88,0.278,0.278,0.567,0.567,0.679,0.286,0.596,1,0.4,0.554,0.4,0.4,0.223,0.223,1,1,0.448
0.541,0.345,0.232,0.811,0.96,0.96,0.96,0.358,0.358,0.555,0.555,0.667,0.351,0.646,1,0.507,0.811,0.507,0.507,0.139,0.139,0.968,0.968,0.586
0.885,0.384,0.307,0.633,1,1,1,0.636,0.636,0.555,0.555,0.63,0.473,0.658,1,0.587,0.58,0.587,0.587,0.0783,0.0783,0.54,0.54,0.69
0.885,0.467,0.407,0.325,0.96,0.96,0.96,0.811,0.811,0.555,0.555,0.63,0.662,0.621,1,0.676,0.353,0.676,0.676,0.0482,0.0482,0.484,0.484,0.69
0.885,0.595,0.57,0.189,0.94,0.94,0.94,0.658,0.658,0.555,0.555,0.642,0.817,0.583,1,0.72,0.222,0.72,0.72,0.0241,0.0241,0.405,0.405,0.632
1,0.726,0.658,0.135,0.92,0.92,0.92,0.49,0.49,0.533,0.533,0.667,0.774,0.559,1,0.765,0.0957,0.765,0.765,0.0181,0.0181,0.341,0.341,0.552
1,0.557,0.57,0.0865,0.88,0.88,0.88,0.322,0.322,0.363,0.363,0.543,0.468,0.497,1,0.667,0.0655,0.667,0.667,0.0181,0.0181,0.19,0.19,0.437
1,0.249,0.395,0.0595,0.82,0.82,0.82,0.227,0.227,0.193,0.193,0.296,0.203,0.447,1,0.578,0.0353,0.578,0.578,0.0181,0.0181,0.19,0.19,0.299
1,0.124,0.288,0.0379,0.8,0.8,0.8,0.11,0.11,0.102,0.102,0.123,0.0833,0.434,1,0.391,0.0202,0.391,0.391,0.0181,0.0181,0.19,0.19,0.138
1,0.0743,0.288,0.0379,0.78,0.78,0.78,0.0512,0.0512,0.0793,0.0793,0.0741,0.0405,0.41,1,0.205,0.00504,0.205,0.205,0.0181,0.0181,0.23,0.23,0.069
1,0.0495,0.288,0.0216,0.76,0.76,0.76,0.0365,0.0365,0.0453,0.0453,0.0494,0.0203,0.397,1,0.169,0.00504,0.169,0.169,0.0181,0.0181,0.19,0.19,0.046
1,0.0495,0.288,0.0216,0.74,0.74,0.74,0.0219,0.0219,0.0453,0.0453,0.0247,0.0158,0.385,1,0.133,0.0101,0.133,0.133,0.0241,0.0241,0.23,0.23,0.0575
1,0.0511,0.288,0.0379,0.72,0.72,0.72,0.0219,0.0219,0.0793,0.0793,0.0494,0.0248,0.397,1,0.142,0.0353,0.142,0.142,0.0482,0.0482,0.373,0.373,0.115
1,0.131,0.232,0.0595,0.72,0.72,0.72,0.0731,0.0731,0.125,0.125,0.0741,0.0405,0.41,1,0.16,0.0605,0.16,0.16,0.0903,0.0903,0.532,0.532,0.391
1,0.308,0.219,0.135,0.76,0.76,0.76,0.146,0.146,0.249,0.249,0.198,0.0653,0.459,1,0.231,0.146,0.231,0.231,0.157,0.157,0.452,0.452,0.897
0.869,0.39,0.213,0.227,0.8,0.8,0.8,0.227,0.227,0.555,0.555,0.395,0.09,0.521,1,0.293,0.232,0.293,0.293,0.265,0.265,0.19,0.19,1
0.41,0.387,0.207,0.249,0.82,0.82,0.82,0.424,0.424,0.827,0.827,0.593,0.11,0.534,1,0.293,0.222,0.293,0.293,0.506,0.506,0.19,0.19,0.92
0.246,0.37,0.175,0.26,0.82,0.82,0.82,0.475,0.475,0.975,0.975,0.84,0.131,0.534,1,0.285,0.207,0.285,0.285,0.729,0.729,0.151,0.151,0.77
0.246,0.359,0.138,0.227,0.8,0.8,0.8,0.409,0.409,0.952,0.952,0.963,0.146,0.534,1,0.293,0.222,0.293,0.293,0.765,0.765,0.119,0.119,0.644
0.246,0.343,0.094,0.27,0.8,0.8,0.8,0.351,0.351,0.85,0.85,1,0.162,0.546,1,0.293,0.232,0.293,0.293,0.729,0.729,0.111,0.111,0.54
0.246,0.331,0.0752,0.308,0.84,0.84,0.84,0.3,0.3,0.759,0.759,0.914,0.171,0.559,1,0.285,0.212,0.285,0.285,0.723,0.723,0.111,0.111,0.46
0.246,0.328,0.0689,0.249,0.84,0.84,0.84,0.336,0.336,0.68,0.68,0.827,0.194,0.559,1,0.285,0.191,0.285,0.285,0.542,0.542,0.111,0.111,0.402
0.246,0.327,0.0689,0.308,0.84,0.84,0.84,0.263,0.263,0.555,0.555,0.704,0.205,0.546,1,0.285,0.247,0.285,0.285,0.452,0.452,0.19,0.19,0.379
0.246,0.328,0.0752,0.238,0.82,0.82,0.82,0.278,0.278,0.589,0.589,0.753,0.23,0.571,1,0.293,0.297,0.293,0.293,0.367,0.367,0.46,0.46,0.356
0.295,0.332,0.119,0.498,0.88,0.88,0.88,0.278,0.278,0.567,0.567,0.679,0.286,0.596,1,0.4,0.554,0.4,0.4,0.223,0.223,1,1,0.448
0.541,0.345,0.232,0.811,0.96,0.96,0.96,0.358,0.358,0.555,0.555,0.667,0.351,0.646,1,0.507,0.811,0.507,0.507,0.139,0.139,0.968,0.968,0.586
0.885,0.384,0.307,0.633,1,1,1,0.636,0.636,0.555,0.555,0.63,0.473,0.658,1,0.587,0.58,0.587,0.587,0.0783,0.0783,0.54,0.54,0.69
0.885,0.467,0.407,0.325,0.96,0.96,0.96,0.811,0.811,0.555,0.555,0.63,0.662,0.621,1,0.676,0.353,0.676,0.676,0.0482,0.0482,0.484,0.484,0.69
0.885,0.595,0.57,0.189,0.94,0.94,0.94,0.658,0.658,0.555,0.555,0.642,0.817,0.583,1,0.72,0.222,0.72,0.72,0.0241,0.0241,0.405,0.405,0.632
1,0.726,0.658,0.135,0.92,0.92,0.92,0.49,0.49,0.533,0.533,0.667,0.774,0.559,1,0.765,0.0957,0.765,0.765,0.0181,0.0181,0.341,0.341,0.552
1,0.557,0.57,0.0865,0.88,0.88,0.88,0.322,0.322,0.363,0.363,0.543,0.468,0.497,1,0.667,0.0655,0.667,0.667,0.0181,0.0181,0.19,0.19,0.437
1,0.249,0.395,0.0595,0.82,0.82,0.82,0.227,0.227,0.193,0.193,0.296,0.203,0.447,1,0.578,0.0353,0.578,0.578,0.0181,0.0181,0.19,0.19,0.299
1,0.124,0.288,0.0379,0.8,0.8,0.8,0.11,0.11,0.102,0.102,0.123,0.0833,0.434,1,0.391,0.0202,0.391,0.391,0.0181,0.0181,0.19,0.19,0.138
1,0.0743,0.288,0.0379,0.78,0.78,0.78,0.0512,0.0512,0.0793,0.0793,0.0741,0.0405,0.41,1,0.205,0.00504,0.205,0.205,0.0181,0.0181,0.23,0.23,0.069
1,0.0495,0.288,0.0216,0.76,0.76,0.76,0.0365,0.0365,0.0453,0.0453,0.0494,0.0203,0.397,1,0.169,0.00504,0.169,0.169,0.0181,0.0181,0.19,0.19,0.046
1,0.0495,0.288,0.0216,0.74,0.74,0.74,0.0219,0.0219,0.0453,0.0453,0.0247,0.0158,0.385,1,0.133,0.0101,0.133,0.133,0.0241,0.0241,0.23,0.23,0.0575
1,0.0511,0.288,0.0379,0.72,0.72,0.72,0.0219,0.0219,0.0793,0.0793,0.0494,0.0248,0.397,1,0.142,0.0353,0.142,0.142,0.0482,0.0482,0.373,0.373,0.115
1,0.131,0.232,0.0595,0.72,0.72,0.72,0.0731,0.0731,0.125,0.125,0.0741,0.0405,0.41,1,0.16,0.0605,0.16,0.16,0.0903,0.0903,0.532,0.532,0.391
1,0.308,0.219,0.135,0.76,0.76,0.76,0.146,0.146,0.249,0.249,0.198,0.0653,0.459,1,0.231,0.146,0.231,0.231,0.157,0.157,0.452,0.452,0.897
0.869,0.39,0.213,0.227,0.8,0.8,0.8,0.227,0.227,0.555,0.555,0.395,0.09,0.521,1,0.293,0.232,0.293,0.293,0.265,0.265,0.19,0.19,1
0.41,0.387,0.207,0.249,0.82,0.82,0.82,0.424,0.424,0.827,0.827,0.593,0.11,0.534,1,0.293,0.222,0.293,0.293,0.506,0.506,0.19,0.19,0.92
0.246,0.37,0.175,0.26,0.82,0.82,0.82,0.475,0.475,0.975,0.975,0.84,0.131,0.534,1,0.285,0.207,0.285,0.285,0.729,0.729,0.151,0.151,0.77
0.246,0.359,0.138,0.227,0.8,0.8,0.8,0.409,0.409,0.952,0.952,0.963,0.146,0.534,1,0.293,0.222,0.293,0.293,0.765,0.765,0.119,0.119,0.644
0.246,0.343,0.094,0.27,0.8,0.8,0.8,0.351,0.351,0.85,0.85,1,0.162,0.546,1,0.293,0.232,0.293,0.293,0.729,0.729,0.111,0.111,0.54
0.246,0.331,0.0752,0.308,0.84,0.84,0.84,0.3,0.3,0.759,0.759,0.914,0.171,0.559,1,0.285,0.212,0.285,0.285,0.723,0.723,0.111,0.111,0.46
0.246,0.328,0.0689,0.249,0.84,0.84,0.84,0.336,0.336,0.68,0.68,0.827,0.194,0.559,1,0.285,0.191,0.285,0.285,0.542,0.542,0.111,0.111,0.402
0.246,0.327,0.0689,0.308,0.84,0.84,0.84,0.263,0.263,0.555,0.555,0.704,0.205,0.546,1,0.285,0.247,0.285,0.285,0.452,0.452,0.19,0.19,0.379
0.246,0.328,0.0752,0.238,0.82,0.82,0.82,0.278,0.278,0.589,0.589,0.753,0.23,0.571,1,0.293,0.297,0.293,0.293,0.367,0.367,0.46,0.46,0.356
0.295,0.332,0.119,0.498,0.88,0.88,0.88,0.278,0.278,0.567,0.567,0.679,0.286,0.596,1,0.4,0.554,0.4,0.4,0.223,0.223,1,1,0.448
0.541,0.345,0.232,0.811,0.96,0.96,0.96,0.358,0.358,0.555,0.555,0.667,0.351,0.646,1,0.507,0.811,0.507,0.507,0.139,0.139,0.968,0.968,0.586
0.885,0.384,0.307,0.633,1,1,1,0.636,0.636,0.555,0.555,0.63,0.473,0.658,1,0.587,0.58,0.587,0.587,0.0783,0.0783,0.54,0.54,0.69
0.885,0.467,0.407,0.325,0.96,0.96,0.96,0.811,0.811,0.555,0.555,0.63,0.662,0.621,1,0.676,0.353,0.676,0.676,0.0482,0.0482,0.484,0.484,0.69
0.885,0.595,0.57,0.189,0.94,0.94,0.94,0.658,0.658,0.555,0.555,0.642,0.817,0.583,1,0.72,0.222,0.72,0.72,0.0241,0.0241,0.405,0.405,0.632
