Dependency=Geometry Building Type RECS	Dependency=PUMA	Dependency=Vintage	Option=Electricity	Option=Fuel Oil	Option=Natural Gas	Option=None	Option=Other Fuel	Option=Propane	source_count	source_weight	sampling_probability
Multi-Family with 2 - 4 Units	CA, 03706	2010s	0.378071	0	0.545984	0.058399	0.00456863	0.0129776	0	0	0
Multi-Family with 2 - 4 Units	CA, 03706	<1940	0.22255	0.000937785	0.699453	0.0569101	0.00583436	0.0143146	2	41	2.92649e-05
Multi-Family with 5+ Units	CA, 03706	1940s	0.337284	0.00137054	0.551069	0.0921662	0.00555776	0.0125522	6	120	8.56532e-05
Multi-Family with 5+ Units	CA, 03706	1950s	0.428571	0	0.379906	0.191523	0	0	28	637	0.000454676
Multi-Family with 5+ Units	CA, 03706	1960s	0.349684	0	0.545095	0.0751582	0	0.0300633	45	1264	0.000902213
Multi-Family with 5+ Units	CA, 03706	1970s	0.385086	0	0.479218	0.131214	0	0.00448248	112	2454	0.00175161
Multi-Family with 5+ Units	CA, 03706	1980s	0.490476	0	0.432738	0.0767857	0	0	84	1680	0.00119915
Multi-Family with 5+ Units	CA, 03706	1990s	0.47245	0	0.264947	0.262603	0	0	43	853	0.000608853
Multi-Family with 5+ Units	CA, 03706	2000s	0.651644	0	0.249695	0.0986602	0	0	47	821	0.00058601
Multi-Family with 5+ Units	CA, 03706	2010s	0.550985	0.000687278	0.393285	0.0364662	0.00800477	0.010572	6	165	0.000117773
Multi-Family with 5+ Units	CA, 03706	<1940	0.342642	0.00203135	0.522612	0.102219	0.0197163	0.0107792	2	29	2.06995e-05
Single-Family Attached	CA, 03706	1940s	0	0	0.796296	0.122222	0.0814815	0	10	270	0.000192719
Single-Family Attached	CA, 03706	1950s	0.233503	0	0.69797	0.0685279	0	0	19	394	0.000281227
Single-Family Attached	CA, 03706	1960s	0.328358	0	0.235075	0.436567	0	0	10	268	0.000191293
Single-Family Attached	CA, 03706	1970s	0.283757	0	0.716243	0	0	0	30	511	0.00036474
Single-Family Attached	CA, 03706	1980s	0.319508	0	0.479263	0.175115	0	0.0261137	39	651	0.00046467
Single-Family Attached	CA, 03706	1990s	0.537037	0	0.385185	0.0777778	0	0	15	270	0.000192719
Single-Family Attached	CA, 03706	2000s	0.363636	0	0.636364	0	0	0	12	220	0.000157031
Single-Family Attached	CA, 03706	2010s	0.296508	0.000531138	0.646838	0.0223078	0.0163325	0.0174833	3	42	2.99785e-05
Single-Family Attached	CA, 03706	<1940	0.232409	0.00100237	0.668846	0.0764595	0.0076343	0.0136485	3	39	2.78372e-05
Single-Family Detached	CA, 03706	1940s	0.170038	0	0.678255	0.0764855	0.0689001	0.00632111	98	1582	0.00112919
Single-Family Detached	CA, 03706	1950s	0.141716	0	0.79415	0.050685	0.00731277	0.006136	769	11897	0.00849179
Single-Family Detached	CA, 03706	1960s	0.161047	0	0.787375	0.0320246	0.0109315	0.00862202	449	6495	0.00463598
Single-Family Detached	CA, 03706	1970s	0.231162	0	0.677522	0.0625798	0.0287356	0	194	3132	0.00223554
Single-Family Detached	CA, 03706	1980s	0.228629	0	0.738998	0	0.0323723	0	132	1977	0.00141114
Single-Family Detached	CA, 03706	1990s	0.191176	0	0.785604	0	0.0100619	0.0131579	79	1292	0.0009222
Single-Family Detached	CA, 03706	2000s	0.270142	0	0.612051	0.0765064	0.00744753	0.0338524	85	1477	0.00105425
Single-Family Detached	CA, 03706	2010s	0.247059	0	0.6	0	0	0.152941	13	255	0.000182013
Single-Family Detached	CA, 03706	<1940	0.335347	0	0.549849	0.092145	0.0226586	0	40	662	0.000472521
Mobile Home	CA, 03707	1940s	0.27644	0.00942408	0.543246	0.0703665	0.0467016	0.053822	1	26	1.47778e-05
Mobile Home	CA, 03707	1950s	0.245718	0.0144714	0.555286	0.0614294	0.0341996	0.0888955	4	73	4.14917e-05
Mobile Home	CA, 03707	1960s	0.158416	0	0.336634	0.50495	0	0	10	202	0.000114813
Mobile Home	CA, 03707	1970s	0.0962343	0	0.648536	0.25523	0	0	14	239	0.000135842
Mobile Home	CA, 03707	1980s	0.396783	0	0.603217	0	0	0	24	373	0.000212006
Mobile Home	CA, 03707	1990s	0.250204	0.011341	0.482191	0.0385061	0.0712372	0.146521	7	171	9.71929e-05
Mobile Home	CA, 03707	2000s	0.20365	0.00564591	0.548931	0.0297835	0.0511585	0.160831	3	53	3.01241e-05
Mobile Home	CA, 03707	2010s	0.243698	0.00650826	0.539669	0.0572314	0.0295455	0.123347	1	18	1.02308e-05
Mobile Home	CA, 03707	<1940	0.23987	0.00605496	0.467629	0.172799	0.0843037	0.0293433	0	0	0
Multi-Family with 2 - 4 Units	CA, 03707	1940s	0.257133	0.00100602	0.66116	0.0642833	0.00314928	0.0132678	8	129	7.33208e-05
Multi-Family with 2 - 4 Units	CA, 03707	1950s	0.416667	0	0.583333	0	0	0	15	336	0.000190975
Multi-Family with 2 - 4 Units	CA, 03707	1960s	0.314509	0.00068541	0.59464	0.0724384	0.00391759	0.013809	9	172	9.77613e-05
Multi-Family with 2 - 4 Units	CA, 03707	1970s	0.376441	0.000294134	0.556915	0.0490744	0.00447175	0.012804	7	109	6.19534e-05
Multi-Family with 2 - 4 Units	CA, 03707	1980s	0.381514	0.000568711	0.552781	0.0454061	0.00449524	0.0152342	9	177	0.000100603
Multi-Family with 2 - 4 Units	CA, 03707	1990s	0.398895	0.00190177	0.525946	0.0456092	0.00463766	0.0230104	4	113	6.42267e-05
Multi-Family with 2 - 4 Units	CA, 03707	2000s	0.355009	0.0011379	0.574909	0.0444787	0.0051373	0.0193276	3	112	6.36584e-05
Multi-Family with 2 - 4 Units	CA, 03707	2010s	0.378071	0	0.545984	0.058399	0.00456863	0.0129776	1	38	2.15984e-05
Multi-Family with 2 - 4 Units	CA, 03707	<1940	0.22255	0.000937785	0.699453	0.0569101	0.00583436	0.0143146	2	28	1.59146e-05
Multi-Family with 5+ Units	CA, 03707	1940s	0.506224	0	0.145228	0.323651	0	0.0248963	29	482	0.000273959
Multi-Family with 5+ Units	CA, 03707	1950s	0.446602	0	0.393204	0.160194	0	0	19	412	0.000234172
Multi-Family with 5+ Units	CA, 03707	1960s	0.349776	0	0.54858	0.0866966	0	0.0149477	36	669	0.000380246
Multi-Family with 5+ Units	CA, 03707	1970s	0.461617	0	0.465711	0.0573183	0	0.0153531	48	977	0.000555306
Multi-Family with 5+ Units	CA, 03707	1980s	0.491385	0.00446713	0.297384	0.198468	0	0.00829611	91	1567	0.00089065
Multi-Family with 5+ Units	CA, 03707	1990s	0.521739	0	0.194373	0.283887	0	0	23	391	0.000222236
Multi-Family with 5+ Units	CA, 03707	2000s	0.459091	0	0.297727	0.243182	0	0	21	440	0.000250087
Multi-Family with 5+ Units	CA, 03707	2010s	0.550985	0.000687278	0.393285	0.0364662	0.00800477	0.010572	9	135	7.67312e-05
Multi-Family with 5+ Units	CA, 03707	<1940	0.342642	0.00203135	0.522612	0.102219	0.0197163	0.0107792	5	60	3.41028e-05
Single-Family Attached	CA, 03707	1940s	0.279412	0	0.54902	0.171569	0	0	13	204	0.000115949
Single-Family Attached	CA, 03707	1950s	0.162717	0	0.680885	0.14534	0	0.0110585	40	633	0.000359784
Single-Family Attached	CA, 03707	1960s	0.363036	0	0.636964	0	0	0	15	303	0.000172219
Single-Family Attached	CA, 03707	1970s	0.753086	0	0.222222	0.0246914	0	0	14	243	0.000138116
Single-Family Attached	CA, 03707	1980s	0.32376	0	0.496084	0.180157	0	0	21	383	0.000217689
Single-Family Attached	CA, 03707	1990s	0.442922	0	0.493151	0.0639269	0	0	11	219	0.000124475
Single-Family Attached	CA, 03707	2000s	0.275318	0.00107701	0.676398	0.0187513	0.00586121	0.0225946	9	132	7.50259e-05
Single-Family Attached	CA, 03707	2010s	0.296508	0.000531138	0.646838	0.0223078	0.0163325	0.0174833	1	18	1.02308e-05
Single-Family Attached	CA, 03707	<1940	0.232409	0.00100237	0.668846	0.0764595	0.0076343	0.0136485	8	132	7.50259e-05
Single-Family Detached	CA, 03707	1940s	0.24751	0	0.620887	0.111681	0.00664051	0.013281	213	3313	0.00188304
Single-Family Detached	CA, 03707	1950s	0.203579	0.000611087	0.652553	0.125884	0.0138804	0.00349192	707	11455	0.00651078
Single-Family Detached	CA, 03707	1960s	0.186343	0	0.707755	0.087963	0.0083912	0.00954861	227	3456	0.00196432
Single-Family Detached	CA, 03707	1970s	0.257525	0	0.585762	0.110368	0.0339226	0.0124224	123	2093	0.00118962
Single-Family Detached	CA, 03707	1980s	0.21788	0	0.62167	0.127886	0	0.0325636	104	1689	0.000959992
Single-Family Detached	CA, 03707	1990s	0.21492	0	0.735346	0.0497336	0	0	36	563	0.000319998
Single-Family Detached	CA, 03707	2000s	0.320048	0	0.549517	0.0700483	0.0144928	0.0458937	49	828	0.000470617
Single-Family Detached	CA, 03707	2010s	0.287273	0	0.574545	0.138182	0	0	10	275	0.000156305
Single-Family Detached	CA, 03707	<1940	0.3125	0	0.564941	0.10498	0.0131836	0.00439453	122	2048	0.00116404
Mobile Home	CA, 03708	1940s	0.27644	0.00942408	0.543246	0.0703665	0.0467016	0.053822	0	0	0
Mobile Home	CA, 03708	1950s	0.245718	0.0144714	0.555286	0.0614294	0.0341996	0.0888955	7	137	9.92999e-05
Mobile Home	CA, 03708	1960s	0.219653	0	0.780347	0	0	0	11	173	0.000125393
Mobile Home	CA, 03708	1970s	0.20279	0.0107468	0.62047	0.0265523	0.0608849	0.0785554	4	71	5.14618e-05
Mobile Home	CA, 03708	1980s	0.226907	0.0090661	0.54274	0.0239257	0.0729682	0.124393	3	44	3.18919e-05
Mobile Home	CA, 03708	1990s	0.250204	0.011341	0.482191	0.0385061	0.0712372	0.146521	2	13	9.42259e-06
Mobile Home	CA, 03708	2000s	0.20365	0.00564591	0.548931	0.0297835	0.0511585	0.160831	3	43	3.11671e-05
Mobile Home	CA, 03708	2010s	0.243698	0.00650826	0.539669	0.0572314	0.0295455	0.123347	1	14	1.01474e-05
Mobile Home	CA, 03708	<1940	0.23987	0.00605496	0.467629	0.172799	0.0843037	0.0293433	0	0	0
Multi-Family with 2 - 4 Units	CA, 03708	1940s	0.257133	0.00100602	0.66116	0.0642833	0.00314928	0.0132678	7	97	7.03068e-05
Multi-Family with 2 - 4 Units	CA, 03708	1950s	0.376068	0	0.603989	0.019943	0	0	16	351	0.000254409
Multi-Family with 2 - 4 Units	CA, 03708	1960s	0.297578	0	0.702422	0	0	0	11	289	0.000209471
Multi-Family with 2 - 4 Units	CA, 03708	1970s	0.287671	0	0.616438	0.0767123	0	0.0191781	20	365	0.000264557
Multi-Family with 2 - 4 Units	CA, 03708	1980s	0.381514	0.000568711	0.552781	0.0454061	0.00449524	0.0152342	9	152	0.000110172
Multi-Family with 2 - 4 Units	CA, 03708	1990s	0.398895	0.00190177	0.525946	0.0456092	0.00463766	0.0230104	7	125	9.06017e-05
Multi-Family with 2 - 4 Units	CA, 03708	2000s	0.355009	0.0011379	0.574909	0.0444787	0.0051373	0.0193276	2	15	1.08722e-05
Multi-Family with 2 - 4 Units	CA, 03708	2010s	0.378071	0	0.545984	0.058399	0.00456863	0.0129776	0	0	0
Multi-Family with 2 - 4 Units	CA, 03708	<1940	0.22255	0.000937785	0.699453	0.0569101	0.00583436	0.0143146	5	116	8.40782e-05
Multi-Family with 5+ Units	CA, 03708	1940s	0.587467	0	0.412533	0	0	0	19	383	0.000277603
Multi-Family with 5+ Units	CA, 03708	1950s	0.44382	0	0.492135	0.0640449	0	0	44	890	0.000645083
Multi-Family with 5+ Units	CA, 03708	1960s	0.469443	0	0.439893	0.0906649	0	0	72	1489	0.00107925
Multi-Family with 5+ Units	CA, 03708	1970s	0.322865	0	0.605152	0.0719831	0	0	124	2834	0.00205412
Multi-Family with 5+ Units	CA, 03708	1980s	0.349886	0	0.555345	0.0803639	0	0.0144049	125	2638	0.00191206
Multi-Family with 5+ Units	CA, 03708	1990s	0.29877	0	0.540422	0.130931	0.0158172	0.0140598	60	1138	0.000824837
Multi-Family with 5+ Units	CA, 03708	2000s	0.401934	0	0.472376	0.125691	0	0	29	724	0.000524764
Multi-Family with 5+ Units	CA, 03708	2010s	0.266667	0	0.614815	0	0.118519	0	10	135	9.78498e-05
Multi-Family with 5+ Units	CA, 03708	<1940	0.115385	0	0.884615	0	0	0	11	182	0.000131916
Single-Family Attached	CA, 03708	1940s	0.233503	0	0.522843	0.243655	0	0	14	197	0.000142788
Single-Family Attached	CA, 03708	1950s	0.22807	0	0.740351	0.0315789	0	0	16	285	0.000206572
Single-Family Attached	CA, 03708	1960s	0.447876	0	0.552124	0	0	0	12	259	0.000187726
Single-Family Attached	CA, 03708	1970s	0.254215	0	0.745785	0	0	0	49	771	0.000558831
Single-Family Attached	CA, 03708	1980s	0.324405	0	0.58631	0.0625	0	0.0267857	24	336	0.000243537
Single-Family Attached	CA, 03708	1990s	0.278545	0.000581558	0.666412	0.0236177	0.00620329	0.0246408	9	132	9.56752e-05
Single-Family Attached	CA, 03708	2000s	0.275318	0.00107701	0.676398	0.0187513	0.00586121	0.0225946	4	107	7.7555e-05
Single-Family Attached	CA, 03708	2010s	0.296508	0.000531138	0.646838	0.0223078	0.0163325	0.0174833	2	41	2.97174e-05
Single-Family Attached	CA, 03708	<1940	0.232409	0.00100237	0.668846	0.0764595	0.0076343	0.0136485	8	130	9.42257e-05
Single-Family Detached	CA, 03708	1940s	0.218801	0	0.713553	0.0464194	0.00303242	0.0181945	292	4287	0.00310727
Single-Family Detached	CA, 03708	1950s	0.119102	0.00067127	0.831703	0.0397967	0.00297277	0.00575374	671	10428	0.00755836
Single-Family Detached	CA, 03708	1960s	0.150664	0	0.783755	0.0465066	0.00578654	0.0132876	295	4666	0.00338198
Single-Family Detached	CA, 03708	1970s	0.100601	0	0.804265	0.0585019	0.0131219	0.0235101	105	1829	0.00132568
Single-Family Detached	CA, 03708	1980s	0.14639	0	0.71909	0.0761622	0.0464886	0.0118694	58	1011	0.000732785
Single-Family Detached	CA, 03708	1990s	0.166436	0	0.76699	0.0180305	0.0152566	0.0332871	45	721	0.000522591
Single-Family Detached	CA, 03708	2000s	0.115	0	0.84	0	0.01625	0.02875	52	800	0.00057985
Single-Family Detached	CA, 03708	2010s	0.20847	0.00189329	0.697331	0.00657837	0.0448131	0.0409142	7	149	0.000107997
Single-Family Detached	CA, 03708	<1940	0.214869	0	0.722222	0.0535131	0.00490196	0.00449346	148	2448	0.00177434
Mobile Home	CA, 03720	1940s	0.27644	0.00942408	0.543246	0.0703665	0.0467016	0.053822	1	42	4.39663e-06
Mobile Home	CA, 03720	1950s	0.245718	0.0144714	0.555286	0.0614294	0.0341996	0.0888955	0	0	0
Mobile Home	CA, 03720	1960s	0.219518	0.00822522	0.6194	0.0423446	0.0483836	0.0621282	0	0	0
Mobile Home	CA, 03720	1970s	0.20279	0.0107468	0.62047	0.0265523	0.0608849	0.0785554	0	0	0
Mobile Home	CA, 03720	1980s	0.226907	0.0090661	0.54274	0.0239257	0.0729682	0.124393	0	0	0
Mobile Home	CA, 03720	1990s	0.250204	0.011341	0.482191	0.0385061	0.0712372	0.146521	0	0	0
Mobile Home	CA, 03720	2000s	0.20365	0.00564591	0.548931	0.0297835	0.0511585	0.160831	1	26	2.72172e-06
Mobile Home	CA, 03720	2010s	0.243698	0.00650826	0.539669	0.0572314	0.0295455	0.123347	0	0	0
Mobile Home	CA, 03720	<1940	0.23987	0.00605496	0.467629	0.172799	0.0843037	0.0293433	0	0	0
Multi-Family with 2 - 4 Units	CA, 03720	1940s	0.166132	0	0.787319	0.0208668	0	0.0256822	55	1246	0.000130433
Multi-Family with 2 - 4 Units	CA, 03720	1950s	0.131737	0	0.787425	0.0808383	0	0	36	668	6.99274e-05
Multi-Family with 2 - 4 Units	CA, 03720	1960s	0.294521	0	0.676712	0.0287671	0	0	31	730	7.64177e-05
Multi-Family with 2 - 4 Units	CA, 03720	1970s	0.170552	0	0.727607	0.0613497	0	0.0404908	35	815	8.53157e-05
Multi-Family with 2 - 4 Units	CA, 03720	1980s	0.47191	0	0.503745	0.0243446	0	0	21	534	5.59e-05
Multi-Family with 2 - 4 Units	CA, 03720	1990s	0.273273	0	0.672673	0.0540541	0	0	13	333	3.48591e-05
Multi-Family with 2 - 4 Units	CA, 03720	2000s	0.355009	0.0011379	0.574909	0.0444787	0.0051373	0.0193276	6	77	8.06048e-06
Multi-Family with 2 - 4 Units	CA, 03720	2010s	0.378071	0	0.545984	0.058399	0.00456863	0.0129776	0	0	0
Multi-Family with 2 - 4 Units	CA, 03720	<1940	0.0730994	0	0.812865	0.0701754	0	0.0438596	20	342	3.58012e-05
Multi-Family with 5+ Units	CA, 03720	1940s	0.344578	0	0.504819	0.120482	0	0.0301205	32	830	8.68857e-05
Multi-Family with 5+ Units	CA, 03720	1950s	0.313919	0	0.626124	0.0599572	0	0	101	2335	0.000244432
Multi-Family with 5+ Units	CA, 03720	1960s	0.330343	0	0.598695	0.0492115	0	0.021751	142	3678	0.000385019
Multi-Family with 5+ Units	CA, 03720	1970s	0.367927	0	0.54133	0.0589309	0	0.0318123	164	3835	0.000401454
Multi-Family with 5+ Units	CA, 03720	1980s	0.49253	0	0.485635	0.0126408	0	0.00919329	188	4351	0.00045547
Multi-Family with 5+ Units	CA, 03720	1990s	0.425038	0	0.540131	0.0348309	0	0	87	1981	0.000207374
Multi-Family with 5+ Units	CA, 03720	2000s	0.513738	0	0.436496	0.0274754	0	0.0222913	68	1929	0.000201931
Multi-Family with 5+ Units	CA, 03720	2010s	0.42	0	0.531429	0	0	0.0485714	11	350	3.66386e-05
Multi-Family with 5+ Units	CA, 03720	<1940	0.439437	0	0.560563	0	0	0	16	355	3.71619e-05
Single-Family Attached	CA, 03720	1940s	0.14121	0	0.755043	0	0.0259366	0.0778098	24	347	3.63247e-05
Single-Family Attached	CA, 03720	1950s	0.288991	0	0.711009	0	0	0	14	218	2.28207e-05
Single-Family Attached	CA, 03720	1960s	0.324544	0.00110156	0.614105	0.0401781	0.00575132	0.0143203	6	129	1.3504e-05
Single-Family Attached	CA, 03720	1970s	0.377644	0	0.622356	0	0	0	17	331	3.46496e-05
Single-Family Attached	CA, 03720	1980s	0.322222	0	0.548148	0.0666667	0	0.062963	15	270	2.82642e-05
Single-Family Attached	CA, 03720	1990s	0.278545	0.000581558	0.666412	0.0236177	0.00620329	0.0246408	5	96	1.00495e-05
Single-Family Attached	CA, 03720	2000s	0.275318	0.00107701	0.676398	0.0187513	0.00586121	0.0225946	7	158	1.65397e-05
Single-Family Attached	CA, 03720	2010s	0.296508	0.000531138	0.646838	0.0223078	0.0163325	0.0174833	0	0	0
Single-Family Attached	CA, 03720	<1940	0.0601852	0	0.939815	0	0	0	13	216	2.26114e-05
Single-Family Detached	CA, 03720	1940s	0.176264	0	0.800135	0.012677	0.00687795	0.00404585	424	7415	0.000776215
Single-Family Detached	CA, 03720	1950s	0.165394	0	0.826741	0	0	0.00786491	224	4323	0.000452539
Single-Family Detached	CA, 03720	1960s	0.266884	0	0.720911	0.012205	0	0	52	1229	0.000128654
Single-Family Detached	CA, 03720	1970s	0.335433	0	0.544882	0	0.0314961	0.088189	31	635	6.64729e-05
Single-Family Detached	CA, 03720	1980s	0.142857	0	0.791209	0.021978	0	0.043956	28	546	5.71562e-05
Single-Family Detached	CA, 03720	1990s	0.458738	0	0.541262	0	0	0	14	412	4.31289e-05
Single-Family Detached	CA, 03720	2000s	0.338346	0	0.621053	0.0406015	0	0	30	665	6.96135e-05
Single-Family Detached	CA, 03720	2010s	0.20847	0.00189329	0.697331	0.00657837	0.0448131	0.0409142	1	20	2.09364e-06
Single-Family Detached	CA, 03720	<1940	0.208221	0	0.741186	0.041581	0.00237154	0.00664032	333	6325	0.000662112
Mobile Home	CA, 03721	1940s	0.27644	0.00942408	0.543246	0.0703665	0.0467016	0.053822	0	0	0
Mobile Home	CA, 03721	1950s	0.245718	0.0144714	0.555286	0.0614294	0.0341996	0.0888955	0	0	0
Mobile Home	CA, 03721	1960s	0.219518	0.00822522	0.6194	0.0423446	0.0483836	0.0621282	0	0	0
Mobile Home	CA, 03721	1970s	0.20279	0.0107468	0.62047	0.0265523	0.0608849	0.0785554	1	10	7.23587e-06
