Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Geometry Building Type RECS	Dependency=HVAC Heating Type	Dependency=Vintage ACS	Option=Central AC	Option=Heat Pump	Option=None	Option=Room AC	source_count	source_weight	sampling_probability
3B	Single-Family Attached	None	2010s	0.906552	0	0.0934478	0	7	6211.57	8.30367e-05
3B	Single-Family Detached	Ducted Heat Pump	2010s	0	1	0	0	8	15514.5	0.000242904
3B	Single-Family Detached	Ducted Heating	2010s	0.910927	0	0.0542996	0.0347738	87	158244	0.00257722
3B	Single-Family Detached	Non-Ducted Heat Pump	2010s	0	1	0	0	0	0	0
3B	Single-Family Detached	Non-Ducted Heating	2010s	0.906552	0	0.0934478	0	7	6211.57	0.000140424
3B	Single-Family Detached	None	2010s	0.906552	0	0.0934478	0	7	6211.57	0.00010707
3B	Mobile Home	Ducted Heat Pump	<1940	0	1	0	0	0	0	6.25669e-06
3B	Mobile Home	Ducted Heating	<1940	1	0	0	0	2	12858.3	0.000153848
3B	Mobile Home	Non-Ducted Heat Pump	<1940	0	1	0	0	0	0	0
3B	Mobile Home	Non-Ducted Heating	<1940	0.333333	0	0.333333	0.333333	0	0	0.000154995
3B	Mobile Home	None	<1940	0.333333	0	0.333333	0.333333	0	0	6.5823e-05
3B	Multi-Family with 2 - 4 Units	Ducted Heat Pump	<1940	0	1	0	0	0	0	0.000290219
3B	Multi-Family with 2 - 4 Units	Ducted Heating	<1940	0.768676	0	0.231324	0	4	15924.1	0.0115057
3B	Multi-Family with 2 - 4 Units	Non-Ducted Heat Pump	<1940	0	1	0	0	0	0	0
3B	Multi-Family with 2 - 4 Units	Non-Ducted Heating	<1940	0.100793	0	0.641262	0.257945	22	41100.7	0.0108507
3B	Multi-Family with 2 - 4 Units	None	<1940	0.100793	0	0.641262	0.257945	22	41100.7	0.00176892
3B	Multi-Family with 5+ Units	Ducted Heat Pump	<1940	0	1	0	0	0	0	0.00144649
3B	Multi-Family with 5+ Units	Ducted Heating	<1940	0.768676	0	0.231324	0	4	15924.1	0.0255823
3B	Multi-Family with 5+ Units	Non-Ducted Heat Pump	<1940	0	1	0	0	0	0	0
3B	Multi-Family with 5+ Units	Non-Ducted Heating	<1940	0.100793	0	0.641262	0.257945	22	41100.7	0.0274661
3B	Multi-Family with 5+ Units	None	<1940	0.100793	0	0.641262	0.257945	22	41100.7	0.00773594
3B	Single-Family Attached	Ducted Heat Pump	<1940	0	1	0	0	1	3161.42	0.000341041
3B	Single-Family Attached	Ducted Heating	<1940	0.643757	0	0.200774	0.155469	36	131882	0.00791761
3B	Single-Family Attached	Non-Ducted Heat Pump	<1940	0	1	0	0	0	0	0
3B	Single-Family Attached	Non-Ducted Heating	<1940	0.0222893	0	0.697324	0.280387	34	64375.1	0.00805608
3B	Single-Family Attached	None	<1940	0.0222893	0	0.697324	0.280387	34	64375.1	0.00208997
3B	Single-Family Detached	Ducted Heat Pump	<1940	0	1	0	0	1	3161.42	0.00120491
3B	Single-Family Detached	Ducted Heating	<1940	0.643757	0	0.200774	0.155469	36	131882	0.0466598
3B	Single-Family Detached	Non-Ducted Heat Pump	<1940	0	1	0	0	0	0	0
3B	Single-Family Detached	Non-Ducted Heating	<1940	0.0222893	0	0.697324	0.280387	34	64375.1	0.0441204
3B	Single-Family Detached	None	<1940	0.0222893	0	0.697324	0.280387	34	64375.1	0.00666368
# Created by: sources\recs\2009\tsv_maker.py
# Source: The sample counts and sample weights are constructed using U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.
# Assumption: If a sample has both Central AC and Room AC, we assume it has Central AC only
# Assumption: If a sample indicates using a heat pump for AC but does not indicate using a heat pump for heating, then we either assign it a heat pump for heating (if electric heating was indicated), or we asssign it Central AC (if non-electric heating was indicated).
# Assumption: Due to low sample sizes for some Heating Types, Heating Type data for Non-Ducted Heating and None is grouped.
# Assumption: Due to low sample sizes for some Building Types, Building Type data are grouped into: 1) Single-Family Detached and Single-Family Attached, and 2) Multifamily 2-4 units and Multifamily 5+ units, and 3) Mobile Homes.
# Assumption: Due to low sample sizes for some Vintages, Vintage ACS (20-year bins) is used instead of the typical 10-year bins used for RECS data.
# Downselected: This characteristic was downselected from project_national.
