Dependency=Geometry Building Type RECS	Dependency=Geometry Story Bin	Dependency=State	Dependency=Vintage ACS	Option=Brick	Option=Concrete	Option=Steel Frame	Option=Void	Option=Wood Frame	source_count	source_weight	sampling_probability
Single-Family Attached	<8	CA	2010s	0.0124224	0	0	0	0.987578	161	161	0.00118248
Single-Family Attached	8+	CA	<1940	0	0	0	1	0	0	0	0
Single-Family Attached	<8	CA	<1940	0.00985653	0.000174968	0	0	0.989969	17146	17146	0.0173133
Single-Family Detached	8+	CA	1940-59	0	0	0	1	0	0	0	0
Single-Family Detached	<8	CA	1940-59	0.0245118	0.00199919	0.000201881	0	0.973287	356645	356645	0.157592
Single-Family Detached	8+	CA	1960-79	0	0	0	1	0	0	0	0
Single-Family Detached	<8	CA	1960-79	0.00298326	0.000509587	0.00010499	0	0.996402	390512	390512	0.0743897
Single-Family Detached	8+	CA	1980-99	0	0	0	1	0	0	0	0
Single-Family Detached	<8	CA	1980-99	0.000711677	0.000195831	0.000114633	0	0.998978	418729	418729	0.0290069
Single-Family Detached	8+	CA	2000-09	0	0	0	1	0	0	0	0
Single-Family Detached	<8	CA	2000-09	0.00154802	9.80412e-05	9.28812e-05	0	0.998261	193796	193796	0.0118315
Single-Family Detached	8+	CA	2010s	0	0	0	1	0	0	0	0
Single-Family Detached	<8	CA	2010s	0.00240175	0.000218341	0.000363901	0	0.997016	13740	13740	0.00529943
Single-Family Detached	8+	CA	<1940	0	0	0	1	0	0	0	0
Single-Family Detached	<8	CA	<1940	0.00962401	0.000443903	9.61028e-05	0	0.989836	218516	218516	0.0973329
# Created by: sources\lightbox\residential\tsv_maker.py
# Source: Constructed using HIFLD Parcel data.
# Assumption: Rows where sample size < 10 are replaced with aggregated values down-scaled from dep='State' to dep='Census Division RECS'
# Downselected: This characteristic was downselected from project_national.
