Dependency=Geometry Building Type ACS	Dependency=PUMA	Option=<1940	Option=1940s	Option=1950s	Option=1960s	Option=1970s	Option=1980s	Option=1990s	Option=2000s	Option=2010s	source_count	source_weight	sampling_probability
20 to 49 Unit	CA, 03721	0.0173139	0.0572986	0.103692	0.207767	0.288502	0.157452	0.094318	0.0525158	0.0211402	506	10454	0.00705671
3 or 4 Unit	CA, 03721	0.0319937	0.116076	0.189318	0.253305	0.17028	0.120836	0.0705976	0.0433633	0.00423057	186	3782	0.00255294
5 to 9 Unit	CA, 03721	0.0258207	0.0927087	0.21382	0.239518	0.205582	0.115579	0.0730358	0.0275421	0.0063937	404	8133	0.00548997
50 or more Unit	CA, 03721	0.00839389	0.00225507	0.0442245	0.0661488	0.227387	0.145703	0.178151	0.194437	0.1333	322	7982	0.00538806
Mobile Home	CA, 03721	0.0102474	0.0104484	0.0373697	0.117114	0.354613	0.190645	0.118684	0.12837	0.0325084	28295	537307	9.31531e-05
Single-Family Attached	CA, 03721	0.111467	0.200142	0.166311	0.145299	0.165598	0.10933	0.0416667	0.0498575	0.0103276	148	2808	0.00189546
Single-Family Detached	CA, 03721	0.171938	0.3235	0.26803	0.110941	0.052607	0.0281681	0.0213092	0.0115869	0.0119198	836	15017	0.0101368
10 to 19 Unit	CA, 03722	0.0151293	0.0363554	0.124534	0.138647	0.258327	0.224907	0.104889	0.0679688	0.0292424	426	8857	0.005927
2 Unit	CA, 03722	0.0405405	0.111486	0.141892	0.157095	0.089527	0.22973	0.184122	0.0456081	0	34	592	0.00039616
20 to 49 Unit	CA, 03722	0.0108008	0.0264336	0.105877	0.22227	0.28338	0.177361	0.1068	0.0401478	0.026931	631	14073	0.00941752
3 or 4 Unit	CA, 03722	0.0277289	0.125	0.161972	0.196743	0.190141	0.127641	0.037412	0.103433	0.0299296	108	2272	0.0015204
5 to 9 Unit	CA, 03722	0.0245564	0.124627	0.149184	0.191057	0.208943	0.184102	0.0814762	0.0220014	0.0140525	326	7045	0.00471444
50 or more Unit	CA, 03722	0.00929995	0.0344405	0.0805314	0.175268	0.302913	0.194686	0.0821666	0.0475217	0.0731732	425	9785	0.00654801
Mobile Home	CA, 03722	0	0.114754	0.151639	0.303279	0.0368852	0.163934	0.106557	0.122951	0	16	244	0.000163282
Single-Family Attached	CA, 03722	0.0669856	0.129665	0.223923	0.0703349	0.223445	0.130144	0.0564593	0.0990431	0	117	2090	0.0013986
Single-Family Detached	CA, 03722	0.0747178	0.230036	0.482645	0.0841503	0.0409093	0.0238991	0.0169572	0.0298341	0.0168513	1093	18871	0.0126283
10 to 19 Unit	CA, 03723	0.0251553	0.0245342	0.14472	0.209006	0.316149	0.154969	0.106211	0.0068323	0.0124224	193	3220	0.0021652
2 Unit	CA, 03723	0	0	0.188172	0.38172	0.252688	0.0806452	0.0967742	0	0	14	186	0.000125071
20 to 49 Unit	CA, 03723	0.0118597	0.0310807	0.120131	0.207852	0.291483	0.177487	0.0860853	0.0375217	0.0364993	571	9781	0.00657697
3 or 4 Unit	CA, 03723	0.0806223	0.0127298	0.267327	0.140028	0.223479	0.114569	0.107496	0	0.0537482	39	707	0.000475403
5 to 9 Unit	CA, 03723	0.0406866	0.0216147	0.0775588	0.277813	0.232676	0.208519	0.0813732	0.0597584	0	92	1573	0.00105772
50 or more Unit	CA, 03723	0.0134209	0.0281268	0.101799	0.177184	0.226156	0.203027	0.0879497	0.0886636	0.0736722	398	7004	0.00470964
Mobile Home	CA, 03723	0.0681818	0.0795455	0.0340909	0.204545	0.4375	0	0.0795455	0.0653409	0.03125	20	352	0.000236693
Single-Family Attached	CA, 03723	0.0161002	0.0536673	0.106887	0.0406977	0.247317	0.336315	0.165921	0.0214669	0.0116279	172	2236	0.00150354
Single-Family Detached	CA, 03723	0.0303955	0.133606	0.493103	0.139832	0.0606689	0.0421753	0.0414429	0.0504761	0.00830078	1062	16384	0.011017
10 to 19 Unit	CA, 03724	0.00435053	0.0298322	0.108142	0.19018	0.316035	0.211311	0.0730267	0.0522063	0.0149161	138	3218	0.00218157
2 Unit	CA, 03724	0.219087	0.0821467	0.12497	0.130852	0.161693	0.131725	0.0769851	0.0491976	0.0233442	15701	349509	6.57587e-05
20 to 49 Unit	CA, 03724	0.0116989	0.00834181	0.0650051	0.225636	0.344252	0.186572	0.0732452	0.0494405	0.0358087	404	9830	0.00666404
3 or 4 Unit	CA, 03724	0	0	0.057903	0.226917	0.452269	0.14241	0.0453834	0.0203443	0.0547731	31	639	0.000433195
5 to 9 Unit	CA, 03724	0.0732436	0	0.083707	0.100149	0.336323	0.146487	0.121824	0.0695067	0.0687593	62	1338	0.000907068
50 or more Unit	CA, 03724	0.0147956	0.0135418	0.0565076	0.197108	0.393798	0.174204	0.0565912	0.0499039	0.0435509	479	11963	0.00811003
Mobile Home	CA, 03724	0.110368	0	0.0501672	0.0401338	0.632107	0.0501672	0	0.0535117	0.0635452	14	299	0.0002027
Single-Family Attached	CA, 03724	0.00202254	0.0843687	0.156891	0.108639	0.318405	0.229702	0.0514302	0.039295	0.00924588	179	3461	0.0023463
Single-Family Detached	CA, 03724	0.0268959	0.118372	0.504644	0.153057	0.0797472	0.03495	0.0417989	0.0274838	0.0130511	1829	34020	0.0230631
10 to 19 Unit	CA, 03725	0.0200781	0.0315114	0.119632	0.212214	0.195761	0.225042	0.111266	0.0560513	0.0284439	168	3586	0.00243306
2 Unit	CA, 03725	0.102828	0.0642674	0.215938	0.0976864	0.424165	0.066838	0	0	0.0282776	22	389	0.000263933
20 to 49 Unit	CA, 03725	0.018977	0.0202338	0.099912	0.201081	0.237778	0.225462	0.122534	0.065854	0.00816891	324	7957	0.00539877
3 or 4 Unit	CA, 03725	0.0558069	0.0180995	0.0784314	0.0844646	0.0965309	0.292609	0.218703	0.143288	0.0120664	32	663	0.000449839
5 to 9 Unit	CA, 03725	0.0206591	0.00491884	0.14363	0.0855878	0.318249	0.303	0.0639449	0.0600098	0	93	2033	0.00137937
50 or more Unit	CA, 03725	0.00770797	0.013598	0.0490838	0.118819	0.204188	0.216187	0.0699535	0.178665	0.141798	517	13752	0.00933062
Mobile Home	CA, 03725	0.0102474	0.0104484	0.0373697	0.117114	0.354613	0.190645	0.118684	0.12837	0.0325084	28295	537307	4.54588e-05
Single-Family Attached	CA, 03725	0.00682962	0.019051	0.144141	0.102085	0.44069	0.212797	0.0258807	0.0316319	0.0168943	136	2782	0.00188756
Single-Family Detached	CA, 03725	0.0230554	0.0425701	0.425893	0.288549	0.0983148	0.0550585	0.0435857	0.0185541	0.00441895	2152	36434	0.0247201
10 to 19 Unit	CA, 03726	0	0.00852053	0.00929512	0.123935	0.220759	0.193648	0.259489	0.0975988	0.0867545	47	1291	0.000138763
2 Unit	CA, 03726	0.033419	0	0.113111	0	0.347044	0.213368	0.249357	0	0.0437018	11	389	4.18117e-05
20 to 49 Unit	CA, 03726	0	0.0124095	0.0785936	0.277146	0.135471	0.317477	0.104447	0.0744571	0	32	967	0.000103938
3 or 4 Unit	CA, 03726	0	0.00535714	0.0345238	0.133929	0.341071	0.329167	0.120833	0.035119	0	67	1680	0.000180575
5 to 9 Unit	CA, 03726	0.0204082	0.0195918	0.037551	0.142041	0.155102	0.407347	0.122449	0.0146939	0.0808163	52	1225	0.000131669
50 or more Unit	CA, 03726	0	0	0.0339806	0.20712	0.135922	0.257282	0.152104	0.100324	0.113269	24	618	6.64259e-05
Mobile Home	CA, 03726	0.017192	0	0.0926457	0.19532	0.290831	0.138968	0.118911	0.0921681	0.0539637	88	2094	0.000225074
Single-Family Attached	CA, 03726	0.00144718	0.00723589	0.0132658	0.113121	0.392185	0.37699	0.0537868	0.0344911	0.00747709	209	4146	0.000445633
Single-Family Detached	CA, 03726	0.0500853	0.0416597	0.101642	0.173894	0.201444	0.246247	0.110201	0.0583436	0.0164833	1493	29909	0.00321477
10 to 19 Unit	CA, 03727	0.00477431	0.0265842	0.165039	0.166124	0.258789	0.170573	0.0997179	0.0709635	0.0374349	402	9216	0.00627607
2 Unit	CA, 03727	0.257937	0.154762	0.077381	0.0992063	0.031746	0.291667	0	0.0873016	0	20	504	0.000343223
20 to 49 Unit	CA, 03727	0.00873329	0.0224028	0.0886999	0.212333	0.228584	0.212485	0.0929526	0.110951	0.0228584	573	13168	0.00896738
3 or 4 Unit	CA, 03727	0.103169	0.137559	0.314902	0.0971005	0.184761	0.149697	0	0	0.0128119	62	1483	0.00100992
5 to 9 Unit	CA, 03727	0.0163702	0.0760271	0.146545	0.169998	0.205887	0.184322	0.08374	0.10074	0.0163702	254	6353	0.00432638
50 or more Unit	CA, 03727	0	0.0127996	0.0572217	0.144058	0.253608	0.218472	0.135274	0.136153	0.0424144	329	7969	0.00542686
Mobile Home	CA, 03727	0.0102474	0.0104484	0.0373697	0.117114	0.354613	0.190645	0.118684	0.12837	0.0325084	28295	537307	7.69529e-05
Single-Family Attached	CA, 03727	0.0408269	0.129199	0.0806202	0.0496124	0.324548	0.193798	0.0981912	0.0832041	0	111	1935	0.00131773
Single-Family Detached	CA, 03727	0.182375	0.151379	0.254304	0.15471	0.071983	0.0436733	0.048696	0.0513819	0.0414977	2045	37231	0.0253543
10 to 19 Unit	CA, 03728	0.0708059	0.0742929	0.16699	0.250872	0.243995	0.105095	0.0393258	0.0400039	0.00862069	373	10324	0.000862295
2 Unit	CA, 03728	0.298444	0.130835	0.145686	0.123055	0.126591	0.0975955	0.0452617	0.0212164	0.0113154	64	1414	0.000118102
20 to 49 Unit	CA, 03728	0.0832557	0.0451793	0.108756	0.170005	0.275151	0.0819748	0.0615976	0.102236	0.0718444	290	8588	0.000717296
3 or 4 Unit	CA, 03728	0.180677	0.13355	0.179052	0.151426	0.170483	0.0946964	0.0466834	0.0291033	0.01433	264	6769	0.000565369
5 to 9 Unit	CA, 03728	0.0957727	0.0691984	0.140326	0.232503	0.268374	0.090335	0.061305	0.0341168	0.00806876	478	11402	0.00095233
50 or more Unit	CA, 03728	0.0659873	0.0126963	0.0898764	0.214835	0.173572	0.115937	0.0409288	0.166221	0.119947	203	5986	0.000499967
Mobile Home	CA, 03728	0.0102474	0.0104484	0.0373697	0.117114	0.354613	0.190645	0.118684	0.12837	0.0325084	28295	537307	1.04404e-05
Single-Family Attached	CA, 03728	0.163003	0.124844	0.100788	0.101203	0.206139	0.130236	0.0638739	0.072584	0.0373289	119	2411	0.000201374
Single-Family Detached	CA, 03728	0.39894	0.21351	0.138013	0.0443267	0.0309934	0.032053	0.0582781	0.0433554	0.0405298	599	11325	0.000945897
10 to 19 Unit	CA, 03729	0.0223308	0.0257037	0.108572	0.164922	0.296464	0.221331	0.0853105	0.0569318	0.0184345	822	17196	0.0116959
2 Unit	CA, 03729	0.109772	0.154618	0.0729585	0.245649	0.185408	0.064257	0.0348059	0.0722892	0.060241	69	1494	0.00101615
20 to 49 Unit	CA, 03729	0.02748	0.0123229	0.0853974	0.161491	0.273321	0.223352	0.104067	0.0763401	0.0362292	733	16230	0.0110389
3 or 4 Unit	CA, 03729	0.0666353	0.119849	0.189546	0.154227	0.206263	0.155639	0.050153	0.0412056	0.0164822	187	4247	0.00288862
5 to 9 Unit	CA, 03729	0.0287166	0.0396478	0.165918	0.19883	0.24161	0.185299	0.0976129	0.0376389	0.00472701	757	16924	0.0115109
50 or more Unit	CA, 03729	0.0162616	0.0124531	0.0411075	0.214968	0.29549	0.190303	0.0860235	0.110023	0.0333696	703	16542	0.0112511
Mobile Home	CA, 03729	0.0102474	0.0104484	0.0373697	0.117114	0.354613	0.190645	0.118684	0.12837	0.0325084	28295	537307	0.000170719
Single-Family Attached	CA, 03729	0.139076	0.21983	0.164648	0.051144	0.167788	0.129655	0.0542844	0.0632571	0.0103185	111	2229	0.00151607
Single-Family Detached	CA, 03729	0.349791	0.263265	0.219177	0.038704	0.0391891	0.017218	0.017994	0.0333204	0.0213406	1214	20618	0.0140234
10 to 19 Unit	CA, 03730	0.20485	0.0939051	0.114783	0.155323	0.141466	0.138377	0.0589832	0.0677839	0.0245295	497	10681	0.00724097
2 Unit	CA, 03730	0.661556	0.0753833	0.0956843	0.0492618	0.0570698	0.0127768	0.0224304	0.0238501	0.00198751	321	7044	0.00477534
20 to 49 Unit	CA, 03730	0.228801	0.0678562	0.080292	0.162566	0.197351	0.10985	0.0795711	0.0455078	0.0282058	517	11097	0.00752301
3 or 4 Unit	CA, 03730	0.512457	0.145782	0.0800444	0.0626542	0.100518	0.0418106	0.0219536	0.0304637	0.00431672	367	8108	0.00549663
5 to 9 Unit	CA, 03730	0.288516	0.101082	0.228697	0.134614	0.0857817	0.074469	0.0469602	0.031985	0.00789452	576	12287	0.00832974
50 or more Unit	CA, 03730	0.124776	0.171813	0.0559246	0.077289	0.111311	0.128636	0.0804309	0.173519	0.0763016	466	11140	0.00755215
Mobile Home	CA, 03730	0.0102474	0.0104484	0.0373697	0.117114	0.354613	0.190645	0.118684	0.12837	0.0325084	28295	537307	0.000120672
Single-Family Attached	CA, 03730	0.570162	0.100617	0.0717039	0.0824981	0.0844256	0.0235158	0.036623	0.0181187	0.0123362	139	2594	0.00175855
Single-Family Detached	CA, 03730	0.666222	0.127836	0.0784541	0.0258225	0.0215285	0.0210642	0.012244	0.0172344	0.0295944	987	17233	0.0116828
10 to 19 Unit	CA, 03731	0.164713	0.0807014	0.14843	0.211506	0.196296	0.106827	0.0431243	0.0445558	0.00384719	358	11177	0.00277899
2 Unit	CA, 03731	0.539484	0.132554	0.11523	0.0233683	0.0926672	0.0914585	0.00523771	0	0	92	2482	0.000617113
20 to 49 Unit	CA, 03731	0.0793958	0.0593652	0.161215	0.244407	0.249334	0.100315	0.0487037	0.0380422	0.019223	425	12381	0.00307835
3 or 4 Unit	CA, 03731	0.49582	0.139228	0.109003	0.078135	0.106752	0.0405145	0.0122186	0.018328	0	110	3110	0.000773257
5 to 9 Unit	CA, 03731	0.205164	0.0886253	0.244043	0.161998	0.17735	0.0659954	0.0309042	0.0108663	0.0150533	359	10031	0.00249406
50 or more Unit	CA, 03731	0.0495324	0.0283451	0.0541134	0.189922	0.278107	0.219985	0.0484825	0.0627028	0.0688108	380	10478	0.0026052
Mobile Home	CA, 03731	0.0102474	0.0104484	0.0373697	0.117114	0.354613	0.190645	0.118684	0.12837	0.0325084	28295	537307	4.15222e-05
Single-Family Attached	CA, 03731	0.520206	0.127847	0.047759	0.0499633	0.0977223	0.0462895	0.0396767	0.0264511	0.0440852	57	1361	0.000338392
Single-Family Detached	CA, 03731	0.470419	0.0851765	0.128934	0.0888329	0.0707307	0.0600611	0.0362045	0.036684	0.0229575	771	16683	0.00414799
10 to 19 Unit	CA, 03732	0.220466	0.091202	0.139418	0.19122	0.158144	0.11151	0.0378184	0.0404937	0.00972822	796	16447	0.011
2 Unit	CA, 03732	0.58875	0.0589424	0.0835298	0.0515325	0.0697204	0.0565847	0.0414281	0.00774672	0.0417649	160	2969	0.00198571
20 to 49 Unit	CA, 03732	0.243687	0.0727777	0.120099	0.185845	0.146223	0.117019	0.0555841	0.035311	0.0234551	924	19484	0.0130311
3 or 4 Unit	CA, 03732	0.439458	0.12038	0.12742	0.0837733	0.11158	0.0695178	0.0188314	0.0153115	0.0137276	299	5682	0.0038002
5 to 9 Unit	CA, 03732	0.198819	0.0836713	0.158879	0.191501	0.171134	0.113825	0.049374	0.0282137	0.00458473	561	11342	0.00758565
50 or more Unit	CA, 03732	0.239649	0.0483051	0.0357143	0.111562	0.144249	0.108293	0.0529661	0.0941889	0.165073	676	16520	0.0110488
Mobile Home	CA, 03732	0.0102474	0.0104484	0.0373697	0.117114	0.354613	0.190645	0.118684	0.12837	0.0325084	28295	537307	0.000126406
Single-Family Attached	CA, 03732	0.522425	0.0909372	0.105784	0.0649552	0.0760903	0.0463965	0.0343334	0.0374265	0.0216517	175	3233	0.00216227
Single-Family Detached	CA, 03732	0.626625	0.0928276	0.105674	0.0478666	0.053525	0.0292858	0.0194219	0.0180456	0.00672886	732	13078	0.00874672
10 to 19 Unit	CA, 03733	0.3074	0.104906	0.0794253	0.186771	0.113445	0.105991	0.0704798	0.0265655	0.00501491	410	7378	0.00485996
2 Unit	CA, 03733	0.465426	0.0518617	0.0505319	0.162234	0.151596	0.0824468	0	0	0.0359043	42	752	0.000495348
20 to 49 Unit	CA, 03733	0.386135	0.0599653	0.0658001	0.143963	0.126112	0.0961294	0.0575968	0.0428076	0.0214905	882	17310	0.0114023
3 or 4 Unit	CA, 03733	0.581435	0.152329	0.0622237	0.0703842	0.0272016	0.0516831	0.0200612	0.0309419	0.00374022	165	2941	0.00193726
5 to 9 Unit	CA, 03733	0.295082	0.101786	0.0937118	0.162466	0.128945	0.0927331	0.0403719	0.0548079	0.0300954	227	4087	0.00269214
50 or more Unit	CA, 03733	0.329791	0.0303746	0.043561	0.117825	0.146231	0.091583	0.0808896	0.0646198	0.0951256	718	15243	0.0100407
Mobile Home	CA, 03733	0.0102474	0.0104484	0.0373697	0.117114	0.354613	0.190645	0.118684	0.12837	0.0325084	28295	537307	4.01811e-05
Single-Family Attached	CA, 03733	0.516961	0.0447761	0.0407056	0.0407056	0.036635	0.165536	0	0.07327	0.0814111	42	737	0.000485467
Single-Family Detached	CA, 03733	0.668669	0.0510511	0.0845846	0.042042	0.0800801	0.0285285	0.013013	0.025025	0.00700701	114	1998	0.0013161
10 to 19 Unit	CA, 03734	0.315997	0.0890973	0.119791	0.112757	0.128211	0.118832	0.0594693	0.0399659	0.0158798	527	9383	0.00624057
2 Unit	CA, 03734	0.51002	0.0877142	0.0842289	0.0763869	0.0673831	0.0647691	0.0421144	0.0461807	0.0212024	220	3443	0.00228991
20 to 49 Unit	CA, 03734	0.389349	0.0517751	0.0924852	0.110118	0.114379	0.0716568	0.0802367	0.0643195	0.0256805	889	16900	0.0112401
3 or 4 Unit	CA, 03734	0.432483	0.104099	0.0815159	0.119412	0.122196	0.0767208	0.041454	0.0143852	0.00773395	378	6465	0.00429982
5 to 9 Unit	CA, 03734	0.3144	0.0732307	0.132359	0.157718	0.133006	0.0896623	0.0657265	0.0254884	0.00840988	443	7729	0.0051405
50 or more Unit	CA, 03734	0.254927	0.0488252	0.0471829	0.0674583	0.104914	0.107756	0.101693	0.184563	0.0826806	818	15832	0.0105297
Mobile Home	CA, 03734	0.478378	0	0.0405405	0.181081	0.0432432	0.0810811	0.0783784	0	0.0972973	15	370	0.000246084
Single-Family Attached	CA, 03734	0.546922	0.089527	0.0711336	0.0623123	0.0589339	0.0531156	0.0570571	0.0251502	0.0358483	280	5328	0.00354361
Single-Family Detached	CA, 03734	0.583205	0.116311	0.0927062	0.0604863	0.0386522	0.0381211	0.0316889	0.0243125	0.0145167	974	16946	0.0112706
10 to 19 Unit	CA, 03735	0.178931	0.0411335	0.112431	0.170704	0.188985	0.188985	0.0760969	0.0271938	0.0155393	259	4376	0.00296418
2 Unit	CA, 03735	0.315587	0.138421	0.126294	0.103224	0.161491	0.0505768	0.0899142	0	0.0144928	197	3381	0.0022902
20 to 49 Unit	CA, 03735	0.148775	0.0537741	0.0822545	0.123282	0.172476	0.208325	0.117506	0.0595499	0.034057	272	5021	0.00340109
3 or 4 Unit	CA, 03735	0.199545	0.0905412	0.186646	0.132777	0.221295	0.0912999	0.0617097	0.00708144	0.0091047	220	3954	0.00267833
5 to 9 Unit	CA, 03735	0.124367	0.120752	0.169438	0.147023	0.190648	0.114726	0.0744758	0.0585683	0	221	4149	0.00281042
50 or more Unit	CA, 03735	0.056687	0.0285132	0.0407332	0.0933469	0.140869	0.363204	0.152749	0.0471826	0.0767142	176	2946	0.00199554
Mobile Home	CA, 03735	0.217241	0.151724	0.0482759	0.210345	0.0275862	0.0482759	0.0241379	0.110345	0.162069	18	290	0.000196438
Single-Family Attached	CA, 03735	0.446	0.0974	0.101	0.1212	0.065	0.0902	0.0456	0.0268	0.0068	327	5000	0.00338687
Single-Family Detached	CA, 03735	0.516128	0.129079	0.136034	0.0871624	0.0512529	0.0229204	0.0246523	0.022298	0.0104725	2533	36954	0.0250316
10 to 19 Unit	CA, 03736	0.0594414	0.0790165	0.101217	0.257341	0.177847	0.155646	0.105037	0.0489377	0.0155168	241	4189	0.000148097
2 Unit	CA, 03736	0.390167	0.0789749	0.115586	0.103033	0.140167	0.0962343	0.0570084	0.0188285	0	99	1912	6.75963e-05
20 to 49 Unit	CA, 03736	0.0881864	0.0366057	0.165058	0.210649	0.26822	0.129784	0.0455907	0.0396007	0.0163062	141	3005	0.000106238
3 or 4 Unit	CA, 03736	0.171049	0.109187	0.128364	0.170121	0.144757	0.182493	0.0680483	0.0182493	0.00773276	167	3233	0.000114298
