Dependency=Geometry Building Type RECS	Dependency=PUMA	Dependency=Tenure	Dependency=Vintage ACS	Option=<10000	Option=10000-14999	Option=15000-19999	Option=20000-24999	Option=25000-29999	Option=30000-34999	Option=35000-39999	Option=40000-44999	Option=45000-49999	Option=50000-59999	Option=60000-69999	Option=70000-79999	Option=80000-99999	Option=100000-119999	Option=120000-139999	Option=140000-159999	Option=160000-179999	Option=180000-199999	Option=200000+	source_count	source_weight	sampling_probability
Single-Family Attached	CA, 03705	Renter	2000-09	0.0327344	0.0406857	0.0414085	0.0426477	0.035729	0.0418216	0.029843	0.0153862	0.0243701	0.0523544	0.0626807	0.0521479	0.0853986	0.0990293	0.0629905	0.0419248	0.0405824	0.0345931	0.163672	446	9684	6.3599e-05
Single-Family Detached	CA, 03705	Owner	2000-09	0.0224044	0	0.0289617	0.00546448	0.0437158	0.00983607	0.0590164	0.0256831	0.00710383	0.031694	0	0.0355191	0.0595628	0.0557377	0.0486339	0.0765027	0.0459016	0.0404372	0.403825	90	1830	0.00123398
Single-Family Detached	CA, 03705	Renter	2000-09	0.0974576	0	0	0	0.0932203	0	0	0.173729	0	0	0.0805085	0	0.292373	0.0889831	0	0.0974576	0	0	0.0762712	11	236	0.000177696
Mobile Home	CA, 03705	Owner	2010s	0.0464316	0.0773861	0.0799656	0.00601892	0.0593293	0.0541702	0.0902837	0.00859845	0.0094583	0.049871	0.0687876	0.0963027	0.104901	0.044712	0.0799656	0.0206363	0.00601892	0.0300946	0.0670679	67	1163	2.76705e-05
Mobile Home	CA, 03705	Renter	2010s	0.0750507	0.0507099	0.127789	0.0466531	0.131846	0	0	0.030426	0	0.0567951	0.168357	0	0.0993915	0.0121704	0.150101	0	0	0	0.0507099	21	493	1.59691e-05
Multi-Family with 2 - 4 Units	CA, 03705	Owner	2010s	0.0452261	0.0577889	0	0.0565327	0	0.0163317	0	0.0100503	0	0.0163317	0.0364322	0	0.0904523	0.0376884	0.0565327	0.0841709	0.0515075	0.0565327	0.384422	36	796	3.97646e-06
Multi-Family with 2 - 4 Units	CA, 03705	Renter	2010s	0.109621	0.02897	0.0507868	0.0225322	0.0708155	0.0770744	0.0636624	0.0171674	0.0300429	0.0416667	0.0779685	0.0500715	0.0872675	0.0734979	0.0532904	0.0416667	0.0236052	0.0109084	0.0693848	208	5592	1.25538e-05
Multi-Family with 5+ Units	CA, 03705	Owner	2010s	0.0187114	0.0139453	0.0180053	0.0128861	0.00529568	0.00794351	0.0121801	0.00935569	0.00617829	0.0342454	0.0566637	0.0331862	0.0686673	0.039541	0.104501	0.078376	0.0368932	0.0375993	0.405825	249	5665	4.71805e-05
Multi-Family with 5+ Units	CA, 03705	Renter	2010s	0.121435	0	0.0386385	0	0.0119595	0.0919963	0.0220791	0.0432383	0.0717571	0.156394	0.26035	0.023919	0.0174793	0.0395584	0.023919	0.0524379	0.024839	0	0	44	1087	0.000671549
Single-Family Attached	CA, 03705	Owner	2010s	0.00290992	0.00328947	0.00366903	0.00885628	0.00240385	0.00265688	0.0122723	0.013917	0.00253036	0.0236589	0.0231528	0.0208755	0.0563006	0.0823634	0.0864119	0.0803391	0.0587045	0.0536437	0.462045	373	7904	0.000147354
Single-Family Attached	CA, 03705	Renter	2010s	0.0547445	0.0346715	0.00583942	0.0529197	0.0452555	0.0116788	0.0591241	0.0153285	0.0259124	0.0375912	0.0346715	0.070073	0.0766423	0.0744526	0.0624088	0.0291971	0.019708	0.0562044	0.233577	129	2740	5.49754e-05
Single-Family Detached	CA, 03705	Owner	2010s	0	0	0	0	0	0	0	0.0244821	0	0	0.0451977	0.086629	0.0640301	0.0433145	0.039548	0.0998117	0.20904	0.0376648	0.350282	22	531	0.000328869
Single-Family Detached	CA, 03705	Renter	2010s	0.0541631	0.036877	0.0337079	0.0328436	0.0250648	0.0334198	0.0282339	0.0115241	0.0253529	0.0602132	0.0535869	0.0985307	0.115817	0.0841256	0.0838375	0.0452319	0.0302506	0.056756	0.0904638	162	3471	4.73579e-05
Mobile Home	CA, 03705	Owner	<1940	0	0.0477387	0.138191	0	0.0301508	0.0628141	0.0276382	0	0.0904523	0.120603	0.0201005	0	0.0477387	0.213568	0.0326633	0.110553	0.0226131	0.0351759	0	26	398	2.93475e-06
Mobile Home	CA, 03705	Renter	<1940	0.110924	0.0344538	0.087395	0.0714286	0.0705882	0.123529	0.0731092	0	0.0394958	0.0487395	0.0445378	0.0134454	0.0756303	0.0504202	0.010084	0	0	0.0756303	0.0705882	48	1190	1.6937e-06
Multi-Family with 2 - 4 Units	CA, 03705	Owner	<1940	0.0426459	0.0160197	0.0165918	0.021477	0.0175601	0.013115	0.0168999	0.0221811	0.0192765	0.0411055	0.0461227	0.0412376	0.0752134	0.0728369	0.0462987	0.0404454	0.0550568	0.0334478	0.362468	1246	22722	5.88513e-06
Multi-Family with 2 - 4 Units	CA, 03705	Renter	<1940	0.0575528	0.0418613	0.0431904	0.0334736	0.0372545	0.043384	0.0381449	0.0314089	0.0275892	0.0640824	0.0599401	0.0527138	0.0919297	0.0681343	0.0431904	0.0505071	0.0359899	0.0298733	0.149779	3640	77494	1.85795e-05
Multi-Family with 5+ Units	CA, 03705	Owner	<1940	0.0450005	0.0186661	0.00948441	0.0270407	0.0204823	0.0193724	0.020785	0.0132176	0.0167491	0.0343053	0.0426799	0.0450005	0.0909091	0.115024	0.0556957	0.0487337	0.0559984	0.0386439	0.282212	465	9911	3.51574e-06
Multi-Family with 5+ Units	CA, 03705	Renter	<1940	0.0959531	0.102805	0.0592899	0.0607608	0.0514378	0.0534501	0.0459588	0.0436459	0.0361765	0.0659281	0.0524658	0.0442692	0.0706525	0.0496115	0.0409283	0.0270394	0.0215222	0.0149332	0.0631722	7977	182881	5.00418e-05
Single-Family Attached	CA, 03705	Owner	<1940	0.0259088	0.0212382	0.0174488	0.0203569	0.0254241	0.0335316	0.01833	0.0289932	0.0279797	0.0469707	0.0455166	0.038731	0.0919145	0.0736286	0.0638026	0.0632298	0.0454285	0.047896	0.26367	1295	22695	0
Single-Family Attached	CA, 03705	Renter	<1940	0.0761475	0.0619908	0.0655215	0.0516363	0.0387697	0.0430133	0.0488865	0.0540467	0.037242	0.0922053	0.0626358	0.0553028	0.0802892	0.0551331	0.0376494	0.0277702	0.0162955	0.021931	0.0735334	1368	29456	0
Single-Family Detached	CA, 03705	Owner	<1940	0	0	0	0	0.031941	0.0565111	0	0	0	0.0835381	0.027027	0	0.044226	0.034398	0.132678	0.046683	0.031941	0.17199	0.339066	30	407	0.00033118
Single-Family Detached	CA, 03705	Renter	<1940	0.0578287	0.0491904	0.0414477	0.046527	0.049815	0.039291	0.0363684	0.0391378	0.0428619	0.06543	0.064829	0.0564145	0.0886582	0.0739977	0.0586419	0.0445825	0.0298866	0.0212011	0.0938907	4008	84854	4.76908e-05
Mobile Home	CA, 03706	Owner	1940-59	0.134486	0.0989433	0.0115274	0.0720461	0.054755	0.116234	0.0326609	0.0480307	0.0384246	0.0893372	0.0480307	0.0201729	0.0730067	0.0826129	0.0230548	0.012488	0	0	0.0441883	58	1041	2.59585e-05
Mobile Home	CA, 03706	Renter	1940-59	0.0637652	0.1083	0.114372	0.0759109	0.0394737	0.0293522	0.0404858	0.232794	0	0.00809717	0.0192308	0.0991903	0.0303644	0.00708502	0.090081	0.0334008	0.00809717	0	0	40	988	5.62318e-06
Multi-Family with 2 - 4 Units	CA, 03706	Owner	1940-59	0.0133349	0.0464299	0.0121227	0.0425506	0.0212147	0.0317614	0.0327312	0.044369	0.036368	0.0682507	0.0915262	0.0303067	0.123288	0.07213	0.0581889	0.0478846	0.0209722	0.0269124	0.179658	417	8249	1.13537e-05
Multi-Family with 2 - 4 Units	CA, 03706	Renter	1940-59	0.0849536	0.0630476	0.0492325	0.0560122	0.0534698	0.0517589	0.0467701	0.0402622	0.0346658	0.0775983	0.0686121	0.0571314	0.0894468	0.0607291	0.0486249	0.0253598	0.0152862	0.0123441	0.0646946	2946	62540	6.92803e-05
Multi-Family with 5+ Units	CA, 03706	Owner	1940-59	0.0691653	0.047438	0.0275213	0.026616	0.0365743	0.0200978	0.086185	0.0204599	0.00959623	0.0452653	0.0485244	0.0512403	0.0941517	0.0838313	0.0597501	0.0554047	0.0409198	0.020641	0.156618	263	5523	2.91889e-05
Multi-Family with 5+ Units	CA, 03706	Renter	1940-59	0.179002	0.0585198	0.0223752	0.0791738	0	0.070568	0	0.0946644	0	0.110155	0.0877797	0.106713	0.0774527	0.0860585	0	0	0	0	0.0275387	26	581	0.000368605
Single-Family Attached	CA, 03706	Owner	1940-59	0	0	0	0	0.1	0.161905	0	0	0	0	0.171429	0	0.142857	0.0285714	0.0904762	0.0428571	0.138095	0	0.12381	15	210	0.000204176
Single-Family Attached	CA, 03706	Renter	1940-59	0.0717062	0.0782084	0.0649497	0.0520542	0.0337462	0.0532893	0.0432635	0.0431545	0.0353809	0.0664027	0.0678194	0.0594282	0.09223	0.0614625	0.0494024	0.0290966	0.0314577	0.0130045	0.0539431	1313	27529	0.000117688
Single-Family Detached	CA, 03706	Owner	1940-59	0.0144458	0.0186128	0.0295398	0.0261135	0.0239837	0.032503	0.0244467	0.0233355	0.0410223	0.0568571	0.0395407	0.0577831	0.135568	0.123437	0.0895453	0.092416	0.0557459	0.03204	0.0830632	696	10799	0.00760861
Single-Family Detached	CA, 03706	Renter	1940-59	0.0482128	0.039069	0.0303408	0.0199501	0.0735661	0.035744	0.0473815	0.039069	0.0253533	0.0914381	0.107232	0.0802161	0.121779	0.045719	0.0548628	0.0511222	0.0477972	0.0315877	0.00955943	122	2406	0.00166294
Mobile Home	CA, 03706	Owner	1960-79	0.0474227	0.113402	0.0164948	0.0742268	0.158763	0	0.0927835	0.0474227	0.0268041	0.0350515	0.014433	0.0721649	0.179381	0.0268041	0	0.0948454	0	0	0	32	485	0.000371703
Mobile Home	CA, 03706	Renter	1960-79	0.0589731	0.0391459	0.0472801	0.0790544	0.104982	0.0986274	0.0465175	0.0803254	0.0246568	0.0854093	0.0490595	0.0386375	0.118963	0.0327911	0.0338078	0.0238943	0.00686324	0.00584647	0.0251652	154	3934	8.0519e-05
Multi-Family with 2 - 4 Units	CA, 03706	Owner	1960-79	0.0212461	0.0241108	0.0261399	0.0259012	0.0352113	0.0360468	0.042731	0.0225591	0.0365242	0.048699	0.0479828	0.0710193	0.0965624	0.0857006	0.0577704	0.0787778	0.048699	0.0331821	0.161136	415	8378	2.40319e-05
Multi-Family with 2 - 4 Units	CA, 03706	Renter	1960-79	0.0799072	0.0591395	0.0487309	0.0555666	0.0467831	0.0505918	0.0395876	0.0427884	0.0485076	0.0862467	0.0590155	0.0709376	0.0901422	0.0629109	0.0390169	0.027194	0.019403	0.018944	0.0545865	3714	80606	0.000146643
Multi-Family with 5+ Units	CA, 03706	Owner	1960-79	0	0.0872727	0.0472727	0	0.0363636	0.254545	0	0	0.0436364	0.16	0	0	0.16	0.0581818	0.0763636	0	0.0436364	0	0.0327273	15	275	0.000182874
Multi-Family with 5+ Units	CA, 03706	Renter	1960-79	0.127861	0.0668294	0.0631675	0.0646933	0.0228868	0.0482148	0.0537077	0.0390601	0.0674397	0.0985658	0.073848	0.0781202	0.0903265	0.0463839	0.0357034	0.0143424	0	0.00274641	0.00610314	137	3277	0.00230939
Single-Family Attached	CA, 03706	Owner	1960-79	0.0272727	0.0886364	0.025	0.104545	0	0	0	0.0409091	0	0.0181818	0.025	0.104545	0.202273	0.0522727	0.0568182	0.0681818	0.0659091	0	0.120455	31	440	0.000296247
Single-Family Attached	CA, 03706	Renter	1960-79	0	0.0564516	0	0.145161	0.177419	0.133065	0	0.0967742	0.0362903	0.145161	0.120968	0	0	0	0	0	0	0.0887097	0	12	248	0.000170759
Single-Family Detached	CA, 03706	Owner	1960-79	0.0386871	0.0182204	0.0116061	0.0194684	0.0151005	0.0343192	0.0319481	0.0107326	0.0147261	0.0673905	0.0546612	0.072632	0.099713	0.0964682	0.0842381	0.0378136	0.0653937	0.0667665	0.160115	563	8013	0.00556779
Single-Family Detached	CA, 03706	Renter	1960-79	0.00508906	0.0133588	0.0209924	0.0534351	0.0833333	0	0.0197201	0.014631	0.0267176	0.0839695	0.0661578	0.0477099	0.181934	0.20229	0.0540712	0.024173	0.0464377	0.00763359	0.0483461	82	1572	0.00121689
Mobile Home	CA, 03706	Owner	1980-99	0.0228758	0	0	0.0718954	0.205882	0.0849673	0.156863	0.0980392	0	0.0751634	0.114379	0.0490196	0	0.120915	0	0	0	0	0	24	306	0.000181709
Mobile Home	CA, 03706	Renter	1980-99	0.129688	0.0683491	0.107256	0.0494217	0.042061	0.0529267	0.0361023	0.0501227	0.0536278	0.0308447	0.0357518	0.0729057	0.0886786	0.113915	0.0290922	0.0164739	0.0185769	0.0042061	0	116	2853	3.93622e-05
Multi-Family with 2 - 4 Units	CA, 03706	Owner	1980-99	0.0570927	0.0142	0.0256185	0.0133216	0.0259113	0.0455277	0.0174206	0.0477236	0.0339628	0.0515298	0.0578246	0.0392329	0.082272	0.0983751	0.0682184	0.0357195	0.0749524	0.0295711	0.181525	359	6831	2.55457e-05
Multi-Family with 2 - 4 Units	CA, 03706	Renter	1980-99	0.0686244	0.0491933	0.0447312	0.050732	0.0602937	0.0523805	0.044951	0.0502484	0.0467095	0.0754165	0.0759661	0.0565569	0.0876819	0.0593265	0.0355871	0.034532	0.0222447	0.0135402	0.0712841	2049	45494	0.000155881
Multi-Family with 5+ Units	CA, 03706	Owner	1980-99	0.0883534	0	0.0401606	0.0240964	0	0	0	0.184739	0.0481928	0.0281124	0	0.0401606	0.136546	0.257028	0.0682731	0	0.0843373	0	0	19	249	0.000169611
Multi-Family with 5+ Units	CA, 03706	Renter	1980-99	0.0813953	0.00752394	0.0612175	0.0499316	0.0950752	0.0225718	0.0543776	0.0694254	0.0742134	0.129617	0.0851573	0.0383037	0.0755814	0.0567715	0.0273598	0.00718194	0.0560876	0.00307798	0.00512996	123	2924	0.00214189
Single-Family Attached	CA, 03706	Owner	1980-99	0.0111643	0.108453	0	0.137161	0.0127592	0.0749601	0.0175439	0.0797448	0.0382775	0.0127592	0.0526316	0.137161	0.129187	0.0478469	0.0574163	0.0382775	0.0127592	0	0.0318979	47	627	0.000437763
Single-Family Attached	CA, 03706	Renter	1980-99	0	0	0.148649	0.209459	0.172297	0.152027	0	0	0	0	0	0.097973	0.0608108	0.0371622	0	0.0371622	0	0	0.0844595	14	296	0.00025233
Single-Family Detached	CA, 03706	Owner	1980-99	0.0125455	0.00526103	0.0214488	0.00607042	0.00242817	0.0242817	0.00687981	0.0109268	0.0149737	0.0643464	0.0554431	0.0222582	0.0841764	0.17159	0.0918656	0.0643464	0.0979361	0.0481586	0.195063	172	2471	0.00190795
Single-Family Detached	CA, 03706	Renter	1980-99	0.0455607	0.0292056	0.0420561	0	0.0922897	0.021028	0	0.0315421	0	0.0151869	0.0700935	0.147196	0.110981	0.128505	0.0560748	0.0747664	0.0665888	0.0128505	0.0560748	42	856	0.000417
Mobile Home	CA, 03706	Owner	2000-09	0	0	0	0.0585774	0.0543933	0	0	0.217573	0	0	0.0502092	0.1841	0	0.301255	0	0	0	0.133891	0	11	239	0.000141943
Mobile Home	CA, 03706	Renter	2000-09	0.0821429	0.0535714	0.0714286	0.132143	0.00714286	0.0940476	0.0547619	0.0511905	0.052381	0.0428571	0.0678571	0.075	0.107143	0.0714286	0	0.0107143	0.0261905	0	0	41	840	3.0748e-05
Multi-Family with 2 - 4 Units	CA, 03706	Owner	2000-09	0.0490884	0.00935016	0	0.0130902	0.00981767	0	0.0458158	0.00841515	0	0.0495559	0.0584385	0.0406732	0.0677887	0.0444133	0.102852	0.0472183	0.0691912	0.0224404	0.361851	106	2139	1.98689e-06
Multi-Family with 2 - 4 Units	CA, 03706	Renter	2000-09	0.124456	0.0535612	0.0493716	0.046332	0.0474	0.0502752	0.0633369	0.0630083	0.0404173	0.0598045	0.0553684	0.0495359	0.0580794	0.0679372	0.049043	0.0368028	0.0245626	0.0162655	0.0444426	492	12173	1.21241e-05
Multi-Family with 5+ Units	CA, 03706	Owner	2000-09	0.0243902	0.0131924	0.00839836	0.0149421	0.010183	0.015327	0.0170067	0.0208559	0.0167617	0.0385975	0.0389124	0.0417469	0.10323	0.0792945	0.0856283	0.0637576	0.0551492	0.0444413	0.308185	1207	28577	3.52041e-05
Multi-Family with 5+ Units	CA, 03706	Renter	2000-09	0.0233281	0.206843	0.0762053	0.0404355	0.0746501	0.059098	0.0311042	0.0388802	0.0124417	0.0995334	0.0777605	0.0979782	0.0637636	0	0.0575428	0.0404355	0	0	0	39	643	0.000444567
Single-Family Attached	CA, 03706	Owner	2000-09	0	0	0	0.0748663	0	0.0641711	0	0	0	0	0	0.15508	0.368984	0.262032	0	0	0	0	0.0748663	10	187	0.000101448
Single-Family Attached	CA, 03706	Renter	2000-09	0.0327344	0.0406857	0.0414085	0.0426477	0.035729	0.0418216	0.029843	0.0153862	0.0243701	0.0523544	0.0626807	0.0521479	0.0853986	0.0990293	0.0629905	0.0419248	0.0405824	0.0345931	0.163672	446	9684	5.84755e-05
