Dependency=Geometry Building Type ACS	Dependency=Geometry Floor Area Bin	Dependency=Vintage ACS	Option=1	Option=2	Option=3	Option=4	Option=5	Option=6	Option=7	Option=8	Option=9	Option=10	Option=11	Option=12	Option=13	Option=14	Option=15	Option=20	Option=21	source_count	source_weight
10 to 19 Unit	1500-2499	<1940	0.0184609	0.150801	0.361103	0.306275	0.103192	0.0601688	0	0	0	0	0	0	0	0	0	0	0	41	101538
10 to 19 Unit	2500-3999	<1940	0.0184609	0.150801	0.361103	0.306275	0.103192	0.0601688	0	0	0	0	0	0	0	0	0	0	0	41	101538
10 to 19 Unit	4000+	<1940	0.0184609	0.150801	0.361103	0.306275	0.103192	0.0601688	0	0	0	0	0	0	0	0	0	0	0	41	101538
2 Unit	0-1499	1940-59	0.117013	0.882987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	46245.2
2 Unit	1500-2499	1940-59	0.117013	0.882987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	46245.2
2 Unit	2500-3999	1940-59	0.117013	0.882987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	46245.2
2 Unit	4000+	1940-59	0.117013	0.882987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	46245.2
2 Unit	0-1499	1960-79	0.180621	0.819379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	196213
2 Unit	1500-2499	1960-79	0.180621	0.819379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	196213
2 Unit	2500-3999	1960-79	0.180621	0.819379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	196213
2 Unit	4000+	1960-79	0.180621	0.819379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	196213
2 Unit	0-1499	1980-99	0.130047	0.869953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209	179602
2 Unit	1500-2499	1980-99	0.130047	0.869953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209	179602
2 Unit	2500-3999	1980-99	0.130047	0.869953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209	179602
2 Unit	4000+	1980-99	0.130047	0.869953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209	179602
2 Unit	0-1499	2000-09	0.113932	0.886068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	30486.9
2 Unit	1500-2499	2000-09	0.113932	0.886068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	30486.9
2 Unit	2500-3999	2000-09	0.113932	0.886068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	30486.9
2 Unit	4000+	2000-09	0.113932	0.886068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	30486.9
2 Unit	0-1499	2010s	0.113932	0.886068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	30486.9
2 Unit	1500-2499	2010s	0.113932	0.886068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	30486.9
2 Unit	2500-3999	2010s	0.113932	0.886068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	30486.9
2 Unit	4000+	2010s	0.113932	0.886068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	30486.9
2 Unit	0-1499	<1940	0.3634	0.6366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	49336.3
2 Unit	1500-2499	<1940	0.3634	0.6366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	49336.3
2 Unit	2500-3999	<1940	0.3634	0.6366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	49336.3
2 Unit	4000+	<1940	0.3634	0.6366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	49336.3
20 to 49 Unit	0-1499	1940-59	0.106378	0.249894	0.18718	0.0839396	0.0936729	0.14253	0.112487	0	0.0239185	0	0	0	0	0	0	0	0	54	128179
20 to 49 Unit	1500-2499	1940-59	0.106378	0.249894	0.18718	0.0839396	0.0936729	0.14253	0.112487	0	0.0239185	0	0	0	0	0	0	0	0	54	128179
20 to 49 Unit	2500-3999	1940-59	0.106378	0.249894	0.18718	0.0839396	0.0936729	0.14253	0.112487	0	0.0239185	0	0	0	0	0	0	0	0	54	128179
20 to 49 Unit	4000+	1940-59	0.106378	0.249894	0.18718	0.0839396	0.0936729	0.14253	0.112487	0	0.0239185	0	0	0	0	0	0	0	0	54	128179
20 to 49 Unit	0-1499	1960-79	0.0320274	0.305101	0.505507	0.118589	0	0.0146039	0.0160334	0	0	0	0	0	0	0	0.00813734	0	0	131	296571
20 to 49 Unit	1500-2499	1960-79	0.0320274	0.305101	0.505507	0.118589	0	0.0146039	0.0160334	0	0	0	0	0	0	0	0.00813734	0	0	131	296571
20 to 49 Unit	2500-3999	1960-79	0.0320274	0.305101	0.505507	0.118589	0	0.0146039	0.0160334	0	0	0	0	0	0	0	0.00813734	0	0	131	296571
20 to 49 Unit	4000+	1960-79	0.0320274	0.305101	0.505507	0.118589	0	0.0146039	0.0160334	0	0	0	0	0	0	0	0.00813734	0	0	131	296571
20 to 49 Unit	0-1499	1980-99	0.0843877	0.173873	0.632478	0.0670616	0.0422001	0	0	0	0	0	0	0	0	0	0	0	0	104	245801
20 to 49 Unit	1500-2499	1980-99	0.0843877	0.173873	0.632478	0.0670616	0.0422001	0	0	0	0	0	0	0	0	0	0	0	0	104	245801
20 to 49 Unit	2500-3999	1980-99	0.0843877	0.173873	0.632478	0.0670616	0.0422001	0	0	0	0	0	0	0	0	0	0	0	0	104	245801
20 to 49 Unit	4000+	1980-99	0.0843877	0.173873	0.632478	0.0670616	0.0422001	0	0	0	0	0	0	0	0	0	0	0	0	104	245801
20 to 49 Unit	0-1499	2000-09	0.0862253	0.296387	0.369193	0.180274	0.0431526	0.0247673	0	0	0	0	0	0	0	0	0	0	0	48	56485.8
20 to 49 Unit	1500-2499	2000-09	0.0862253	0.296387	0.369193	0.180274	0.0431526	0.0247673	0	0	0	0	0	0	0	0	0	0	0	48	56485.8
20 to 49 Unit	2500-3999	2000-09	0.0862253	0.296387	0.369193	0.180274	0.0431526	0.0247673	0	0	0	0	0	0	0	0	0	0	0	48	56485.8
20 to 49 Unit	4000+	2000-09	0.0862253	0.296387	0.369193	0.180274	0.0431526	0.0247673	0	0	0	0	0	0	0	0	0	0	0	48	56485.8
20 to 49 Unit	0-1499	2010s	0.0862253	0.296387	0.369193	0.180274	0.0431526	0.0247673	0	0	0	0	0	0	0	0	0	0	0	48	56485.8
20 to 49 Unit	1500-2499	2010s	0.0862253	0.296387	0.369193	0.180274	0.0431526	0.0247673	0	0	0	0	0	0	0	0	0	0	0	48	56485.8
20 to 49 Unit	2500-3999	2010s	0.0862253	0.296387	0.369193	0.180274	0.0431526	0.0247673	0	0	0	0	0	0	0	0	0	0	0	48	56485.8
20 to 49 Unit	4000+	2010s	0.0862253	0.296387	0.369193	0.180274	0.0431526	0.0247673	0	0	0	0	0	0	0	0	0	0	0	48	56485.8
20 to 49 Unit	0-1499	<1940	0.0224179	0.0739039	0.225817	0.125702	0.275567	0.190991	0.0406284	0	0	0.0261541	0.00630457	0.0125142	0	0	0	0	0	51	133124
20 to 49 Unit	1500-2499	<1940	0.0224179	0.0739039	0.225817	0.125702	0.275567	0.190991	0.0406284	0	0	0.0261541	0.00630457	0.0125142	0	0	0	0	0	51	133124
20 to 49 Unit	2500-3999	<1940	0.0224179	0.0739039	0.225817	0.125702	0.275567	0.190991	0.0406284	0	0	0.0261541	0.00630457	0.0125142	0	0	0	0	0	51	133124
20 to 49 Unit	4000+	<1940	0.0224179	0.0739039	0.225817	0.125702	0.275567	0.190991	0.0406284	0	0	0.0261541	0.00630457	0.0125142	0	0	0	0	0	51	133124
3 or 4 Unit	0-1499	1940-59	0.0671922	0.507037	0.359101	0.0666699	0	0	0	0	0	0	0	0	0	0	0	0	0	59	46245.2
3 or 4 Unit	1500-2499	1940-59	0.0671922	0.507037	0.359101	0.0666699	0	0	0	0	0	0	0	0	0	0	0	0	0	59	46245.2
3 or 4 Unit	2500-3999	1940-59	0.0671922	0.507037	0.359101	0.0666699	0	0	0	0	0	0	0	0	0	0	0	0	0	59	46245.2
3 or 4 Unit	4000+	1940-59	0.0671922	0.507037	0.359101	0.0666699	0	0	0	0	0	0	0	0	0	0	0	0	0	59	46245.2
3 or 4 Unit	0-1499	1960-79	0.132742	0.602176	0.262715	0.00236719	0	0	0	0	0	0	0	0	0	0	0	0	0	233	196213
3 or 4 Unit	1500-2499	1960-79	0.132742	0.602176	0.262715	0.00236719	0	0	0	0	0	0	0	0	0	0	0	0	0	233	196213
3 or 4 Unit	2500-3999	1960-79	0.132742	0.602176	0.262715	0.00236719	0	0	0	0	0	0	0	0	0	0	0	0	0	233	196213
3 or 4 Unit	4000+	1960-79	0.132742	0.602176	0.262715	0.00236719	0	0	0	0	0	0	0	0	0	0	0	0	0	233	196213
3 or 4 Unit	0-1499	1980-99	0.111374	0.745035	0.136613	0.00697864	0	0	0	0	0	0	0	0	0	0	0	0	0	209	179602
3 or 4 Unit	1500-2499	1980-99	0.111374	0.745035	0.136613	0.00697864	0	0	0	0	0	0	0	0	0	0	0	0	0	209	179602
3 or 4 Unit	2500-3999	1980-99	0.111374	0.745035	0.136613	0.00697864	0	0	0	0	0	0	0	0	0	0	0	0	0	209	179602
3 or 4 Unit	4000+	1980-99	0.111374	0.745035	0.136613	0.00697864	0	0	0	0	0	0	0	0	0	0	0	0	0	209	179602
3 or 4 Unit	0-1499	2000-09	0.096851	0.753226	0.140675	0.00924801	0	0	0	0	0	0	0	0	0	0	0	0	0	68	30486.9
3 or 4 Unit	1500-2499	2000-09	0.096851	0.753226	0.140675	0.00924801	0	0	0	0	0	0	0	0	0	0	0	0	0	68	30486.9
3 or 4 Unit	2500-3999	2000-09	0.096851	0.753226	0.140675	0.00924801	0	0	0	0	0	0	0	0	0	0	0	0	0	68	30486.9
3 or 4 Unit	4000+	2000-09	0.096851	0.753226	0.140675	0.00924801	0	0	0	0	0	0	0	0	0	0	0	0	0	68	30486.9
3 or 4 Unit	0-1499	2010s	0.096851	0.753226	0.140675	0.00924801	0	0	0	0	0	0	0	0	0	0	0	0	0	68	30486.9
3 or 4 Unit	1500-2499	2010s	0.096851	0.753226	0.140675	0.00924801	0	0	0	0	0	0	0	0	0	0	0	0	0	68	30486.9
3 or 4 Unit	2500-3999	2010s	0.096851	0.753226	0.140675	0.00924801	0	0	0	0	0	0	0	0	0	0	0	0	0	68	30486.9
3 or 4 Unit	4000+	2010s	0.096851	0.753226	0.140675	0.00924801	0	0	0	0	0	0	0	0	0	0	0	0	0	68	30486.9
3 or 4 Unit	0-1499	<1940	0.157767	0.276375	0.399699	0.166159	0	0	0	0	0	0	0	0	0	0	0	0	0	58	49336.3
3 or 4 Unit	1500-2499	<1940	0.157767	0.276375	0.399699	0.166159	0	0	0	0	0	0	0	0	0	0	0	0	0	58	49336.3
3 or 4 Unit	2500-3999	<1940	0.157767	0.276375	0.399699	0.166159	0	0	0	0	0	0	0	0	0	0	0	0	0	58	49336.3
3 or 4 Unit	4000+	<1940	0.157767	0.276375	0.399699	0.166159	0	0	0	0	0	0	0	0	0	0	0	0	0	58	49336.3
5 to 9 Unit	0-1499	1940-59	0.0671922	0.507037	0.359101	0.0666699	0	0	0	0	0	0	0	0	0	0	0	0	0	59	46245.2
5 to 9 Unit	1500-2499	1940-59	0.0671922	0.507037	0.359101	0.0666699	0	0	0	0	0	0	0	0	0	0	0	0	0	59	46245.2
5 to 9 Unit	2500-3999	1940-59	0.0671922	0.507037	0.359101	0.0666699	0	0	0	0	0	0	0	0	0	0	0	0	0	59	46245.2
5 to 9 Unit	4000+	1940-59	0.0671922	0.507037	0.359101	0.0666699	0	0	0	0	0	0	0	0	0	0	0	0	0	59	46245.2
5 to 9 Unit	0-1499	1960-79	0.131888	0.598303	0.261025	0.00235196	0.00376206	0	0.00267042	0	0	0	0	0	0	0	0	0	0	233	196213
5 to 9 Unit	1500-2499	1960-79	0.131888	0.598303	0.261025	0.00235196	0.00376206	0	0.00267042	0	0	0	0	0	0	0	0	0	0	233	196213
5 to 9 Unit	2500-3999	1960-79	0.131888	0.598303	0.261025	0.00235196	0.00376206	0	0.00267042	0	0	0	0	0	0	0	0	0	0	233	196213
5 to 9 Unit	4000+	1960-79	0.131888	0.598303	0.261025	0.00235196	0.00376206	0	0.00267042	0	0	0	0	0	0	0	0	0	0	233	196213
5 to 9 Unit	0-1499	1980-99	0.110901	0.741875	0.136034	0.00694905	0	0	0	0	0.00424106	0	0	0	0	0	0	0	0	209	179602
5 to 9 Unit	1500-2499	1980-99	0.110901	0.741875	0.136034	0.00694905	0	0	0	0	0.00424106	0	0	0	0	0	0	0	0	209	179602
5 to 9 Unit	2500-3999	1980-99	0.110901	0.741875	0.136034	0.00694905	0	0	0	0	0.00424106	0	0	0	0	0	0	0	0	209	179602
5 to 9 Unit	4000+	1980-99	0.110901	0.741875	0.136034	0.00694905	0	0	0	0	0.00424106	0	0	0	0	0	0	0	0	209	179602
5 to 9 Unit	0-1499	2000-09	0.096851	0.753226	0.140675	0.00924801	0	0	0	0	0	0	0	0	0	0	0	0	0	68	30486.9
5 to 9 Unit	1500-2499	2000-09	0.096851	0.753226	0.140675	0.00924801	0	0	0	0	0	0	0	0	0	0	0	0	0	68	30486.9
5 to 9 Unit	2500-3999	2000-09	0.096851	0.753226	0.140675	0.00924801	0	0	0	0	0	0	0	0	0	0	0	0	0	68	30486.9
5 to 9 Unit	4000+	2000-09	0.096851	0.753226	0.140675	0.00924801	0	0	0	0	0	0	0	0	0	0	0	0	0	68	30486.9
5 to 9 Unit	0-1499	2010s	0.096851	0.753226	0.140675	0.00924801	0	0	0	0	0	0	0	0	0	0	0	0	0	68	30486.9
5 to 9 Unit	1500-2499	2010s	0.096851	0.753226	0.140675	0.00924801	0	0	0	0	0	0	0	0	0	0	0	0	0	68	30486.9
5 to 9 Unit	2500-3999	2010s	0.096851	0.753226	0.140675	0.00924801	0	0	0	0	0	0	0	0	0	0	0	0	0	68	30486.9
5 to 9 Unit	4000+	2010s	0.096851	0.753226	0.140675	0.00924801	0	0	0	0	0	0	0	0	0	0	0	0	0	68	30486.9
5 to 9 Unit	0-1499	<1940	0.144838	0.253726	0.366943	0.152542	0.0649547	0.016997	0	0	0	0	0	0	0	0	0	0	0	58	49336.3
5 to 9 Unit	1500-2499	<1940	0.144838	0.253726	0.366943	0.152542	0.0649547	0.016997	0	0	0	0	0	0	0	0	0	0	0	58	49336.3
5 to 9 Unit	2500-3999	<1940	0.144838	0.253726	0.366943	0.152542	0.0649547	0.016997	0	0	0	0	0	0	0	0	0	0	0	58	49336.3
5 to 9 Unit	4000+	<1940	0.144838	0.253726	0.366943	0.152542	0.0649547	0.016997	0	0	0	0	0	0	0	0	0	0	0	58	49336.3
50 or more Unit	0-1499	1940-59	0	0.11884	0.0960881	0.0678599	0.0460595	0.121743	0	0.0409286	0	0.0689073	0	0.0250914	0	0.163547	0.0506656	0	0.200269	43	97797
50 or more Unit	1500-2499	1940-59	0	0.11884	0.0960881	0.0678599	0.0460595	0.121743	0	0.0409286	0	0.0689073	0	0.0250914	0	0.163547	0.0506656	0	0.200269	43	97797
50 or more Unit	2500-3999	1940-59	0	0.11884	0.0960881	0.0678599	0.0460595	0.121743	0	0.0409286	0	0.0689073	0	0.0250914	0	0.163547	0.0506656	0	0.200269	43	97797
50 or more Unit	4000+	1940-59	0	0.11884	0.0960881	0.0678599	0.0460595	0.121743	0	0.0409286	0	0.0689073	0	0.0250914	0	0.163547	0.0506656	0	0.200269	43	97797
50 or more Unit	0-1499	1960-79	0.0413748	0.115796	0.192076	0.0633253	0.0644656	0.0423854	0.0110659	0.0170884	0.0480038	0.0224557	0.0350977	0.0629436	0.0115077	0.0128299	0.018978	0.0255533	0.215053	113	302478
50 or more Unit	1500-2499	1960-79	0.0413748	0.115796	0.192076	0.0633253	0.0644656	0.0423854	0.0110659	0.0170884	0.0480038	0.0224557	0.0350977	0.0629436	0.0115077	0.0128299	0.018978	0.0255533	0.215053	113	302478
50 or more Unit	2500-3999	1960-79	0.0413748	0.115796	0.192076	0.0633253	0.0644656	0.0423854	0.0110659	0.0170884	0.0480038	0.0224557	0.0350977	0.0629436	0.0115077	0.0128299	0.018978	0.0255533	0.215053	113	302478
50 or more Unit	4000+	1960-79	0.0413748	0.115796	0.192076	0.0633253	0.0644656	0.0423854	0.0110659	0.0170884	0.0480038	0.0224557	0.0350977	0.0629436	0.0115077	0.0128299	0.018978	0.0255533	0.215053	113	302478
50 or more Unit	0-1499	1980-99	0.0256151	0.13173	0.40724	0.0848125	0.0932583	0.0429456	0.0150373	0.0334156	0.0191554	0	0.0247705	0.0281373	0.0183124	0	0.0119692	0.0287595	0.0348412	126	324771
50 or more Unit	1500-2499	1980-99	0.0256151	0.13173	0.40724	0.0848125	0.0932583	0.0429456	0.0150373	0.0334156	0.0191554	0	0.0247705	0.0281373	0.0183124	0	0.0119692	0.0287595	0.0348412	126	324771
50 or more Unit	2500-3999	1980-99	0.0256151	0.13173	0.40724	0.0848125	0.0932583	0.0429456	0.0150373	0.0334156	0.0191554	0	0.0247705	0.0281373	0.0183124	0	0.0119692	0.0287595	0.0348412	126	324771
50 or more Unit	4000+	1980-99	0.0256151	0.13173	0.40724	0.0848125	0.0932583	0.0429456	0.0150373	0.0334156	0.0191554	0	0.0247705	0.0281373	0.0183124	0	0.0119692	0.0287595	0.0348412	126	324771
50 or more Unit	0-1499	2000-09	0.0125007	0	0.164946	0.425983	0.0800717	0.137382	0	0.0144706	0	0.0456338	0	0	0.0391479	0	0	0.0798647	0	49	63285
50 or more Unit	1500-2499	2000-09	0.0125007	0	0.164946	0.425983	0.0800717	0.137382	0	0.0144706	0	0.0456338	0	0	0.0391479	0	0	0.0798647	0	49	63285
50 or more Unit	2500-3999	2000-09	0.0125007	0	0.164946	0.425983	0.0800717	0.137382	0	0.0144706	0	0.0456338	0	0	0.0391479	0	0	0.0798647	0	49	63285
50 or more Unit	4000+	2000-09	0.0125007	0	0.164946	0.425983	0.0800717	0.137382	0	0.0144706	0	0.0456338	0	0	0.0391479	0	0	0.0798647	0	49	63285
50 or more Unit	0-1499	2010s	0.0125007	0	0.164946	0.425983	0.0800717	0.137382	0	0.0144706	0	0.0456338	0	0	0.0391479	0	0	0.0798647	0	49	63285
50 or more Unit	1500-2499	2010s	0.0125007	0	0.164946	0.425983	0.0800717	0.137382	0	0.0144706	0	0.0456338	0	0	0.0391479	0	0	0.0798647	0	49	63285
50 or more Unit	2500-3999	2010s	0.0125007	0	0.164946	0.425983	0.0800717	0.137382	0	0.0144706	0	0.0456338	0	0	0.0391479	0	0	0.0798647	0	49	63285
50 or more Unit	4000+	2010s	0.0125007	0	0.164946	0.425983	0.0800717	0.137382	0	0.0144706	0	0.0456338	0	0	0.0391479	0	0	0.0798647	0	49	63285
50 or more Unit	0-1499	<1940	0	0.0139602	0.0403691	0.101503	0.0824837	0.149291	0.0193694	0.0595889	0.0345886	0.0293504	0	0.0401289	0.0166739	0.0202276	0.0416946	0	0.350771	50	129083
50 or more Unit	1500-2499	<1940	0	0.0139602	0.0403691	0.101503	0.0824837	0.149291	0.0193694	0.0595889	0.0345886	0.0293504	0	0.0401289	0.0166739	0.0202276	0.0416946	0	0.350771	50	129083
50 or more Unit	2500-3999	<1940	0	0.0139602	0.0403691	0.101503	0.0824837	0.149291	0.0193694	0.0595889	0.0345886	0.0293504	0	0.0401289	0.0166739	0.0202276	0.0416946	0	0.350771	50	129083
50 or more Unit	4000+	<1940	0	0.0139602	0.0403691	0.101503	0.0824837	0.149291	0.0193694	0.0595889	0.0345886	0.0293504	0	0.0401289	0.0166739	0.0202276	0.0416946	0	0.350771	50	129083
Mobile Home	0-1499	1940-59	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	153716
Mobile Home	1500-2499	1940-59	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mobile Home	2500-3999	1940-59	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mobile Home	4000+	1940-59	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mobile Home	0-1499	1960-79	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	1.93806e+06
Mobile Home	1500-2499	1960-79	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	124459
Mobile Home	2500-3999	1960-79	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mobile Home	4000+	1960-79	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mobile Home	0-1499	1980-99	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229	3.16739e+06
Mobile Home	1500-2499	1980-99	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	515447
Mobile Home	2500-3999	1980-99	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	12732.1
Mobile Home	4000+	1980-99	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mobile Home	0-1499	2000-09	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	329761
Mobile Home	1500-2499	2000-09	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	128458
Mobile Home	2500-3999	2000-09	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mobile Home	4000+	2000-09	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mobile Home	0-1499	2010s	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	329761
Mobile Home	1500-2499	2010s	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	128458
Mobile Home	2500-3999	2010s	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mobile Home	4000+	2010s	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mobile Home	0-1499	<1940	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	13826.1
Mobile Home	1500-2499	<1940	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mobile Home	2500-3999	<1940	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mobile Home	4000+	<1940	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Single-Family Attached	0-1499	1940-59	0.691809	0.308191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	467547
Single-Family Attached	1500-2499	1940-59	0.255269	0.664934	0.0797972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	296571
Single-Family Attached	2500-3999	1940-59	0.123195	0.876805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	36092
Single-Family Attached	4000+	1940-59	0.333333	0.333333	0.333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Single-Family Attached	0-1499	1960-79	0.6419	0.349316	0.00878377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	1.09526e+06
Single-Family Attached	1500-2499	1960-79	0.295173	0.677029	0.0277978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	415548
Single-Family Attached	2500-3999	1960-79	0.660474	0.339526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	65803.9
Single-Family Attached	4000+	1960-79	0.333333	0.333333	0.333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Single-Family Attached	0-1499	1980-99	0.476167	0.515554	0.00827861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	1.23464e+06
Single-Family Attached	1500-2499	1980-99	0.273109	0.608686	0.118206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	716397
Single-Family Attached	2500-3999	1980-99	0.22626	0.745923	0.0278175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	206585
Single-Family Attached	4000+	1980-99	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1518.97
