Dependency=Geometry Building Type RECS	Dependency=Heating Fuel	Dependency=Location Region	Option=Electricity	Option=Fuel Oil	Option=Natural Gas	Option=Other Fuel	Option=Propane	source_count	source_weight	sampling_probability
Multi-Family with 2 - 4 Units	Electricity	CR11	0.31595	0	0.616258	0	0.0677916	158	641346	0.0190822
Multi-Family with 5+ Units	Electricity	CR11	0.31595	0	0.616258	0	0.0677916	158	641346	0.194889
Single-Family Attached	Electricity	CR11	0.62014	0	0.37986	0	0	29	165003	0.0162648
Single-Family Detached	Electricity	CR11	0.26531	0	0.676459	0	0.0582308	162	574903	0.0687766
Mobile Home	Fuel Oil	CR02	0.823242	0.0528104	0.0661803	0	0.0577677	96	53932.1	0
Multi-Family with 2 - 4 Units	Fuel Oil	CR02	0.668099	0	0.331901	0	0	5	2314.08	0
Multi-Family with 5+ Units	Fuel Oil	CR02	0.668099	0	0.331901	0	0	5	2314.08	0
Single-Family Attached	Fuel Oil	CR02	0.546885	0.138853	0.314262	0	0	7	7224.74	0
Single-Family Detached	Fuel Oil	CR02	0.823242	0.0528104	0.0661803	0	0.0577677	96	53932.1	0
Mobile Home	Fuel Oil	CR03	0.299618	0.613362	0.0591886	0	0.0278308	413	982252	0
Multi-Family with 2 - 4 Units	Fuel Oil	CR03	0.254359	0.487146	0.258495	0	0	65	205504	0
Multi-Family with 5+ Units	Fuel Oil	CR03	0.254359	0.487146	0.258495	0	0	65	205504	0
Single-Family Attached	Fuel Oil	CR03	0.569662	0.291568	0.13877	0	0	15	37763.8	0
Single-Family Detached	Fuel Oil	CR03	0.299618	0.613362	0.0591886	0	0.0278308	413	982252	0
Mobile Home	Fuel Oil	CR04	0.823242	0.0528104	0.0661803	0	0.0577677	96	53932.1	0
Multi-Family with 2 - 4 Units	Fuel Oil	CR04	0.668099	0	0.331901	0	0	5	2314.08	0
Multi-Family with 5+ Units	Fuel Oil	CR04	0.668099	0	0.331901	0	0	5	2314.08	0
Single-Family Attached	Fuel Oil	CR04	0.546885	0.138853	0.314262	0	0	7	7224.74	0
Single-Family Detached	Fuel Oil	CR04	0.823242	0.0528104	0.0661803	0	0.0577677	96	53932.1	0
Mobile Home	Fuel Oil	CR05	0.823242	0.0528104	0.0661803	0	0.0577677	96	53932.1	0
Multi-Family with 2 - 4 Units	Fuel Oil	CR05	0.668099	0	0.331901	0	0	5	2314.08	0
Multi-Family with 5+ Units	Fuel Oil	CR05	0.668099	0	0.331901	0	0	5	2314.08	0
Single-Family Attached	Fuel Oil	CR05	0.546885	0.138853	0.314262	0	0	7	7224.74	0
Single-Family Detached	Fuel Oil	CR05	0.823242	0.0528104	0.0661803	0	0.0577677	96	53932.1	0
Mobile Home	Fuel Oil	CR06	0.823242	0.0528104	0.0661803	0	0.0577677	96	53932.1	0
Multi-Family with 2 - 4 Units	Fuel Oil	CR06	0.668099	0	0.331901	0	0	5	2314.08	0
Multi-Family with 5+ Units	Fuel Oil	CR06	0.668099	0	0.331901	0	0	5	2314.08	0
Single-Family Attached	Fuel Oil	CR06	0.546885	0.138853	0.314262	0	0	7	7224.74	0
Single-Family Detached	Fuel Oil	CR06	0.823242	0.0528104	0.0661803	0	0.0577677	96	53932.1	0
Mobile Home	Fuel Oil	CR07	0.336043	0.539116	0.0854673	0	0.0393735	256	943419	0
Multi-Family with 2 - 4 Units	Fuel Oil	CR07	0.190602	0.425612	0.352291	0	0.0314949	140	675355	0
Multi-Family with 5+ Units	Fuel Oil	CR07	0.190602	0.425612	0.352291	0	0.0314949	140	675355	0
Single-Family Attached	Fuel Oil	CR07	0.300978	0.593843	0.105179	0	0	35	302228	0
Single-Family Detached	Fuel Oil	CR07	0.336043	0.539116	0.0854673	0	0.0393735	256	943419	0
Mobile Home	Fuel Oil	CR08	0.823242	0.0528104	0.0661803	0	0.0577677	96	53932.1	0
Multi-Family with 2 - 4 Units	Fuel Oil	CR08	0.668099	0	0.331901	0	0	5	2314.08	0
Multi-Family with 5+ Units	Fuel Oil	CR08	0.668099	0	0.331901	0	0	5	2314.08	0
Single-Family Attached	Fuel Oil	CR08	0.546885	0.138853	0.314262	0	0	7	7224.74	0
Single-Family Detached	Fuel Oil	CR08	0.823242	0.0528104	0.0661803	0	0.0577677	96	53932.1	0
Mobile Home	Fuel Oil	CR09	0.823242	0.0528104	0.0661803	0	0.0577677	96	53932.1	0
Multi-Family with 2 - 4 Units	Fuel Oil	CR09	0.668099	0	0.331901	0	0	5	2314.08	0
Multi-Family with 5+ Units	Fuel Oil	CR09	0.668099	0	0.331901	0	0	5	2314.08	0
Single-Family Attached	Fuel Oil	CR09	0.546885	0.138853	0.314262	0	0	7	7224.74	0
Single-Family Detached	Fuel Oil	CR09	0.823242	0.0528104	0.0661803	0	0.0577677	96	53932.1	0
Mobile Home	Fuel Oil	CR10	0.823242	0.0528104	0.0661803	0	0.0577677	96	53932.1	0
Multi-Family with 2 - 4 Units	Fuel Oil	CR10	0.668099	0	0.331901	0	0	5	2314.08	0
Multi-Family with 5+ Units	Fuel Oil	CR10	0.668099	0	0.331901	0	0	5	2314.08	0
Single-Family Attached	Fuel Oil	CR10	0.546885	0.138853	0.314262	0	0	7	7224.74	0
Single-Family Detached	Fuel Oil	CR10	0.823242	0.0528104	0.0661803	0	0.0577677	96	53932.1	0
Mobile Home	Fuel Oil	CR11	0.823242	0.0528104	0.0661803	0	0.0577677	96	53932.1	3.18008e-05
Multi-Family with 2 - 4 Units	Fuel Oil	CR11	0.668099	0	0.331901	0	0	5	2314.08	8.00708e-05
Multi-Family with 5+ Units	Fuel Oil	CR11	0.668099	0	0.331901	0	0	5	2314.08	0.000238361
Single-Family Attached	Fuel Oil	CR11	0.546885	0.138853	0.314262	0	0	7	7224.74	1.93964e-05
Single-Family Detached	Fuel Oil	CR11	0.823242	0.0528104	0.0661803	0	0.0577677	96	53932.1	0.000295566
Mobile Home	Natural Gas	CR02	0.164528	0	0.835472	0	0	487	1.47759e+06	0
Multi-Family with 2 - 4 Units	Natural Gas	CR02	0.145538	0	0.836334	0	0.0181279	84	343888	0
Multi-Family with 5+ Units	Natural Gas	CR02	0.145538	0	0.836334	0	0.0181279	84	343888	0
Single-Family Attached	Natural Gas	CR02	0.0864747	0	0.913525	0	0	47	258264	0
Single-Family Detached	Natural Gas	CR02	0.164528	0	0.835472	0	0	487	1.47759e+06	0
Mobile Home	Natural Gas	CR03	0.0658612	0.00542639	0.928712	0	0	148	385299	0
Multi-Family with 2 - 4 Units	Natural Gas	CR03	0.143538	0.0265495	0.829912	0	0	197	625978	0
Multi-Family with 5+ Units	Natural Gas	CR03	0.143538	0.0265495	0.829912	0	0	197	625978	0
Single-Family Attached	Natural Gas	CR03	0.252274	0	0.747726	0	0	47	209332	0
Single-Family Detached	Natural Gas	CR03	0.0658612	0.00542639	0.928712	0	0	148	385299	0
Mobile Home	Natural Gas	CR04	0.116622	0	0.881121	0	0.00225734	538	4.2477e+06	0
Multi-Family with 2 - 4 Units	Natural Gas	CR04	0.016949	0	0.983051	0	0	110	1.19972e+06	0
Multi-Family with 5+ Units	Natural Gas	CR04	0.016949	0	0.983051	0	0	110	1.19972e+06	0
Single-Family Attached	Natural Gas	CR04	0.0526721	0	0.947328	0	0	38	617186	0
Single-Family Detached	Natural Gas	CR04	0.116622	0	0.881121	0	0.00225734	538	4.2477e+06	0
Mobile Home	Natural Gas	CR05	0.129005	0	0.862182	0	0.00881241	256	1.13047e+06	0
Multi-Family with 2 - 4 Units	Natural Gas	CR05	0.0696182	0	0.930382	0	0	47	183678	0
Multi-Family with 5+ Units	Natural Gas	CR05	0.0696182	0	0.930382	0	0	47	183678	0
Single-Family Attached	Natural Gas	CR05	0.13125	0	0.86875	0	0	48	258603	0
Single-Family Detached	Natural Gas	CR05	0.129005	0	0.862182	0	0.00881241	256	1.13047e+06	0
Mobile Home	Natural Gas	CR06	0.250384	0	0.749616	0	0	105	569938	0
Multi-Family with 2 - 4 Units	Natural Gas	CR06	0	0	1	0	0	6	34802.7	0
Multi-Family with 5+ Units	Natural Gas	CR06	0	0	1	0	0	6	34802.7	0
Single-Family Attached	Natural Gas	CR06	0.128036	0	0.871964	0	0	8	62036.9	0
Single-Family Detached	Natural Gas	CR06	0.250384	0	0.749616	0	0	105	569938	0
Mobile Home	Natural Gas	CR07	0.0501232	0.00160527	0.948272	0	0	396	2.28663e+06	0
Multi-Family with 2 - 4 Units	Natural Gas	CR07	0.0907543	0.0182809	0.888256	0	0.00270854	273	1.55097e+06	0
Multi-Family with 5+ Units	Natural Gas	CR07	0.0907543	0.0182809	0.888256	0	0.00270854	273	1.55097e+06	0
Single-Family Attached	Natural Gas	CR07	0.0643545	0.0219222	0.913723	0	0	96	882497	0
Single-Family Detached	Natural Gas	CR07	0.0501232	0.00160527	0.948272	0	0	396	2.28663e+06	0
Mobile Home	Natural Gas	CR08	0.158447	0	0.841553	0	0	700	2.18482e+06	0
Multi-Family with 2 - 4 Units	Natural Gas	CR08	0.260175	0	0.739825	0	0	108	517088	0
Multi-Family with 5+ Units	Natural Gas	CR08	0.260175	0	0.739825	0	0	108	517088	0
Single-Family Attached	Natural Gas	CR08	0.0851715	0	0.914828	0	0	83	553277	0
Single-Family Detached	Natural Gas	CR08	0.158447	0	0.841553	0	0	700	2.18482e+06	0
Mobile Home	Natural Gas	CR09	0.158193	0	0.83839	0.00197568	0.00144142	799	4.20872e+06	0
Multi-Family with 2 - 4 Units	Natural Gas	CR09	0.136012	0	0.863988	0	0	95	515892	0
Multi-Family with 5+ Units	Natural Gas	CR09	0.136012	0	0.863988	0	0	95	515892	0
Single-Family Attached	Natural Gas	CR09	0.0955748	0	0.904425	0	0	47	406468	0
Single-Family Detached	Natural Gas	CR09	0.158193	0	0.83839	0.00197568	0.00144142	799	4.20872e+06	0
Mobile Home	Natural Gas	CR10	0.0763161	0	0.923684	0	0	146	834919	0
Multi-Family with 2 - 4 Units	Natural Gas	CR10	0.134255	0	0.865745	0	0	18	111350	0
Multi-Family with 5+ Units	Natural Gas	CR10	0.134255	0	0.865745	0	0	18	111350	0
Single-Family Attached	Natural Gas	CR10	0	0	1	0	0	8	69959.2	0
Single-Family Detached	Natural Gas	CR10	0.0763161	0	0.923684	0	0	146	834919	0
Mobile Home	Natural Gas	CR11	0.0210581	0	0.976004	0.00293774	0	652	2.51341e+06	0.00402516
Multi-Family with 2 - 4 Units	Natural Gas	CR11	0.0246612	0	0.975339	0	0	191	821575	0.0590928
Multi-Family with 5+ Units	Natural Gas	CR11	0.0246612	0	0.975339	0	0	191	821575	0.224129
Single-Family Attached	Natural Gas	CR11	0.0333421	0	0.966658	0	0	94	565272	0.0388973
Single-Family Detached	Natural Gas	CR11	0.0210581	0	0.976004	0.00293774	0	652	2.51341e+06	0.290442
Mobile Home	None	CR02	0.400015	0	0.555565	0.0105171	0.0339031	170	67869.8	0
Multi-Family with 2 - 4 Units	None	CR02	0.42434	0	0.544853	0	0.0308071	192	76639.9	0
Multi-Family with 5+ Units	None	CR02	0.42434	0	0.544853	0	0.0308071	192	76639.9	0
Single-Family Attached	None	CR02	0.372679	0	0.627321	0	0	30	19051.3	0
Single-Family Detached	None	CR02	0.400015	0	0.555565	0.0105171	0.0339031	170	67869.8	0
Mobile Home	None	CR03	0.400015	0	0.555565	0.0105171	0.0339031	170	67869.8	0
Multi-Family with 2 - 4 Units	None	CR03	0.42434	0	0.544853	0	0.0308071	192	76639.9	0
Multi-Family with 5+ Units	None	CR03	0.42434	0	0.544853	0	0.0308071	192	76639.9	0
Single-Family Attached	None	CR03	0.372679	0	0.627321	0	0	30	19051.3	0
Single-Family Detached	None	CR03	0.400015	0	0.555565	0.0105171	0.0339031	170	67869.8	0
Mobile Home	None	CR04	0.400015	0	0.555565	0.0105171	0.0339031	170	67869.8	0
Multi-Family with 2 - 4 Units	None	CR04	0.42434	0	0.544853	0	0.0308071	192	76639.9	0
Multi-Family with 5+ Units	None	CR04	0.42434	0	0.544853	0	0.0308071	192	76639.9	0
Single-Family Attached	None	CR04	0.372679	0	0.627321	0	0	30	19051.3	0
Single-Family Detached	None	CR04	0.400015	0	0.555565	0.0105171	0.0339031	170	67869.8	0
Mobile Home	None	CR05	0.400015	0	0.555565	0.0105171	0.0339031	170	67869.8	0
Multi-Family with 2 - 4 Units	None	CR05	0.42434	0	0.544853	0	0.0308071	192	76639.9	0
Multi-Family with 5+ Units	None	CR05	0.42434	0	0.544853	0	0.0308071	192	76639.9	0
Single-Family Attached	None	CR05	0.372679	0	0.627321	0	0	30	19051.3	0
Single-Family Detached	None	CR05	0.400015	0	0.555565	0.0105171	0.0339031	170	67869.8	0
Mobile Home	None	CR06	0.400015	0	0.555565	0.0105171	0.0339031	170	67869.8	0
Multi-Family with 2 - 4 Units	None	CR06	0.42434	0	0.544853	0	0.0308071	192	76639.9	0
Multi-Family with 5+ Units	None	CR06	0.42434	0	0.544853	0	0.0308071	192	76639.9	0
Single-Family Attached	None	CR06	0.372679	0	0.627321	0	0	30	19051.3	0
Single-Family Detached	None	CR06	0.400015	0	0.555565	0.0105171	0.0339031	170	67869.8	0
Mobile Home	None	CR07	0.400015	0	0.555565	0.0105171	0.0339031	170	67869.8	0
Multi-Family with 2 - 4 Units	None	CR07	0.42434	0	0.544853	0	0.0308071	192	76639.9	0
Multi-Family with 5+ Units	None	CR07	0.42434	0	0.544853	0	0.0308071	192	76639.9	0
Single-Family Attached	None	CR07	0.372679	0	0.627321	0	0	30	19051.3	0
Single-Family Detached	None	CR07	0.400015	0	0.555565	0.0105171	0.0339031	170	67869.8	0
Mobile Home	None	CR08	0.400015	0	0.555565	0.0105171	0.0339031	170	67869.8	0
Multi-Family with 2 - 4 Units	None	CR08	0.42434	0	0.544853	0	0.0308071	192	76639.9	0
Multi-Family with 5+ Units	None	CR08	0.42434	0	0.544853	0	0.0308071	192	76639.9	0
Single-Family Attached	None	CR08	0.372679	0	0.627321	0	0	30	19051.3	0
Single-Family Detached	None	CR08	0.400015	0	0.555565	0.0105171	0.0339031	170	67869.8	0
Mobile Home	None	CR09	0.400015	0	0.555565	0.0105171	0.0339031	170	67869.8	0
Multi-Family with 2 - 4 Units	None	CR09	0.42434	0	0.544853	0	0.0308071	192	76639.9	0
Multi-Family with 5+ Units	None	CR09	0.42434	0	0.544853	0	0.0308071	192	76639.9	0
Single-Family Attached	None	CR09	0.372679	0	0.627321	0	0	30	19051.3	0
Single-Family Detached	None	CR09	0.400015	0	0.555565	0.0105171	0.0339031	170	67869.8	0
Mobile Home	None	CR10	0.400015	0	0.555565	0.0105171	0.0339031	170	67869.8	0
Multi-Family with 2 - 4 Units	None	CR10	0.42434	0	0.544853	0	0.0308071	192	76639.9	0
Multi-Family with 5+ Units	None	CR10	0.42434	0	0.544853	0	0.0308071	192	76639.9	0
Single-Family Attached	None	CR10	0.372679	0	0.627321	0	0	30	19051.3	0
Single-Family Detached	None	CR10	0.400015	0	0.555565	0.0105171	0.0339031	170	67869.8	0
Mobile Home	None	CR11	0.400015	0	0.555565	0.0105171	0.0339031	170	67869.8	0.000402542
Multi-Family with 2 - 4 Units	None	CR11	0.42434	0	0.544853	0	0.0308071	192	76639.9	0.00692991
Multi-Family with 5+ Units	None	CR11	0.42434	0	0.544853	0	0.0308071	192	76639.9	0.0373343
Single-Family Attached	None	CR11	0.372679	0	0.627321	0	0	30	19051.3	0.00487157
Single-Family Detached	None	CR11	0.400015	0	0.555565	0.0105171	0.0339031	170	67869.8	0.0178519
Mobile Home	Other Fuel	CR02	0.712952	0.0318741	0.112612	0.0293036	0.113259	348	167793	0
Multi-Family with 2 - 4 Units	Other Fuel	CR02	0.242375	0	0.757625	0	0	29	15779.6	0
Multi-Family with 5+ Units	Other Fuel	CR02	0.242375	0	0.757625	0	0	29	15779.6	0
Single-Family Attached	Other Fuel	CR02	0.671179	0.165297	0.163523	0	0	9	6846.34	0
Single-Family Detached	Other Fuel	CR02	0.712952	0.0318741	0.112612	0.0293036	0.113259	348	167793	0
Mobile Home	Other Fuel	CR03	0.712952	0.0318741	0.112612	0.0293036	0.113259	348	167793	0
Multi-Family with 2 - 4 Units	Other Fuel	CR03	0.242375	0	0.757625	0	0	29	15779.6	0
Multi-Family with 5+ Units	Other Fuel	CR03	0.242375	0	0.757625	0	0	29	15779.6	0
Single-Family Attached	Other Fuel	CR03	0.671179	0.165297	0.163523	0	0	9	6846.34	0
Single-Family Detached	Other Fuel	CR03	0.712952	0.0318741	0.112612	0.0293036	0.113259	348	167793	0
Mobile Home	Other Fuel	CR04	0.712952	0.0318741	0.112612	0.0293036	0.113259	348	167793	0
Multi-Family with 2 - 4 Units	Other Fuel	CR04	0.242375	0	0.757625	0	0	29	15779.6	0
Multi-Family with 5+ Units	Other Fuel	CR04	0.242375	0	0.757625	0	0	29	15779.6	0
Single-Family Attached	Other Fuel	CR04	0.671179	0.165297	0.163523	0	0	9	6846.34	0
Single-Family Detached	Other Fuel	CR04	0.712952	0.0318741	0.112612	0.0293036	0.113259	348	167793	0
Mobile Home	Other Fuel	CR05	0.712952	0.0318741	0.112612	0.0293036	0.113259	348	167793	0
Multi-Family with 2 - 4 Units	Other Fuel	CR05	0.242375	0	0.757625	0	0	29	15779.6	0
Multi-Family with 5+ Units	Other Fuel	CR05	0.242375	0	0.757625	0	0	29	15779.6	0
Single-Family Attached	Other Fuel	CR05	0.671179	0.165297	0.163523	0	0	9	6846.34	0
Single-Family Detached	Other Fuel	CR05	0.712952	0.0318741	0.112612	0.0293036	0.113259	348	167793	0
Mobile Home	Other Fuel	CR06	0.712952	0.0318741	0.112612	0.0293036	0.113259	348	167793	0
Multi-Family with 2 - 4 Units	Other Fuel	CR06	0.242375	0	0.757625	0	0	29	15779.6	0
Multi-Family with 5+ Units	Other Fuel	CR06	0.242375	0	0.757625	0	0	29	15779.6	0
Single-Family Attached	Other Fuel	CR06	0.671179	0.165297	0.163523	0	0	9	6846.34	0
Single-Family Detached	Other Fuel	CR06	0.712952	0.0318741	0.112612	0.0293036	0.113259	348	167793	0
Mobile Home	Other Fuel	CR07	0.712952	0.0318741	0.112612	0.0293036	0.113259	348	167793	0
Multi-Family with 2 - 4 Units	Other Fuel	CR07	0.242375	0	0.757625	0	0	29	15779.6	0
Multi-Family with 5+ Units	Other Fuel	CR07	0.242375	0	0.757625	0	0	29	15779.6	0
Single-Family Attached	Other Fuel	CR07	0.671179	0.165297	0.163523	0	0	9	6846.34	0
Single-Family Detached	Other Fuel	CR07	0.712952	0.0318741	0.112612	0.0293036	0.113259	348	167793	0
Mobile Home	Other Fuel	CR08	0.712952	0.0318741	0.112612	0.0293036	0.113259	348	167793	0
Multi-Family with 2 - 4 Units	Other Fuel	CR08	0.242375	0	0.757625	0	0	29	15779.6	0
Multi-Family with 5+ Units	Other Fuel	CR08	0.242375	0	0.757625	0	0	29	15779.6	0
Single-Family Attached	Other Fuel	CR08	0.671179	0.165297	0.163523	0	0	9	6846.34	0
Single-Family Detached	Other Fuel	CR08	0.712952	0.0318741	0.112612	0.0293036	0.113259	348	167793	0
Mobile Home	Other Fuel	CR09	0.712952	0.0318741	0.112612	0.0293036	0.113259	348	167793	0
Multi-Family with 2 - 4 Units	Other Fuel	CR09	0.242375	0	0.757625	0	0	29	15779.6	0
Multi-Family with 5+ Units	Other Fuel	CR09	0.242375	0	0.757625	0	0	29	15779.6	0
Single-Family Attached	Other Fuel	CR09	0.671179	0.165297	0.163523	0	0	9	6846.34	0
Single-Family Detached	Other Fuel	CR09	0.712952	0.0318741	0.112612	0.0293036	0.113259	348	167793	0
Mobile Home	Other Fuel	CR10	0.712952	0.0318741	0.112612	0.0293036	0.113259	348	167793	0
Multi-Family with 2 - 4 Units	Other Fuel	CR10	0.242375	0	0.757625	0	0	29	15779.6	0
Multi-Family with 5+ Units	Other Fuel	CR10	0.242375	0	0.757625	0	0	29	15779.6	0
Single-Family Attached	Other Fuel	CR10	0.671179	0.165297	0.163523	0	0	9	6846.34	0
Single-Family Detached	Other Fuel	CR10	0.712952	0.0318741	0.112612	0.0293036	0.113259	348	167793	0
Mobile Home	Other Fuel	CR11	0.712952	0.0318741	0.112612	0.0293036	0.113259	348	167793	0.000239337
Multi-Family with 2 - 4 Units	Other Fuel	CR11	0.242375	0	0.757625	0	0	29	15779.6	0.000224004
Multi-Family with 5+ Units	Other Fuel	CR11	0.242375	0	0.757625	0	0	29	15779.6	0.00104715
Single-Family Attached	Other Fuel	CR11	0.671179	0.165297	0.163523	0	0	9	6846.34	0.000113875
Single-Family Detached	Other Fuel	CR11	0.712952	0.0318741	0.112612	0.0293036	0.113259	348	167793	0.00257575
Mobile Home	Propane	CR02	0.580965	0	0.00610352	0	0.412932	106	167996	0
Multi-Family with 2 - 4 Units	Propane	CR02	0.580965	0	0.00610352	0	0.412932	106	167996	0
Multi-Family with 5+ Units	Propane	CR02	0.580965	0	0.00610352	0	0.412932	106	167996	0
Single-Family Attached	Propane	CR02	0.580965	0	0.00610352	0	0.412932	106	167996	0
Single-Family Detached	Propane	CR02	0.580965	0	0.00610352	0	0.412932	106	167996	0
Mobile Home	Propane	CR03	0.217473	0.0467861	0	0	0.735741	23	33412.4	0
Multi-Family with 2 - 4 Units	Propane	CR03	0.217473	0.0467861	0	0	0.735741	23	33412.4	0
Multi-Family with 5+ Units	Propane	CR03	0.217473	0.0467861	0	0	0.735741	23	33412.4	0
Single-Family Attached	Propane	CR03	0.217473	0.0467861	0	0	0.735741	23	33412.4	0
Single-Family Detached	Propane	CR03	0.217473	0.0467861	0	0	0.735741	23	33412.4	0
Mobile Home	Propane	CR04	0.49892	0	0.0168976	0	0.484183	42	186540	0
Multi-Family with 2 - 4 Units	Propane	CR04	0.49892	0	0.0168976	0	0.484183	42	186540	0
Multi-Family with 5+ Units	Propane	CR04	0.49892	0	0.0168976	0	0.484183	42	186540	0
Single-Family Attached	Propane	CR04	0.49892	0	0.0168976	0	0.484183	42	186540	0
Single-Family Detached	Propane	CR04	0.49892	0	0.0168976	0	0.484183	42	186540	0
Mobile Home	Propane	CR05	0.242782	0	0	0	0.757218	26	65476.2	0
Multi-Family with 2 - 4 Units	Propane	CR05	0.242782	0	0	0	0.757218	26	65476.2	0
Multi-Family with 5+ Units	Propane	CR05	0.242782	0	0	0	0.757218	26	65476.2	0
Single-Family Attached	Propane	CR05	0.242782	0	0	0	0.757218	26	65476.2	0
Single-Family Detached	Propane	CR05	0.242782	0	0	0	0.757218	26	65476.2	0
Mobile Home	Propane	CR06	0.446042	0	0	0	0.553958	7	13047.7	0
Multi-Family with 2 - 4 Units	Propane	CR06	0.446042	0	0	0	0.553958	7	13047.7	0
Multi-Family with 5+ Units	Propane	CR06	0.446042	0	0	0	0.553958	7	13047.7	0
Single-Family Attached	Propane	CR06	0.446042	0	0	0	0.553958	7	13047.7	0
Single-Family Detached	Propane	CR06	0.446042	0	0	0	0.553958	7	13047.7	0
Mobile Home	Propane	CR07	0.392067	0.0198831	0.0371072	0	0.550942	30	115498	0
Multi-Family with 2 - 4 Units	Propane	CR07	0.392067	0.0198831	0.0371072	0	0.550942	30	115498	0
Multi-Family with 5+ Units	Propane	CR07	0.392067	0.0198831	0.0371072	0	0.550942	30	115498	0
