Dependency=Geometry Building Type RECS	Dependency=PUMA	Option=Owner	Option=Renter	source_count	source_weight	sampling_probability
Mobile Home	CA, 03722	0.482301	0.517699	15	226	0.000163282
Multi-Family with 2 - 4 Units	CA, 03722	0.100834	0.899166	138	2757	0.00191656
Multi-Family with 5+ Units	CA, 03722	0.0666262	0.933374	1745	37898	0.026607
Single-Family Attached	CA, 03722	0.49538	0.50462	112	1948	0.0013986
Single-Family Detached	CA, 03722	0.775566	0.224434	1066	17983	0.0126283
Mobile Home	CA, 03723	0.625	0.375	20	352	0.000236693
Multi-Family with 2 - 4 Units	CA, 03723	0.0907055	0.909295	53	893	0.000600474
Multi-Family with 5+ Units	CA, 03723	0.0820874	0.917913	1217	20868	0.0145095
Single-Family Attached	CA, 03723	0.623849	0.376151	168	2172	0.00150354
Single-Family Detached	CA, 03723	0.812724	0.187276	1042	15923	0.011017
Mobile Home	CA, 03724	0.551839	0.448161	14	299	0.0002027
Multi-Family with 2 - 4 Units	CA, 03724	0.264264	0.735736	35	666	0.000498954
Multi-Family with 5+ Units	CA, 03724	0.158432	0.841568	1048	25096	0.0178627
Single-Family Attached	CA, 03724	0.651183	0.348817	178	3423	0.0023463
Single-Family Detached	CA, 03724	0.810831	0.189169	1779	32278	0.0230631
Mobile Home	CA, 03725	0.830985	0.169015	2095	34849	4.54588e-05
Multi-Family with 2 - 4 Units	CA, 03725	0.240196	0.759804	52	1020	0.000713772
Multi-Family with 5+ Units	CA, 03725	0.103835	0.896165	1053	25579	0.0185418
Single-Family Attached	CA, 03725	0.653538	0.346462	135	2742	0.00188756
Single-Family Detached	CA, 03725	0.830985	0.169015	2095	34849	0.0247201
Mobile Home	CA, 03726	0.829086	0.170914	76	1609	0.000225074
Multi-Family with 2 - 4 Units	CA, 03726	0.334844	0.665156	68	1765	0.000222387
Multi-Family with 5+ Units	CA, 03726	0.220039	0.779961	143	3613	0.000440797
Single-Family Attached	CA, 03726	0.777254	0.222746	204	4027	0.000445633
Single-Family Detached	CA, 03726	0.877277	0.122723	1406	27175	0.00321477
Mobile Home	CA, 03727	0.871267	0.128733	1921	33146	7.69529e-05
Multi-Family with 2 - 4 Units	CA, 03727	0.156546	0.843454	78	1795	0.00135314
Multi-Family with 5+ Units	CA, 03727	0.171204	0.828796	1493	33901	0.0249967
Single-Family Attached	CA, 03727	0.738365	0.261635	107	1762	0.00131773
Single-Family Detached	CA, 03727	0.871267	0.128733	1921	33146	0.0253543
Mobile Home	CA, 03728	0.731794	0.268206	560	10134	1.04404e-05
Multi-Family with 2 - 4 Units	CA, 03728	0.184037	0.815963	302	6966	0.000683471
Multi-Family with 5+ Units	CA, 03728	0.151416	0.848584	1259	31998	0.00303189
Single-Family Attached	CA, 03728	0.517404	0.482596	111	2126	0.000201374
Single-Family Detached	CA, 03728	0.731794	0.268206	560	10134	0.000945897
Mobile Home	CA, 03729	0.828442	0.171558	1168	19148	0.000170719
Multi-Family with 2 - 4 Units	CA, 03729	0.0955593	0.904441	243	5337	0.00390477
Multi-Family with 5+ Units	CA, 03729	0.153961	0.846039	2836	60197	0.0454969
Single-Family Attached	CA, 03729	0.526341	0.473659	105	2050	0.00151607
Single-Family Detached	CA, 03729	0.828442	0.171558	1168	19148	0.0140234
Mobile Home	CA, 03730	0.836952	0.163048	941	15983	0.000120672
Multi-Family with 2 - 4 Units	CA, 03730	0.149897	0.850103	626	13129	0.010272
Multi-Family with 5+ Units	CA, 03730	0.0737403	0.92626	1907	39951	0.0306459
Single-Family Attached	CA, 03730	0.342224	0.657776	134	2437	0.00175855
Single-Family Detached	CA, 03730	0.836952	0.163048	941	15983	0.0116828
Mobile Home	CA, 03731	0.791214	0.208786	687	13818	4.15222e-05
Multi-Family with 2 - 4 Units	CA, 03731	0.129575	0.870425	189	5055	0.00139037
Multi-Family with 5+ Units	CA, 03731	0.14059	0.85941	1421	39391	0.0109566
Single-Family Attached	CA, 03731	0.343632	0.656368	56	1327	0.000338392
Single-Family Detached	CA, 03731	0.791214	0.208786	687	13818	0.00414799
Mobile Home	CA, 03732	0.706661	0.293339	678	11410	0.000126406
Multi-Family with 2 - 4 Units	CA, 03732	0.121095	0.878905	419	7490	0.0057859
Multi-Family with 5+ Units	CA, 03732	0.0337746	0.966225	2722	55752	0.0426656
Single-Family Attached	CA, 03732	0.202364	0.797636	159	2792	0.00216227
Single-Family Detached	CA, 03732	0.706661	0.293339	678	11410	0.00874672
Mobile Home	CA, 03733	0.454647	0.545353	106	1786	4.01811e-05
Multi-Family with 2 - 4 Units	CA, 03733	0.0641288	0.935871	194	3415	0.00243261
Multi-Family with 5+ Units	CA, 03733	0.0297677	0.970232	2042	39170	0.0289951
Single-Family Attached	CA, 03733	0.214173	0.785827	37	635	0.000485467
Single-Family Detached	CA, 03733	0.454647	0.545353	106	1786	0.0013161
Mobile Home	CA, 03734	0.421622	0.578378	15	370	0.000246084
Multi-Family with 2 - 4 Units	CA, 03734	0.102442	0.897558	570	9215	0.00658974
Multi-Family with 5+ Units	CA, 03734	0.0249254	0.975075	2521	46579	0.0331509
Single-Family Attached	CA, 03734	0.191105	0.808895	264	4924	0.00354361
Single-Family Detached	CA, 03734	0.633271	0.366729	935	15990	0.0112706
Mobile Home	CA, 03735	0.518519	0.481481	17	270	0.000196438
Multi-Family with 2 - 4 Units	CA, 03735	0.0931174	0.906883	391	6669	0.00496853
Multi-Family with 5+ Units	CA, 03735	0.0820533	0.917947	889	15624	0.0111712
Single-Family Attached	CA, 03735	0.336457	0.663543	313	4696	0.00338687
Single-Family Detached	CA, 03735	0.71588	0.28412	2459	35221	0.0250316
Mobile Home	CA, 03736	0.544643	0.455357	10	112	3.95961e-06
Multi-Family with 2 - 4 Units	CA, 03736	0.0903024	0.909698	255	4795	0.000181895
Multi-Family with 5+ Units	CA, 03736	0.122429	0.877571	766	14245	0.000534902
Single-Family Attached	CA, 03736	0.38248	0.61752	227	3710	0.000144349
Single-Family Detached	CA, 03736	0.705734	0.294266	1191	18993	0.000716195
Mobile Home	CA, 03744	0	1	10	331	0.000223617
Multi-Family with 2 - 4 Units	CA, 03744	0.0668244	0.933176	303	5073	0.0033002
Multi-Family with 5+ Units	CA, 03744	0.0619436	0.938056	1928	42684	0.0295587
Single-Family Attached	CA, 03744	0.25722	0.74278	270	4432	0.00279645
Single-Family Detached	CA, 03744	0.47144	0.52856	790	12780	0.00826339
Mobile Home	CA, 03745	0.391534	0.608466	10	189	0.000142284
Multi-Family with 2 - 4 Units	CA, 03745	0.0603032	0.939697	338	6003	0.00414428
Multi-Family with 5+ Units	CA, 03745	0.00850159	0.991498	310	5646	0.00395523
Single-Family Attached	CA, 03745	0.233347	0.766653	295	4834	0.00336139
Single-Family Detached	CA, 03745	0.439203	0.560797	740	12295	0.00863592
Mobile Home	CA, 03746	0.563135	0.436865	515	8165	5.946e-05
Multi-Family with 2 - 4 Units	CA, 03746	0.0804543	0.919546	386	6252	0.00461154
Multi-Family with 5+ Units	CA, 03746	0.0091696	0.99083	850	13632	0.00994876
Single-Family Attached	CA, 03746	0.221178	0.778822	208	3938	0.00286354
Single-Family Detached	CA, 03746	0.563135	0.436865	515	8165	0.00582438
Mobile Home	CA, 03747	0.790202	0.209798	1280	23065	6.53139e-05
Multi-Family with 2 - 4 Units	CA, 03747	0.104843	0.895157	519	11894	0.00888806
Multi-Family with 5+ Units	CA, 03747	0.0375215	0.962478	868	21481	0.015814
Single-Family Attached	CA, 03747	0.351357	0.648643	209	4494	0.00310206
Single-Family Detached	CA, 03747	0.790202	0.209798	1280	23065	0.0165271
Mobile Home	CA, 03748	0.375328	0.624672	12	381	0.000159613
Multi-Family with 2 - 4 Units	CA, 03748	0.186886	0.813114	329	7534	0.00358187
Multi-Family with 5+ Units	CA, 03748	0.20599	0.79401	1429	39769	0.0182277
Single-Family Attached	CA, 03748	0.615643	0.384357	227	4756	0.00219018
Single-Family Detached	CA, 03748	0.81755	0.18245	1565	31351	0.0138721
Mobile Home	CA, 03750	0.680328	0.319672	1407	27425	0.000153113
Multi-Family with 2 - 4 Units	CA, 03750	0.0630064	0.936994	362	8269	0.00591123
Multi-Family with 5+ Units	CA, 03750	0.00597883	0.994021	531	12377	0.00867194
Single-Family Attached	CA, 03750	0.316354	0.683646	289	6243	0.0045673
Single-Family Detached	CA, 03750	0.680328	0.319672	1407	27425	0.019109
Mobile Home	CA, 03751	0.632911	0.367089	11	158	0.000145301
Multi-Family with 2 - 4 Units	CA, 03751	0.0522328	0.947767	306	6203	0.00444702
Multi-Family with 5+ Units	CA, 03751	0.00928382	0.990716	323	6786	0.00469763
Single-Family Attached	CA, 03751	0.248523	0.751477	308	5585	0.00388847
Single-Family Detached	CA, 03751	0.527968	0.472032	1165	20702	0.0143855
Mobile Home	CA, 03758	0.579347	0.420653	60	1317	6.48805e-05
Multi-Family with 2 - 4 Units	CA, 03758	0.0776638	0.922336	291	6335	0.000325905
Multi-Family with 5+ Units	CA, 03758	0.0991776	0.900822	648	14348	0.000696583
Single-Family Attached	CA, 03758	0.494903	0.505097	232	4316	0.000217098
Single-Family Detached	CA, 03758	0.665559	0.334441	1362	24976	0.00122187
Mobile Home	CA, 03767	0.623007	0.376993	58	878	0.000662915
Multi-Family with 2 - 4 Units	CA, 03767	0.120525	0.879475	452	9135	0.00646343
Multi-Family with 5+ Units	CA, 03767	0.123267	0.876733	987	18610	0.0135341
Single-Family Attached	CA, 03767	0.47801	0.52199	285	5207	0.00371179
Single-Family Detached	CA, 03767	0.676043	0.323957	1523	26272	0.0187549
# Created by: sources\pums\2019_5yrs\tsv_maker.py
# Source: 2019-5yrs Public Use Microdata Samples (PUMS). IPUMS USA, University of Minnesota, www.ipums.org.
# Assumption: In ACS, Tenure is reported for occupied units only. By excluding Vacancy Status as a dependency, we assume vacant units share the same Tenure distribution as occupied units. Where sample counts are less than 10 (464 / 11680 rows), the Census Division by PUMA Metro Status average distribution has been inserted. 'Mobile Home' does not exist in DC and is replaced by 'Single-Family Detached'.
# Downselected: This characteristic was downselected from project_national.
