Dependency=Geometry Building Type RECS	Dependency=PUMA	Option=Occupied	Option=Vacant	source_count	source_weight	sampling_probability
Multi-Family with 2 - 4 Units	CA, 03724	0.904891	0.0951087	37	736	0.000498954
Multi-Family with 5+ Units	CA, 03724	0.952446	0.047554	1083	26349	0.0178627
Single-Family Attached	CA, 03724	0.989021	0.0109795	179	3461	0.0023463
Single-Family Detached	CA, 03724	0.948795	0.0512052	1829	34020	0.0230631
Mobile Home	CA, 03725	0.863933	0.136067	28295	537307	4.54588e-05
Multi-Family with 2 - 4 Units	CA, 03725	0.969582	0.0304183	54	1052	0.000713772
Multi-Family with 5+ Units	CA, 03725	0.936	0.0640003	1102	27328	0.0185418
Single-Family Attached	CA, 03725	0.985622	0.0143781	136	2782	0.00188756
Single-Family Detached	CA, 03725	0.956497	0.0435033	2152	36434	0.0247201
Mobile Home	CA, 03726	0.768386	0.231614	88	2094	0.000225074
Multi-Family with 2 - 4 Units	CA, 03726	0.853069	0.146931	78	2069	0.000222387
Multi-Family with 5+ Units	CA, 03726	0.881005	0.118995	155	4101	0.000440797
Single-Family Attached	CA, 03726	0.971298	0.0287024	209	4146	0.000445633
Single-Family Detached	CA, 03726	0.908589	0.0914106	1493	29909	0.00321477
Mobile Home	CA, 03727	0.863933	0.136067	28295	537307	7.69529e-05
Multi-Family with 2 - 4 Units	CA, 03727	0.903372	0.0966281	82	1987	0.00135314
Multi-Family with 5+ Units	CA, 03727	0.923582	0.076418	1558	36706	0.0249967
Single-Family Attached	CA, 03727	0.910594	0.0894057	111	1935	0.00131773
Single-Family Detached	CA, 03727	0.89028	0.10972	2045	37231	0.0253543
Mobile Home	CA, 03728	0.863933	0.136067	28295	537307	1.04404e-05
Multi-Family with 2 - 4 Units	CA, 03728	0.851277	0.148723	328	8183	0.000683471
Multi-Family with 5+ Units	CA, 03728	0.881488	0.118512	1344	36300	0.00303189
Single-Family Attached	CA, 03728	0.881792	0.118208	119	2411	0.000201374
Single-Family Detached	CA, 03728	0.894834	0.105166	599	11325	0.000945897
Mobile Home	CA, 03729	0.863933	0.136067	28295	537307	0.000170719
Multi-Family with 2 - 4 Units	CA, 03729	0.929629	0.070371	256	5741	0.00390477
Multi-Family with 5+ Units	CA, 03729	0.899913	0.100087	3015	66892	0.0454969
Single-Family Attached	CA, 03729	0.919695	0.0803051	111	2229	0.00151607
Single-Family Detached	CA, 03729	0.928703	0.0712969	1214	20618	0.0140234
Mobile Home	CA, 03730	0.863933	0.136067	28295	537307	0.000120672
Multi-Family with 2 - 4 Units	CA, 03730	0.866486	0.133514	688	15152	0.010272
Multi-Family with 5+ Units	CA, 03730	0.883774	0.116226	2056	45205	0.0306459
Single-Family Attached	CA, 03730	0.939476	0.0605243	139	2594	0.00175855
Single-Family Detached	CA, 03730	0.927465	0.0725353	987	17233	0.0116828
Mobile Home	CA, 03731	0.863933	0.136067	28295	537307	4.15222e-05
Multi-Family with 2 - 4 Units	CA, 03731	0.90397	0.09603	202	5592	0.00139037
Multi-Family with 5+ Units	CA, 03731	0.893889	0.106111	1522	44067	0.0109566
Single-Family Attached	CA, 03731	0.975018	0.0249816	57	1361	0.000338392
Single-Family Detached	CA, 03731	0.828268	0.171732	771	16683	0.00414799
Mobile Home	CA, 03732	0.863933	0.136067	28295	537307	0.000126406
Multi-Family with 2 - 4 Units	CA, 03732	0.865796	0.134204	459	8651	0.0057859
Multi-Family with 5+ Units	CA, 03732	0.873952	0.126048	2957	63793	0.0426656
Single-Family Attached	CA, 03732	0.863594	0.136406	175	3233	0.00216227
Single-Family Detached	CA, 03732	0.872458	0.127542	732	13078	0.00874672
Mobile Home	CA, 03733	0.863933	0.136067	28295	537307	4.01811e-05
Multi-Family with 2 - 4 Units	CA, 03733	0.924722	0.0752776	207	3693	0.00243261
Multi-Family with 5+ Units	CA, 03733	0.889863	0.110137	2237	44018	0.0289951
Single-Family Attached	CA, 03733	0.861601	0.138399	42	737	0.000485467
Single-Family Detached	CA, 03733	0.893894	0.106106	114	1998	0.0013161
Mobile Home	CA, 03734	1	0	15	370	0.000246084
Multi-Family with 2 - 4 Units	CA, 03734	0.930057	0.0699435	598	9908	0.00658974
Multi-Family with 5+ Units	CA, 03734	0.934496	0.0655044	2677	49844	0.0331509
Single-Family Attached	CA, 03734	0.924174	0.0758258	280	5328	0.00354361
Single-Family Detached	CA, 03734	0.943586	0.0564145	974	16946	0.0112706
Mobile Home	CA, 03735	0.931034	0.0689655	18	290	0.000196438
Multi-Family with 2 - 4 Units	CA, 03735	0.909202	0.0907975	417	7335	0.00496853
Multi-Family with 5+ Units	CA, 03735	0.947368	0.0526316	928	16492	0.0111712
Single-Family Attached	CA, 03735	0.9392	0.0608	327	5000	0.00338687
Single-Family Detached	CA, 03735	0.953104	0.0468961	2533	36954	0.0250316
Mobile Home	CA, 03736	1	0	10	112	3.95961e-06
Multi-Family with 2 - 4 Units	CA, 03736	0.931973	0.0680272	266	5145	0.000181895
Multi-Family with 5+ Units	CA, 03736	0.941507	0.0584931	797	15130	0.000534902
Single-Family Attached	CA, 03736	0.908646	0.0913544	241	4083	0.000144349
Single-Family Detached	CA, 03736	0.937556	0.0624445	1235	20258	0.000716195
Mobile Home	CA, 03744	0.909341	0.0906593	12	364	0.000223617
Multi-Family with 2 - 4 Units	CA, 03744	0.944341	0.055659	320	5372	0.0033002
Multi-Family with 5+ Units	CA, 03744	0.887125	0.112875	2089	48115	0.0295587
Single-Family Attached	CA, 03744	0.973638	0.026362	276	4552	0.00279645
Single-Family Detached	CA, 03744	0.950115	0.0498848	825	13451	0.00826339
Mobile Home	CA, 03745	0.887324	0.112676	11	213	0.000142284
Multi-Family with 2 - 4 Units	CA, 03745	0.967602	0.0323985	348	6204	0.00414428
Multi-Family with 5+ Units	CA, 03745	0.953555	0.0464449	325	5921	0.00395523
Single-Family Attached	CA, 03745	0.960652	0.0393482	305	5032	0.00336139
Single-Family Detached	CA, 03745	0.951037	0.0489635	773	12928	0.00863592
Mobile Home	CA, 03746	0.863933	0.136067	28295	537307	5.946e-05
Multi-Family with 2 - 4 Units	CA, 03746	0.916044	0.083956	411	6825	0.00461154
Multi-Family with 5+ Units	CA, 03746	0.925835	0.0741646	910	14724	0.00994876
Single-Family Attached	CA, 03746	0.929212	0.0707881	225	4238	0.00286354
Single-Family Detached	CA, 03746	0.947216	0.0527842	540	8620	0.00582438
Mobile Home	CA, 03747	0.863933	0.136067	28295	537307	6.53139e-05
Multi-Family with 2 - 4 Units	CA, 03747	0.901061	0.0989394	569	13200	0.00888806
Multi-Family with 5+ Units	CA, 03747	0.91463	0.08537	937	23486	0.015814
Single-Family Attached	CA, 03747	0.975472	0.0245279	214	4607	0.00310206
Single-Family Detached	CA, 03747	0.939703	0.0602974	1336	24545	0.0165271
Mobile Home	CA, 03748	1	0	12	381	0.000159613
Multi-Family with 2 - 4 Units	CA, 03748	0.88117	0.11883	352	8550	0.00358187
Multi-Family with 5+ Units	CA, 03748	0.91402	0.0859802	1512	43510	0.0182277
Single-Family Attached	CA, 03748	0.909717	0.0902831	242	5228	0.00219018
Single-Family Detached	CA, 03748	0.946788	0.0532117	1618	33113	0.0138721
Mobile Home	CA, 03750	0.863933	0.136067	28295	537307	0.000153113
Multi-Family with 2 - 4 Units	CA, 03750	0.935301	0.0646986	384	8841	0.00591123
Multi-Family with 5+ Units	CA, 03750	0.954279	0.0457209	559	12970	0.00867194
Single-Family Attached	CA, 03750	0.913922	0.0860782	312	6831	0.0045673
Single-Family Detached	CA, 03750	0.959587	0.0404129	1453	28580	0.019109
Mobile Home	CA, 03751	0.724771	0.275229	14	218	0.000145301
Multi-Family with 2 - 4 Units	CA, 03751	0.929706	0.0702938	330	6672	0.00444702
Multi-Family with 5+ Units	CA, 03751	0.962826	0.0371737	336	7048	0.00469763
Single-Family Attached	CA, 03751	0.957319	0.0426808	323	5834	0.00388847
Single-Family Detached	CA, 03751	0.959181	0.0408192	1209	21583	0.0143855
Mobile Home	CA, 03758	0.953657	0.0463432	62	1381	6.48805e-05
Multi-Family with 2 - 4 Units	CA, 03758	0.913219	0.086781	309	6937	0.000325905
Multi-Family with 5+ Units	CA, 03758	0.967694	0.0323059	670	14827	0.000696583
Single-Family Attached	CA, 03758	0.933997	0.066003	244	4621	0.000217098
Single-Family Detached	CA, 03758	0.96032	0.0396801	1406	26008	0.00122187
Mobile Home	CA, 03767	0.888664	0.111336	62	988	0.000662915
Multi-Family with 2 - 4 Units	CA, 03767	0.948303	0.0516973	473	9633	0.00646343
Multi-Family with 5+ Units	CA, 03767	0.922612	0.0773883	1041	20171	0.0135341
Single-Family Attached	CA, 03767	0.941251	0.0587491	296	5532	0.00371179
Single-Family Detached	CA, 03767	0.939897	0.060103	1581	27952	0.0187549
# Created by: sources\pums\2019_5yrs\tsv_maker.py
# Source: 2019-5yrs Public Use Microdata Samples (PUMS). IPUMS USA, University of Minnesota, www.ipums.org.
# Assumption: Where sample counts are less than 10 (434 / 11680 rows), the State average distribution has been inserted. 'Mobile Home' does not exist in DC and is replaced by 'Single-Family Detached'.
# Downselected: This characteristic was downselected from project_national.
