Dependency=Geometry Building Type RECS	Dependency=Geometry Stories	Option=Mobile Home	Option=Multifamily with 2-4 Units	Option=Multifamily with 5+ units, 1-3 stories	Option=Multifamily with 5+ units, 4-7 stories	Option=Multifamily with 5+ units, 8+ stories	Option=Single-Family Attached	Option=Single-Family Detached	source_count	source_weight	sampling_probability
Multi-Family with 5+ Units	21	0	0	0	0	1	0	0	51	572630	0.0194409
Single-Family Attached	1	0	0	0	0	0	1	0	382	2.77914e+06	0.0269953
Single-Family Attached	2	0	0	0	0	0	1	0	456	3.5095e+06	0.0306283
Single-Family Attached	3	0	0	0	0	0	1	0	49	409689	0.00323637
Single-Family Attached	4	0	0	0	0	0	1	0	0	0	0
Single-Family Attached	5	0	0	0	0	0	1	0	0	0	0
Single-Family Attached	6	0	0	0	0	0	1	0	0	0	0
Single-Family Attached	7	0	0	0	0	0	1	0	0	0	0
Single-Family Attached	8	0	0	0	0	0	1	0	0	0	0
Single-Family Attached	9	0	0	0	0	0	1	0	0	0	0
Single-Family Attached	10	0	0	0	0	0	1	0	0	0	0
Single-Family Attached	11	0	0	0	0	0	1	0	0	0	0
Single-Family Attached	12	0	0	0	0	0	1	0	0	0	0
Single-Family Attached	13	0	0	0	0	0	1	0	0	0	0
Single-Family Attached	14	0	0	0	0	0	1	0	0	0	0
Single-Family Attached	15	0	0	0	0	0	1	0	0	0	0
Single-Family Attached	20	0	0	0	0	0	1	0	0	0	0
Single-Family Attached	21	0	0	0	0	0	1	0	0	0	0
Single-Family Detached	1	0	0	0	0	0	0	1	4704	4.30972e+07	0.240028
Single-Family Detached	2	0	0	0	0	0	0	1	2906	2.70938e+07	0.138383
Single-Family Detached	3	0	0	0	0	0	0	1	133	1.14142e+06	0.00544751
Single-Family Detached	4	0	0	0	0	0	0	1	0	0	0
Single-Family Detached	5	0	0	0	0	0	0	1	0	0	0
Single-Family Detached	6	0	0	0	0	0	0	1	0	0	0
Single-Family Detached	7	0	0	0	0	0	0	1	0	0	0
Single-Family Detached	8	0	0	0	0	0	0	1	0	0	0
Single-Family Detached	9	0	0	0	0	0	0	1	0	0	0
Single-Family Detached	10	0	0	0	0	0	0	1	0	0	0
Single-Family Detached	11	0	0	0	0	0	0	1	0	0	0
Single-Family Detached	12	0	0	0	0	0	0	1	0	0	0
Single-Family Detached	13	0	0	0	0	0	0	1	0	0	0
Single-Family Detached	14	0	0	0	0	0	0	1	0	0	0
Single-Family Detached	15	0	0	0	0	0	0	1	0	0	0
Single-Family Detached	20	0	0	0	0	0	0	1	0	0	0
Single-Family Detached	21	0	0	0	0	0	0	1	0	0	0
# Created by: sources\recs\2009\tsv_maker.py
# Source: Calculated directly from other distributions
