Housing Characteristic,Category,Data Source,URL,Remark,bibtex
Clothes Washer,Internal Gains and MELs,ENERGY STAR,https://www.energystar.gov/products/appliances/clothes_washers,NaN,"@misc{U.S.EnvironmentalProtectionAgency2018, address = {Washington, D.C., USA}, author = {{U.S. Environmental Protection Agency}}, title = {{ENERGY STAR}}, url = {https://www.energystar.gov/}, year = {2018} }"
Clothes Washer,Internal Gains and MELs,DHWESG,https://www.energy.gov/eere/buildings/downloads/building-america-dhw-event-schedule-generator,NaN,"@techreport{Weitzel2014, abstract = {A developing body of work is forming that collects data on domestic hot water consumption, water use behaviors, and energy efficiency of various distribution systems. A full distribution system developed in TRNSYS has been validated using field monitoring data and then exercised in a number of climates to understand climate impact on performance. This study builds upon previous analysis modelling work to evaluate differing distribution systems and the sensitivities of water heating energy and water use efficiency to variations of climate, load, distribution type, insulation and compact plumbing practices. Overall 124 different TRNSYS models were simulated. Of the configurations evaluated, distribution losses account for 13-29{\%} of the total water heating energy use and water use efficiency ranges from 11-22{\%}. The base case, an uninsulated trunk and branch system sees the most improvement in energy consumption by insulating and locating the water heater central to all fixtures. Demand recirculation systems are not projected to provide significant energy savings and in some cases increase energy consumption. Water use is most efficient with demand recirculation systems, followed by the insulated trunk and branch system with a central water heater. Compact plumbing practices and insulation have the most impact on energy consumption (2-6{\%} for insulation and 3-4{\%} per 10 gallons of enclosed volume reduced). The results of this work are useful in informing future development of water heating best practices guides as well as more accurate (and simulation time efficient) distribution models for annual whole house simulation programs.}, address = {Washington, D.C., USA}, author = {Weitzel, E and Hoeschele, M}, file = {:Users/afontani/Documents/Projects/ResStock/Data Sources/2014 - Weitzel E - Evaluating Domestic Hot Water Distribution System Options with Validated Analysis Models.pdf:pdf}, institution = {U.S. Department of Energy}, keywords = {ARBI,Building America,DHW,DOE/GO-102014-4515,HWSIM,NREL/SR-5500-62848,Residential Buildings,September 2014,TRNSYS,demand recirculation_,distribution systems,domestic hot water,hot water,hot water distribution systems,plumbing,residential,water heating}, number = {September}, title = {{Evaluating Domestic Hot Water Distribution System Options With Validated Analysis Models}}, url = {https://www.nrel.gov/docs/fy14osti/62848.pdf}, year = {2014} }"
Cooking Range,Internal Gains and MELs,RECS-2009,https://www.eia.gov/consumption/residential/data/2009/,NaN,"@misc{U.S.EnergyInformationAdministration2009, address = {Washington, D.C., USA}, author = {{U.S. Energy Information Administration}}, title = {{Residential Energy Consumption Survey (RECS)}}, url = {https://www.eia.gov/consumption/residential/index.php}, year = {2009} }"
Cooking Range,Internal Gains and MELs,HSP-2014,https://www.nrel.gov/docs/fy14osti/60988.pdf,NaN,"@techreport{Wilson2014, abstract = {Building America's House Simulation Protocols report is designed to assist researchers in tracking the progress of multiyear, whole-building energy reduction against research goals for new and existing homes. These protocols are preloaded into BEopt and use a consistent approach for defining a reference building, so that all projects can be compared to each other. The steps involved in conducting performance analysis include: - Defining the appropriate reference building. Various climate regions, house sizes, and house ages require slightly different reference buildings; this report guides the user through to the most appropriate fit for the project. - Selecting energy upgrades. With an overwhelming number of options and technologies on the market, it can be difficult to narrow down the best choices for reaching savings goals. BEopt software can easily be used to determine the most cost-effective solutions for each project. - Determining the energy savings. After a project has been completed, the measures selected can be compared to the appropriate reference building using BEopt and the overall energy savings can be determined.}, address = {Golden, Co, USA}, author = {Wilson, E. and {Engebrecht Metzger}, C . and Horowitz, S. and Hendron, R.}, file = {:Users/afontani/Documents/Projects/ResStock/Data Sources/2014 - Wilson E - 2014 Building America House Simulation Protocols.pdf:pdf}, institution = {National Renewable Energy Laboratory}, isbn = {null}, keywords = {NREL,building performance simulation,residential buildings}, number = {December}, title = {{2014 Building America House Simulation Protocols (NREL/TP-5500-60988)}}, url = {https://www.nrel.gov/docs/fy14osti/60988.pdf}, year = {2014} }"
Cooking Range,Internal Gains and MELs,BA Analysis Spreadsheets,https://www.energy.gov/eere/buildings/building-america-analysis-spreadsheets,NaN,"@misc{U.S.DepartmentofEnergy2011, address = {Washington, D.C., USA}, author = {{U.S. Department of Energy}}, title = {{Building America Analysis Spreadsheets}}, url = {https://www.energy.gov/eere/buildings/building-america-analysis-spreadsheets}, year = {2011} }"
Cooking Range,Internal Gains and MELs,Pratt 1989,https://elcap.nwcouncil.org/Documents/Electric%20Energy%20Use%20Single%20Family.pdf,NaN,"@techreport{Pratt1989, address = {Richland, WA, USA}, author = {Pratt, R. G. and Conner, C. C. and Richman, E. E. and Ritland, K. G. and Sandusky, W. F. and Taylor, M. E.}, file = {:Users/afontani/Documents/Projects/ResStock/Data Sources/1989 - Pratt RG - Description of Electric Energy Use Single Family Residences in the Pacific Northwest.pdf:pdf}, institution = {Pacific Northwest National Laboratory}, number = {DOE/BP-13795-21}, publisher = {Bonneville Power Administration}, title = {{Description of Electric Energy Use in Single-Family Residences in the Pacific Northwest}}, url = {https://elcap.nwcouncil.org/Documents/Electric Energy Use Single Family.pdf}, year = {1989} }"
Cooling Setpoint,"Hot Water, HVAC, and Ventilation",RECS-2009,https://www.eia.gov/consumption/residential/data/2009/,NaN,"@misc{U.S.EnergyInformationAdministration2009, address = {Washington, D.C., USA}, author = {{U.S. Energy Information Administration}}, title = {{Residential Energy Consumption Survey (RECS)}}, url = {https://www.eia.gov/consumption/residential/index.php}, year = {2009} }"
Days Shifted,Occupancy,No Data Source Needed,NaN,NaN,NaN
Dehumidifier,Internal Gains and MELs,Not Used,NaN,NaN,NaN
Dishwasher,Internal Gains and MELs,RECS-2009,https://www.eia.gov/consumption/residential/data/2009/,NaN,"@misc{U.S.EnergyInformationAdministration2009, address = {Washington, D.C., USA}, author = {{U.S. Energy Information Administration}}, title = {{Residential Energy Consumption Survey (RECS)}}, url = {https://www.eia.gov/consumption/residential/index.php}, year = {2009} }"
Dishwasher,Internal Gains and MELs,DHWESG,https://www.energy.gov/eere/buildings/downloads/building-america-dhw-event-schedule-generator,NaN,"@techreport{Weitzel2014, abstract = {A developing body of work is forming that collects data on domestic hot water consumption, water use behaviors, and energy efficiency of various distribution systems. A full distribution system developed in TRNSYS has been validated using field monitoring data and then exercised in a number of climates to understand climate impact on performance. This study builds upon previous analysis modelling work to evaluate differing distribution systems and the sensitivities of water heating energy and water use efficiency to variations of climate, load, distribution type, insulation and compact plumbing practices. Overall 124 different TRNSYS models were simulated. Of the configurations evaluated, distribution losses account for 13-29{\%} of the total water heating energy use and water use efficiency ranges from 11-22{\%}. The base case, an uninsulated trunk and branch system sees the most improvement in energy consumption by insulating and locating the water heater central to all fixtures. Demand recirculation systems are not projected to provide significant energy savings and in some cases increase energy consumption. Water use is most efficient with demand recirculation systems, followed by the insulated trunk and branch system with a central water heater. Compact plumbing practices and insulation have the most impact on energy consumption (2-6{\%} for insulation and 3-4{\%} per 10 gallons of enclosed volume reduced). The results of this work are useful in informing future development of water heating best practices guides as well as more accurate (and simulation time efficient) distribution models for annual whole house simulation programs.}, address = {Washington, D.C., USA}, author = {Weitzel, E and Hoeschele, M}, file = {:Users/afontani/Documents/Projects/ResStock/Data Sources/2014 - Weitzel E - Evaluating Domestic Hot Water Distribution System Options with Validated Analysis Models.pdf:pdf}, institution = {U.S. Department of Energy}, keywords = {ARBI,Building America,DHW,DOE/GO-102014-4515,HWSIM,NREL/SR-5500-62848,Residential Buildings,September 2014,TRNSYS,demand recirculation_,distribution systems,domestic hot water,hot water,hot water distribution systems,plumbing,residential,water heating}, number = {September}, title = {{Evaluating Domestic Hot Water Distribution System Options With Validated Analysis Models}}, url = {https://www.nrel.gov/docs/fy14osti/62848.pdf}, year = {2014} }"
Door Area,Construction,Expert Elicitation,NaN,NaN,NaN
Doors,Construction,Expert Elicitation,NaN,NaN,NaN
Ducts,"Hot Water, HVAC, and Ventilation",PNNL-2009,https://www.pnnl.gov/main/publications/external/technical_reports/PNNL-17979.pdf,NaN,"@techreport{Halverson2009, abstract = {This report is part of a series of reports on building energy efficiency codes in countries associated with the Asian Pacific Partnership (APP) - Australia, South Korea, Japan, China, India, and the United States of America (U.S.). This reports gives an overview of the development of building energy codes in U.S., including national energy policies related to building energy codes, history of building energy codes, recent national projects and activities to promote building energy codes. The report also provides a review of current building energy codes (such as building envelope, HVAC, lighting, and water heating) for commercial and residential buildings in the U.S.}, address = {Richland, WA, USA}, author = {Halverson, M.A. and Shui, B and Evans, M}, doi = {10.2172/978981}, file = {:Users/afontani/Documents/Projects/ResStock/Data Sources/2009 - Halverson MA - Country Report on Building Energy Codes in the United States.pdf:pdf}, institution = {Pacific Northwest National Laboratory},booktitle = {PNNL-17979}, title = {{Country Report on Building Energy Codes in the United States}}, url = {https://www.pnnl.gov/main/publications/external/technical{\_}reports/PNNL-17979.pdf}, year = {2009} }"
Ducts,"Hot Water, HVAC, and Ventilation",IECC,https://www.lightingdesignlab.com/sites/default/files/pdf/International%20Energy%20Conservation%20Code_IECC_2009.pdf,NaN,"@misc{InternationalCodeCouncilInc.2009, address = {Country Club Hills, IL, USA}, author = {{International Code Council Inc.}}, file = {:Users/afontani/Documents/Projects/ResStock/Data Sources/2009 - IECC - International Energy Conservation Code.pdf:pdf}, title = {{2009 International Energy Conservation Code}}, url = {https://www.lightingdesignlab.com/sites/default/files/pdf/International Energy Conservation Code{\_}IECC{\_}2009.pdf}, year = {2009} }"
Eaves,Construction,Expert Elicitation,NaN,NaN,NaN
Federal Poverty Level,Demographics and Income,2011-2015 ACS,https://www.census.gov/programs-surveys/acs/data/pums.html,NaN,"@misc{U.S.CensusBureau2015, address = {Washington, D.C., USA}, author = {{U.S. Census Bureau}}, title = {{2011-2015 ACS 5-year PUMS}}, url = {https://www.census.gov/programs-surveys/acs/data/pums.html}, year = {2015} }"
Federal Poverty Level,Demographics and Income,AHS-2013,https://www.census.gov/programs-surveys/ahs/data.2013.html,NaN,"@misc{U.S.CensusBureau2013, address = {Washington, D.C., USA}, author = {{U.S. Census Bureau}}, title = {{AHS 2013 Public Use File (PUF)}}, year = {2013}}"
Geometry Building Floors,Geometry,RECS-2009,https://www.eia.gov/consumption/residential/data/2009/,NaN,"@misc{U.S.EnergyInformationAdministration2009, address = {Washington, D.C., USA}, author = {{U.S. Energy Information Administration}}, title = {{Residential Energy Consumption Survey (RECS)}}, url = {https://www.eia.gov/consumption/residential/index.php}, year = {2009} }"
Geometry Building Number Units HL,Geometry,2011-2015 ACS,https://www.census.gov/programs-surveys/acs/data/pums.html,NaN,"@misc{U.S.CensusBureau2015, address = {Washington, D.C., USA}, author = {{U.S. Census Bureau}}, title = {{2011-2015 ACS 5-year PUMS}}, url = {https://www.census.gov/programs-surveys/acs/data/pums.html}, year = {2015} }"
Geometry Building Number Units MF,Geometry,2011-2015 ACS,https://www.census.gov/programs-surveys/acs/data/pums.html,NaN,"@misc{U.S.CensusBureau2015, address = {Washington, D.C., USA}, author = {{U.S. Census Bureau}}, title = {{2011-2015 ACS 5-year PUMS}}, url = {https://www.census.gov/programs-surveys/acs/data/pums.html}, year = {2015} }"
Geometry Building Number Units SFA,Geometry,2011-2015 ACS,https://www.census.gov/programs-surveys/acs/data/pums.html,NaN,"@misc{U.S.CensusBureau2015, address = {Washington, D.C., USA}, author = {{U.S. Census Bureau}}, title = {{2011-2015 ACS 5-year PUMS}}, url = {https://www.census.gov/programs-surveys/acs/data/pums.html}, year = {2015} }"
Geometry Building Type,Geometry,2011-2015 ACS,https://www.census.gov/programs-surveys/acs/data/pums.html,NaN,"@misc{U.S.CensusBureau2015, address = {Washington, D.C., USA}, author = {{U.S. Census Bureau}}, title = {{2011-2015 ACS 5-year PUMS}}, url = {https://www.census.gov/programs-surveys/acs/data/pums.html}, year = {2015} }"
Geometry Building Type FPL,Geometry,2011-2015 ACS,https://www.census.gov/programs-surveys/acs/data/pums.html,NaN,"@misc{U.S.CensusBureau2015, address = {Washington, D.C., USA}, author = {{U.S. Census Bureau}}, title = {{2011-2015 ACS 5-year PUMS}}, url = {https://www.census.gov/programs-surveys/acs/data/pums.html}, year = {2015} }"
Geometry Building Type RECS to ACS,Geometry,No Data Source Needed,NaN,NaN,NaN
Geometry Foundation Type,Geometry,ORNL Map,No longer exists,NaN,None
Geometry Garage,Geometry,RECS-2009,https://www.eia.gov/consumption/residential/data/2009/,NaN,"@misc{U.S.EnergyInformationAdministration2009, address = {Washington, D.C., USA}, author = {{U.S. Energy Information Administration}}, title = {{Residential Energy Consumption Survey (RECS)}}, url = {https://www.eia.gov/consumption/residential/index.php}, year = {2009} }"
Geometry House Size,Geometry,RECS-2009,https://www.eia.gov/consumption/residential/data/2009/,NaN,"@misc{U.S.EnergyInformationAdministration2009, address = {Washington, D.C., USA}, author = {{U.S. Energy Information Administration}}, title = {{Residential Energy Consumption Survey (RECS)}}, url = {https://www.eia.gov/consumption/residential/index.php}, year = {2009} }"
Geometry Is Multifamily Low Rise,Geometry,No Data Source Needed,NaN,NaN,NaN
Geometry Nearest Neighbor LeftRight,Geometry,OSM,https://www.openstreetmap.org/#map=4/38.01/-95.84,Data obtained by RadiantLabs. Data not for distribution (http://www.radiantlabs.co/).,"@misc{OpenStreetMapFoundation, author = {{OpenStreetMap Foundation}}, title = {{OpenStreetMaps}}, url = {https://www.openstreetmap.org/{\#}map=4/38.01/-95.84} }"
Geometry Number Units ACS bins,Geometry,2011-2015 ACS,https://www.census.gov/programs-surveys/acs/data/pums.html,NaN,"@misc{U.S.CensusBureau2015, address = {Washington, D.C., USA}, author = {{U.S. Census Bureau}}, title = {{2011-2015 ACS 5-year PUMS}}, url = {https://www.census.gov/programs-surveys/acs/data/pums.html}, year = {2015} }"
Geometry Perimeter Footprint Ratio,Geometry,OSM,https://www.openstreetmap.org/#map=4/38.01/-95.84,Data obtained by RadiantLabs. Data not for distribution (http://www.radiantlabs.co/).,"@misc{OpenStreetMapFoundation, author = {{OpenStreetMap Foundation}}, title = {{OpenStreetMaps}}, url = {https://www.openstreetmap.org/{\#}map=4/38.01/-95.84} }"
Geometry Shared Walls MF,Geometry,OSM,https://www.openstreetmap.org/#map=4/38.01/-95.84,Data obtained by RadiantLabs. Data not for distribution (http://www.radiantlabs.co/).,"@misc{OpenStreetMapFoundation, author = {{OpenStreetMap Foundation}}, title = {{OpenStreetMaps}}, url = {https://www.openstreetmap.org/{\#}map=4/38.01/-95.84} }"
Geometry Shared Walls SFA,Geometry,OSM,https://www.openstreetmap.org/#map=4/38.01/-95.84,Data obtained by RadiantLabs. Data not for distribution (http://www.radiantlabs.co/).,"@misc{OpenStreetMapFoundation, author = {{OpenStreetMap Foundation}}, title = {{OpenStreetMaps}}, url = {https://www.openstreetmap.org/{\#}map=4/38.01/-95.84} }"
Geometry Unit Stories MF,Geometry,RECS-2009,https://www.eia.gov/consumption/residential/data/2009/,NaN,"@misc{U.S.EnergyInformationAdministration2009, address = {Washington, D.C., USA}, author = {{U.S. Energy Information Administration}}, title = {{Residential Energy Consumption Survey (RECS)}}, url = {https://www.eia.gov/consumption/residential/index.php}, year = {2009} }"
Geometry Unit Stories SF,Geometry,RECS-2009,https://www.eia.gov/consumption/residential/data/2009/,NaN,"@misc{U.S.EnergyInformationAdministration2009, address = {Washington, D.C., USA}, author = {{U.S. Energy Information Administration}}, title = {{Residential Energy Consumption Survey (RECS)}}, url = {https://www.eia.gov/consumption/residential/index.php}, year = {2009} }"
HVAC System Shared,"Hot Water, HVAC, and Ventilation",RECS-2009,https://www.eia.gov/consumption/residential/data/2009/,NaN,"@misc{U.S.EnergyInformationAdministration2009, address = {Washington, D.C., USA}, author = {{U.S. Energy Information Administration}}, title = {{Residential Energy Consumption Survey (RECS)}}, url = {https://www.eia.gov/consumption/residential/index.php}, year = {2009} }"
HVAC System Heat Pump,"Hot Water, HVAC, and Ventilation",RECS-2009,https://www.eia.gov/consumption/residential/data/2009/,NaN,"@misc{U.S.EnergyInformationAdministration2009, address = {Washington, D.C., USA}, author = {{U.S. Energy Information Administration}}, title = {{Residential Energy Consumption Survey (RECS)}}, url = {https://www.eia.gov/consumption/residential/index.php}, year = {2009} }"
HVAC System Heat Pump,"Hot Water, HVAC, and Ventilation",Pinckard-2005,https://www.osti.gov/servlets/purl/842508,NaN,"@techreport{Pinckard2005, abstract = {The Home Energy Saver (HES, http://HomeEnergySaver.lbl.gov) is an interactive web site designed to help residential consumers make decisions about energy use in their homes. This report describes the underlying methods and data for estimating energy consumption. Using engineering models, the site estimates energy consumption for six major categories (end uses); heating, cooling, water heating, major appliances, lighting, and miscellaneous equipment. The approach taken by the Home Energy Saver is to provide users with initial results based on a minimum of user input, allowing progressively greater control in specifying the characteristics of the house and energy consuming appliances. Outputs include energy consumption (by fuel and end use), energy-related emissions (carbon dioxide), energy bills (total and by fuel and end use), and energy saving recommendations. Real-world electricity tariffs are used for many locations, making the bill estimates even more accurate. Where information about the house is not available from the user, default values are used based on end-use surveys and engineering studies. An extensive body of qualitative decision-support information augments the analytical results. ii}, address = {Berkeley, CA, USA}, author = {Pinckard, Margaret J. and Brown, Richard E. and Mills, Evan and Lutz, James D and Moezzi, Mithra M and Atkinson, Celina and Bolduc, Chris and Homan, Gregory K. and Coughlin, Katie}, booktitle = {LBNL-51938}, file = {:Users/afontani/Documents/Projects/ResStock/Data Sources/2005 - Pinckard MJ - Documentation of Calculation Methodology, Input Data, and Infrastructure for the Home Energy Saver Web Site.pdf:pdf}, institution = {Lawrence Berkeley National Laboratory}, keywords = {calculating residential,documentation residential energy efficiency,home energy saver technical}, title = {{Documentation of Calculation Methodology , Input Data , and Infrastructure for the Home Energy Saver Web Site}}, url = {https://www.osti.gov/servlets/purl/842508}, year = {2005} }"
HVAC System Cooling,"Hot Water, HVAC, and Ventilation",RECS-2009,https://www.eia.gov/consumption/residential/data/2009/,Why are there distributions for Only Heating Shared. In the HVAC system Is Shared.tsv-there is only a 1s in Neither Share.,"@misc{U.S.EnergyInformationAdministration2009, address = {Washington, D.C., USA}, author = {{U.S. Energy Information Administration}}, title = {{Residential Energy Consumption Survey (RECS)}}, url = {https://www.eia.gov/consumption/residential/index.php}, year = {2009} }"
