Dependency=Geometry Building Type RECS	Dependency=HVAC Cooling Type	Dependency=HVAC Heating Type	Dependency=Heating Fuel	Option=Cooling Only	Option=Heating and Cooling	Option=Heating Only	Option=None	sampling_probability
Multi-Family with 5+ Units	Heat Pump	Ducted Heat Pump	Electricity	0.25	0.25	0.25	0.25	0.0185185
Multi-Family with 5+ Units	None	Ducted Heat Pump	Electricity	0	0	0.5	0.5	0
Multi-Family with 5+ Units	Room AC	Ducted Heat Pump	Electricity	0	0	0.5	0.5	0
Multi-Family with 5+ Units	Central AC	Ducted Heating	Electricity	0.25	0.25	0.25	0.25	0.00617284
Multi-Family with 5+ Units	Heat Pump	Ducted Heating	Electricity	0.25	0.25	0.25	0.25	0
Multi-Family with 5+ Units	None	Ducted Heating	Electricity	0	0	0.5	0.5	0.00617284
Multi-Family with 5+ Units	Room AC	Ducted Heating	Electricity	0	0	0.5	0.5	0.00617284
Multi-Family with 5+ Units	Central AC	Non-Ducted Heat Pump	Electricity	0.25	0.25	0.25	0.25	0
Multi-Family with 5+ Units	Heat Pump	Non-Ducted Heat Pump	Electricity	0	0	0	1	0.0185185
Multi-Family with 5+ Units	None	Non-Ducted Heat Pump	Electricity	0	0	0.5	0.5	0
Multi-Family with 5+ Units	Room AC	Non-Ducted Heat Pump	Electricity	0	0	0.5	0.5	0
Multi-Family with 5+ Units	Central AC	Non-Ducted Heating	Electricity	0.25	0.25	0.25	0.25	0.00617284
Multi-Family with 5+ Units	Heat Pump	Non-Ducted Heating	Electricity	0.25	0.25	0.25	0.25	0
Multi-Family with 5+ Units	None	Non-Ducted Heating	Electricity	0	0	0.5	0.5	0.00617284
Multi-Family with 5+ Units	Room AC	Non-Ducted Heating	Electricity	0	0	0.5	0.5	0.00617284
Multi-Family with 5+ Units	Central AC	None	Electricity	0.5	0	0	0.5	0
Multi-Family with 5+ Units	Heat Pump	None	Electricity	0.5	0	0	0.5	0
Multi-Family with 5+ Units	None	None	Electricity	0	0	0	1	0
Multi-Family with 5+ Units	Room AC	None	Electricity	0	0	0	1	0
Single-Family Attached	Central AC	Ducted Heat Pump	Electricity	0.25	0.25	0.25	0.25	0
Single-Family Attached	Heat Pump	Ducted Heat Pump	Electricity	0.25	0.25	0.25	0.25	0.00462963
Single-Family Attached	None	Ducted Heat Pump	Electricity	0	0	0.5	0.5	0
Single-Family Attached	Room AC	Ducted Heat Pump	Electricity	0	0	0.5	0.5	0
Single-Family Attached	Central AC	Ducted Heating	Electricity	0.25	0.25	0.25	0.25	0.00154321
Single-Family Attached	Heat Pump	Ducted Heating	Electricity	0.25	0.25	0.25	0.25	0
Single-Family Attached	None	Ducted Heating	Electricity	0	0	0.5	0.5	0.00154321
Single-Family Attached	Room AC	Ducted Heating	Electricity	0	0	0.5	0.5	0.00154321
Single-Family Attached	Central AC	Non-Ducted Heat Pump	Electricity	0.25	0.25	0.25	0.25	0
Single-Family Attached	Heat Pump	Non-Ducted Heat Pump	Electricity	0	0	0	1	0.00462963
Single-Family Attached	None	Non-Ducted Heat Pump	Electricity	0	0	0.5	0.5	0
Single-Family Attached	Room AC	Non-Ducted Heat Pump	Electricity	0	0	0.5	0.5	0
Single-Family Attached	Central AC	Non-Ducted Heating	Electricity	0.25	0.25	0.25	0.25	0.00154321
Single-Family Attached	Heat Pump	Non-Ducted Heating	Electricity	0.25	0.25	0.25	0.25	0
Single-Family Attached	None	Non-Ducted Heating	Electricity	0	0	0.5	0.5	0.00154321
Single-Family Attached	Room AC	Non-Ducted Heating	Electricity	0	0	0.5	0.5	0.00154321
Single-Family Attached	Central AC	None	Electricity	0.5	0	0	0.5	0
Single-Family Attached	Heat Pump	None	Electricity	0.5	0	0	0.5	0
Single-Family Attached	None	None	Electricity	0	0	0	1	0
Single-Family Attached	Room AC	None	Electricity	0	0	0	1	0
Single-Family Detached	Central AC	Ducted Heat Pump	Electricity	0	0	0	1	0
Single-Family Detached	Heat Pump	Ducted Heat Pump	Electricity	0	0	0	1	0.00462963
Single-Family Detached	None	Ducted Heat Pump	Electricity	0	0	0	1	0
Single-Family Detached	Room AC	Ducted Heat Pump	Electricity	0	0	0	1	0
Single-Family Detached	Central AC	Ducted Heating	Electricity	0	0	0	1	0.00154321
Single-Family Detached	Heat Pump	Ducted Heating	Electricity	0	0	0	1	0
Single-Family Detached	None	Ducted Heating	Electricity	0	0	0	1	0.00154321
Single-Family Detached	Room AC	Ducted Heating	Electricity	0	0	0	1	0.00154321
Single-Family Detached	Central AC	Non-Ducted Heat Pump	Electricity	0	0	0	1	0
Single-Family Detached	Heat Pump	Non-Ducted Heat Pump	Electricity	0	0	0	1	0.00462963
Single-Family Detached	None	Non-Ducted Heat Pump	Electricity	0	0	0	1	0
Single-Family Detached	Room AC	Non-Ducted Heat Pump	Electricity	0	0	0	1	0
Single-Family Detached	Central AC	Non-Ducted Heating	Electricity	0	0	0	1	0.00154321
Single-Family Detached	Heat Pump	Non-Ducted Heating	Electricity	0	0	0	1	0
Single-Family Detached	None	Non-Ducted Heating	Electricity	0	0	0	1	0.00154321
Single-Family Detached	Room AC	Non-Ducted Heating	Electricity	0	0	0	1	0.00154321
Single-Family Detached	Central AC	None	Electricity	0	0	0	1	0
Single-Family Detached	Heat Pump	None	Electricity	0	0	0	1	0
Single-Family Detached	None	None	Electricity	0	0	0	1	0
Single-Family Detached	Room AC	None	Electricity	0	0	0	1	0
Mobile Home	Central AC	Ducted Heat Pump	Natural Gas	0	0	0	1	0
Mobile Home	Heat Pump	Ducted Heat Pump	Natural Gas	0	0	0	1	0
Mobile Home	None	Ducted Heat Pump	Natural Gas	0	0	0	1	0
Mobile Home	Room AC	Ducted Heat Pump	Natural Gas	0	0	0	1	0
Mobile Home	Central AC	Ducted Heating	Natural Gas	0	0	0	1	0.00308642
Mobile Home	Heat Pump	Ducted Heating	Natural Gas	0	0	0	1	0
Mobile Home	None	Ducted Heating	Natural Gas	0	0	0	1	0.00308642
Mobile Home	Room AC	Ducted Heating	Natural Gas	0	0	0	1	0.00308642
Mobile Home	Central AC	Non-Ducted Heat Pump	Natural Gas	0	0	0	1	0
Mobile Home	Heat Pump	Non-Ducted Heat Pump	Natural Gas	0	0	0	1	0
Mobile Home	None	Non-Ducted Heat Pump	Natural Gas	0	0	0	1	0
Mobile Home	Room AC	Non-Ducted Heat Pump	Natural Gas	0	0	0	1	0
Mobile Home	Central AC	Non-Ducted Heating	Natural Gas	0	0	0	1	0.00308642
Mobile Home	Heat Pump	Non-Ducted Heating	Natural Gas	0	0	0	1	0
Mobile Home	None	Non-Ducted Heating	Natural Gas	0	0	0	1	0.00308642
Mobile Home	Room AC	Non-Ducted Heating	Natural Gas	0	0	0	1	0.00308642
Mobile Home	Central AC	None	Natural Gas	0	0	0	1	0
Mobile Home	Heat Pump	None	Natural Gas	0	0	0	1	0
Mobile Home	None	None	Natural Gas	0	0	0	1	0
Mobile Home	Room AC	None	Natural Gas	0	0	0	1	0
Multi-Family with 2 - 4 Units	Central AC	Ducted Heat Pump	Natural Gas	0.25	0.25	0.25	0.25	0
Multi-Family with 2 - 4 Units	Heat Pump	Ducted Heat Pump	Natural Gas	0.25	0.25	0.25	0.25	0
Multi-Family with 2 - 4 Units	None	Ducted Heat Pump	Natural Gas	0	0	0.5	0.5	0
Multi-Family with 2 - 4 Units	Room AC	Ducted Heat Pump	Natural Gas	0	0	0.5	0.5	0
Multi-Family with 2 - 4 Units	Central AC	Ducted Heating	Natural Gas	0.25	0.25	0.25	0.25	0.00617284
Multi-Family with 2 - 4 Units	Heat Pump	Ducted Heating	Natural Gas	0.25	0.25	0.25	0.25	0
Multi-Family with 2 - 4 Units	None	Ducted Heating	Natural Gas	0	0	0.5	0.5	0.00617284
Multi-Family with 2 - 4 Units	Room AC	Ducted Heating	Natural Gas	0	0	0.5	0.5	0.00617284
Multi-Family with 2 - 4 Units	Central AC	Non-Ducted Heat Pump	Natural Gas	0.25	0.25	0.25	0.25	0
Multi-Family with 2 - 4 Units	Heat Pump	Non-Ducted Heat Pump	Natural Gas	0	0	0	1	0
Multi-Family with 2 - 4 Units	None	Non-Ducted Heat Pump	Natural Gas	0	0	0.5	0.5	0
Multi-Family with 2 - 4 Units	Room AC	Non-Ducted Heat Pump	Natural Gas	0	0	0.5	0.5	0
Multi-Family with 2 - 4 Units	Central AC	Non-Ducted Heating	Natural Gas	0.25	0.25	0.25	0.25	0.00617284
Multi-Family with 2 - 4 Units	Heat Pump	Non-Ducted Heating	Natural Gas	0.25	0.25	0.25	0.25	0
Multi-Family with 2 - 4 Units	None	Non-Ducted Heating	Natural Gas	0	0	0.5	0.5	0.00617284
Multi-Family with 2 - 4 Units	Room AC	Non-Ducted Heating	Natural Gas	0	0	0.5	0.5	0.00617284
Multi-Family with 2 - 4 Units	Central AC	None	Natural Gas	0.5	0	0	0.5	0
Multi-Family with 2 - 4 Units	Heat Pump	None	Natural Gas	0.5	0	0	0.5	0
Multi-Family with 2 - 4 Units	None	None	Natural Gas	0	0	0	1	0
Multi-Family with 2 - 4 Units	Room AC	None	Natural Gas	0	0	0	1	0
Multi-Family with 5+ Units	Central AC	Ducted Heat Pump	Natural Gas	0.25	0.25	0.25	0.25	0
Multi-Family with 5+ Units	Heat Pump	Ducted Heat Pump	Natural Gas	0.25	0.25	0.25	0.25	0
Multi-Family with 5+ Units	None	Ducted Heat Pump	Natural Gas	0	0	0.5	0.5	0
Multi-Family with 5+ Units	Room AC	Ducted Heat Pump	Natural Gas	0	0	0.5	0.5	0
Multi-Family with 5+ Units	Central AC	Ducted Heating	Natural Gas	0.25	0.25	0.25	0.25	0.0123457
Multi-Family with 5+ Units	Heat Pump	Ducted Heating	Natural Gas	0.25	0.25	0.25	0.25	0
Multi-Family with 5+ Units	None	Ducted Heating	Natural Gas	0	0	0.5	0.5	0.0123457
Multi-Family with 5+ Units	Room AC	Ducted Heating	Natural Gas	0	0	0.5	0.5	0.0123457
Multi-Family with 5+ Units	Central AC	Non-Ducted Heat Pump	Natural Gas	0.25	0.25	0.25	0.25	0
Multi-Family with 5+ Units	Heat Pump	Non-Ducted Heat Pump	Natural Gas	0	0	0	1	0
Multi-Family with 5+ Units	None	Non-Ducted Heat Pump	Natural Gas	0	0	0.5	0.5	0
Multi-Family with 5+ Units	Room AC	Non-Ducted Heat Pump	Natural Gas	0	0	0.5	0.5	0
Multi-Family with 5+ Units	Central AC	Non-Ducted Heating	Natural Gas	0.25	0.25	0.25	0.25	0.0123457
Multi-Family with 5+ Units	Heat Pump	Non-Ducted Heating	Natural Gas	0.25	0.25	0.25	0.25	0
Multi-Family with 5+ Units	None	Non-Ducted Heating	Natural Gas	0	0	0.5	0.5	0.0123457
Multi-Family with 5+ Units	Room AC	Non-Ducted Heating	Natural Gas	0	0	0.5	0.5	0.0123457
Multi-Family with 5+ Units	Central AC	None	Natural Gas	0.5	0	0	0.5	0
Multi-Family with 5+ Units	Heat Pump	None	Natural Gas	0.5	0	0	0.5	0
Multi-Family with 5+ Units	None	None	Natural Gas	0	0	0	1	0
Multi-Family with 5+ Units	Room AC	None	Natural Gas	0	0	0	1	0
Single-Family Attached	Central AC	Ducted Heat Pump	Natural Gas	0.25	0.25	0.25	0.25	0
Single-Family Attached	Heat Pump	Ducted Heat Pump	Natural Gas	0.25	0.25	0.25	0.25	0
Single-Family Attached	None	Ducted Heat Pump	Natural Gas	0	0	0.5	0.5	0
Single-Family Attached	Room AC	Ducted Heat Pump	Natural Gas	0	0	0.5	0.5	0
Single-Family Attached	Central AC	Ducted Heating	Natural Gas	0.25	0.25	0.25	0.25	0.00308642
Single-Family Attached	Heat Pump	Ducted Heating	Natural Gas	0.25	0.25	0.25	0.25	0
Single-Family Attached	None	Ducted Heating	Natural Gas	0	0	0.5	0.5	0.00308642
Single-Family Attached	Room AC	Ducted Heating	Natural Gas	0	0	0.5	0.5	0.00308642
Single-Family Attached	Central AC	Non-Ducted Heat Pump	Natural Gas	0.25	0.25	0.25	0.25	0
Single-Family Attached	Heat Pump	Non-Ducted Heat Pump	Natural Gas	0	0	0	1	0
Single-Family Attached	None	Non-Ducted Heat Pump	Natural Gas	0	0	0.5	0.5	0
Single-Family Attached	Room AC	Non-Ducted Heat Pump	Natural Gas	0	0	0.5	0.5	0
Single-Family Attached	Central AC	Non-Ducted Heating	Natural Gas	0.25	0.25	0.25	0.25	0.00308642
Single-Family Attached	Heat Pump	Non-Ducted Heating	Natural Gas	0.25	0.25	0.25	0.25	0
Single-Family Attached	None	Non-Ducted Heating	Natural Gas	0	0	0.5	0.5	0.00308642
Single-Family Attached	Room AC	Non-Ducted Heating	Natural Gas	0	0	0.5	0.5	0.00308642
Single-Family Attached	Central AC	None	Natural Gas	0.5	0	0	0.5	0
Single-Family Attached	Heat Pump	None	Natural Gas	0.5	0	0	0.5	0
Single-Family Attached	None	None	Natural Gas	0	0	0	1	0
Single-Family Attached	Room AC	None	Natural Gas	0	0	0	1	0
Single-Family Detached	Central AC	Ducted Heat Pump	Natural Gas	0	0	0	1	0
Single-Family Detached	Heat Pump	Ducted Heat Pump	Natural Gas	0	0	0	1	0
Single-Family Detached	None	Ducted Heat Pump	Natural Gas	0	0	0	1	0
Single-Family Detached	Room AC	Ducted Heat Pump	Natural Gas	0	0	0	1	0
Single-Family Detached	Central AC	Ducted Heating	Natural Gas	0	0	0	1	0.00308642
Single-Family Detached	Heat Pump	Ducted Heating	Natural Gas	0	0	0	1	0
Single-Family Detached	None	Ducted Heating	Natural Gas	0	0	0	1	0.00308642
Single-Family Detached	Room AC	Ducted Heating	Natural Gas	0	0	0	1	0.00308642
Single-Family Detached	Central AC	Non-Ducted Heat Pump	Natural Gas	0	0	0	1	0
Single-Family Detached	Heat Pump	Non-Ducted Heat Pump	Natural Gas	0	0	0	1	0
Single-Family Detached	None	Non-Ducted Heat Pump	Natural Gas	0	0	0	1	0
Single-Family Detached	Room AC	Non-Ducted Heat Pump	Natural Gas	0	0	0	1	0
Single-Family Detached	Central AC	Non-Ducted Heating	Natural Gas	0	0	0	1	0.00308642
Single-Family Detached	Heat Pump	Non-Ducted Heating	Natural Gas	0	0	0	1	0
Single-Family Detached	None	Non-Ducted Heating	Natural Gas	0	0	0	1	0.00308642
Single-Family Detached	Room AC	Non-Ducted Heating	Natural Gas	0	0	0	1	0.00308642
Single-Family Detached	Central AC	None	Natural Gas	0	0	0	1	0
Single-Family Detached	Heat Pump	None	Natural Gas	0	0	0	1	0
Single-Family Detached	None	None	Natural Gas	0	0	0	1	0
Single-Family Detached	Room AC	None	Natural Gas	0	0	0	1	0
Mobile Home	Central AC	Ducted Heat Pump	Fuel Oil	0	0	0	1	0
Mobile Home	Heat Pump	Ducted Heat Pump	Fuel Oil	0	0	0	1	0
Mobile Home	None	Ducted Heat Pump	Fuel Oil	0	0	0	1	0
Mobile Home	Room AC	Ducted Heat Pump	Fuel Oil	0	0	0	1	0
Mobile Home	Central AC	Ducted Heating	Fuel Oil	0	0	0	1	0.00308642
Mobile Home	Heat Pump	Ducted Heating	Fuel Oil	0	0	0	1	0
Mobile Home	None	Ducted Heating	Fuel Oil	0	0	0	1	0.00308642
Mobile Home	Room AC	Ducted Heating	Fuel Oil	0	0	0	1	0.00308642
Mobile Home	Central AC	Non-Ducted Heat Pump	Fuel Oil	0	0	0	1	0
Mobile Home	Heat Pump	Non-Ducted Heat Pump	Fuel Oil	0	0	0	1	0
Mobile Home	None	Non-Ducted Heat Pump	Fuel Oil	0	0	0	1	0
Mobile Home	Room AC	Non-Ducted Heat Pump	Fuel Oil	0	0	0	1	0
Mobile Home	Central AC	Non-Ducted Heating	Fuel Oil	0	0	0	1	0.00308642
Mobile Home	Heat Pump	Non-Ducted Heating	Fuel Oil	0	0	0	1	0
Mobile Home	None	Non-Ducted Heating	Fuel Oil	0	0	0	1	0.00308642
Mobile Home	Room AC	Non-Ducted Heating	Fuel Oil	0	0	0	1	0.00308642
Mobile Home	Central AC	None	Fuel Oil	0	0	0	1	0
Mobile Home	Heat Pump	None	Fuel Oil	0	0	0	1	0
Mobile Home	None	None	Fuel Oil	0	0	0	1	0
Mobile Home	Room AC	None	Fuel Oil	0	0	0	1	0
Multi-Family with 2 - 4 Units	Central AC	Ducted Heat Pump	Fuel Oil	0.25	0.25	0.25	0.25	0
Multi-Family with 2 - 4 Units	Heat Pump	Ducted Heat Pump	Fuel Oil	0.25	0.25	0.25	0.25	0
Multi-Family with 2 - 4 Units	None	Ducted Heat Pump	Fuel Oil	0	0	0.5	0.5	0
Multi-Family with 2 - 4 Units	Room AC	Ducted Heat Pump	Fuel Oil	0	0	0.5	0.5	0
Multi-Family with 2 - 4 Units	Central AC	Ducted Heating	Fuel Oil	0.25	0.25	0.25	0.25	0.00617284
Multi-Family with 2 - 4 Units	Heat Pump	Ducted Heating	Fuel Oil	0.25	0.25	0.25	0.25	0
Multi-Family with 2 - 4 Units	None	Ducted Heating	Fuel Oil	0	0	0.5	0.5	0.00617284
Multi-Family with 2 - 4 Units	Room AC	Ducted Heating	Fuel Oil	0	0	0.5	0.5	0.00617284
Multi-Family with 2 - 4 Units	Central AC	Non-Ducted Heat Pump	Fuel Oil	0.25	0.25	0.25	0.25	0
Multi-Family with 2 - 4 Units	Heat Pump	Non-Ducted Heat Pump	Fuel Oil	0	0	0	1	0
Multi-Family with 2 - 4 Units	None	Non-Ducted Heat Pump	Fuel Oil	0	0	0.5	0.5	0
Multi-Family with 2 - 4 Units	Room AC	Non-Ducted Heat Pump	Fuel Oil	0	0	0.5	0.5	0
Multi-Family with 2 - 4 Units	Central AC	Non-Ducted Heating	Fuel Oil	0.25	0.25	0.25	0.25	0.00617284
Multi-Family with 2 - 4 Units	Heat Pump	Non-Ducted Heating	Fuel Oil	0.25	0.25	0.25	0.25	0
Multi-Family with 2 - 4 Units	None	Non-Ducted Heating	Fuel Oil	0	0	0.5	0.5	0.00617284
Multi-Family with 2 - 4 Units	Room AC	Non-Ducted Heating	Fuel Oil	0	0	0.5	0.5	0.00617284
Multi-Family with 2 - 4 Units	Central AC	None	Fuel Oil	0.5	0	0	0.5	0
Multi-Family with 2 - 4 Units	Heat Pump	None	Fuel Oil	0.5	0	0	0.5	0
Multi-Family with 2 - 4 Units	None	None	Fuel Oil	0	0	0	1	0
Multi-Family with 2 - 4 Units	Room AC	None	Fuel Oil	0	0	0	1	0
Multi-Family with 5+ Units	Central AC	Ducted Heat Pump	Fuel Oil	0.25	0.25	0.25	0.25	0
Multi-Family with 5+ Units	Heat Pump	Ducted Heat Pump	Fuel Oil	0.25	0.25	0.25	0.25	0
Multi-Family with 5+ Units	None	Ducted Heat Pump	Fuel Oil	0	0	0.5	0.5	0
Multi-Family with 5+ Units	Room AC	Ducted Heat Pump	Fuel Oil	0	0	0.5	0.5	0
Multi-Family with 5+ Units	Central AC	Ducted Heating	Fuel Oil	0.25	0.25	0.25	0.25	0.0123457
Multi-Family with 5+ Units	Heat Pump	Ducted Heating	Fuel Oil	0.25	0.25	0.25	0.25	0
Multi-Family with 5+ Units	None	Ducted Heating	Fuel Oil	0	0	0.5	0.5	0.0123457
Multi-Family with 5+ Units	Room AC	Ducted Heating	Fuel Oil	0	0	0.5	0.5	0.0123457
Multi-Family with 5+ Units	Central AC	Non-Ducted Heat Pump	Fuel Oil	0.25	0.25	0.25	0.25	0
Multi-Family with 5+ Units	Heat Pump	Non-Ducted Heat Pump	Fuel Oil	0	0	0	1	0
Multi-Family with 5+ Units	None	Non-Ducted Heat Pump	Fuel Oil	0	0	0.5	0.5	0
Multi-Family with 5+ Units	Room AC	Non-Ducted Heat Pump	Fuel Oil	0	0	0.5	0.5	0
Multi-Family with 5+ Units	Central AC	Non-Ducted Heating	Fuel Oil	0.25	0.25	0.25	0.25	0.0123457
Multi-Family with 5+ Units	Heat Pump	Non-Ducted Heating	Fuel Oil	0.25	0.25	0.25	0.25	0
Multi-Family with 5+ Units	None	Non-Ducted Heating	Fuel Oil	0	0	0.5	0.5	0.0123457
Multi-Family with 5+ Units	Room AC	Non-Ducted Heating	Fuel Oil	0	0	0.5	0.5	0.0123457
Multi-Family with 5+ Units	Central AC	None	Fuel Oil	0.5	0	0	0.5	0
Multi-Family with 5+ Units	Heat Pump	None	Fuel Oil	0.5	0	0	0.5	0
Multi-Family with 5+ Units	None	None	Fuel Oil	0	0	0	1	0
Multi-Family with 5+ Units	Room AC	None	Fuel Oil	0	0	0	1	0
Single-Family Attached	Central AC	Ducted Heat Pump	Fuel Oil	0.25	0.25	0.25	0.25	0
Single-Family Attached	Heat Pump	Ducted Heat Pump	Fuel Oil	0.25	0.25	0.25	0.25	0
Single-Family Attached	None	Ducted Heat Pump	Fuel Oil	0	0	0.5	0.5	0
Single-Family Attached	Room AC	Ducted Heat Pump	Fuel Oil	0	0	0.5	0.5	0
Single-Family Attached	Central AC	Ducted Heating	Fuel Oil	0.25	0.25	0.25	0.25	0.00308642
Single-Family Attached	Heat Pump	Ducted Heating	Fuel Oil	0.25	0.25	0.25	0.25	0
Single-Family Attached	None	Ducted Heating	Fuel Oil	0	0	0.5	0.5	0.00308642
Single-Family Attached	Room AC	Ducted Heating	Fuel Oil	0	0	0.5	0.5	0.00308642
Single-Family Attached	Central AC	Non-Ducted Heat Pump	Fuel Oil	0.25	0.25	0.25	0.25	0
Single-Family Attached	Heat Pump	Non-Ducted Heat Pump	Fuel Oil	0	0	0	1	0
Single-Family Attached	None	Non-Ducted Heat Pump	Fuel Oil	0	0	0.5	0.5	0
Single-Family Attached	Room AC	Non-Ducted Heat Pump	Fuel Oil	0	0	0.5	0.5	0
Single-Family Attached	Central AC	Non-Ducted Heating	Fuel Oil	0.25	0.25	0.25	0.25	0.00308642
Single-Family Attached	Heat Pump	Non-Ducted Heating	Fuel Oil	0.25	0.25	0.25	0.25	0
Single-Family Attached	None	Non-Ducted Heating	Fuel Oil	0	0	0.5	0.5	0.00308642
Single-Family Attached	Room AC	Non-Ducted Heating	Fuel Oil	0	0	0.5	0.5	0.00308642
Single-Family Attached	Central AC	None	Fuel Oil	0.5	0	0	0.5	0
Single-Family Attached	Heat Pump	None	Fuel Oil	0.5	0	0	0.5	0
Single-Family Attached	None	None	Fuel Oil	0	0	0	1	0
Single-Family Attached	Room AC	None	Fuel Oil	0	0	0	1	0
Single-Family Detached	Central AC	Ducted Heat Pump	Fuel Oil	0	0	0	1	0
Single-Family Detached	Heat Pump	Ducted Heat Pump	Fuel Oil	0	0	0	1	0
Single-Family Detached	None	Ducted Heat Pump	Fuel Oil	0	0	0	1	0
Single-Family Detached	Room AC	Ducted Heat Pump	Fuel Oil	0	0	0	1	0
Single-Family Detached	Central AC	Ducted Heating	Fuel Oil	0	0	0	1	0.00308642
Single-Family Detached	Heat Pump	Ducted Heating	Fuel Oil	0	0	0	1	0
Single-Family Detached	None	Ducted Heating	Fuel Oil	0	0	0	1	0.00308642
Single-Family Detached	Room AC	Ducted Heating	Fuel Oil	0	0	0	1	0.00308642
Single-Family Detached	Central AC	Non-Ducted Heat Pump	Fuel Oil	0	0	0	1	0
Single-Family Detached	Heat Pump	Non-Ducted Heat Pump	Fuel Oil	0	0	0	1	0
Single-Family Detached	None	Non-Ducted Heat Pump	Fuel Oil	0	0	0	1	0
Single-Family Detached	Room AC	Non-Ducted Heat Pump	Fuel Oil	0	0	0	1	0
Single-Family Detached	Central AC	Non-Ducted Heating	Fuel Oil	0	0	0	1	0.00308642
Single-Family Detached	Heat Pump	Non-Ducted Heating	Fuel Oil	0	0	0	1	0
Single-Family Detached	None	Non-Ducted Heating	Fuel Oil	0	0	0	1	0.00308642
Single-Family Detached	Room AC	Non-Ducted Heating	Fuel Oil	0	0	0	1	0.00308642
Single-Family Detached	Central AC	None	Fuel Oil	0	0	0	1	0
Single-Family Detached	Heat Pump	None	Fuel Oil	0	0	0	1	0
Single-Family Detached	None	None	Fuel Oil	0	0	0	1	0
