Dependency=Geometry Building Type RECS	Dependency=Location Region	Dependency=Vintage ACS	Option=No	Option=Yes	sample_count	sample_weight
Multi-Family with 2 - 4 Units	CR04	1980-99	0.185289	0.814711	195.000000	130584.031250
Multi-Family with 2 - 4 Units	CR04	2000-09	0.051610	0.948390	46.000000	0.000000
Multi-Family with 2 - 4 Units	CR04	2010s	0.051610	0.948390	46.000000	0.000000
Multi-Family with 2 - 4 Units	CR04	<1940	0.662716	0.337284	18.000000	465459.531250
Multi-Family with 5+ Units	CR04	1940-59	0.731696	0.268304	207.000000	138704.609375
Multi-Family with 5+ Units	CR04	1960-79	0.687964	0.312036	54.000000	1048520.750000
Multi-Family with 5+ Units	CR04	1980-99	0.556854	0.443146	38.000000	773271.562500
Multi-Family with 5+ Units	CR04	2000-09	0.334161	0.665839	11.000000	113074.898438
Multi-Family with 5+ Units	CR04	2010s	0.334161	0.665839	11.000000	113074.898438
Multi-Family with 5+ Units	CR04	<1940	0.808557	0.191443	11.000000	214960.984375
Single-Family Attached	CR04	1940-59	0.093820	0.906180	99.000000	54100.320312
Single-Family Attached	CR04	1960-79	0.000000	1.000000	17.000000	253627.062500
Single-Family Attached	CR04	1980-99	0.000000	1.000000	16.000000	269834.750000
Single-Family Attached	CR04	2000-09	0.034943	0.965057	152.000000	25110.279297
Single-Family Attached	CR04	2010s	0.034943	0.965057	152.000000	25110.279297
Single-Family Attached	CR04	<1940	0.102232	0.897768	122.000000	62964.398438
Single-Family Detached	CR04	1940-59	0.000000	1.000000	180.000000	2836750.250000
Single-Family Detached	CR04	1960-79	0.000000	1.000000	158.000000	2524130.250000
Single-Family Detached	CR04	1980-99	0.000000	1.000000	127.000000	2085992.375000
Single-Family Detached	CR04	2000-09	0.000000	1.000000	61.000000	515416.406250
Single-Family Detached	CR04	2010s	0.000000	1.000000	61.000000	515416.406250
Single-Family Detached	CR04	<1940	0.000000	1.000000	140.000000	2225036.250000
Mobile Home	CR05	1940-59	0.000000	1.000000	13.000000	0.000000
Mobile Home	CR05	1960-79	0.000000	1.000000	182.000000	117754.218750
Mobile Home	CR05	1980-99	0.000000	1.000000	269.000000	52704.800781
Mobile Home	CR05	2000-09	0.000000	1.000000	67.000000	35505.914062
Mobile Home	CR05	2010s	0.000000	1.000000	67.000000	35505.914062
Mobile Home	CR05	<1940	0.000000	1.000000	2.000000	0.000000
Multi-Family with 2 - 4 Units	CR05	1940-59	0.328567	0.671433	174.000000	10781.889648
Multi-Family with 2 - 4 Units	CR05	1960-79	0.258539	0.741461	11.000000	78250.601562
Multi-Family with 2 - 4 Units	CR05	1980-99	0.185289	0.814711	195.000000	83325.890625
Multi-Family with 2 - 4 Units	CR05	2000-09	0.051610	0.948390	46.000000	4412.319824
Multi-Family with 2 - 4 Units	CR05	2010s	0.051610	0.948390	46.000000	4412.319824
Multi-Family with 2 - 4 Units	CR05	<1940	0.474963	0.525037	226.000000	9266.339844
Multi-Family with 5+ Units	CR05	1940-59	0.731696	0.268304	207.000000	19578.000000
Multi-Family with 5+ Units	CR05	1960-79	0.601702	0.398298	14.000000	92345.351562
Multi-Family with 5+ Units	CR05	1980-99	0.280238	0.719762	27.000000	226125.375000
Multi-Family with 5+ Units	CR05	2000-09	0.184708	0.815292	234.000000	19787.099609
Multi-Family with 5+ Units	CR05	2010s	0.184708	0.815292	234.000000	19787.099609
Multi-Family with 5+ Units	CR05	<1940	0.803274	0.196726	200.000000	0.000000
Single-Family Attached	CR05	1940-59	0.093820	0.906180	99.000000	23460.869141
Single-Family Attached	CR05	1960-79	0.069635	0.930365	209.000000	53431.421875
Single-Family Attached	CR05	1980-99	0.055652	0.944348	29.000000	137659.625000
Single-Family Attached	CR05	2000-09	0.000000	1.000000	11.000000	32969.414062
Single-Family Attached	CR05	2010s	0.000000	1.000000	11.000000	32969.414062
Single-Family Attached	CR05	<1940	0.102232	0.897768	122.000000	14774.160156
Single-Family Detached	CR05	1940-59	0.000000	1.000000	31.000000	381524.843750
Single-Family Detached	CR05	1960-79	0.000000	1.000000	101.000000	709735.625000
Single-Family Detached	CR05	1980-99	0.000000	1.000000	102.000000	1019291.375000
Single-Family Detached	CR05	2000-09	0.000000	1.000000	42.000000	195370.984375
Single-Family Detached	CR05	2010s	0.000000	1.000000	42.000000	195370.984375
Single-Family Detached	CR05	<1940	0.000000	1.000000	27.000000	314489.875000
Mobile Home	CR06	1940-59	0.000000	1.000000	2.000000	3493.416748
Mobile Home	CR06	1960-79	0.000000	1.000000	68.000000	99378.703125
Mobile Home	CR06	1980-99	0.000000	1.000000	124.000000	184391.109375
Mobile Home	CR06	2000-09	0.000000	1.000000	29.000000	34532.484375
Mobile Home	CR06	2010s	0.000000	1.000000	5.000000	13254.401367
Mobile Home	CR06	<1940	0.000000	1.000000	0.000000	0.000000
Multi-Family with 2 - 4 Units	CR06	<1940	0.905683	0.094317	2.000000	733.132935
Multi-Family with 2 - 4 Units	CR06	1940-59	0.000000	1.000000	1.000000	14922.666992
Multi-Family with 2 - 4 Units	CR06	1960-79	0.005682	0.994318	4.000000	13950.158203
Multi-Family with 2 - 4 Units	CR06	1980-99	0.072272	0.927728	4.000000	30125.097656
Multi-Family with 2 - 4 Units	CR06	2000-09	0.000000	1.000000	7.000000	21512.367188
Multi-Family with 2 - 4 Units	CR06	2010s	0.000000	1.000000	2.000000	5763.702148
Multi-Family with 5+ Units	CR06	<1940	0.764148	0.235852	8.000000	11535.709961
Multi-Family with 5+ Units	CR06	1940-59	0.603346	0.396654	9.000000	13097.958008
Multi-Family with 5+ Units	CR06	1960-79	0.316457	0.683543	113.000000	181825.531250
Multi-Family with 5+ Units	CR06	1980-99	0.299542	0.700458	100.000000	193121.078125
Multi-Family with 5+ Units	CR06	2000-09	0.385366	0.614634	35.000000	70302.882812
Multi-Family with 5+ Units	CR06	2010s	0.485917	0.514083	21.000000	28187.072266
Single-Family Attached	CR06	<1940	0.246334	0.753666	9.000000	40765.906250
Single-Family Attached	CR06	1940-59	0.397389	0.602611	9.000000	39793.929688
Single-Family Attached	CR06	1960-79	0.201041	0.798959	13.000000	50582.804688
Single-Family Attached	CR06	1980-99	0.001002	0.998998	15.000000	79443.906250
Single-Family Attached	CR06	2000-09	0.000000	1.000000	9.000000	67527.265625
Single-Family Attached	CR06	2010s	0.000000	1.000000	4.000000	9341.748047
Single-Family Detached	CR06	<1940	0.000000	1.000000	123.000000	471728.187500
Single-Family Detached	CR06	1940-59	0.000000	1.000000	152.000000	497338.843750
Single-Family Detached	CR06	1960-79	0.000000	1.000000	153.000000	745169.625000
Single-Family Detached	CR06	1980-99	0.000000	1.000000	161.000000	733019.187500
Single-Family Detached	CR06	2000-09	0.000000	1.000000	93.000000	397748.750000
Single-Family Detached	CR06	2010s	0.000000	1.000000	48.000000	193294.390625
Mobile Home	CR07	1940-59	0.000000	1.000000	13.000000	0.000000
Mobile Home	CR07	1960-79	0.000000	1.000000	15.000000	159915.703125
Mobile Home	CR07	1980-99	0.000000	1.000000	15.000000	250836.531250
Mobile Home	CR07	2000-09	0.000000	1.000000	67.000000	12295.964844
Mobile Home	CR07	2010s	0.000000	1.000000	67.000000	12295.964844
Mobile Home	CR07	<1940	0.000000	1.000000	2.000000	0.000000
Multi-Family with 2 - 4 Units	CR07	1940-59	0.570644	0.429356	50.000000	555289.937500
Multi-Family with 2 - 4 Units	CR07	1960-79	0.463228	0.536772	41.000000	514021.250000
Multi-Family with 2 - 4 Units	CR07	1980-99	0.407948	0.592052	16.000000	217331.062500
Multi-Family with 2 - 4 Units	CR07	2000-09	0.051610	0.948390	46.000000	28786.095703
Multi-Family with 2 - 4 Units	CR07	2010s	0.051610	0.948390	46.000000	28786.095703
Multi-Family with 2 - 4 Units	CR07	<1940	0.606050	0.393950	61.000000	768252.125000
Multi-Family with 5+ Units	CR07	1940-59	1.000000	0.000000	63.000000	619433.750000
Multi-Family with 5+ Units	CR07	1960-79	0.832981	0.167019	92.000000	1016427.187500
Multi-Family with 5+ Units	CR07	1980-99	0.602201	0.397799	47.000000	534960.750000
Multi-Family with 5+ Units	CR07	2000-09	0.442938	0.557062	26.000000	145282.296875
Multi-Family with 5+ Units	CR07	2010s	0.442938	0.557062	26.000000	145282.296875
Multi-Family with 5+ Units	CR07	<1940	0.910674	0.089326	88.000000	962886.187500
Single-Family Attached	CR07	1940-59	0.162470	0.837530	28.000000	252413.875000
Single-Family Attached	CR07	1960-79	0.165434	0.834566	29.000000	257294.781250
Single-Family Attached	CR07	1980-99	0.021273	0.978727	29.000000	271690.593750
Single-Family Attached	CR07	2000-09	0.161355	0.838645	11.000000	53332.503906
Single-Family Attached	CR07	2010s	0.161355	0.838645	11.000000	53332.503906
Single-Family Attached	CR07	<1940	0.123717	0.876283	57.000000	635294.250000
Single-Family Detached	CR07	1940-59	0.000000	1.000000	203.000000	2305894.500000
Single-Family Detached	CR07	1960-79	0.000000	1.000000	168.000000	2003307.875000
Single-Family Detached	CR07	1980-99	0.000000	1.000000	100.000000	1259711.250000
Single-Family Detached	CR07	2000-09	0.000000	1.000000	55.000000	384584.093750
Single-Family Detached	CR07	2010s	0.000000	1.000000	55.000000	384584.093750
Single-Family Detached	CR07	<1940	0.000000	1.000000	128.000000	1425826.750000
Mobile Home	CR08	1940-59	0.000000	1.000000	13.000000	0.000000
Mobile Home	CR08	1960-79	0.000000	1.000000	36.000000	446056.250000
Mobile Home	CR08	1980-99	0.000000	1.000000	48.000000	578530.875000
Mobile Home	CR08	2000-09	0.000000	1.000000	14.000000	116956.328125
Mobile Home	CR08	2010s	0.000000	1.000000	14.000000	116956.328125
Mobile Home	CR08	<1940	0.000000	1.000000	2.000000	0.000000
Multi-Family with 2 - 4 Units	CR08	1940-59	0.359327	0.640673	16.000000	123532.468750
Multi-Family with 2 - 4 Units	CR08	1960-79	0.099789	0.900211	33.000000	207453.218750
Multi-Family with 2 - 4 Units	CR08	1980-99	0.018250	0.981750	29.000000	223453.640625
Multi-Family with 2 - 4 Units	CR08	2000-09	0.051610	0.948390	46.000000	15053.540039
Multi-Family with 2 - 4 Units	CR08	2010s	0.051610	0.948390	46.000000	15053.540039
Multi-Family with 2 - 4 Units	CR08	<1940	0.474963	0.525037	226.000000	91466.203125
Multi-Family with 5+ Units	CR08	1940-59	0.723065	0.276935	25.000000	243751.687500
Multi-Family with 5+ Units	CR08	1960-79	0.602519	0.397481	64.000000	641055.250000
Multi-Family with 5+ Units	CR08	1980-99	0.092859	0.907141	74.000000	665914.125000
Multi-Family with 5+ Units	CR08	2000-09	0.131467	0.868533	51.000000	205922.015625
Multi-Family with 5+ Units	CR08	2010s	0.131467	0.868533	51.000000	205922.015625
Multi-Family with 5+ Units	CR08	<1940	0.854255	0.145745	11.000000	138034.734375
Single-Family Attached	CR08	1940-59	0.054341	0.945659	21.000000	187198.437500
Single-Family Attached	CR08	1960-79	0.060392	0.939608	24.000000	135442.109375
Single-Family Attached	CR08	1980-99	0.005983	0.994017	56.000000	445905.718750
Single-Family Attached	CR08	2000-09	0.000000	1.000000	42.000000	126735.226562
Single-Family Attached	CR08	2010s	0.000000	1.000000	42.000000	126735.226562
Single-Family Attached	CR08	<1940	0.000000	1.000000	17.000000	149940.968750
Single-Family Detached	CR08	1940-59	0.000000	1.000000	208.000000	1432811.125000
Single-Family Detached	CR08	1960-79	0.000000	1.000000	383.000000	2530044.000000
Single-Family Detached	CR08	1980-99	0.000000	1.000000	350.000000	2736762.500000
Single-Family Detached	CR08	2000-09	0.000000	1.000000	195.000000	680115.875000
Single-Family Detached	CR08	2010s	0.000000	1.000000	195.000000	680115.875000
Single-Family Detached	CR08	<1940	0.000000	1.000000	170.000000	1170643.625000
Mobile Home	CR09	1940-59	0.000000	1.000000	13.000000	65875.421875
Mobile Home	CR09	1960-79	0.000000	1.000000	47.000000	600035.625000
Mobile Home	CR09	1980-99	0.000000	1.000000	118.000000	1864042.125000
Mobile Home	CR09	2000-09	0.000000	1.000000	34.000000	214267.578125
Mobile Home	CR09	2010s	0.000000	1.000000	34.000000	214267.578125
Mobile Home	CR09	<1940	0.000000	1.000000	2.000000	0.000000
Multi-Family with 2 - 4 Units	CR09	1940-59	0.105272	0.894728	27.000000	273742.937500
Multi-Family with 2 - 4 Units	CR09	1960-79	0.122158	0.877842	56.000000	554448.937500
Multi-Family with 2 - 4 Units	CR09	1980-99	0.136805	0.863195	79.000000	687796.937500
Multi-Family with 2 - 4 Units	CR09	2000-09	0.044127	0.955873	19.000000	76903.101562
Multi-Family with 2 - 4 Units	CR09	2010s	0.044127	0.955873	19.000000	76903.101562
Multi-Family with 2 - 4 Units	CR09	<1940	0.474963	0.525037	226.000000	99536.539062
Multi-Family with 5+ Units	CR09	1940-59	0.170077	0.829923	32.000000	269656.750000
Multi-Family with 5+ Units	CR09	1960-79	0.349893	0.650107	166.000000	1551592.000000
Multi-Family with 5+ Units	CR09	1980-99	0.103640	0.896360	194.000000	1880855.375000
Multi-Family with 5+ Units	CR09	2000-09	0.070674	0.929326	76.000000	406031.312500
Multi-Family with 5+ Units	CR09	2010s	0.070674	0.929326	76.000000	406031.312500
Multi-Family with 5+ Units	CR09	<1940	0.803274	0.196726	200.000000	58816.519531
Single-Family Attached	CR09	1940-59	0.064469	0.935531	13.000000	100261.500000
Single-Family Attached	CR09	1960-79	0.015715	0.984285	42.000000	335158.500000
Single-Family Attached	CR09	1980-99	0.027370	0.972630	59.000000	408483.062500
Single-Family Attached	CR09	2000-09	0.040256	0.959744	35.000000	126521.507812
Single-Family Attached	CR09	2010s	0.040256	0.959744	35.000000	126521.507812
Single-Family Attached	CR09	<1940	0.102232	0.897768	122.000000	77729.500000
Single-Family Detached	CR09	1940-59	0.000000	1.000000	321.000000	3095845.500000
Single-Family Detached	CR09	1960-79	0.000000	1.000000	537.000000	5254570.500000
Single-Family Detached	CR09	1980-99	0.000000	1.000000	726.000000	7018674.500000
Single-Family Detached	CR09	2000-09	0.000000	1.000000	495.000000	2416109.750000
Single-Family Detached	CR09	2010s	0.000000	1.000000	495.000000	2416109.750000
Single-Family Detached	CR09	<1940	0.000000	1.000000	99.000000	1121686.750000
Mobile Home	CR10	1940-59	0.000000	1.000000	13.000000	15282.669922
Mobile Home	CR10	1960-79	0.000000	1.000000	13.000000	131983.640625
Mobile Home	CR10	1980-99	0.000000	1.000000	19.000000	211567.843750
Mobile Home	CR10	2000-09	0.000000	1.000000	67.000000	31253.984375
Mobile Home	CR10	2010s	0.000000	1.000000	67.000000	31253.984375
Mobile Home	CR10	<1940	0.000000	1.000000	2.000000	0.000000
Multi-Family with 2 - 4 Units	CR10	1940-59	0.328567	0.671433	174.000000	9844.419922
Multi-Family with 2 - 4 Units	CR10	1960-79	0.306414	0.693586	280.000000	54642.281250
Multi-Family with 2 - 4 Units	CR10	1980-99	0.185289	0.814711	195.000000	63731.289062
Multi-Family with 2 - 4 Units	CR10	2000-09	0.051610	0.948390	46.000000	5862.895020
Multi-Family with 2 - 4 Units	CR10	2010s	0.051610	0.948390	46.000000	5862.895020
Multi-Family with 2 - 4 Units	CR10	<1940	0.474963	0.525037	226.000000	0.000000
Multi-Family with 5+ Units	CR10	1940-59	0.731696	0.268304	207.000000	5403.899902
Multi-Family with 5+ Units	CR10	1960-79	0.458625	0.541375	14.000000	103034.820312
Multi-Family with 5+ Units	CR10	1980-99	0.058424	0.941576	17.000000	184989.296875
Multi-Family with 5+ Units	CR10	2000-09	0.048698	0.951302	20.000000	128536.671875
Multi-Family with 5+ Units	CR10	2010s	0.048698	0.951302	20.000000	128536.671875
Multi-Family with 5+ Units	CR10	<1940	0.803274	0.196726	200.000000	0.000000
Single-Family Attached	CR10	1940-59	0.093820	0.906180	99.000000	16785.250000
Single-Family Attached	CR10	1960-79	0.069635	0.930365	209.000000	54219.648438
Single-Family Attached	CR10	1980-99	0.023374	0.976626	305.000000	69075.820312
Single-Family Attached	CR10	2000-09	0.034943	0.965057	152.000000	17022.339844
Single-Family Attached	CR10	2010s	0.034943	0.965057	152.000000	17022.339844
Single-Family Attached	CR10	<1940	0.102232	0.897768	122.000000	0.000000
Single-Family Detached	CR10	1940-59	0.000000	1.000000	15.000000	180852.609375
Single-Family Detached	CR10	1960-79	0.000000	1.000000	60.000000	637762.687500
Single-Family Detached	CR10	1980-99	0.000000	1.000000	111.000000	1260484.750000
Single-Family Detached	CR10	2000-09	0.000000	1.000000	52.000000	276140.093750
Single-Family Detached	CR10	2010s	0.000000	1.000000	52.000000	276140.093750
Single-Family Detached	CR10	<1940	0.000000	1.000000	964.000000	67391.273438
Mobile Home	CR11	1940-59	0.000000	1.000000	13.000000	47299.558594
Mobile Home	CR11	1960-79	0.000000	1.000000	27.000000	217093.203125
Mobile Home	CR11	1980-99	0.000000	1.000000	269.000000	85712.960938
Mobile Home	CR11	2000-09	0.000000	1.000000	67.000000	15073.719727
Mobile Home	CR11	2010s	0.000000	1.000000	67.000000	15073.719727
Mobile Home	CR11	<1940	0.000000	1.000000	2.000000	13826.120117
Multi-Family with 2 - 4 Units	CR11	1940-59	0.135071	0.864929	31.000000	222766.484375
Multi-Family with 2 - 4 Units	CR11	1960-79	0.375344	0.624656	61.000000	451908.531250
Multi-Family with 2 - 4 Units	CR11	1980-99	0.293791	0.706209	27.000000	209245.937500
Multi-Family with 2 - 4 Units	CR11	2000-09	0.051610	0.948390	46.000000	20821.224609
Multi-Family with 2 - 4 Units	CR11	2010s	0.051610	0.948390	46.000000	20821.224609
Multi-Family with 2 - 4 Units	CR11	<1940	0.258730	0.741270	15.000000	108667.960938
Multi-Family with 5+ Units	CR11	1940-59	0.672821	0.327179	45.000000	408731.968750
Multi-Family with 5+ Units	CR11	1960-79	0.676946	0.323054	144.000000	1240043.750000
Multi-Family with 5+ Units	CR11	1980-99	0.491432	0.508568	96.000000	825369.500000
Multi-Family with 5+ Units	CR11	2000-09	0.199238	0.800762	21.000000	88150.195312
Multi-Family with 5+ Units	CR11	2010s	0.199238	0.800762	21.000000	88150.195312
Multi-Family with 5+ Units	CR11	<1940	0.679672	0.320328	24.000000	221222.125000
Single-Family Attached	CR11	1940-59	0.000000	1.000000	14.000000	84125.906250
Single-Family Attached	CR11	1960-79	0.097401	0.902599	54.000000	336819.093750
Single-Family Attached	CR11	1980-99	0.023663	0.976337	49.000000	260817.734375
Single-Family Attached	CR11	2000-09	0.000000	1.000000	14.000000	42300.781250
Single-Family Attached	CR11	2010s	0.000000	1.000000	14.000000	42300.781250
Single-Family Attached	CR11	<1940	0.000000	1.000000	13.000000	90334.726562
Single-Family Detached	CR11	1940-59	0.000000	1.000000	247.000000	1835841.375000
Single-Family Detached	CR11	1960-79	0.000000	1.000000	306.000000	2286197.500000
Single-Family Detached	CR11	1980-99	0.000000	1.000000	229.000000	1717957.000000
Single-Family Detached	CR11	2000-09	0.000000	1.000000	83.000000	307867.875000
Single-Family Detached	CR11	2010s	0.000000	1.000000	83.000000	307867.875000
Single-Family Detached	CR11	<1940	0.000000	1.000000	79.000000	602482.500000
# Created by: sources\recs\2009\tsv_maker.py
# Source: Constructed using U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.
# Assumption: Single-Family Detached and Mobile Homes have in unit water heaters.
# Assumption: If the sample counts are less than 10, then the Location Region dependency is collapsed.
