Dependency=Location EPW	Option=East North Central	Option=Middle Atlantic	Option=Mountain - Pacific	Option=New England	Option=South Atlantic - East South Central	Option=West North Central	Option=West South Central	Count	Weight
USA_CT_Bridgeport-Sikorsky.Mem.AP.725040_TMY3.epw	0	0	0	1	0	0	0	1	893251.2284
USA_CT_Hartford-Bradley.Intl.AP.725080_TMY3.epw	0	0	0	1	0	0	0	1	585406.4169
USA_DE_Wilmington-New.Castle.County.AP.724089_TMY3.epw	0	0	0	0	1	0	0	1	352069.654
USA_FL_Daytona.Beach.Intl.AP.722056_TMY3.epw	0	0	0	0	1	0	0	1	369001.3971
USA_FL_Jacksonville.Intl.AP.722060_TMY3.epw	0	0	0	0	1	0	0	1	514492.1206
USA_FL_Key.West.Intl.AP.722010_TMY3.epw	0	0	0	0	1	0	0	1	18727.45949
USA_FL_Miami.Intl.AP.722020_TMY3.epw	0	0	0	0	1	0	0	1	860658.589
USA_FL_Orlando.Intl.AP.722050_TMY3.epw	0	0	0	0	1	0	0	1	2084805.283
USA_FL_Tallahassee.Rgnl.AP.722140_TMY3.epw	0	0	0	0	1	0	0	1	335737.1369
USA_FL_West.Palm.Beach.Intl.AP.722030_TMY3.epw	0	0	0	0	1	0	0	1	658564.4061
USA_GA_Athens-Ben.Epps.AP.723110_TMY3.epw	0	0	0	0	1	0	0	1	306034.0417
USA_GA_Atlanta-Hartsfield-Jackson.Intl.AP.722190_TMY3.epw	0	0	0	0	1	0	0	1	1390666.445
USA_GA_Augusta-Bush-Field.722180_TMY3.epw	0	0	0	0	1	0	0	1	193874.9862
USA_GA_Columbus.Metro.AP.722255_TMY3.epw	0	0	0	0	1	0	0	1	211210.8585
USA_GA_Macon-Middle.Georgia.Rgnl.AP.722170_TMY3.epw	0	0	0	0	1	0	0	1	274704.1788
USA_GA_Savannah.Intl.AP.722070_TMY3.epw	0	0	0	0	1	0	0	1	224014.3857
USA_IA_Des.Moines.Intl.AP.725460_TMY3.epw	0	0	0	0	0	1	0	1	297862.2322
USA_IA_Mason.City.Muni.AP.725485_TMY3.epw	0	0	0	0	0	1	0	1	125887.2971
USA_IA_Sioux.City-Sioux.Gateway.AP.725570_TMY3.epw	0	0	0	0	0	1	0	1	87237.18264
USA_IA_Waterloo.Muni.AP.725480_TMY3.epw	0	0	0	0	0	1	0	1	217039.8696
USA_ID_Boise.Air.Terminal.726810_TMY3.epw	0	0	1	0	0	0	0	1	232676.1188
USA_ID_Pocatello.Muni.AP.725780_TMY3.epw	0	0	1	0	0	0	0	1	158617.5169
0884454_United_States_IL_Cook_17031_725300_41.97_-87.9_NSRDB_2.0.1_2012_AMY.epw	1	0	0	0	0	0	0	1	1860815.305
USA_IL_Moline-Quad.City.Intl.AP.725440_TMY3.epw	1	0	0	0	0	0	0	1	299990.1868
USA_IL_Peoria-Greater.Peoria.AP.725320_TMY3.epw	1	0	0	0	0	0	0	1	322250.9688
0857218_United_States_IL_Winnebago_17201_725430_42.21_-89.1_NSRDB_2.0.1_2012_AMY.epw	1	0	0	0	0	0	0	1	274972.7007
USA_IL_Springfield-Capital.AP.724390_TMY3.epw	1	0	0	0	0	0	0	1	264179.267
USA_IN_Evansville.Rgnl.AP.724320_TMY3.epw	1	0	0	0	0	0	0	1	456379.2426
USA_IN_Fort.Wayne.Intl.AP.725330_TMY3.epw	1	0	0	0	0	0	0	1	371367.3989
USA_IN_Indianapolis.Intl.AP.724380_TMY3.epw	1	0	0	0	0	0	0	1	880923.4938
USA_IN_South.Bend-Michiana.Rgnl.AP.725350_TMY3.epw	1	0	0	0	0	0	0	1	419643.5077
USA_KS_Dodge.City.Rgnl.AP.724510_TMY3.epw	0	0	0	0	0	1	0	1	97168.28614
USA_KS_Goodland-Renner.Field.724650_TMY3.epw	0	0	0	0	0	1	0	1	31419.45167
USA_KS_Topeka-Phillip.Billard.Muni.AP.724560_TMY3.epw	0	0	0	0	0	1	0	1	209634.7182
USA_KS_Wichita-Mid.Continent.AP.724500_TMY3.epw	0	0	0	0	0	1	0	1	324111.2696
USA_KY_Cincinnati-Northern.Kentucky.AP.724210_TMY3.epw	0	0	0	0	1	0	0	1	620089.0889
USA_KY_Lexington-Bluegrass.AP.724220_TMY3.epw	0	0	0	0	1	0	0	1	348942.9771
USA_KY_Louisville-Standiford.Field.724230_TMY3.epw	0	0	0	0	1	0	0	1	508454.1044
USA_LA_Baton.Rouge-Ryan.AP.722317_TMY3.epw	0	0	0	0	0	0	1	1	460424.8654
USA_LA_Lake.Charles.Rgnl.AP.722400_TMY3.epw	0	0	0	0	0	0	1	1	144712.2317
USA_LA_New.Orleans.Intl.AP.722310_TMY3.epw	0	0	0	0	0	0	1	1	484500.5556
USA_LA_Shreveport.Rgnl.AP.722480_TMY3.epw	0	0	0	0	0	0	1	1	448546.9252
USA_MA_Boston-Logan.Intl.AP.725090_TMY3.epw	0	0	0	1	0	0	0	1	806019.0429
USA_MA_Worcester.Rgnl.AP.725095_TMY3.epw	0	0	0	1	0	0	0	1	277317.2793
USA_MD_Baltimore-Washington.Intl.AP.724060_TMY3.epw	0	0	0	0	1	0	0	1	846772.4121
USA_ME_Caribou.Muni.AP.727120_TMY3.epw	0	0	0	1	0	0	0	1	53957.79688
USA_ME_Portland.Intl.Jetport.726060_TMY3.epw	0	0	0	1	0	0	0	1	453119.5532
USA_MI_Alpena.County.Rgnl.AP.726390_TMY3.epw	1	0	0	0	0	0	0	1	74098.01613
USA_MI_Detroit.Metro.AP.725370_TMY3.epw	1	0	0	0	0	0	0	1	1189574.829
USA_MI_Flint-Bishop.Intl.AP.726370_TMY3.epw	1	0	0	0	0	0	0	1	569447.1854
USA_MI_Grand.Rapids-Kent.County.Intl.AP.726350_TMY3.epw	1	0	0	0	0	0	0	1	362176.4183
USA_MI_Houghton-Lake.Roscommon.County.AP.726380_TMY3.epw	1	0	0	0	0	0	0	1	169292.7262
USA_MI_Lansing-Capital.City.AP.725390_TMY3.epw	1	0	0	0	0	0	0	1	267194.4044
USA_MI_Muskegon.County.AP.726360_TMY3.epw	1	0	0	0	0	0	0	1	159033.9171
USA_MI_Sault.Ste.Marie-Sanderson.Field.727340_TMY3.epw	1	0	0	0	0	0	0	1	45672.23472
USA_MI_Traverse.City-Cherry.Capital.AP.726387_TMY3.epw	1	0	0	0	0	0	0	1	146452.1473
USA_MN_Duluth.Intl.AP.727450_TMY3.epw	0	0	0	0	0	1	0	1	243592.9581
USA_MN_International.Falls.Intl.AP.727470_TMY3.epw	0	0	0	0	0	1	0	1	41846.60803
USA_MN_Minneapolis-St.Paul.Intl.AP.726580_TMY3.epw	0	0	0	0	0	1	0	1	829437.7645
USA_MN_Rochester.Intl.AP.726440_TMY3.epw	0	0	0	0	0	1	0	1	102039.1271
USA_MN_St.Cloud.Muni.AP.726550_TMY3.epw	0	0	0	0	0	1	0	1	320425.2785
USA_MO_Columbia.Rgnl.AP.724450_TMY3.epw	0	0	0	0	0	1	0	1	307275.8569
USA_MO_Kansas.City.Intl.AP.724460_TMY3.epw	0	0	0	0	0	1	0	1	692695.0803
USA_MO_Springfield.Rgnl.AP.724400_TMY3.epw	0	0	0	0	0	1	0	1	494294.6114
USA_MO_St.Louis-Lambert.Intl.AP.724340_TMY3.epw	0	0	0	0	0	1	0	1	1003408.896
USA_MS_Jackson.Intl.AP.722350_TMY3.epw	0	0	0	0	1	0	0	1	306498.7766
USA_MS_Meridian-Key.Field.722340_TMY3.epw	0	0	0	0	1	0	0	1	176717.8025
USA_MT_Billings-Logan.Intl.AP.726770_TMY3.epw	0	0	1	0	0	0	0	1	64912.91355
USA_MT_Cut.Bank.Muni.AP.727796_TMY3.epw	0	0	1	0	0	0	0	1	8802.94463
USA_MT_Glasgow.Intl.AP.727680_TMY3.epw	0	0	1	0	0	0	0	1	16996.95171
USA_MT_Great.Falls.Intl.AP.727750_TMY3.epw	0	0	1	0	0	0	0	1	29380.49625
USA_MT_Helena.Rgnl.AP.727720_TMY3.epw	0	0	1	0	0	0	0	1	80992.32645
USA_MT_Kalispell-Glacier.Park.Intl.AP.727790_TMY3.epw	0	0	1	0	0	0	0	1	50934.25286
USA_MT_Lewistown.Muni.AP.726776_TMY3.epw	0	0	1	0	0	0	0	1	16766.59604
USA_MT_Miles.City.Muni.AP.742300_TMY3.epw	0	0	1	0	0	0	0	1	17099.17308
USA_MT_Missoula.Intl.AP.727730_TMY3.epw	0	0	1	0	0	0	0	1	67035.65212
USA_NC_Asheville.Rgnl.AP.723150_TMY3.epw	0	0	0	0	1	0	0	1	259619.9785
USA_NC_Cape.Hatteras.723040_TMY3.epw	0	0	0	0	1	0	0	1	69686.93553
USA_NC_Charlotte-Douglas.Intl.AP.723140_TMY3.epw	0	0	0	0	1	0	0	1	787994.2254
USA_NC_Greensboro-Piedmont.Triad.Intl.AP.723170_TMY3.epw	0	0	0	0	1	0	0	1	531877.2298
USA_NC_Raleigh-Durham.Intl.AP.723060_TMY3.epw	0	0	0	0	1	0	0	1	766799.4378
USA_NC_Wilmington.Intl.AP.723013_TMY3.epw	0	0	0	0	1	0	0	1	469424.6378
USA_ND_Bismarck.Muni.AP.727640_TMY3.epw	0	0	0	0	0	1	0	1	64118.25272
USA_ND_Fargo-Hector.Intl.AP.727530_TMY3.epw	0	0	0	0	0	1	0	1	168366.5708
USA_ND_Minot.Intl.AP.727676_TMY3.epw	0	0	0	0	0	1	0	1	57640.73171
USA_NE_Grand.Island-Central.Nebraska.Rgnl.AP.725520_TMY3.epw	0	0	0	0	0	1	0	1	109183.2031
USA_NE_Norfolk-Karl.Stefan.Mem.AP.725560_TMY3.epw	0	0	0	0	0	1	0	1	62690.87531
USA_NE_North.Platte.Rgnl.AP.725620_TMY3.epw	0	0	0	0	0	1	0	1	49981.98776
USA_NE_Omaha-Eppley.Airfield.725500_TMY3.epw	0	0	0	0	0	1	0	1	423023.3019
USA_NE_Scottsbluff-W.B.Heilig.Field.725660_TMY3.epw	0	0	0	0	0	1	0	1	47772.56126
USA_NH_Concord.Muni.AP.726050_TMY3.epw	0	0	0	1	0	0	0	1	356240.6775
USA_NJ_Atlantic.City.Intl.AP.724070_TMY3.epw	0	1	0	0	0	0	0	1	366014.9361
USA_NJ_Newark.Intl.AP.725020_TMY3.epw	0	1	0	0	0	0	0	1	1229388.866
USA_NM_Albuquerque.Intl.AP.723650_TMY3.epw	0	0	1	0	0	0	0	1	375043.5133
USA_NM_Tucumcari.AP.723676_TMY3.epw	0	0	1	0	0	0	0	1	53069.30268
USA_NV_Elko.Muni.AP.725825_TMY3.epw	0	0	1	0	0	0	0	1	13016.26133
USA_NV_Ely-Yelland.Field.724860_TMY3.epw	0	0	1	0	0	0	0	1	4685.906734
USA_NV_Las.Vegas-McCarran.Intl.AP.723860_TMY3.epw	0	0	1	0	0	0	0	1	549231.1242
USA_NV_Reno-Tahoe.Intl.AP.724880_TMY3.epw	0	0	1	0	0	0	0	1	246022.816
USA_NV_Tonopah.AP.724855_TMY3.epw	0	0	1	0	0	0	0	1	5000.644106
USA_NV_Winnemucca.Muni.AP.725830_TMY3.epw	0	0	1	0	0	0	0	1	7443.905789
USA_NY_Albany.County.AP.725180_TMY3.epw	0	1	0	0	0	0	0	1	469523.4005
USA_NY_Binghamton-Edwin.A.Link.Field.725150_TMY3.epw	0	1	0	0	0	0	0	1	247246.076
USA_NY_Buffalo-Greater.Buffalo.Intl.AP.725280_TMY3.epw	0	1	0	0	0	0	0	1	345289.4955
USA_NY_Massena.AP.726223_TMY3.epw	0	1	0	0	0	0	0	1	59114.35906
USA_NY_New.York-J.F.Kennedy.Intl.AP.744860_TMY3.epw	0	1	0	0	0	0	0	1	916871.3885
USA_NY_Rochester-Greater.Rochester.Intl.AP.725290_TMY3.epw	0	1	0	0	0	0	0	1	321048.8934
USA_NY_Syracuse-Hancock.Intl.AP.725190_TMY3.epw	0	1	0	0	0	0	0	1	349999.532
USA_OH_Akron.Canton.Rgnl.AP.725210_TMY3.epw	1	0	0	0	0	0	0	1	403628.4883
USA_OH_Cleveland-Hopkins.Intl.AP.725240_TMY3.epw	1	0	0	0	0	0	0	1	650015.2974
USA_OH_Columbus-Port.Columbus.Intl.AP.724280_TMY3.epw	1	0	0	0	0	0	0	1	627299.4322
USA_OH_Dayton.Intl.AP.724290_TMY3.epw	1	0	0	0	0	0	0	1	535940.5134
USA_OH_Mansfield-Lahm.Muni.AP.725246_TMY3.epw	1	0	0	0	0	0	0	1	144940.9981
USA_OH_Toledo.Express.AP.725360_TMY3.epw	1	0	0	0	0	0	0	1	371242.6554
USA_OH_Youngstown.Rgnl.AP.725250_TMY3.epw	1	0	0	0	0	0	0	1	304419.1497
USA_OK_Oklahoma.City-Will.Rogers.World.AP.723530_TMY3.epw	0	0	0	0	0	0	1	1	542263.4683
USA_OK_Tulsa.Intl.AP.723560_TMY3.epw	0	0	0	0	0	0	1	1	456096.9957
USA_OR_Astoria.Rgnl.AP.727910_TMY3.epw	0	0	1	0	0	0	0	1	46220.58648
USA_OR_Burns.Muni.AP.726830_TMY3.epw	0	0	1	0	0	0	0	1	11073.09508
USA_OR_Eugene-Mahlon.Sweet.AP.726930_TMY3.epw	0	0	1	0	0	0	0	1	117621.8756
USA_OR_Medford-Rogue.Valley.Intl.AP.725970_TMY3.epw	0	0	1	0	0	0	0	1	142166.1733
USA_OR_North.Bend.Muni.AP.726917_TMY3.epw	0	0	1	0	0	0	0	1	48864.70216
USA_OR_Pendleton-Eastern.Oregon.Rgnl.AP.726880_TMY3.epw	0	0	1	0	0	0	0	1	119778.6809
USA_OR_Portland.Intl.AP.726980_TMY3.epw	0	0	1	0	0	0	0	1	573386.0547
USA_OR_Redmond-Roberts.Field.726835_TMY3.epw	0	0	1	0	0	0	0	1	75720.84349
USA_OR_Salem-McNary.Field.726940_TMY3.epw	0	0	1	0	0	0	0	1	191075.3015
USA_PA_Allentown-Lehigh.Valley.Intl.AP.725170_TMY3.epw	0	1	0	0	0	0	0	1	499803.005
USA_PA_Bradford.Rgnl.AP.725266_TMY3.epw	0	1	0	0	0	0	0	1	203953.1378
USA_PA_Erie.Intl.AP.725260_TMY3.epw	0	1	0	0	0	0	0	1	139704.0188
USA_PA_Harrisburg-Capital.City.AP.725118_TMY3.epw	0	1	0	0	0	0	0	1	518731.173
USA_PA_Philadelphia.Intl.AP.724080_TMY3.epw	0	1	0	0	0	0	0	1	801426.7853
USA_PA_Pittsburgh.Intl.AP.725200_TMY3.epw	0	1	0	0	0	0	0	1	1036217.896
USA_PA_Wilkes-Barre-Scranton.Intl.AP.725130_TMY3.epw	0	1	0	0	0	0	0	1	343052.0002
USA_PA_Williamsport.Rgnl.AP.725140_TMY3.epw	0	1	0	0	0	0	0	1	186648.2508
USA_RI_Providence-T.F.Green.State.AP.725070_TMY3.epw	0	0	0	1	0	0	0	1	575250.1772
USA_SC_Charleston.Intl.AP.722080_TMY3.epw	0	0	0	0	1	0	0	1	263397.5357
USA_SC_Columbia.Metro.AP.723100_TMY3.epw	0	0	0	0	1	0	0	1	363811.1583
USA_SC_Greer.Greenville-Spartanburg.AP.723120_TMY3.epw	0	0	0	0	1	0	0	1	393414.6332
USA_SD_Huron.Rgnl.AP.726540_TMY3.epw	0	0	0	0	0	1	0	1	62269.12787
USA_SD_Pierre.Muni.AP.726686_TMY3.epw	0	0	0	0	0	1	0	1	26729.38695
USA_SD_Rapid.City.Rgnl.AP.726620_TMY3.epw	0	0	0	0	0	1	0	1	61759.74043
USA_SD_Sioux.Falls-Foss.Field.726510_TMY3.epw	0	0	0	0	0	1	0	1	163385.3807
USA_TN_Bristol-TriCities.Rgnl.AP.723183_TMY3.epw	0	0	0	0	1	0	0	1	408471.2714
USA_TN_Chattanooga-Lovell.Field.AP.723240_TMY3.epw	0	0	0	0	1	0	0	1	415274.3364
USA_TN_Knoxville-McGhee.Tyson.AP.723260_TMY3.epw	0	0	0	0	1	0	0	1	459999.7134
USA_TN_Memphis.Intl.AP.723340_TMY3.epw	0	0	0	0	1	0	0	1	818576.8519
USA_TN_Nashville.Intl.AP.723270_TMY3.epw	0	0	0	0	1	0	0	1	760956.3692
USA_TX_Abilene.Rgnl.AP.722660_TMY3.epw	0	0	0	0	0	0	1	1	113013.7122
USA_TX_Amarillo.Intl.AP.723630_TMY3.epw	0	0	0	0	0	0	1	1	125267.4403
USA_TX_Austin-Mueller.Muni.AP.722540_TMY3.epw	0	0	0	0	0	0	1	1	508473.4861
USA_TX_Brownsville-South.Padre.Island.AP.722500_TMY3.epw	0	0	0	0	0	0	1	1	279077.6803
USA_TX_Corpus.Christi.Intl.AP.722510_TMY3.epw	0	0	0	0	0	0	1	1	212669.2596
USA_TX_Dallas-Fort.Worth.Intl.AP.722590_TMY3.epw	0	0	0	0	0	0	1	1	1806793.846
USA_TX_El.Paso.Intl.AP.722700_TMY3.epw	0	0	0	0	0	0	1	1	284017.5233
USA_TX_Houston-Bush.Intercontinental.AP.722430_TMY3.epw	0	0	0	0	0	0	1	1	1502914.283
USA_TX_Lubbock.Intl.AP.722670_TMY3.epw	0	0	0	0	0	0	1	1	142723.5607
USA_TX_Lufkin-Angelina.Co.AP.722446_TMY3.epw	0	0	0	0	0	0	1	1	186817.7503
USA_TX_Midland.Intl.AP.722650_TMY3.epw	0	0	0	0	0	0	1	1	125229.6238
USA_TX_Port.Arthur-Jefferson.Co.AP.722410_TMY3.epw	0	0	0	0	0	0	1	1	132471.4559
USA_TX_San.Angelo-Mathis.AP.722630_TMY3.epw	0	0	0	0	0	0	1	1	58048.44732
USA_TX_San.Antonio.Intl.AP.722530_TMY3.epw	0	0	0	0	0	0	1	1	657582.0332
USA_TX_Victoria.Rgnl.AP.722550_TMY3.epw	0	0	0	0	0	0	1	1	92849.54673
USA_TX_Waco.Rgnl.AP.722560_TMY3.epw	0	0	0	0	0	0	1	1	229241.7041
USA_TX_Wichita.Falls.Muni.AP.723510_TMY3.epw	0	0	0	0	0	0	1	1	178950.1285
USA_UT_Cedar.City.Muni.AP.724755_TMY3.epw	0	0	1	0	0	0	0	1	82674.6939
USA_UT_Salt.Lake.City.Intl.AP.725720_TMY3.epw	0	0	1	0	0	0	0	1	572052.0118
USA_VA_Lynchburg.Rgnl.AP-Preston.Glen.Field.724100_TMY3.epw	0	0	0	0	1	0	0	1	175216.0472
USA_VA_Norfolk.Intl.AP.723080_TMY3.epw	0	0	0	0	1	0	0	1	524404.3441
USA_VA_Richmond.Intl.AP.724010_TMY3.epw	0	0	0	0	1	0	0	1	498772.1017
USA_VA_Roanoke.Rgnl.AP-Woodrum.Field.724110_TMY3.epw	0	0	0	0	1	0	0	1	259466.5792
USA_VA_Sterling-Washington.Dulles.Intl.AP.724030_TMY3.epw	0	0	0	0	1	0	0	1	908427.592
USA_VT_Burlington.Intl.AP.726170_TMY3.epw	0	0	0	1	0	0	0	1	221994.1297
USA_WA_Olympia.AP.727920_TMY3.epw	0	0	1	0	0	0	0	1	172974.9437
USA_WA_Quillayute.State.AP.727970_TMY3.epw	0	0	1	0	0	0	0	1	58820.2324
USA_WA_Seattle-Tacoma.Intl.AP.727930_TMY3.epw	0	0	1	0	0	0	0	1	1031090.477
USA_WA_Spokane.Intl.AP.727850_TMY3.epw	0	0	1	0	0	0	0	1	279041.0428
USA_WA_Yakima.Air.Terminal-McAllister.Field.727810_TMY3.epw	0	0	1	0	0	0	0	1	145975.3257
USA_WI_Eau.Claire.County.AP.726435_TMY3.epw	1	0	0	0	0	0	0	1	237565.0202
USA_WI_Green.Bay-Austin.Straubel.Intl.AP.726450_TMY3.epw	1	0	0	0	0	0	0	1	467914.3982
USA_WI_La.Crosse.Muni.AP.726430_TMY3.epw	1	0	0	0	0	0	0	1	119552.1209
USA_WI_Madison-Dane.County.Rgnl.AP.726410_TMY3.epw	1	0	0	0	0	0	0	1	335722.8231
USA_WI_Milwaukee-Mitchell.Intl.AP.726400_TMY3.epw	1	0	0	0	0	0	0	1	546151.2625
USA_WV_Charleston-Yeager.AP.724140_TMY3.epw	0	0	0	0	1	0	0	1	259811.8724
USA_WV_Elkins-Randolph.County.AP.724170_TMY3.epw	0	0	0	0	1	0	0	1	230456.4984
USA_WV_Huntington-Tri.State.Walker.Long.Field.724250_TMY3.epw	0	0	0	0	1	0	0	1	237633.1428
USA_WY_Casper-Natrona.County.Intl.AP.725690_TMY3.epw	0	0	1	0	0	0	0	1	30419.29373
USA_WY_Cheyenne.Muni.AP.725640_TMY3.epw	0	0	1	0	0	0	0	1	46830.27501
USA_WY_Green.River-Greater.Green.River.Intergalactic.Spaceport.725744_TMY3.epw	0	0	1	0	0	0	0	1	32872.37183
USA_WY_Lander-Hunt.Field.725760_TMY3.epw	0	0	1	0	0	0	0	1	30551.874
USA_WY_Sheridan.County.AP.726660_TMY3.epw	0	0	1	0	0	0	0	1	33041.08773
