Dependency=Clothes Washer Presence	Dependency=Geometry Building Type RECS	Dependency=Heating Fuel	Dependency=Usage Level	Option=Electric, 100% Usage	Option=Electric, 120% Usage	Option=Electric, 80% Usage	Option=Gas, 100% Usage	Option=Gas, 120% Usage	Option=Gas, 80% Usage	Option=None	Option=Propane, 100% Usage	Option=Propane, 120% Usage	Option=Propane, 80% Usage	sample_count	sample_weight	resstock_probability
None	Multi-Family with 2 - 4 Units	Electricity	Medium	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	5.0	9505.082031	0.007492796052217616
None	Multi-Family with 2 - 4 Units	Fuel Oil	Medium	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	4.575026688221902e-05
None	Multi-Family with 2 - 4 Units	Natural Gas	Medium	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	27.75	53804.60938	0.046060403364362894
None	Multi-Family with 2 - 4 Units	None	Medium	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0003936780581933102
None	Multi-Family with 2 - 4 Units	Other Fuel	Medium	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.000223169854537095
None	Multi-Family with 2 - 4 Units	Propane	Medium	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
None	Multi-Family with 5+ Units	Electricity	Medium	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	34.0	57771.05078	0.03232099285405798
None	Multi-Family with 5+ Units	Fuel Oil	Medium	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.5	1038.30896	0.0001615783134286123
None	Multi-Family with 5+ Units	Natural Gas	Medium	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	45.75	82853.39063	0.07030340493347183
None	Multi-Family with 5+ Units	None	Medium	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0017707163430740766
None	Multi-Family with 5+ Units	Other Fuel	Medium	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.75	1100.310425	0.0025731468768399476
None	Multi-Family with 5+ Units	Propane	Medium	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.75	1122.987061	0.0016231477367174491
None	Single-Family Attached	Electricity	Medium	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.5	283.092194	0.00018747640434024448
None	Single-Family Attached	Fuel Oil	Medium	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.43817755463414e-05
None	Single-Family Attached	Natural Gas	Medium	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.25	2532.882324	0.0009876610108780766
None	Single-Family Attached	None	Medium	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.00011564616980298779
None	Single-Family Attached	Other Fuel	Medium	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	4.8249545535731096e-05
None	Single-Family Attached	Propane	Medium	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
None	Single-Family Detached	Electricity	Medium	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.75	1420.570557	0.0005421629525961627
None	Single-Family Detached	Fuel Oil	Medium	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
None	Single-Family Detached	Natural Gas	Medium	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	5.25	8087.323242	0.0035423946163826428
None	Single-Family Detached	None	Medium	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0003566494594102897
None	Single-Family Detached	Other Fuel	Medium	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
None	Single-Family Detached	Propane	Medium	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
None	Mobile Home	Electricity	Low	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
None	Mobile Home	Fuel Oil	Low	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	6.111064207070985e-05
None	Mobile Home	Natural Gas	Low	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
None	Mobile Home	None	Low	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	6.518993024464363e-05
None	Mobile Home	Other Fuel	Low	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	7.45539803186395e-05
None	Mobile Home	Propane	Low	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
None	Multi-Family with 2 - 4 Units	Electricity	Low	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	5.0	9505.082031	0.003746398026108808
None	Multi-Family with 2 - 4 Units	Fuel Oil	Low	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.287513344110951e-05
None	Multi-Family with 2 - 4 Units	Natural Gas	Low	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	27.75	53804.60938	0.023030201682181447
None	Multi-Family with 2 - 4 Units	None	Low	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0001968390290966551
None	Multi-Family with 2 - 4 Units	Other Fuel	Low	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0001115849272685475
None	Multi-Family with 2 - 4 Units	Propane	Low	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
None	Multi-Family with 5+ Units	Electricity	Low	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	34.0	57771.05078	0.01616049642702899
None	Multi-Family with 5+ Units	Fuel Oil	Low	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.5	1038.30896	8.078915671430615e-05
None	Multi-Family with 5+ Units	Natural Gas	Low	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	45.75	82853.39063	0.035151702466735914
None	Multi-Family with 5+ Units	None	Low	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0008853581715370383
None	Multi-Family with 5+ Units	Other Fuel	Low	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.75	1100.310425	0.0012865734384199738
None	Multi-Family with 5+ Units	Propane	Low	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.75	1122.987061	0.0008115738683587246
None	Single-Family Attached	Electricity	Low	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.5	283.092194	9.373820217012224e-05
None	Single-Family Attached	Fuel Oil	Low	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.21908877731707e-05
None	Single-Family Attached	Natural Gas	Low	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.25	2532.882324	0.0004938305054390383
None	Single-Family Attached	None	Low	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	5.7823084901493894e-05
None	Single-Family Attached	Other Fuel	Low	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.4124772767865548e-05
None	Single-Family Attached	Propane	Low	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
None	Single-Family Detached	Electricity	Low	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.75	1420.570557	0.0002710814762980813
None	Single-Family Detached	Fuel Oil	Low	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
None	Single-Family Detached	Natural Gas	Low	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	5.25	8087.323242	0.0017711973081913214
None	Single-Family Detached	None	Low	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.00017832472970514486
None	Single-Family Detached	Other Fuel	Low	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
None	Single-Family Detached	Propane	Low	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
None	Mobile Home	Electricity	High	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
None	Mobile Home	Fuel Oil	High	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	6.111064207070985e-05
None	Mobile Home	Natural Gas	High	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
None	Mobile Home	None	High	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	6.518993024464363e-05
None	Mobile Home	Other Fuel	High	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	7.45539803186395e-05
None	Mobile Home	Propane	High	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
None	Multi-Family with 2 - 4 Units	Electricity	High	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	5.0	9505.082031	0.003746398026108808
None	Multi-Family with 2 - 4 Units	Fuel Oil	High	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.287513344110951e-05
None	Multi-Family with 2 - 4 Units	Natural Gas	High	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	27.75	53804.60938	0.023030201682181447
None	Multi-Family with 2 - 4 Units	None	High	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0001968390290966551
None	Multi-Family with 2 - 4 Units	Other Fuel	High	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0001115849272685475
None	Multi-Family with 2 - 4 Units	Propane	High	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
None	Multi-Family with 5+ Units	Electricity	High	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	34.0	57771.05078	0.01616049642702899
None	Multi-Family with 5+ Units	Fuel Oil	High	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.5	1038.30896	8.078915671430615e-05
None	Multi-Family with 5+ Units	Natural Gas	High	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	45.75	82853.39063	0.035151702466735914
None	Multi-Family with 5+ Units	None	High	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0008853581715370383
None	Multi-Family with 5+ Units	Other Fuel	High	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.75	1100.310425	0.0012865734384199738
None	Multi-Family with 5+ Units	Propane	High	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.75	1122.987061	0.0008115738683587246
None	Single-Family Attached	Electricity	High	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.5	283.092194	9.373820217012224e-05
None	Single-Family Attached	Fuel Oil	High	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.21908877731707e-05
None	Single-Family Attached	Natural Gas	High	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.25	2532.882324	0.0004938305054390383
None	Single-Family Attached	None	High	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	5.7823084901493894e-05
None	Single-Family Attached	Other Fuel	High	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.4124772767865548e-05
None	Single-Family Attached	Propane	High	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
None	Single-Family Detached	Electricity	High	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.75	1420.570557	0.0002710814762980813
None	Single-Family Detached	Fuel Oil	High	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
None	Single-Family Detached	Natural Gas	High	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	5.25	8087.323242	0.0017711973081913214
None	Single-Family Detached	None	High	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.00017832472970514486
None	Single-Family Detached	Other Fuel	High	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
None	Single-Family Detached	Propane	High	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Yes	Mobile Home	Electricity	Average	0.6988770000000001	0.0	0.0	0.30112300000000003	0.0	0.0	0.0	0.0	0.0	0.0	0.75	1060.9584960000002	0.0
Yes	Mobile Home	Fuel Oil	Average	0.25	0.0	0.0	0.25	0.0	0.0	0.25	0.25	0.0	0.0	0.0	0.0	0.0
Yes	Mobile Home	Natural Gas	Average	0.473782	0.0	0.0	0.5262180000000001	0.0	0.0	0.0	0.0	0.0	0.0	3.75	6299.519043	0.0
Yes	Mobile Home	None	Average	0.25	0.0	0.0	0.25	0.0	0.0	0.25	0.25	0.0	0.0	0.0	0.0	0.0
Yes	Mobile Home	Other Fuel	Average	0.25	0.0	0.0	0.25	0.0	0.0	0.25	0.25	0.0	0.0	0.0	0.0	0.0
Yes	Mobile Home	Propane	Average	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.25	364.400543	0.0
Yes	Multi-Family with 2 - 4 Units	Electricity	Average	0.877508	0.0	0.0	0.122492	0.0	0.0	0.0	0.0	0.0	0.0	2.25	3476.740723	0.0
Yes	Multi-Family with 2 - 4 Units	Fuel Oil	Average	0.25	0.0	0.0	0.25	0.0	0.0	0.25	0.25	0.0	0.0	0.0	0.0	0.0
Yes	Multi-Family with 2 - 4 Units	Natural Gas	Average	0.320674	0.0	0.0	0.632391	0.0	0.0	0.046936	0.0	0.0	0.0	22.5	43699.71484	0.0
Yes	Multi-Family with 2 - 4 Units	None	Average	0.25	0.0	0.0	0.25	0.0	0.0	0.25	0.25	0.0	0.0	0.0	0.0	0.0
Yes	Multi-Family with 2 - 4 Units	Other Fuel	Average	0.25	0.0	0.0	0.25	0.0	0.0	0.25	0.25	0.0	0.0	0.0	0.0	0.0
Yes	Multi-Family with 2 - 4 Units	Propane	Average	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.25	430.115814	0.0
Yes	Multi-Family with 5+ Units	Electricity	Average	0.797443	0.0	0.0	0.177729	0.0	0.0	0.024828	0.0	0.0	0.0	11.75	20365.38867	0.0
Yes	Multi-Family with 5+ Units	Fuel Oil	Average	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	869.950684	0.0
Yes	Multi-Family with 5+ Units	Natural Gas	Average	0.46709	0.0	0.0	0.493458	0.0	0.0	0.039452	0.0	0.0	0.0	26.0	47664.92969	0.0
Yes	Multi-Family with 5+ Units	None	Average	0.25	0.0	0.0	0.25	0.0	0.0	0.25	0.25	0.0	0.0	0.0	0.0	0.0
Yes	Multi-Family with 5+ Units	Other Fuel	Average	0.25	0.0	0.0	0.25	0.0	0.0	0.25	0.25	0.0	0.0	0.0	0.0	0.0
Yes	Multi-Family with 5+ Units	Propane	Average	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	382.560242	0.0
Yes	Single-Family Attached	Electricity	Average	0.574647	0.0	0.0	0.425353	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3275.917236	0.0
Yes	Single-Family Attached	Fuel Oil	Average	0.25	0.0	0.0	0.25	0.0	0.0	0.25	0.25	0.0	0.0	0.0	0.0	0.0
Yes	Single-Family Attached	Natural Gas	Average	0.258119	0.0	0.0	0.741881	0.0	0.0	0.0	0.0	0.0	0.0	35.0	59656.98438	0.0
Yes	Single-Family Attached	None	Average	0.25	0.0	0.0	0.25	0.0	0.0	0.25	0.25	0.0	0.0	0.0	0.0	0.0
Yes	Single-Family Attached	Other Fuel	Average	0.25	0.0	0.0	0.25	0.0	0.0	0.25	0.25	0.0	0.0	0.0	0.0	0.0
Yes	Single-Family Attached	Propane	Average	0.638018	0.0	0.0	0.0	0.0	0.0	0.0	0.361982	0.0	0.0	0.75	1056.039429	0.0
Yes	Single-Family Detached	Electricity	Average	0.516011	0.0	0.0	0.458416	0.0	0.0	0.025573	0.0	0.0	0.0	13.5	22438.11133	0.0
Yes	Single-Family Detached	Fuel Oil	Average	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	382.560242	0.0
Yes	Single-Family Detached	Natural Gas	Average	0.201995	0.0	0.0	0.793463	0.0	0.0	0.004542	0.0	0.0	0.0	252.75	440613.4688	0.0
Yes	Single-Family Detached	None	Average	0.25	0.0	0.0	0.25	0.0	0.0	0.25	0.25	0.0	0.0	0.0	0.0	0.0
Yes	Single-Family Detached	Other Fuel	Average	0.290065	0.0	0.0	0.709935	0.0	0.0	0.0	0.0	0.0	0.0	0.75	989.812805	0.0
Yes	Single-Family Detached	Propane	Average	0.616189	0.0	0.0	0.0	0.0	0.0	0.042247	0.341564	0.0	0.0	5.75	9087.264648	0.0
Yes	Mobile Home	Electricity	Medium	0.6988770000000001	0.0	0.0	0.30112300000000003	0.0	0.0	0.0	0.0	0.0	0.0	0.75	1060.9584960000002	0.0006323347823612407
Yes	Mobile Home	Fuel Oil	Medium	0.25	0.0	0.0	0.25	0.0	0.0	0.25	0.25	0.0	0.0	0.0	0.0	0.0001222212841414197
Yes	Mobile Home	Natural Gas	Medium	0.473782	0.0	0.0	0.5262180000000001	0.0	0.0	0.0	0.0	0.0	0.0	3.75	6299.519043	0.0018209510269240337
Yes	Mobile Home	None	Medium	0.25	0.0	0.0	0.25	0.0	0.0	0.25	0.25	0.0	0.0	0.0	0.0	0.00013037986048928727
Yes	Mobile Home	Other Fuel	Medium	0.25	0.0	0.0	0.25	0.0	0.0	0.25	0.25	0.0	0.0	0.0	0.0	0.000149107960637279
Yes	Mobile Home	Propane	Medium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.25	364.400543	0.0003249778668717839
Yes	Multi-Family with 2 - 4 Units	Electricity	Medium	0.877508	0.0	0.0	0.122492	0.0	0.0	0.0	0.0	0.0	0.0	2.25	3476.740723	0.0027406917762757897
Yes	Multi-Family with 2 - 4 Units	Fuel Oil	Medium	0.25	0.0	0.0	0.25	0.0	0.0	0.25	0.25	0.0	0.0	0.0	0.0	4.575026688221902e-05
Yes	Multi-Family with 2 - 4 Units	Natural Gas	Medium	0.320674	0.0	0.0	0.632391	0.0	0.0	0.046936	0.0	0.0	0.0	22.5	43699.71484	0.03740987735203797
Yes	Multi-Family with 2 - 4 Units	None	Medium	0.25	0.0	0.0	0.25	0.0	0.0	0.25	0.25	0.0	0.0	0.0	0.0	0.0003936780581933102
Yes	Multi-Family with 2 - 4 Units	Other Fuel	Medium	0.25	0.0	0.0	0.25	0.0	0.0	0.25	0.25	0.0	0.0	0.0	0.0	0.000223169854537095
Yes	Multi-Family with 2 - 4 Units	Propane	Medium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.25	430.115814	0.0013711414959168965
Yes	Multi-Family with 5+ Units	Electricity	Medium	0.797443	0.0	0.0	0.177729	0.0	0.0	0.024828	0.0	0.0	0.0	11.75	20365.38867	0.011393772807179195
Yes	Multi-Family with 5+ Units	Fuel Oil	Medium	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	869.950684	0.00013537896094015358
Yes	Multi-Family with 5+ Units	Natural Gas	Medium	0.46709	0.0	0.0	0.493458	0.0	0.0	0.039452	0.0	0.0	0.0	26.0	47664.92969	0.040444976743161436
Yes	Multi-Family with 5+ Units	None	Medium	0.25	0.0	0.0	0.25	0.0	0.0	0.25	0.25	0.0	0.0	0.0	0.0	0.0017707163430740766
Yes	Multi-Family with 5+ Units	Other Fuel	Medium	0.25	0.0	0.0	0.25	0.0	0.0	0.25	0.25	0.0	0.0	0.0	0.0	0.0
Yes	Multi-Family with 5+ Units	Propane	Medium	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	382.560242	0.0005529452204047511
Yes	Single-Family Attached	Electricity	Medium	0.574647	0.0	0.0	0.425353	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3275.917236	0.002169472180561373
Yes	Single-Family Attached	Fuel Oil	Medium	0.25	0.0	0.0	0.25	0.0	0.0	0.25	0.25	0.0	0.0	0.0	0.0	2.43817755463414e-05
Yes	Single-Family Attached	Natural Gas	Medium	0.258119	0.0	0.0	0.741881	0.0	0.0	0.0	0.0	0.0	0.0	35.0	59656.98438	0.023262511128143638
Yes	Single-Family Attached	None	Medium	0.25	0.0	0.0	0.25	0.0	0.0	0.25	0.25	0.0	0.0	0.0	0.0	0.00011564616980298779
