Dependency=Vintage	Dependency=Geometry Foundation Type	Dependency=Geometry Building Type RECS	Option=Uninsulated	Option=Wall R-5	Option=Wall R-10	Option=Wall R-15	Option=None	resstock_probability
2000s	Crawl	Multi-Family with 2 - 4 Units	0.0	0.0	0.0	0.0	1.0	0.001172778851219851
<1940	Crawl	Multi-Family with 5+ Units	0.0	0.0	0.0	0.0	1.0	0.007412017023026976
1950s	Crawl	Multi-Family with 5+ Units	0.0	0.0	0.0	0.0	1.0	0.004123839281392703
1960s	Crawl	Multi-Family with 5+ Units	0.0	0.0	0.0	0.0	1.0	0.0034068644835931754
1970s	Crawl	Multi-Family with 5+ Units	0.0	0.0	0.0	0.0	1.0	0.0032514923187126473
1980s	Crawl	Multi-Family with 5+ Units	0.0	0.0	0.0	0.0	1.0	0.0018629377409017233
1990s	Crawl	Multi-Family with 5+ Units	0.0	0.0	0.0	0.0	1.0	0.0017331596452027664
2000s	Crawl	Multi-Family with 5+ Units	0.0	0.0	0.0	0.0	1.0	0.0019836337249395613
1940s	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.002574404181860285
1940s	Crawl	Single-Family Attached	0.0	0.0	0.0	0.0	1.0	0.00033456325890839674
1940s	Crawl	Mobile Home	0.0	0.0	0.0	0.0	1.0	4.3968591101561087e-05
1940s	Crawl	Multi-Family with 2 - 4 Units	0.0	0.0	0.0	0.0	1.0	0.0011834050396890687
1940s	Crawl	Multi-Family with 5+ Units	0.0	0.0	0.0	0.0	1.0	0.0020016068200317686
2010s	Crawl	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.00040202317102231696
2010s	Crawl	Single-Family Attached	0.0	0.0	0.0	0.0	1.0	5.2245946150041505e-05
2010s	Crawl	Mobile Home	0.0	0.0	0.0	0.0	1.0	6.866207157595633e-06
2010s	Crawl	Multi-Family with 2 - 4 Units	0.0	0.0	0.0	0.0	1.0	0.00018480246808634572
2010s	Crawl	Multi-Family with 5+ Units	0.0	0.0	0.0	0.0	1.0	0.000312574197400344
<1940	Heated Basement	Single-Family Detached	1.0	0.0	0.0	0.0	0.0	0.07030664803390603
1950s	Heated Basement	Single-Family Detached	1.0	0.0	0.0	0.0	0.0	0.03911665556143955
1960s	Heated Basement	Single-Family Detached	1.0	0.0	0.0	0.0	0.0	0.03231579493180674
1970s	Heated Basement	Single-Family Detached	1.0	0.0	0.0	0.0	0.0	0.030842013088539975
1980s	Heated Basement	Single-Family Detached	0.37	0.26	0.37	0.0	0.0	0.01767088602896491
1990s	Heated Basement	Single-Family Detached	0.12	0.37	0.44	0.07	0.0	0.016439876592738482
2000s	Heated Basement	Single-Family Detached	0.13	0.24	0.53	0.1	0.0	0.01881574714335409
<1940	Heated Basement	Single-Family Attached	1.0	0.0	0.0	0.0	0.0	0.009136879692353526
1950s	Heated Basement	Single-Family Attached	1.0	0.0	0.0	0.0	0.0	0.005083504701571651
1960s	Heated Basement	Single-Family Attached	1.0	0.0	0.0	0.0	0.0	0.00419968151962374
1970s	Heated Basement	Single-Family Attached	1.0	0.0	0.0	0.0	0.0	0.004008152442768741
1980s	Heated Basement	Single-Family Attached	0.37	0.26	0.37	0.0	0.0	0.002296465045895505
1990s	Heated Basement	Single-Family Attached	0.12	0.37	0.44	0.07	0.0	0.002136486076146747
2000s	Heated Basement	Single-Family Attached	0.13	0.24	0.53	0.1	0.0	0.002445248390844379
<1940	Heated Basement	Mobile Home	1.0	0.0	0.0	0.0	0.0	0.0
1950s	Heated Basement	Mobile Home	1.0	0.0	0.0	0.0	0.0	0.0
1960s	Heated Basement	Mobile Home	1.0	0.0	0.0	0.0	0.0	0.0
1970s	Heated Basement	Mobile Home	1.0	0.0	0.0	0.0	0.0	0.0
1980s	Heated Basement	Mobile Home	0.37	0.26	0.37	0.0	0.0	0.0
1990s	Heated Basement	Mobile Home	0.12	0.37	0.44	0.07	0.0	0.0
2000s	Heated Basement	Mobile Home	0.13	0.24	0.53	0.1	0.0	0.0
<1940	Heated Basement	Multi-Family with 2 - 4 Units	1.0	0.0	0.0	0.0	0.0	0.0
1950s	Heated Basement	Multi-Family with 2 - 4 Units	1.0	0.0	0.0	0.0	0.0	0.0
1960s	Heated Basement	Multi-Family with 2 - 4 Units	1.0	0.0	0.0	0.0	0.0	0.0
1970s	Heated Basement	Multi-Family with 2 - 4 Units	1.0	0.0	0.0	0.0	0.0	0.0
1980s	Heated Basement	Multi-Family with 2 - 4 Units	0.37	0.26	0.37	0.0	0.0	0.0
1990s	Heated Basement	Multi-Family with 2 - 4 Units	0.12	0.37	0.44	0.07	0.0	0.0
2000s	Heated Basement	Multi-Family with 2 - 4 Units	0.13	0.24	0.53	0.1	0.0	0.0
<1940	Heated Basement	Multi-Family with 5+ Units	1.0	0.0	0.0	0.0	0.0	0.0
1950s	Heated Basement	Multi-Family with 5+ Units	1.0	0.0	0.0	0.0	0.0	0.0
1960s	Heated Basement	Multi-Family with 5+ Units	1.0	0.0	0.0	0.0	0.0	0.0
1970s	Heated Basement	Multi-Family with 5+ Units	1.0	0.0	0.0	0.0	0.0	0.0
1980s	Heated Basement	Multi-Family with 5+ Units	0.37	0.26	0.37	0.0	0.0	0.0
1990s	Heated Basement	Multi-Family with 5+ Units	0.12	0.37	0.44	0.07	0.0	0.0
2000s	Heated Basement	Multi-Family with 5+ Units	0.13	0.24	0.53	0.1	0.0	0.0
1940s	Heated Basement	Single-Family Detached	1.0	0.0	0.0	0.0	0.0	0.018986230841219597
1940s	Heated Basement	Single-Family Attached	1.0	0.0	0.0	0.0	0.0	0.002467404034449426
1940s	Heated Basement	Mobile Home	1.0	0.0	0.0	0.0	0.0	0.0
1940s	Heated Basement	Multi-Family with 2 - 4 Units	1.0	0.0	0.0	0.0	0.0	0.0
1940s	Heated Basement	Multi-Family with 5+ Units	1.0	0.0	0.0	0.0	0.0	0.0
2010s	Heated Basement	Single-Family Detached	0.13	0.24	0.53	0.1	0.0	0.0029649208862895875
2010s	Heated Basement	Single-Family Attached	0.13	0.24	0.53	0.1	0.0	0.0003853138528565561
2010s	Heated Basement	Mobile Home	0.13	0.24	0.53	0.1	0.0	0.0
2010s	Heated Basement	Multi-Family with 2 - 4 Units	0.13	0.24	0.53	0.1	0.0	0.0
2010s	Heated Basement	Multi-Family with 5+ Units	0.13	0.24	0.53	0.1	0.0	0.0
<1940	Pier and Beam	Single-Family Attached	0.0	0.0	0.0	0.0	1.0	0.0
1950s	Pier and Beam	Single-Family Attached	0.0	0.0	0.0	0.0	1.0	0.0
1960s	Pier and Beam	Single-Family Attached	0.0	0.0	0.0	0.0	1.0	0.0
1970s	Pier and Beam	Single-Family Attached	0.0	0.0	0.0	0.0	1.0	0.0
1980s	Pier and Beam	Single-Family Attached	0.0	0.0	0.0	0.0	1.0	0.0
1990s	Pier and Beam	Single-Family Attached	0.0	0.0	0.0	0.0	1.0	0.0
2000s	Pier and Beam	Single-Family Attached	0.0	0.0	0.0	0.0	1.0	0.0
<1940	Pier and Beam	Mobile Home	0.0	0.0	0.0	0.0	1.0	0.0
1950s	Pier and Beam	Mobile Home	0.0	0.0	0.0	0.0	1.0	0.0
1960s	Pier and Beam	Mobile Home	0.0	0.0	0.0	0.0	1.0	0.0
1970s	Pier and Beam	Mobile Home	0.0	0.0	0.0	0.0	1.0	0.0
1980s	Pier and Beam	Mobile Home	0.0	0.0	0.0	0.0	1.0	0.0
1990s	Pier and Beam	Mobile Home	0.0	0.0	0.0	0.0	1.0	0.0
2000s	Pier and Beam	Mobile Home	0.0	0.0	0.0	0.0	1.0	0.0
<1940	Pier and Beam	Multi-Family with 2 - 4 Units	0.0	0.0	0.0	0.0	1.0	0.0
1950s	Pier and Beam	Multi-Family with 2 - 4 Units	0.0	0.0	0.0	0.0	1.0	0.0
1960s	Pier and Beam	Multi-Family with 2 - 4 Units	0.0	0.0	0.0	0.0	1.0	0.0
1970s	Pier and Beam	Multi-Family with 2 - 4 Units	0.0	0.0	0.0	0.0	1.0	0.0
1980s	Pier and Beam	Multi-Family with 2 - 4 Units	0.0	0.0	0.0	0.0	1.0	0.0
1990s	Pier and Beam	Multi-Family with 2 - 4 Units	0.0	0.0	0.0	0.0	1.0	0.0
2000s	Pier and Beam	Multi-Family with 2 - 4 Units	0.0	0.0	0.0	0.0	1.0	0.0
<1940	Pier and Beam	Multi-Family with 5+ Units	0.0	0.0	0.0	0.0	1.0	0.0
1950s	Pier and Beam	Multi-Family with 5+ Units	0.0	0.0	0.0	0.0	1.0	0.0
1960s	Pier and Beam	Multi-Family with 5+ Units	0.0	0.0	0.0	0.0	1.0	0.0
1970s	Pier and Beam	Multi-Family with 5+ Units	0.0	0.0	0.0	0.0	1.0	0.0
1980s	Pier and Beam	Multi-Family with 5+ Units	0.0	0.0	0.0	0.0	1.0	0.0
1990s	Pier and Beam	Multi-Family with 5+ Units	0.0	0.0	0.0	0.0	1.0	0.0
2000s	Pier and Beam	Multi-Family with 5+ Units	0.0	0.0	0.0	0.0	1.0	0.0
1940s	Pier and Beam	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.0
1940s	Pier and Beam	Single-Family Attached	0.0	0.0	0.0	0.0	1.0	0.0
1940s	Pier and Beam	Mobile Home	0.0	0.0	0.0	0.0	1.0	0.0
1940s	Pier and Beam	Multi-Family with 2 - 4 Units	0.0	0.0	0.0	0.0	1.0	0.0
1940s	Pier and Beam	Multi-Family with 5+ Units	0.0	0.0	0.0	0.0	1.0	0.0
2010s	Pier and Beam	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.0
2010s	Pier and Beam	Single-Family Attached	0.0	0.0	0.0	0.0	1.0	0.0
2010s	Pier and Beam	Mobile Home	0.0	0.0	0.0	0.0	1.0	0.0
2010s	Pier and Beam	Multi-Family with 2 - 4 Units	0.0	0.0	0.0	0.0	1.0	0.0
2010s	Pier and Beam	Multi-Family with 5+ Units	0.0	0.0	0.0	0.0	1.0	0.0
<1940	Pier and Beam	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.0
1950s	Pier and Beam	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.0
1960s	Pier and Beam	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.0
1970s	Pier and Beam	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.0
1980s	Pier and Beam	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.0
1990s	Pier and Beam	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.0
2000s	Pier and Beam	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.0
<1940	Slab	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.01549129532950472
1950s	Slab	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.008618924106757866
1960s	Slab	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.007120429391754028
1970s	Slab	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.006795697799169826
1980s	Slab	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.0038935850572295572
1990s	Slab	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.0036223456899254288
2000s	Slab	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.004145842590908529
<1940	Slab	Single-Family Attached	0.0	0.0	0.0	0.0	1.0	0.002013210779671116
1950s	Slab	Single-Family Attached	0.0	0.0	0.0	0.0	1.0	0.0011200942562784994
1960s	Slab	Single-Family Attached	0.0	0.0	0.0	0.0	1.0	0.0009253535551713327
1970s	Slab	Single-Family Attached	0.0	0.0	0.0	0.0	1.0	0.0008831522331524344
1980s	Slab	Single-Family Attached	0.0	0.0	0.0	0.0	1.0	0.0005060007728244333
1990s	Slab	Single-Family Attached	0.0	0.0	0.0	0.0	1.0	0.0004707511693204697
2000s	Slab	Single-Family Attached	0.0	0.0	0.0	0.0	1.0	0.0005387835437453717
<1940	Slab	Mobile Home	0.0	0.0	0.0	0.0	1.0	0.0002645778913722576
1950s	Slab	Mobile Home	0.0	0.0	0.0	0.0	1.0	0.00014720375007765227
1960s	Slab	Mobile Home	0.0	0.0	0.0	0.0	1.0	0.00012161075972434892
1970s	Slab	Mobile Home	0.0	0.0	0.0	0.0	1.0	0.00011606462570518488
1980s	Slab	Mobile Home	0.0	0.0	0.0	0.0	1.0	6.649905656102824e-05
1990s	Slab	Mobile Home	0.0	0.0	0.0	0.0	1.0	6.186652336531865e-05
2000s	Slab	Mobile Home	0.0	0.0	0.0	0.0	1.0	7.080739649800125e-05
<1940	Slab	Multi-Family with 2 - 4 Units	0.0	0.0	0.0	0.0	1.0	0.007121056240283306
1950s	Slab	Multi-Family with 2 - 4 Units	0.0	0.0	0.0	0.0	1.0	0.003961956827332566
1960s	Slab	Multi-Family with 2 - 4 Units	0.0	0.0	0.0	0.0	1.0	0.0032731270739557836
1970s	Slab	Multi-Family with 2 - 4 Units	0.0	0.0	0.0	0.0	1.0	0.0031238540864745746
1980s	Slab	Multi-Family with 2 - 4 Units	0.0	0.0	0.0	0.0	1.0	0.00178980760350302
1990s	Slab	Multi-Family with 2 - 4 Units	0.0	0.0	0.0	0.0	1.0	0.0016651239829233513
2000s	Slab	Multi-Family with 2 - 4 Units	0.0	0.0	0.0	0.0	1.0	0.001905765633232258
<1940	Slab	Multi-Family with 5+ Units	0.0	0.0	0.0	0.0	1.0	0.012044527662418836
1950s	Slab	Multi-Family with 5+ Units	0.0	0.0	0.0	0.0	1.0	0.006701238832263142
1960s	Slab	Multi-Family with 5+ Units	0.0	0.0	0.0	0.0	1.0	0.00553615478583891
1970s	Slab	Multi-Family with 5+ Units	0.0	0.0	0.0	0.0	1.0	0.005283675017908052
1980s	Slab	Multi-Family with 5+ Units	0.0	0.0	0.0	0.0	1.0	0.0030272738289653005
1990s	Slab	Multi-Family with 5+ Units	0.0	0.0	0.0	0.0	1.0	0.0028163844234544953
2000s	Slab	Multi-Family with 5+ Units	0.0	0.0	0.0	0.0	1.0	0.0032234048030267875
1940s	Slab	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.004183406795522962
1940s	Slab	Single-Family Attached	0.0	0.0	0.0	0.0	1.0	0.0005436652957261447
1940s	Slab	Mobile Home	0.0	0.0	0.0	0.0	1.0	7.144896054003676e-05
1940s	Slab	Multi-Family with 2 - 4 Units	0.0	0.0	0.0	0.0	1.0	0.0019230331894947367
1940s	Slab	Multi-Family with 5+ Units	0.0	0.0	0.0	0.0	1.0	0.003252611082551624
2010s	Slab	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.0006532876529112651
2010s	Slab	Single-Family Attached	0.0	0.0	0.0	0.0	1.0	8.489966249381744e-05
2010s	Slab	Mobile Home	0.0	0.0	0.0	0.0	1.0	1.1157586631092903e-05
2010s	Slab	Multi-Family with 2 - 4 Units	0.0	0.0	0.0	0.0	1.0	0.0003003040106403118
2010s	Slab	Multi-Family with 5+ Units	0.0	0.0	0.0	0.0	1.0	0.0005079330707755589
<1940	Unheated Basement	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.02383276204539188
1950s	Unheated Basement	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.01325988324116595
1960s	Unheated Basement	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.01095450675654466
1970s	Unheated Basement	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.010454919691030502
1980s	Unheated Basement	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.005990130857276242
1990s	Unheated Basement	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.005572839522962198
2000s	Unheated Basement	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.006378219370628506
<1940	Unheated Basement	Single-Family Attached	0.0	0.0	0.0	0.0	1.0	0.0030972473533401783
1950s	Unheated Basement	Single-Family Attached	0.0	0.0	0.0	0.0	1.0	0.001723221932736153
1960s	Unheated Basement	Single-Family Attached	0.0	0.0	0.0	0.0	1.0	0.0014236208541097426
1970s	Unheated Basement	Single-Family Attached	0.0	0.0	0.0	0.0	1.0	0.0013586957433114376
1980s	Unheated Basement	Single-Family Attached	0.0	0.0	0.0	0.0	1.0	0.0007784627274222051
1990s	Unheated Basement	Single-Family Attached	0.0	0.0	0.0	0.0	1.0	0.000724232568185338
2000s	Unheated Basement	Single-Family Attached	0.0	0.0	0.0	0.0	1.0	0.0008288977596082641
<1940	Unheated Basement	Mobile Home	0.0	0.0	0.0	0.0	1.0	0.0016078194937237192
1950s	Unheated Basement	Mobile Home	0.0	0.0	0.0	0.0	1.0	0.0008945458658565023
1960s	Unheated Basement	Mobile Home	0.0	0.0	0.0	0.0	1.0	0.0007390192321710434
1970s	Unheated Basement	Mobile Home	0.0	0.0	0.0	0.0	1.0	0.0007053158023622774
1980s	Unheated Basement	Mobile Home	0.0	0.0	0.0	0.0	1.0	0.0004041096514093255
1990s	Unheated Basement	Mobile Home	0.0	0.0	0.0	0.0	1.0	0.00037595810352770564
2000s	Unheated Basement	Mobile Home	0.0	0.0	0.0	0.0	1.0	0.000430291101795546
<1940	Unheated Basement	Multi-Family with 2 - 4 Units	0.0	0.0	0.0	0.0	1.0	0.043274110998644706
1950s	Unheated Basement	Multi-Family with 2 - 4 Units	0.0	0.0	0.0	0.0	1.0	0.02407650687379021
1960s	Unheated Basement	Multi-Family with 2 - 4 Units	0.0	0.0	0.0	0.0	1.0	0.019890541449423607
1970s	Unheated Basement	Multi-Family with 2 - 4 Units	0.0	0.0	0.0	0.0	1.0	0.0189834209870378
1980s	Unheated Basement	Multi-Family with 2 - 4 Units	0.0	0.0	0.0	0.0	1.0	0.01087652312897989
1990s	Unheated Basement	Multi-Family with 2 - 4 Units	0.0	0.0	0.0	0.0	1.0	0.010118830357764981
2000s	Unheated Basement	Multi-Family with 2 - 4 Units	0.0	0.0	0.0	0.0	1.0	0.01158119115579603
<1940	Unheated Basement	Multi-Family with 5+ Units	0.0	0.0	0.0	0.0	1.0	0.07319366810239139
1950s	Unheated Basement	Multi-Family with 5+ Units	0.0	0.0	0.0	0.0	1.0	0.04072291290375295
1960s	Unheated Basement	Multi-Family with 5+ Units	0.0	0.0	0.0	0.0	1.0	0.03364278677548261
1970s	Unheated Basement	Multi-Family with 5+ Units	0.0	0.0	0.0	0.0	1.0	0.032108486647287396
1980s	Unheated Basement	Multi-Family with 5+ Units	0.0	0.0	0.0	0.0	1.0	0.01839651019140452
1990s	Unheated Basement	Multi-Family with 5+ Units	0.0	0.0	0.0	0.0	1.0	0.017114951496377317
2000s	Unheated Basement	Multi-Family with 5+ Units	0.0	0.0	0.0	0.0	1.0	0.01958838303377817
1940s	Unheated Basement	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.006436010454650713
1940s	Unheated Basement	Single-Family Attached	0.0	0.0	0.0	0.0	1.0	0.0008364081472709918
1940s	Unheated Basement	Mobile Home	0.0	0.0	0.0	0.0	1.0	0.00043418983712791573
1940s	Unheated Basement	Multi-Family with 2 - 4 Units	0.0	0.0	0.0	0.0	1.0	0.011686124766929554
1940s	Unheated Basement	Multi-Family with 5+ Units	0.0	0.0	0.0	0.0	1.0	0.019765867347813715
2010s	Unheated Basement	Single-Family Detached	0.0	0.0	0.0	0.0	1.0	0.0010050579275557925
2010s	Unheated Basement	Single-Family Attached	0.0	0.0	0.0	0.0	1.0	0.00013061486537510375
2010s	Unheated Basement	Mobile Home	0.0	0.0	0.0	0.0	1.0	6.780379568125687e-05
2010s	Unheated Basement	Multi-Family with 2 - 4 Units	0.0	0.0	0.0	0.0	1.0	0.001824924372352664
2010s	Unheated Basement	Multi-Family with 5+ Units	0.0	0.0	0.0	0.0	1.0	0.0030866701993283972
