Dependency=Geometry Building Type RECS	Dependency=Vintage	Dependency=Geometry Foundation Type	Option=Uninsulated	Option=R-13	Option=R-19	Option=R-30	Option=R-38	Option=None
Single-Family Detached	1980s	Crawl	0	0	0	0	0	1
Single-Family Detached	1990s	Crawl	0	0	0	0	0	1
Single-Family Detached	2000s	Crawl	0	0	0	0	0	1
Single-Family Detached	2010s	Crawl	0	0	0	0	0	1
Mobile Home	<1940	Heated Basement	0	0	0	0	0	1
Mobile Home	1940s	Heated Basement	0	0	0	0	0	1
Mobile Home	1950s	Heated Basement	0	0	0	0	0	1
Mobile Home	1960s	Heated Basement	0	0	0	0	0	1
Mobile Home	1970s	Heated Basement	0	0	0	0	0	1
Mobile Home	1980s	Heated Basement	0	0	0	0	0	1
Mobile Home	1990s	Heated Basement	0	0	0	0	0	1
Mobile Home	2000s	Heated Basement	0	0	0	0	0	1
Mobile Home	2010s	Heated Basement	0	0	0	0	0	1
Multi-Family with 2 - 4 Units	<1940	Heated Basement	0	0	0	0	0	1
Multi-Family with 2 - 4 Units	1940s	Heated Basement	0	0	0	0	0	1
Multi-Family with 2 - 4 Units	1950s	Heated Basement	0	0	0	0	0	1
Multi-Family with 2 - 4 Units	1960s	Heated Basement	0	0	0	0	0	1
Multi-Family with 2 - 4 Units	1970s	Heated Basement	0	0	0	0	0	1
Multi-Family with 2 - 4 Units	1980s	Heated Basement	0	0	0	0	0	1
Multi-Family with 2 - 4 Units	1990s	Heated Basement	0	0	0	0	0	1
Multi-Family with 2 - 4 Units	2000s	Heated Basement	0	0	0	0	0	1
Multi-Family with 2 - 4 Units	2010s	Heated Basement	0	0	0	0	0	1
Multi-Family with 5+ Units	<1940	Heated Basement	0	0	0	0	0	1
Multi-Family with 5+ Units	1940s	Heated Basement	0	0	0	0	0	1
Multi-Family with 5+ Units	1950s	Heated Basement	0	0	0	0	0	1
Multi-Family with 5+ Units	1960s	Heated Basement	0	0	0	0	0	1
Multi-Family with 5+ Units	1970s	Heated Basement	0	0	0	0	0	1
Multi-Family with 5+ Units	1980s	Heated Basement	0	0	0	0	0	1
Multi-Family with 5+ Units	1990s	Heated Basement	0	0	0	0	0	1
Multi-Family with 5+ Units	2000s	Heated Basement	0	0	0	0	0	1
Multi-Family with 5+ Units	2010s	Heated Basement	0	0	0	0	0	1
Single-Family Attached	<1940	Heated Basement	0	0	0	0	0	1
Single-Family Attached	1940s	Heated Basement	0	0	0	0	0	1
Single-Family Attached	1950s	Heated Basement	0	0	0	0	0	1
Single-Family Attached	1960s	Heated Basement	0	0	0	0	0	1
Single-Family Attached	1970s	Heated Basement	0	0	0	0	0	1
Single-Family Attached	1980s	Heated Basement	0	0	0	0	0	1
Single-Family Attached	1990s	Heated Basement	0	0	0	0	0	1
Single-Family Attached	2000s	Heated Basement	0	0	0	0	0	1
Single-Family Attached	2010s	Heated Basement	0	0	0	0	0	1
Single-Family Detached	<1940	Heated Basement	0	0	0	0	0	1
Single-Family Detached	1940s	Heated Basement	0	0	0	0	0	1
Single-Family Detached	1950s	Heated Basement	0	0	0	0	0	1
Single-Family Detached	1960s	Heated Basement	0	0	0	0	0	1
Single-Family Detached	1970s	Heated Basement	0	0	0	0	0	1
Single-Family Detached	1980s	Heated Basement	0	0	0	0	0	1
Single-Family Detached	1990s	Heated Basement	0	0	0	0	0	1
Single-Family Detached	2000s	Heated Basement	0	0	0	0	0	1
Single-Family Detached	2010s	Heated Basement	0	0	0	0	0	1
Mobile Home	<1940	Pier and Beam	1	0	0	0	0	0
Mobile Home	1940s	Pier and Beam	1	0	0	0	0	0
Mobile Home	1950s	Pier and Beam	1	0	0	0	0	0
Mobile Home	1960s	Pier and Beam	1	0	0	0	0	0
Mobile Home	1970s	Pier and Beam	1	0	0	0	0	0
Mobile Home	1980s	Pier and Beam	0.56	0.2	0.24	0	0	0
Mobile Home	1990s	Pier and Beam	0.41	0.26	0.33	0	0	0
Mobile Home	2000s	Pier and Beam	0	0	0	1	0	0
Mobile Home	2010s	Pier and Beam	0	0	0	1	0	0
Multi-Family with 2 - 4 Units	<1940	Pier and Beam	1	0	0	0	0	0
Multi-Family with 2 - 4 Units	1940s	Pier and Beam	1	0	0	0	0	0
Multi-Family with 2 - 4 Units	1950s	Pier and Beam	1	0	0	0	0	0
Multi-Family with 2 - 4 Units	1960s	Pier and Beam	1	0	0	0	0	0
Multi-Family with 2 - 4 Units	1970s	Pier and Beam	1	0	0	0	0	0
Multi-Family with 2 - 4 Units	1980s	Pier and Beam	0.56	0.2	0.24	0	0	0
Multi-Family with 2 - 4 Units	1990s	Pier and Beam	0.41	0.26	0.33	0	0	0
Multi-Family with 2 - 4 Units	2000s	Pier and Beam	0	0	0	1	0	0
Multi-Family with 2 - 4 Units	2010s	Pier and Beam	0	0	0	1	0	0
Multi-Family with 5+ Units	<1940	Pier and Beam	1	0	0	0	0	0
Multi-Family with 5+ Units	1940s	Pier and Beam	1	0	0	0	0	0
Multi-Family with 5+ Units	1950s	Pier and Beam	1	0	0	0	0	0
Multi-Family with 5+ Units	1960s	Pier and Beam	1	0	0	0	0	0
Multi-Family with 5+ Units	1970s	Pier and Beam	1	0	0	0	0	0
Multi-Family with 5+ Units	1980s	Pier and Beam	0.56	0.2	0.24	0	0	0
Multi-Family with 5+ Units	1990s	Pier and Beam	0.41	0.26	0.33	0	0	0
Multi-Family with 5+ Units	2000s	Pier and Beam	0	0	0	1	0	0
Multi-Family with 5+ Units	2010s	Pier and Beam	0	0	0	1	0	0
Single-Family Attached	<1940	Pier and Beam	1	0	0	0	0	0
Single-Family Attached	1940s	Pier and Beam	1	0	0	0	0	0
Single-Family Attached	1950s	Pier and Beam	1	0	0	0	0	0
Single-Family Attached	1960s	Pier and Beam	1	0	0	0	0	0
Single-Family Attached	1970s	Pier and Beam	1	0	0	0	0	0
Single-Family Attached	1980s	Pier and Beam	0.56	0.2	0.24	0	0	0
Single-Family Attached	1990s	Pier and Beam	0.41	0.26	0.33	0	0	0
Single-Family Attached	2000s	Pier and Beam	0	0	0	1	0	0
Single-Family Attached	2010s	Pier and Beam	0	0	0	1	0	0
Single-Family Detached	<1940	Pier and Beam	1	0	0	0	0	0
Single-Family Detached	1940s	Pier and Beam	1	0	0	0	0	0
Single-Family Detached	1950s	Pier and Beam	1	0	0	0	0	0
Single-Family Detached	1960s	Pier and Beam	1	0	0	0	0	0
Single-Family Detached	1970s	Pier and Beam	1	0	0	0	0	0
Single-Family Detached	1980s	Pier and Beam	0.56	0.2	0.24	0	0	0
Single-Family Detached	1990s	Pier and Beam	0.41	0.26	0.33	0	0	0
Single-Family Detached	2000s	Pier and Beam	0	0	0	1	0	0
Single-Family Detached	2010s	Pier and Beam	0	0	0	1	0	0
Mobile Home	<1940	Slab	0	0	0	0	0	1
Mobile Home	1940s	Slab	0	0	0	0	0	1
Mobile Home	1950s	Slab	0	0	0	0	0	1
Mobile Home	1960s	Slab	0	0	0	0	0	1
Mobile Home	1970s	Slab	0	0	0	0	0	1
Mobile Home	1980s	Slab	0	0	0	0	0	1
Mobile Home	1990s	Slab	0	0	0	0	0	1
Mobile Home	2000s	Slab	0	0	0	0	0	1
Mobile Home	2010s	Slab	0	0	0	0	0	1
Multi-Family with 2 - 4 Units	<1940	Slab	0	0	0	0	0	1
Multi-Family with 2 - 4 Units	1940s	Slab	0	0	0	0	0	1
Multi-Family with 2 - 4 Units	1950s	Slab	0	0	0	0	0	1
Multi-Family with 2 - 4 Units	1960s	Slab	0	0	0	0	0	1
Multi-Family with 2 - 4 Units	1970s	Slab	0	0	0	0	0	1
Multi-Family with 2 - 4 Units	1980s	Slab	0	0	0	0	0	1
Multi-Family with 2 - 4 Units	1990s	Slab	0	0	0	0	0	1
Multi-Family with 2 - 4 Units	2000s	Slab	0	0	0	0	0	1
Multi-Family with 2 - 4 Units	2010s	Slab	0	0	0	0	0	1
Multi-Family with 5+ Units	<1940	Slab	0	0	0	0	0	1
Multi-Family with 5+ Units	1940s	Slab	0	0	0	0	0	1
Multi-Family with 5+ Units	1950s	Slab	0	0	0	0	0	1
Multi-Family with 5+ Units	1960s	Slab	0	0	0	0	0	1
Multi-Family with 5+ Units	1970s	Slab	0	0	0	0	0	1
Multi-Family with 5+ Units	1980s	Slab	0	0	0	0	0	1
Multi-Family with 5+ Units	1990s	Slab	0	0	0	0	0	1
Multi-Family with 5+ Units	2000s	Slab	0	0	0	0	0	1
Multi-Family with 5+ Units	2010s	Slab	0	0	0	0	0	1
Single-Family Attached	<1940	Slab	0	0	0	0	0	1
Single-Family Attached	1940s	Slab	0	0	0	0	0	1
Single-Family Attached	1950s	Slab	0	0	0	0	0	1
Single-Family Attached	1960s	Slab	0	0	0	0	0	1
Single-Family Attached	1970s	Slab	0	0	0	0	0	1
Single-Family Attached	1980s	Slab	0	0	0	0	0	1
Single-Family Attached	1990s	Slab	0	0	0	0	0	1
Single-Family Attached	2000s	Slab	0	0	0	0	0	1
Single-Family Attached	2010s	Slab	0	0	0	0	0	1
Single-Family Detached	<1940	Slab	0	0	0	0	0	1
Single-Family Detached	1940s	Slab	0	0	0	0	0	1
Single-Family Detached	1950s	Slab	0	0	0	0	0	1
Single-Family Detached	1960s	Slab	0	0	0	0	0	1
Single-Family Detached	1970s	Slab	0	0	0	0	0	1
Single-Family Detached	1980s	Slab	0	0	0	0	0	1
Single-Family Detached	1990s	Slab	0	0	0	0	0	1
Single-Family Detached	2000s	Slab	0	0	0	0	0	1
Single-Family Detached	2010s	Slab	0	0	0	0	0	1
Mobile Home	<1940	Unheated Basement	0	0	0	0	0	1
Mobile Home	1940s	Unheated Basement	0	0	0	0	0	1
Mobile Home	1950s	Unheated Basement	0	0	0	0	0	1
Mobile Home	1960s	Unheated Basement	0	0	0	0	0	1
Mobile Home	1970s	Unheated Basement	0	0	0	0	0	1
Mobile Home	1980s	Unheated Basement	0	0	0	0	0	1
Mobile Home	1990s	Unheated Basement	0	0	0	0	0	1
Mobile Home	2000s	Unheated Basement	0	0	0	0	0	1
Mobile Home	2010s	Unheated Basement	0	0	0	0	0	1
Multi-Family with 2 - 4 Units	<1940	Unheated Basement	0	0	0	0	0	1
Multi-Family with 2 - 4 Units	1940s	Unheated Basement	0	0	0	0	0	1
Multi-Family with 2 - 4 Units	1950s	Unheated Basement	0	0	0	0	0	1
Multi-Family with 2 - 4 Units	1960s	Unheated Basement	0	0	0	0	0	1
Multi-Family with 2 - 4 Units	1970s	Unheated Basement	0	0	0	0	0	1
Multi-Family with 2 - 4 Units	1980s	Unheated Basement	0	0	0	0	0	1
Multi-Family with 2 - 4 Units	1990s	Unheated Basement	0	0	0	0	0	1
Multi-Family with 2 - 4 Units	2000s	Unheated Basement	0	0	0	0	0	1
Multi-Family with 2 - 4 Units	2010s	Unheated Basement	0	0	0	0	0	1
Multi-Family with 5+ Units	<1940	Unheated Basement	0	0	0	0	0	1
Multi-Family with 5+ Units	1940s	Unheated Basement	0	0	0	0	0	1
Multi-Family with 5+ Units	1950s	Unheated Basement	0	0	0	0	0	1
Multi-Family with 5+ Units	1960s	Unheated Basement	0	0	0	0	0	1
Multi-Family with 5+ Units	1970s	Unheated Basement	0	0	0	0	0	1
Multi-Family with 5+ Units	1980s	Unheated Basement	0	0	0	0	0	1
Multi-Family with 5+ Units	1990s	Unheated Basement	0	0	0	0	0	1
Multi-Family with 5+ Units	2000s	Unheated Basement	0	0	0	0	0	1
Multi-Family with 5+ Units	2010s	Unheated Basement	0	0	0	0	0	1
Single-Family Attached	<1940	Unheated Basement	0	0	0	0	0	1
Single-Family Attached	1940s	Unheated Basement	0	0	0	0	0	1
Single-Family Attached	1950s	Unheated Basement	0	0	0	0	0	1
Single-Family Attached	1960s	Unheated Basement	0	0	0	0	0	1
Single-Family Attached	1970s	Unheated Basement	0	0	0	0	0	1
Single-Family Attached	1980s	Unheated Basement	0	0	0	0	0	1
Single-Family Attached	1990s	Unheated Basement	0	0	0	0	0	1
Single-Family Attached	2000s	Unheated Basement	0	0	0	0	0	1
Single-Family Attached	2010s	Unheated Basement	0	0	0	0	0	1
Single-Family Detached	<1940	Unheated Basement	0	0	0	0	0	1
Single-Family Detached	1940s	Unheated Basement	0	0	0	0	0	1
Single-Family Detached	1950s	Unheated Basement	0	0	0	0	0	1
Single-Family Detached	1960s	Unheated Basement	0	0	0	0	0	1
Single-Family Detached	1970s	Unheated Basement	0	0	0	0	0	1
Single-Family Detached	1980s	Unheated Basement	0	0	0	0	0	1
Single-Family Detached	1990s	Unheated Basement	0	0	0	0	0	1
Single-Family Detached	2000s	Unheated Basement	0	0	0	0	0	1
Single-Family Detached	2010s	Unheated Basement	0	0	0	0	0	1
#Manually downselected to Location Region=CR04								
