Dependency=PUMA	Dependency=Geometry Building Type ACS	Option=1940s	Option=1950s	Option=1960s	Option=1970s	Option=1980s	Option=1990s	Option=2000s	Option=2010s	Option=<1940	sample_count	sample_weight	resstock_probability
IL, 03410	10 to 19 Unit	0.0	0.04217	0.112006	0.364491	0.20870300000000008	0.117378	0.131346	0.016116	0.007789	142.0	3723.0	0.0018962122317858722
IL, 03410	2 Unit	0.073913	0.086957	0.113043	0.373913	0.273913	0.0	0.0	0.0	0.078261	8.0	230.0	0.00011713568286420002
IL, 03410	20 to 49 Unit	0.0	0.048499	0.024249	0.513857	0.042725	0.095843	0.247113	0.0	0.027714	33.0	866.0	0.000441057090942468
IL, 03410	3 or 4 Unit	0.009536	0.003444	0.037616	0.279735	0.409801	0.153377	0.031788	0.034437	0.040265	135.0	3775.0	0.0019227079932900844
IL, 03410	5 to 9 Unit	0.005265	0.03075	0.076664	0.288964	0.29465	0.238416	0.060025	0.0	0.005265	148.0	4748.0	0.00241827442172316
IL, 03410	50 or more Unit	0.0	0.025157	0.061096	0.091644	0.189578	0.197664	0.315364	0.119497	0.0	38.0	1113.0	0.0005668707131287201
IL, 03410	Mobile Home	0.0	0.0	0.191529	0.141805	0.246777	0.093923	0.218232	0.107735	0.0	32.0	1086.0	0.0005531113948880521
IL, 03410	Single-Family Attached	0.0	0.005703	0.012221	0.086974	0.203789	0.430899	0.232814	0.0276	0.0	402.0	9819.0	0.0050010337389612605
IL, 03410	Single-Family Detached	0.020241	0.104226	0.095931	0.208198	0.212738	0.193765	0.11668	0.007229000000000002	0.04099	1568.0	39424.0	0.020079530740449183
IL, 03411	10 to 19 Unit	0.010837	0.072009	0.198061	0.32012	0.180379	0.127335	0.047483	0.002709	0.041067	228.0	7013.0	0.0035785226620000006
IL, 03411	2 Unit	0.040107	0.084225	0.309492	0.156417	0.0	0.00869	0.011364	0.0	0.389706	51.0	1496.0	0.000763372272
IL, 03411	20 to 49 Unit	0.027283	0.123153	0.256537	0.289883	0.149678	0.068587	0.01781	0.006821	0.06025	90.0	2639.0	0.00134659213
IL, 03411	3 or 4 Unit	0.071802	0.112924	0.14393	0.23564	0.150457	0.115209	0.039817	0.008812	0.12141	99.0	3064.0	0.001563450226
IL, 03411	5 to 9 Unit	0.017762	0.070387	0.17165999999999998	0.399125	0.14541400000000002	0.098887	0.047322	0.001988	0.047455	215.0	7544.0	0.00384946289
IL, 03411	50 or more Unit	0.0	0.025515	0.293425	0.292444	0.0	0.0	0.213935	0.113837	0.060844	37.0	1019.0	0.00051996958
IL, 03411	Mobile Home	0.0	0.048303	0.056136	0.249347	0.244125	0.225849	0.15796300000000002	0.018277	0.0	38.0	766.0	0.000390854282
IL, 03411	Single-Family Attached	0.096286	0.382857	0.049429	0.073714	0.040286	0.163429	0.162857	0.004857	0.026286	170.0	3500.0	0.001785934982
IL, 03411	Single-Family Detached	0.098564	0.354493	0.220977	0.112947	0.049441000000000006	0.037279	0.031304000000000005	0.001507	0.093488	1778.0	37823.0	0.019299840976
IL, 03412	10 to 19 Unit	0.01073	0.026977	0.144083	0.332618	0.247394	0.134273	0.098099	0.0	0.005825	88.0	3262.0	0.001652594643403704
IL, 03412	2 Unit	0.036058	0.225962	0.28125	0.182692	0.122596	0.055288	0.0	0.0	0.096154	9.0	416.0	0.00021074715725263198
IL, 03412	20 to 49 Unit	0.045872	0.086239	0.102752	0.440367	0.06788999999999999	0.025688	0.188991	0.0	0.042202	18.0	545.0	0.000276105059894664
IL, 03412	3 or 4 Unit	0.0	0.116481	0.151177	0.258984	0.116481	0.215613	0.054523	0.0	0.086741	25.0	807.0	0.00040884907115052
IL, 03412	5 to 9 Unit	0.02917	0.087852	0.120796	0.367193	0.12834600000000002	0.092313	0.104324	0.0	0.070007	85.0	2914.0	0.0014762855957129281
IL, 03412	50 or more Unit	0.018519	0.096022	0.115912	0.124829	0.08161900000000001	0.104252	0.358711	0.067901	0.032236	61.0	1458.0	0.000738660197339064
IL, 03412	Mobile Home	0.0	0.0	0.114144	0.426799	0.33995	0.06451599999999999	0.054591	0.0	0.0	9.0	403.0	0.00020416583583396
IL, 03412	Single-Family Attached	0.0	0.070134	0.068966	0.20339	0.21800100000000008	0.286382	0.14494400000000002	0.0	0.008182	79.0	1711.0	0.0008668303971687359
IL, 03412	Single-Family Detached	0.051611	0.190012	0.26715500000000003	0.211863	0.088768	0.07762100000000001	0.061769	0.004227000000000001	0.046975	1070.0	29335.0	0.014861720650264486
IL, 03413	10 to 19 Unit	0.014431	0.04543	0.149653	0.416355	0.201497	0.153928	0.0	0.0	0.018707	63.0	1871.0	0.000970380096
IL, 03413	2 Unit	0.089428	0.147854	0.217806	0.217806	0.100556	0.044118	0.021463	0.0	0.16097	84.0	2516.0	0.0013049135920000002
IL, 03413	20 to 49 Unit	0.032941000000000005	0.183529	0.046275	0.453333	0.112157	0.115294	0.025882	0.0	0.030588	44.0	1275.0	0.0006612804640000001
IL, 03413	3 or 4 Unit	0.028881	0.106662	0.113883	0.340663	0.155891	0.083689	0.069905	0.021661	0.078766	96.0	3047.0	0.001580314152
IL, 03413	5 to 9 Unit	0.039324	0.093692	0.188704	0.243864	0.15545	0.111375	0.116653	0.0	0.050937	110.0	3789.0	0.0019651728720000003
IL, 03413	50 or more Unit	0.040353	0.055485	0.13913399999999998	0.363598	0.09794	0.13955399999999998	0.12232	0.017234	0.02438	115.0	2379.0	0.00123387748
IL, 03413	Mobile Home	0.013619	0.121595	0.131323	0.393969	0.096304	0.030156	0.185798	0.017509999999999998	0.009728	50.0	1028.0	0.0005331856960000001
IL, 03413	Single-Family Attached	0.049485	0.147766	0.189003	0.262543	0.033677	0.128522	0.095533	0.0	0.093471	61.0	1455.0	0.0007546230640000001
IL, 03413	Single-Family Detached	0.084924	0.286423	0.258937	0.166655	0.037153	0.029976	0.020308	0.0	0.115624	1922.0	44169.0	0.022908252584
IL, 03414	10 to 19 Unit	0.039308	0.112421	0.087264	0.29717	0.166667	0.052673000000000005	0.181604	0.0	0.06289299999999999	33.0	1272.0	0.0006560154480000002
IL, 03414	2 Unit	0.131961	0.1023	0.09201	0.131961	0.031477	0.069007	0.116828	0.013317	0.311138	55.0	1652.0	0.0008520134800000001
IL, 03414	20 to 49 Unit	0.029343	0.00939	0.109155	0.457746	0.032864	0.093897	0.215962	0.0	0.051643	28.0	852.0	0.0004394077720000001
IL, 03414	3 or 4 Unit	0.1691	0.137875	0.1691	0.165045	0.0588	0.07542599999999999	0.120843	0.010138	0.093674	79.0	2466.0	0.0012717960440000002
IL, 03414	5 to 9 Unit	0.12974000000000002	0.10855	0.217472	0.257621	0.00855	0.108178	0.059108	0.030483	0.08029700000000001	77.0	2690.0	0.0013873243720000004
IL, 03414	50 or more Unit	0.04841	0.084006	0.117228	0.217845	0.123398	0.217845	0.133365	0.024205	0.033697000000000005	62.0	2107.0	0.0010866585640000002
IL, 03414	Mobile Home	0.0	0.033831	0.024605	0.214851	0.169596	0.251318	0.265378	0.040422	0.0	84.0	2276.0	0.0011738287840000001
IL, 03414	Single-Family Attached	0.12683599999999998	0.155867	0.06514600000000001	0.13323	0.064282	0.178504	0.256091	0.002419	0.017626	210.0	5787.0	0.0029845559040000006
IL, 03414	Single-Family Detached	0.049962	0.277995	0.17362	0.186829	0.069858	0.092885	0.084361	0.001319	0.063171	1610.0	42472.0	0.021904399632000006
IL, 03415	10 to 19 Unit	0.008043999999999999	0.058501	0.137477	0.417185	0.268739	0.062157	0.038757	0.0	0.009141	94.0	2735.0	0.0013931166680000004
IL, 03415	2 Unit	0.0	0.077568	0.477987	0.111111	0.188679	0.09434	0.0	0.0	0.050314	15.0	477.0	0.00024295429600000004
IL, 03415	20 to 49 Unit	0.0	0.026760000000000003	0.145906	0.361262	0.157375	0.106403	0.175534	0.01115	0.01561	124.0	3139.0	0.0015988937960000004
IL, 03415	3 or 4 Unit	0.015152	0.007576	0.06585099999999999	0.229604	0.388986	0.196678	0.081585	0.0	0.014569	139.0	3432.0	0.0017481285600000002
IL, 03415	5 to 9 Unit	0.002122	0.037416000000000005	0.15641300000000002	0.33404	0.259595	0.114176	0.074831	0.0	0.021408	171.0	5185.0	0.0026410569960000005
IL, 03415	50 or more Unit	0.017651	0.026983	0.078515	0.460743	0.17955	0.15418900000000002	0.047677	0.019882	0.01481	208.0	4929.0	0.0025106613360000004
IL, 03415	Mobile Home	0.0	0.0	0.099338	0.400662	0.311258	0.188742	0.0	0.0	0.0	9.0	302.0	0.00015381928000000002
IL, 03415	Single-Family Attached	0.0	0.017341	0.046029	0.288589	0.3389	0.207878	0.056305	0.038107	0.006851	220.0	4671.0	0.0023792385440000005
IL, 03415	Single-Family Detached	0.035289999999999995	0.21034	0.3246	0.155555	0.14819200000000002	0.061325	0.033932	0.004236	0.026529	1213.0	24313.0	0.012384130524000002
IL, 03416	10 to 19 Unit	0.037736	0.063679	0.154874	0.201258	0.143868	0.202044	0.051887	0.0	0.144654	55.0	1272.0	0.000643815491183865
IL, 03416	2 Unit	0.196154	0.284615	0.0	0.0	0.061538	0.034615	0.0	0.0	0.423077	13.0	260.0	0.000131596581403287
IL, 03416	20 to 49 Unit	0.011399	0.032656	0.201479	0.352742	0.148799	0.048983	0.143253	0.0	0.06069	154.0	3246.0	0.001642965810032547
IL, 03416	3 or 4 Unit	0.0	0.110507	0.355072	0.217391	0.161232	0.036232	0.06340599999999999	0.0	0.056159	22.0	552.0	0.000279392132607588
IL, 03416	5 to 9 Unit	0.020478	0.098976	0.26407800000000003	0.227816	0.214164	0.093003	0.025171	0.0	0.056314	90.0	2344.0	0.001186427517571296
IL, 03416	50 or more Unit	0.009066	0.070604	0.129945	0.219231	0.13791199999999998	0.081319	0.238187	0.094505	0.019231	163.0	3640.0	0.001842405601592556
IL, 03416	Mobile Home	0.0	0.0	0.1	0.0	0.0	0.29375	0.3	0.30625	0.0	7.0	160.0	8.099484900507e-05
IL, 03416	Single-Family Attached	0.00511	0.065209	0.100164	0.274121	0.121627	0.209321	0.193173	0.024121	0.007155	233.0	4892.0	0.00247609005390747
IL, 03416	Single-Family Detached	0.070927	0.254212	0.164243	0.097926	0.052159	0.04969	0.097295	0.019755	0.193794	1931.0	36446.0	0.01844725850072305
IL, 03417	10 to 19 Unit	0.0	0.038213	0.06349199999999999	0.493239	0.1505	0.235156	0.0194	0.0	0.0	57.0	1701.0	0.0008774316810000001
IL, 03417	2 Unit	0.096244	0.0	0.0	0.401408	0.070423	0.262911	0.105634	0.0	0.06337999999999999	14.0	426.0	0.000219748914
IL, 03417	20 to 49 Unit	0.0	0.029647000000000007	0.041049	0.5952109999999999	0.095781	0.17103800000000002	0.017103999999999998	0.0	0.050171	35.0	877.0	0.0004523849820000001
IL, 03417	3 or 4 Unit	0.002534	0.03874	0.0068790000000000006	0.261405	0.240043	0.431933	0.0068790000000000006	0.003259	0.008327	96.0	2762.0	0.0014247186660000003
IL, 03417	5 to 9 Unit	0.017103999999999998	0.0	0.221136	0.176542	0.4282220000000001	0.130727	0.018326	0.007941	0.0	58.0	1637.0	0.0008444213820000001
IL, 03417	50 or more Unit	0.0	0.035576	0.154592	0.283312	0.261966	0.126132	0.120957	0.0	0.017464	58.0	1546.0	0.0007974812790000001
IL, 03417	Mobile Home	0.0	0.0	0.040609	0.17893399999999998	0.491117	0.063452	0.151015	0.0	0.074873	25.0	788.0	0.00040646667600000003
IL, 03417	Single-Family Attached	0.004378	0.009938	0.036678	0.152745	0.189304	0.359915	0.236512	0.01053	0.0	354.0	8452.0	0.004359799269000001
IL, 03417	Single-Family Detached	0.024913	0.094977	0.214103	0.224536	0.104196	0.183883	0.126276	0.0	0.027117	960.0	22237.0	0.011470547151000002
IL, 03418	10 to 19 Unit	0.0	0.0	0.206302	0.343586	0.168042	0.257314	0.0	0.0	0.024756	48.0	1333.0	0.0006756533286526531
IL, 03418	2 Unit	0.0	0.034623	0.205703	0.448065	0.057026	0.160896	0.0	0.0	0.093686	15.0	491.0	0.00024887350487325604
IL, 03418	20 to 49 Unit	0.0	0.059235	0.129779	0.383953	0.275175	0.133549	0.018309	0.0	0.0	57.0	1857.0	0.0009412555552546141
IL, 03418	3 or 4 Unit	0.0	0.016962	0.0532	0.3413	0.451812	0.129273	0.002827	0.0	0.004626	150.0	3891.0	0.001972222777220805
IL, 03418	5 to 9 Unit	0.010326	0.0	0.076616	0.387075	0.330779	0.108927	0.062291999999999986	0.01066	0.013324	89.0	3002.0	0.0015216071226056014
IL, 03418	50 or more Unit	0.0	0.052817	0.105194	0.56294	0.128521	0.056338	0.037852	0.033891000000000004	0.022447	71.0	2272.0	0.0011516010475998962
IL, 03418	Mobile Home	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	50.0	2.5352845352820002e-05
IL, 03418	Single-Family Attached	0.0	0.023436	0.06931799999999999	0.41492	0.282555	0.158607	0.041756	0.007262	0.002146	288.0	6059.0	0.003071102375099304
IL, 03418	Single-Family Detached	0.01615	0.09794	0.233533	0.376883	0.177826	0.053121	0.025449	0.002858	0.01624	1002.0	22044.0	0.011173373005361833
IL, 03419	10 to 19 Unit	0.0	0.120574	0.175214	0.326007	0.22619	0.093712	0.005189	0.026252	0.026862	98.0	3276.0	0.00168373891
IL, 03419	2 Unit	0.095238	0.0	0.267399	0.106227	0.069597	0.076923	0.0	0.0	0.384615	11.0	273.0	0.000140315665
IL, 03419	20 to 49 Unit	0.028153	0.059349	0.177287	0.494388	0.142286	0.039757	0.042229	0.006087	0.010462	168.0	5257.0	0.00270189234
IL, 03419	3 or 4 Unit	0.0	0.090265	0.156342	0.384661	0.235398	0.117994	0.0	0.0	0.015338999999999997	47.0	1695.0	0.000871164245
IL, 03419	5 to 9 Unit	0.0	0.082583	0.177392	0.367439	0.291291	0.058344000000000014	0.008366	0.010725	0.003861	127.0	4662.0	0.0023960881000000002
IL, 03419	50 or more Unit	0.0	0.066137	0.135707	0.330502	0.201301	0.167691	0.09017	0.008493	0.0	199.0	5534.0	0.002844268945
IL, 03419	Mobile Home	0.0	0.013322	0.08076599999999999	0.243963	0.322231	0.158202	0.155704	0.025812	0.0	38.0	1201.0	0.000617276065
IL, 03419	Single-Family Attached	0.029367	0.067771	0.182982	0.167545	0.141943	0.294051	0.080572	0.03012	0.005647999999999999	103.0	2656.0	0.00136507833
IL, 03419	Single-Family Detached	0.061813	0.349955	0.361946	0.109218	0.034508	0.011992	0.015011000000000004	0.007247	0.048311	984.0	23183.0	0.0119151774
IL, 03420	10 to 19 Unit	0.089183	0.070673	0.12980799999999998	0.446154	0.076442	0.031971	0.053125	0.045433	0.057212	141.0	4160.0	0.002120741491256388
IL, 03420	2 Unit	0.08132400000000001	0.169377	0.2288280000000001	0.15143	0.026921	0.019069	0.021312	0.0	0.301739	66.0	1783.0	0.0009089560750430161
IL, 03420	20 to 49 Unit	0.008997	0.033205	0.15745499999999998	0.292631	0.163025	0.118895	0.175021	0.005784	0.044987	187.0	4668.0	0.0023797540082436124
IL, 03420	3 or 4 Unit	0.045769	0.330743	0.27115700000000004	0.108377	0.048791	0.030225	0.084629	0.006476999999999999	0.073834	69.0	2316.0	0.0011806779913208281
IL, 03420	5 to 9 Unit	0.033663	0.163747	0.185072	0.340137	0.103427	0.08134	0.045392	0.0	0.04722	198.0	6565.0	0.003346820481176173
IL, 03420	50 or more Unit	0.011656	0.025511	0.16406400000000002	0.246536	0.144271	0.158566	0.184297	0.025291	0.039806	173.0	4547.0	0.002318043213954469
IL, 03420	Mobile Home	0.0	0.024712	0.266886	0.266886	0.217463	0.103789	0.120264	0.0	0.0	28.0	607.0	0.00030945407054562004
IL, 03420	Single-Family Attached	0.069386	0.139518	0.397911	0.068888	0.070629	0.120368	0.07709500000000001	0.033574	0.022631	180.0	4021.0	0.0020498856901122603
IL, 03420	Single-Family Detached	0.12732100000000002	0.397574	0.165312	0.051480999999999985	0.031532	0.022618	0.030889	0.003956	0.16931600000000002	2122.0	41957.0	0.021389594970383643
IL, 03421	10 to 19 Unit	0.052436	0.16103	0.262178	0.0695	0.042817	0.028545	0.032268	0.0	0.35122600000000004	151.0	3223.0	0.0016540747179236276
IL, 03421	2 Unit	0.090966	0.138629	0.079128	0.06947	0.023053	0.042368	0.004361	0.0	0.552025	124.0	3210.0	0.0016474186855796667
IL, 03421	20 to 49 Unit	0.042943	0.095818	0.193454	0.176808	0.076514	0.118758	0.08127000000000001	0.008253	0.206183	299.0	7149.0	0.0036689604480358825
IL, 03421	3 or 4 Unit	0.125677	0.246968	0.058065	0.029419	0.034581	0.04671	0.038452	0.0	0.420129	125.0	3875.0	0.00198870083129718
IL, 03421	5 to 9 Unit	0.126911	0.12436300000000006	0.138722	0.064845	0.021306	0.040296	0.018759	0.004863	0.459935	155.0	4318.0	0.0022160533269444563
IL, 03421	50 or more Unit	0.028188	0.028459	0.079821	0.126575	0.087139	0.119528	0.390297	0.06450700000000001	0.07548400000000001	314.0	7379.0	0.003787012107984104
IL, 03421	Mobile Home	0.297872	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.702128	2.0	47.0	2.4123893876081995e-05
IL, 03421	Single-Family Attached	0.04727	0.269676	0.25904	0.054361	0.087922	0.044198	0.112267	0.005436	0.11983	215.0	4231.0	0.0021714207445770834
IL, 03421	Single-Family Detached	0.120394	0.429572	0.128387	0.033239	0.009351	0.008055	0.031233	0.003673	0.236097	1769.0	32402.0	0.0166291676698157
IL, 03422	10 to 19 Unit	0.055981	0.130623	0.156614	0.39087	0.077974	0.058314	0.082639	0.008664	0.038321	111.0	3001.0	0.0015431228450000002
IL, 03422	2 Unit	0.131685	0.181635	0.21998	0.143794	0.117558	0.0	0.007568000000000002	0.02775	0.17003	75.0	1982.0	0.001019164361
IL, 03422	20 to 49 Unit	0.043943	0.044339	0.29097399999999995	0.234759	0.087886	0.124703	0.125495	0.0	0.047902	96.0	2526.0	0.0012988872169999999
IL, 03422	3 or 4 Unit	0.034586	0.16636900000000002	0.225403	0.253429	0.094514	0.060227	0.00805	0.0	0.157424	111.0	3354.0	0.0017246345490000003
IL, 03422	5 to 9 Unit	0.058391999999999986	0.156565	0.22281	0.277446	0.101417	0.075977	0.059075	0.0	0.048318	198.0	5857.0	0.0030116926900000006
IL, 03422	50 or more Unit	0.047397	0.099974	0.201502	0.248381	0.129241	0.13856500000000002	0.1036	0.002849	0.02849	153.0	3861.0	0.00198534639
IL, 03422	Mobile Home	0.0	0.298246	0.0	0.701754	0.0	0.0	0.0	0.0	0.0	2.0	57.0	2.9299329e-05
IL, 03422	Single-Family Attached	0.048212	0.202177	0.236392	0.052877	0.202177	0.021773	0.14774500000000002	0.0	0.088647	27.0	643.0	0.00033064255500000003
IL, 03422	Single-Family Detached	0.159975	0.416999	0.185929	0.050836	0.013236	0.019632	0.020741	0.001553	0.1311	1293.0	27048.0	0.013908210064000002
IL, 03501	10 to 19 Unit	0.09792	0.085366	0.108919	0.10067	0.026303	0.048302	0.036466000000000005	0.006217	0.489837	324.0	8364.0	0.004277473172468895
IL, 03501	2 Unit	0.055814	0.063787	0.033223	0.072757	0.004983	0.021927	0.013953	0.0	0.7335550000000001	120.0	3010.0	0.001539351474349935
IL, 03501	20 to 49 Unit	0.078295	0.090439	0.145155	0.105297	0.029910000000000006	0.029199	0.043088	0.0034240000000000004	0.475194	612.0	15480.0	0.00791668276767485
IL, 03501	3 or 4 Unit	0.070309	0.035763	0.041242	0.040785	0.013849	0.029371	0.020545	0.004566	0.74357	231.0	6571.0	0.003360513936510576
IL, 03501	5 to 9 Unit	0.083499	0.062448	0.071342	0.07178999999999999	0.033975	0.046964	0.050547	0.0017920000000000004	0.5776439999999999	542.0	15629.0	0.00799288203387404
IL, 03501	50 or more Unit	0.106447	0.085775	0.171736	0.212411	0.05298200000000002	0.036362	0.029335000000000007	0.0116	0.293352	993.0	26896.0	0.01375497792596417
IL, 03501	Mobile Home	0.0	0.0	0.38125	0.26875	0.0	0.15625	0.0	0.19375	0.0	5.0	160.0	8.184053784045601e-05
IL, 03501	Single-Family Attached	0.065368	0.055311	0.203646	0.108108	0.05594	0.179133	0.090509	0.009428	0.232558	75.0	1591.0	0.0008136481866473729
IL, 03501	Single-Family Detached	0.07708999999999999	0.070377	0.06539600000000001	0.056517999999999985	0.030533	0.02317	0.070377	0.0	0.60654	192.0	4618.0	0.002361714162711801
IL, 03502	10 to 19 Unit	0.030227	0.08194800000000001	0.09555	0.081276	0.037615	0.088161	0.074391	0.007389	0.5034420000000001	304.0	5955.0	0.0030484144500000005
IL, 03502	2 Unit	0.038551	0.026939	0.040176	0.05805900000000001	0.060845	0.023223	0.02392	0.029029000000000006	0.699257	237.0	4306.0	0.0022042749950000004
IL, 03502	20 to 49 Unit	0.063803	0.095246	0.10333599999999996	0.167973	0.060884	0.031359	0.034696	0.001918	0.440784	552.0	11990.0	0.006137770600000002
IL, 03502	3 or 4 Unit	0.033821	0.038894	0.039232	0.042361	0.073138	0.090133	0.149319	0.031876	0.5012260000000001	673.0	11827.0	0.006054319220000001
IL, 03502	5 to 9 Unit	0.048297	0.06693500000000001	0.057705999999999986	0.070878	0.046326	0.076075	0.145789	0.026613	0.46138	634.0	11160.0	0.005712848020000001
IL, 03502	50 or more Unit	0.027211000000000003	0.101607	0.236918	0.228758	0.06346900000000001	0.038067	0.023557	0.010643	0.26976999999999995	1019.0	28187.0	0.014429074620000005
IL, 03502	Mobile Home	0.0	0.292929	0.0	0.060605999999999986	0.0	0.0	0.080808	0.0	0.565657	6.0	198.0	0.00010135248500000003
IL, 03502	Single-Family Attached	0.01417	0.01417	0.030139	0.131354	0.239766	0.202204	0.129105	0.016419	0.222672	283.0	4446.0	0.00227592297
